日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-06-05,=44.3600,=44.3600,=44.3600,=44.3600,=153606676405.8001,=92057974886.0,=38582921566.2,,=15.6772,,,,
2026-06-04,=46.0500,=46.0500,=46.0500,=46.0500,=159458689100.25,=95565143000.0,=40052829984.75,,=16.2744,,,,
2026-06-03,=48.0200,=48.0200,=48.0200,=48.0200,=166280266028.1001,=99653380388.0,=41766273525.9,,=16.9707,,,,
2026-06-02,=47.4800,=47.4800,=47.4800,=47.4800,=164410392149.4,=98532746789.0,=41296598646.6,,=16.7798,,,,
2026-06-01,=43.1600,=43.1600,=43.1600,=43.1600,=149451401119.8,=89567678000.0,=37539199612.2,,=15.2531,,,,
2026-05-29,=43.5000,=43.5000,=43.5000,=43.5000,=150628729117.5,=90273262118.0,=37834920832.5,,=15.3733,,,,
2026-05-28,=43.4700,=43.4700,=43.4700,=43.4700,=150524847235.3501,=90211004695.0,=37808827783.65,,=15.3627,,,,
2026-05-27,=44.1200,=44.1200,=44.1200,=44.1200,=152775621348.6001,=91559915509.0,=38374177175.4,,=15.5924,,,,
2026-05-26,=46.5400,=46.5400,=46.5400,=46.5400,=161155426508.7001,=96582014229.0,=40479016449.3,,=16.4476,,,,
2026-05-25,=45.0300,=45.0300,=45.0300,=45.0300,=155926705107.1501,=93448390647.0,=39165666323.85,,=15.9140,,,,
2026-05-22,=45.2800,=45.2800,=45.2800,=45.2800,=156792387458.4001,=93967202498.0,=39383108397.6,,=16.0023,,,,
2026-05-21,=43.4800,=43.4800,=43.4800,=43.4800,=150559474529.4,=90231757169.0,=37817525466.6,,=15.3662,,,,
2026-05-20,=44.9600,=44.9600,=44.9600,=44.9600,=155684314048.8001,=93303123329.0,=39104782543.2,,=15.8892,,,,
2026-05-19,=44.1200,=44.1200,=44.1200,=44.1200,=152775621348.6001,=91559915509.0,=38374177175.4,,=15.5924,,,,
2026-05-18,=45.4400,=45.4400,=45.4400,=45.4400,=157346424163.2001,=94299242083.0,=39522271324.8,,=16.0589,,,,
2026-05-15,=46.3700,=46.3700,=46.3700,=46.3700,=160566762509.8501,=96229222170.0,=40331155839.15,,=16.3875,,,,
