date,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-04-07,0.0517,2.9133,0.4378,3.5310,3.0775,2.4248,0.9191,0.1261,1.7024,1.2975,0.9926,6.5552,0.2156,10.7513,8.1556,6.6402,0.9277,0.1249,1.7344,1.3169,1.0026,6.5476,0.2168,10.6888,8.1113,6.6206
2026-04-03,0.0512,2.9439,0.4378,3.5310,3.0775,2.4248,0.9288,0.1261,1.7024,1.2975,0.9926,6.6241,0.2156,10.7513,8.1556,6.6402,0.9375,0.1249,1.7344,1.3169,1.0026,6.6164,0.2168,10.6888,8.1113,6.6206
2026-04-02,0.0507,2.9708,0.4378,3.5310,3.0775,2.4248,0.9373,0.1261,1.7024,1.2975,0.9926,6.6846,0.2156,10.7513,8.1556,6.6402,0.9461,0.1249,1.7344,1.3169,1.0026,6.6769,0.2168,10.6888,8.1113,6.6206
2026-04-01,0.0506,2.9753,0.4378,3.5310,3.0775,2.4248,0.9387,0.1261,1.7024,1.2975,0.9926,6.6947,0.2156,10.7513,8.1556,6.6402,0.9475,0.1249,1.7344,1.3169,1.0026,6.6870,0.2168,10.6888,8.1113,6.6206
2026-03-31,0.0513,2.9379,0.4378,3.5310,3.0775,2.4248,0.9269,0.1261,1.7024,1.2975,0.9926,6.6107,0.2156,10.7513,8.1556,6.6402,0.9356,0.1249,1.7344,1.3169,1.0026,6.6030,0.2168,10.6888,8.1113,6.6206
2026-03-30,0.0511,2.9499,0.4378,3.5310,3.0775,2.4248,0.9307,0.1261,1.7024,1.2975,0.9926,6.6376,0.2156,10.7513,8.1556,6.6402,0.9394,0.1249,1.7344,1.3169,1.0026,6.6299,0.2168,10.6888,8.1113,6.6206
2026-03-27,0.0764,2.9586,0.4378,3.5310,3.0775,2.4248,0.9346,0.1261,1.7024,1.2975,0.9926,6.6892,0.2156,10.7513,8.1556,6.6402,0.9434,0.1249,1.7344,1.3169,1.0026,6.6766,0.2168,10.6888,8.1113,6.6206
2026-03-26,0.0762,2.9676,0.4378,3.5310,3.0775,2.4248,0.9374,0.1261,1.7024,1.2975,0.9926,6.7096,0.2156,10.7513,8.1556,6.6402,0.9463,0.1249,1.7344,1.3169,1.0026,6.6969,0.2168,10.6888,8.1113,6.6206
2026-03-25,0.0767,2.9451,0.4378,3.5310,3.0775,2.4248,0.9303,0.1261,1.7024,1.2975,0.9926,6.6587,0.2156,10.7513,8.1556,6.6402,0.9391,0.1249,1.7344,1.3169,1.0026,6.6461,0.2168,10.6888,8.1113,6.6206
2026-03-24,0.0768,2.9443,0.4378,3.5310,3.0775,2.4248,0.9301,0.1261,1.7024,1.2975,0.9926,6.6570,0.2156,10.7513,8.1556,6.6402,0.9389,0.1249,1.7344,1.3169,1.0026,6.6444,0.2168,10.6888,8.1113,6.6206
2026-03-23,0.0779,2.9016,0.4378,3.5310,3.0775,2.4248,0.9166,0.1261,1.7024,1.2975,0.9926,6.5603,0.2156,10.7513,8.1556,6.6402,0.9252,0.1249,1.7344,1.3169,1.0026,6.5479,0.2168,10.6888,8.1113,6.6206
2026-03-20,0.0758,2.9818,0.4378,3.5310,3.0775,2.4248,0.9419,0.1261,1.7024,1.2975,0.9926,6.7418,0.2156,10.7513,8.1556,6.6402,0.9508,0.1249,1.7344,1.3169,1.0026,6.7291,0.2168,10.6888,8.1113,6.6206
2026-03-19,0.0758,2.9833,0.4378,3.5310,3.0775,2.4248,0.9424,0.1261,1.7024,1.2975,0.9926,6.7452,0.2156,10.7513,8.1556,6.6402,0.9513,0.1249,1.7344,1.3169,1.0026,6.7324,0.2168,10.6888,8.1113,6.6206
2026-03-18,0.0755,2.9946,0.4378,3.5310,3.0775,2.4248,0.9460,0.1261,1.7024,1.2975,0.9926,6.7706,0.2156,10.7513,8.1556,6.6402,0.9549,0.1249,1.7344,1.3169,1.0026,6.7578,0.2168,10.6888,8.1113,6.6206
2026-03-17,0.0751,3.0096,0.4378,3.5310,3.0775,2.4248,0.9507,0.1261,1.7024,1.2975,0.9926,6.8045,0.2156,10.7513,8.1556,6.6402,0.9597,0.1249,1.7344,1.3169,1.0026,6.7917,0.2168,10.6888,8.1113,6.6206
2026-03-16,0.0755,2.9938,0.4378,3.5310,3.0775,2.4248,0.9457,0.1261,1.7024,1.2975,0.9926,6.7689,0.2156,10.7513,8.1556,6.6402,0.9547,0.1249,1.7344,1.3169,1.0026,6.7561,0.2168,10.6888,8.1113,6.6206
2026-03-13,0.0758,2.9826,0.4378,3.5310,3.0775,2.4248,0.9422,0.1261,1.7024,1.2975,0.9926,6.7435,0.2156,10.7513,8.1556,6.6402,0.9511,0.1249,1.7344,1.3169,1.0026,6.7308,0.2168,10.6888,8.1113,6.6206
2026-03-12,0.0763,2.9631,0.4378,3.5310,3.0775,2.4248,0.9360,0.1261,1.7024,1.2975,0.9926,6.6994,0.2156,10.7513,8.1556,6.6402,0.9449,0.1249,1.7344,1.3169,1.0026,6.6867,0.2168,10.6888,8.1113,6.6206
2026-03-11,0.0763,2.9631,0.4378,3.5310,3.0775,2.4248,0.9360,0.1261,1.7024,1.2975,0.9926,6.6994,0.2156,10.7513,8.1556,6.6402,0.9449,0.1249,1.7344,1.3169,1.0026,6.6867,0.2168,10.6888,8.1113,6.6206
2026-03-10,0.0768,2.9421,0.4378,3.5310,3.0775,2.4248,0.9294,0.1261,1.7024,1.2975,0.9926,6.6519,0.2156,10.7513,8.1556,6.6402,0.9382,0.1249,1.7344,1.3169,1.0026,6.6393,0.2168,10.6888,8.1113,6.6206
2026-03-09,0.0777,2.9098,0.4378,3.5310,3.0775,2.4248,0.9192,0.1261,1.7024,1.2975,0.9926,6.5790,0.2156,10.7513,8.1556,6.6402,0.9279,0.1249,1.7344,1.3169,1.0026,6.5665,0.2168,10.6888,8.1113,6.6206
2026-03-06,0.0769,2.9406,0.4378,3.5310,3.0775,2.4248,0.9289,0.1261,1.7024,1.2975,0.9926,6.6485,0.2156,10.7513,8.1556,6.6402,0.9377,0.1249,1.7344,1.3169,1.0026,6.6360,0.2168,10.6888,8.1113,6.6206
2026-03-05,0.0770,2.9368,0.4378,3.5310,3.0775,2.4248,0.9277,0.1261,1.7024,1.2975,0.9926,6.6400,0.2156,10.7513,8.1556,6.6402,0.9365,0.1249,1.7344,1.3169,1.0026,6.6275,0.2168,10.6888,8.1113,6.6206
2026-03-04,0.0781,2.8956,0.4378,3.5310,3.0775,2.4248,0.9147,0.1261,1.7024,1.2975,0.9926,6.5467,0.2156,10.7513,8.1556,6.6402,0.9233,0.1249,1.7344,1.3169,1.0026,6.5344,0.2168,10.6888,8.1113,6.6206
2026-03-03,0.0769,2.9391,0.4378,3.5310,3.0775,2.4248,0.9284,0.1261,1.7024,1.2975,0.9926,6.6451,0.2156,10.7513,8.1556,6.6402,0.9372,0.1249,1.7344,1.3169,1.0026,6.6326,0.2168,10.6888,8.1113,6.6206
2026-03-02,0.0779,2.9008,0.4378,3.5310,3.0775,2.4248,0.9163,0.1261,1.7024,1.2975,0.9926,6.5586,0.2156,10.7513,8.1556,6.6402,0.9250,0.1249,1.7344,1.3169,1.0026,6.5462,0.2168,10.6888,8.1113,6.6206
2026-02-27,0.0778,2.9068,0.4378,3.5310,3.0775,2.4248,0.9182,0.1261,1.7024,1.2975,0.9926,6.5722,0.2156,10.7513,8.1556,6.6402,0.9269,0.1249,1.7344,1.3169,1.0026,6.5598,0.2168,10.6888,8.1113,6.6206
2026-02-26,0.0779,2.9031,0.4378,3.5310,3.0775,2.4248,0.9171,0.1261,1.7024,1.2975,0.9926,6.5637,0.2156,10.7513,8.1556,6.6402,0.9257,0.1249,1.7344,1.3169,1.0026,6.5513,0.2168,10.6888,8.1113,6.6206
2026-02-25,0.0777,2.9091,0.4378,3.5310,3.0775,2.4248,0.9190,0.1261,1.7024,1.2975,0.9926,6.5773,0.2156,10.7513,8.1556,6.6402,0.9276,0.1249,1.7344,1.3169,1.0026,6.5649,0.2168,10.6888,8.1113,6.6206
2026-02-24,0.0774,2.9211,0.4378,3.5310,3.0775,2.4248,0.9227,0.1261,1.7024,1.2975,0.9926,6.6044,0.2156,10.7513,8.1556,6.6402,0.9315,0.1249,1.7344,1.3169,1.0026,6.5919,0.2168,10.6888,8.1113,6.6206
2026-02-13,0.0778,2.9038,0.4378,3.5310,3.0775,2.4248,0.9173,0.1261,1.7024,1.2975,0.9926,6.5654,0.2156,10.7513,8.1556,6.6402,0.9260,0.1249,1.7344,1.3169,1.0026,6.5530,0.2168,10.6888,8.1113,6.6206
2026-02-12,0.0773,2.9248,0.4378,3.5310,3.0775,2.4248,0.9239,0.1261,1.7024,1.2975,0.9926,6.6129,0.2156,10.7513,8.1556,6.6402,0.9327,0.1249,1.7344,1.3169,1.0026,6.6004,0.2168,10.6888,8.1113,6.6206
2026-02-11,0.0765,2.9556,0.4378,3.5310,3.0775,2.4248,0.9336,0.1261,1.7024,1.2975,0.9926,6.6824,0.2156,10.7513,8.1556,6.6402,0.9425,0.1249,1.7344,1.3169,1.0026,6.6698,0.2168,10.6888,8.1113,6.6206
2026-02-10,0.0766,2.9511,0.4378,3.5310,3.0775,2.4248,0.9322,0.1261,1.7024,1.2975,0.9926,6.6722,0.2156,10.7513,8.1556,6.6402,0.9410,0.1249,1.7344,1.3169,1.0026,6.6597,0.2168,10.6888,8.1113,6.6206
2026-02-09,0.0763,2.9616,0.4378,3.5310,3.0775,2.4248,0.9355,0.1261,1.7024,1.2975,0.9926,6.6960,0.2156,10.7513,8.1556,6.6402,0.9444,0.1249,1.7344,1.3169,1.0026,6.6834,0.2168,10.6888,8.1113,6.6206
2026-02-06,0.0761,2.9706,0.4378,3.5310,3.0775,2.4248,0.9384,0.1261,1.7024,1.2975,0.9926,6.7163,0.2156,10.7513,8.1556,6.6402,0.9472,0.1249,1.7344,1.3169,1.0026,6.7037,0.2168,10.6888,8.1113,6.6206
2026-02-05,0.0759,2.9788,0.4378,3.5310,3.0775,2.4248,0.9410,0.1261,1.7024,1.2975,0.9926,6.7350,0.2156,10.7513,8.1556,6.6402,0.9499,0.1249,1.7344,1.3169,1.0026,6.7223,0.2168,10.6888,8.1113,6.6206
2026-02-04,0.0772,2.9263,0.4378,3.5310,3.0775,2.4248,0.9244,0.1261,1.7024,1.2975,0.9926,6.6163,0.2156,10.7513,8.1556,6.6402,0.9331,0.1249,1.7344,1.3169,1.0026,6.6038,0.2168,10.6888,8.1113,6.6206
2026-02-03,0.0787,2.8731,0.4378,3.5310,3.0775,2.4248,0.9076,0.1261,1.7024,1.2975,0.9926,6.4959,0.2156,10.7513,8.1556,6.6402,0.9161,0.1249,1.7344,1.3169,1.0026,6.4836,0.2168,10.6888,8.1113,6.6206
2026-02-02,0.0784,2.8843,0.4378,3.5310,3.0775,2.4248,0.9111,0.1261,1.7024,1.2975,0.9926,6.5213,0.2156,10.7513,8.1556,6.6402,0.9197,0.1249,1.7344,1.3169,1.0026,6.5090,0.2168,10.6888,8.1113,6.6206
2026-01-30,0.0779,2.9008,0.4378,3.5310,3.0775,2.4248,0.9163,0.1261,1.7024,1.2975,0.9926,6.5586,0.2156,10.7513,8.1556,6.6402,0.9250,0.1249,1.7344,1.3169,1.0026,6.5462,0.2168,10.6888,8.1113,6.6206
2026-01-29,0.0782,2.8903,0.4378,3.5310,3.0775,2.4248,0.9130,0.1261,1.7024,1.2975,0.9926,6.5349,0.2156,10.7513,8.1556,6.6402,0.9217,0.1249,1.7344,1.3169,1.0026,6.5225,0.2168,10.6888,8.1113,6.6206
2026-01-28,0.0797,2.8356,0.4378,3.5310,3.0775,2.4248,0.8957,0.1261,1.7024,1.2975,0.9926,6.4110,0.2156,10.7513,8.1556,6.6402,0.9042,0.1249,1.7344,1.3169,1.0026,6.3990,0.2168,10.6888,8.1113,6.6206
2026-01-27,0.0791,2.8581,0.4378,3.5310,3.0775,2.4248,0.9028,0.1261,1.7024,1.2975,0.9926,6.4619,0.2156,10.7513,8.1556,6.6402,0.9114,0.1249,1.7344,1.3169,1.0026,6.4497,0.2168,10.6888,8.1113,6.6206
2026-01-26,0.0792,2.8521,0.4378,3.5310,3.0775,2.4248,0.9009,0.1261,1.7024,1.2975,0.9926,6.4484,0.2156,10.7513,8.1556,6.6402,0.9095,0.1249,1.7344,1.3169,1.0026,6.4362,0.2168,10.6888,8.1113,6.6206
2026-01-23,0.0803,2.8130,0.4378,3.5310,3.0775,2.4248,0.8886,0.1261,1.7024,1.2975,0.9926,6.3602,0.2156,10.7513,8.1556,6.6402,0.8970,0.1249,1.7344,1.3169,1.0026,6.3482,0.2168,10.6888,8.1113,6.6206
2026-01-22,0.0796,2.8393,0.4378,3.5310,3.0775,2.4248,0.8969,0.1261,1.7024,1.2975,0.9926,6.4195,0.2156,10.7513,8.1556,6.6402,0.9054,0.1249,1.7344,1.3169,1.0026,6.4074,0.2168,10.6888,8.1113,6.6206
2026-01-21,0.0788,2.8686,0.4378,3.5310,3.0775,2.4248,0.9062,0.1261,1.7024,1.2975,0.9926,6.4857,0.2156,10.7513,8.1556,6.6402,0.9147,0.1249,1.7344,1.3169,1.0026,6.4734,0.2168,10.6888,8.1113,6.6206
