date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-01,949128793900.0,0.0255,1.5851,,,,,1.5865,,,,,1.5865,,,,,6.5478,,,,,6.5556,,,,
2026-05-29,956194970150.0,0.0253,1.5969,,,,,1.5983,,,,,1.5983,,,,,6.5966,,,,,6.6044,,,,
2026-05-28,943758499950.0,0.0256,1.5761,,,,,1.5775,,,,,1.5775,,,,,6.5108,,,,,6.5185,,,,
2026-05-27,945737029300.0,0.0256,1.5794,,,,,1.5808,,,,,1.5808,,,,,6.5244,,,,,6.5322,,,,
2026-05-26,955347029000.0,0.0253,1.5955,,,,,1.5969,,,,,1.5969,,,,,6.5907,,,,,6.5986,,,,
2026-05-25,956194970150.0,0.0253,1.5969,,,,,1.5983,,,,,1.5983,,,,,6.5966,,,,,6.6044,,,,
2026-05-22,955912323100.0,0.0253,1.5964,,,,,1.5978,,,,,1.5978,,,,,6.5946,,,,,6.6025,,,,
2026-05-21,962413205250.0,0.0251,1.6073,,,,,1.6087,,,,,1.6087,,,,,6.6395,,,,,6.6474,,,,
2026-05-20,976262910700.0,0.0248,1.6304,,,,,1.6318,,,,,1.6318,,,,,6.7350,,,,,6.7430,,,,
2026-05-19,981067910550.0,0.0247,1.6384,,,,,1.6399,,,,,1.6399,,,,,6.7682,,,,,6.7762,,,,
2026-05-18,982198498750.0,0.0246,1.6403,,,,,1.6418,,,,,1.6418,,,,,6.7760,,,,,6.7840,,,,
2026-05-15,999439968800.0,0.0242,1.6691,,,,,1.6706,,,,,1.6706,,,,,6.8949,,,,,6.9031,,,,
2026-05-14,1017246732950.0,0.0238,1.6988,,,,,1.7003,,,,,1.7003,,,,,7.0178,,,,,7.0261,,,,
2026-05-13,1031096438400.0,0.0235,1.7220,,,,,1.7235,,,,,1.7235,,,,,7.1133,,,,,7.1218,,,,
2026-05-12,1061622319800.0,0.0228,1.7729,,,,,1.7745,,,,,1.7745,,,,,7.3239,,,,,7.3326,,,,
2026-05-11,1072645554750.0,0.0226,1.7913,,,,,1.7929,,,,,1.7929,,,,,7.4000,,,,,7.4087,,,,
2026-05-08,1054556143550.0,0.0229,1.7611,,,,,1.7627,,,,,1.7627,,,,,7.2752,,,,,7.2838,,,,
2026-05-07,1058230555200.0,0.0229,1.7673,,,,,1.7688,,,,,1.7688,,,,,7.3005,,,,,7.3092,,,,
2026-05-06,1036184085300.0,0.0233,1.7305,,,,,1.7320,,,,,1.7320,,,,,7.1484,,,,,7.1569,,,,
2026-04-30,1036466732350.0,0.0233,1.7309,,,,,1.7325,,,,,1.7325,,,,,7.1504,,,,,7.1589,,,,
2026-04-29,1035618791200.0,0.0234,1.6821,,,,,1.7399,,,,,1.7399,,,,,6.7127,,,,,6.7214,,,,
2026-04-28,1035336144150.0,0.0234,1.6816,,,,,1.7395,,,,,1.7395,,,,,6.7108,,,,,6.7196,,,,
2026-04-27,1036466732350.0,0.0233,1.6835,,,,,1.7414,,,,,1.7414,,,,,6.7182,,,,,6.7269,,,,
2026-04-24,1039575849900.0,0.0233,1.6885,,,,,1.7466,,,,,1.7466,,,,,6.7383,,,,,6.7471,,,,
2026-04-23,1042402320400.0,0.0232,1.6931,,,,,1.7513,,,,,1.7513,,,,,6.7566,,,,,6.7654,,,,
2026-04-22,1048055261400.0,0.0231,1.7023,,,,,1.7608,,,,,1.7608,,,,,6.7933,,,,,6.8021,,,,
2026-04-21,1055686731750.0,0.0229,1.7147,,,,,1.7737,,,,,1.7737,,,,,6.8428,,,,,6.8516,,,,
2026-04-20,1063600849150.0,0.0227,1.7275,,,,,1.7869,,,,,1.7869,,,,,6.8941,,,,,6.9030,,,,
2026-04-17,1060491731600.0,0.0228,1.7225,,,,,1.7817,,,,,1.7817,,,,,6.8739,,,,,6.8828,,,,
2026-04-16,1070384378350.0,0.0226,1.7385,,,,,1.7983,,,,,1.7983,,,,,6.9380,,,,,6.9470,,,,
2026-04-15,1065579378500.0,0.0227,1.7307,,,,,1.7903,,,,,1.7903,,,,,6.9069,,,,,6.9158,,,,
2026-04-14,1067557907850.0,0.0227,1.7340,,,,,1.7936,,,,,1.7936,,,,,6.9197,,,,,6.9287,,,,
2026-04-13,1060491731600.0,0.0228,1.7225,,,,,1.7817,,,,,1.7817,,,,,6.8739,,,,,6.8828,,,,
2026-04-10,1067557907850.0,0.0227,1.7340,,,,,1.7936,,,,,1.7936,,,,,6.9197,,,,,6.9287,,,,
2026-04-09,1044380849750.0,0.0232,1.6963,,,,,1.7547,,,,,1.7547,,,,,6.7695,,,,,6.7783,,,,
2026-04-08,1065579378500.0,0.0227,1.7307,,,,,1.7903,,,,,1.7903,,,,,6.9069,,,,,6.9158,,,,
2026-04-07,1008767321450.0,0.0240,1.6385,,,,,1.6948,,,,,1.6948,,,,,6.5386,,,,,6.5471,,,,
2026-04-03,1020073203450.0,0.0237,1.6568,,,,,1.7138,,,,,1.7138,,,,,6.6119,,,,,6.6205,,,,
2026-04-02,1027704673800.0,0.0235,1.6692,,,,,1.7266,,,,,1.7266,,,,,6.6614,,,,,6.6700,,,,
2026-04-01,1046359379100.0,0.0231,1.6995,,,,,1.7580,,,,,1.7580,,,,,6.7823,,,,,6.7911,,,,
2026-03-31,1027139379700.0,0.0236,1.6683,,,,,1.7257,,,,,1.7257,,,,,6.6577,,,,,6.6664,,,,
2026-03-30,1036749379400.0,0.0233,1.6839,,,,,1.7418,,,,,1.7418,,,,,6.7200,,,,,6.7287,,,,
2026-03-27,1054838790600.0,0.0229,1.7133,,,,,1.7722,,,,,1.7722,,,,,6.8373,,,,,6.8461,,,,
2026-03-26,1066709966700.0,0.0227,1.7326,,,,,1.7922,,,,,1.7922,,,,,6.9142,,,,,6.9232,,,,
2026-03-25,1116173200450.0,0.0174,1.7460,,,,,1.8029,,,,,1.8029,,,,,6.5503,,,,,6.5574,,,,
2026-03-24,1110520259450.0,0.0175,1.7371,,,,,1.7938,,,,,1.7938,,,,,6.5171,,,,,6.5242,,,,
2026-03-23,1114194671100.0,0.0175,1.7429,,,,,1.7997,,,,,1.7997,,,,,6.5387,,,,,6.5458,,,,
2026-03-20,1179203492600.0,0.0165,1.8446,,,,,1.9047,,,,,1.9047,,,,,6.9202,,,,,6.9277,,,,
2026-03-19,1198140844950.0,0.0162,1.8742,,,,,1.9353,,,,,1.9353,,,,,7.0313,,,,,7.0389,,,,
2026-03-18,1217643491400.0,0.0160,1.9047,,,,,1.9668,,,,,1.9668,,,,,7.1458,,,,,7.1535,,,,
2026-03-17,1207750844650.0,0.0161,1.8892,,,,,1.9508,,,,,1.9508,,,,,7.0877,,,,,7.0954,,,,
2026-03-16,1190226727550.0,0.0163,1.8618,,,,,1.9225,,,,,1.9225,,,,,6.9849,,,,,6.9924,,,,
2026-03-13,1185139080650.0,0.0164,1.8539,,,,,1.9143,,,,,1.9143,,,,,6.9550,,,,,6.9626,,,,
2026-03-12,1192205256900.0,0.0163,1.8649,,,,,1.9257,,,,,1.9257,,,,,6.9965,,,,,7.0041,,,,
2026-03-11,1204359080050.0,0.0161,1.8839,,,,,1.9453,,,,,1.9453,,,,,7.0678,,,,,7.0755,,,,
2026-03-10,1206337609400.0,0.0161,1.8870,,,,,1.9485,,,,,1.9485,,,,,7.0794,,,,,7.0871,,,,
2026-03-09,1192770551000.0,0.0163,1.8658,,,,,1.9266,,,,,1.9266,,,,,6.9998,,,,,7.0074,,,,
2026-03-06,1206620256450.0,0.0161,1.8875,,,,,1.9490,,,,,1.9490,,,,,7.0811,,,,,7.0888,,,,
2026-03-05,1204924374150.0,0.0161,1.8848,,,,,1.9462,,,,,1.9462,,,,,7.0711,,,,,7.0788,,,,
2026-03-04,1204359080050.0,0.0161,1.8839,,,,,1.9453,,,,,1.9453,,,,,7.0678,,,,,7.0755,,,,
2026-03-03,1247038784600.0,0.0156,1.9507,,,,,2.0143,,,,,2.0143,,,,,7.3183,,,,,7.3262,,,,
2026-03-02,1232058490950.0,0.0158,1.9273,,,,,1.9901,,,,,1.9901,,,,,7.2303,,,,,7.2382,,,,
2026-02-27,1257214078400.0,0.0155,1.9666,,,,,2.0307,,,,,2.0307,,,,,7.3780,,,,,7.3860,,,,
2026-02-26,1266258784000.0,0.0154,1.9808,,,,,2.0453,,,,,2.0453,,,,,7.4311,,,,,7.4391,,,,
2026-02-25,1297349959500.0,0.0150,2.0294,,,,,2.0955,,,,,2.0955,,,,,7.6135,,,,,7.6218,,,,
2026-02-24,1311764959050.0,0.0148,2.0519,,,,,2.1188,,,,,2.1188,,,,,7.6981,,,,,7.7065,,,,
2026-02-13,1339464369950.0,0.0145,2.0953,,,,,2.1636,,,,,2.1636,,,,,7.8607,,,,,7.8692,,,,
2026-02-12,1361793486900.0,0.0143,2.1302,,,,,2.1996,,,,,2.1996,,,,,7.9917,,,,,8.0004,,,,
2026-02-11,1378469662850.0,0.0141,2.1563,,,,,2.2266,,,,,2.2266,,,,,8.0896,,,,,8.0984,,,,
2026-02-10,1389775544850.0,0.0140,2.1740,,,,,2.2448,,,,,2.2448,,,,,8.1559,,,,,8.1648,,,,
2026-02-09,1384122603850.0,0.0140,2.1651,,,,,2.2357,,,,,2.2357,,,,,8.1227,,,,,8.1316,,,,
2026-02-06,1341725546350.0,0.0145,2.0988,,,,,2.1672,,,,,2.1672,,,,,7.8739,,,,,7.8825,,,,
2026-02-05,1351900840150.0,0.0144,2.1147,,,,,2.1837,,,,,2.1837,,,,,7.9336,,,,,7.9423,,,,
2026-02-04,1376491133500.0,0.0141,2.1532,,,,,2.2234,,,,,2.2234,,,,,8.0780,,,,,8.0867,,,,
2026-02-03,1365467898550.0,0.0142,2.1359,,,,,2.2056,,,,,2.2056,,,,,8.0133,,,,,8.0220,,,,
2026-02-02,1366315839700.0,0.0142,2.1373,,,,,2.2069,,,,,2.2069,,,,,8.0182,,,,,8.0270,,,,
2026-01-30,1405321132600.0,0.0138,2.1983,,,,,2.2699,,,,,2.2699,,,,,8.2471,,,,,8.2561,,,,
2026-01-29,1402494662100.0,0.0139,2.1939,,,,,2.2654,,,,,2.2654,,,,,8.2306,,,,,8.2395,,,,
2026-01-28,1366315839700.0,0.0142,2.1373,,,,,2.2069,,,,,2.2069,,,,,8.0182,,,,,8.0270,,,,
2026-01-27,1370838192500.0,0.0142,2.1443,,,,,2.2142,,,,,2.2142,,,,,8.0448,,,,,8.0535,,,,
2026-01-26,1326462605650.0,0.0147,2.0749,,,,,2.1426,,,,,2.1426,,,,,7.7844,,,,,7.7928,,,,
2026-01-23,1292544959650.0,0.0150,2.0219,,,,,2.0878,,,,,2.0878,,,,,7.5853,,,,,7.5936,,,,
2026-01-22,1325614664500.0,0.0147,2.0736,,,,,2.1412,,,,,2.1412,,,,,7.7794,,,,,7.7878,,,,
2026-01-21,1354444663600.0,0.0144,2.1187,,,,,2.1878,,,,,2.1878,,,,,7.9486,,,,,7.9572,,,,
2026-01-20,1364902604450.0,0.0142,2.1351,,,,,2.2047,,,,,2.2047,,,,,8.0099,,,,,8.0187,,,,
2026-01-19,1343138781600.0,0.0145,2.1010,,,,,2.1695,,,,,2.1695,,,,,7.8822,,,,,7.8908,,,,
2026-01-16,1343138781600.0,0.0145,2.1010,,,,,2.1695,,,,,2.1695,,,,,7.8822,,,,,7.8908,,,,
2026-01-15,1380165545150.0,0.0141,2.1589,,,,,2.2293,,,,,2.2293,,,,,8.0995,,,,,8.1083,,,,
2026-01-14,1401364073900.0,0.0139,2.1921,,,,,2.2635,,,,,2.2635,,,,,8.2239,,,,,8.2329,,,,
2026-01-13,1442347896150.0,0.0135,2.2562,,,,,2.3297,,,,,2.3297,,,,,8.4644,,,,,8.4736,,,,
2026-01-12,1397407015200.0,0.0139,2.1859,,,,,2.2572,,,,,2.2572,,,,,8.2007,,,,,8.2096,,,,
2026-01-09,1379600251050.0,0.0141,2.1580,,,,,2.2284,,,,,2.2284,,,,,8.0962,,,,,8.1050,,,,
2026-01-08,1384970545000.0,0.0140,2.1664,,,,,2.2371,,,,,2.2371,,,,,8.1277,,,,,8.1365,,,,
2026-01-07,1418040249850.0,0.0137,2.2182,,,,,2.2905,,,,,2.2905,,,,,8.3218,,,,,8.3308,,,,
2026-01-06,1403907897350.0,0.0139,2.1961,,,,,2.2677,,,,,2.2677,,,,,8.2388,,,,,8.2478,,,,
2026-01-05,1364337310350.0,0.0143,2.1342,,,,,2.2037,,,,,2.2037,,,,,8.0066,,,,,8.0153,,,,
2025-12-31,1286044077500.0,0.0151,2.0117,,,,,2.0773,,,,,2.0773,,,,,7.5472,,,,,7.5554,,,,
2025-12-30,1288022606850.0,0.0151,2.0148,,,,,2.0805,,,,,2.0805,,,,,7.5588,,,,,7.5670,,,,
2025-12-29,1304133488700.0,0.0149,2.0400,,,,,2.1065,,,,,2.1065,,,,,7.6533,,,,,7.6616,,,,
2025-12-26,1319396429400.0,0.0147,2.0639,,,,,2.1311,,,,,2.1311,,,,,7.7429,,,,,7.7513,,,,
2025-12-25,1326745252700.0,0.0147,2.0754,,,,,2.1430,,,,,2.1430,,,,,7.7860,,,,,7.7945,,,,
2025-12-24,1308090547400.0,0.0149,2.0462,,,,,2.1129,,,,,2.1129,,,,,7.6765,,,,,7.6849,,,,
2025-12-23,1315156723650.0,0.0148,2.0572,,,,,2.1243,,,,,2.1243,,,,,7.7180,,,,,7.7264,,,,
2025-12-22,1310351723800.0,0.0148,2.0497,,,,,2.1165,,,,,2.1165,,,,,7.6898,,,,,7.6982,,,,
2025-12-19,1314308782500.0,0.0148,2.0559,,,,,2.1229,,,,,2.1229,,,,,7.7130,,,,,7.7214,,,,
2025-12-18,1324766723350.0,0.0147,2.0723,,,,,2.1398,,,,,2.1398,,,,,7.7744,,,,,7.7829,,,,
2025-12-17,1324201429250.0,0.0147,2.0714,,,,,2.1389,,,,,2.1389,,,,,7.7711,,,,,7.7795,,,,
2025-12-16,1277282018950.0,0.0152,1.9980,,,,,2.0631,,,,,2.0631,,,,,7.4957,,,,,7.5039,,,,
2025-12-15,1300459077050.0,0.0150,2.0342,,,,,2.1006,,,,,2.1006,,,,,7.6318,,,,,7.6401,,,,
2025-12-12,1280391136500.0,0.0152,2.0029,,,,,2.0681,,,,,2.0681,,,,,7.5140,,,,,7.5222,,,,
2025-12-11,1271629077950.0,0.0153,1.9892,,,,,2.0540,,,,,2.0540,,,,,7.4626,,,,,7.4707,,,,
2025-12-10,1263432313500.0,0.0154,1.9763,,,,,2.0408,,,,,2.0408,,,,,7.4145,,,,,7.4225,,,,
2025-12-09,1261171137100.0,0.0154,1.9728,,,,,2.0371,,,,,2.0371,,,,,7.4012,,,,,7.4092,,,,
2025-12-08,1286326724550.0,0.0151,2.0121,,,,,2.0777,,,,,2.0777,,,,,7.5488,,,,,7.5570,,,,
2025-12-05,1283217607000.0,0.0152,2.0073,,,,,2.0727,,,,,2.0727,,,,,7.5306,,,,,7.5388,,,,
2025-12-04,1226688197000.0,0.0159,1.9189,,,,,1.9814,,,,,1.9814,,,,,7.1988,,,,,7.2067,,,,
2025-12-03,1217078197300.0,0.0160,1.9038,,,,,1.9659,,,,,1.9659,,,,,7.1424,,,,,7.1502,,,,
2025-12-02,1240255255400.0,0.0157,1.9401,,,,,2.0033,,,,,2.0033,,,,,7.2785,,,,,7.2864,,,,
2025-12-01,1234884961450.0,0.0157,1.9317,,,,,1.9946,,,,,1.9946,,,,,7.2469,,,,,7.2548,,,,
2025-11-28,1230079961600.0,0.0158,1.9242,,,,,1.9869,,,,,1.9869,,,,,7.2187,,,,,7.2266,,,,
2025-11-27,1242233784750.0,0.0157,1.9432,,,,,2.0065,,,,,2.0065,,,,,7.2901,,,,,7.2980,,,,
2025-11-26,1229514667500.0,0.0158,1.9233,,,,,1.9860,,,,,1.9860,,,,,7.2154,,,,,7.2233,,,,
2025-11-25,1243081725900.0,0.0156,1.9445,,,,,2.0079,,,,,2.0079,,,,,7.2950,,,,,7.3030,,,,
2025-11-24,1218774079600.0,0.0160,1.9065,,,,,1.9686,,,,,1.9686,,,,,7.1524,,,,,7.1602,,,,
2025-11-21,1228949373400.0,0.0158,1.9224,,,,,1.9851,,,,,1.9851,,,,,7.2121,,,,,7.2199,,,,
2025-11-20,1254952902000.0,0.0155,1.9631,,,,,2.0271,,,,,2.0271,,,,,7.3647,,,,,7.3727,,,,
2025-11-19,1252126431500.0,0.0155,1.9586,,,,,2.0225,,,,,2.0225,,,,,7.3481,,,,,7.3561,,,,
2025-11-18,1215947609100.0,0.0160,1.9021,,,,,1.9641,,,,,1.9641,,,,,7.1358,,,,,7.1436,,,,
2025-11-17,1227253491100.0,0.0158,1.9197,,,,,1.9823,,,,,1.9823,,,,,7.2021,,,,,7.2100,,,,
2025-11-14,1247604078700.0,0.0156,1.9516,,,,,2.0152,,,,,2.0152,,,,,7.3216,,,,,7.3295,,,,
2025-11-13,1265410842850.0,0.0154,1.9794,,,,,2.0439,,,,,2.0439,,,,,7.4261,,,,,7.4341,,,,
2025-11-12,1260605843000.0,0.0154,1.9719,,,,,2.0362,,,,,2.0362,,,,,7.3979,,,,,7.4059,,,,
2025-11-11,1236015549650.0,0.0157,1.9334,,,,,1.9965,,,,,1.9965,,,,,7.2536,,,,,7.2615,,,,
2025-11-10,1256366137250.0,0.0155,1.9653,,,,,2.0293,,,,,2.0293,,,,,7.3730,,,,,7.3810,,,,
2025-11-07,1232341138000.0,0.0158,1.9277,,,,,1.9905,,,,,1.9905,,,,,7.2320,,,,,7.2399,,,,
2025-11-06,1239689961300.0,0.0157,1.9392,,,,,2.0024,,,,,2.0024,,,,,7.2751,,,,,7.2830,,,,
2025-11-05,1217078197300.0,0.0160,1.9038,,,,,1.9659,,,,,1.9659,,,,,7.1424,,,,,7.1502,,,,
2025-11-04,1227536138150.0,0.0158,1.9202,,,,,1.9828,,,,,1.9828,,,,,7.2038,,,,,7.2116,,,,
2025-11-03,1217643491400.0,0.0160,1.9047,,,,,1.9668,,,,,1.9668,,,,,7.1458,,,,,7.1535,,,,
2025-10-31,1242799078850.0,0.0156,1.9441,,,,,2.0074,,,,,2.0074,,,,,7.2934,,,,,7.3013,,,,
2025-10-30,1254387607900.0,0.0155,2.3509,,,,,2.4880,,,,,2.4880,,,,,11.4306,,,,,11.4464,,,,
2025-10-29,1278129960100.0,0.0152,2.3954,,,,,2.5351,,,,,2.5351,,,,,11.6470,,,,,11.6630,,,,
2025-10-28,1274738195500.0,0.0153,2.3890,,,,,2.5284,,,,,2.5284,,,,,11.6161,,,,,11.6321,,,,
2025-10-27,1273607607300.0,0.0153,2.3869,,,,,2.5261,,,,,2.5261,,,,,11.6058,,,,,11.6218,,,,
2025-10-24,1254387607900.0,0.0155,2.3509,,,,,2.4880,,,,,2.4880,,,,,11.4306,,,,,11.4464,,,,
2025-10-23,1256931431350.0,0.0155,2.3556,,,,,2.4931,,,,,2.4931,,,,,11.4538,,,,,11.4696,,,,
2025-10-22,1241668490650.0,0.0157,2.3270,,,,,2.4628,,,,,2.4628,,,,,11.3147,,,,,11.3303,,,,
2025-10-21,1243364372950.0,0.0156,2.3302,,,,,2.4661,,,,,2.4661,,,,,11.3302,,,,,11.3458,,,,
2025-10-20,1201249962500.0,0.0162,2.2513,,,,,2.3826,,,,,2.3826,,,,,10.9464,,,,,10.9615,,,,
2025-10-17,1153482611050.0,0.0169,2.1618,,,,,2.2879,,,,,2.2879,,,,,10.5111,,,,,10.5256,,,,
2025-10-16,1209729374000.0,0.0161,2.2672,,,,,2.3678,,,,,2.3678,,,,,11.0237,,,,,11.0389,,,,
2025-10-15,1150373493500.0,0.0169,2.1559,,,,,2.2517,,,,,2.2517,,,,,10.4828,,,,,10.4973,,,,
2025-10-14,1130022905900.0,0.0172,2.1178,,,,,2.2118,,,,,2.2118,,,,,10.2974,,,,,10.3116,,,,
2025-10-13,1107128494850.0,0.0176,2.0749,,,,,2.1670,,,,,2.1670,,,,,10.0887,,,,,10.1026,,,,
2025-10-10,1120978200300.0,0.0173,2.1008,,,,,2.1941,,,,,2.1941,,,,,10.2149,,,,,10.2290,,,,
2025-10-09,1119847612100.0,0.0174,2.0987,,,,,2.1919,,,,,2.1919,,,,,10.2046,,,,,10.2187,,,,
2025-09-30,1120412906200.0,0.0174,2.0998,,,,,2.1930,,,,,2.1930,,,,,10.2098,,,,,10.2239,,,,
2025-09-29,1122108788500.0,0.0173,2.1030,,,,,2.1963,,,,,2.1963,,,,,10.2253,,,,,10.2393,,,,
2025-09-26,1087625848400.0,0.0179,2.0383,,,,,2.1288,,,,,2.1288,,,,,9.9110,,,,,9.9247,,,,
2025-09-25,1074058790000.0,0.0181,2.0129,,,,,2.1023,,,,,2.1023,,,,,9.7874,,,,,9.8009,,,,
2025-09-24,1074341437050.0,0.0181,2.0134,,,,,2.1028,,,,,2.1028,,,,,9.7900,,,,,9.8035,,,,
2025-09-23,1072645554750.0,0.0181,2.0103,,,,,2.0995,,,,,2.0995,,,,,9.7745,,,,,9.7880,,,,
2025-09-22,1070384378350.0,0.0182,2.0060,,,,,2.0951,,,,,2.0951,,,,,9.7539,,,,,9.7674,,,,
2025-09-19,1081407613300.0,0.0180,2.0267,,,,,2.1167,,,,,2.1167,,,,,9.8544,,,,,9.8679,,,,
2025-09-18,1093844083500.0,0.0178,2.0500,,,,,2.1410,,,,,2.1410,,,,,9.9677,,,,,9.9814,,,,
2025-09-17,1109107024200.0,0.0175,2.0786,,,,,2.1709,,,,,2.1709,,,,,10.1068,,,,,10.1207,,,,
2025-09-16,1095822612850.0,0.0177,2.0537,,,,,2.1449,,,,,2.1449,,,,,9.9857,,,,,9.9995,,,,
2025-09-15,1099214377450.0,0.0177,2.0601,,,,,2.1515,,,,,2.1515,,,,,10.0166,,,,,10.0304,,,,
2025-09-12,1108541730100.0,0.0175,2.0775,,,,,2.1698,,,,,2.1698,,,,,10.1016,,,,,10.1155,,,,
2025-09-11,1120978200300.0,0.0173,2.1008,,,,,2.1941,,,,,2.1941,,,,,10.2149,,,,,10.2290,,,,
2025-09-10,1115325259300.0,0.0174,2.0902,,,,,2.1831,,,,,2.1831,,,,,10.1634,,,,,10.1774,,,,
2025-09-09,1122391435550.0,0.0173,2.1035,,,,,2.1969,,,,,2.1969,,,,,10.2278,,,,,10.2419,,,,
2025-09-08,1121543494400.0,0.0173,2.1019,,,,,2.1952,,,,,2.1952,,,,,10.2201,,,,,10.2342,,,,
2025-09-05,1131436141150.0,0.0172,2.1204,,,,,2.2146,,,,,2.2146,,,,,10.3102,,,,,10.3245,,,,
2025-09-04,1144720552500.0,0.0170,2.1453,,,,,2.2406,,,,,2.2406,,,,,10.4313,,,,,10.4457,,,,
2025-09-03,1127196435400.0,0.0173,2.1125,,,,,2.2063,,,,,2.2063,,,,,10.2716,,,,,10.2858,,,,
2025-09-02,1156874375650.0,0.0168,2.1681,,,,,2.2644,,,,,2.2644,,,,,10.5421,,,,,10.5566,,,,
2025-09-01,1158004963850.0,0.0168,2.1702,,,,,2.2666,,,,,2.2666,,,,,10.5524,,,,,10.5669,,,,
2025-08-29,1189378786400.0,0.0163,2.2290,,,,,2.3280,,,,,2.3280,,,,,10.8383,,,,,10.8532,,,,
2025-08-28,1172137316350.0,0.0166,2.1967,,,,,2.2943,,,,,2.2943,,,,,10.6811,,,,,10.6959,,,,
2025-08-27,1177507610300.0,0.0156,2.2742,,,,,2.2654,,,,,2.2654,,,,,10.2155,,,,,10.2309,,,,
2025-08-26,1207185550550.0,0.0152,2.3315,,,,,2.3225,,,,,2.3225,,,,,10.4730,,,,,10.4888,,,,
