日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2025-09-01,=304.0000,=304.0000,=304.0000,=304.0000,=1386031646000.0,=1292647826432.0,=753062667408.0,,=26.5847,,,,
2025-08-29,=306.1800,=306.1800,=306.1800,=306.1800,=1395970951882.5,=1301917472029.0,=758462919430.86,,=26.7753,,,,
2025-08-28,=277.4100,=277.4100,=277.4100,=277.4100,=1264799470121.25,=1179583662929.0,=687194455808.0701,,=24.2594,,,,
2025-08-27,=278.3000,=278.3000,=278.3000,=278.3000,=1268857260137.5,=1183368059526.0,=689399145854.1,,=24.3372,,,,
2025-08-26,=289.5000,=289.5000,=289.5000,=289.5000,=1319921149687.5,=1230991492566.0,=717143559916.5,,=25.3167,,,,
2025-08-25,=290.2800,=290.2800,=290.2800,=290.2800,=1323476602882.68,=1234307342540.0,=719075760181.5599,,=25.3849,,,,
2025-08-22,=287.1800,=287.1800,=287.1800,=287.1800,=1309342740856.58,=1221125749727.0,=711396502717.86,,=25.1138,,,,
2025-08-21,=279.0000,=279.0000,=279.0000,=279.0000,=1272047582349.0,=1186343353206.0,=691133171733.0,,=24.3984,,,,
2025-08-20,=279.2000,=279.2000,=279.2000,=279.2000,=1272959444415.2,=1187193778549.0,=691628607698.4,,=24.4159,,,,
2025-08-19,=277.8000,=277.8000,=277.8000,=277.8000,=1266576409951.8,=1181240801149.0,=688160555940.6,,=24.2935,,,,
2025-08-18,=283.0000,=283.0000,=283.0000,=283.0000,=1290284823673.0,=1203351860062.0,=701041891041.0,,=24.7482,,,,
2025-08-15,=280.6700,=280.6700,=280.6700,=280.6700,=1279661630601.77,=1193444404818.0,=695270062044.0901,,=24.5445,,,,
2025-08-14,=279.8900,=279.8900,=279.8900,=279.8900,=1276105368543.5898,=1190127745981.0,=693337861779.0299,,=24.4763,,,,
2025-08-13,=273.6000,=273.6000,=273.6000,=273.6000,=1247427306561.6,=1163381868950.0,=677756400667.2001,,=23.9262,,,,
2025-08-12,=263.2500,=263.2500,=263.2500,=263.2500,=1200238439370.75,=1119372352196.0,=652117589457.75,,=23.0211,,,,
2025-08-11,=263.6600,=263.6600,=263.6600,=263.6600,=1202107756598.26,=1121115724140.0,=653133233186.8201,,=23.0570,,,,
2025-08-08,=263.4800,=263.4800,=263.4800,=263.4800,=1201287080742.28,=1120350341335.0,=652687340817.9601,,=23.0412,,,,
2025-08-07,=263.0500,=263.0500,=263.0500,=263.0500,=1199326577308.55,=1118521926857.0,=651622153492.35,,=23.0036,,,,
2025-08-06,=265.0000,=265.0000,=265.0000,=265.0000,=1208217232415.0,=1126813573910.0,=656452654155.0,,=23.1741,,,,
2025-08-05,=265.7000,=265.7000,=265.7000,=265.7000,=1211408749632.7,=1129790062596.0,=658186680033.9,,=23.2354,,,,
2025-08-04,=266.4800,=266.4800,=266.4800,=266.4800,=1214965011675.28,=1133106721417.0,=660118880298.9601,,=23.3036,,,,
2025-08-01,=263.0700,=263.0700,=263.0700,=263.0700,=1199417763514.77,=1118606969391.0,=651671697088.89,,=23.0054,,,,
2025-07-31,=264.6200,=264.6200,=264.6200,=264.6200,=1206484694496.82,=1125197765766.0,=655511325820.74,,=23.1409,,,,
2025-07-30,=277.0900,=277.0900,=277.0900,=277.0900,=1263339294074.99,=1081359362020.0,=686386690386.32,,=26.5549,,,,
2025-07-29,=291.8200,=291.8200,=291.8200,=291.8200,=1330497934956.02,=1138844018278.0,=722874748235.36,,=27.9665,,,,
2025-07-28,=286.3000,=286.3000,=286.3000,=286.3000,=1305330542039.3,=1117301906768.0,=709201015762.4,,=27.4375,,,,
2025-07-25,=282.8000,=282.8000,=282.8000,=282.8000,=1289372955950.8,=1103642959252.0,=700531076694.4,,=27.1021,,,,
2025-07-24,=285.2000,=285.2000,=285.2000,=285.2000,=1300315300697.2,=1113009094692.0,=706476177769.6,,=27.3321,,,,
2025-07-23,=287.0200,=287.0200,=287.0200,=287.0200,=1308613245463.22,=1120111747400.0,=710984546084.96,,=27.5065,,,,
2025-07-22,=286.6600,=286.6600,=286.6600,=286.6600,=1306971893751.26,=1118706827084.0,=710092780923.68,,=27.4720,,,,
2025-07-21,=279.6600,=279.6600,=279.6600,=279.6600,=1275056721574.26,=1091388932053.0,=692752902787.68,,=26.8012,,,,
2025-07-18,=271.2000,=271.2000,=271.2000,=271.2000,=1236484956343.2,=1058373304630.0,=671796421497.6,,=25.9904,,,,
2025-07-17,=265.5000,=265.5000,=265.5000,=265.5000,=1210496887570.5,=1036128732962.0,=657676806444.0,,=25.4442,,,,
2025-07-16,=264.4000,=264.4000,=264.4000,=264.4000,=1205481646228.4,=1031835920885.0,=654951968451.2,,=25.3387,,,,
2025-07-15,=267.7500,=267.7500,=267.7500,=267.7500,=1220755335770.25,=1044909484936.0,=663250338702.0,,=25.6598,,,,
2025-07-14,=268.5000,=268.5000,=268.5000,=268.5000,=1224174818503.5,=1047836402261.0,=665108182788.0,,=25.7317,,,,
2025-07-11,=271.5000,=271.5000,=271.5000,=271.5000,=1237852749436.5,=1059544071560.0,=672539559132.0,,=26.0192,,,,
2025-07-10,=272.0000,=272.0000,=272.0000,=272.0000,=1240132404592.0,=1061495349776.0,=673778121856.0,,=26.0671,,,,
2025-07-09,=270.8000,=270.8000,=270.8000,=270.8000,=1234661232218.8,=1056812282056.0,=670805571318.4,,=25.9521,,,,
2025-07-08,=263.3100,=263.3100,=263.3100,=263.3100,=1200511997989.41,=1027582134373.0,=652251901712.88,,=25.2343,,,,
2025-07-07,=260.8900,=260.8900,=260.8900,=260.8900,=1189478467036.79,=1018137947805.0,=646257258128.72,,=25.0024,,,,
2025-07-04,=265.8000,=265.8000,=265.8000,=265.8000,=1211864680663.8,=1037299499891.0,=658419944078.4,,=25.4729,,,,
