日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-12-09,=5.9300,=5.9300,=5.9300,=5.9300,=718053406836.46,=561882178974.0,=83759126982.9099,,=0.8709,,,,
2025-12-08,=5.9600,=5.9600,=5.9600,=5.9600,=721686054763.12,=564724753235.0,=84182866242.5199,,=0.8753,,,,
2025-12-05,=5.9600,=5.9600,=5.9600,=5.9600,=721686054763.12,=564724753235.0,=84182866242.5199,,=0.8753,,,,
2025-12-04,=5.9700,=5.9700,=5.9700,=5.9700,=722896937405.34,=565672277989.0,=84324112662.3899,,=0.8768,,,,
2025-12-03,=5.9500,=5.9500,=5.9500,=5.9500,=720475172120.9,=563777228481.0,=84041619822.6499,,=0.8738,,,,
2025-12-02,=5.9800,=5.9800,=5.9800,=5.9800,=724107820047.56,=566619802743.0,=84465359082.2599,,=0.8783,,,,
2025-12-01,=5.8500,=5.8500,=5.8500,=5.8500,=708366345698.7,=554301980944.0,=82629155623.9499,,=0.8592,,,,
2025-11-28,=5.7800,=5.7800,=5.7800,=5.7800,=699890167203.16,=547669307668.0,=81640430684.8599,,=0.8489,,,,
2025-11-27,=5.8100,=5.8100,=5.8100,=5.8100,=703522815129.82,=550511881929.0,=82064169944.4699,,=0.8533,,,,
2025-11-26,=5.7400,=5.7400,=5.7400,=5.7400,=695046636634.28,=543879208653.0,=81075445005.3799,,=0.8430,,,,
2025-11-25,=5.8000,=5.8000,=5.8000,=5.8000,=702311932487.6,=549564357175.0,=81922923524.5999,,=0.8518,,,,
2025-11-24,=5.8400,=5.8400,=5.8400,=5.8400,=707155463056.48,=553354456190.0,=82487909204.0799,,=0.8577,,,,
2025-11-21,=5.9700,=5.9700,=5.9700,=5.9700,=723430353777.0599,=566205694360.0,=84324112662.3899,,=0.8774,,,,
2025-11-20,=6.0500,=6.0500,=6.0500,=6.0500,=733124562872.9,=573793040349.0,=85454084021.3499,,=0.8892,,,,
2025-11-19,=6.0500,=6.0500,=6.0500,=6.0500,=733124562872.9,=573793040349.0,=85454084021.3499,,=0.8892,,,,
2025-11-18,=5.8000,=5.8000,=5.8000,=5.8000,=702830159448.4,=550082584136.0,=81922923524.5999,,=0.8524,,,,
2025-11-17,=5.7800,=5.7800,=5.7800,=5.7800,=700406607174.4401,=548185747639.0,=81640430684.8599,,=0.8495,,,,
2025-11-14,=5.7100,=5.7100,=5.7100,=5.7100,=691924174215.58,=541546819899.0,=80651705745.7699,,=0.8392,,,,
2025-11-13,=5.6800,=5.6800,=5.6800,=5.6800,=688288845804.64,=538701565154.0,=80227966486.1599,,=0.8348,,,,
2025-11-12,=5.7100,=5.7100,=5.7100,=5.7100,=691924174215.58,=541546819899.0,=80651705745.7699,,=0.8392,,,,
2025-11-11,=5.6700,=5.6700,=5.6700,=5.6700,=687077069667.66,=537753146905.0,=80086720066.2899,,=0.8333,,,,
2025-11-10,=5.6600,=5.6600,=5.6600,=5.6600,=685865293530.68,=536804728657.0,=79945473646.4199,,=0.8319,,,,
2025-11-07,=5.6100,=5.6100,=5.6100,=5.6100,=679806412845.78,=532062637414.0,=79239241547.0699,,=0.8245,,,,
2025-11-06,=5.5500,=5.5500,=5.5500,=5.5500,=672535756023.9,=526372127923.0,=78391763027.8499,,=0.8157,,,,
2025-11-05,=5.5500,=5.5500,=5.5500,=5.5500,=672535756023.9,=526372127923.0,=78391763027.8499,,=0.8157,,,,
2025-11-04,=5.5800,=5.5800,=5.5800,=5.5800,=676171084434.84,=529217382669.0,=78815502287.4599,,=0.8201,,,,
2025-11-03,=5.5700,=5.5700,=5.5700,=5.5700,=674959308297.86,=528268964420.0,=78674255867.5899,,=0.8186,,,,
2025-10-31,=5.4700,=5.4700,=5.4700,=5.4700,=662841546928.0599,=518784781935.0,=77261791668.8899,,=0.8039,,,,
2025-10-30,=5.5300,=5.5300,=5.5300,=5.5300,=670112203749.9401,=524475291426.0,=78109270188.1099,,=0.8128,,,,
2025-10-29,=5.5200,=5.5200,=5.5200,=5.5200,=668900427612.96,=523526873178.0,=78018474443.0399,,=0.8255,,,,
2025-10-28,=5.5600,=5.5600,=5.5600,=5.5600,=673747532160.88,=527320546172.0,=78583825707.1199,,=0.8315,,,,
2025-10-27,=5.5800,=5.5800,=5.5800,=5.5800,=676171084434.84,=529217382669.0,=78866501339.1599,,=0.8345,,,,
2025-10-24,=5.5400,=5.5400,=5.5400,=5.5400,=671323979886.92,=525423709675.0,=78301150075.0799,,=0.8285,,,,
2025-10-23,=5.5600,=5.5600,=5.5600,=5.5600,=673747532160.88,=527320546172.0,=78583825707.1199,,=0.8315,,,,
2025-10-22,=5.5000,=5.5000,=5.5000,=5.5000,=666476875339.0,=521630036680.0,=77735798810.9999,,=0.8225,,,,
2025-10-21,=5.4600,=5.4600,=5.4600,=5.4600,=661629770791.08,=517836363686.0,=77170447546.9199,,=0.8165,,,,
2025-10-20,=5.4700,=5.4700,=5.4700,=5.4700,=662841546928.0599,=518784781935.0,=77311785362.9399,,=0.8180,,,,
2025-10-17,=5.4100,=5.4100,=5.4100,=5.4100,=655570890106.18,=513094272444.0,=76463758466.8199,,=0.8090,,,,
2025-10-16,=5.4500,=5.4500,=5.4500,=5.4500,=660417994654.1,=516887945438.0,=77029109730.8999,,=0.8150,,,,
2025-10-15,=5.3900,=5.3900,=5.3900,=5.3900,=653147337832.22,=511197435947.0,=76181082834.7799,,=0.8060,,,,
2025-10-14,=5.4200,=5.4200,=5.4200,=5.4200,=656782666243.16,=514042690692.0,=76605096282.8399,,=0.8105,,,,
2025-10-13,=5.3600,=5.3600,=5.3600,=5.3600,=649512009421.28,=508352181201.0,=75757069386.7199,,=0.8016,,,,
2025-10-10,=5.3700,=5.3700,=5.3700,=5.3700,=650723785558.26,=509300599450.0,=75898407202.7399,,=0.8031,,,,
2025-10-09,=5.3600,=5.3600,=5.3600,=5.3600,=649512009421.28,=508352181201.0,=75757069386.7199,,=0.8016,,,,
2025-09-30,=5.2900,=5.2900,=5.2900,=5.2900,=641029576462.42,=501713253462.0,=74767704674.5799,,=0.7911,,,,
2025-09-29,=5.3100,=5.3100,=5.3100,=5.3100,=643453128736.38,=503610089959.0,=75050380306.6199,,=0.7941,,,,
2025-09-26,=5.3500,=5.3500,=5.3500,=5.3500,=648300233284.2999,=507403762953.0,=75615731570.6999,,=0.8001,,,,
2025-09-25,=5.3500,=5.3500,=5.3500,=5.3500,=648300233284.2999,=507403762953.0,=75615731570.6999,,=0.8001,,,,
2025-09-24,=5.3600,=5.3600,=5.3600,=5.3600,=649512009421.28,=508352181201.0,=75757069386.7199,,=0.8016,,,,
2025-09-23,=5.3600,=5.3600,=5.3600,=5.3600,=649512009421.28,=508352181201.0,=75757069386.7199,,=0.8016,,,,
2025-09-22,=5.3200,=5.3200,=5.3200,=5.3200,=644664904873.36,=504558508207.0,=75191718122.6399,,=0.7956,,,,
2025-09-19,=5.3600,=5.3600,=5.3600,=5.3600,=649512009421.28,=508352181201.0,=75757069386.7199,,=0.8016,,,,
2025-09-18,=5.4000,=5.4000,=5.4000,=5.4000,=654359113969.2001,=512145854195.0,=76322420650.7999,,=0.8075,,,,
2025-09-17,=5.4900,=5.4900,=5.4900,=5.4900,=665265099202.02,=520681618432.0,=77594460994.9799,,=0.8210,,,,
2025-09-16,=5.4800,=5.4800,=5.4800,=5.4800,=664053323065.04,=519733200183.0,=77453123178.9599,,=0.8195,,,,
2025-09-15,=5.5200,=5.5200,=5.5200,=5.5200,=668900427612.96,=523526873178.0,=78018474443.0399,,=0.8255,,,,
2025-09-12,=5.5300,=5.5300,=5.5300,=5.5300,=670112203749.9401,=524475291426.0,=78159812259.0599,,=0.8270,,,,
2025-09-11,=5.6300,=5.6300,=5.6300,=5.6300,=682229965119.74,=533959473911.0,=79573190419.2599,,=0.8310,,,,
2025-09-10,=5.6100,=5.6100,=5.6100,=5.6100,=679806412845.78,=532062637414.0,=79290514787.2199,,=0.8281,,,,
2025-09-09,=5.6600,=5.6600,=5.6600,=5.6600,=685865293530.68,=536804728657.0,=79997203867.3199,,=0.8354,,,,
2025-09-08,=5.6800,=5.6800,=5.6800,=5.6800,=688288845804.64,=538701565154.0,=80279879499.3599,,=0.8384,,,,
2025-09-05,=5.6900,=5.6900,=5.6900,=5.6900,=689500621941.62,=539649983402.0,=80421217315.3799,,=0.8399,,,,
2025-09-04,=5.7800,=5.7800,=5.7800,=5.7800,=700406607174.4401,=548185747639.0,=81693257659.5599,,=0.8531,,,,
2025-09-03,=5.7500,=5.7500,=5.7500,=5.7500,=697160116763.5,=545340492893.0,=81269244211.4999,,=0.8492,,,,
2025-09-02,=5.8100,=5.8100,=5.8100,=5.8100,=704434831025.38,=551031002384.0,=82117271107.6199,,=0.8581,,,,
2025-09-01,=5.7000,=5.7000,=5.7000,=5.7000,=691097854878.6,=540598401651.0,=80562555131.3999,,=0.8418,,,,
2025-08-29,=5.7100,=5.7100,=5.7100,=5.7100,=692310307255.58,=541546819899.0,=80703892947.4199,,=0.8433,,,,
2025-08-28,=5.7600,=5.7600,=5.7600,=5.7600,=698372569140.48,=546288911142.0,=81410582027.5199,,=0.8507,,,,
2025-08-27,=5.7400,=5.7400,=5.7400,=5.7400,=695947664386.52,=544392074645.0,=81127906395.4799,,=0.8477,,,,
2025-08-26,=5.8200,=5.8200,=5.8200,=5.8200,=705647283402.36,=551979420633.0,=82304793533.6399,,=0.8595,,,,
2025-08-25,=5.8400,=5.8400,=5.8400,=5.8400,=708072188156.32,=553876257130.0,=82587627875.6799,,=0.8625,,,,
2025-08-22,=5.8300,=5.8300,=5.8300,=5.8300,=706859735779.34,=552927838881.0,=82446210704.6599,,=0.8610,,,,
2025-08-21,=5.8600,=5.8600,=5.8600,=5.8600,=710497092910.28,=555773093627.0,=83037395451.7199,,=0.8757,,,,
2025-08-20,=5.7200,=5.7200,=5.7200,=5.7200,=693522759632.5599,=542495238148.0,=81053566891.4399,,=0.8548,,,,
2025-08-19,=5.6700,=5.6700,=5.6700,=5.6700,=687460497747.66,=537753146905.0,=80345056691.3399,,=0.8473,,,,
2025-08-18,=5.6800,=5.6800,=5.6800,=5.6800,=688672950124.64,=538701565154.0,=80486758731.3599,,=0.8488,,,,
2025-08-15,=5.6800,=5.6800,=5.6800,=5.6800,=688672950124.64,=538701565154.0,=80486758731.3599,,=0.8488,,,,
2025-08-14,=5.6900,=5.6900,=5.6900,=5.6900,=689885402501.62,=539649983402.0,=80628460771.3799,,=0.8503,,,,
2025-08-13,=5.7200,=5.7200,=5.7200,=5.7200,=693522759632.5599,=542495238148.0,=81053566891.4399,,=0.8548,,,,
2025-08-12,=5.7600,=5.7600,=5.7600,=5.7600,=698372569140.48,=546288911142.0,=81620375051.5199,,=0.8608,,,,
2025-08-11,=5.6800,=5.6800,=5.6800,=5.6800,=688672950124.64,=538701565154.0,=80486758731.3599,,=0.8488,,,,
2025-08-08,=5.7400,=5.7400,=5.7400,=5.7400,=695947664386.52,=544392074645.0,=81336970971.4799,,=0.8578,,,,
2025-08-07,=5.7300,=5.7300,=5.7300,=5.7300,=694735212009.54,=543443656396.0,=81195268931.4599,,=0.8563,,,,
2025-08-06,=5.7100,=5.7100,=5.7100,=5.7100,=692310307255.58,=541546819899.0,=80911864851.4199,,=0.8533,,,,
2025-08-05,=5.7100,=5.7100,=5.7100,=5.7100,=692310307255.58,=541546819899.0,=80911864851.4199,,=0.8533,,,,
2025-08-04,=5.6500,=5.6500,=5.6500,=5.6500,=685035592993.7001,=535856310408.0,=80061652611.2999,,=0.8443,,,,
2025-08-01,=5.6900,=5.6900,=5.6900,=5.6900,=689885402501.62,=539649983402.0,=80628460771.3799,,=0.8503,,,,
2025-07-31,=6.0100,=6.0100,=6.0100,=6.0100,=728683878564.98,=569999367355.0,=85162926052.0199,,=0.8981,,,,
2025-07-30,=6.0100,=6.0100,=6.0100,=6.0100,=728683878564.98,=569999367355.0,=85162926052.0199,,=0.8981,,,,
2025-07-29,=5.9000,=5.9000,=5.9000,=5.9000,=715346902418.2001,=559566766621.0,=83604203611.7999,,=0.8817,,,,
2025-07-28,=5.8800,=5.8800,=5.8800,=5.8800,=712921997664.24,=557669930124.0,=83320799531.7599,,=0.8787,,,,
2025-07-25,=5.9600,=5.9600,=5.9600,=5.9600,=722621616680.08,=565257276112.0,=84454415851.9199,,=0.8906,,,,
2025-07-24,=5.9800,=5.9800,=5.9800,=5.9800,=725046521434.04,=567154112609.0,=84737819931.9599,,=0.8936,,,,
2025-07-23,=6.0200,=6.0200,=6.0200,=6.0200,=729896330941.96,=570947785603.0,=85304628092.0399,,=0.8996,,,,
2025-07-22,=6.0300,=6.0300,=6.0300,=6.0300,=731108783318.9401,=571896203852.0,=85446330132.0599,,=0.9011,,,,
2025-07-21,=5.9200,=5.9200,=5.9200,=5.9200,=717771807172.16,=561463603118.0,=83887607691.8399,,=0.8847,,,,
2025-07-18,=5.8200,=5.8200,=5.8200,=5.8200,=705647283402.36,=551979420633.0,=82470587291.6399,,=0.8697,,,,
2025-07-17,=5.7300,=5.7300,=5.7300,=5.7300,=694735212009.54,=543443656396.0,=81195268931.4599,,=0.8563,,,,
2025-07-16,=5.7600,=5.7600,=5.7600,=5.7600,=698372569140.48,=546288911142.0,=81620375051.5199,,=0.8608,,,,
2025-07-15,=5.7600,=5.7600,=5.7600,=5.7600,=698372569140.48,=546288911142.0,=81620375051.5199,,=0.8608,,,,
2025-07-14,=5.7700,=5.7700,=5.7700,=5.7700,=699585021517.46,=547237329390.0,=81762077091.5399,,=0.8622,,,,
2025-07-11,=5.7100,=5.7100,=5.7100,=5.7100,=692310307255.58,=541546819899.0,=80911864851.4199,,=0.8533,,,,
2025-07-10,=5.7600,=5.7600,=5.7600,=5.7600,=698372569140.48,=546288911142.0,=81620375051.5199,,=0.8608,,,,
2025-07-09,=5.6800,=5.6800,=5.6800,=5.6800,=688672950124.64,=538701565154.0,=80486758731.3599,,=0.8488,,,,
2025-07-08,=5.6800,=5.6800,=5.6800,=5.6800,=688672950124.64,=538701565154.0,=80486758731.3599,,=0.8488,,,,
2025-07-07,=5.6500,=5.6500,=5.6500,=5.6500,=685035592993.7001,=535856310408.0,=80061652611.2999,,=0.8443,,,,
2025-07-04,=5.6800,=5.6800,=5.6800,=5.6800,=688672950124.64,=538701565154.0,=80486758731.3599,,=0.8488,,,,
