date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-04-10,456846782187.4401,0.6311,,,,,2.1501,,,,,6.4693,,,,,0.6319,,,,,0.0464,6.5433,,,,
2026-04-09,458516137055.36,0.6334,,,,,2.1580,,,,,6.4929,,,,,0.6342,,,,,0.0462,6.5672,,,,
2026-04-08,462411298413.84,0.6388,,,,,2.1763,,,,,6.5481,,,,,0.6396,,,,,0.0458,6.6230,,,,
2026-04-07,461854846791.2,0.6380,,,,,2.1737,,,,,6.5402,,,,,0.6388,,,,,0.0459,6.6150,,,,
2026-04-03,460741943545.92,0.6365,,,,,2.1685,,,,,6.5244,,,,,0.6373,,,,,0.0460,6.5991,,,,
2026-04-02,465750008149.6799,0.6434,,,,,2.1920,,,,,6.5953,,,,,0.6442,,,,,0.0455,6.6708,,,,
2026-04-01,461854846791.2,0.6380,,,,,2.1737,,,,,6.5402,,,,,0.6388,,,,,0.0459,6.6150,,,,
2026-03-31,461854846791.2,0.6380,,,,,2.1737,,,,,6.5402,,,,,0.6388,,,,,0.0459,6.6150,,,,
2026-03-30,460741943545.92,0.6365,,,,,2.1685,,,,,6.5244,,,,,0.6373,,,,,0.0460,6.5991,,,,
2026-03-27,462967750036.48,0.6396,,,,,2.1789,,,,,6.5559,,,,,0.6404,,,,,0.0458,6.6310,,,,
2026-03-26,466306459772.3201,0.6442,,,,,2.1946,,,,,6.6032,,,,,0.6450,,,,,0.0455,6.6788,,,,
2026-03-25,460185491923.28,0.6357,,,,,2.1658,,,,,6.5165,,,,,0.6365,,,,,0.0461,6.5911,,,,
2026-03-24,455177427319.52,0.6288,,,,,2.1423,,,,,6.4456,,,,,0.6296,,,,,0.0466,6.5194,,,,
2026-03-23,438483878640.32,0.6058,,,,,2.0637,,,,,6.2092,,,,,0.6065,,,,,0.0484,6.2803,,,,
2026-03-20,443491943244.08,0.6265,,,,,2.1318,,,,,6.3229,,,,,0.6273,,,,,0.0452,6.3860,,,,
2026-03-19,438483878640.32,0.6194,,,,,2.1078,,,,,6.2515,,,,,0.6202,,,,,0.0457,6.3139,,,,
2026-03-18,439596781885.6001,0.6210,,,,,2.1131,,,,,6.2673,,,,,0.6218,,,,,0.0456,6.3300,,,,
2026-03-17,435145168904.4801,0.6147,,,,,2.0917,,,,,6.2039,,,,,0.6155,,,,,0.0461,6.2659,,,,
2026-03-16,420677426715.84,0.5943,,,,,2.0222,,,,,5.9976,,,,,0.5950,,,,,0.0476,6.0575,,,,
2026-03-13,417895168602.64,0.5903,,,,,2.0088,,,,,5.9579,,,,,0.5911,,,,,0.0480,6.0175,,,,
2026-03-12,412330652376.24,0.5825,,,,,1.9820,,,,,5.8786,,,,,0.5832,,,,,0.0486,5.9373,,,,
2026-03-11,408435491017.76,0.5770,,,,,1.9633,,,,,5.8231,,,,,0.5777,,,,,0.0491,5.8813,,,,
2026-03-10,403983878036.64,0.5707,,,,,1.9419,,,,,5.7596,,,,,0.5714,,,,,0.0496,5.8172,,,,
2026-03-09,402314523168.7201,0.5683,,,,,1.9339,,,,,5.7358,,,,,0.5691,,,,,0.0498,5.7931,,,,
2026-03-06,404540329659.28,0.5715,,,,,1.9446,,,,,5.7675,,,,,0.5722,,,,,0.0495,5.8252,,,,
2026-03-05,401758071546.08,0.5675,,,,,1.9312,,,,,5.7279,,,,,0.5683,,,,,0.0499,5.7851,,,,
2026-03-04,398419361810.24,0.5628,,,,,1.9152,,,,,5.6803,,,,,0.5636,,,,,0.0503,5.7370,,,,
2026-03-03,405096781281.9201,0.5722,,,,,1.9473,,,,,5.7755,,,,,0.5730,,,,,0.0495,5.8332,,,,
2026-03-02,398975813432.88,0.5636,,,,,1.9178,,,,,5.6882,,,,,0.5643,,,,,0.0502,5.7450,,,,
2026-02-27,400645168300.8,0.5660,,,,,1.9259,,,,,5.7120,,,,,0.5667,,,,,0.0500,5.7691,,,,
2026-02-26,402314523168.7201,0.5683,,,,,1.9339,,,,,5.7358,,,,,0.5691,,,,,0.0498,5.7931,,,,
2026-02-25,403427426414.0,0.5699,,,,,1.9392,,,,,5.7517,,,,,0.5706,,,,,0.0497,5.8091,,,,
2026-02-24,408435491017.76,0.5770,,,,,1.9633,,,,,5.8231,,,,,0.5777,,,,,0.0491,5.8813,,,,
2026-02-13,408435491017.76,0.5770,,,,,1.9633,,,,,5.8231,,,,,0.5777,,,,,0.0491,5.8813,,,,
2026-02-12,412330652376.24,0.5825,,,,,1.9820,,,,,5.8786,,,,,0.5832,,,,,0.0486,5.9373,,,,
2026-02-11,424572588074.32,0.5998,,,,,2.0409,,,,,6.0531,,,,,0.6006,,,,,0.0472,6.1136,,,,
2026-02-10,421233878338.4801,0.5950,,,,,2.0248,,,,,6.0055,,,,,0.5958,,,,,0.0476,6.0655,,,,
2026-02-09,415669362112.08,0.5872,,,,,1.9981,,,,,5.9262,,,,,0.5880,,,,,0.0482,5.9854,,,,
2026-02-06,414556458866.8,0.5856,,,,,1.9927,,,,,5.9103,,,,,0.5864,,,,,0.0483,5.9694,,,,
2026-02-05,415669362112.08,0.5872,,,,,1.9981,,,,,5.9262,,,,,0.5880,,,,,0.0482,5.9854,,,,
2026-02-04,408991942640.4,0.5777,,,,,1.9660,,,,,5.8310,,,,,0.5785,,,,,0.0490,5.8893,,,,
2026-02-03,402314523168.7201,0.5683,,,,,1.9339,,,,,5.7358,,,,,0.5691,,,,,0.0498,5.7931,,,,
2026-02-02,410661297508.32,0.5801,,,,,1.9740,,,,,5.8548,,,,,0.5809,,,,,0.0488,5.9133,,,,
2026-01-30,400088716678.1601,0.5652,,,,,1.9232,,,,,5.7041,,,,,0.5659,,,,,0.0501,5.7611,,,,
2026-01-29,401201619923.44,0.5667,,,,,1.9285,,,,,5.7199,,,,,0.5675,,,,,0.0500,5.7771,,,,
2026-01-28,403427426414.0,0.5699,,,,,1.9392,,,,,5.7517,,,,,0.5706,,,,,0.0497,5.8091,,,,
2026-01-27,408435491017.76,0.5770,,,,,1.9633,,,,,5.8231,,,,,0.5777,,,,,0.0491,5.8813,,,,
2026-01-26,409548394263.0401,0.5785,,,,,1.9687,,,,,5.8389,,,,,0.5793,,,,,0.0489,5.8973,,,,
2026-01-23,410661297508.32,0.5801,,,,,1.9740,,,,,5.8548,,,,,0.5809,,,,,0.0488,5.9133,,,,
2026-01-22,416782265357.36,0.5888,,,,,2.0034,,,,,5.9421,,,,,0.5895,,,,,0.0481,6.0014,,,,
2026-01-21,423459684829.0401,0.5982,,,,,2.0355,,,,,6.0373,,,,,0.5990,,,,,0.0473,6.0976,,,,
2026-01-20,436814523772.4,0.6171,,,,,2.0997,,,,,6.2277,,,,,0.6179,,,,,0.0459,6.2899,,,,
2026-01-19,428467749432.8,0.6053,,,,,2.0596,,,,,6.1087,,,,,0.6061,,,,,0.0468,6.1697,,,,
2026-01-16,423459684829.0401,0.5982,,,,,2.0355,,,,,6.0373,,,,,0.5990,,,,,0.0473,6.0976,,,,
2026-01-15,424572588074.32,0.5998,,,,,2.0409,,,,,6.0531,,,,,0.6006,,,,,0.0472,6.1136,,,,
2026-01-14,422903233206.4,0.5974,,,,,2.0329,,,,,6.0293,,,,,0.5982,,,,,0.0474,6.0896,,,,
2026-01-13,425129039696.96,0.6005,,,,,2.0436,,,,,6.0611,,,,,0.6013,,,,,0.0471,6.1216,,,,
2026-01-12,415669362112.08,0.5872,,,,,1.9981,,,,,5.9262,,,,,0.5880,,,,,0.0482,5.9854,,,,
2026-01-09,411217749130.96,0.5809,,,,,1.9767,,,,,5.8627,,,,,0.5817,,,,,0.0487,5.9213,,,,
2026-01-08,412330652376.24,0.5825,,,,,1.9820,,,,,5.8786,,,,,0.5832,,,,,0.0486,5.9373,,,,
2026-01-07,411774200753.6001,0.5817,,,,,1.9794,,,,,5.8707,,,,,0.5824,,,,,0.0487,5.9293,,,,
2026-01-06,414556458866.8,0.5856,,,,,1.9927,,,,,5.9103,,,,,0.5864,,,,,0.0483,5.9694,,,,
2026-01-05,420677426715.84,0.5943,,,,,2.0222,,,,,5.9976,,,,,0.5950,,,,,0.0476,6.0575,,,,
2025-12-31,428467749432.8,0.6053,,,,,2.0596,,,,,6.1087,,,,,0.6061,,,,,0.0468,6.1697,,,,
2025-12-30,424016136451.68,0.5990,,,,,2.0382,,,,,6.0452,,,,,0.5998,,,,,0.0473,6.1056,,,,
2025-12-29,421233878338.4801,0.5950,,,,,2.0248,,,,,6.0055,,,,,0.5958,,,,,0.0476,6.0655,,,,
2025-12-26,412887103998.88,0.5833,,,,,1.9847,,,,,5.8865,,,,,0.5840,,,,,0.0485,5.9454,,,,
2025-12-25,416225813734.7201,0.5880,,,,,2.0008,,,,,5.9341,,,,,0.5887,,,,,0.0482,5.9934,,,,
2025-12-24,412887103998.88,0.5833,,,,,1.9847,,,,,5.8865,,,,,0.5840,,,,,0.0485,5.9454,,,,
2025-12-23,415669362112.08,0.5872,,,,,1.9981,,,,,5.9262,,,,,0.5880,,,,,0.0482,5.9854,,,,
2025-12-22,411217749130.96,0.5809,,,,,1.9767,,,,,5.8627,,,,,0.5817,,,,,0.0487,5.9213,,,,
2025-12-19,415112910489.44,0.5864,,,,,1.9954,,,,,5.9183,,,,,0.5872,,,,,0.0483,5.9774,,,,
2025-12-18,417895168602.64,0.5903,,,,,2.0088,,,,,5.9579,,,,,0.5911,,,,,0.0480,6.0175,,,,
2025-12-17,410661297508.32,0.5801,,,,,1.9740,,,,,5.8548,,,,,0.5809,,,,,0.0488,5.9133,,,,
2025-12-16,409548394263.0401,0.5785,,,,,1.9687,,,,,5.8389,,,,,0.5793,,,,,0.0489,5.8973,,,,
2025-12-15,412887103998.88,0.5833,,,,,1.9847,,,,,5.8865,,,,,0.5840,,,,,0.0485,5.9454,,,,
2025-12-12,415112910489.44,0.5864,,,,,1.9954,,,,,5.9183,,,,,0.5872,,,,,0.0483,5.9774,,,,
2025-12-11,417895168602.64,0.5903,,,,,2.0088,,,,,5.9579,,,,,0.5911,,,,,0.0480,6.0175,,,,
2025-12-10,416782265357.36,0.5888,,,,,2.0034,,,,,5.9421,,,,,0.5895,,,,,0.0481,6.0014,,,,
2025-12-09,424016136451.68,0.5990,,,,,2.0382,,,,,6.0452,,,,,0.5998,,,,,0.0473,6.1056,,,,
2025-12-08,425129039696.96,0.6005,,,,,2.0436,,,,,6.0611,,,,,0.6013,,,,,0.0471,6.1216,,,,
2025-12-05,430137104300.7201,0.6076,,,,,2.0676,,,,,6.1325,,,,,0.6084,,,,,0.0466,6.1937,,,,
2025-12-04,432919362413.9201,0.6115,,,,,2.0810,,,,,6.1721,,,,,0.6124,,,,,0.0463,6.2338,,,,
2025-12-03,432919362413.9201,0.6115,,,,,2.0810,,,,,6.1721,,,,,0.6124,,,,,0.0463,6.2338,,,,
2025-12-02,432919362413.9201,0.6115,,,,,2.0810,,,,,6.1721,,,,,0.6124,,,,,0.0463,6.2338,,,,
2025-12-01,432919362413.9201,0.6115,,,,,2.0810,,,,,6.1721,,,,,0.6124,,,,,0.0463,6.2338,,,,
2025-11-28,431806459168.64,0.6100,,,,,2.0757,,,,,6.1563,,,,,0.6108,,,,,0.0464,6.2178,,,,
2025-11-27,436258072149.76,0.6163,,,,,2.0971,,,,,6.2197,,,,,0.6171,,,,,0.0459,6.2819,,,,
2025-11-26,434588717281.84,0.6139,,,,,2.0890,,,,,6.1959,,,,,0.6147,,,,,0.0461,6.2578,,,,
2025-11-25,440153233508.24,0.6218,,,,,2.1158,,,,,6.2753,,,,,0.6226,,,,,0.0455,6.3380,,,,
2025-11-24,429580652678.08,0.6068,,,,,2.0650,,,,,6.1245,,,,,0.6076,,,,,0.0467,6.1857,,,,
2025-11-21,440709685130.88,0.6226,,,,,2.1185,,,,,6.2832,,,,,0.6234,,,,,0.0455,6.3460,,,,
2025-11-20,453508072451.6,0.6313,,,,,2.1800,,,,,6.4657,,,,,0.6321,,,,,0.0442,6.5303,,,,
2025-11-19,447387104602.56,0.6228,,,,,2.1505,,,,,6.3784,,,,,0.6236,,,,,0.0448,6.4421,,,,
2025-11-18,440709685130.88,0.6135,,,,,2.1185,,,,,6.2832,,,,,0.6143,,,,,0.0455,6.3460,,,,
2025-11-17,443491943244.08,0.6174,,,,,2.1318,,,,,6.3229,,,,,0.6182,,,,,0.0452,6.3860,,,,
2025-11-14,447387104602.56,0.6228,,,,,2.1505,,,,,6.3784,,,,,0.6236,,,,,0.0448,6.4421,,,,
2025-11-13,447943556225.2,0.6236,,,,,2.1532,,,,,6.3863,,,,,0.6244,,,,,0.0447,6.4501,,,,
2025-11-12,452395169206.3201,0.6298,,,,,2.1746,,,,,6.4498,,,,,0.6306,,,,,0.0443,6.5143,,,,
2025-11-11,453508072451.6,0.6313,,,,,2.1800,,,,,6.4657,,,,,0.6321,,,,,0.0442,6.5303,,,,
2025-11-10,457959685432.72,0.6375,,,,,2.2014,,,,,6.5291,,,,,0.6383,,,,,0.0438,6.5944,,,,
2025-11-07,451282265961.04,0.6282,,,,,2.1693,,,,,6.4339,,,,,0.6290,,,,,0.0444,6.4982,,,,
2025-11-06,445161298112.0,0.6197,,,,,2.1398,,,,,6.3467,,,,,0.6205,,,,,0.0450,6.4101,,,,
2025-11-05,450725814338.4,0.6274,,,,,2.1666,,,,,6.4260,,,,,0.6282,,,,,0.0445,6.4902,,,,
2025-11-04,451838717583.6799,0.6290,,,,,2.1719,,,,,6.4419,,,,,0.6298,,,,,0.0444,6.5062,,,,
2025-11-03,437370975395.0401,0.6088,,,,,2.1024,,,,,6.2356,,,,,0.6096,,,,,0.0458,6.2979,,,,
2025-10-31,430693555923.36,0.5995,,,,,2.0703,,,,,6.1404,,,,,0.6003,,,,,0.0465,6.2018,,,,
2025-10-30,436258072149.76,0.6150,,,,,2.0736,,,,,6.2713,,,,,0.6158,,,,,0.0459,6.3122,,,,
2025-10-29,429580652678.08,0.6056,,,,,2.0418,,,,,6.1753,,,,,0.6064,,,,,0.0467,6.2155,,,,
2025-10-28,434032265659.2,0.6119,,,,,2.0630,,,,,6.2393,,,,,0.6127,,,,,0.0462,6.2799,,,,
2025-10-27,436258072149.76,0.6150,,,,,2.0736,,,,,6.2713,,,,,0.6158,,,,,0.0459,6.3122,,,,
2025-10-24,441822588376.1601,0.6229,,,,,2.1000,,,,,6.3513,,,,,0.6237,,,,,0.0454,6.3927,,,,
2025-10-23,442935491621.44,0.6244,,,,,2.1053,,,,,6.3673,,,,,0.6252,,,,,0.0453,6.4088,,,,
2025-10-22,441266136753.52,0.6221,,,,,2.0974,,,,,6.3433,,,,,0.6229,,,,,0.0454,6.3846,,,,
2025-10-21,431250007546.0,0.6079,,,,,2.0498,,,,,6.1993,,,,,0.6087,,,,,0.0465,6.2397,,,,
2025-10-20,429024201055.44,0.6048,,,,,2.0392,,,,,6.1673,,,,,0.6056,,,,,0.0467,6.2075,,,,
2025-10-17,433475814036.56,0.6111,,,,,2.0604,,,,,6.2313,,,,,0.6119,,,,,0.0462,6.2719,,,,
2025-10-16,436258072149.76,0.6150,,,,,2.0736,,,,,6.2713,,,,,0.6158,,,,,0.0459,6.3122,,,,
2025-10-15,420120975093.2,0.5923,,,,,1.9969,,,,,6.0393,,,,,0.5930,,,,,0.0477,6.0787,,,,
2025-10-14,417895168602.64,0.5891,,,,,1.9863,,,,,6.0073,,,,,0.5899,,,,,0.0480,6.0465,,,,
2025-10-13,406766136149.84,0.5734,,,,,1.9334,,,,,5.8474,,,,,0.5742,,,,,0.0493,5.8854,,,,
2025-10-10,403983878036.64,0.5695,,,,,1.9202,,,,,5.8074,,,,,0.5703,,,,,0.0496,5.8452,,,,
2025-10-09,403983878036.64,0.5695,,,,,1.9202,,,,,5.8074,,,,,0.5703,,,,,0.0496,5.8452,,,,
2025-09-30,400645168300.8,0.5648,,,,,1.9043,,,,,5.7594,,,,,0.5655,,,,,0.0500,5.7969,,,,
2025-09-29,406209684527.2,0.5726,,,,,1.9308,,,,,5.8394,,,,,0.5734,,,,,0.0493,5.8774,,,,
2025-09-26,411774200753.6001,0.5805,,,,,1.9572,,,,,5.9194,,,,,0.5813,,,,,0.0487,5.9579,,,,
2025-09-25,408435491017.76,0.5758,,,,,1.9413,,,,,5.8714,,,,,0.5765,,,,,0.0491,5.9096,,,,
2025-09-24,410661297508.32,0.5789,,,,,1.9519,,,,,5.9034,,,,,0.5797,,,,,0.0488,5.9418,,,,
2025-09-23,415112910489.44,0.5852,,,,,1.9731,,,,,5.9674,,,,,0.5860,,,,,0.0483,6.0062,,,,
2025-09-22,411217749130.96,0.5797,,,,,1.9546,,,,,5.9114,,,,,0.5805,,,,,0.0487,5.9498,,,,
2025-09-19,411774200753.6001,0.5805,,,,,1.9572,,,,,5.9194,,,,,0.5813,,,,,0.0487,5.9579,,,,
2025-09-18,416225813734.7201,0.5868,,,,,1.9784,,,,,5.9834,,,,,0.5875,,,,,0.0482,6.0223,,,,
2025-09-17,423459684829.0401,0.5970,,,,,2.0127,,,,,6.0873,,,,,0.5978,,,,,0.0473,6.1270,,,,
2025-09-16,425129039696.96,0.5993,,,,,2.0207,,,,,6.1113,,,,,0.6001,,,,,0.0471,6.1511,,,,
2025-09-15,431250007546.0,0.6079,,,,,2.0498,,,,,6.1993,,,,,0.6087,,,,,0.0465,6.2397,,,,
2025-09-12,434588717281.84,0.6127,,,,,2.0656,,,,,6.2473,,,,,0.6135,,,,,0.0461,6.2880,,,,
2025-09-11,439596781885.6001,0.6197,,,,,2.0894,,,,,6.3193,,,,,0.6205,,,,,0.0456,6.3605,,,,
2025-09-10,439596781885.6001,0.6197,,,,,2.0894,,,,,6.3193,,,,,0.6205,,,,,0.0456,6.3605,,,,
2025-09-09,434588717281.84,0.6127,,,,,2.0656,,,,,6.2473,,,,,0.6135,,,,,0.0461,6.2880,,,,
2025-09-08,429580652678.08,0.6056,,,,,2.0418,,,,,6.1753,,,,,0.6064,,,,,0.0467,6.2155,,,,
2025-09-05,434588717281.84,0.6127,,,,,2.0656,,,,,6.2473,,,,,0.6135,,,,,0.0461,6.2880,,,,
2025-09-04,446274201357.28,0.6291,,,,,2.1212,,,,,6.4153,,,,,0.6300,,,,,0.0449,6.4571,,,,
2025-09-03,436814523772.4,0.6158,,,,,2.0762,,,,,6.2793,,,,,0.6166,,,,,0.0459,6.3202,,,,
2025-09-02,444604846489.36,0.6268,,,,,2.1133,,,,,6.3913,,,,,0.6276,,,,,0.0451,6.4329,,,,
2025-09-01,432919362413.9201,0.6103,,,,,2.0577,,,,,6.2233,,,,,0.6111,,,,,0.0463,6.2638,,,,
2025-08-29,439596781885.6001,0.6197,,,,,2.0894,,,,,6.3193,,,,,0.6205,,,,,0.0456,6.3605,,,,
2025-08-28,444048394866.7201,0.6260,,,,,2.1106,,,,,6.3833,,,,,0.6268,,,,,0.0451,6.4249,,,,
2025-08-27,440153233508.24,0.6343,,,,,2.0797,,,,,6.3888,,,,,0.6352,,,,,0.0442,6.4450,,,,
2025-08-26,446274201357.28,0.6431,,,,,2.1086,,,,,6.4777,,,,,0.6440,,,,,0.0436,6.5346,,,,
2025-08-25,449612911093.12,0.6479,,,,,2.1244,,,,,6.5262,,,,,0.6488,,,,,0.0433,6.5835,,,,
2025-08-22,446274201357.28,0.6431,,,,,2.1086,,,,,6.4777,,,,,0.6440,,,,,0.0436,6.5346,,,,
