date,stockCode,A股市值
2026-01-15T00:00:00+08:00,000333,536393042448.12
2026-01-16T00:00:00+08:00,000333,537018209164.26
2026-01-19T00:00:00+08:00,000333,539171561186.52
2026-01-20T00:00:00+08:00,000333,548757450834
2026-01-21T00:00:00+08:00,000333,540282968681.88
2026-01-22T00:00:00+08:00,000333,538268542596.54
2026-01-23T00:00:00+08:00,000333,533336671835.88
2026-01-26T00:00:00+08:00,000333,530349764192.1
2026-01-27T00:00:00+08:00,000333,528613189980.6
2026-01-28T00:00:00+08:00,000333,523334004377.64
2026-01-29T00:00:00+08:00,000333,540977598366.48
2026-01-30T00:00:00+08:00,000333,538963172281.14
2026-02-02T00:00:00+08:00,000333,540769209461.1
2026-02-03T00:00:00+08:00,000333,541185987271.86
2026-02-04T00:00:00+08:00,000333,554383951279.26
2026-02-05T00:00:00+08:00,000333,558829581260.7001
2026-02-06T00:00:00+08:00,000333,552508451130.8401
2026-02-09T00:00:00+08:00,000333,549868858329.36
2026-02-10T00:00:00+08:00,000333,557023544080.74
2026-02-11T00:00:00+08:00,000333,553550395657.74
2026-02-12T00:00:00+08:00,000333,554314488310.7999
2026-02-13T00:00:00+08:00,000333,549104765676.3
2026-02-24T00:00:00+08:00,000333,552369525193.9199
2026-02-25T00:00:00+08:00,000333,553619858626.2001
2026-02-26T00:00:00+08:00,000333,550494025045.5
2026-02-27T00:00:00+08:00,000333,546256783969.44
2026-03-02T00:00:00+08:00,000333,537990690722.7
2026-03-03T00:00:00+08:00,000333,531808486529.76
2026-03-04T00:00:00+08:00,000333,529029967791.36
2026-03-05T00:00:00+08:00,000333,529794060444.42
2026-03-06T00:00:00+08:00,000333,531530634655.92
2026-03-09T00:00:00+08:00,000333,523820245156.86
2026-03-10T00:00:00+08:00,000333,532086338403.6
2026-03-11T00:00:00+08:00,000333,537573912911.94
2026-03-12T00:00:00+08:00,000333,537643375880.4
2026-03-13T00:00:00+08:00,000333,533892375583.56
2026-03-16T00:00:00+08:00,000333,532364190277.44
2026-03-17T00:00:00+08:00,000333,532086338403.6
2026-03-18T00:00:00+08:00,000333,535281634952.76
2026-03-19T00:00:00+08:00,000333,527918560296
2026-03-20T00:00:00+08:00,000333,521805819071.52
2026-03-23T00:00:00+08:00,000333,509649799591.02
2026-03-24T00:00:00+08:00,000333,515623614878.58
2026-03-25T00:00:00+08:00,000333,519583004080.8
2026-03-26T00:00:00+08:00,000333,516248781594.72
2026-03-27T00:00:00+08:00,000333,519444078143.88
2026-03-30T00:00:00+08:00,000333,500828002596.6
2026-03-31T00:00:00+08:00,000333,530817853826.0999
2026-04-01T00:00:00+08:00,000333,534224543392.2399
2026-04-02T00:00:00+08:00,000333,537909330065.82
2026-04-03T00:00:00+08:00,000333,530817853826.0999
2026-04-07T00:00:00+08:00,000333,529218795458.32
2026-04-08T00:00:00+08:00,000333,533459776346.78
2026-04-09T00:00:00+08:00,000333,531999766532.7199
2026-04-10T00:00:00+08:00,000333,531234999487.2599
2026-04-13T00:00:00+08:00,000333,526854970045.08
2026-04-14T00:00:00+08:00,000333,532208339363.2999
2026-04-15T00:00:00+08:00,000333,538743621388.1399
2026-04-16T00:00:00+08:00,000333,541594116739.4
