date,stockCode,股价振幅
2026-01-06T00:00:00+08:00,002475,0.0291
2026-01-07T00:00:00+08:00,002475,0.0405
2026-01-08T00:00:00+08:00,002475,0.0418
2026-01-09T00:00:00+08:00,002475,0.0426
2026-01-12T00:00:00+08:00,002475,0.0296
2026-01-13T00:00:00+08:00,002475,0.0407
2026-01-14T00:00:00+08:00,002475,0.0251
2026-01-15T00:00:00+08:00,002475,0.0815
2026-01-16T00:00:00+08:00,002475,0.0345
2026-01-19T00:00:00+08:00,002475,0.0464
2026-01-20T00:00:00+08:00,002475,0.0546
2026-01-21T00:00:00+08:00,002475,0.03
2026-01-22T00:00:00+08:00,002475,0.0401
2026-01-23T00:00:00+08:00,002475,0.0296
2026-01-26T00:00:00+08:00,002475,0.0257
2026-01-27T00:00:00+08:00,002475,0.0365
2026-01-28T00:00:00+08:00,002475,0.0403
2026-01-29T00:00:00+08:00,002475,0.0271
2026-01-30T00:00:00+08:00,002475,0.029
2026-02-02T00:00:00+08:00,002475,0.031
2026-02-03T00:00:00+08:00,002475,0.0418
2026-02-04T00:00:00+08:00,002475,0.0276
2026-02-05T00:00:00+08:00,002475,0.0226
2026-02-06T00:00:00+08:00,002475,0.0258
2026-02-09T00:00:00+08:00,002475,0.0131
2026-02-10T00:00:00+08:00,002475,0.0119
2026-02-11T00:00:00+08:00,002475,0.0176
2026-02-12T00:00:00+08:00,002475,0.0205
2026-02-13T00:00:00+08:00,002475,0.0369
2026-02-24T00:00:00+08:00,002475,0.0194
2026-02-25T00:00:00+08:00,002475,0.0289
2026-02-26T00:00:00+08:00,002475,0.0116
2026-02-27T00:00:00+08:00,002475,0.0278
2026-03-02T00:00:00+08:00,002475,0.0277
2026-03-03T00:00:00+08:00,002475,0.0538
2026-03-04T00:00:00+08:00,002475,0.0282
2026-03-05T00:00:00+08:00,002475,0.0188
2026-03-06T00:00:00+08:00,002475,0.0204
2026-03-09T00:00:00+08:00,002475,0.0262
2026-03-10T00:00:00+08:00,002475,0.053
2026-03-11T00:00:00+08:00,002475,0.0325
2026-03-12T00:00:00+08:00,002475,0.0233
2026-03-13T00:00:00+08:00,002475,0.0251
2026-03-16T00:00:00+08:00,002475,0.037
2026-03-17T00:00:00+08:00,002475,0.0402
2026-03-18T00:00:00+08:00,002475,0.0202
2026-03-19T00:00:00+08:00,002475,0.0199
2026-03-20T00:00:00+08:00,002475,0.0307
2026-03-23T00:00:00+08:00,002475,0.0392
2026-03-24T00:00:00+08:00,002475,0.0532
2026-03-25T00:00:00+08:00,002475,0.0845
2026-03-26T00:00:00+08:00,002475,0.035
2026-03-27T00:00:00+08:00,002475,0.0645
2026-03-30T00:00:00+08:00,002475,0.0395
2026-03-31T00:00:00+08:00,002475,0.0546
2026-04-01T00:00:00+08:00,002475,0.0263
2026-04-02T00:00:00+08:00,002475,0.0268
2026-04-03T00:00:00+08:00,002475,0.0358
2026-04-07T00:00:00+08:00,002475,0.0382
2026-04-08T00:00:00+08:00,002475,0.0607
2026-04-09T00:00:00+08:00,002475,0.0873
2026-04-10T00:00:00+08:00,002475,0.078
2026-04-13T00:00:00+08:00,002475,0.0351
2026-04-14T00:00:00+08:00,002475,0.0359
2026-04-15T00:00:00+08:00,002475,0.0433
2026-04-16T00:00:00+08:00,002475,0.0457
