date,stockCode,涨跌幅
2025-07-15T00:00:00+08:00,002475,0.0402
2025-07-16T00:00:00+08:00,002475,0.0073
2025-07-17T00:00:00+08:00,002475,0.0634
2025-07-18T00:00:00+08:00,002475,-0.017
2025-07-21T00:00:00+08:00,002475,-0.0018
2025-07-22T00:00:00+08:00,002475,-0.0147
2025-07-23T00:00:00+08:00,002475,-0.0034
2025-07-24T00:00:00+08:00,002475,-0.0024
2025-07-25T00:00:00+08:00,002475,0.0121
2025-07-28T00:00:00+08:00,002475,-0.0149
2025-07-29T00:00:00+08:00,002475,-0.005
2025-07-30T00:00:00+08:00,002475,0.0045
2025-07-31T00:00:00+08:00,002475,-0.0294
2025-08-01T00:00:00+08:00,002475,0.0003
2025-08-04T00:00:00+08:00,002475,-0.0109
2025-08-05T00:00:00+08:00,002475,0.0063
2025-08-06T00:00:00+08:00,002475,-0.0071
2025-08-07T00:00:00+08:00,002475,0.0224
2025-08-08T00:00:00+08:00,002475,-0.0157
2025-08-11T00:00:00+08:00,002475,0.0431
2025-08-12T00:00:00+08:00,002475,0.0042
2025-08-13T00:00:00+08:00,002475,0.0047
2025-08-14T00:00:00+08:00,002475,0.0034
2025-08-15T00:00:00+08:00,002475,0.0029
2025-08-18T00:00:00+08:00,002475,0.0259
2025-08-19T00:00:00+08:00,002475,-0.0124
2025-08-20T00:00:00+08:00,002475,0.0243
2025-08-21T00:00:00+08:00,002475,0.0534
2025-08-22T00:00:00+08:00,002475,0.0121
2025-08-25T00:00:00+08:00,002475,0.0059
2025-08-26T00:00:00+08:00,002475,0.0617
2025-08-27T00:00:00+08:00,002475,-0.0136
2025-08-28T00:00:00+08:00,002475,0.0249
2025-08-29T00:00:00+08:00,002475,-0.0026
2025-09-01T00:00:00+08:00,002475,-0.0154
2025-09-02T00:00:00+08:00,002475,-0.0325
2025-09-03T00:00:00+08:00,002475,-0.0132
2025-09-04T00:00:00+08:00,002475,0.0271
2025-09-05T00:00:00+08:00,002475,0.0633
2025-09-08T00:00:00+08:00,002475,0.054
2025-09-09T00:00:00+08:00,002475,-0.041
2025-09-10T00:00:00+08:00,002475,0.008
2025-09-11T00:00:00+08:00,002475,0.1
2025-09-12T00:00:00+08:00,002475,-0.0036
2025-09-15T00:00:00+08:00,002475,0.0006
2025-09-16T00:00:00+08:00,002475,-0.0066
2025-09-17T00:00:00+08:00,002475,-0.0073
2025-09-18T00:00:00+08:00,002475,0.0211
2025-09-19T00:00:00+08:00,002475,0.0433
2025-09-22T00:00:00+08:00,002475,0.1
2025-09-23T00:00:00+08:00,002475,0.0779
2025-09-24T00:00:00+08:00,002475,0.0685
2025-09-25T00:00:00+08:00,002475,-0.0208
2025-09-26T00:00:00+08:00,002475,-0.0653
2025-09-29T00:00:00+08:00,002475,0.0086
2025-09-30T00:00:00+08:00,002475,-0.0017
2025-10-09T00:00:00+08:00,002475,0.0094
2025-10-10T00:00:00+08:00,002475,-0.0689
2025-10-13T00:00:00+08:00,002475,-0.0502
2025-10-14T00:00:00+08:00,002475,-0.0474
2025-10-15T00:00:00+08:00,002475,0.058
2025-10-16T00:00:00+08:00,002475,0.0172
2025-10-17T00:00:00+08:00,002475,-0.0627
2025-10-20T00:00:00+08:00,002475,0.0299
2025-10-21T00:00:00+08:00,002475,0.07
2025-10-22T00:00:00+08:00,002475,-0.017
2025-10-23T00:00:00+08:00,002475,0.0005
2025-10-24T00:00:00+08:00,002475,0.0627
2025-10-27T00:00:00+08:00,002475,0.0233
2025-10-28T00:00:00+08:00,002475,-0.0113
2025-10-29T00:00:00+08:00,002475,0.0405
2025-10-30T00:00:00+08:00,002475,-0.0333
2025-10-31T00:00:00+08:00,002475,-0.0314
2025-11-03T00:00:00+08:00,002475,-0.0013
2025-11-04T00:00:00+08:00,002475,-0.0378
2025-11-05T00:00:00+08:00,002475,0.0073
2025-11-06T00:00:00+08:00,002475,0.0112
2025-11-07T00:00:00+08:00,002475,-0.0285
2025-11-10T00:00:00+08:00,002475,-0.025
2025-11-11T00:00:00+08:00,002475,-0.0327
2025-11-12T00:00:00+08:00,002475,0.0227
2025-11-13T00:00:00+08:00,002475,-0.0068
2025-11-14T00:00:00+08:00,002475,-0.0152
2025-11-17T00:00:00+08:00,002475,0.0007
2025-11-18T00:00:00+08:00,002475,0.0011
2025-11-19T00:00:00+08:00,002475,0.0025
2025-11-20T00:00:00+08:00,002475,-0.0176
2025-11-21T00:00:00+08:00,002475,-0.052
2025-11-24T00:00:00+08:00,002475,0.0076
2025-11-25T00:00:00+08:00,002475,0.046
2025-11-26T00:00:00+08:00,002475,0.0341
2025-11-27T00:00:00+08:00,002475,-0.0111
2025-11-28T00:00:00+08:00,002475,0.0144
2025-12-01T00:00:00+08:00,002475,0.0144
2025-12-02T00:00:00+08:00,002475,0.0237
2025-12-03T00:00:00+08:00,002475,-0.0197
2025-12-04T00:00:00+08:00,002475,0.0138
2025-12-05T00:00:00+08:00,002475,-0.0064
