date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2025-12-15,184898671722.18,23.1337,,,,,3.7566,,,,,24.0333,,,,,3.7567,,,,,0.0252,2.9035,,,,
2025-12-12,186505089373.98,23.3347,,,,,3.7892,,,,,24.2421,,,,,3.7893,,,,,0.0250,2.9288,,,,
2025-12-11,182489045244.48,22.8322,,,,,3.7076,,,,,23.7201,,,,,3.7077,,,,,0.0255,2.8657,,,,
2025-12-10,181685836418.58,22.7317,,,,,3.6913,,,,,23.6157,,,,,3.6914,,,,,0.0256,2.8531,,,,
2025-12-09,180481023179.73,22.5810,,,,,3.6668,,,,,23.4591,,,,,3.6669,,,,,0.0258,2.8342,,,,
2025-12-08,182569366127.0701,22.8423,,,,,3.7092,,,,,23.7305,,,,,3.7094,,,,,0.0255,2.8670,,,,
2025-12-05,182328403479.3,22.8121,,,,,3.7043,,,,,23.6992,,,,,3.7045,,,,,0.0255,2.8632,,,,
2025-12-04,179999097884.19,22.5207,,,,,3.6570,,,,,23.3964,,,,,3.6571,,,,,0.0259,2.8266,,,,
2025-12-03,178954926410.52,22.3900,,,,,3.6358,,,,,23.2607,,,,,3.6359,,,,,0.0260,2.8102,,,,
2025-12-02,179276209940.8801,22.4302,,,,,3.6423,,,,,23.3025,,,,,3.6424,,,,,0.0260,2.8152,,,,
2025-12-01,179677814353.83,22.4805,,,,,3.6505,,,,,23.3547,,,,,3.6506,,,,,0.0259,2.8216,,,,
2025-11-28,177991075819.44,22.2694,,,,,3.6162,,,,,23.1354,,,,,3.6163,,,,,0.0262,2.7951,,,,
2025-11-27,177428829641.31,22.1991,,,,,3.6048,,,,,23.0623,,,,,3.6049,,,,,0.0262,2.7862,,,,
2025-11-26,177669792289.08,22.2292,,,,,3.6097,,,,,23.0937,,,,,3.6098,,,,,0.0262,2.7900,,,,
2025-11-25,178232038467.21,22.2996,,,,,3.6211,,,,,23.1667,,,,,3.6212,,,,,0.0261,2.7989,,,,
2025-11-24,177910754936.85,22.2594,,,,,3.6146,,,,,23.1250,,,,,3.6147,,,,,0.0262,2.7938,,,,
2025-11-21,178633642880.16,22.3498,,,,,3.6293,,,,,23.2189,,,,,3.6294,,,,,0.0261,2.8052,,,,
2025-11-20,183051291422.61,22.9026,,,,,3.7190,,,,,23.7931,,,,,3.7191,,,,,0.0254,2.8745,,,,
2025-11-19,185380597017.72,23.1940,,,,,3.7664,,,,,24.0959,,,,,3.7665,,,,,0.0251,2.9111,,,,
2025-11-18,186906693786.93,23.3849,,,,,3.7974,,,,,24.2943,,,,,3.7975,,,,,0.0249,2.9351,,,,
2025-11-17,190280170855.71,23.8070,,,,,3.8659,,,,,24.7328,,,,,3.8660,,,,,0.0245,2.9880,,,,
2025-11-14,191163700564.2001,23.9175,,,,,3.8839,,,,,24.8476,,,,,3.8840,,,,,0.0244,3.0019,,,,
2025-11-13,195982953519.6,24.5205,,,,,3.9818,,,,,25.4740,,,,,3.9819,,,,,0.0238,3.0776,,,,
2025-11-12,193573327041.9,24.2190,,,,,3.9328,,,,,25.1608,,,,,3.9329,,,,,0.0240,3.0398,,,,
2025-11-11,200882527357.59,25.1335,,,,,4.0813,,,,,26.1109,,,,,4.0814,,,,,0.0232,3.1545,,,,
2025-11-10,201203810887.9501,25.1737,,,,,4.0878,,,,,26.1526,,,,,4.0880,,,,,0.0231,3.1596,,,,
2025-11-07,202007019713.85,25.2742,,,,,4.1042,,,,,26.2570,,,,,4.1043,,,,,0.0230,3.1722,,,,
2025-11-06,203613437365.65,25.4752,,,,,4.1368,,,,,26.4658,,,,,4.1369,,,,,0.0229,3.1974,,,,
2025-11-05,198633542645.0701,24.8521,,,,,4.0356,,,,,25.8185,,,,,4.0357,,,,,0.0234,3.1192,,,,
2025-11-04,194135573220.03,24.2894,,,,,3.9442,,,,,25.2339,,,,,3.9443,,,,,0.0240,3.0486,,,,
2025-11-03,196625520580.3201,24.6009,,,,,3.9948,,,,,25.5575,,,,,3.9949,,,,,0.0237,3.0877,,,,
2025-10-31,194617498515.5701,24.3497,,,,,3.9540,,,,,25.2965,,,,,3.9541,,,,,0.0239,3.0562,,,,
2025-10-30,195501028224.06,24.8946,,,,,4.1097,,,,,25.8235,,,,,4.1099,,,,,0.0238,3.1765,,,,
2025-10-29,200239960296.87,25.4981,,,,,4.2094,,,,,26.4495,,,,,4.2095,,,,,0.0232,3.2535,,,,
2025-10-28,188914715851.68,24.0560,,,,,3.9713,,,,,24.9535,,,,,3.9714,,,,,0.0246,3.0695,,,,
2025-10-27,189155678499.4501,24.0866,,,,,3.9763,,,,,24.9854,,,,,3.9765,,,,,0.0246,3.0734,,,,
2025-10-24,185701880548.08,23.6468,,,,,3.9037,,,,,24.5292,,,,,3.9039,,,,,0.0251,3.0173,,,,
2025-10-23,184818350839.59,23.5343,,,,,3.8852,,,,,24.4125,,,,,3.8853,,,,,0.0252,3.0029,,,,
2025-10-22,184818350839.59,23.5343,,,,,3.8852,,,,,24.4125,,,,,3.8853,,,,,0.0252,3.0029,,,,
2025-10-21,188432790556.14,23.9946,,,,,3.9611,,,,,24.8899,,,,,3.9613,,,,,0.0247,3.0616,,,,
2025-10-20,185782201430.67,23.6571,,,,,3.9054,,,,,24.5398,,,,,3.9055,,,,,0.0251,3.0186,,,,
2025-10-17,184818350839.59,23.5343,,,,,3.8852,,,,,24.4125,,,,,3.8853,,,,,0.0252,3.0029,,,,
2025-10-16,191966909390.1,24.4446,,,,,4.0354,,,,,25.3567,,,,,4.0356,,,,,0.0242,3.1191,,,,
2025-10-15,190280170855.71,24.2298,,,,,4.0000,,,,,25.1339,,,,,4.0001,,,,,0.0245,3.0917,,,,
2025-10-14,188995036734.27,24.0662,,,,,3.9730,,,,,24.9641,,,,,3.9731,,,,,0.0246,3.0708,,,,
2025-10-13,188673753203.91,24.0253,,,,,3.9662,,,,,24.9217,,,,,3.9663,,,,,0.0247,3.0656,,,,
2025-10-10,188995036734.27,24.0662,,,,,3.9730,,,,,24.9641,,,,,3.9731,,,,,0.0246,3.0708,,,,
2025-10-09,187790223495.42,23.9128,,,,,3.9476,,,,,24.8050,,,,,3.9478,,,,,0.0248,3.0512,,,,
2025-09-30,184416746426.64,23.4832,,,,,3.8767,,,,,24.3594,,,,,3.8768,,,,,0.0252,2.9964,,,,
2025-09-29,182248082596.71,23.2070,,,,,3.7388,,,,,24.0729,,,,,3.7390,,,,,0.0255,2.9612,,,,
2025-09-26,183452895835.56,23.3605,,,,,3.7636,,,,,24.2321,,,,,3.7637,,,,,0.0254,2.9807,,,,
2025-09-25,181525194653.4,23.1150,,,,,3.7240,,,,,23.9775,,,,,3.7241,,,,,0.0256,2.9494,,,,
2025-09-24,178553321997.5701,22.7366,,,,,3.6630,,,,,23.5849,,,,,3.6632,,,,,0.0261,2.9011,,,,
2025-09-23,179276209940.8801,22.8286,,,,,3.6779,,,,,23.6804,,,,,3.6780,,,,,0.0260,2.9129,,,,
2025-09-22,179276209940.8801,22.8286,,,,,3.6779,,,,,23.6804,,,,,3.6780,,,,,0.0260,2.9129,,,,
2025-09-19,179115568175.7,22.8082,,,,,3.6746,,,,,23.6592,,,,,3.6747,,,,,0.0260,2.9103,,,,
2025-09-18,179035247293.11,22.7979,,,,,3.6729,,,,,23.6486,,,,,3.6730,,,,,0.0260,2.9090,,,,
2025-09-17,180079418766.78,22.9309,,,,,3.6944,,,,,23.7865,,,,,3.6945,,,,,0.0258,2.9259,,,,
2025-09-16,178071396702.03,22.6752,,,,,3.6532,,,,,23.5213,,,,,3.6533,,,,,0.0261,2.8933,,,,
2025-09-15,180240060531.96,22.9513,,,,,3.6976,,,,,23.8077,,,,,3.6978,,,,,0.0258,2.9285,,,,
2025-09-12,178633642880.16,22.7468,,,,,3.6647,,,,,23.5955,,,,,3.6648,,,,,0.0261,2.9024,,,,
2025-09-11,179999097884.19,22.9207,,,,,3.6927,,,,,23.7759,,,,,3.6928,,,,,0.0259,2.9246,,,,
2025-09-10,178392680232.39,22.7161,,,,,3.6597,,,,,23.5637,,,,,3.6599,,,,,0.0261,2.8985,,,,
2025-09-09,178473001114.98,22.7263,,,,,3.6614,,,,,23.5743,,,,,3.6615,,,,,0.0261,2.8998,,,,
2025-09-08,178713963762.75,22.7570,,,,,3.6663,,,,,23.6061,,,,,3.6664,,,,,0.0260,2.9037,,,,
2025-09-05,172127651390.37,21.9183,,,,,3.5312,,,,,22.7361,,,,,3.5313,,,,,0.0270,2.7967,,,,
2025-09-04,171083479916.7,21.7854,,,,,3.5098,,,,,22.5982,,,,,3.5099,,,,,0.0272,2.7798,,,,
2025-09-03,171726046977.42,21.8672,,,,,3.5230,,,,,22.6831,,,,,3.5231,,,,,0.0271,2.7902,,,,
2025-09-02,174215994337.71,22.1843,,,,,3.5741,,,,,23.0120,,,,,3.5742,,,,,0.0267,2.8306,,,,
2025-09-01,173493106394.4,22.0922,,,,,3.5592,,,,,22.9165,,,,,3.5593,,,,,0.0268,2.8189,,,,
2025-08-29,174697919633.25,22.2456,,,,,3.5839,,,,,23.0757,,,,,3.5841,,,,,0.0266,2.8385,,,,
2025-08-28,177428829641.31,22.5934,,,,,3.6400,,,,,23.4364,,,,,3.6401,,,,,0.0262,2.8829,,,,
2025-08-27,176705941698.0,22.9648,,,,,3.7919,,,,,23.7201,,,,,3.7920,,,,,0.0258,3.0148,,,,
2025-08-26,179517172588.65,23.3301,,,,,3.8522,,,,,24.0975,,,,,3.8523,,,,,0.0254,3.0627,,,,
2025-08-25,178954926410.52,23.2570,,,,,3.8401,,,,,24.0220,,,,,3.8403,,,,,0.0255,3.0531,,,,
2025-08-22,175581449341.74,22.8186,,,,,3.7678,,,,,23.5692,,,,,3.7679,,,,,0.0260,2.9956,,,,
2025-08-21,176384658167.64,22.9230,,,,,3.7850,,,,,23.6770,,,,,3.7851,,,,,0.0259,3.0093,,,,
