date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-03-06,70.8818,0.6266,89.4195,51.0723,31.0971,0.0016,24.7886,0.9961,11.2202,7.6237,4.5836,71.8600,0.5894,97.3688,56.3090,32.7074,22.9673,0.9974,9.1228,5.8220,3.4582,19.2079,0.8122,17.6126,7.3200,3.8995
2026-03-05,72.3787,0.6266,89.4195,51.0723,31.0971,0.0016,25.3121,0.9961,11.2202,7.6237,4.5836,73.3776,0.5894,97.3688,56.3090,32.7074,23.4523,0.9974,9.1228,5.8220,3.4582,19.6135,0.8122,17.6126,7.3200,3.8995
2026-03-04,70.0397,0.6266,89.4195,51.0723,31.0971,0.0017,24.4941,0.9961,11.2202,7.6237,4.5836,71.0064,0.5894,97.3688,56.3090,32.7074,22.6945,0.9974,9.1228,5.8220,3.4582,18.9797,0.8122,17.6126,7.3200,3.8995
2026-03-03,73.2623,0.6266,89.4195,51.0723,31.0971,0.0016,25.6211,0.9961,11.2202,7.6237,4.5836,74.2735,0.5894,97.3688,56.3090,32.7074,23.7387,0.9974,9.1228,5.8220,3.4582,19.8530,0.8122,17.6126,7.3200,3.8995
2026-03-02,74.1433,0.6266,89.4195,51.0723,31.0971,0.0016,25.9292,0.9961,11.2202,7.6237,4.5836,75.1666,0.5894,97.3688,56.3090,32.7074,24.0241,0.9974,9.1228,5.8220,3.4582,20.0917,0.8122,17.6126,7.3200,3.8995
2026-02-27,69.3900,0.6266,89.4195,51.0723,31.0971,0.0017,24.2669,0.9961,11.2202,7.6237,4.5836,70.3477,0.5894,97.3688,56.3090,32.7074,22.4839,0.9974,9.1228,5.8220,3.4582,18.8037,0.8122,17.6126,7.3200,3.8995
2026-02-26,74.3565,0.6266,89.4195,51.0723,31.0971,0.0016,26.0037,0.9961,11.2202,7.6237,4.5836,75.3827,0.5894,97.3688,56.3090,32.7074,24.0932,0.9974,9.1228,5.8220,3.4582,20.1495,0.8122,17.6126,7.3200,3.8995
2026-02-25,73.5573,0.6266,89.4195,51.0723,31.0971,0.0016,25.7242,0.9961,11.2202,7.6237,4.5836,74.5725,0.5894,97.3688,56.3090,32.7074,23.8342,0.9974,9.1228,5.8220,3.4582,19.9329,0.8122,17.6126,7.3200,3.8995
2026-02-24,71.9889,0.6266,89.4195,51.0723,31.0971,0.0016,25.1757,0.9961,11.2202,7.6237,4.5836,72.9824,0.5894,97.3688,56.3090,32.7074,23.3260,0.9974,9.1228,5.8220,3.4582,19.5079,0.8122,17.6126,7.3200,3.8995
2026-02-13,69.0002,0.6266,89.4195,51.0723,31.0971,0.0017,24.1305,0.9961,11.2202,7.6237,4.5836,69.9525,0.5894,97.3688,56.3090,32.7074,22.3576,0.9974,9.1228,5.8220,3.4582,18.6980,0.8122,17.6126,7.3200,3.8995
2026-02-12,68.5402,0.6266,89.4195,51.0723,31.0971,0.0017,23.9697,0.9961,11.2202,7.6237,4.5836,69.4861,0.5894,97.3688,56.3090,32.7074,22.2086,0.9974,9.1228,5.8220,3.4582,18.5734,0.8122,17.6126,7.3200,3.8995
2026-02-11,69.1184,0.6266,89.4195,51.0723,31.0971,0.0017,24.1719,0.9961,11.2202,7.6237,4.5836,70.0724,0.5894,97.3688,56.3090,32.7074,22.3959,0.9974,9.1228,5.8220,3.4582,18.7301,0.8122,17.6126,7.3200,3.8995
2026-02-10,72.2111,0.6266,89.4195,51.0723,31.0971,0.0016,25.2534,0.9961,11.2202,7.6237,4.5836,73.2077,0.5894,97.3688,56.3090,32.7074,23.3980,0.9974,9.1228,5.8220,3.4582,19.5681,0.8122,17.6126,7.3200,3.8995
2026-02-09,73.5469,0.6266,89.4195,51.0723,31.0971,0.0016,25.7206,0.9961,11.2202,7.6237,4.5836,74.5620,0.5894,97.3688,56.3090,32.7074,23.8309,0.9974,9.1228,5.8220,3.4582,19.9301,0.8122,17.6126,7.3200,3.8995
2026-02-06,70.1710,0.6266,89.4195,51.0723,31.0971,0.0017,24.5400,0.9961,11.2202,7.6237,4.5836,71.1394,0.5894,97.3688,56.3090,32.7074,22.7370,0.9974,9.1228,5.8220,3.4582,19.0153,0.8122,17.6126,7.3200,3.8995
2026-02-05,73.0271,0.6266,89.4195,51.0723,31.0971,0.0016,25.5388,0.9961,11.2202,7.6237,4.5836,74.0350,0.5894,97.3688,56.3090,32.7074,23.6624,0.9974,9.1228,5.8220,3.4582,19.7893,0.8122,17.6126,7.3200,3.8995
2026-02-04,72.7685,0.6266,89.4195,51.0723,31.0971,0.0016,25.4484,0.9961,11.2202,7.6237,4.5836,73.7728,0.5894,97.3688,56.3090,32.7074,23.5787,0.9974,9.1228,5.8220,3.4582,19.7192,0.8122,17.6126,7.3200,3.8995
2026-02-03,76.6279,0.6266,89.4195,51.0723,31.0971,0.0015,26.7981,0.9961,11.2202,7.6237,4.5836,77.6854,0.5894,97.3688,56.3090,32.7074,24.8292,0.9974,9.1228,5.8220,3.4582,20.7650,0.8122,17.6126,7.3200,3.8995
2026-02-02,76.7968,0.6266,89.4195,51.0723,31.0971,0.0015,26.8572,0.9961,11.2202,7.6237,4.5836,77.8567,0.5894,97.3688,56.3090,32.7074,24.8839,0.9974,9.1228,5.8220,3.4582,20.8108,0.8122,17.6126,7.3200,3.8995
2026-01-30,84.3335,0.6266,89.4195,51.0723,31.0971,0.0014,29.4929,0.9961,11.2202,7.6237,4.5836,85.4975,0.5894,97.3688,56.3090,32.7074,27.3260,0.9974,9.1228,5.8220,3.4582,22.8531,0.8122,17.6126,7.3200,3.8995
2026-01-29,79.7660,0.6266,89.4195,51.0723,31.0971,0.0015,27.8955,0.9961,11.2202,7.6237,4.5836,80.8669,0.5894,97.3688,56.3090,32.7074,25.8460,0.9974,9.1228,5.8220,3.4582,21.6154,0.8122,17.6126,7.3200,3.8995
2026-01-28,81.6047,0.6266,89.4195,51.0723,31.0971,0.0014,28.5386,0.9961,11.2202,7.6237,4.5836,82.7310,0.5894,97.3688,56.3090,32.7074,26.4418,0.9974,9.1228,5.8220,3.4582,22.1137,0.8122,17.6126,7.3200,3.8995
2026-01-27,79.9934,0.6266,89.4195,51.0723,31.0971,0.0015,27.9751,0.9961,11.2202,7.6237,4.5836,81.0974,0.5894,97.3688,56.3090,32.7074,25.9197,0.9974,9.1228,5.8220,3.4582,21.6770,0.8122,17.6126,7.3200,3.8995
2026-01-26,76.6409,0.6266,89.4195,51.0723,31.0971,0.0015,26.8026,0.9961,11.2202,7.6237,4.5836,77.6986,0.5894,97.3688,56.3090,32.7074,24.8334,0.9974,9.1228,5.8220,3.4582,20.7685,0.8122,17.6126,7.3200,3.8995
2026-01-23,76.0171,0.6266,89.4195,51.0723,31.0971,0.0015,26.5845,0.9961,11.2202,7.6237,4.5836,77.0663,0.5894,97.3688,56.3090,32.7074,24.6313,0.9974,9.1228,5.8220,3.4582,20.5995,0.8122,17.6126,7.3200,3.8995
2026-01-22,80.6951,0.6266,89.4195,51.0723,31.0971,0.0014,28.2205,0.9961,11.2202,7.6237,4.5836,81.8088,0.5894,97.3688,56.3090,32.7074,26.1471,0.9974,9.1228,5.8220,3.4582,21.8672,0.8122,17.6126,7.3200,3.8995
2026-01-21,75.6143,0.6266,89.4195,51.0723,31.0971,0.0015,26.4436,0.9961,11.2202,7.6237,4.5836,76.6579,0.5894,97.3688,56.3090,32.7074,24.5008,0.9974,9.1228,5.8220,3.4582,20.4903,0.8122,17.6126,7.3200,3.8995
