日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-07-30,=20.2100,=20.2100,=20.2100,=20.2100,=171279306127.77,=171267422648.0,=120939218391.8,,=2.3857,,,,
2025-07-29,=20.2000,=20.2000,=20.2000,=20.2000,=171194556347.4,=171182678747.0,=120879377116.0,,=2.3846,,,,
2025-07-28,=19.9700,=19.9700,=19.9700,=19.9700,=169245311398.89,=169233569039.0,=119503027772.6,,=2.3574,,,,
2025-07-25,=19.9300,=19.9300,=19.9300,=19.9300,=168906312277.41,=168894593437.0,=119263662669.4,,=2.3527,,,,
2025-07-24,=20.3500,=20.3500,=20.3500,=20.3500,=172465803052.95,=172453837253.0,=121776996253.0,,=2.4023,,,,
2025-07-23,=20.0900,=20.0900,=20.0900,=20.0900,=170262308763.33,=170250495843.0,=120221123082.2,,=2.3716,,,,
2025-07-22,=21.2200,=21.2200,=21.2200,=21.2200,=179839033945.14,=179826556585.0,=126983187247.6,,=2.5050,,,,
2025-07-21,=19.5200,=19.5200,=19.5200,=19.5200,=165431571282.24,=165420093522.0,=116810170361.6,,=2.3043,,,,
2025-07-18,=19.0100,=19.0100,=19.0100,=19.0100,=161109332483.37,=161098154603.0,=113758265295.8,,=2.2441,,,,
2025-07-17,=18.8400,=18.8400,=18.8400,=18.8400,=159668586217.08,=159657508297.0,=112740963607.2,,=2.2240,,,,
2025-07-16,=18.7100,=18.7100,=18.7100,=18.7100,=158566839072.27,=158555837592.0,=111963027021.8,,=2.2087,,,,
2025-07-15,=18.9000,=18.9000,=18.9000,=18.9000,=160177084899.3,=160165971699.0,=113100011262.0,,=2.2311,,,,
2025-07-14,=18.7400,=18.7400,=18.7400,=18.7400,=158821088413.38,=158810069293.0,=112142550849.2,,=2.2122,,,,
2025-07-11,=18.8300,=18.8300,=18.8300,=18.8300,=159583836436.71,=159572764397.0,=112681122331.4,,=2.2228,,,,
2025-07-10,=18.9200,=18.9200,=18.9200,=18.9200,=160346584460.04,=160335459500.0,=113219693813.6,,=2.2335,,,,
2025-07-09,=19.1100,=19.1100,=19.1100,=19.1100,=161956830287.07,=161945593607.0,=114356678053.8,,=2.2559,,,,
2025-07-08,=19.0700,=19.0700,=19.0700,=19.0700,=161617831165.59,=161606618006.0,=114117312950.6,,=2.2512,,,,
2025-07-07,=18.3500,=18.3500,=18.3500,=18.3500,=155515846978.95,=155505057179.0,=109808741093.0,,=2.1662,,,,
2025-07-04,=18.2300,=18.2300,=18.2300,=18.2300,=154498849614.51,=154488130375.0,=109090645783.4,,=2.1520,,,,
