date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,2007447262791.3,0.0181,4.2882,,,,,25.4183,,,,,6.1829,,,,,28.3653,,,,,6.1671,,,,
2026-06-01,1943646074117.0,0.0187,4.1520,,,,,24.6105,,,,,5.9864,,,,,27.4637,,,,,5.9711,,,,
2026-05-29,1961632956104.0,0.0185,4.1904,,,,,24.8382,,,,,6.0418,,,,,27.7179,,,,,6.0263,,,,
2026-05-28,1923140535833.28,0.0189,4.1081,,,,,24.3508,,,,,5.9232,,,,,27.1740,,,,,5.9081,,,,
2026-05-27,1919069222150.8,0.0189,4.0995,,,,,24.2993,,,,,5.9107,,,,,27.1165,,,,,5.8956,,,,
2026-05-26,1862163360452.5,0.0195,3.9779,,,,,23.5787,,,,,5.7354,,,,,26.3124,,,,,5.7208,,,,
2026-05-25,1863921427724.48,0.0195,3.9816,,,,,23.6010,,,,,5.7408,,,,,26.3372,,,,,5.7262,,,,
2026-05-22,1902228788282.36,0.0191,4.0635,,,,,24.0860,,,,,5.8588,,,,,26.8785,,,,,5.8438,,,,
2026-05-21,1904403239908.23,0.0191,4.0681,,,,,24.1136,,,,,5.8655,,,,,26.9092,,,,,5.8505,,,,
2026-05-20,1918837897509.75,0.0189,4.0990,,,,,24.2963,,,,,5.9099,,,,,27.1132,,,,,5.8949,,,,
2026-05-19,1933503879752.32,0.0188,4.1303,,,,,24.4820,,,,,5.9551,,,,,27.3204,,,,,5.9399,,,,
2026-05-18,1930311599705.83,0.0188,4.1235,,,,,24.4416,,,,,5.9453,,,,,27.2753,,,,,5.9301,,,,
2026-05-15,1959782358975.6,0.0185,4.1864,,,,,24.8148,,,,,6.0361,,,,,27.6918,,,,,6.0206,,,,
2026-05-14,1975512434567.0,0.0184,4.2200,,,,,25.0139,,,,,6.0845,,,,,27.9140,,,,,6.0690,,,,
2026-05-13,2008129208955.05,0.0181,4.2897,,,,,25.4269,,,,,6.1850,,,,,28.3749,,,,,6.1692,,,,
2026-05-12,1995175029056.25,0.0182,4.2620,,,,,25.2629,,,,,6.1451,,,,,28.1919,,,,,6.1294,,,,
2026-05-11,2063924712376.31,0.0176,4.4089,,,,,26.1334,,,,,6.3568,,,,,29.1633,,,,,6.3406,,,,
2026-05-08,2021777362777.0,0.0180,4.3189,,,,,25.5998,,,,,6.2270,,,,,28.5677,,,,,6.2111,,,,
2026-05-07,2089509217676.44,0.0174,4.4635,,,,,26.4574,,,,,6.4356,,,,,29.5248,,,,,6.4192,,,,
2026-05-06,2128186697660.0,0.0171,4.5462,,,,,26.9471,,,,,6.5547,,,,,30.0713,,,,,6.5380,,,,
2026-04-30,2017150869956.0,0.0180,4.3090,,,,,25.5412,,,,,6.2127,,,,,28.5024,,,,,6.1969,,,,
2026-04-29,2031015656960.0,0.0179,4.3386,,,,,25.7167,,,,,6.2554,,,,,28.6983,,,,,6.2395,,,,
2026-04-28,1951920148341.76,0.0186,4.1696,,,,,24.7152,,,,,6.0118,,,,,27.5807,,,,,5.9965,,,,
2026-04-27,1984827166064.64,0.0183,4.2399,,,,,25.1319,,,,,6.1132,,,,,28.0456,,,,,6.0976,,,,
2026-04-24,2030559248947.2,0.0179,4.3376,,,,,25.7110,,,,,6.2540,,,,,28.6918,,,,,6.2381,,,,
2026-04-23,2003174768179.2,0.0181,4.2791,,,,,25.3642,,,,,6.1697,,,,,28.3049,,,,,6.1540,,,,
2026-04-22,1991536363852.8,0.0182,4.2543,,,,,25.2168,,,,,6.1339,,,,,28.1404,,,,,6.1182,,,,
2026-04-21,2042882265292.8,0.0178,4.3639,,,,,25.8670,,,,,5.7315,,,,,28.8660,,,,,5.7182,,,,
2026-04-20,1973964655360.0,0.0184,4.2167,,,,,24.9944,,,,,5.5381,,,,,27.8922,,,,,5.5252,,,,
2026-04-17,2027364392857.6,0.0179,4.3308,,,,,25.6705,,,,,5.6879,,,,,28.6467,,,,,5.6747,,,,
2026-04-16,2072001096509.44,0.0175,4.4261,,,,,26.2357,,,,,5.8132,,,,,29.2774,,,,,5.7997,,,,
2026-04-15,1967118535168.0,0.0185,4.6427,,,,,27.2449,,,,,5.8498,,,,,30.4942,,,,,5.8353,,,,
2026-04-14,1966152798420.9104,0.0185,4.6404,,,,,27.2315,,,,,5.8469,,,,,30.4793,,,,,5.8324,,,,
2026-04-13,1949448327002.77,0.0186,4.6010,,,,,27.0002,,,,,5.7973,,,,,30.2203,,,,,5.7829,,,,
2026-04-10,1898650303264.0,0.0191,4.4811,,,,,26.2966,,,,,5.6462,,,,,29.4329,,,,,5.6322,,,,
2026-04-09,1779939018677.71,0.0204,4.2009,,,,,24.6525,,,,,5.2932,,,,,27.5926,,,,,5.2800,,,,
2026-04-08,1785917941507.7,0.0204,4.2150,,,,,24.7353,,,,,5.3110,,,,,27.6853,,,,,5.2978,,,,
2026-04-07,1755293077241.11,0.0207,4.1428,,,,,24.3111,,,,,5.2199,,,,,27.2105,,,,,5.2069,,,,
2026-04-03,1763827875479.3398,0.0206,4.1629,,,,,24.4293,,,,,5.2453,,,,,27.3428,,,,,5.2322,,,,
2026-04-02,1830965245577.9304,0.0198,4.3214,,,,,25.3592,,,,,5.4449,,,,,28.3836,,,,,5.4314,,,,
2026-04-01,1851686092637.5896,0.0196,4.3703,,,,,25.6462,,,,,5.5065,,,,,28.7048,,,,,5.4929,,,,
2026-03-31,1833384199089.3,0.0198,4.3271,,,,,25.3927,,,,,5.4521,,,,,28.4211,,,,,5.4386,,,,
2026-03-30,1884877878828.0,0.0193,4.4486,,,,,26.1059,,,,,5.6052,,,,,29.2194,,,,,5.5913,,,,
2026-03-27,1899390982108.08,0.0191,4.4828,,,,,26.3069,,,,,5.6484,,,,,29.4443,,,,,5.6344,,,,
2026-03-26,1836957254790.0,0.0198,4.3355,,,,,25.4422,,,,,5.4627,,,,,28.4765,,,,,5.4492,,,,
2026-03-25,1815552709386.36,0.0200,4.2850,,,,,25.1457,,,,,5.3991,,,,,28.1447,,,,,5.3857,,,,
2026-03-24,1811810336842.44,0.0200,4.2761,,,,,25.0939,,,,,5.3880,,,,,28.0867,,,,,5.3746,,,,
2026-03-23,1834629681622.44,0.0197,4.3300,,,,,25.4099,,,,,5.4558,,,,,28.4404,,,,,5.4423,,,,
2026-03-20,1884877878828.0,0.0192,4.4486,,,,,26.1059,,,,,5.6052,,,,,29.2194,,,,,5.5913,,,,
2026-03-19,1827829516878.0,0.0198,4.3140,,,,,25.3157,,,,,5.4356,,,,,28.3350,,,,,5.4221,,,,
2026-03-18,1834766597691.12,0.0197,4.3303,,,,,25.4118,,,,,5.4562,,,,,28.4425,,,,,5.4427,,,,
2026-03-17,1848366927180.0,0.0196,4.3624,,,,,25.6002,,,,,5.4967,,,,,28.6534,,,,,5.4830,,,,
2026-03-16,1863884081630.4,0.0194,4.3990,,,,,25.8151,,,,,5.5428,,,,,28.8939,,,,,5.5290,,,,
2026-03-13,1811855975532.0,0.0200,4.2763,,,,,25.0945,,,,,5.3881,,,,,28.0874,,,,,5.3747,,,,
2026-03-12,1805010172098.0,0.0200,4.2601,,,,,24.9997,,,,,5.3677,,,,,27.9812,,,,,5.3544,,,,
2026-03-11,1810943201740.8,0.0200,4.2741,,,,,25.0819,,,,,5.3854,,,,,28.0732,,,,,5.3720,,,,
2026-03-10,1717383888142.8,0.0211,4.0533,,,,,23.7861,,,,,5.1072,,,,,26.6229,,,,,5.0945,,,,
2026-03-09,1631583151770.0,0.0149,4.2265,,,,,25.5823,,,,,5.2060,,,,,28.9105,,,,,5.1912,,,,
2026-03-06,1619123789520.12,0.0151,4.1942,,,,,25.3870,,,,,5.1663,,,,,28.6897,,,,,5.1516,,,,
2026-03-05,1598495101839.0,0.0153,4.1408,,,,,25.0635,,,,,5.1004,,,,,28.3242,,,,,5.0860,,,,
2026-03-04,1546695189188.4,0.0158,4.0066,,,,,24.2513,,,,,4.9351,,,,,27.4063,,,,,4.9212,,,,
2026-03-03,1570290391690.92,0.0155,4.0677,,,,,24.6213,,,,,5.0104,,,,,27.8244,,,,,4.9962,,,,
2026-03-02,1552719496210.32,0.0157,4.0222,,,,,24.3458,,,,,4.9544,,,,,27.5131,,,,,4.9403,,,,
2026-02-27,1560885391965.28,0.0156,4.0433,,,,,24.4738,,,,,4.9804,,,,,27.6577,,,,,4.9663,,,,
2026-02-26,1579095189088.0,0.0154,4.0905,,,,,24.7594,,,,,5.0385,,,,,27.9804,,,,,5.0242,,,,
2026-02-25,1652938426543.04,0.0148,4.2818,,,,,25.9172,,,,,5.2741,,,,,29.2889,,,,,5.2592,,,,
2026-02-24,1651888738989.6,0.0148,4.2791,,,,,25.9007,,,,,5.2708,,,,,29.2703,,,,,5.2559,,,,
2026-02-13,1667360220755.5198,0.0146,4.3191,,,,,26.1433,,,,,5.3202,,,,,29.5444,,,,,5.3051,,,,
2026-02-12,1715417655267.36,0.0142,4.4436,,,,,26.8968,,,,,5.4735,,,,,30.3959,,,,,5.4580,,,,
2026-02-11,1679500085504.0,0.0177,4.3506,,,,,26.3337,,,,,5.3589,,,,,29.7595,,,,,5.3437,,,,
2026-02-10,1665671592952.1602,0.0179,4.3148,,,,,26.1168,,,,,5.3148,,,,,29.5145,,,,,5.2997,,,,
2026-02-09,1683242449824.96,0.0177,4.3603,,,,,26.3923,,,,,5.3708,,,,,29.8258,,,,,5.3556,,,,
2026-02-06,1684562570149.2,0.0177,4.3637,,,,,26.4130,,,,,5.3751,,,,,29.8492,,,,,5.3598,,,,
2026-02-05,1656403617376.8,0.0180,4.2908,,,,,25.9715,,,,,5.2852,,,,,29.3503,,,,,5.2702,,,,
2026-02-04,1665942063291.6,0.0179,4.3155,,,,,26.1211,,,,,5.3156,,,,,29.5193,,,,,5.3006,,,,
2026-02-03,1587808956085.2002,0.0188,4.1131,,,,,24.8960,,,,,5.0663,,,,,28.1348,,,,,5.0520,,,,
2026-02-02,1592692275285.6,0.0187,4.1257,,,,,24.9726,,,,,5.0819,,,,,28.2213,,,,,5.0675,,,,
2026-01-30,1597331220800.0,0.0186,4.1377,,,,,25.0453,,,,,5.0967,,,,,28.3035,,,,,5.0823,,,,
2026-01-29,1560318774512.3198,0.0191,4.0419,,,,,24.4650,,,,,4.9786,,,,,27.6477,,,,,4.9645,,,,
2026-01-28,1551647547885.12,0.0192,4.0194,,,,,24.3290,,,,,4.9509,,,,,27.4941,,,,,4.9369,,,,
2026-01-27,1548954903827.2,0.0192,4.0124,,,,,24.2868,,,,,4.9424,,,,,27.4464,,,,,4.9283,,,,
2026-01-26,1561048983070.4,0.0191,4.0438,,,,,24.4764,,,,,4.9809,,,,,27.6606,,,,,4.9668,,,,
2026-01-23,1583639810336.0,0.0188,4.1023,,,,,24.8306,,,,,5.0530,,,,,28.0609,,,,,5.0387,,,,
2026-01-22,1578163246150.4,0.0189,4.0881,,,,,24.7447,,,,,5.0356,,,,,27.9639,,,,,5.0213,,,,
2026-01-21,1596464098137.28,0.0187,4.1355,,,,,25.0317,,,,,5.0939,,,,,28.2882,,,,,5.0795,,,,
2026-01-20,1595505699404.8,0.0187,4.1330,,,,,25.0167,,,,,5.0909,,,,,28.2712,,,,,5.0765,,,,
2026-01-19,1592311036963.2,0.0187,4.1247,,,,,24.9666,,,,,5.0807,,,,,28.2146,,,,,5.0663,,,,
2026-01-16,1607919244892.16,0.0185,4.1652,,,,,25.2113,,,,,5.1305,,,,,28.4912,,,,,5.1160,,,,
2026-01-15,1614445483880.0,0.0184,4.1821,,,,,25.3136,,,,,5.1513,,,,,28.6068,,,,,5.1367,,,,
2026-01-14,1615495158682.24,0.0184,4.1848,,,,,25.3301,,,,,5.1547,,,,,28.6254,,,,,5.1401,,,,
2026-01-13,1638405452192.0,0.0182,4.2441,,,,,25.6893,,,,,5.2278,,,,,29.0313,,,,,5.2130,,,,
2026-01-12,1650636445539.84,0.0180,4.2758,,,,,25.8811,,,,,5.2668,,,,,29.2481,,,,,5.2519,,,,
2026-01-09,1685093161874.24,0.0177,4.3651,,,,,26.4213,,,,,5.3767,,,,,29.8586,,,,,5.3615,,,,
2026-01-08,1685001885804.48,0.0177,4.3648,,,,,26.4199,,,,,5.3765,,,,,29.8570,,,,,5.3612,,,,
2026-01-07,1693216732082.88,0.0176,4.3861,,,,,26.5487,,,,,5.4027,,,,,30.0026,,,,,5.3873,,,,
2026-01-06,1706816866477.12,0.0174,4.4213,,,,,26.7620,,,,,5.4461,,,,,30.2435,,,,,5.4306,,,,
2026-01-05,1722835816720.0,0.0173,4.4628,,,,,27.0131,,,,,5.4972,,,,,30.5274,,,,,5.4816,,,,
2025-12-31,1676102469002.88,0.0178,4.3418,,,,,26.2804,,,,,5.3481,,,,,29.6993,,,,,5.3329,,,,
2025-12-30,1684884082091.6,0.0177,4.3645,,,,,26.4181,,,,,5.3761,,,,,29.8549,,,,,5.3608,,,,
2025-12-29,1685386078974.13,0.0177,4.3658,,,,,26.4259,,,,,5.3777,,,,,29.8638,,,,,5.3624,,,,
2025-12-26,1708751752051.89,0.0174,4.4264,,,,,26.7923,,,,,5.4522,,,,,30.2778,,,,,5.4368,,,,
2025-12-25,1702271428659.23,0.0175,4.4096,,,,,26.6907,,,,,5.4316,,,,,30.1630,,,,,5.4162,,,,
2025-12-24,1714091173438.8,0.0174,4.4402,,,,,26.8760,,,,,5.4693,,,,,30.3724,,,,,5.4538,,,,
2025-12-23,1725500193496.3,0.0173,4.4697,,,,,27.0549,,,,,5.5057,,,,,30.5746,,,,,5.4901,,,,
2025-12-22,1696932007272.3198,0.0176,4.3957,,,,,26.6070,,,,,5.4145,,,,,30.0684,,,,,5.3992,,,,
2025-12-19,1706789400602.0,0.0175,4.4213,,,,,26.7615,,,,,5.4460,,,,,30.2431,,,,,5.4305,,,,
2025-12-18,1697662184556.0,0.0175,4.3976,,,,,26.6184,,,,,5.4168,,,,,30.0813,,,,,5.4015,,,,
2025-12-17,1749778588178.6602,0.0170,4.5326,,,,,27.4356,,,,,5.5831,,,,,31.0048,,,,,5.5673,,,,
2025-12-16,1726914911983.4302,0.0172,4.4734,,,,,27.0771,,,,,5.5102,,,,,30.5997,,,,,5.4946,,,,
2025-12-15,1759270892866.5,0.0169,4.5572,,,,,27.5844,,,,,5.6134,,,,,31.1730,,,,,5.5975,,,,
2025-12-12,1788021623411.4,0.0167,4.6317,,,,,28.0352,,,,,5.7052,,,,,31.6824,,,,,5.6890,,,,
2025-12-11,1775197884866.77,0.0168,4.5985,,,,,27.8341,,,,,5.6642,,,,,31.4552,,,,,5.6482,,,,
2025-12-10,1745032435834.74,0.0171,4.5203,,,,,27.3612,,,,,5.5680,,,,,30.9207,,,,,5.5522,,,,
2025-12-09,1768808833634.5698,0.0168,4.5819,,,,,27.7340,,,,,5.6439,,,,,31.3420,,,,,5.6279,,,,
2025-12-08,1791216149027.5,0.0166,4.6400,,,,,28.0853,,,,,5.7154,,,,,31.7390,,,,,5.6992,,,,
2025-12-05,1775654245669.0698,0.0168,4.5997,,,,,27.8413,,,,,5.6657,,,,,31.4633,,,,,5.6496,,,,
2025-12-04,1749459135617.05,0.0170,4.5318,,,,,27.4306,,,,,5.5821,,,,,30.9991,,,,,5.5663,,,,
2025-12-03,1716281705289.8398,0.0174,4.4459,,,,,26.9104,,,,,5.4763,,,,,30.4113,,,,,5.4607,,,,
2025-12-02,1734536137381.8398,0.0172,4.4932,,,,,27.1966,,,,,5.5345,,,,,30.7347,,,,,5.5188,,,,
2025-12-01,1747724964568.31,0.0170,4.5273,,,,,27.4034,,,,,5.5766,,,,,30.9684,,,,,5.5608,,,,
2025-11-28,1703125865316.0,0.0175,4.4118,,,,,26.7041,,,,,5.4343,,,,,30.1781,,,,,5.4189,,,,
2025-11-27,1693998717056.0,0.0176,4.3881,,,,,26.5610,,,,,5.4052,,,,,30.0164,,,,,5.3898,,,,
2025-11-26,1701391707146.6,0.0175,4.4073,,,,,26.6769,,,,,5.4287,,,,,30.1474,,,,,5.4134,,,,
2025-11-25,1699292463046.8,0.0175,4.4019,,,,,26.6440,,,,,5.4221,,,,,30.1102,,,,,5.4067,,,,
2025-11-24,1691032393871.5,0.0176,4.3805,,,,,26.5145,,,,,5.3957,,,,,29.9639,,,,,5.3804,,,,
2025-11-21,1688522428100.0,0.0176,4.3740,,,,,26.4751,,,,,5.3877,,,,,29.9194,,,,,5.3724,,,,
2025-11-20,1731374389180.7,0.0172,4.4850,,,,,27.1470,,,,,5.5244,,,,,30.6787,,,,,5.5088,,,,
2025-11-19,1784681696201.7002,0.0167,4.6231,,,,,27.9828,,,,,5.6954,,,,,31.6233,,,,,5.6792,,,,
2025-11-18,1756845955095.0,0.0170,4.5509,,,,,27.5464,,,,,5.6065,,,,,31.1300,,,,,5.5906,,,,
2025-11-17,1783221460602.66,0.0167,4.6193,,,,,27.9599,,,,,5.6907,,,,,31.5974,,,,,5.6746,,,,
2025-11-14,1844095032137.64,0.0162,4.7770,,,,,28.9144,,,,,5.8850,,,,,32.6760,,,,,5.8683,,,,
2025-11-13,1896480984253.2,0.0157,4.9127,,,,,29.7358,,,,,6.0521,,,,,33.6043,,,,,6.0350,,,,
2025-11-12,1763083882034.6,0.0169,4.5671,,,,,27.6442,,,,,5.6264,,,,,31.2406,,,,,5.6105,,,,
2025-11-11,1759524677552.0,0.0169,4.5579,,,,,27.5884,,,,,5.6151,,,,,31.1775,,,,,5.5992,,,,
2025-11-10,1754550917441.7,0.0170,4.5450,,,,,27.5104,,,,,5.5992,,,,,31.0894,,,,,5.5833,,,,
2025-11-07,1804105995237.9,0.0165,4.6734,,,,,28.2874,,,,,5.7573,,,,,31.9674,,,,,5.7410,,,,
2025-11-06,1800957468195.6,0.0165,4.6652,,,,,28.2380,,,,,5.7473,,,,,31.9117,,,,,5.7310,,,,
2025-11-05,1773670233829.0,0.0168,4.5945,,,,,27.8102,,,,,5.6602,,,,,31.4281,,,,,5.6442,,,,
2025-11-04,1729180177796.5,0.0172,4.4793,,,,,27.1126,,,,,5.5182,,,,,30.6398,,,,,5.5026,,,,
2025-11-03,1765274161716.2,0.0169,4.5728,,,,,27.6785,,,,,5.6334,,,,,31.2794,,,,,5.6175,,,,
2025-10-31,1773989649615.9,0.0168,4.5954,,,,,27.8152,,,,,5.6612,,,,,31.4338,,,,,5.6452,,,,
2025-10-30,1817339120058.29,0.0164,4.7076,,,,,28.4949,,,,,5.7996,,,,,32.2019,,,,,5.7831,,,,
2025-10-29,1825141600400.0,0.0163,4.7279,,,,,28.6172,,,,,5.8245,,,,,32.3402,,,,,5.8080,,,,
2025-10-28,1763451814306.48,0.0169,4.5681,,,,,27.6500,,,,,5.6276,,,,,31.2471,,,,,5.6117,,,,
2025-10-27,1762082958106.18,0.0169,4.5645,,,,,27.6285,,,,,5.6232,,,,,31.2228,,,,,5.6073,,,,
2025-10-24,1760212187965.77,0.0169,4.5597,,,,,27.5992,,,,,5.6173,,,,,31.1897,,,,,5.6013,,,,
2025-10-23,1717686388676.45,0.0173,4.4495,,,,,26.9324,,,,,5.4816,,,,,30.4361,,,,,5.4660,,,,
2025-10-22,1701305742812.86,0.0175,4.4071,,,,,26.6756,,,,,5.4293,,,,,30.1459,,,,,5.4139,,,,
2025-10-21,1715176818975.9,0.0174,4.4430,,,,,26.8930,,,,,5.4736,,,,,30.3917,,,,,5.4580,,,,
2025-10-20,1672285991366.5,0.0178,4.4698,,,,,28.6523,,,,,5.7697,,,,,32.0752,,,,,5.7520,,,,
2025-10-17,1634140531918.14,0.0182,4.3678,,,,,27.9987,,,,,5.6381,,,,,31.3435,,,,,5.6208,,,,
2025-10-16,1681411699368.5,0.0177,4.4942,,,,,28.8086,,,,,5.8012,,,,,32.2502,,,,,5.7834,,,,
2025-10-15,1685061982569.3,0.0177,4.5039,,,,,28.8712,,,,,5.8138,,,,,32.3202,,,,,5.7960,,,,
2025-10-14,1633501732358.0,0.0182,4.3661,,,,,27.9878,,,,,5.6359,,,,,31.3313,,,,,5.6186,,,,
2025-10-13,1708788823374.5,0.0174,4.5673,,,,,29.2777,,,,,5.8957,,,,,32.7753,,,,,5.8776,,,,
2025-10-10,1742782085681.95,0.0171,4.6582,,,,,29.8601,,,,,6.0130,,,,,33.4273,,,,,5.9945,,,,
2025-10-09,1870268226469.89,0.0159,4.9990,,,,,32.0444,,,,,6.4528,,,,,35.8726,,,,,6.4330,,,,
2025-09-30,1834267308402.0,0.0162,4.9027,,,,,31.4276,,,,,6.3286,,,,,35.1821,,,,,6.3092,,,,
2025-09-29,1812663823327.51,0.0164,4.8450,,,,,31.0575,,,,,6.2541,,,,,34.7677,,,,,6.2349,,,,
2025-09-26,1735252581709.2,0.0172,4.6381,,,,,29.7311,,,,,5.9870,,,,,33.2829,,,,,5.9686,,,,
2025-09-25,1792045154375.55,0.0166,4.7899,,,,,30.7042,,,,,6.1829,,,,,34.3722,,,,,6.1639,,,,
2025-09-24,1733108605070.39,0.0172,4.6323,,,,,29.6944,,,,,5.9796,,,,,33.2418,,,,,5.9612,,,,
2025-09-23,1679372339527.45,0.0177,4.4887,,,,,28.7737,,,,,5.7942,,,,,32.2111,,,,,5.7764,,,,
2025-09-22,1688039479131.15,0.0176,4.5119,,,,,28.9222,,,,,5.8241,,,,,32.3773,,,,,5.8062,,,,
2025-09-19,1680923301351.27,0.0177,4.4929,,,,,28.8003,,,,,5.7995,,,,,32.2408,,,,,5.7817,,,,
2025-09-18,1673624657474.47,0.0178,4.4734,,,,,28.6752,,,,,5.7744,,,,,32.1009,,,,,5.7566,,,,
2025-09-17,1720199128713.3,0.0173,4.5978,,,,,29.4732,,,,,5.9350,,,,,32.9942,,,,,5.9168,,,,
2025-09-16,1612179199336.6602,0.0185,4.3091,,,,,27.6224,,,,,5.5624,,,,,30.9223,,,,,5.5453,,,,
2025-09-15,1617381818817.5,0.0184,4.3230,,,,,27.7116,,,,,5.5845,,,,,31.0221,,,,,5.5674,,,,
2025-09-12,1481954020625.0,0.0201,3.9610,,,,,25.3912,,,,,5.1169,,,,,28.4245,,,,,5.1012,,,,
2025-09-11,1470782367238.75,0.0203,3.9312,,,,,25.1998,,,,,5.0783,,,,,28.2103,,,,,5.0627,,,,
2025-09-10,1441097688241.0,0.0207,3.8518,,,,,24.6912,,,,,4.9758,,,,,27.6409,,,,,4.9606,,,,
2025-09-09,1459123404800.0,0.0204,3.9000,,,,,25.0000,,,,,5.0381,,,,,27.9866,,,,,5.0226,,,,
2025-09-08,1483609319436.8,0.0201,3.9655,,,,,25.4196,,,,,5.1226,,,,,28.4563,,,,,5.1069,,,,
2025-09-05,1482423781670.4,0.0201,3.9623,,,,,25.3993,,,,,5.1185,,,,,28.4335,,,,,5.1028,,,,
2025-09-04,1386304027379.2,0.0215,3.7054,,,,,23.7524,,,,,4.7867,,,,,26.5899,,,,,4.7719,,,,
2025-09-03,1408932582948.0,0.0211,3.7659,,,,,24.1401,,,,,4.8648,,,,,27.0239,,,,,4.8498,,,,
2025-09-02,1380879620473.75,0.0216,3.6909,,,,,23.6594,,,,,4.7679,,,,,26.4859,,,,,4.7533,,,,
2025-09-01,1386031646000.0,0.0215,3.7047,,,,,23.7477,,,,,4.7857,,,,,26.5847,,,,,4.7710,,,,
2025-08-29,1395970951882.5,0.0213,3.7312,,,,,23.9180,,,,,4.8200,,,,,26.7753,,,,,4.8052,,,,
2025-08-28,1264799470121.25,0.0235,3.3806,,,,,21.6706,,,,,4.3671,,,,,24.2594,,,,,4.3537,,,,
2025-08-27,1268857260137.5,0.0235,3.3915,,,,,21.7401,,,,,4.3811,,,,,24.3372,,,,,4.3677,,,,
