date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-05-07,83488457903.46,0.8702,,,,,-141.0230,,,,,135.2120,,,,,0.8557,,,,,0.5286,,,,,0.0055
2026-05-06,81595091147.55,0.8505,,,,,-137.8249,,,,,132.1456,,,,,0.8362,,,,,0.5166,,,,,0.0056
2026-04-30,78439479887.7,0.8176,,,,,-132.4946,,,,,127.0350,,,,,0.8039,,,,,0.4966,,,,,0.0059
2026-04-29,79611564069.93,0.8291,,,,,470.8576,,,,,77.7620,,,,,0.8153,,,,,0.5145,,,,,0.0058
2026-04-28,77988678279.15,0.8122,,,,,461.2592,,,,,76.1769,,,,,0.7986,,,,,0.5040,,,,,0.0059
2026-04-27,76365792488.37,0.7953,,,,,451.6607,,,,,74.5917,,,,,0.7820,,,,,0.4935,,,,,0.0060
2026-04-24,75374028949.56,0.7850,,,,,445.7950,,,,,73.6230,,,,,0.7719,,,,,0.4871,,,,,0.0061
2026-04-23,77718197314.02,0.8094,,,,,459.6594,,,,,75.9127,,,,,0.7959,,,,,0.5023,,,,,0.0059
2026-04-22,77988678279.15,0.8122,,,,,461.2592,,,,,76.1769,,,,,0.7986,,,,,0.5040,,,,,0.0059
2026-04-21,77537876670.6,0.8075,,,,,458.5929,,,,,75.7365,,,,,0.7940,,,,,0.5011,,,,,0.0059
2026-04-20,78439479887.7,0.8169,,,,,463.9254,,,,,76.6172,,,,,0.8033,,,,,0.5070,,,,,0.0059
2026-04-17,79791884713.35,0.8310,,,,,471.9241,,,,,77.9382,,,,,0.8171,,,,,0.5157,,,,,0.0058
2026-04-16,76906754418.63,0.8009,,,,,454.8602,,,,,75.1201,,,,,0.7876,,,,,0.4970,,,,,0.0060
2026-04-15,76996914740.34,0.8019,,,,,455.3934,,,,,75.2081,,,,,0.7885,,,,,0.4976,,,,,0.0060
2026-04-14,76365792488.37,0.7953,,,,,451.6607,,,,,74.5917,,,,,0.7820,,,,,0.4935,,,,,0.0060
2026-04-13,73120020906.81,0.7615,,,,,432.4638,,,,,71.4213,,,,,0.7488,,,,,0.4726,,,,,0.0063
2026-04-10,72038097046.29,0.7502,,,,,426.0648,,,,,70.3645,,,,,0.7377,,,,,0.4656,,,,,0.0064
2026-04-09,72128257368.0,0.7512,,,,,426.5981,,,,,70.4526,,,,,0.7386,,,,,0.4662,,,,,0.0064
2026-04-08,72849539941.68,0.7587,,,,,430.8641,,,,,71.1571,,,,,0.7460,,,,,0.4708,,,,,0.0063
2026-04-07,70685692220.64,0.7361,,,,,418.0661,,,,,69.0435,,,,,0.7239,,,,,0.4568,,,,,0.0065
2026-04-03,71497135116.03,0.7446,,,,,422.8653,,,,,69.8361,,,,,0.7322,,,,,0.4621,,,,,0.0064
2026-04-02,73390501871.94,0.7643,,,,,434.0635,,,,,71.6855,,,,,0.7515,,,,,0.4743,,,,,0.0063
2026-04-01,75824830558.11,0.7897,,,,,448.4612,,,,,74.0633,,,,,0.7765,,,,,0.4901,,,,,0.0061
2026-03-31,75824830558.11,0.7897,,,,,448.4612,,,,,74.0633,,,,,0.7765,,,,,0.4901,,,,,0.0061
2026-03-30,77537876670.6,0.8075,,,,,458.5929,,,,,75.7365,,,,,0.7940,,,,,0.5011,,,,,0.0059
2026-03-27,77898517957.44,0.8113,,,,,460.7259,,,,,76.0888,,,,,0.7977,,,,,0.5035,,,,,0.0059
2026-03-26,78349319565.99,0.8160,,,,,463.3922,,,,,76.5291,,,,,0.8023,,,,,0.5064,,,,,0.0059
2026-03-25,80513167287.03,0.8385,,,,,476.1901,,,,,78.6427,,,,,0.8245,,,,,0.5204,,,,,0.0057
2026-03-24,79882045035.06,0.8319,,,,,472.4574,,,,,78.0262,,,,,0.8180,,,,,0.5163,,,,,0.0058
2026-03-23,78980441817.96,0.8225,,,,,467.1249,,,,,77.1456,,,,,0.8088,,,,,0.5104,,,,,0.0058
2026-03-20,81414770504.13,0.8479,,,,,481.5226,,,,,79.5234,,,,,0.8337,,,,,0.5262,,,,,0.0057
2026-03-19,82677015008.07,0.8610,,,,,488.9880,,,,,80.7563,,,,,0.8466,,,,,0.5343,,,,,0.0056
2026-03-18,85471984981.08,0.8901,,,,,505.5187,,,,,83.4863,,,,,0.8753,,,,,0.5524,,,,,0.0054
2026-03-17,87816153345.54,0.9146,,,,,519.3832,,,,,85.7760,,,,,0.8993,,,,,0.5676,,,,,0.0052
2026-03-16,87094870771.86,0.8944,,,,,31.8247,,,,,22.1341,,,,,0.8777,,,,,0.4567,,,,,0.0201
2026-03-13,86553908841.6,0.8888,,,,,31.6270,,,,,21.9966,,,,,0.8722,,,,,0.4539,,,,,0.0202
2026-03-12,85562145302.79,0.8786,,,,,31.2646,,,,,21.7446,,,,,0.8622,,,,,0.4487,,,,,0.0205
2026-03-11,86193267554.76,0.8851,,,,,31.4952,,,,,21.9050,,,,,0.8686,,,,,0.4520,,,,,0.0203
2026-03-10,84480221442.27,0.8675,,,,,30.8693,,,,,21.4696,,,,,0.8513,,,,,0.4430,,,,,0.0207
2026-03-09,84931023050.82,0.8721,,,,,31.0340,,,,,21.5842,,,,,0.8558,,,,,0.4454,,,,,0.0206
2026-03-06,87455512058.7,0.8981,,,,,31.9565,,,,,22.2258,,,,,0.8813,,,,,0.4586,,,,,0.0200
2026-03-05,86824389806.73,0.8916,,,,,31.7259,,,,,22.0654,,,,,0.8749,,,,,0.4553,,,,,0.0202
2026-03-04,87996473988.96,0.9036,,,,,32.1541,,,,,22.3632,,,,,0.8867,,,,,0.4614,,,,,0.0199
2026-03-03,89078397849.48,0.9147,,,,,32.5495,,,,,22.6382,,,,,0.8976,,,,,0.4671,,,,,0.0196
2026-03-02,88807916884.35,0.9120,,,,,32.4506,,,,,22.5695,,,,,0.8949,,,,,0.4657,,,,,0.0197
2026-02-27,89348878814.61,0.9175,,,,,32.6483,,,,,22.7069,,,,,0.9004,,,,,0.4685,,,,,0.0196
2026-02-26,90160321710.0,0.9258,,,,,32.9448,,,,,22.9132,,,,,0.9085,,,,,0.4728,,,,,0.0194
2026-02-25,94217536186.95,0.9675,,,,,34.4273,,,,,23.9443,,,,,0.9494,,,,,0.4940,,,,,0.0186
2026-02-24,91422566213.94,0.9388,,,,,33.4060,,,,,23.2339,,,,,0.9213,,,,,0.4794,,,,,0.0191
2026-02-13,93135612326.43,0.9564,,,,,34.0320,,,,,23.6693,,,,,0.9385,,,,,0.4884,,,,,0.0188
2026-02-12,93676574256.69,0.9619,,,,,34.2297,,,,,23.8068,,,,,0.9440,,,,,0.4912,,,,,0.0187
2026-02-11,93766734578.4,0.9629,,,,,34.2626,,,,,23.8297,,,,,0.9449,,,,,0.4917,,,,,0.0187
2026-02-10,94578177473.79,0.9712,,,,,34.5591,,,,,24.0359,,,,,0.9531,,,,,0.4959,,,,,0.0185
2026-02-09,96471544229.7,0.9906,,,,,35.2510,,,,,24.5171,,,,,0.9721,,,,,0.5059,,,,,0.0181
2026-02-06,95840421977.73,0.9842,,,,,35.0203,,,,,24.3567,,,,,0.9658,,,,,0.5026,,,,,0.0183
2026-02-05,98455071307.32,1.0110,,,,,35.9757,,,,,25.0212,,,,,0.9921,,,,,0.5163,,,,,0.0178
2026-02-04,98004269698.77,1.0064,,,,,35.8110,,,,,24.9066,,,,,0.9876,,,,,0.5139,,,,,0.0179
2026-02-03,91332405892.23,0.9379,,,,,33.3731,,,,,23.2110,,,,,0.9204,,,,,0.4789,,,,,0.0192
2026-02-02,90881604283.68,0.9332,,,,,33.2084,,,,,23.0965,,,,,0.9158,,,,,0.4766,,,,,0.0193
2026-01-30,95299460047.47,0.9786,,,,,34.8227,,,,,24.2192,,,,,0.9603,,,,,0.4997,,,,,0.0184
2026-01-29,98094430020.48,1.0073,,,,,35.8440,,,,,24.9295,,,,,0.9885,,,,,0.5144,,,,,0.0178
2026-01-28,90791443961.97,0.9323,,,,,33.1754,,,,,23.0736,,,,,0.9149,,,,,0.4761,,,,,0.0193
2026-01-27,88627596240.93,0.9101,,,,,32.3848,,,,,22.5236,,,,,0.8931,,,,,0.4647,,,,,0.0197
2026-01-26,88266954954.09,0.9064,,,,,32.2530,,,,,22.4320,,,,,0.8895,,,,,0.4628,,,,,0.0198
2026-01-23,88988237527.77,0.9138,,,,,32.5165,,,,,22.6153,,,,,0.8967,,,,,0.4666,,,,,0.0197
2026-01-22,89619359779.74,0.9203,,,,,32.7471,,,,,22.7757,,,,,0.9031,,,,,0.4699,,,,,0.0195
2026-01-21,87996473988.96,0.9036,,,,,32.1541,,,,,22.3632,,,,,0.8867,,,,,0.4614,,,,,0.0199
2026-01-20,89529199458.03,0.9194,,,,,32.7142,,,,,22.7528,,,,,0.9022,,,,,0.4695,,,,,0.0195
2026-01-19,83398297581.75,0.8564,,,,,30.4740,,,,,21.1947,,,,,0.8404,,,,,0.4373,,,,,0.0210
2026-01-16,81865572112.68,0.8407,,,,,29.9139,,,,,20.8052,,,,,0.8250,,,,,0.4293,,,,,0.0214
2026-01-15,84119580155.43,0.8638,,,,,30.7375,,,,,21.3780,,,,,0.8477,,,,,0.4411,,,,,0.0208
2026-01-14,81414770504.13,0.8360,,,,,29.7492,,,,,20.6906,,,,,0.8204,,,,,0.4269,,,,,0.0215
2026-01-13,83217976938.33,0.8545,,,,,30.4081,,,,,21.1488,,,,,0.8386,,,,,0.4364,,,,,0.0210
2026-01-12,82316373721.23,0.8453,,,,,30.0786,,,,,20.9197,,,,,0.8295,,,,,0.4316,,,,,0.0213
2026-01-09,82767175329.78,0.8499,,,,,30.2433,,,,,21.0343,,,,,0.8340,,,,,0.4340,,,,,0.0211
2026-01-08,81865572112.68,0.8407,,,,,29.9139,,,,,20.8052,,,,,0.8250,,,,,0.4293,,,,,0.0214
2026-01-07,80062365678.48,0.8221,,,,,29.2550,,,,,20.3469,,,,,0.8068,,,,,0.4198,,,,,0.0219
2026-01-06,81324610182.42,0.8351,,,,,29.7162,,,,,20.6677,,,,,0.8195,,,,,0.4264,,,,,0.0215
2026-01-05,81324610182.42,0.8351,,,,,29.7162,,,,,20.6677,,,,,0.8195,,,,,0.4264,,,,,0.0215
2025-12-31,77898517957.44,0.7999,,,,,28.4643,,,,,19.7970,,,,,0.7850,,,,,0.4085,,,,,0.0225
2025-12-30,77087075062.05,0.7916,,,,,28.1678,,,,,19.5908,,,,,0.7768,,,,,0.4042,,,,,0.0227
2025-12-29,77718197314.02,0.7981,,,,,28.3984,,,,,19.7511,,,,,0.7832,,,,,0.4075,,,,,0.0225
2025-12-26,79250922783.09,0.8138,,,,,28.9585,,,,,20.1407,,,,,0.7986,,,,,0.4156,,,,,0.0221
2025-12-25,79070602139.67,0.8120,,,,,28.8926,,,,,20.0948,,,,,0.7968,,,,,0.4146,,,,,0.0221
2025-12-24,78980441817.96,0.8110,,,,,28.8597,,,,,20.0719,,,,,0.7959,,,,,0.4142,,,,,0.0222
2025-12-23,78980441817.96,0.8110,,,,,28.8597,,,,,20.0719,,,,,0.7959,,,,,0.4142,,,,,0.0222
2025-12-22,78529640209.41,0.8064,,,,,28.6949,,,,,19.9574,,,,,0.7913,,,,,0.4118,,,,,0.0223
2025-12-19,78529640209.41,0.8064,,,,,28.6949,,,,,19.9574,,,,,0.7913,,,,,0.4118,,,,,0.0223
2025-12-18,78168998922.57,0.8027,,,,,28.5632,,,,,19.8657,,,,,0.7877,,,,,0.4099,,,,,0.0224
2025-12-17,78980441817.96,0.8110,,,,,28.8597,,,,,20.0719,,,,,0.7959,,,,,0.4142,,,,,0.0222
2025-12-16,78709960852.83,0.8083,,,,,28.7608,,,,,20.0032,,,,,0.7932,,,,,0.4127,,,,,0.0222
2025-12-15,79701724391.64,0.8184,,,,,29.1232,,,,,20.2552,,,,,0.8032,,,,,0.4179,,,,,0.0220
2025-12-12,80423006965.32,0.8258,,,,,29.3868,,,,,20.4385,,,,,0.8104,,,,,0.4217,,,,,0.0218
2025-12-11,80062365678.48,0.8221,,,,,29.2550,,,,,20.3469,,,,,0.8068,,,,,0.4198,,,,,0.0219
2025-12-10,80873808573.87,0.8305,,,,,29.5515,,,,,20.5531,,,,,0.8150,,,,,0.4241,,,,,0.0216
2025-12-09,79701724391.64,0.8184,,,,,29.1232,,,,,20.2552,,,,,0.8032,,,,,0.4179,,,,,0.0220
2025-12-08,83037656294.91,0.8527,,,,,30.3422,,,,,21.1030,,,,,0.8368,,,,,0.4354,,,,,0.0211
2025-12-05,83308137260.04,0.8555,,,,,30.4410,,,,,21.1718,,,,,0.8395,,,,,0.4368,,,,,0.0210
2025-12-04,84931023050.82,0.8721,,,,,31.0340,,,,,21.5842,,,,,0.8558,,,,,0.4454,,,,,0.0206
2025-12-03,84660542085.69,0.8694,,,,,30.9352,,,,,21.5155,,,,,0.8531,,,,,0.4439,,,,,0.0207
2025-12-02,85111343694.24,0.8740,,,,,31.0999,,,,,21.6300,,,,,0.8577,,,,,0.4463,,,,,0.0206
2025-12-01,84480221442.27,0.8675,,,,,30.8693,,,,,21.4696,,,,,0.8513,,,,,0.4430,,,,,0.0207
2025-11-28,83488457903.46,0.8573,,,,,30.5069,,,,,21.2176,,,,,0.8413,,,,,0.4378,,,,,0.0210
2025-11-27,85742465946.21,0.8805,,,,,31.3305,,,,,21.7904,,,,,0.8640,,,,,0.4496,,,,,0.0204
2025-11-26,85111343694.24,0.8740,,,,,31.0999,,,,,21.6300,,,,,0.8577,,,,,0.4463,,,,,0.0206
2025-11-25,86644069163.31,0.8897,,,,,31.6600,,,,,22.0195,,,,,0.8731,,,,,0.4543,,,,,0.0202
2025-11-24,85201504015.95,0.8749,,,,,31.1328,,,,,21.6529,,,,,0.8586,,,,,0.4468,,,,,0.0205
2025-11-21,86463748519.89,0.8879,,,,,31.5941,,,,,21.9737,,,,,0.8713,,,,,0.4534,,,,,0.0202
2025-11-20,87094870771.86,0.8944,,,,,31.8247,,,,,22.1341,,,,,0.8777,,,,,0.4567,,,,,0.0201
2025-11-19,84660542085.69,0.8694,,,,,30.9352,,,,,21.5155,,,,,0.8531,,,,,0.4439,,,,,0.0207
2025-11-18,86012946911.34,0.8833,,,,,31.4294,,,,,21.8592,,,,,0.8668,,,,,0.4510,,,,,0.0203
2025-11-17,87816153345.54,0.9018,,,,,32.0882,,,,,22.3174,,,,,0.8849,,,,,0.4605,,,,,0.0199
2025-11-14,87365351736.99,0.8971,,,,,31.9235,,,,,22.2029,,,,,0.8804,,,,,0.4581,,,,,0.0200
2025-11-13,88086634310.67,0.9045,,,,,32.1871,,,,,22.3862,,,,,0.8876,,,,,0.4619,,,,,0.0199
2025-11-12,87816153345.54,0.9018,,,,,32.0882,,,,,22.3174,,,,,0.8849,,,,,0.4605,,,,,0.0199
2025-11-11,87455512058.7,0.8981,,,,,31.9565,,,,,22.2258,,,,,0.8813,,,,,0.4586,,,,,0.0200
2025-11-10,86463748519.89,0.8879,,,,,31.5941,,,,,21.9737,,,,,0.8713,,,,,0.4534,,,,,0.0202
2025-11-07,84446993169.64,0.8672,,,,,30.8571,,,,,21.4612,,,,,0.8510,,,,,0.4428,,,,,0.0207
2025-11-06,83903342999.02,0.8616,,,,,30.6585,,,,,21.3230,,,,,0.8455,,,,,0.4400,,,,,0.0209
2025-11-05,84084559722.56,0.8634,,,,,30.7247,,,,,21.3691,,,,,0.8473,,,,,0.4409,,,,,0.0208
2025-11-04,84356384807.87,0.8662,,,,,30.8240,,,,,21.4382,,,,,0.8501,,,,,0.4423,,,,,0.0207
2025-11-03,84809426616.72,0.8709,,,,,30.9896,,,,,21.5533,,,,,0.8546,,,,,0.4447,,,,,0.0206
2025-10-31,85624901872.65,0.8793,,,,,31.2876,,,,,21.7605,,,,,0.8628,,,,,0.4490,,,,,0.0204
2025-10-30,84265776446.1,0.8893,,,,,41.8731,,,,,20.7067,,,,,0.8722,,,,,0.4703,,,,,0.0208
2025-10-29,85443685149.11,0.9017,,,,,42.4584,,,,,20.9962,,,,,0.8844,,,,,0.4769,,,,,0.0205
2025-10-28,85171860063.8,0.8989,,,,,42.3233,,,,,20.9294,,,,,0.8816,,,,,0.4754,,,,,0.0205
2025-10-27,85896726957.96,0.9065,,,,,42.6835,,,,,21.1075,,,,,0.8891,,,,,0.4794,,,,,0.0204
2025-10-24,86077943681.5,0.9084,,,,,42.7736,,,,,21.1520,,,,,0.8910,,,,,0.4805,,,,,0.0203
2025-10-23,88343152725.75,0.9323,,,,,43.8992,,,,,21.7087,,,,,0.9145,,,,,0.4931,,,,,0.0198
2025-10-22,89521061428.76,0.9448,,,,,44.4845,,,,,21.9981,,,,,0.9266,,,,,0.4997,,,,,0.0195
2025-10-21,90880186855.31,0.9591,,,,,45.1599,,,,,22.3321,,,,,0.9407,,,,,0.5073,,,,,0.0193
2025-10-20,90155319961.15,0.9515,,,,,44.7997,,,,,22.1540,,,,,0.9332,,,,,0.5032,,,,,0.0194
2025-10-17,92148703920.09,0.9725,,,,,45.7902,,,,,22.6438,,,,,0.9538,,,,,0.5143,,,,,0.0190
2025-10-16,93054787537.79,0.9821,,,,,46.2405,,,,,22.8665,,,,,0.9632,,,,,0.5194,,,,,0.0188
2025-10-15,92511137367.17,0.9763,,,,,45.9703,,,,,22.7329,,,,,0.9576,,,,,0.5164,,,,,0.0189
2025-10-14,93054787537.79,0.9821,,,,,46.2405,,,,,22.8665,,,,,0.9632,,,,,0.5194,,,,,0.0188
2025-10-13,91514445387.7,0.9658,,,,,45.4750,,,,,22.4880,,,,,0.9473,,,,,0.5108,,,,,0.0191
2025-10-10,92239312281.86,0.9735,,,,,45.8352,,,,,22.6661,,,,,0.9548,,,,,0.5148,,,,,0.0190
2025-10-09,91514445387.7,0.9658,,,,,45.4750,,,,,22.4880,,,,,0.9473,,,,,0.5108,,,,,0.0191
2025-09-30,92148703920.09,0.9725,,,,,45.7902,,,,,22.6438,,,,,0.9538,,,,,0.5143,,,,,0.0190
2025-09-29,90064711599.38,0.9505,,,,,44.7546,,,,,22.1317,,,,,0.9323,,,,,0.5027,,,,,0.0194
2025-09-26,90155319961.15,0.9515,,,,,44.7997,,,,,22.1540,,,,,0.9332,,,,,0.5032,,,,,0.0194
2025-09-25,86802810575.66,0.9161,,,,,43.1338,,,,,21.3302,,,,,0.8985,,,,,0.4845,,,,,0.0202
2025-09-24,87165244022.74,0.9199,,,,,43.3139,,,,,21.4192,,,,,0.9023,,,,,0.4865,,,,,0.0201
2025-09-23,85081251702.03,0.8979,,,,,42.2783,,,,,20.9071,,,,,0.8807,,,,,0.4749,,,,,0.0206
2025-09-22,86077943681.5,0.9084,,,,,42.7736,,,,,21.1520,,,,,0.8910,,,,,0.4805,,,,,0.0203
2025-09-19,86440377128.58,0.9123,,,,,42.9537,,,,,21.2411,,,,,0.8948,,,,,0.4825,,,,,0.0202
2025-09-18,83631517913.71,0.8826,,,,,41.5579,,,,,20.5509,,,,,0.8657,,,,,0.4668,,,,,0.0209
2025-09-17,87165244022.74,0.9199,,,,,43.3139,,,,,21.4192,,,,,0.9023,,,,,0.4865,,,,,0.0201
2025-09-16,87618285831.59,0.9247,,,,,43.5390,,,,,21.5306,,,,,0.9070,,,,,0.4891,,,,,0.0200
2025-09-15,87890110916.9,0.9276,,,,,43.6740,,,,,21.5973,,,,,0.9098,,,,,0.4906,,,,,0.0199
2025-09-12,85715510234.42,0.9046,,,,,42.5935,,,,,21.0630,,,,,0.8873,,,,,0.4784,,,,,0.0204
2025-09-11,85624901872.65,0.9037,,,,,42.5484,,,,,21.0407,,,,,0.8863,,,,,0.4779,,,,,0.0204
2025-09-10,86349768766.81,0.9113,,,,,42.9086,,,,,21.2188,,,,,0.8938,,,,,0.4820,,,,,0.0203
2025-09-09,86712202213.89,0.9151,,,,,43.0887,,,,,21.3079,,,,,0.8976,,,,,0.4840,,,,,0.0202
2025-09-08,84356384807.87,0.8903,,,,,41.9181,,,,,20.7290,,,,,0.8732,,,,,0.4708,,,,,0.0207
2025-09-05,82363000848.93,0.8692,,,,,40.9275,,,,,20.2392,,,,,0.8526,,,,,0.4597,,,,,0.0212
2025-09-04,82091175763.62,0.8664,,,,,40.7925,,,,,20.1724,,,,,0.8497,,,,,0.4582,,,,,0.0213
2025-09-03,81819350678.31,0.8635,,,,,40.6574,,,,,20.1056,,,,,0.8469,,,,,0.4567,,,,,0.0214
2025-09-02,83722126275.48,0.8836,,,,,41.6029,,,,,20.5731,,,,,0.8666,,,,,0.4673,,,,,0.0209
2025-09-01,84718818254.95,0.8941,,,,,42.0982,,,,,20.8181,,,,,0.8769,,,,,0.4729,,,,,0.0207
2025-08-29,82906651019.55,0.8750,,,,,41.1977,,,,,20.3728,,,,,0.8582,,,,,0.4628,,,,,0.0211
2025-08-28,82091175763.62,0.8571,,,,,32.2707,,,,,19.7732,,,,,0.8408,,,,,0.4674,,,,,0.0213
2025-08-27,81728742316.54,0.8533,,,,,32.1283,,,,,19.6859,,,,,0.8371,,,,,0.4653,,,,,0.0214
2025-08-26,84628209893.18,0.8835,,,,,33.2681,,,,,20.3843,,,,,0.8668,,,,,0.4818,,,,,0.0207
2025-08-25,85262468425.57,0.8902,,,,,33.5174,,,,,20.5371,,,,,0.8733,,,,,0.4854,,,,,0.0205
2025-08-22,83087867743.09,0.8675,,,,,32.6625,,,,,20.0133,,,,,0.8510,,,,,0.4730,,,,,0.0211
