date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-05-27,117331000940.16,8.5862,,,,,0.0387,9.5154,,,,,0.8097,,,,,2.9059,,,,,0.8076,,,,
2026-05-26,118262199360.32,8.6543,,,,,0.0384,9.5909,,,,,0.8161,,,,,2.9290,,,,,0.8141,,,,
2026-05-25,118262199360.32,8.6543,,,,,0.0384,9.5909,,,,,0.8161,,,,,2.9290,,,,,0.8141,,,,
2026-05-22,118960598175.44,8.7055,,,,,0.0382,9.6475,,,,,0.8209,,,,,2.9463,,,,,0.8189,,,,
2026-05-21,118494998965.36,8.6714,,,,,0.0383,9.6098,,,,,0.8177,,,,,2.9347,,,,,0.8157,,,,
2026-05-20,118960598175.44,8.7055,,,,,0.0382,9.6475,,,,,0.8209,,,,,2.9463,,,,,0.8189,,,,
2026-05-19,119891796595.6,8.7736,,,,,0.0379,9.7230,,,,,0.8273,,,,,2.9693,,,,,0.8253,,,,
2026-05-18,117796600150.24,8.6203,,,,,0.0385,9.5531,,,,,0.8129,,,,,2.9174,,,,,0.8108,,,,
2026-05-15,118727798570.4,8.6884,,,,,0.0382,9.6286,,,,,0.8193,,,,,2.9405,,,,,0.8173,,,,
2026-05-14,118960598175.44,8.7055,,,,,0.0382,9.6475,,,,,0.8209,,,,,2.9463,,,,,0.8189,,,,
2026-05-13,119193397780.48,8.7225,,,,,0.0381,9.6664,,,,,0.8225,,,,,2.9520,,,,,0.8205,,,,
2026-05-12,119658996990.56,8.7566,,,,,0.0379,9.7042,,,,,0.8257,,,,,2.9635,,,,,0.8237,,,,
2026-05-11,118960598175.44,8.7055,,,,,0.0382,9.6475,,,,,0.8209,,,,,2.9463,,,,,0.8189,,,,
2026-05-08,118960598175.44,8.7055,,,,,0.0382,9.6475,,,,,0.8209,,,,,2.9463,,,,,0.8189,,,,
2026-05-07,117796600150.24,8.6203,,,,,0.0385,9.5531,,,,,0.8129,,,,,2.9174,,,,,0.8108,,,,
2026-05-06,117796600150.24,8.6203,,,,,0.0385,9.5531,,,,,0.8129,,,,,2.9174,,,,,0.8108,,,,
2026-04-30,116399802520.0,8.5181,,,,,0.0390,9.4398,,,,,0.8032,,,,,2.8828,,,,,0.8012,,,,
2026-04-29,114770205284.72,8.4610,,,,,0.0396,9.4066,,,,,0.8164,,,,,2.8974,,,,,0.8143,,,,
2026-04-28,114071806469.6,8.4095,,,,,0.0398,9.3494,,,,,0.8114,,,,,2.8798,,,,,0.8094,,,,
2026-04-27,113373407654.48,8.3580,,,,,0.0400,9.2921,,,,,0.8065,,,,,2.8621,,,,,0.8044,,,,
2026-04-24,114071806469.6,8.4095,,,,,0.0398,9.3494,,,,,0.8114,,,,,2.8798,,,,,0.8094,,,,
2026-04-23,114537405679.68,8.4439,,,,,0.0396,9.3875,,,,,0.8148,,,,,2.8915,,,,,0.8127,,,,
2026-04-22,114071806469.6,8.4095,,,,,0.0398,9.3494,,,,,0.8114,,,,,2.8798,,,,,0.8094,,,,
2026-04-21,114770205284.72,8.4610,,,,,0.0396,9.4066,,,,,0.8164,,,,,2.8974,,,,,0.8143,,,,
2026-04-20,113839006864.56,8.3924,,,,,0.0399,9.3303,,,,,0.8098,,,,,2.8739,,,,,0.8077,,,,
2026-04-17,114770205284.72,8.4610,,,,,0.0396,9.4066,,,,,0.8164,,,,,2.8974,,,,,0.8143,,,,
2026-04-16,115934203309.92,8.5468,,,,,0.0392,9.5020,,,,,0.8247,,,,,2.9268,,,,,0.8226,,,,
2026-04-15,116167002914.96,8.5640,,,,,0.0391,9.5211,,,,,0.8263,,,,,2.9327,,,,,0.8242,,,,
2026-04-14,116399802520.0,8.5812,,,,,0.0390,9.5402,,,,,0.8280,,,,,2.9385,,,,,0.8259,,,,
2026-04-13,116167002914.96,8.5640,,,,,0.0391,9.5211,,,,,0.8263,,,,,2.9327,,,,,0.8242,,,,
2026-04-10,116399802520.0,8.5812,,,,,0.0390,9.5402,,,,,0.8280,,,,,2.9385,,,,,0.8259,,,,
2026-04-09,116632602125.04,8.5983,,,,,0.0389,9.5593,,,,,0.8297,,,,,2.9444,,,,,0.8275,,,,
2026-04-08,117796600150.24,8.6841,,,,,0.0385,9.6547,,,,,0.8379,,,,,2.9738,,,,,0.8358,,,,
2026-04-07,116167002914.96,8.5640,,,,,0.0391,9.5211,,,,,0.8263,,,,,2.9327,,,,,0.8242,,,,
2026-04-03,116865401730.08,8.6155,,,,,0.0388,9.5783,,,,,0.8313,,,,,2.9503,,,,,0.8292,,,,
2026-04-02,118262199360.32,8.7185,,,,,0.0384,9.6928,,,,,0.8413,,,,,2.9856,,,,,0.8391,,,,
2026-04-01,117331000940.16,8.6498,,,,,0.0387,9.6165,,,,,0.8346,,,,,2.9620,,,,,0.8325,,,,
2026-03-31,118494998965.36,8.2195,,,,,0.0383,8.9702,,,,,0.8555,,,,,3.0353,,,,,0.8533,,,,
2026-03-30,118494998965.36,8.2195,,,,,0.0383,8.9702,,,,,0.8555,,,,,3.0353,,,,,0.8533,,,,
2026-03-27,117796600150.24,8.1711,,,,,0.0385,8.9173,,,,,0.8505,,,,,3.0174,,,,,0.8483,,,,
2026-03-26,119193397780.48,8.2680,,,,,0.0381,9.0231,,,,,0.8606,,,,,3.0531,,,,,0.8583,,,,
2026-03-25,119891796595.6,8.3164,,,,,0.0379,9.0759,,,,,0.8656,,,,,3.0710,,,,,0.8634,,,,
2026-03-24,118262199360.32,8.2034,,,,,0.0384,8.9526,,,,,0.8539,,,,,3.0293,,,,,0.8516,,,,
2026-03-23,115235804494.8,7.9934,,,,,0.0394,8.7235,,,,,0.8320,,,,,2.9518,,,,,0.8298,,,,
2026-03-20,118960598175.44,8.2518,,,,,0.0382,9.0054,,,,,0.8589,,,,,3.0472,,,,,0.8567,,,,
2026-03-19,120124596200.64,8.3326,,,,,0.0378,9.0936,,,,,0.8673,,,,,3.0770,,,,,0.8651,,,,
2026-03-18,120357395805.68,8.3487,,,,,0.0377,9.1112,,,,,0.8690,,,,,3.0830,,,,,0.8667,,,,
2026-03-17,120822995015.76,8.3810,,,,,0.0376,9.1464,,,,,0.8724,,,,,3.0949,,,,,0.8701,,,,
2026-03-16,121055794620.8,8.3971,,,,,0.0375,9.1641,,,,,0.8740,,,,,3.1008,,,,,0.8718,,,,
2026-03-13,120590195410.72,8.3649,,,,,0.0376,9.1288,,,,,0.8707,,,,,3.0889,,,,,0.8684,,,,
2026-03-12,121288594225.84,8.4133,,,,,0.0374,9.1817,,,,,0.8757,,,,,3.1068,,,,,0.8734,,,,
2026-03-11,119891796595.6,8.3164,,,,,0.0379,9.0759,,,,,0.8656,,,,,3.0710,,,,,0.8634,,,,
2026-03-10,118960598175.44,8.2518,,,,,0.0382,9.0054,,,,,0.8589,,,,,3.0472,,,,,0.8567,,,,
2026-03-09,118494998965.36,8.2195,,,,,0.0383,8.9702,,,,,0.8555,,,,,3.0353,,,,,0.8533,,,,
2026-03-06,119426197385.52,8.2841,,,,,0.0380,9.0407,,,,,0.8623,,,,,3.0591,,,,,0.8600,,,,
2026-03-05,118494998965.36,8.2195,,,,,0.0383,8.9702,,,,,0.8555,,,,,3.0353,,,,,0.8533,,,,
2026-03-04,117563800545.2,8.1549,,,,,0.0386,8.8997,,,,,0.8488,,,,,3.0114,,,,,0.8466,,,,
2026-03-03,120822995015.76,8.3810,,,,,0.0376,9.1464,,,,,0.8724,,,,,3.0949,,,,,0.8701,,,,
2026-03-02,119426197385.52,8.2841,,,,,0.0380,9.0407,,,,,0.8623,,,,,3.0591,,,,,0.8600,,,,
2026-02-27,118494998965.36,8.2195,,,,,0.0383,8.9702,,,,,0.8555,,,,,3.0353,,,,,0.8533,,,,
2026-02-26,118029399755.28,8.1872,,,,,0.0385,8.9350,,,,,0.8522,,,,,3.0233,,,,,0.8500,,,,
2026-02-25,117796600150.24,8.1711,,,,,0.0385,8.9173,,,,,0.8505,,,,,3.0174,,,,,0.8483,,,,
2026-02-24,118262199360.32,8.2034,,,,,0.0384,8.9526,,,,,0.8539,,,,,3.0293,,,,,0.8516,,,,
2026-02-13,116632602125.04,8.0903,,,,,0.0389,8.8292,,,,,0.8421,,,,,2.9875,,,,,0.8399,,,,
2026-02-12,117563800545.2,8.1549,,,,,0.0386,8.8997,,,,,0.8488,,,,,3.0114,,,,,0.8466,,,,
2026-02-11,118494998965.36,8.2195,,,,,0.0383,8.9702,,,,,0.8555,,,,,3.0353,,,,,0.8533,,,,
2026-02-10,118029399755.28,8.1872,,,,,0.0385,8.9350,,,,,0.8522,,,,,3.0233,,,,,0.8500,,,,
2026-02-09,117563800545.2,8.1549,,,,,0.0386,8.8997,,,,,0.8488,,,,,3.0114,,,,,0.8466,,,,
2026-02-06,117331000940.16,8.1388,,,,,0.0387,8.8821,,,,,0.8471,,,,,3.0054,,,,,0.8449,,,,
2026-02-05,117563800545.2,8.1549,,,,,0.0386,8.8997,,,,,0.8488,,,,,3.0114,,,,,0.8466,,,,
2026-02-04,117796600150.24,8.1711,,,,,0.0385,8.9173,,,,,0.8505,,,,,3.0174,,,,,0.8483,,,,
2026-02-03,115468604099.84,8.0096,,,,,0.0393,8.7411,,,,,0.8337,,,,,2.9577,,,,,0.8315,,,,
2026-02-02,115003004889.76,7.9773,,,,,0.0395,8.7059,,,,,0.8303,,,,,2.9458,,,,,0.8282,,,,
2026-01-30,116167002914.96,8.0580,,,,,0.0391,8.7940,,,,,0.8387,,,,,2.9756,,,,,0.8366,,,,
2026-01-29,115934203309.92,8.0419,,,,,0.0392,8.7763,,,,,0.8371,,,,,2.9697,,,,,0.8349,,,,
2026-01-28,115235804494.8,7.9934,,,,,0.0394,8.7235,,,,,0.8320,,,,,2.9518,,,,,0.8298,,,,
2026-01-27,116632602125.04,8.0903,,,,,0.0389,8.8292,,,,,0.8421,,,,,2.9875,,,,,0.8399,,,,
2026-01-26,116632602125.04,8.0903,,,,,0.0389,8.8292,,,,,0.8421,,,,,2.9875,,,,,0.8399,,,,
2026-01-23,118029399755.28,8.1872,,,,,0.0385,8.9350,,,,,0.8522,,,,,3.0233,,,,,0.8500,,,,
2026-01-22,119426197385.52,8.2841,,,,,0.0380,9.0407,,,,,0.8623,,,,,3.0591,,,,,0.8600,,,,
2026-01-21,120822995015.76,8.3810,,,,,0.0376,9.1464,,,,,0.8724,,,,,3.0949,,,,,0.8701,,,,
2026-01-20,122219792646.0,8.4779,,,,,0.0371,9.2522,,,,,0.8824,,,,,3.1307,,,,,0.8801,,,,
2026-01-19,120822995015.76,8.3810,,,,,0.0376,9.1464,,,,,0.8724,,,,,3.0949,,,,,0.8701,,,,
2026-01-16,119891796595.6,8.3164,,,,,0.0379,9.0759,,,,,0.8656,,,,,3.0710,,,,,0.8634,,,,
2026-01-15,121986993040.96,8.4617,,,,,0.0372,9.2345,,,,,0.8808,,,,,3.1247,,,,,0.8785,,,,
2026-01-14,122685391856.08,8.5102,,,,,0.0370,9.2874,,,,,0.8858,,,,,3.1426,,,,,0.8835,,,,
2026-01-13,126642985141.76,8.7847,,,,,0.0358,9.5870,,,,,0.9144,,,,,3.2440,,,,,0.9120,,,,
2026-01-12,128039782772.0,8.8816,,,,,0.0355,9.6927,,,,,0.9168,,,,,3.2797,,,,,0.9144,,,,
2026-01-09,127341383956.88,8.8332,,,,,0.0357,9.6399,,,,,0.9118,,,,,3.2619,,,,,0.9094,,,,
2026-01-08,127108584351.84,8.8170,,,,,0.0357,9.6223,,,,,0.9101,,,,,3.2559,,,,,0.9077,,,,
2026-01-07,126875784746.8,8.8009,,,,,0.0358,9.6046,,,,,0.9084,,,,,3.2499,,,,,0.9061,,,,
2026-01-06,127574183561.92,8.8493,,,,,0.0356,9.6575,,,,,0.9134,,,,,3.2678,,,,,0.9111,,,,
2026-01-05,126410185536.72,8.7686,,,,,0.0359,9.5694,,,,,0.9051,,,,,3.2380,,,,,0.9027,,,,
2025-12-31,126177385931.68,8.7524,,,,,0.0360,9.5518,,,,,0.9034,,,,,3.2320,,,,,0.9011,,,,
2025-12-30,125711786721.6,8.7201,,,,,0.0361,9.5165,,,,,0.9001,,,,,3.2201,,,,,0.8978,,,,
2025-12-29,127574183561.92,8.8493,,,,,0.0356,9.6575,,,,,0.9134,,,,,3.2678,,,,,0.9111,,,,
2025-12-26,128505381982.08,8.9139,,,,,0.0353,9.7280,,,,,0.9201,,,,,3.2917,,,,,0.9177,,,,
2025-12-25,129203780797.2,8.9623,,,,,0.0351,9.7809,,,,,0.9251,,,,,3.3096,,,,,0.9227,,,,
2025-12-24,128970981192.16,8.9462,,,,,0.0352,9.7632,,,,,0.9234,,,,,3.3036,,,,,0.9210,,,,
2025-12-23,129677204509.34,8.9952,,,,,0.0350,9.8167,,,,,0.9285,,,,,3.3217,,,,,0.9261,,,,
2025-12-22,129677204509.34,8.9952,,,,,0.0350,9.8167,,,,,0.9285,,,,,3.3217,,,,,0.9261,,,,
2025-12-19,129677204509.34,8.9952,,,,,0.0350,9.8167,,,,,0.9285,,,,,3.3217,,,,,0.9261,,,,
2025-12-18,129910018161.96,9.0113,,,,,0.0349,9.8343,,,,,0.9301,,,,,3.3276,,,,,0.9277,,,,
2025-12-17,128280322593.62,8.8983,,,,,0.0354,9.7110,,,,,0.9185,,,,,3.2859,,,,,0.9161,,,,
2025-12-16,128280322593.62,8.8983,,,,,0.0354,9.7110,,,,,0.9185,,,,,3.2859,,,,,0.9161,,,,
2025-12-15,128978763551.48,8.9467,,,,,0.0352,9.7638,,,,,0.9235,,,,,3.3038,,,,,0.9211,,,,
2025-12-12,128280322593.62,8.8983,,,,,0.0354,9.7110,,,,,0.9185,,,,,3.2859,,,,,0.9161,,,,
2025-12-11,129211577204.1,8.9629,,,,,0.0351,9.7815,,,,,0.9251,,,,,3.3098,,,,,0.9228,,,,
2025-12-10,129677204509.34,8.9952,,,,,0.0350,9.8167,,,,,0.9285,,,,,3.3217,,,,,0.9261,,,,
2025-12-09,129444390856.72,8.9790,,,,,0.0351,9.7991,,,,,0.9268,,,,,3.3157,,,,,0.9244,,,,
2025-12-08,130608459119.82,9.0598,,,,,0.0348,9.8872,,,,,0.9352,,,,,3.3455,,,,,0.9327,,,,
2025-12-05,131539713730.3,9.1244,,,,,0.0345,9.9577,,,,,0.9418,,,,,3.3694,,,,,0.9394,,,,
2025-12-04,132470968340.78,9.1890,,,,,0.0343,10.0282,,,,,0.9485,,,,,3.3932,,,,,0.9460,,,,
2025-12-03,131539713730.3,9.1244,,,,,0.0345,9.9577,,,,,0.9418,,,,,3.3694,,,,,0.9394,,,,
2025-12-02,129910018161.96,9.0113,,,,,0.0349,9.8343,,,,,0.9301,,,,,3.3276,,,,,0.9277,,,,
2025-12-01,128978763551.48,8.9467,,,,,0.0352,9.7638,,,,,0.9235,,,,,3.3038,,,,,0.9211,,,,
2025-11-28,127349067983.14,8.8337,,,,,0.0356,9.6405,,,,,0.9118,,,,,3.2621,,,,,0.9095,,,,
2025-11-27,127349067983.14,8.8337,,,,,0.0356,9.6405,,,,,0.9118,,,,,3.2621,,,,,0.9095,,,,
2025-11-26,127349067983.14,8.8337,,,,,0.0356,9.6405,,,,,0.9118,,,,,3.2621,,,,,0.9095,,,,
2025-11-25,127581881635.76,8.8498,,,,,0.0356,9.6581,,,,,0.9135,,,,,3.2680,,,,,0.9111,,,,
2025-11-24,128047508941.0,8.8821,,,,,0.0355,9.6933,,,,,0.9168,,,,,3.2799,,,,,0.9144,,,,
2025-11-21,128513136246.24,8.9144,,,,,0.0353,9.7286,,,,,0.9201,,,,,3.2919,,,,,0.9178,,,,
2025-11-20,130375645467.2,9.0436,,,,,0.0348,9.8696,,,,,0.9335,,,,,3.3396,,,,,0.9311,,,,
2025-11-19,129910018161.96,9.0113,,,,,0.0349,9.8343,,,,,0.9301,,,,,3.3276,,,,,0.9277,,,,
2025-11-18,130142831814.58,9.0275,,,,,0.0349,9.8520,,,,,0.9318,,,,,3.3336,,,,,0.9294,,,,
2025-11-17,131306900077.68,9.1082,,,,,0.0346,9.9401,,,,,0.9402,,,,,3.3634,,,,,0.9377,,,,
2025-11-14,132470968340.78,9.1890,,,,,0.0343,10.0282,,,,,0.9485,,,,,3.3932,,,,,0.9460,,,,
2025-11-13,132005341035.54,9.1567,,,,,0.0344,9.9929,,,,,0.9452,,,,,3.3813,,,,,0.9427,,,,
2025-11-12,132703781993.4,9.2051,,,,,0.0342,10.0458,,,,,0.9502,,,,,3.3992,,,,,0.9477,,,,
2025-11-11,132470968340.78,9.1890,,,,,0.0343,10.0282,,,,,0.9485,,,,,3.3932,,,,,0.9460,,,,
2025-11-10,133169409298.64,9.2374,,,,,0.0341,10.0811,,,,,0.9535,,,,,3.4111,,,,,0.9510,,,,
2025-11-07,130841272772.44,9.0759,,,,,0.0347,9.9048,,,,,0.9368,,,,,3.3515,,,,,0.9344,,,,
2025-11-06,130608459119.82,9.0598,,,,,0.0348,9.8872,,,,,0.9352,,,,,3.3455,,,,,0.9327,,,,
2025-11-05,130375645467.2,9.0436,,,,,0.0348,9.8696,,,,,0.9335,,,,,3.3396,,,,,0.9311,,,,
2025-11-04,130142831814.58,9.0275,,,,,0.0349,9.8520,,,,,0.9318,,,,,3.3336,,,,,0.9294,,,,
2025-11-03,130375645467.2,9.0436,,,,,0.0348,9.8696,,,,,0.9335,,,,,3.3396,,,,,0.9311,,,,
2025-10-31,129910018161.96,9.0113,,,,,0.0349,9.8343,,,,,0.9301,,,,,3.3276,,,,,0.9277,,,,
2025-10-30,132005341035.54,9.0549,,,,,0.0344,9.8304,,,,,0.9689,,,,,3.4877,,,,,0.9663,,,,
2025-10-29,131539713730.3,9.0230,,,,,0.0345,9.7957,,,,,0.9655,,,,,3.4754,,,,,0.9629,,,,
2025-10-28,132005341035.54,9.0549,,,,,0.0344,9.8304,,,,,0.9689,,,,,3.4877,,,,,0.9663,,,,
2025-10-27,132005341035.54,9.0549,,,,,0.0344,9.8304,,,,,0.9689,,,,,3.4877,,,,,0.9663,,,,
2025-10-24,130841272772.44,8.9751,,,,,0.0347,9.7437,,,,,0.9603,,,,,3.4570,,,,,0.9578,,,,
2025-10-23,132005341035.54,9.0549,,,,,0.0344,9.8304,,,,,0.9689,,,,,3.4877,,,,,0.9663,,,,
2025-10-22,130375645467.2,8.9431,,,,,0.0348,9.7090,,,,,0.9569,,,,,3.4447,,,,,0.9544,,,,
2025-10-21,129677204509.34,8.8952,,,,,0.0350,9.6570,,,,,0.9518,,,,,3.4262,,,,,0.9493,,,,
2025-10-20,129211577204.1,8.8633,,,,,0.0351,9.6223,,,,,0.9484,,,,,3.4139,,,,,0.9459,,,,
2025-10-17,129677204509.34,8.8952,,,,,0.0350,9.6570,,,,,0.9518,,,,,3.4262,,,,,0.9493,,,,
2025-10-16,130142831814.58,8.9272,,,,,0.0349,9.6917,,,,,0.9552,,,,,3.4385,,,,,0.9527,,,,
2025-10-15,129677204509.34,8.8952,,,,,0.0350,9.6570,,,,,0.9518,,,,,3.4262,,,,,0.9493,,,,
2025-10-14,129910018161.96,8.9112,,,,,0.0349,9.6743,,,,,0.9535,,,,,3.4324,,,,,0.9510,,,,
2025-10-13,128513136246.24,8.8154,,,,,0.0353,9.5703,,,,,0.9432,,,,,3.3955,,,,,0.9407,,,,
2025-10-10,129211577204.1,8.8633,,,,,0.0351,9.6223,,,,,0.9484,,,,,3.4139,,,,,0.9459,,,,
2025-10-09,128745949898.86,8.8313,,,,,0.0353,9.5877,,,,,0.9450,,,,,3.4016,,,,,0.9424,,,,
2025-09-30,126883440677.9,8.7036,,,,,0.0358,9.4490,,,,,0.9313,,,,,3.3524,,,,,0.9288,,,,
2025-09-29,127349067983.14,8.7355,,,,,0.0356,9.4836,,,,,0.9347,,,,,3.3647,,,,,0.9322,,,,
2025-09-26,127581881635.76,8.7515,,,,,0.0356,9.5010,,,,,0.9364,,,,,3.3708,,,,,0.9339,,,,
2025-09-25,128280322593.62,8.7994,,,,,0.0354,9.5530,,,,,0.9415,,,,,3.3893,,,,,0.9390,,,,
2025-09-24,128978763551.48,8.8473,,,,,0.0352,9.6050,,,,,0.9467,,,,,3.4078,,,,,0.9442,,,,
2025-09-23,129444390856.72,8.8793,,,,,0.0351,9.6397,,,,,0.9501,,,,,3.4201,,,,,0.9476,,,,
2025-09-22,128745949898.86,8.8313,,,,,0.0353,9.5877,,,,,0.9450,,,,,3.4016,,,,,0.9424,,,,
2025-09-19,129444390856.72,8.8793,,,,,0.0351,9.6397,,,,,0.9501,,,,,3.4201,,,,,0.9476,,,,
2025-09-18,129444390856.72,8.8793,,,,,0.0351,9.6397,,,,,0.9501,,,,,3.4201,,,,,0.9476,,,,
2025-09-17,132005341035.54,9.0549,,,,,0.0344,9.8304,,,,,0.9689,,,,,3.4877,,,,,0.9663,,,,
2025-09-16,130608459119.82,8.9591,,,,,0.0348,9.7264,,,,,0.9586,,,,,3.4508,,,,,0.9561,,,,
2025-09-15,130142831814.58,8.9272,,,,,0.0349,9.6917,,,,,0.9552,,,,,3.4385,,,,,0.9527,,,,
2025-09-12,129910018161.96,8.9112,,,,,0.0349,9.6743,,,,,0.9535,,,,,3.4324,,,,,0.9510,,,,
2025-09-11,130142831814.58,8.9272,,,,,0.0349,9.6917,,,,,0.9552,,,,,3.4385,,,,,0.9527,,,,
2025-09-10,129444390856.72,8.8793,,,,,0.0351,9.6397,,,,,0.9501,,,,,3.4201,,,,,0.9476,,,,
2025-09-09,129677204509.34,8.8952,,,,,0.0350,9.6570,,,,,0.9518,,,,,3.4262,,,,,0.9493,,,,
2025-09-08,130142831814.58,8.9272,,,,,0.0349,9.6917,,,,,0.9552,,,,,3.4385,,,,,0.9527,,,,
2025-09-05,128745949898.86,8.8313,,,,,0.0353,9.5877,,,,,0.9450,,,,,3.4016,,,,,0.9424,,,,
2025-09-04,129444390856.72,8.8793,,,,,0.0351,9.6397,,,,,0.9501,,,,,3.4201,,,,,0.9476,,,,
2025-09-03,129444390856.72,8.8793,,,,,0.0351,9.6397,,,,,0.9501,,,,,3.4201,,,,,0.9476,,,,
2025-09-02,130608459119.82,8.9591,,,,,0.0348,9.7264,,,,,0.9586,,,,,3.4508,,,,,0.9561,,,,
2025-09-01,130142831814.58,8.9272,,,,,0.0349,9.6917,,,,,0.9552,,,,,3.4385,,,,,0.9527,,,,
2025-08-29,131306900077.68,9.0070,,,,,0.0346,9.7784,,,,,0.9638,,,,,3.4693,,,,,0.9612,,,,
2025-08-28,133867850256.5,8.8272,,,,,0.0339,9.7138,,,,,1.0008,,,,,3.4605,,,,,0.9981,,,,
2025-08-27,134100663909.12,8.8426,,,,,0.0339,9.7307,,,,,1.0025,,,,,3.4665,,,,,0.9998,,,,
2025-08-26,136661614087.94,9.0114,,,,,0.0332,9.9165,,,,,1.0217,,,,,3.5327,,,,,1.0189,,,,
2025-08-25,136661614087.94,9.0114,,,,,0.0332,9.9165,,,,,1.0217,,,,,3.5327,,,,,1.0189,,,,
2025-08-22,134799104866.98,8.8886,,,,,0.0337,9.7814,,,,,1.0077,,,,,3.4846,,,,,1.0050,,,,
2025-08-21,135264732172.22,8.9193,,,,,0.0336,9.8152,,,,,1.0112,,,,,3.4966,,,,,1.0085,,,,
