date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-04-29,202469913175.6,6.5592,,,,,5.3370,,,,,0.4101,,,,,0.4081,,,,,0.0993,,,,,0.0555
2026-04-28,199577485844.52,6.2496,,,,,5.1083,,,,,0.4156,,,,,0.4136,,,,,0.0959,,,,,0.0563
2026-04-27,198751078035.64,6.2237,,,,,5.0872,,,,,0.4139,,,,,0.4119,,,,,0.0955,,,,,0.0565
2026-04-24,199990689748.96,6.2625,,,,,5.1189,,,,,0.4165,,,,,0.4144,,,,,0.0961,,,,,0.0562
2026-04-23,200403893653.4,6.2755,,,,,5.1295,,,,,0.4173,,,,,0.4153,,,,,0.0962,,,,,0.0560
2026-04-22,200403893653.4,6.2755,,,,,5.1295,,,,,0.4173,,,,,0.4153,,,,,0.0962,,,,,0.0560
2026-04-21,200403893653.4,6.2755,,,,,5.1295,,,,,0.4173,,,,,0.4153,,,,,0.0962,,,,,0.0560
2026-04-20,201643505366.72,6.3143,,,,,5.1612,,,,,0.4199,,,,,0.4179,,,,,0.0968,,,,,0.0557
2026-04-17,204122728793.36,5.1338,,,,,4.5699,,,,,0.4254,,,,,0.4233,,,,,0.0963,,,,,0.0550
2026-04-16,205775544411.12,5.1754,,,,,4.6069,,,,,0.4289,,,,,0.4267,,,,,0.0971,,,,,0.0545
2026-04-15,205775544411.12,5.1754,,,,,4.6069,,,,,0.4289,,,,,0.4267,,,,,0.0971,,,,,0.0545
2026-04-14,205362340506.68,5.1650,,,,,4.5977,,,,,0.4280,,,,,0.4259,,,,,0.0969,,,,,0.0546
2026-04-13,203296320984.48,5.1130,,,,,4.5514,,,,,0.4237,,,,,0.4216,,,,,0.0959,,,,,0.0552
2026-04-10,205362340506.68,5.1650,,,,,4.5977,,,,,0.4280,,,,,0.4259,,,,,0.0969,,,,,0.0546
2026-04-09,204949136602.24,5.1546,,,,,4.5884,,,,,0.4271,,,,,0.4250,,,,,0.0967,,,,,0.0547
2026-04-08,207841563933.32,5.2273,,,,,4.6532,,,,,0.4332,,,,,0.4310,,,,,0.0981,,,,,0.0540
2026-04-07,205362340506.68,5.1650,,,,,4.5977,,,,,0.4280,,,,,0.4259,,,,,0.0969,,,,,0.0546
2026-04-03,206601952220.0,5.1961,,,,,4.6254,,,,,0.4306,,,,,0.4285,,,,,0.0975,,,,,0.0543
2026-04-02,207841563933.32,5.2273,,,,,4.6532,,,,,0.4332,,,,,0.4310,,,,,0.0981,,,,,0.0540
2026-04-01,207428360028.88,5.2169,,,,,4.6439,,,,,0.4323,,,,,0.4302,,,,,0.0979,,,,,0.0541
2026-03-31,207015156124.44,5.2065,,,,,4.6347,,,,,0.4315,,,,,0.4293,,,,,0.0977,,,,,0.0542
2026-03-30,205362340506.68,5.1650,,,,,4.5977,,,,,0.4280,,,,,0.4259,,,,,0.0969,,,,,0.0546
2026-03-27,203709524888.92,5.1234,,,,,4.5607,,,,,0.4246,,,,,0.4225,,,,,0.0961,,,,,0.0551
2026-03-26,203709524888.92,5.1234,,,,,4.5607,,,,,0.4246,,,,,0.4225,,,,,0.0961,,,,,0.0551
2026-03-25,205362340506.68,5.1650,,,,,4.5977,,,,,0.4280,,,,,0.4259,,,,,0.0969,,,,,0.0546
2026-03-24,201643505366.72,5.0714,,,,,4.5144,,,,,0.4203,,,,,0.4182,,,,,0.0952,,,,,0.0556
2026-03-23,199990689748.96,5.0299,,,,,4.4774,,,,,0.4168,,,,,0.4147,,,,,0.0944,,,,,0.0561
2026-03-20,205775544411.12,5.1754,,,,,4.6069,,,,,0.4289,,,,,0.4267,,,,,0.0971,,,,,0.0545
2026-03-19,207841563933.32,5.2273,,,,,4.6532,,,,,0.4332,,,,,0.4310,,,,,0.0981,,,,,0.0540
2026-03-18,209081175646.64,5.2585,,,,,4.6809,,,,,0.4358,,,,,0.4336,,,,,0.0987,,,,,0.0537
2026-03-17,211147195168.84,5.3105,,,,,4.7272,,,,,0.4401,,,,,0.4379,,,,,0.0997,,,,,0.0531
2026-03-16,210320787359.96,5.2897,,,,,4.7087,,,,,0.4383,,,,,0.4362,,,,,0.0993,,,,,0.0533
2026-03-13,212800010786.6,5.3520,,,,,4.7642,,,,,0.4435,,,,,0.4413,,,,,0.1004,,,,,0.0527
2026-03-12,212386806882.16,5.3416,,,,,4.7550,,,,,0.4426,,,,,0.4405,,,,,0.1002,,,,,0.0528
2026-03-11,211973602977.72,5.3312,,,,,4.7457,,,,,0.4418,,,,,0.4396,,,,,0.1000,,,,,0.0529
2026-03-10,207841563933.32,5.2273,,,,,4.6532,,,,,0.4332,,,,,0.4310,,,,,0.0981,,,,,0.0540
2026-03-09,207015156124.44,5.2065,,,,,4.6347,,,,,0.4315,,,,,0.4293,,,,,0.0977,,,,,0.0542
2026-03-06,208667971742.2,5.2481,,,,,4.6717,,,,,0.4349,,,,,0.4327,,,,,0.0985,,,,,0.0538
2026-03-05,206601952220.0,5.1961,,,,,4.6254,,,,,0.4306,,,,,0.4285,,,,,0.0975,,,,,0.0543
2026-03-04,205362340506.68,5.1650,,,,,4.5977,,,,,0.4280,,,,,0.4259,,,,,0.0969,,,,,0.0546
2026-03-03,208254767837.76,5.2377,,,,,4.6624,,,,,0.4340,,,,,0.4319,,,,,0.0983,,,,,0.0539
2026-03-02,208254767837.76,5.2377,,,,,4.6624,,,,,0.4340,,,,,0.4319,,,,,0.0983,,,,,0.0539
2026-02-27,208254767837.76,5.2377,,,,,4.6624,,,,,0.4340,,,,,0.4319,,,,,0.0983,,,,,0.0539
2026-02-26,207841563933.32,5.2273,,,,,4.6532,,,,,0.4332,,,,,0.4310,,,,,0.0981,,,,,0.0540
2026-02-25,207841563933.32,5.2273,,,,,4.6532,,,,,0.4332,,,,,0.4310,,,,,0.0981,,,,,0.0540
2026-02-24,208667971742.2,5.2481,,,,,4.6717,,,,,0.4349,,,,,0.4327,,,,,0.0985,,,,,0.0538
2026-02-13,206601952220.0,5.1961,,,,,4.6254,,,,,0.4306,,,,,0.4285,,,,,0.0975,,,,,0.0543
2026-02-12,208254767837.76,5.2377,,,,,4.6624,,,,,0.4340,,,,,0.4319,,,,,0.0983,,,,,0.0539
2026-02-11,209907583455.52,5.2793,,,,,4.6994,,,,,0.4375,,,,,0.4353,,,,,0.0991,,,,,0.0534
2026-02-10,209907583455.52,5.2793,,,,,4.6994,,,,,0.4375,,,,,0.4353,,,,,0.0991,,,,,0.0534
2026-02-09,211147195168.84,5.3105,,,,,4.7272,,,,,0.4401,,,,,0.4379,,,,,0.0997,,,,,0.0531
2026-02-06,209494379551.08,5.2689,,,,,4.6902,,,,,0.4366,,,,,0.4345,,,,,0.0989,,,,,0.0536
2026-02-05,212800010786.6,5.3520,,,,,4.7642,,,,,0.4435,,,,,0.4413,,,,,0.1004,,,,,0.0527
2026-02-04,212386806882.16,5.3416,,,,,4.7550,,,,,0.4426,,,,,0.4405,,,,,0.1002,,,,,0.0528
2026-02-03,205775544411.12,5.1754,,,,,4.6069,,,,,0.4289,,,,,0.4267,,,,,0.0971,,,,,0.0545
2026-02-02,204122728793.36,5.1338,,,,,4.5699,,,,,0.4254,,,,,0.4233,,,,,0.0963,,,,,0.0550
2026-01-30,208254767837.76,5.2377,,,,,4.6624,,,,,0.4340,,,,,0.4319,,,,,0.0983,,,,,0.0539
2026-01-29,208254767837.76,5.2377,,,,,4.6624,,,,,0.4340,,,,,0.4319,,,,,0.0983,,,,,0.0539
2026-01-28,204949136602.24,5.1546,,,,,4.5884,,,,,0.4271,,,,,0.4250,,,,,0.0967,,,,,0.0547
2026-01-27,207428360028.88,5.2169,,,,,4.6439,,,,,0.4323,,,,,0.4302,,,,,0.0979,,,,,0.0541
2026-01-26,210320787359.96,5.2897,,,,,4.7087,,,,,0.4383,,,,,0.4362,,,,,0.0993,,,,,0.0533
2026-01-23,209081175646.64,5.2585,,,,,4.6809,,,,,0.4358,,,,,0.4336,,,,,0.0987,,,,,0.0537
2026-01-22,209907583455.52,5.2793,,,,,4.6994,,,,,0.4375,,,,,0.4353,,,,,0.0991,,,,,0.0534
2026-01-21,209907583455.52,5.2793,,,,,4.6994,,,,,0.4375,,,,,0.4353,,,,,0.0991,,,,,0.0534
2026-01-20,212386806882.16,5.3416,,,,,4.7550,,,,,0.4426,,,,,0.4405,,,,,0.1002,,,,,0.0528
2026-01-19,208667971742.2,5.2481,,,,,4.6717,,,,,0.4349,,,,,0.4327,,,,,0.0985,,,,,0.0538
2026-01-16,211147195168.84,5.3105,,,,,4.7272,,,,,0.4401,,,,,0.4379,,,,,0.0997,,,,,0.0531
2026-01-15,211147195168.84,5.3105,,,,,4.7272,,,,,0.4401,,,,,0.4379,,,,,0.0997,,,,,0.0531
2026-01-14,212386806882.16,5.3416,,,,,4.7550,,,,,0.4426,,,,,0.4405,,,,,0.1002,,,,,0.0528
2026-01-13,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2026-01-12,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2026-01-09,214039622499.92,5.3832,,,,,4.7920,,,,,0.4461,,,,,0.4439,,,,,0.1010,,,,,0.0524
2026-01-08,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2026-01-07,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2026-01-06,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2026-01-05,212800010786.6,5.3520,,,,,4.7642,,,,,0.4435,,,,,0.4413,,,,,0.1004,,,,,0.0527
2025-12-31,211973602977.72,5.3312,,,,,4.7457,,,,,0.4418,,,,,0.4396,,,,,0.1000,,,,,0.0529
2025-12-30,213213214691.04,5.3624,,,,,4.7735,,,,,0.4444,,,,,0.4422,,,,,0.1006,,,,,0.0526
2025-12-29,215692438117.68,5.4248,,,,,4.8290,,,,,0.4495,,,,,0.4473,,,,,0.1018,,,,,0.0520
2025-12-26,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2025-12-25,215279234213.24,5.4144,,,,,4.8197,,,,,0.4487,,,,,0.4465,,,,,0.1016,,,,,0.0521
2025-12-24,214866030308.8,5.4040,,,,,4.8105,,,,,0.4478,,,,,0.4456,,,,,0.1014,,,,,0.0522
2025-12-23,214866030308.8,5.4040,,,,,4.8105,,,,,0.4478,,,,,0.4456,,,,,0.1014,,,,,0.0522
2025-12-22,213626418595.48,5.3728,,,,,4.7827,,,,,0.4452,,,,,0.4430,,,,,0.1008,,,,,0.0525
2025-12-19,215279234213.24,5.4144,,,,,4.8197,,,,,0.4487,,,,,0.4465,,,,,0.1016,,,,,0.0521
2025-12-18,214452826404.36,5.3936,,,,,4.8012,,,,,0.4470,,,,,0.4447,,,,,0.1012,,,,,0.0523
2025-12-17,214039622499.92,5.3832,,,,,4.7920,,,,,0.4461,,,,,0.4439,,,,,0.1010,,,,,0.0524
2025-12-16,212800010786.6,5.3520,,,,,4.7642,,,,,0.4435,,,,,0.4413,,,,,0.1004,,,,,0.0527
2025-12-15,214039622499.92,5.3832,,,,,4.7920,,,,,0.4461,,,,,0.4439,,,,,0.1010,,,,,0.0524
2025-12-12,213626418595.48,5.3728,,,,,4.7827,,,,,0.4452,,,,,0.4430,,,,,0.1008,,,,,0.0525
2025-12-11,214866030308.8,5.4040,,,,,4.8105,,,,,0.4478,,,,,0.4456,,,,,0.1014,,,,,0.0522
2025-12-10,214039622499.92,5.3832,,,,,4.7920,,,,,0.4461,,,,,0.4439,,,,,0.1010,,,,,0.0524
2025-12-09,211973602977.72,5.3312,,,,,4.7457,,,,,0.4418,,,,,0.4396,,,,,0.1000,,,,,0.0529
2025-12-08,218171661544.32,5.4871,,,,,4.8845,,,,,0.4547,,,,,0.4525,,,,,0.1030,,,,,0.0514
2025-12-05,220237681066.52,5.5391,,,,,4.9307,,,,,0.4590,,,,,0.4567,,,,,0.1039,,,,,0.0509
2025-12-04,218584865448.76,5.4975,,,,,4.8937,,,,,0.4556,,,,,0.4533,,,,,0.1032,,,,,0.0513
2025-12-03,217345253735.44,5.4663,,,,,4.8660,,,,,0.4530,,,,,0.4507,,,,,0.1026,,,,,0.0516
2025-12-02,216932049831.0,5.4560,,,,,4.8567,,,,,0.4521,,,,,0.4499,,,,,0.1024,,,,,0.0517
2025-12-01,216518845926.56,5.4456,,,,,4.8475,,,,,0.4513,,,,,0.4490,,,,,0.1022,,,,,0.0518
2025-11-28,214866030308.8,5.4040,,,,,4.8105,,,,,0.4478,,,,,0.4456,,,,,0.1014,,,,,0.0522
2025-11-27,216518845926.56,5.4456,,,,,4.8475,,,,,0.4513,,,,,0.4490,,,,,0.1022,,,,,0.0518
2025-11-26,217758457639.88,5.4767,,,,,4.8752,,,,,0.4538,,,,,0.4516,,,,,0.1028,,,,,0.0515
2025-11-25,217758457639.88,5.4767,,,,,4.8752,,,,,0.4538,,,,,0.4516,,,,,0.1028,,,,,0.0515
2025-11-24,217758457639.88,5.4767,,,,,4.8752,,,,,0.4538,,,,,0.4516,,,,,0.1028,,,,,0.0515
2025-11-21,216932049831.0,5.4560,,,,,4.8567,,,,,0.4521,,,,,0.4499,,,,,0.1024,,,,,0.0517
2025-11-20,220237681066.52,5.5391,,,,,4.9307,,,,,0.4590,,,,,0.4567,,,,,0.1039,,,,,0.0509
2025-11-19,218584865448.76,5.4975,,,,,4.8937,,,,,0.4556,,,,,0.4533,,,,,0.1032,,,,,0.0513
2025-11-18,218171661544.32,5.4871,,,,,4.8845,,,,,0.4547,,,,,0.4525,,,,,0.1030,,,,,0.0514
2025-11-17,221890496684.28,5.5807,,,,,4.9677,,,,,0.4625,,,,,0.4602,,,,,0.1047,,,,,0.0506
2025-11-14,223956516206.48,5.6326,,,,,5.0140,,,,,0.4668,,,,,0.4644,,,,,0.1057,,,,,0.0501
2025-11-13,224782924015.36,5.6534,,,,,5.0325,,,,,0.4685,,,,,0.4662,,,,,0.1061,,,,,0.0499
2025-11-12,225196127919.8,5.6638,,,,,5.0417,,,,,0.4693,,,,,0.4670,,,,,0.1063,,,,,0.0498
2025-11-11,224369720110.92,5.6430,,,,,5.0232,,,,,0.4676,,,,,0.4653,,,,,0.1059,,,,,0.0500
2025-11-10,224782924015.36,5.6534,,,,,5.0325,,,,,0.4685,,,,,0.4662,,,,,0.1061,,,,,0.0499
2025-11-07,223543312302.04,5.6222,,,,,5.0047,,,,,0.4659,,,,,0.4636,,,,,0.1055,,,,,0.0502
2025-11-06,223956516206.48,5.6326,,,,,5.0140,,,,,0.4668,,,,,0.4644,,,,,0.1057,,,,,0.0501
2025-11-05,223956516206.48,5.6326,,,,,5.0140,,,,,0.4668,,,,,0.4644,,,,,0.1057,,,,,0.0501
2025-11-04,224782924015.36,5.6534,,,,,5.0325,,,,,0.4685,,,,,0.4662,,,,,0.1061,,,,,0.0499
2025-11-03,224369720110.92,5.6430,,,,,5.0232,,,,,0.4676,,,,,0.4653,,,,,0.1059,,,,,0.0500
2025-10-31,224369720110.92,5.6430,,,,,5.0232,,,,,0.4676,,,,,0.4653,,,,,0.1059,,,,,0.0500
2025-10-30,233873409913.04,5.5513,,,,,4.9611,,,,,0.4958,,,,,0.4933,,,,,0.1087,,,,,0.0480
2025-10-29,231394186486.4,5.4924,,,,,4.9085,,,,,0.4906,,,,,0.4881,,,,,0.1076,,,,,0.0485
2025-10-28,233873409913.04,5.5513,,,,,4.9611,,,,,0.4958,,,,,0.4933,,,,,0.1087,,,,,0.0480
2025-10-27,237179041148.56,5.6297,,,,,5.0312,,,,,0.5029,,,,,0.5003,,,,,0.1103,,,,,0.0473
2025-10-24,235939429435.24,5.6003,,,,,5.0049,,,,,0.5002,,,,,0.4977,,,,,0.1097,,,,,0.0475
2025-10-23,236352633339.68,5.6101,,,,,5.0137,,,,,0.5011,,,,,0.4985,,,,,0.1099,,,,,0.0475
2025-10-22,234286613817.48,5.5611,,,,,4.9699,,,,,0.4967,,,,,0.4942,,,,,0.1089,,,,,0.0479
2025-10-21,233460206008.6,5.5415,,,,,4.9523,,,,,0.4950,,,,,0.4924,,,,,0.1085,,,,,0.0481
2025-10-20,231394186486.4,5.4924,,,,,4.9085,,,,,0.4906,,,,,0.4881,,,,,0.1076,,,,,0.0485
2025-10-17,230980982581.96,5.4826,,,,,4.8997,,,,,0.4897,,,,,0.4872,,,,,0.1074,,,,,0.0486
2025-10-16,233460206008.6,5.5415,,,,,4.9523,,,,,0.4950,,,,,0.4924,,,,,0.1085,,,,,0.0481
2025-10-15,232220594295.28,5.5121,,,,,4.9260,,,,,0.4923,,,,,0.4898,,,,,0.1080,,,,,0.0483
2025-10-14,230567778677.52,5.4728,,,,,4.8910,,,,,0.4888,,,,,0.4863,,,,,0.1072,,,,,0.0487
2025-10-13,230154574773.08,5.4630,,,,,4.8822,,,,,0.4880,,,,,0.4855,,,,,0.1070,,,,,0.0487
2025-10-10,231807390390.8401,5.5022,,,,,4.9173,,,,,0.4915,,,,,0.4890,,,,,0.1078,,,,,0.0484
2025-10-09,229741370868.64,5.4532,,,,,4.8734,,,,,0.4871,,,,,0.4846,,,,,0.1068,,,,,0.0488
2025-09-30,225196127919.8,5.3453,,,,,4.7770,,,,,0.4774,,,,,0.4750,,,,,0.1047,,,,,0.0498
2025-09-29,224782924015.36,5.3355,,,,,4.7683,,,,,0.4766,,,,,0.4741,,,,,0.1045,,,,,0.0499
2025-09-26,224369720110.92,5.3257,,,,,4.7595,,,,,0.4757,,,,,0.4733,,,,,0.1043,,,,,0.0500
2025-09-25,226022535728.68,5.3649,,,,,4.7945,,,,,0.4792,,,,,0.4768,,,,,0.1051,,,,,0.0496
2025-09-24,228501759155.32,5.4238,,,,,4.8471,,,,,0.4845,,,,,0.4820,,,,,0.1062,,,,,0.0491
2025-09-23,229328166964.2,5.4434,,,,,4.8647,,,,,0.4862,,,,,0.4837,,,,,0.1066,,,,,0.0489
2025-09-22,227262147442.0,5.3944,,,,,4.8208,,,,,0.4818,,,,,0.4794,,,,,0.1057,,,,,0.0494
2025-09-19,229328166964.2,5.4434,,,,,4.8647,,,,,0.4862,,,,,0.4837,,,,,0.1066,,,,,0.0489
2025-09-18,227675351346.44,5.4042,,,,,4.8296,,,,,0.4827,,,,,0.4802,,,,,0.1059,,,,,0.0493
2025-09-17,234286613817.48,5.5611,,,,,4.9699,,,,,0.4967,,,,,0.4942,,,,,0.1089,,,,,0.0479
2025-09-16,231394186486.4,5.4924,,,,,4.9085,,,,,0.4906,,,,,0.4881,,,,,0.1076,,,,,0.0485
2025-09-15,230154574773.08,5.4630,,,,,4.8822,,,,,0.4880,,,,,0.4855,,,,,0.1070,,,,,0.0487
2025-09-12,230154574773.08,5.4630,,,,,4.8822,,,,,0.4880,,,,,0.4855,,,,,0.1070,,,,,0.0487
2025-09-11,229328166964.2,5.4434,,,,,4.8647,,,,,0.4862,,,,,0.4837,,,,,0.1066,,,,,0.0489
2025-09-10,227675351346.44,5.4042,,,,,4.8296,,,,,0.4827,,,,,0.4802,,,,,0.1059,,,,,0.0493
2025-09-09,228501759155.32,5.4238,,,,,4.8471,,,,,0.4845,,,,,0.4820,,,,,0.1062,,,,,0.0491
2025-09-08,227675351346.44,5.4042,,,,,4.8296,,,,,0.4827,,,,,0.4802,,,,,0.1059,,,,,0.0493
2025-09-05,226848943537.56,5.3845,,,,,4.8121,,,,,0.4810,,,,,0.4785,,,,,0.1055,,,,,0.0495
2025-09-04,228088555250.88,5.4140,,,,,4.8384,,,,,0.4836,,,,,0.4811,,,,,0.1060,,,,,0.0492
2025-09-03,228501759155.32,5.4238,,,,,4.8471,,,,,0.4845,,,,,0.4820,,,,,0.1062,,,,,0.0491
2025-09-02,231394186486.4,5.4924,,,,,4.9085,,,,,0.4906,,,,,0.4881,,,,,0.1076,,,,,0.0485
2025-09-01,229741370868.64,5.4532,,,,,4.8734,,,,,0.4871,,,,,0.4846,,,,,0.1068,,,,,0.0488
2025-08-29,230980982581.96,5.4826,,,,,4.8997,,,,,0.4897,,,,,0.4872,,,,,0.1074,,,,,0.0486
2025-08-28,229741370868.64,5.5104,,,,,4.9643,,,,,0.5054,,,,,0.5027,,,,,0.1048,,,,,0.0488
2025-08-27,229741370868.64,5.5104,,,,,4.9643,,,,,0.5054,,,,,0.5027,,,,,0.1048,,,,,0.0488
2025-08-26,235939429435.24,5.6591,,,,,5.0982,,,,,0.5190,,,,,0.5162,,,,,0.1076,,,,,0.0475
2025-08-25,236352633339.68,5.6690,,,,,5.1072,,,,,0.5199,,,,,0.5171,,,,,0.1078,,,,,0.0475
2025-08-22,231394186486.4,5.5501,,,,,5.0000,,,,,0.5090,,,,,0.5063,,,,,0.1055,,,,,0.0485
2025-08-21,230980982581.96,5.5402,,,,,4.9911,,,,,0.5081,,,,,0.5054,,,,,0.1053,,,,,0.0486
