date,资产负债率,中国中车 - 有息负债率,铁路设备(申万) - 有息负债率,中国中车 - 资产负债率,铁路设备(申万) - 资产负债率,有息负债率,速动比率,流动比率,中国中车 - 速动比率,铁路设备(申万) - 速动比率,"""向中央银行借款""","""拆入资金""","""短期借款""","""交易性金融负债""","""应付票据及应付账款""","""预收账款""","""合同负债""","""卖出回购金融资产""","""应付职工薪酬""","""应交税费""","""其他应付款""","""一年内到期的非流动负债""","""其他流动负债""","""其它未展示流动负债""","""长期借款""","""应付债券""","""长期应付款""","""长期应付职工薪酬""","""租赁负债""","""预计负债(非流动)""","""递延所得税负债""","""其他非流动负债""","""长期递延收益""","""其它未展示非流动负债""","""货币资金""","""交易性金融资产""","""拆出资金""","""应收票据及应收账款""","""应收款项融资""","""预付款项""","""合同资产""","""其他应收款""","""存货""","""一年内到期的非流动资产""","""其他流动资产""","""其它未展示流动资产""","""发放贷款及垫款(非流动)""","""长期应收款""","""长期股权投资""","""其他权益工具投资""","""可供出售金融资产(非流动)""","""债权投资""","""投资性房地产""","""固定资产""","""使用权资产""","""在建工程""","""无形资产""","""开发支出""","""商誉""","""递延所得税资产""","""其他非流动金融资产""","""其他非流动资产""","""其它未展示非流动资产""",中国中车 - 流动比率,铁路设备(申万) - 流动比率
2019-12-31,0.5859,0.0735,0.0699,0.5859,0.5600,0.0735,0.8199,1.255,0.8199,0.8611,222317000,0,10530416000,0,133941887000,5827000,28167471000,0,2194417000,2554947000,9176397000,3778474000,4015089000,5577269000,2589644000,4534817000,85484000,3686239000,960501000,5854124000,142756000,174433000,6551494000,0,44904764000,9180616000,139524000,73958389000,13085613000,9909219000,16364966000,2599055000,60833768000,14416293000,5820129000,0,180588000,10518918000,15570696000,2654602000,0,1658234000,1109477000,59090886000,1261467000,7243849000,16014314000,334394000,462158000,3400751000,616855000,12047721000,0,1.2550,1.3588
2019-09-30,0.6229,0.0725,0.0671,0.6229,0.5883,0.0725,0.7465,1.1963,0.7465,0.7919,210798000,0,16318529000,0,150274409000,22607000,26150014000,0,2693743000,2019236000,10976439000,3488523000,18358405000,2238030000,2209464000,4587957000,265764000,3531909000,805104000,5739922000,143119000,101263000,6293721000,0,42251503000,6370217000,84875000,99105107000,5052937000,11999871000,17974905000,3759205000,74725097000,14116236000,2997766000,0,185920000,12305416000,14939207000,2126358000,0,1718832000,1069366000,56639896000,983279000,8251479000,16322176000,312231000,725416000,3781331000,599460000,12981252000,0,1.1963,1.3047
2019-06-30,0.6208,0.0777,0.0846,0.6208,0.5973,0.0777,0.7499,1.1881,0.7499,0.7911,476720000,2200000000,13529868000,0,142852627000,30891000,24745071000,0,2427480000,1162071000,14786943000,6924790000,14992145000,1792851000,1416899000,3893670000,198906000,3513202000,763330000,5371041000,146771000,225991000,6328967000,0,34293702000,7090213000,1194203000,103227081000,5997241000,10221573000,17234693000,3211661000,71563588000,10996299000,3392492000,0,1874753000,8635611000,14846672000,2225377000,0,1680458000,1050280000,57042762000,981592000,7752554000,16455045000,301877000,714772000,3660054000,598673000,12669717000,0,1.1881,1.2285
2019-03-31,0.5954,0.0908,0.0944,0.5954,0.5729,0.0908,0.7528,1.2195,0.7528,0.7959,0,1000000000,19232858000,5092000,132758699000,35296000,24280073000,0,2002168000,1220862000,11236512000,7580127000,2984974000,1908868000,1038796000,3500001000,208479000,3571972000,0,5434696000,160398000,786543000,5651864000,0,38684947000,5721379000,1030960000,85191013000,0,10446485000,14315401000,3319217000,70571139000,10932802000,8863811000,0,1880844000,7823193000,14415550000,2447068000,0,1596693000,1268211000,56815069000,0,8061402000,16503140000,304392000,699915000,3619488000,597902000,11896843000,0,1.2195,1.2605
2018-12-31,0.5813,0.0772,0.0823,0.5813,0.5601,0.0772,0.7886,1.2079,0.7886,0.8351,0,14955000,8634101000,0,121168707000,24337000,22335899000,0,2045836000,3529455000,9860396000,11786543000,6155925000,2795282000,880011000,3500000000,279178000,3599049000,0,5389261000,158546000,177654000,5503288000,0,38171008000,7246736000,0,79680709000,0,9198553000,14657889000,3029887000,55121500000,11646729000,8752763000,0,1880911000,7809013000,13765792000,2252423000,0,1622252000,1248530000,57390729000,0,8098213000,16650104000,286606000,713042000,3644579000,598551000,13826486000,0,1.2079,1.2530
2018-09-30,0.6336,0.1151,0.1156,0.6336,0.6047,0.1151,0.725,1.2041,0.7250,0.7643,0,0,26538915000,0,140481522000,47548000,24997406000,0,2527852000,1470776000,9655888000,10138125000,12160323000,2310566000,3355840000,3501008000,312186000,3731751000,0,4981793000,202345000,242492000,5607659000,0,43403156000,13404770000,0,76335928000,0,12000631000,17595334000,4024139000,80750301000,10614725000,19153546000,0,0,8153161000,12822284000,2202938000,0,4084055000,923590000,55385907000,0,9767739000,17210106000,334979000,1244017000,3841845000,621368000,4034613000,0,1.2041,1.2435
2018-06-30,0.6229,0.1211,0.1221,0.6229,0.5935,0.1211,0.737,1.2068,0.7370,0.7788,0,0,25470418000,154897000,132412085000,19394000,23594991000,0,2398745000,1459685000,13565165000,9298959000,225558000,3126982000,3983757000,3500000000,300498000,3730796000,0,5069514000,216927000,247263000,5464790000,0,35714482000,4443029000,0,81974482000,0,11135303000,14115784000,3489128000,74219379000,11601266000,18775945000,0,0,8490851000,12539843000,2163999000,0,2136847000,989909000,56534401000,0,9575557000,17310011000,313323000,1239319000,3859114000,581532000,4595115000,0,1.2068,1.2493
2018-03-31,0.6151,0.1325,0.1329,0.6151,0.5849,0.1325,0.8329,1.2372,0.8329,0.8751,0,500000000,27965560000,394712000,126731332000,24985285000,0,0,2020112000,1622511000,8500684000,8518656000,278240000,2086675000,4380971000,5496154000,299195000,3639974000,0,5371829000,174353000,406389000,5698623000,0,41516309000,9085317000,0,98599770000,0,12637372000,0,3438666000,69689191000,12450496000,4436760000,0,197622000,11003301000,11402367000,0,3332159000,0,1074214000,56213406000,0,9546748000,17527356000,264020000,1211281000,3666002000,0,2699150000,2144664000,1.2372,1.2812
2017-12-31,0.6219,0.1446,0.1424,0.6219,0.5962,0.1446,0.9316,1.2554,0.9316,0.9604,0,0,32428947000,225240000,127645979000,20290418000,0,0,2153355000,3379973000,9135112000,4513956000,229401000,3487822000,4459542000,9125940000,305492000,3718519000,0,5417215000,175882000,852086000,5756605000,0,60886392000,2569294000,0,104744200000,0,10677855000,0,3349462000,55221998000,12405187000,5564379000,0,192693000,10365326000,11213510000,0,2805856000,0,1027187000,57242038000,0,8675879000,17782647000,236807000,1242487000,3697406000,0,3600667000,1429188000,1.2554,1.2827
2017-09-30,0.6335,0.1347,0.1350,0.6335,0.6100,0.1347,0.8178,1.2264,0.8178,0.8429,0,0,31098169000,3435000,132752444000,22547914000,0,0,2611742000,2216548000,9093518000,4446941000,2000000000,2560061000,3365759000,9158666000,265113000,3565748000,0,5429434000,202533000,696088000,6041934000,0,37275691000,936433000,0,113356121000,0,12060779000,0,4013269000,73476892000,7640182000,7961748000,0,201950000,10260231000,8813981000,0,4486374000,0,1082149000,55658637000,0,10537876000,17668948000,169215000,1264790000,3124928000,0,4288448000,1324986000,1.2264,1.2516
2017-06-30,0.6287,0.1240,0.1378,0.6287,0.6130,0.124,0.8142,1.2114,0.8142,0.8403,0,1200000000,25112870000,0,120806687000,22841515000,0,0,2177894000,2508667000,15750051000,5773992000,2189033000,1183772000,2252318000,9209913000,191076000,3607720000,0,5158275000,212042000,626857000,5948026000,0,35029380000,798346000,0,109067059000,0,11715119000,0,5322742000,67550400000,8282126000,3970030000,0,200741000,11024798000,8741492000,0,4058219000,0,1045255000,56477895000,0,9490164000,17857819000,131857000,1281491000,3122283000,0,4062805000,1258098000,1.2114,1.2332
2017-03-31,0.6005,0.1197,0.1180,0.6005,0.5890,0.1197,0.8284,1.268,0.8284,0.8528,0,500000000,21443176000,8426000,113638995000,24162721000,0,0,1824228000,1576247000,8261377000,4813981000,13411000,1573268000,2105947000,10753753000,252474000,3535616000,0,5267114000,243136000,700235000,6011407000,0,35174514000,734555000,0,92440377000,0,14090543000,0,5492774000,64088043000,8281204000,5172531000,0,205420000,11562406000,8568373000,0,4024606000,0,1038955000,56588836000,0,9653520000,17736627000,121665000,1299744000,2977868000,0,3769750000,964771000,1.2680,1.2838
2016-12-31,0.6341,0.1398,0.1367,0.6341,0.6186,0.1398,0.8376,1.1974,0.8376,0.8573,0,0,21994384000,16983000,111747126000,25773476000,0,0,1939164000,3281189000,8613303000,8094882000,55298000,2711370000,3721502000,10749910000,228407000,3516307000,0,5229545000,235835000,652551000,5944764000,0,45594983000,731916000,0,89152823000,0,11872252000,0,4486076000,54416164000,8166808000,6168258000,0,203144000,11012361000,8471976000,0,3819162000,0,983803000,56956911000,0,9407197000,17551660000,110418000,1286760000,3009338000,0,3749145000,966970000,1.1974,1.2175
2016-09-30,0.6554,0.1280,0.1262,0.6554,0.6324,0.128,0.7615,1.1888,0.7615,0.7873,0,0,15170206000,7246000,113116997000,27993285000,0,0,2483408000,2976985000,9652757000,7861920000,9000000000,3974453000,6348705000,10586304000,277304000,4138801000,0,4693162000,215161000,689766000,5828506000,0,39458962000,2857000,0,92481652000,0,12893437000,0,4429293000,69250945000,4459096000,5547972000,0,207890000,10260547000,8519824000,0,4232003000,0,1014287000,52771575000,0,11292180000,17495400000,34191000,1290161000,2935751000,0,4032964000,530785000,1.1888,1.2178
2016-06-30,0.6525,0.1273,0.1384,0.6525,0.6299,0.1273,0.7395,1.1756,0.7395,0.7598,0,0,18273750000,4213000,108292396000,26575625000,0,0,2234976000,2220541000,12863641000,7852609000,6000000000,775595000,6651106000,8536884000,287329000,4118466000,0,4641060000,216297000,720561000,5534346000,0,35303530000,1278469000,0,87906935000,0,10643786000,0,3934431000,70079285000,4249384000,4208790000,0,207890000,10749461000,8450689000,0,3475918000,0,946005000,52798549000,0,10483456000,17625838000,25595000,1293524000,3041187000,0,3478513000,387102000,1.1756,1.1979
2016-03-31,,0.1119,0.1128,0.6367,0.6151,,,,0.7734,0.7959,0,0,12199019000,0,105167859000,30882850000,0,0,1832384000,1917003000,7737913000,4994726000,4000000000,896368000,6760311000,10818664000,267842000,4049593000,0,4519625000,239195000,1025253000,5581391000,0,34568444000,3017000,0,83241423000,0,9941440000,0,3704234000,66211366000,4454164000,5212504000,0,229874000,10791088000,8421884000,0,3241866000,0,996260000,52736568000,0,9514019000,17849522000,17520000,1269409000,2723473000,0,3168181000,196857000,1.2223,1.2466
