date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-03,137791020302.6,23.1059,,,,,0.0138,3.4519,,,,,3.4954,,,,,28.4400,,,,,0.8027,,,,
2026-06-02,142860196902.86,23.9559,,,,,0.0133,3.4582,,,,,3.5004,,,,,29.4863,,,,,0.8323,,,,
2026-06-01,139515585537.74,23.3951,,,,,0.0136,3.3773,,,,,3.4184,,,,,28.7960,,,,,0.8128,,,,
2026-05-29,141902105105.56,23.7953,,,,,0.0134,3.4350,,,,,3.4769,,,,,29.2885,,,,,0.8267,,,,
2026-05-28,144549922436.28,24.2393,,,,,0.0131,3.4991,,,,,3.5418,,,,,29.8350,,,,,0.8421,,,,
2026-05-27,147406777977.32,24.7183,,,,,0.0129,3.5683,,,,,3.6118,,,,,30.4247,,,,,0.8588,,,,
2026-05-26,150524931281.26,25.2412,,,,,0.0126,3.6438,,,,,3.6882,,,,,31.0683,,,,,0.8769,,,,
2026-05-25,142982135858.88,23.9764,,,,,0.0133,3.4612,,,,,3.5034,,,,,29.5115,,,,,0.8330,,,,
2026-05-22,142895036604.58,23.9618,,,,,0.0133,3.4591,,,,,3.5012,,,,,29.4935,,,,,0.8325,,,,
2026-05-21,145246716470.68,24.3561,,,,,0.0131,3.5160,,,,,3.5589,,,,,29.9789,,,,,0.8462,,,,
2026-05-20,136850348356.16,22.9482,,,,,0.0139,3.3128,,,,,3.3531,,,,,28.2459,,,,,0.7973,,,,
2026-05-19,139498165686.88,23.3922,,,,,0.0136,3.3768,,,,,3.4180,,,,,28.7924,,,,,0.8127,,,,
2026-05-18,142494380034.8,23.8946,,,,,0.0133,3.4494,,,,,3.4914,,,,,29.4108,,,,,0.8301,,,,
2026-05-15,145037678260.36,24.3211,,,,,0.0131,3.5109,,,,,3.5537,,,,,29.9357,,,,,0.8450,,,,
2026-05-14,148155831564.3,24.8439,,,,,0.0128,3.5864,,,,,3.6301,,,,,30.5793,,,,,0.8631,,,,
2026-05-13,152354015621.56,25.5479,,,,,0.0125,3.6881,,,,,3.7330,,,,,31.4458,,,,,0.8876,,,,
2026-05-12,151117206210.5,25.3405,,,,,0.0126,3.6581,,,,,3.7027,,,,,31.1905,,,,,0.8804,,,,
2026-05-11,155367649820.34,26.0533,,,,,0.0122,3.7610,,,,,3.8068,,,,,32.0678,,,,,0.9051,,,,
2026-05-08,157301253265.8,26.3775,,,,,0.0121,3.8078,,,,,3.8542,,,,,32.4669,,,,,0.9164,,,,
2026-05-07,155367649820.34,26.0533,,,,,0.0122,3.7610,,,,,3.8068,,,,,32.0678,,,,,0.9051,,,,
2026-05-06,153416626524.02,25.7261,,,,,0.0124,3.7138,,,,,3.7590,,,,,31.6651,,,,,0.8938,,,,
2026-04-30,154601176382.5,25.9248,,,,,0.0123,3.7424,,,,,3.7881,,,,,31.9096,,,,,0.9007,,,,
2026-04-29,157562551028.7,26.4509,,,,,0.0121,3.8507,,,,,3.8981,,,,,30.6785,,,,,0.9546,,,,
2026-04-28,154949573399.7,26.0123,,,,,0.0123,3.7868,,,,,3.8334,,,,,30.1697,,,,,0.9388,,,,
2026-04-27,157963207598.48,26.5182,,,,,0.0120,3.8605,,,,,3.9080,,,,,30.7565,,,,,0.9570,,,,
2026-04-24,158259345063.1,26.5679,,,,,0.0120,3.8677,,,,,3.9153,,,,,30.8142,,,,,0.9588,,,,
2026-04-23,161098780753.28,27.0446,,,,,0.0118,3.9371,,,,,3.9855,,,,,31.3670,,,,,0.9760,,,,
2026-04-22,157597390730.42,26.4568,,,,,0.0121,3.8515,,,,,3.8989,,,,,30.6853,,,,,0.9548,,,,
2026-04-21,156691558485.7,26.3047,,,,,0.0121,3.8294,,,,,3.8765,,,,,30.5089,,,,,0.9493,,,,
2026-04-20,156900596696.02,26.3398,,,,,0.0121,3.8345,,,,,3.8817,,,,,30.5496,,,,,0.9506,,,,
2026-04-17,155855405644.42,26.1643,,,,,0.0122,3.8090,,,,,3.8558,,,,,30.3461,,,,,0.9443,,,,
2026-04-16,156621879082.26,26.2930,,,,,0.0121,3.8277,,,,,3.8748,,,,,30.4954,,,,,0.9489,,,,
2026-04-15,153852122795.52,25.8280,,,,,0.0123,3.7600,,,,,3.8063,,,,,29.9561,,,,,0.9321,,,,
2026-04-14,156587039380.54,26.2872,,,,,0.0121,3.8268,,,,,3.8739,,,,,30.4886,,,,,0.9487,,,,
2026-04-13,156970276099.46,26.3515,,,,,0.0121,3.8362,,,,,3.8834,,,,,30.5632,,,,,0.9510,,,,
2026-04-10,156900596696.02,26.3398,,,,,0.0121,3.8345,,,,,3.8817,,,,,30.5496,,,,,0.9506,,,,
2026-04-09,154305038917.88,25.9041,,,,,0.0123,3.7711,,,,,3.8175,,,,,30.0442,,,,,0.9349,,,,
2026-04-08,156778657740.0,26.3193,,,,,0.0121,3.8315,,,,,3.8787,,,,,30.5259,,,,,0.9499,,,,
2026-04-07,150908168000.18,25.3338,,,,,0.0126,3.6881,,,,,3.7334,,,,,29.3829,,,,,0.9143,,,,
2026-04-03,150507511430.4,25.2666,,,,,0.0126,3.6783,,,,,3.7235,,,,,29.3048,,,,,0.9119,,,,
2026-04-02,155176031460.88,26.0503,,,,,0.0122,3.7924,,,,,3.8390,,,,,30.2138,,,,,0.9402,,,,
2026-04-01,159844551491.36,26.8340,,,,,0.0119,3.9064,,,,,3.9545,,,,,31.1228,,,,,0.9684,,,,
2026-03-31,158224505361.38,26.5621,,,,,0.0120,3.8669,,,,,3.9144,,,,,30.8074,,,,,0.9586,,,,
2026-03-30,164164674504.64,22.7363,,,,,0.0127,6.0142,,,,,6.1258,,,,,24.9572,,,,,1.1012,,,,
2026-03-27,166220216906.12,23.0210,,,,,0.0126,6.0895,,,,,6.2025,,,,,25.2697,,,,,1.1149,,,,
2026-03-26,163746598084.0,22.6784,,,,,0.0128,5.9989,,,,,6.1102,,,,,24.8936,,,,,1.0984,,,,
2026-03-25,168188660053.3,23.2936,,,,,0.0124,6.1616,,,,,6.2760,,,,,25.5689,,,,,1.1281,,,,
2026-03-24,169094492298.02,23.4191,,,,,0.0124,6.1948,,,,,6.3098,,,,,25.7066,,,,,1.1342,,,,
2026-03-23,172926859487.22,23.9499,,,,,0.0121,6.3352,,,,,6.4528,,,,,26.2892,,,,,1.1599,,,,
2026-03-20,173780432179.36,24.0681,,,,,0.0120,6.3665,,,,,6.4846,,,,,26.4190,,,,,1.1657,,,,
2026-03-19,175766295177.4,24.3431,,,,,0.0119,6.4392,,,,,6.5587,,,,,26.7209,,,,,1.1790,,,,
2026-03-18,176759226676.42,24.4806,,,,,0.0118,6.4756,,,,,6.5958,,,,,26.8718,,,,,1.1856,,,,
2026-03-17,179250265349.4,24.8256,,,,,0.0117,6.5669,,,,,6.6887,,,,,27.2505,,,,,1.2023,,,,
2026-03-16,179842540278.64,24.9077,,,,,0.0116,6.5886,,,,,6.7108,,,,,27.3406,,,,,1.2063,,,,
2026-03-13,174599165169.78,24.1815,,,,,0.0120,6.3965,,,,,6.5152,,,,,26.5435,,,,,1.1711,,,,
2026-03-12,173989470389.68,24.0970,,,,,0.0120,6.3741,,,,,6.4924,,,,,26.4508,,,,,1.1671,,,,
2026-03-11,176846325930.72,24.4927,,,,,0.0118,6.4788,,,,,6.5990,,,,,26.8851,,,,,1.1862,,,,
2026-03-10,173344935907.86,24.0078,,,,,0.0121,6.3505,,,,,6.4684,,,,,26.3528,,,,,1.1627,,,,
2026-03-09,170366141410.8,23.5952,,,,,0.0123,6.2414,,,,,6.3572,,,,,25.8999,,,,,1.1428,,,,
2026-03-06,174634004871.5,24.1863,,,,,0.0120,6.3977,,,,,6.5165,,,,,26.5488,,,,,1.1714,,,,
2026-03-05,175940493686.0,24.3672,,,,,0.0119,6.4456,,,,,6.5652,,,,,26.7474,,,,,1.1801,,,,
2026-03-04,176828906079.86,24.4903,,,,,0.0118,6.4781,,,,,6.5984,,,,,26.8824,,,,,1.1861,,,,
2026-03-03,178379272806.4,24.7050,,,,,0.0117,6.5349,,,,,6.6562,,,,,27.1181,,,,,1.1965,,,,
2026-03-02,184981396282.34,25.6194,,,,,0.0113,6.7768,,,,,6.9026,,,,,28.1218,,,,,1.2408,,,,
2026-02-27,186949839429.52,25.8920,,,,,0.0112,6.8489,,,,,6.9760,,,,,28.4211,,,,,1.2540,,,,
2026-02-26,184789777922.88,25.5928,,,,,0.0113,6.7698,,,,,6.8954,,,,,28.0927,,,,,1.2395,,,,
2026-02-25,190120252286.04,26.3311,,,,,0.0110,6.9651,,,,,7.0943,,,,,28.9031,,,,,1.2753,,,,
2026-02-24,188204068691.44,26.0657,,,,,0.0111,6.8949,,,,,7.0228,,,,,28.6117,,,,,1.2624,,,,
2026-02-13,190259611092.92,26.3504,,,,,0.0110,6.9702,,,,,7.0995,,,,,28.9242,,,,,1.2762,,,,
2026-02-12,189667336163.68,26.2684,,,,,0.0110,6.9485,,,,,7.0774,,,,,28.8342,,,,,1.2722,,,,
2026-02-11,192402252748.7,26.6471,,,,,0.0109,7.0487,,,,,7.1795,,,,,29.2500,,,,,1.2906,,,,
2026-02-10,192245474090.96,26.6254,,,,,0.0109,7.0429,,,,,7.1737,,,,,29.2261,,,,,1.2895,,,,
2026-02-09,193325504844.28,26.7750,,,,,0.0108,7.0825,,,,,7.2140,,,,,29.3903,,,,,1.2968,,,,
2026-02-06,190015733180.88,26.3166,,,,,0.0110,6.9612,,,,,7.0904,,,,,28.8872,,,,,1.2746,,,,
2026-02-05,190398969899.8,26.3697,,,,,0.0110,6.9753,,,,,7.1047,,,,,28.9454,,,,,1.2771,,,,
2026-02-04,192123535134.94,26.6085,,,,,0.0109,7.0385,,,,,7.1691,,,,,29.2076,,,,,1.2887,,,,
2026-02-03,187089198236.4,25.9113,,,,,0.0112,6.8540,,,,,6.9812,,,,,28.4423,,,,,1.2549,,,,
2026-02-02,181950342232.7,25.1996,,,,,0.0115,6.6658,,,,,6.7895,,,,,27.6610,,,,,1.2205,,,,
2026-01-30,181323227601.74,25.1127,,,,,0.0115,6.6428,,,,,6.7661,,,,,27.5657,,,,,1.2163,,,,
2026-01-29,189789275119.7,26.2853,,,,,0.0110,6.9530,,,,,7.0820,,,,,28.8527,,,,,1.2730,,,,
2026-01-28,188761503918.96,26.1429,,,,,0.0111,6.9153,,,,,7.0436,,,,,28.6965,,,,,1.2661,,,,
2026-01-27,196112680981.88,27.1610,,,,,0.0107,7.1846,,,,,7.3180,,,,,29.8141,,,,,1.3155,,,,
2026-01-26,199631490855.6,27.6484,,,,,0.0105,7.3135,,,,,7.4493,,,,,30.3490,,,,,1.3391,,,,
2026-01-23,205554240148.0,28.4687,,,,,0.0102,7.5305,,,,,7.6703,,,,,31.2494,,,,,1.3788,,,,
2026-01-22,200537323100.32,27.7738,,,,,0.0104,7.3467,,,,,7.4831,,,,,30.4867,,,,,1.3451,,,,
2026-01-21,206024576121.22,28.5338,,,,,0.0101,7.5477,,,,,7.6878,,,,,31.3209,,,,,1.3819,,,,
2026-01-20,207609782549.48,28.7533,,,,,0.0101,7.6058,,,,,7.7470,,,,,31.5619,,,,,1.3926,,,,
2026-01-19,211041493168.9,29.2286,,,,,0.0099,7.7315,,,,,7.8750,,,,,32.0836,,,,,1.4156,,,,
2026-01-16,210640836599.12,29.1731,,,,,0.0099,7.7168,,,,,7.8601,,,,,32.0227,,,,,1.4129,,,,
2026-01-15,211337630633.52,29.2696,,,,,0.0099,7.7424,,,,,7.8861,,,,,32.1286,,,,,1.4176,,,,
2026-01-14,211999584966.2,29.3613,,,,,0.0099,7.7666,,,,,7.9108,,,,,32.2293,,,,,1.4220,,,,
2026-01-13,213741570052.2,29.6026,,,,,0.0098,7.8304,,,,,7.9758,,,,,32.4941,,,,,1.4337,,,,
2026-01-12,216058410216.58,29.9235,,,,,0.0097,7.9153,,,,,8.0622,,,,,32.8463,,,,,1.4492,,,,
2026-01-09,217260379925.92,30.0899,,,,,0.0096,7.9594,,,,,8.1071,,,,,33.0290,,,,,1.4573,,,,
2026-01-08,218270731275.8,30.2299,,,,,0.0096,7.9964,,,,,8.1448,,,,,33.1826,,,,,1.4641,,,,
2026-01-07,223583785788.1,30.9657,,,,,0.0094,8.1910,,,,,8.3430,,,,,33.9904,,,,,1.4997,,,,
2026-01-06,218305570977.52,30.2347,,,,,0.0096,7.9976,,,,,8.1461,,,,,33.1879,,,,,1.4643,,,,
2026-01-05,211320210782.66,29.2672,,,,,0.0099,7.7417,,,,,7.8854,,,,,32.1260,,,,,1.4175,,,,
2025-12-31,210710516002.56,29.1828,,,,,0.0123,7.7194,,,,,7.8627,,,,,32.0333,,,,,1.4134,,,,
2025-12-30,211372470335.24,29.2745,,,,,0.0123,7.7437,,,,,7.8874,,,,,32.1339,,,,,1.4178,,,,
2025-12-29,209665324950.96,29.0380,,,,,0.0124,7.6811,,,,,7.8237,,,,,31.8744,,,,,1.4064,,,,
2025-12-26,210205340327.62,29.1128,,,,,0.0123,7.7009,,,,,7.8438,,,,,31.9565,,,,,1.4100,,,,
2025-12-25,207487843593.46,28.7365,,,,,0.0101,7.6013,,,,,7.7424,,,,,31.5434,,,,,1.3918,,,,
2025-12-24,208515614794.2,28.8788,,,,,0.0100,7.6390,,,,,7.7808,,,,,31.6996,,,,,1.3986,,,,
2025-12-23,208411095689.04,28.8643,,,,,0.0100,7.6352,,,,,7.7769,,,,,31.6837,,,,,1.3979,,,,
2025-12-22,211511829142.12,29.2938,,,,,0.0099,7.7488,,,,,7.8926,,,,,32.1551,,,,,1.4187,,,,
2025-12-19,210083401371.6,29.0959,,,,,0.0100,7.6964,,,,,7.8393,,,,,31.9380,,,,,1.4092,,,,
2025-12-18,208167217777.0,28.8305,,,,,0.0100,7.6262,,,,,7.7678,,,,,31.6466,,,,,1.3963,,,,
2025-12-17,211738287203.3,29.3251,,,,,0.0099,7.7571,,,,,7.9010,,,,,32.1895,,,,,1.4203,,,,
2025-12-16,214804180954.66,29.7497,,,,,0.0097,7.8694,,,,,8.0154,,,,,32.6556,,,,,1.4408,,,,
2025-12-15,208167217777.0,28.8305,,,,,0.0100,7.6262,,,,,7.7678,,,,,31.6466,,,,,1.3963,,,,
2025-12-12,213166714973.82,29.5230,,,,,0.0098,7.8094,,,,,7.9543,,,,,32.4067,,,,,1.4298,,,,
2025-12-11,213044776017.8,29.5061,,,,,0.0098,7.8049,,,,,7.9498,,,,,32.3882,,,,,1.4290,,,,
2025-12-10,216772624101.84,30.0224,,,,,0.0096,7.9415,,,,,8.0889,,,,,32.9549,,,,,1.4540,,,,
2025-12-09,216006150664.0,29.9162,,,,,0.0097,7.9134,,,,,8.0603,,,,,32.8384,,,,,1.4489,,,,
2025-12-08,218758487099.88,30.2974,,,,,0.0096,8.0142,,,,,8.1630,,,,,33.2568,,,,,1.4674,,,,
2025-12-05,219681739195.46,30.4253,,,,,0.0095,8.0481,,,,,8.1974,,,,,33.3971,,,,,1.4735,,,,
2025-12-04,219472700985.14,30.3963,,,,,0.0095,8.0404,,,,,8.1896,,,,,33.3654,,,,,1.4721,,,,
2025-12-03,221005647860.82,30.6086,,,,,0.0095,8.0966,,,,,8.2468,,,,,33.5984,,,,,1.4824,,,,
2025-12-02,224541877585.4,31.0984,,,,,0.0093,8.2261,,,,,8.3788,,,,,34.1360,,,,,1.5061,,,,
2025-12-01,228583282984.92,31.6581,,,,,0.0091,8.3742,,,,,8.5296,,,,,34.7504,,,,,1.5333,,,,
2025-11-28,219821098002.34,30.4446,,,,,0.0095,8.0532,,,,,8.2026,,,,,33.4183,,,,,1.4745,,,,
2025-11-27,218741067249.02,30.2950,,,,,0.0096,8.0136,,,,,8.1623,,,,,33.2541,,,,,1.4672,,,,
2025-11-26,217922334258.6,30.1816,,,,,0.0096,7.9836,,,,,8.1318,,,,,33.1297,,,,,1.4617,,,,
2025-11-25,217486837987.1,30.1213,,,,,0.0096,7.9677,,,,,8.1155,,,,,33.0635,,,,,1.4588,,,,
2025-11-24,216877143207.0,30.0368,,,,,0.0096,7.9453,,,,,8.0928,,,,,32.9708,,,,,1.4547,,,,
2025-11-21,214960959612.4,29.7715,,,,,0.0097,7.8751,,,,,8.0213,,,,,32.6795,,,,,1.4419,,,,
2025-11-20,220657250843.62,30.5604,,,,,0.0095,8.0838,,,,,8.2338,,,,,33.5454,,,,,1.4801,,,,
2025-11-19,226336122223.98,31.3469,,,,,0.0092,8.2918,,,,,8.4457,,,,,34.4088,,,,,1.5182,,,,
2025-11-18,228844580747.82,31.6943,,,,,0.0091,8.3837,,,,,8.5393,,,,,34.7901,,,,,1.5350,,,,
2025-11-17,232764047191.32,32.2371,,,,,0.0090,8.5273,,,,,8.6856,,,,,35.3860,,,,,1.5613,,,,
2025-11-14,235516383627.2,32.6183,,,,,0.0089,8.6282,,,,,8.7883,,,,,35.8044,,,,,1.5798,,,,
2025-11-13,237519666476.1,32.8958,,,,,0.0088,8.7016,,,,,8.8631,,,,,36.1090,,,,,1.5932,,,,
2025-11-12,236369956319.34,32.7365,,,,,0.0088,8.6594,,,,,8.8202,,,,,35.9342,,,,,1.5855,,,,
2025-11-11,233147283910.24,32.2902,,,,,0.0090,8.5414,,,,,8.6999,,,,,35.4442,,,,,1.5639,,,,
2025-11-10,241526232173.9,33.4507,,,,,0.0087,8.8483,,,,,9.0126,,,,,36.7181,,,,,1.6201,,,,
2025-11-07,241386873367.02,33.4314,,,,,0.0087,8.8432,,,,,9.0074,,,,,36.6969,,,,,1.6191,,,,
2025-11-06,247588340273.18,34.2903,,,,,0.0084,9.0704,,,,,9.2388,,,,,37.6396,,,,,1.6607,,,,
2025-11-05,254382082108.58,35.2312,,,,,0.0082,9.3193,,,,,9.4923,,,,,38.6725,,,,,1.7063,,,,
2025-11-04,252567397878.18,34.9798,,,,,0.0083,9.2528,,,,,9.4246,,,,,38.3966,,,,,1.6941,,,,
2025-11-03,249594671601.66,34.5681,,,,,0.0084,9.1439,,,,,9.3136,,,,,37.9447,,,,,1.6742,,,,
2025-10-31,253482082886.34,35.1065,,,,,0.0082,9.2863,,,,,9.4587,,,,,38.5356,,,,,1.7003,,,,
2025-10-30,266140670052.84,36.6470,,,,,0.0079,10.1369,,,,,10.3326,,,,,40.2624,,,,,1.8672,,,,
2025-10-29,267855704443.14,36.8832,,,,,0.0078,10.0091,,,,,10.1987,,,,,40.5219,,,,,1.8793,,,,
2025-10-28,259705207674.0,35.7609,,,,,0.0081,9.7046,,,,,9.8884,,,,,39.2888,,,,,1.8221,,,,
2025-10-27,259754208656.58,35.7676,,,,,0.0080,9.7064,,,,,9.8902,,,,,39.2962,,,,,1.8224,,,,
2025-10-24,261354907420.86,35.9880,,,,,0.0080,9.7662,,,,,9.9512,,,,,39.5384,,,,,1.8336,,,,
2025-10-23,258839523648.42,35.6416,,,,,0.0081,9.6722,,,,,9.8554,,,,,39.1579,,,,,1.8160,,,,
2025-10-22,256667146754.04,35.3425,,,,,0.0081,9.5911,,,,,9.7727,,,,,38.8292,,,,,1.8008,,,,
2025-10-21,258137176231.44,35.5449,,,,,0.0081,9.6460,,,,,9.8287,,,,,39.0516,,,,,1.8111,,,,
2025-10-20,254315099590.2,35.0186,,,,,0.0082,9.5032,,,,,9.6831,,,,,38.4734,,,,,1.7843,,,,
2025-10-17,253302412616.8801,34.8792,,,,,0.0083,9.4653,,,,,9.6446,,,,,38.3202,,,,,1.7771,,,,
2025-10-16,262236925107.3,36.1095,,,,,0.0080,9.7992,,,,,9.9848,,,,,39.6718,,,,,1.8398,,,,
2025-10-15,262236925107.3,36.1095,,,,,0.0080,9.7992,,,,,9.9848,,,,,39.6718,,,,,1.8398,,,,
2025-10-14,260570891699.58,35.8801,,,,,0.0080,9.7369,,,,,9.9213,,,,,39.4198,,,,,1.8281,,,,
2025-10-13,263788622889.0,36.3231,,,,,0.0079,9.8572,,,,,10.0438,,,,,39.9066,,,,,1.8507,,,,
2025-10-10,273866491639.62,37.7108,,,,,0.0076,10.2338,,,,,10.4276,,,,,41.4312,,,,,1.9214,,,,
2025-10-09,261338573760.0,35.9858,,,,,0.0080,9.7656,,,,,9.9506,,,,,39.5359,,,,,1.8335,,,,
2025-09-30,280236619375.02,38.5880,,,,,0.0075,10.4718,,,,,10.6701,,,,,42.3949,,,,,1.9661,,,,
2025-09-29,260015547230.34,35.8036,,,,,0.0080,9.7162,,,,,9.9002,,,,,39.3358,,,,,1.8242,,,,
2025-09-26,256797816040.92,35.3605,,,,,0.0081,9.5959,,,,,9.7777,,,,,38.8490,,,,,1.8017,,,,
2025-09-25,242799868683.9,33.4330,,,,,0.0086,9.0729,,,,,9.2447,,,,,36.7314,,,,,1.7035,,,,
2025-09-24,234143028428.1,32.2410,,,,,0.0089,8.7494,,,,,8.9151,,,,,35.4217,,,,,1.6427,,,,
2025-09-23,231937984212.0,31.9374,,,,,0.0090,8.6670,,,,,8.8311,,,,,35.0881,,,,,1.6273,,,,
2025-09-22,236348072644.2,32.5446,,,,,0.0088,8.8318,,,,,8.9990,,,,,35.7553,,,,,1.6582,,,,
2025-09-19,234551369949.6,32.2972,,,,,0.0089,8.7646,,,,,8.9306,,,,,35.4835,,,,,1.6456,,,,
2025-09-18,233734686906.6,32.1848,,,,,0.0089,8.7341,,,,,8.8995,,,,,35.3599,,,,,1.6399,,,,
2025-09-17,230435287412.8801,31.7304,,,,,0.0090,8.6108,,,,,8.7739,,,,,34.8608,,,,,1.6167,,,,
2025-09-16,229961611247.94,31.6652,,,,,0.0091,8.5931,,,,,8.7559,,,,,34.7891,,,,,1.6134,,,,
2025-09-15,232754667255.0,32.0498,,,,,0.0090,8.6975,,,,,8.8622,,,,,35.2117,,,,,1.6330,,,,
2025-09-12,225894529693.8,31.1052,,,,,0.0092,8.4412,,,,,8.6010,,,,,34.1739,,,,,1.5849,,,,
2025-09-11,227674898727.54,31.3503,,,,,0.0092,8.5077,,,,,8.6688,,,,,34.4432,,,,,1.5973,,,,
2025-09-10,226335538537.02,31.1659,,,,,0.0092,8.4576,,,,,8.6178,,,,,34.2406,,,,,1.5880,,,,
2025-09-09,228638584718.28,31.4830,,,,,0.0091,8.5437,,,,,8.7055,,,,,34.5890,,,,,1.6041,,,,
2025-09-08,233816355210.9,32.1960,,,,,0.0089,8.7372,,,,,8.9026,,,,,35.3723,,,,,1.6404,,,,
2025-09-05,239288131599.0,32.9495,,,,,0.0087,8.9416,,,,,9.1110,,,,,36.2001,,,,,1.6788,,,,
2025-09-04,242228190553.8,33.3543,,,,,0.0086,9.0515,,,,,9.2229,,,,,36.6449,,,,,1.6995,,,,
2025-09-03,241182836258.76,33.2104,,,,,0.0086,9.0124,,,,,9.1831,,,,,36.4867,,,,,1.6921,,,,
2025-09-02,240006812676.84,33.0484,,,,,0.0087,8.9685,,,,,9.1383,,,,,36.3088,,,,,1.6839,,,,
2025-09-01,235025046114.54,32.3624,,,,,0.0089,8.7823,,,,,8.9487,,,,,35.5552,,,,,1.6489,,,,
2025-08-29,223624150834.26,34.5409,,,,,0.0093,10.3810,,,,,10.4504,,,,,38.2093,,,,,1.6233,,,,
2025-08-28,214591636378.68,33.1457,,,,,0.0097,9.9617,,,,,10.0283,,,,,36.6660,,,,,1.5577,,,,
2025-08-27,215310317456.52,33.2567,,,,,0.0097,9.9951,,,,,10.0619,,,,,36.7888,,,,,1.5629,,,,
2025-08-26,219802074193.02,33.9505,,,,,0.0095,10.2036,,,,,10.2718,,,,,37.5563,,,,,1.5955,,,,
2025-08-25,221925450104.82,34.2785,,,,,0.0094,10.3022,,,,,10.3710,,,,,37.9191,,,,,1.6109,,,,
2025-08-22,218805720880.56,33.7966,,,,,0.0095,10.1574,,,,,10.2252,,,,,37.3860,,,,,1.5883,,,,
2025-08-21,215604323352.0,33.3021,,,,,0.0097,10.0087,,,,,10.0756,,,,,36.8390,,,,,1.5650,,,,
