date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-03-11,144122644393.2,5.0384,,,,,5.2877,,,,,0.0052,6.0989,,,,,37.6932,,,,,34.6602,,,,
2026-03-10,143845242977.92,5.0287,,,,,5.2776,,,,,0.0052,6.0872,,,,,37.6207,,,,,34.5935,,,,
2026-03-09,141474721792.8,4.9458,,,,,5.1906,,,,,0.0053,5.9869,,,,,37.0007,,,,,34.0234,,,,
2026-03-06,145068331036.2,5.0715,,,,,5.3224,,,,,0.0051,6.1389,,,,,37.9406,,,,,34.8876,,,,
2026-03-05,143958725375.08,5.0327,,,,,5.2817,,,,,0.0052,6.0920,,,,,37.6503,,,,,34.6208,,,,
2026-03-04,143139130284.48,5.0040,,,,,5.2517,,,,,0.0052,6.0573,,,,,37.4360,,,,,34.4237,,,,
2026-03-03,146707521217.4,5.1288,,,,,5.3826,,,,,0.0051,6.2083,,,,,38.3693,,,,,35.2819,,,,
2026-03-02,149960683269.32,5.2425,,,,,5.5019,,,,,0.0050,6.3460,,,,,39.2201,,,,,36.0642,,,,
2026-02-27,155092609452.0,5.4219,,,,,5.6902,,,,,0.0048,6.5631,,,,,40.5623,,,,,37.2984,,,,
2026-02-26,154588243242.4,5.4043,,,,,5.6717,,,,,0.0048,6.5418,,,,,40.4303,,,,,37.1771,,,,
2026-02-25,148586285348.16,5.1944,,,,,5.4515,,,,,0.0050,6.2878,,,,,38.8606,,,,,35.7337,,,,
2026-02-24,147880172654.72,5.1698,,,,,5.4256,,,,,0.0050,6.2579,,,,,38.6759,,,,,35.5639,,,,
2026-02-13,146039235989.68,5.1054,,,,,5.3581,,,,,0.0051,6.1800,,,,,38.1945,,,,,35.1211,,,,
2026-02-12,147590162084.2,5.1596,,,,,5.4150,,,,,0.0051,6.2456,,,,,38.6001,,,,,35.4941,,,,
2026-02-11,147892781809.96,5.1702,,,,,5.4261,,,,,0.0050,6.2584,,,,,38.6792,,,,,35.5669,,,,
2026-02-10,147960966202.25,5.1726,,,,,5.4286,,,,,0.0050,6.2613,,,,,38.6971,,,,,35.5833,,,,
2026-02-09,146931279430.75,5.1366,,,,,5.3908,,,,,0.0051,6.2178,,,,,38.4278,,,,,35.3357,,,,
2026-02-06,145600220921.25,5.0900,,,,,5.3419,,,,,0.0051,6.1614,,,,,38.0797,,,,,35.0156,,,,
2026-02-05,147709823087.25,5.1638,,,,,5.4193,,,,,0.0051,6.2507,,,,,38.6314,,,,,35.5229,,,,
2026-02-04,147282879791.75,5.1489,,,,,5.4037,,,,,0.0051,6.2326,,,,,38.5197,,,,,35.4202,,,,
2026-02-03,148714395547.25,5.1989,,,,,5.4562,,,,,0.0050,6.2932,,,,,38.8941,,,,,35.7645,,,,
2026-02-02,148111652071.25,5.1778,,,,,5.4341,,,,,0.0050,6.2677,,,,,38.7365,,,,,35.6195,,,,
2026-01-30,152192727690.0,5.3205,,,,,5.5838,,,,,0.0049,6.4404,,,,,39.8038,,,,,36.6010,,,,
2026-01-29,154302329856.0,5.3943,,,,,5.6612,,,,,0.0048,6.5297,,,,,40.3556,,,,,37.1083,,,,
2026-01-28,160832050846.0,5.6225,,,,,5.9008,,,,,0.0046,6.8060,,,,,42.0633,,,,,38.6787,,,,
2026-01-27,156788646694.5,5.4812,,,,,5.7524,,,,,0.0048,6.6349,,,,,41.0058,,,,,37.7063,,,,
2026-01-26,156487274956.5,5.4706,,,,,5.7414,,,,,0.0048,6.6221,,,,,40.9270,,,,,37.6338,,,,
2026-01-23,162489595405.0,5.6805,,,,,5.9616,,,,,0.0046,6.8762,,,,,42.4968,,,,,39.0773,,,,
2026-01-22,161786394683.0,5.6559,,,,,5.9358,,,,,0.0046,6.8464,,,,,42.3129,,,,,38.9082,,,,
2026-01-21,163770425291.5,5.7253,,,,,6.0086,,,,,0.0046,6.9304,,,,,42.8318,,,,,39.3853,,,,
2026-01-20,161974752019.25,5.6625,,,,,5.9427,,,,,0.0046,6.8544,,,,,42.3622,,,,,38.9535,,,,
2026-01-19,161886851929.0,5.6594,,,,,5.9395,,,,,0.0046,6.8506,,,,,42.3392,,,,,38.9324,,,,
2026-01-16,164285268677.25,5.7433,,,,,6.0275,,,,,0.0045,6.9521,,,,,42.9665,,,,,39.5091,,,,
2026-01-15,161321779920.25,5.6397,,,,,5.9188,,,,,0.0046,6.8267,,,,,42.1914,,,,,38.7965,,,,
2026-01-14,160367436083.25,5.6063,,,,,5.8837,,,,,0.0047,6.7863,,,,,41.9418,,,,,38.5669,,,,
2026-01-13,161208765518.5,5.6357,,,,,5.9146,,,,,0.0046,6.8219,,,,,42.1619,,,,,38.7693,,,,
2026-01-12,167700815041.25,5.8627,,,,,6.1528,,,,,0.0045,7.0967,,,,,43.8598,,,,,40.3306,,,,
2026-01-09,159107620601.28,5.5623,,,,,5.8375,,,,,0.0047,6.7330,,,,,41.6123,,,,,38.2640,,,,
2026-01-08,159518938963.54,5.5766,,,,,5.8526,,,,,0.0047,6.7504,,,,,41.7199,,,,,38.3629,,,,
2026-01-07,156688100823.28,5.4777,,,,,5.7488,,,,,0.0048,6.6306,,,,,40.9795,,,,,37.6821,,,,
2026-01-06,158357569470.1,5.5360,,,,,5.8100,,,,,0.0047,6.7013,,,,,41.4162,,,,,38.0836,,,,
2026-01-05,155744488109.86,5.4447,,,,,5.7141,,,,,0.0048,6.5907,,,,,40.7327,,,,,37.4552,,,,
2025-12-31,152308770025.1,5.3246,,,,,5.5881,,,,,0.0049,6.4453,,,,,39.8342,,,,,36.6289,,,,
2025-12-30,153352439753.2,5.3611,,,,,5.6813,,,,,0.0049,6.5627,,,,,40.1071,,,,,36.8799,,,,
2025-12-29,153497568245.08,5.3661,,,,,5.6867,,,,,0.0049,6.5689,,,,,40.1451,,,,,36.9148,,,,
2025-12-26,155819624115.16,5.4473,,,,,5.7727,,,,,0.0048,6.6682,,,,,40.7524,,,,,37.4732,,,,
2025-12-25,153751543105.87,5.3750,,,,,5.6961,,,,,0.0049,6.5797,,,,,40.2115,,,,,36.9759,,,,
2025-12-24,152989618523.5,5.3484,,,,,5.6678,,,,,0.0049,6.5471,,,,,40.0123,,,,,36.7926,,,,
2025-12-23,151405299153.81,5.2930,,,,,5.6092,,,,,0.0049,6.4793,,,,,39.5979,,,,,36.4116,,,,
2025-12-22,152022095244.3,5.3146,,,,,5.6320,,,,,0.0049,6.5057,,,,,39.7592,,,,,36.5600,,,,
2025-12-19,150425681833.62,5.2587,,,,,5.5729,,,,,0.0050,6.4374,,,,,39.3417,,,,,36.1760,,,,
2025-12-18,148756704177.0,5.2004,,,,,5.5110,,,,,0.0050,6.3660,,,,,38.9052,,,,,35.7747,,,,
2025-12-17,152070471408.26,5.3162,,,,,5.6338,,,,,0.0049,6.5078,,,,,39.7719,,,,,36.5716,,,,
2025-12-16,150933631555.2,5.2765,,,,,5.5917,,,,,0.0049,6.4591,,,,,39.4745,,,,,36.2982,,,,
2025-12-15,150365211628.67,5.2566,,,,,5.5706,,,,,0.0050,6.4348,,,,,39.3259,,,,,36.1615,,,,
2025-12-12,153013806605.48,5.3492,,,,,5.6687,,,,,0.0049,6.5482,,,,,40.0186,,,,,36.7985,,,,
2025-12-11,147269137135.23,5.1484,,,,,5.4559,,,,,0.0051,6.3023,,,,,38.5161,,,,,35.4169,,,,
2025-12-10,149603287046.3,5.2300,,,,,5.5424,,,,,0.0050,6.4022,,,,,39.1266,,,,,35.9783,,,,
2025-12-09,145164774002.97,5.0748,,,,,5.3780,,,,,0.0051,6.2123,,,,,37.9658,,,,,34.9108,,,,
2025-12-08,146313707897.02,5.1150,,,,,5.4205,,,,,0.0051,6.2614,,,,,38.2663,,,,,35.1871,,,,
2025-12-05,145104303798.02,5.0727,,,,,5.3757,,,,,0.0051,6.2097,,,,,37.9500,,,,,34.8963,,,,
2025-12-04,144523789830.5,5.0524,,,,,5.3542,,,,,0.0052,6.1848,,,,,37.7981,,,,,34.7567,,,,
2025-12-03,144100498395.85,5.0376,,,,,5.3385,,,,,0.0052,6.1667,,,,,37.6874,,,,,34.6549,,,,
2025-12-02,146434648306.92,5.1192,,,,,5.4250,,,,,0.0051,6.2666,,,,,38.2979,,,,,35.2162,,,,
2025-12-01,146700717208.7,5.1285,,,,,5.4349,,,,,0.0051,6.2780,,,,,38.3675,,,,,35.2802,,,,
2025-11-28,144487507707.53,5.0511,,,,,5.3529,,,,,0.0052,6.1833,,,,,37.7886,,,,,34.7480,,,,
2025-11-27,144100498395.85,5.0376,,,,,5.3385,,,,,0.0052,6.1667,,,,,37.6874,,,,,34.6549,,,,
2025-11-26,141391433214.09,4.9429,,,,,5.2382,,,,,0.0053,6.0508,,,,,36.9789,,,,,34.0034,,,,
2025-11-25,141572843828.94,4.9493,,,,,5.2449,,,,,0.0053,6.0586,,,,,37.0264,,,,,34.0470,,,,
2025-11-24,141270492804.19,4.9387,,,,,5.2337,,,,,0.0053,6.0456,,,,,36.9473,,,,,33.9743,,,,
2025-11-21,140194123156.08,4.9011,,,,,5.1027,,,,,0.0053,5.8783,,,,,36.6658,,,,,33.7154,,,,
2025-11-20,143374855936.45,5.0123,,,,,5.2184,,,,,0.0052,6.0116,,,,,37.4976,,,,,34.4804,,,,
2025-11-19,145128491880.0,5.0736,,,,,5.2823,,,,,0.0051,6.0851,,,,,37.9563,,,,,34.9021,,,,
2025-11-18,147910121307.7,5.1708,,,,,5.3835,,,,,0.0050,6.2018,,,,,38.6838,,,,,35.5711,,,,
2025-11-17,146724905290.68,5.1294,,,,,5.3404,,,,,0.0051,6.1521,,,,,38.3738,,,,,35.2860,,,,
2025-11-14,146889122485.12,5.1351,,,,,5.3463,,,,,0.0051,6.1590,,,,,38.4168,,,,,35.3255,,,,
2025-11-13,149917142339.24,5.2410,,,,,5.4565,,,,,0.0050,6.2859,,,,,39.2087,,,,,36.0537,,,,
2025-11-12,149699993505.08,5.2334,,,,,5.4486,,,,,0.0050,6.2768,,,,,39.1519,,,,,36.0015,,,,
2025-11-11,149350142605.6,5.2211,,,,,5.4359,,,,,0.0050,6.2622,,,,,39.0604,,,,,35.9174,,,,
2025-11-10,152124822153.2,5.3181,,,,,5.5369,,,,,0.0049,6.3785,,,,,39.7861,,,,,36.5847,,,,
2025-11-07,151726715957.24,5.3042,,,,,5.5224,,,,,0.0049,6.3618,,,,,39.6820,,,,,36.4889,,,,
2025-11-06,153934395771.2,5.3814,,,,,5.6028,,,,,0.0049,6.4544,,,,,40.2593,,,,,37.0199,,,,
2025-11-05,151943864791.4,5.3118,,,,,5.5303,,,,,0.0049,6.3709,,,,,39.7387,,,,,36.5412,,,,
2025-11-04,152969289841.6,5.3477,,,,,5.5676,,,,,0.0049,6.4139,,,,,40.0069,,,,,36.7878,,,,
2025-11-03,156298905298.72,5.4641,,,,,5.6888,,,,,0.0048,6.5535,,,,,40.8777,,,,,37.5885,,,,
2025-10-31,157686245072.52,5.5126,,,,,5.7393,,,,,0.0047,6.6117,,,,,41.2406,,,,,37.9221,,,,
2025-10-30,159664712228.2,5.5817,,,,,5.8113,,,,,0.0047,6.6946,,,,,41.7580,,,,,38.3979,,,,
2025-10-29,163187348871.24,5.7049,,,,,5.9395,,,,,0.0046,6.8423,,,,,42.6793,,,,,39.2451,,,,
2025-10-28,164767709830.96,5.9709,,,,,6.3389,,,,,0.0031,7.3677,,,,,45.3188,,,,,41.3562,,,,
2025-10-27,160895222288.44,5.8306,,,,,6.1899,,,,,0.0031,7.1945,,,,,44.2537,,,,,40.3842,,,,
2025-10-24,159990435479.44,5.7978,,,,,6.1551,,,,,0.0032,7.1541,,,,,44.0048,,,,,40.1571,,,,
2025-10-23,155985245871.6,5.6527,,,,,6.0010,,,,,0.0032,6.9750,,,,,42.9032,,,,,39.1519,,,,
2025-10-22,155635394972.12,5.6400,,,,,5.9875,,,,,0.0032,6.9593,,,,,42.8070,,,,,39.0640,,,,
2025-10-21,156612564725.84,5.6754,,,,,6.0251,,,,,0.0032,7.0030,,,,,43.0758,,,,,39.3093,,,,
2025-10-20,153451842806.4,5.5608,,,,,5.9035,,,,,0.0033,6.8617,,,,,42.2064,,,,,38.5160,,,,
2025-10-17,153536289575.24,5.5639,,,,,5.9068,,,,,0.0033,6.8655,,,,,42.2297,,,,,38.5372,,,,
2025-10-16,160135201368.88,5.8030,,,,,6.1607,,,,,0.0032,7.1605,,,,,44.0447,,,,,40.1935,,,,
2025-10-15,161522541142.68,5.8533,,,,,6.2140,,,,,0.0031,7.2226,,,,,44.4262,,,,,40.5417,,,,
2025-10-14,158856436012.16,5.7567,,,,,6.1115,,,,,0.0032,7.1034,,,,,43.6929,,,,,39.8725,,,,
2025-10-13,166866815227.84,6.0470,,,,,6.4196,,,,,0.0030,7.4615,,,,,45.8962,,,,,41.8831,,,,
2025-10-10,171089153669.84,6.2000,,,,,6.5821,,,,,0.0029,7.6504,,,,,47.0575,,,,,42.9429,,,,
2025-10-09,180981489448.24,6.5585,,,,,6.9626,,,,,0.0028,8.0927,,,,,49.7784,,,,,45.4258,,,,
2025-09-30,182368829222.04,6.6088,,,,,7.0160,,,,,0.0028,8.1547,,,,,50.1600,,,,,45.7741,,,,
2025-09-29,180841287220.75,6.5534,,,,,6.9662,,,,,0.0028,8.0985,,,,,49.7398,,,,,45.3906,,,,
2025-09-26,182143778652.55,6.6006,,,,,7.0163,,,,,0.0028,8.1568,,,,,50.0981,,,,,45.7176,,,,
2025-09-25,181709614841.95,6.5849,,,,,6.9996,,,,,0.0028,8.1374,,,,,49.9786,,,,,45.6086,,,,
2025-09-24,179213172931.0,6.4944,,,,,6.9035,,,,,0.0028,8.0256,,,,,49.2920,,,,,44.9820,,,,
2025-09-23,172459513655.0,6.2497,,,,,6.6433,,,,,0.0029,7.7231,,,,,47.4344,,,,,43.2868,,,,
2025-09-22,176451408691.35,6.3943,,,,,6.7971,,,,,0.0029,7.9019,,,,,48.5324,,,,,44.2888,,,,
2025-09-19,171856508362.5,6.2278,,,,,6.6201,,,,,0.0029,7.6961,,,,,47.2686,,,,,43.1355,,,,
2025-09-18,173967026886.25,6.3043,,,,,6.7014,,,,,0.0029,7.7906,,,,,47.8491,,,,,43.6652,,,,
2025-09-17,172411273231.6,6.2479,,,,,6.6414,,,,,0.0029,7.7210,,,,,47.4212,,,,,43.2747,,,,
2025-09-16,170228394072.75,6.1688,,,,,6.5574,,,,,0.0030,7.6232,,,,,46.8208,,,,,42.7268,,,,
2025-09-15,167104826657.6,6.0556,,,,,6.4370,,,,,0.0030,7.4833,,,,,45.9616,,,,,41.9428,,,,
2025-09-12,164017439560.0,5.9437,,,,,6.3181,,,,,0.0031,7.3451,,,,,45.1125,,,,,41.1679,,,,
2025-09-11,162811428975.0,5.9000,,,,,6.2716,,,,,0.0031,7.2911,,,,,44.7808,,,,,40.8652,,,,
2025-09-10,158240648857.85,5.7344,,,,,6.0956,,,,,0.0032,7.0864,,,,,43.5236,,,,,39.7180,,,,
2025-09-09,158831594044.5,5.7558,,,,,6.1183,,,,,0.0032,7.1128,,,,,43.6861,,,,,39.8663,,,,
2025-09-08,163945078924.9,5.9411,,,,,6.3153,,,,,0.0031,7.3418,,,,,45.0926,,,,,41.1497,,,,
2025-09-05,159193397220.0,5.7689,,,,,6.1323,,,,,0.0032,7.1290,,,,,43.7856,,,,,39.9571,,,,
2025-09-04,155141201654.4,5.6221,,,,,5.9762,,,,,0.0033,6.9476,,,,,42.6711,,,,,38.9400,,,,
2025-09-03,164017439560.0,5.9437,,,,,6.3181,,,,,0.0031,7.3451,,,,,45.1125,,,,,41.1679,,,,
2025-09-02,166308859671.5,6.0268,,,,,6.4064,,,,,0.0030,7.4477,,,,,45.7427,,,,,41.7430,,,,
2025-09-01,175112736942.0,6.3458,,,,,6.7455,,,,,0.0029,7.8419,,,,,48.1642,,,,,43.9528,,,,
2025-08-29,172736896089.55,6.5039,,,,,6.9801,,,,,0.0029,8.1804,,,,,51.7355,,,,,47.5673,,,,
2025-08-28,172326852490.65,6.4885,,,,,6.9635,,,,,0.0029,8.1610,,,,,51.6127,,,,,47.4544,,,,
2025-08-27,168045514913.9,6.3273,,,,,6.7905,,,,,0.0030,7.9583,,,,,50.3304,,,,,46.2754,,,,
2025-08-26,171977109421.0,6.4753,,,,,6.9494,,,,,0.0029,8.1445,,,,,51.5079,,,,,47.3581,,,,
2025-08-25,165319930991.8,6.2246,,,,,6.6804,,,,,0.0031,7.8292,,,,,49.5141,,,,,45.5249,,,,
2025-08-22,165018428345.55,6.2133,,,,,6.6682,,,,,0.0031,7.8149,,,,,49.4238,,,,,45.4418,,,,
2025-08-21,156576354250.55,5.8954,,,,,6.3270,,,,,0.0032,7.4151,,,,,46.8953,,,,,43.1171,,,,
