date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-06-15,832555274814.82,13.4958,,,,,2.2584,,,,,0.0192,14.0395,,,,,4.2201,,,,,4.2346,,,,
2026-06-12,773523888353.98,12.5389,,,,,2.0983,,,,,0.0206,13.0440,,,,,3.9208,,,,,3.9344,,,,
2026-06-11,726724230619.26,11.7803,,,,,1.9713,,,,,0.0219,12.2548,,,,,3.6836,,,,,3.6963,,,,
2026-06-10,736562795029.4,11.9398,,,,,1.9980,,,,,0.0217,12.4207,,,,,3.7335,,,,,3.7464,,,,
2026-06-09,757037645288.34,12.2717,,,,,2.0535,,,,,0.0211,12.7660,,,,,3.8373,,,,,3.8505,,,,
2026-06-08,745869545147.1,12.0906,,,,,2.0233,,,,,0.0214,12.5777,,,,,3.7807,,,,,3.7937,,,,
2026-06-05,787882874249.86,12.7717,,,,,2.1372,,,,,0.0202,13.2861,,,,,3.9936,,,,,4.0074,,,,
2026-06-04,806762281631.48,13.0777,,,,,2.1884,,,,,0.0198,13.6045,,,,,4.0893,,,,,4.1034,,,,
2026-06-03,831491646229.94,13.4786,,,,,2.2555,,,,,0.0192,14.0215,,,,,4.2147,,,,,4.2292,,,,
2026-06-02,839734767762.76,13.6122,,,,,2.2779,,,,,0.0190,14.1605,,,,,4.2565,,,,,4.2711,,,,
2026-06-01,802773674438.18,13.0130,,,,,2.1776,,,,,0.0199,13.5372,,,,,4.0691,,,,,4.0831,,,,
2026-05-29,809421353093.68,13.1208,,,,,2.1956,,,,,0.0197,13.6493,,,,,4.1028,,,,,4.1169,,,,
2026-05-28,816600846041.62,13.2372,,,,,2.2151,,,,,0.0195,13.7704,,,,,4.1392,,,,,4.1535,,,,
2026-05-27,840798396347.64,13.6294,,,,,2.2808,,,,,0.0190,14.1785,,,,,4.2619,,,,,4.2765,,,,
2026-05-26,874834511063.7999,14.1812,,,,,2.3731,,,,,0.0182,14.7524,,,,,4.4344,,,,,4.4497,,,,
2026-05-25,833618903399.7001,13.5130,,,,,2.2613,,,,,0.0191,14.0574,,,,,4.2255,,,,,4.2400,,,,
2026-05-22,823248524697.12,13.3449,,,,,2.2332,,,,,0.0194,13.8825,,,,,4.1729,,,,,4.1873,,,,
2026-05-21,797455531513.7799,12.9268,,,,,2.1632,,,,,0.0200,13.4476,,,,,4.0422,,,,,4.0561,,,,
2026-05-20,808091817362.58,13.0992,,,,,2.1920,,,,,0.0197,13.6269,,,,,4.0961,,,,,4.1102,,,,
2026-05-19,828566667621.52,13.4311,,,,,2.2476,,,,,0.0193,13.9722,,,,,4.1999,,,,,4.2143,,,,
2026-05-18,832289367668.6,13.4915,,,,,2.2577,,,,,0.0192,14.0350,,,,,4.2187,,,,,4.2333,,,,
2026-05-15,846648353564.48,13.7243,,,,,2.2966,,,,,0.0188,14.2771,,,,,4.2915,,,,,4.3063,,,,
2026-05-14,891320754129.4401,14.4484,,,,,2.4178,,,,,0.0179,15.0304,,,,,4.5179,,,,,4.5335,,,,
2026-05-13,921634168798.52,14.9398,,,,,2.5000,,,,,0.0173,15.5416,,,,,4.6716,,,,,4.6877,,,,
2026-05-12,919506911628.76,14.9053,,,,,2.4943,,,,,0.0173,15.5057,,,,,4.6608,,,,,4.6769,,,,
2026-05-11,911263790095.94,14.7717,,,,,2.4719,,,,,0.0175,15.3667,,,,,4.6190,,,,,4.6349,,,,
2026-05-08,925356868845.6,15.0001,,,,,2.5101,,,,,0.0172,15.6044,,,,,4.6905,,,,,4.7066,,,,
2026-05-07,916316025874.12,14.8536,,,,,2.4856,,,,,0.0174,15.4519,,,,,4.6446,,,,,4.6606,,,,
2026-05-06,909668347218.62,14.7458,,,,,2.4676,,,,,0.0175,15.3398,,,,,4.6109,,,,,4.6268,,,,
2026-04-30,885470796912.6,14.3536,,,,,2.4019,,,,,0.0180,14.9318,,,,,4.4883,,,,,4.5038,,,,
2026-04-29,907806997195.08,14.7156,,,,,2.4625,,,,,0.0176,15.3084,,,,,4.6015,,,,,4.6174,,,,
2026-04-28,876164046794.9,14.2027,,,,,2.3767,,,,,0.0182,14.7748,,,,,4.4411,,,,,4.4564,,,,
2026-04-27,892384382714.3201,14.4656,,,,,2.4207,,,,,0.0179,15.0484,,,,,4.5233,,,,,4.5389,,,,
2026-04-24,912327418680.82,14.7889,,,,,2.4748,,,,,0.0175,15.3847,,,,,4.6244,,,,,4.6404,,,,
2026-04-23,914720582996.8,14.8277,,,,,2.4813,,,,,0.0174,15.4250,,,,,4.6365,,,,,4.6525,,,,
2026-04-22,944768090519.66,15.3148,,,,,2.5628,,,,,0.0169,15.9317,,,,,4.7889,,,,,4.8054,,,,
2026-04-21,948224883420.52,18.3135,,,,,2.7164,,,,,0.0168,18.6940,,,,,5.1511,,,,,5.1701,,,,
2026-04-20,925888683138.04,17.8821,,,,,2.6524,,,,,0.0172,18.2536,,,,,5.0298,,,,,5.0483,,,,
2026-04-17,923495518822.06,17.8359,,,,,2.6455,,,,,0.0173,18.2065,,,,,5.0168,,,,,5.0353,,,,
2026-04-16,938652226156.6,18.1286,,,,,2.6889,,,,,0.0170,18.5053,,,,,5.0991,,,,,5.1179,,,,
2026-04-15,928281847454.02,17.9283,,,,,2.6592,,,,,0.0172,18.3008,,,,,5.0428,,,,,5.0614,,,,
2026-04-14,925356868845.6,17.8719,,,,,2.6509,,,,,0.0172,18.2432,,,,,5.0269,,,,,5.0454,,,,
2026-04-13,895043454176.5199,17.2864,,,,,2.5640,,,,,0.0178,17.6455,,,,,4.8622,,,,,4.8801,,,,
2026-04-10,897436618492.5,17.3326,,,,,2.5709,,,,,0.0178,17.6927,,,,,4.8752,,,,,4.8932,,,,
2026-04-09,901425225685.8,17.4097,,,,,2.5823,,,,,0.0177,17.7713,,,,,4.8969,,,,,4.9149,,,,
2026-04-08,920570540213.64,17.7794,,,,,2.6371,,,,,0.0173,18.1488,,,,,5.0009,,,,,5.0193,,,,
2026-04-07,861805060899.0199,16.6444,,,,,2.4688,,,,,0.0185,16.9902,,,,,4.6816,,,,,4.6989,,,,
2026-04-03,875100418210.0199,16.9012,,,,,2.5069,,,,,0.0182,17.2524,,,,,4.7539,,,,,4.7714,,,,
2026-04-02,880684468280.6399,17.0091,,,,,2.5229,,,,,0.0181,17.3624,,,,,4.7844,,,,,4.8021,,,,
2026-04-01,908072904341.3,17.5380,,,,,2.6013,,,,,0.0176,17.9024,,,,,4.9332,,,,,4.9515,,,,
2026-03-31,870048182431.84,16.8037,,,,,2.4924,,,,,0.0183,17.1528,,,,,4.7267,,,,,4.7441,,,,
2026-03-30,871611452329.2,16.8338,,,,,2.4969,,,,,0.0183,17.1836,,,,,4.7352,,,,,4.7526,,,,
2026-03-27,863368635055.7998,16.6746,,,,,2.4733,,,,,0.0185,17.0211,,,,,4.6904,,,,,4.7077,,,,
2026-03-26,853264536462.6,16.4795,,,,,2.4443,,,,,0.0187,16.8219,,,,,4.6355,,,,,4.6526,,,,
2026-03-25,883842729573.6,17.0701,,,,,2.5319,,,,,0.0180,17.4247,,,,,4.8016,,,,,4.8193,,,,
2026-03-24,856189407108.0,16.5360,,,,,2.4527,,,,,0.0186,16.8795,,,,,4.6514,,,,,4.6686,,,,
2026-03-23,813114039421.1998,15.7041,,,,,2.3293,,,,,0.0196,16.0303,,,,,4.4174,,,,,4.4337,,,,
2026-03-20,841565053880.9999,18.4729,,,,,2.5701,,,,,0.0158,20.0031,,,,,5.0140,,,,,5.0587,,,,
2026-03-19,859380175084.7999,18.8639,,,,,2.6245,,,,,0.0154,20.4265,,,,,5.1202,,,,,5.1658,,,,
2026-03-18,928513481248.8,20.3815,,,,,2.8356,,,,,0.0143,22.0698,,,,,5.5320,,,,,5.5814,,,,
2026-03-17,927981686586.0,20.3698,,,,,2.8340,,,,,0.0143,22.0571,,,,,5.5289,,,,,5.5782,,,,
2026-03-16,923993226615.0,20.2822,,,,,2.8218,,,,,0.0144,21.9623,,,,,5.5051,,,,,5.5542,,,,
2026-03-13,951114754417.8,20.8776,,,,,2.9047,,,,,0.0140,22.6070,,,,,5.6667,,,,,5.7172,,,,
2026-03-12,977172692895.0,21.4496,,,,,2.9843,,,,,0.0136,23.2263,,,,,5.8220,,,,,5.8739,,,,
2026-03-11,990201662133.6,21.7356,,,,,3.0240,,,,,0.0134,23.5360,,,,,5.8996,,,,,5.9522,,,,
2026-03-10,987276791488.2,21.6714,,,,,3.0151,,,,,0.0134,23.4665,,,,,5.8822,,,,,5.9346,,,,
2026-03-09,967866286296.0,21.2453,,,,,2.9558,,,,,0.0137,23.0051,,,,,5.7665,,,,,5.8179,,,,
2026-03-06,986479099494.0,21.6538,,,,,3.0127,,,,,0.0135,23.4475,,,,,5.8774,,,,,5.9298,,,,
2026-03-05,1001635247383.8,21.9865,,,,,3.0590,,,,,0.0132,23.8078,,,,,5.9677,,,,,6.0209,,,,
2026-03-04,1009346269994.4,22.1558,,,,,3.0825,,,,,0.0131,23.9911,,,,,6.0136,,,,,6.0673,,,,
2026-03-03,1033277029820.3998,22.6811,,,,,3.1556,,,,,0.0128,24.5599,,,,,6.1562,,,,,6.2111,,,,
2026-03-02,1084063420117.8,23.7959,,,,,3.3107,,,,,0.0122,25.7670,,,,,6.4588,,,,,6.5164,,,,
2026-02-27,1051623945686.9998,23.0838,,,,,3.2116,,,,,0.0126,24.9960,,,,,6.2655,,,,,6.3214,,,,
2026-02-26,1046837793721.7998,22.9788,,,,,3.1970,,,,,0.0127,24.8822,,,,,6.2370,,,,,6.2926,,,,
2026-02-25,1053751124338.2,23.1305,,,,,3.2181,,,,,0.0126,25.0465,,,,,6.2782,,,,,6.3342,,,,
2026-02-24,1045508307064.7998,22.9496,,,,,3.1929,,,,,0.0127,24.8506,,,,,6.2291,,,,,6.2846,,,,
2026-02-13,1004560118029.1998,22.0507,,,,,3.0679,,,,,0.0132,23.8773,,,,,5.9851,,,,,6.0385,,,,
2026-02-12,1056941892315.0,23.2005,,,,,3.2279,,,,,0.0126,25.1224,,,,,6.2972,,,,,6.3534,,,,
2026-02-11,1049762664367.1996,23.0430,,,,,3.2059,,,,,0.0126,24.9517,,,,,6.2544,,,,,6.3102,,,,
2026-02-10,1031947543163.4,22.6519,,,,,3.1515,,,,,0.0129,24.5283,,,,,6.1483,,,,,6.2031,,,,
2026-02-09,1027161391198.2,22.5468,,,,,3.1369,,,,,0.0129,24.4145,,,,,6.1198,,,,,6.1743,,,,
2026-02-06,988872175476.6,21.7064,,,,,3.0200,,,,,0.0134,23.5044,,,,,5.8917,,,,,5.9442,,,,
2026-02-05,995785506093.0,21.8581,,,,,3.0411,,,,,0.0133,23.6687,,,,,5.9328,,,,,5.9857,,,,
2026-02-04,1041253949762.3998,22.8562,,,,,3.1800,,,,,0.0127,24.7495,,,,,6.2037,,,,,6.2591,,,,
2026-02-03,1031947543163.4,22.6519,,,,,3.1515,,,,,0.0129,24.5283,,,,,6.1483,,,,,6.2031,,,,
2026-02-02,973450130255.4,21.3679,,,,,2.9729,,,,,0.0136,23.1379,,,,,5.7998,,,,,5.8515,,,,
2026-01-30,1067311888239.6,23.4282,,,,,3.2595,,,,,0.0124,25.3689,,,,,6.3590,,,,,6.4157,,,,
2026-01-29,1155323904933.0,25.3601,,,,,3.5283,,,,,0.0115,27.4608,,,,,6.8834,,,,,6.9447,,,,
2026-01-28,1124745711821.9998,24.6889,,,,,3.4349,,,,,0.0118,26.7340,,,,,6.7012,,,,,6.7609,,,,
2026-01-27,1079809062815.3998,23.7025,,,,,3.2977,,,,,0.0123,25.6659,,,,,6.4335,,,,,6.4908,,,,
2026-01-26,1050294459030.0,23.0546,,,,,3.2076,,,,,0.0126,24.9644,,,,,6.2576,,,,,6.3134,,,,
2026-01-23,998710376738.4,21.9223,,,,,3.0500,,,,,0.0133,23.7383,,,,,5.9503,,,,,6.0033,,,,
2026-01-22,1001369350052.3998,21.9807,,,,,3.0581,,,,,0.0133,23.8015,,,,,5.9661,,,,,6.0193,,,,
2026-01-21,1013866524628.2,22.2550,,,,,3.0963,,,,,0.0131,24.0985,,,,,6.0406,,,,,6.0944,,,,
2026-01-20,992062943453.4,21.7764,,,,,3.0297,,,,,0.0134,23.5803,,,,,5.9107,,,,,5.9634,,,,
2026-01-19,990733456796.3998,21.7472,,,,,3.0257,,,,,0.0134,23.5487,,,,,5.9027,,,,,5.9554,,,,
2026-01-16,996317300755.7998,21.8698,,,,,3.0427,,,,,0.0133,23.6814,,,,,5.9360,,,,,5.9889,,,,
2026-01-15,1017057292605.0,22.3251,,,,,3.1061,,,,,0.0130,24.1744,,,,,6.0596,,,,,6.1136,,,,
2026-01-14,1023704725890.0,22.4710,,,,,3.1264,,,,,0.0130,24.3324,,,,,6.0992,,,,,6.1536,,,,
2026-01-13,1016791395273.6,22.3192,,,,,3.1052,,,,,0.0131,24.1680,,,,,6.0580,,,,,6.1120,,,,
2026-01-12,990733456796.3998,21.7472,,,,,3.0257,,,,,0.0134,23.5487,,,,,5.9027,,,,,5.9554,,,,
2026-01-09,989669867470.7998,21.7239,,,,,3.0224,,,,,0.0134,23.5234,,,,,5.8964,,,,,5.9490,,,,
2026-01-08,965207312981.9998,21.1869,,,,,2.9477,,,,,0.0137,22.9419,,,,,5.7507,,,,,5.8019,,,,
2026-01-07,976375000900.7998,21.4321,,,,,2.9818,,,,,0.0136,23.2074,,,,,5.8172,,,,,5.8691,,,,
2026-01-06,999773966064.0,21.9457,,,,,3.0533,,,,,0.0133,23.7635,,,,,5.9566,,,,,6.0097,,,,
2026-01-05,941276553156.0,20.6616,,,,,2.8746,,,,,0.0141,22.3731,,,,,5.6126,,,,,5.6627,,,,
2025-12-31,916548101335.7998,20.1188,,,,,2.7991,,,,,0.0145,21.7854,,,,,5.4652,,,,,5.5140,,,,
2025-12-30,888628881538.7999,19.5060,,,,,2.7138,,,,,0.0149,21.1217,,,,,5.2987,,,,,5.3460,,,,
2025-12-29,868154787020.9999,19.0566,,,,,2.6513,,,,,0.0153,20.6351,,,,,5.1766,,,,,5.2228,,,,
2025-12-26,891553752184.2,19.5702,,,,,2.7228,,,,,0.0149,21.1913,,,,,5.3161,,,,,5.3636,,,,
2025-12-25,851669152474.2,18.6947,,,,,2.6010,,,,,0.0156,20.2433,,,,,5.0783,,,,,5.1236,,,,
2025-12-24,859114277753.3999,18.8581,,,,,2.6237,,,,,0.0154,20.4202,,,,,5.1227,,,,,5.1684,,,,
2025-12-23,853264536462.6,18.7297,,,,,2.6058,,,,,0.0156,20.2812,,,,,5.0878,,,,,5.1332,,,,
2025-12-22,864964019044.2,18.9865,,,,,2.6416,,,,,0.0153,20.5593,,,,,5.1576,,,,,5.2036,,,,
2025-12-19,827472495316.7999,18.1635,,,,,2.5271,,,,,0.0160,19.6681,,,,,4.9340,,,,,4.9781,,,,
2025-12-18,823484035345.7998,18.0760,,,,,2.5149,,,,,0.0161,19.5733,,,,,4.9103,,,,,4.9541,,,,
2025-12-17,820448762905.7999,18.0094,,,,,2.5056,,,,,0.0162,19.5012,,,,,4.8922,,,,,4.9358,,,,
2025-12-16,805831114068.7999,17.6885,,,,,2.4610,,,,,0.0165,19.1537,,,,,4.8050,,,,,4.8479,,,,
2025-12-15,834800636309.3999,18.3244,,,,,2.5495,,,,,0.0159,19.8423,,,,,4.9777,,,,,5.0222,,,,
2025-12-12,842508123877.9999,18.4936,,,,,2.5730,,,,,0.0158,20.0255,,,,,5.0237,,,,,5.0685,,,,
2025-12-11,822840741806.3999,18.0619,,,,,2.5129,,,,,0.0161,19.5580,,,,,4.9064,,,,,4.9502,,,,
2025-12-10,817259457704.9999,17.9394,,,,,2.4959,,,,,0.0162,19.4254,,,,,4.8731,,,,,4.9166,,,,
2025-12-09,807957317535.9999,17.7352,,,,,2.4675,,,,,0.0164,19.2043,,,,,4.8177,,,,,4.8607,,,,
2025-12-08,837192615209.9999,18.3769,,,,,2.5568,,,,,0.0159,19.8992,,,,,4.9920,,,,,5.0365,,,,
2025-12-05,832408657408.7999,18.2719,,,,,2.5421,,,,,0.0159,19.7855,,,,,4.9635,,,,,5.0078,,,,
2025-12-04,815664805104.6,17.9044,,,,,2.4910,,,,,0.0163,19.3875,,,,,4.8636,,,,,4.9070,,,,
2025-12-03,796528973899.7998,17.4843,,,,,2.4326,,,,,0.0167,18.9326,,,,,4.7495,,,,,4.7919,,,,
2025-12-02,790416138931.5999,17.3501,,,,,2.4139,,,,,0.0168,18.7873,,,,,4.7131,,,,,4.7551,,,,
2025-12-01,798920952800.3999,17.5368,,,,,2.4399,,,,,0.0166,18.9895,,,,,4.7638,,,,,4.8063,,,,
2025-11-28,759586188657.1998,16.6734,,,,,2.3198,,,,,0.0175,18.0545,,,,,4.5293,,,,,4.5697,,,,
2025-11-27,760117739523.9999,16.6851,,,,,2.3214,,,,,0.0175,18.0672,,,,,4.5324,,,,,4.5729,,,,
2025-11-26,755599557156.1998,16.5859,,,,,2.3076,,,,,0.0176,17.9598,,,,,4.5055,,,,,4.5457,,,,
2025-11-25,757725760623.3999,16.6326,,,,,2.3141,,,,,0.0175,18.0103,,,,,4.5182,,,,,4.5585,,,,
2025-11-24,744171213519.9999,16.3350,,,,,2.2727,,,,,0.0178,17.6881,,,,,4.4373,,,,,4.4769,,,,
2025-11-21,747892069587.5999,16.4167,,,,,2.2840,,,,,0.0177,17.7766,,,,,4.4595,,,,,4.4993,,,,
2025-11-20,769951430559.7998,16.9009,,,,,2.3514,,,,,0.0172,18.3009,,,,,4.5911,,,,,4.6320,,,,
2025-11-19,779785121595.5999,17.1168,,,,,2.3814,,,,,0.0170,18.5347,,,,,4.6497,,,,,4.6912,,,,
2025-11-18,754536455422.5999,16.5626,,,,,2.3043,,,,,0.0176,17.9345,,,,,4.4991,,,,,4.5393,,,,
2025-11-17,770217205993.2,16.9068,,,,,2.3522,,,,,0.0172,18.3072,,,,,4.5926,,,,,4.6336,,,,
2025-11-14,797857851066.7999,17.5135,,,,,2.4366,,,,,0.0166,18.9642,,,,,4.7575,,,,,4.7999,,,,
2025-11-13,816462131404.7998,17.9219,,,,,2.4934,,,,,0.0163,19.4064,,,,,4.8684,,,,,4.9118,,,,
2025-11-12,783771753096.5999,17.2043,,,,,2.3936,,,,,0.0169,18.6294,,,,,4.6735,,,,,4.7152,,,,
2025-11-11,787226833730.7999,17.2801,,,,,2.4042,,,,,0.0169,18.7115,,,,,4.6941,,,,,4.7360,,,,
2025-11-10,801844482567.7999,17.6010,,,,,2.4488,,,,,0.0166,19.0590,,,,,4.7812,,,,,4.8239,,,,
2025-11-07,801844482567.7999,17.6010,,,,,2.4488,,,,,0.0166,19.0590,,,,,4.7812,,,,,4.8239,,,,
2025-11-06,789353037197.9999,17.3268,,,,,2.4107,,,,,0.0168,18.7621,,,,,4.7067,,,,,4.7487,,,,
2025-11-05,771014532293.3999,16.9243,,,,,2.3547,,,,,0.0172,18.3262,,,,,4.5974,,,,,4.6384,,,,
2025-11-04,764901697325.2,16.7901,,,,,2.3360,,,,,0.0173,18.1809,,,,,4.5609,,,,,4.6016,,,,
2025-11-03,797327218200.0,17.5018,,,,,2.4350,,,,,0.0166,18.9516,,,,,4.7543,,,,,4.7967,,,,
2025-10-31,810616005170.0,17.7935,,,,,2.4756,,,,,0.0164,19.2675,,,,,4.8335,,,,,4.8767,,,,
2025-10-30,826828325273.4,18.1494,,,,,2.5251,,,,,0.0161,19.6528,,,,,4.9302,,,,,4.9742,,,,
2025-10-29,822841689182.4,18.0619,,,,,2.5129,,,,,0.0161,19.5581,,,,,4.9064,,,,,4.9502,,,,
2025-10-28,793074806369.6,17.4085,,,,,2.4220,,,,,0.0167,18.8505,,,,,4.7289,,,,,4.7711,,,,
2025-10-27,823904792140.0,18.0852,,,,,2.5162,,,,,0.0161,19.5833,,,,,4.9128,,,,,4.9566,,,,
2025-10-24,798124545418.2001,17.5193,,,,,2.4374,,,,,0.0166,18.9706,,,,,4.7590,,,,,4.8015,,,,
2025-10-23,789353946018.0,17.3268,,,,,2.4107,,,,,0.0168,18.7621,,,,,4.7068,,,,,4.7488,,,,
2025-10-22,782709552533.0,17.1810,,,,,2.3904,,,,,0.0170,18.6042,,,,,4.6671,,,,,4.7088,,,,
2025-10-21,798656096897.0,17.5310,,,,,2.4391,,,,,0.0166,18.9832,,,,,4.7622,,,,,4.8047,,,,
2025-10-20,790682824715.0,17.3560,,,,,2.4147,,,,,0.0168,18.7937,,,,,4.7147,,,,,4.7567,,,,
2025-10-17,801845405769.8,19.9177,,,,,2.4985,,,,,0.0166,21.1661,,,,,5.9563,,,,,6.0227,,,,
2025-10-16,809818677951.7999,20.1157,,,,,2.5233,,,,,0.0164,21.3765,,,,,6.0155,,,,,6.0826,,,,
2025-10-15,823373240661.2,20.4524,,,,,2.5656,,,,,0.0161,21.7343,,,,,6.1162,,,,,6.1844,,,,
2025-10-14,784038431230.0,19.4754,,,,,2.4430,,,,,0.0169,20.6960,,,,,5.8240,,,,,5.8889,,,,
2025-10-13,831878064322.0,20.6637,,,,,2.5921,,,,,0.0160,21.9588,,,,,6.1794,,,,,6.2482,,,,
2025-10-10,820449707527.8,20.3798,,,,,2.5564,,,,,0.0162,21.6572,,,,,6.0945,,,,,6.1624,,,,
2025-10-09,860581844177.2001,21.3767,,,,,2.6815,,,,,0.0154,22.7165,,,,,6.3926,,,,,6.4638,,,,
2025-09-30,782443776793.6,19.4357,,,,,2.4380,,,,,0.0170,20.6539,,,,,5.8122,,,,,5.8769,,,,
2025-09-29,764636802253.8,18.9934,,,,,2.3825,,,,,0.0174,20.1839,,,,,5.4435,,,,,5.5016,,,,
2025-09-26,728225525956.0,18.0890,,,,,2.2691,,,,,0.0182,19.2227,,,,,5.1843,,,,,5.2396,,,,
2025-09-25,724770441343.8,18.0032,,,,,2.2583,,,,,0.0183,19.1315,,,,,5.1597,,,,,5.2147,,,,
2025-09-24,689156492264.2,17.1185,,,,,2.1473,,,,,0.0193,18.1915,,,,,4.9061,,,,,4.9585,,,,
2025-09-23,686232959130.8,17.0459,,,,,2.1382,,,,,0.0193,18.1143,,,,,4.8853,,,,,4.9375,,,,
2025-09-22,674273050857.8,16.7488,,,,,2.1010,,,,,0.0197,17.7986,,,,,4.8002,,,,,4.8514,,,,
2025-09-19,664970899978.8,16.5177,,,,,2.0720,,,,,0.0200,17.5530,,,,,4.7340,,,,,4.7845,,,,
2025-09-18,649024355614.8,16.1216,,,,,2.0223,,,,,0.0204,17.1321,,,,,4.6204,,,,,4.6697,,,,
2025-09-17,666299778675.8,16.5508,,,,,2.0761,,,,,0.0199,17.5881,,,,,4.7434,,,,,4.7940,,,,
2025-09-16,672944172160.8,16.7158,,,,,2.0968,,,,,0.0197,17.7635,,,,,4.7907,,,,,4.8419,,,,
2025-09-15,677728135470.0,16.8346,,,,,2.1117,,,,,0.0196,17.8898,,,,,4.8248,,,,,4.8763,,,,
2025-09-12,681714771561.0,16.9337,,,,,2.1242,,,,,0.0195,17.9950,,,,,4.8532,,,,,4.9050,,,,
2025-09-11,683309425997.4,16.9733,,,,,2.1291,,,,,0.0194,18.0371,,,,,4.8645,,,,,4.9164,,,,
2025-09-10,669223311809.2,16.6234,,,,,2.0852,,,,,0.0198,17.6653,,,,,4.7642,,,,,4.8151,,,,
2025-09-09,669489087548.6,16.6300,,,,,2.0861,,,,,0.0198,17.6723,,,,,4.7661,,,,,4.8170,,,,
2025-09-08,654871421881.6,16.2669,,,,,2.0405,,,,,0.0203,17.2864,,,,,4.6621,,,,,4.7118,,,,
2025-09-05,671615293463.8,16.6828,,,,,2.0927,,,,,0.0198,17.7284,,,,,4.7813,,,,,4.8323,,,,
2025-09-04,634406689947.8,15.7585,,,,,1.9767,,,,,0.0209,16.7462,,,,,4.5164,,,,,4.5646,,,,
2025-09-03,662844694063.6,16.4649,,,,,2.0654,,,,,0.0200,17.4969,,,,,4.7188,,,,,4.7692,,,,
2025-09-02,648758579875.4,16.1150,,,,,2.0215,,,,,0.0205,17.1251,,,,,4.6185,,,,,4.6678,,,,
2025-09-01,647961252657.2,16.0952,,,,,2.0190,,,,,0.0205,17.1040,,,,,4.6129,,,,,4.6621,,,,
2025-08-29,613410406535.2,15.2370,,,,,1.9113,,,,,0.0216,16.1920,,,,,4.3669,,,,,4.4135,,,,
2025-08-28,598526965128.8,14.8673,,,,,1.8650,,,,,0.0222,15.7991,,,,,4.2609,,,,,4.3064,,,,
2025-08-27,598792740868.2001,14.8739,,,,,1.8658,,,,,0.0222,15.8062,,,,,4.2628,,,,,4.3083,,,,
2025-08-26,595071880516.6,16.5498,,,,,1.9334,,,,,0.0169,16.8338,,,,,4.3467,,,,,4.3686,,,,
2025-08-25,590287917207.4,16.4167,,,,,1.9178,,,,,0.0171,16.6985,,,,,4.3118,,,,,4.3335,,,,
