date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-04,549957903580.99,1.2573,,,,,18.8957,,,,,0.0453,17.3649,,,,,1.1743,,,,,1.0560,,,,
2026-06-03,560023688837.88,1.2803,,,,,19.2415,,,,,0.0444,17.6828,,,,,1.1958,,,,,1.0753,,,,
2026-06-02,563683974385.84,1.2887,,,,,19.3673,,,,,0.0442,17.7983,,,,,1.2036,,,,,1.0823,,,,
2026-06-01,553618189128.95,1.2657,,,,,19.0215,,,,,0.0450,17.4805,,,,,1.1821,,,,,1.0630,,,,
2026-05-29,553618189128.95,1.2657,,,,,19.0215,,,,,0.0450,17.4805,,,,,1.1821,,,,,1.0630,,,,
2026-05-28,546297618033.03,1.2489,,,,,18.7699,,,,,0.0456,17.2494,,,,,1.1665,,,,,1.0489,,,,
2026-05-27,545382546646.04,1.2468,,,,,18.7385,,,,,0.0456,17.2205,,,,,1.1645,,,,,1.0472,,,,
2026-05-26,556363403289.92,1.2719,,,,,19.1158,,,,,0.0447,17.5672,,,,,1.1880,,,,,1.0683,,,,
2026-05-25,560938760224.87,1.2824,,,,,19.2730,,,,,0.0444,17.7117,,,,,1.1977,,,,,1.0771,,,,
2026-05-22,562768902998.85,1.2866,,,,,19.3359,,,,,0.0442,17.7694,,,,,1.2017,,,,,1.0806,,,,
2026-05-21,581070330738.65,1.3284,,,,,19.9647,,,,,0.0428,18.3473,,,,,1.2407,,,,,1.1157,,,,
2026-05-20,609437543735.34,1.3933,,,,,20.9393,,,,,0.0408,19.2430,,,,,1.3013,,,,,1.1702,,,,
2026-05-19,651530827536.88,1.4895,,,,,22.3856,,,,,0.0382,20.5721,,,,,1.3912,,,,,1.2510,,,,
2026-05-18,624078685927.18,1.4267,,,,,21.4424,,,,,0.0399,19.7053,,,,,1.3326,,,,,1.1983,,,,
2026-05-15,579240187964.67,1.3242,,,,,19.9018,,,,,0.0430,18.2895,,,,,1.2368,,,,,1.1122,,,,
2026-05-14,572834688255.74,1.3096,,,,,19.6817,,,,,0.0435,18.0873,,,,,1.2231,,,,,1.0999,,,,
2026-05-13,568259331320.79,1.2991,,,,,19.5245,,,,,0.0438,17.9428,,,,,1.2134,,,,,1.0911,,,,
2026-05-12,560023688837.88,1.2803,,,,,19.2415,,,,,0.0444,17.6828,,,,,1.1958,,,,,1.0753,,,,
2026-05-11,561853831611.86,1.2845,,,,,19.3044,,,,,0.0443,17.7405,,,,,1.1997,,,,,1.0788,,,,
2026-05-08,553618189128.95,1.2657,,,,,19.0215,,,,,0.0450,17.4805,,,,,1.1821,,,,,1.0630,,,,
2026-05-07,548127760807.01,1.2531,,,,,18.8328,,,,,0.0454,17.3071,,,,,1.1704,,,,,1.0525,,,,
2026-05-06,544467475259.05,1.2447,,,,,18.7070,,,,,0.0457,17.1916,,,,,1.1626,,,,,1.0454,,,,
2026-04-30,551788046354.97,1.2615,,,,,18.9586,,,,,0.0451,17.4227,,,,,1.1782,,,,,1.0595,,,,
2026-04-29,552703117741.96,1.2636,,,,,18.9900,,,,,0.0450,17.4516,,,,,1.1802,,,,,1.0612,,,,
2026-04-28,547212689420.02,1.2510,,,,,18.8014,,,,,0.0455,17.2782,,,,,1.1684,,,,,1.0507,,,,
2026-04-27,548127760807.01,1.2531,,,,,18.8328,,,,,0.0454,17.3071,,,,,1.1704,,,,,1.0525,,,,
2026-04-24,540807189711.09,1.2364,,,,,18.5813,,,,,0.0460,17.0760,,,,,1.1548,,,,,1.0384,,,,
2026-04-23,545382546646.04,1.2686,,,,,17.4084,,,,,0.0456,16.4347,,,,,1.1835,,,,,1.0410,,,,
2026-04-22,542637332485.07,1.2622,,,,,17.3208,,,,,0.0459,16.3520,,,,,1.1775,,,,,1.0357,,,,
2026-04-21,549042832194.0,1.2771,,,,,17.5252,,,,,0.0453,16.5450,,,,,1.1914,,,,,1.0479,,,,
2026-04-20,534401690002.16,1.2430,,,,,17.0579,,,,,0.0466,16.1038,,,,,1.1597,,,,,1.0200,,,,
2026-04-17,537146904163.13,1.2494,,,,,17.1455,,,,,0.0463,16.1866,,,,,1.1656,,,,,1.0252,,,,
2026-04-16,535316761389.15,1.2452,,,,,17.0871,,,,,0.0465,16.1314,,,,,1.1616,,,,,1.0217,,,,
2026-04-15,533486618615.17,1.2409,,,,,17.0287,,,,,0.0467,16.0763,,,,,1.1577,,,,,1.0183,,,,
2026-04-14,529826333067.21,1.2324,,,,,16.9118,,,,,0.0470,15.9660,,,,,1.1497,,,,,1.0113,,,,
2026-04-13,530741404454.2,1.2345,,,,,16.9411,,,,,0.0469,15.9935,,,,,1.1517,,,,,1.0130,,,,
2026-04-10,529826333067.21,1.2324,,,,,16.9118,,,,,0.0470,15.9660,,,,,1.1497,,,,,1.0113,,,,
2026-04-09,525250976132.26,1.2218,,,,,16.7658,,,,,0.0474,15.8281,,,,,1.1398,,,,,1.0025,,,,
2026-04-08,529826333067.21,1.2324,,,,,16.9118,,,,,0.0470,15.9660,,,,,1.1497,,,,,1.0113,,,,
2026-04-07,526166047519.25,1.2239,,,,,16.7950,,,,,0.0473,15.8557,,,,,1.1418,,,,,1.0043,,,,
2026-04-03,521590690584.3,1.2132,,,,,16.6490,,,,,0.0477,15.7178,,,,,1.1319,,,,,0.9955,,,,
2026-04-02,519760547810.32,1.2090,,,,,16.5906,,,,,0.0479,15.6626,,,,,1.1279,,,,,0.9921,,,,
2026-04-01,520675619197.3101,1.2111,,,,,16.6198,,,,,0.0478,15.6902,,,,,1.1299,,,,,0.9938,,,,
2026-03-31,518845476423.33,1.2069,,,,,16.5613,,,,,0.0480,15.6351,,,,,1.1259,,,,,0.9903,,,,
2026-03-30,517930405036.34,1.2047,,,,,16.5321,,,,,0.0481,15.6075,,,,,1.1239,,,,,0.9886,,,,
2026-03-27,521590690584.3,1.2132,,,,,16.6490,,,,,0.0477,15.7178,,,,,1.1319,,,,,0.9955,,,,
2026-03-26,524335904745.27,1.2196,,,,,16.7366,,,,,0.0475,15.8005,,,,,1.1378,,,,,1.0008,,,,
2026-03-25,533486618615.17,1.2409,,,,,17.0287,,,,,0.0467,16.0763,,,,,1.1577,,,,,1.0183,,,,
2026-03-24,535316761389.15,1.2531,,,,,17.4067,,,,,0.0468,15.5224,,,,,1.1685,,,,,1.0180,,,,
2026-03-23,529826333067.21,1.2402,,,,,17.2282,,,,,0.0473,15.3632,,,,,1.1565,,,,,1.0075,,,,
2026-03-20,543552403872.0601,1.2723,,,,,17.6745,,,,,0.0461,15.7612,,,,,1.1865,,,,,1.0336,,,,
2026-03-19,559108617450.89,1.3088,,,,,18.1803,,,,,0.0448,16.2123,,,,,1.2204,,,,,1.0632,,,,
2026-03-18,555448331902.93,1.3002,,,,,18.0613,,,,,0.0451,16.1061,,,,,1.2124,,,,,1.0562,,,,
2026-03-17,558193546063.9,1.3066,,,,,18.1506,,,,,0.0449,16.1858,,,,,1.2184,,,,,1.0615,,,,
2026-03-16,559108617450.89,1.3088,,,,,18.1803,,,,,0.0448,16.2123,,,,,1.2204,,,,,1.0632,,,,
2026-03-13,565514117159.82,1.3237,,,,,18.3886,,,,,0.0443,16.3980,,,,,1.2344,,,,,1.0754,,,,
2026-03-12,549042832194.0,1.2852,,,,,17.8530,,,,,0.0456,15.9204,,,,,1.1985,,,,,1.0441,,,,
2026-03-11,549042832194.0,1.2852,,,,,17.8530,,,,,0.0456,15.9204,,,,,1.1985,,,,,1.0441,,,,
2026-03-10,544467475259.05,1.2745,,,,,17.7043,,,,,0.0460,15.7877,,,,,1.1885,,,,,1.0354,,,,
2026-03-09,549957903580.99,1.2873,,,,,17.8828,,,,,0.0456,15.9469,,,,,1.2005,,,,,1.0458,,,,
2026-03-06,546297618033.03,1.2788,,,,,17.7638,,,,,0.0459,15.8408,,,,,1.1925,,,,,1.0388,,,,
2026-03-05,543552403872.0601,1.2723,,,,,17.6745,,,,,0.0461,15.7612,,,,,1.1865,,,,,1.0336,,,,
2026-03-04,537146904163.13,1.2573,,,,,17.4662,,,,,0.0467,15.5755,,,,,1.1725,,,,,1.0214,,,,
2026-03-03,538061975550.12,1.2595,,,,,17.4960,,,,,0.0466,15.6020,,,,,1.1745,,,,,1.0232,,,,
2026-03-02,537146904163.13,1.2573,,,,,17.4662,,,,,0.0467,15.5755,,,,,1.1725,,,,,1.0214,,,,
2026-02-27,529826333067.21,1.2402,,,,,17.2282,,,,,0.0473,15.3632,,,,,1.1565,,,,,1.0075,,,,
2026-02-26,519760547810.32,1.2166,,,,,16.9009,,,,,0.0482,15.0713,,,,,1.1345,,,,,0.9884,,,,
2026-02-25,524335904745.27,1.2274,,,,,17.0496,,,,,0.0478,15.2040,,,,,1.1445,,,,,0.9971,,,,
2026-02-24,524335904745.27,1.2274,,,,,17.0496,,,,,0.0478,15.2040,,,,,1.1445,,,,,0.9971,,,,
2026-02-13,518845476423.33,1.2145,,,,,16.8711,,,,,0.0483,15.0448,,,,,1.1325,,,,,0.9866,,,,
2026-02-12,520675619197.3101,1.2188,,,,,16.9306,,,,,0.0481,15.0979,,,,,1.1365,,,,,0.9901,,,,
2026-02-11,524335904745.27,1.2274,,,,,17.0496,,,,,0.0478,15.2040,,,,,1.1445,,,,,0.9971,,,,
2026-02-10,526166047519.25,1.2316,,,,,17.1092,,,,,0.0476,15.2571,,,,,1.1485,,,,,1.0006,,,,
2026-02-09,527081118906.24,1.2338,,,,,17.1389,,,,,0.0476,15.2836,,,,,1.1505,,,,,1.0023,,,,
2026-02-06,528911261680.22,1.2381,,,,,17.1984,,,,,0.0474,15.3367,,,,,1.1545,,,,,1.0058,,,,
2026-02-05,532571547228.18,1.2466,,,,,17.3174,,,,,0.0471,15.4428,,,,,1.1625,,,,,1.0127,,,,
2026-02-04,526166047519.25,1.2316,,,,,17.1092,,,,,0.0476,15.2571,,,,,1.1485,,,,,1.0006,,,,
2026-02-03,517930405036.34,1.2124,,,,,16.8414,,,,,0.0484,15.0183,,,,,1.1305,,,,,0.9849,,,,
2026-02-02,525250976132.26,1.2295,,,,,17.0794,,,,,0.0477,15.2305,,,,,1.1465,,,,,0.9988,,,,
2026-01-30,549042832194.0,1.2852,,,,,17.8530,,,,,0.0456,15.9204,,,,,1.1985,,,,,1.0441,,,,
2026-01-29,543552403872.0601,1.2723,,,,,17.6745,,,,,0.0461,15.7612,,,,,1.1865,,,,,1.0336,,,,
2026-01-28,542637332485.07,1.2702,,,,,17.6447,,,,,0.0462,15.7347,,,,,1.1845,,,,,1.0319,,,,
2026-01-27,527081118906.24,1.2338,,,,,17.1389,,,,,0.0476,15.2836,,,,,1.1505,,,,,1.0023,,,,
2026-01-26,529826333067.21,1.2402,,,,,17.2282,,,,,0.0473,15.3632,,,,,1.1565,,,,,1.0075,,,,
2026-01-23,531656475841.1899,1.2445,,,,,17.2877,,,,,0.0471,15.4163,,,,,1.1605,,,,,1.0110,,,,
2026-01-22,533486618615.17,1.2488,,,,,17.3472,,,,,0.0470,15.4693,,,,,1.1645,,,,,1.0145,,,,
2026-01-21,530741404454.2,1.2424,,,,,17.2579,,,,,0.0472,15.3897,,,,,1.1585,,,,,1.0093,,,,
2026-01-20,544467475259.05,1.2745,,,,,17.7043,,,,,0.0460,15.7877,,,,,1.1885,,,,,1.0354,,,,
2026-01-19,543552403872.0601,1.2723,,,,,17.6745,,,,,0.0461,15.7612,,,,,1.1865,,,,,1.0336,,,,
2026-01-16,546297618033.03,1.2788,,,,,17.7638,,,,,0.0459,15.8408,,,,,1.1925,,,,,1.0388,,,,
2026-01-15,558193546063.9,1.3066,,,,,18.1506,,,,,0.0449,16.1858,,,,,1.2184,,,,,1.0615,,,,
2026-01-14,572834688255.74,1.3409,,,,,18.6267,,,,,0.0438,16.6103,,,,,1.2504,,,,,1.0893,,,,
2026-01-13,578325116577.68,1.3537,,,,,18.8052,,,,,0.0433,16.7695,,,,,1.2624,,,,,1.0997,,,,
2026-01-12,582900473512.63,1.3644,,,,,18.9540,,,,,0.0430,16.9022,,,,,1.2724,,,,,1.1084,,,,
2026-01-09,578325116577.68,1.3537,,,,,18.8052,,,,,0.0433,16.7695,,,,,1.2624,,,,,1.0997,,,,
2026-01-08,574664831029.72,1.3452,,,,,18.6862,,,,,0.0436,16.6634,,,,,1.2544,,,,,1.0928,,,,
2026-01-07,572834688255.74,1.3409,,,,,18.6267,,,,,0.0438,16.6103,,,,,1.2504,,,,,1.0893,,,,
2026-01-06,581070330738.65,1.3602,,,,,18.8945,,,,,0.0431,16.8491,,,,,1.2684,,,,,1.1050,,,,
2026-01-05,580155259351.66,1.3580,,,,,18.8647,,,,,0.0432,16.8226,,,,,1.2664,,,,,1.1032,,,,
2025-12-31,576494973803.7,1.3495,,,,,18.7457,,,,,0.0435,16.7164,,,,,1.2584,,,,,1.0963,,,,
2025-12-30,571004545481.76,1.3366,,,,,18.5672,,,,,0.0439,16.5572,,,,,1.2464,,,,,1.0858,,,,
2025-12-29,574664831029.72,1.3452,,,,,18.6862,,,,,0.0436,16.6634,,,,,1.2544,,,,,1.0928,,,,
2025-12-26,587475830447.58,1.3752,,,,,19.1027,,,,,0.0427,17.0348,,,,,1.2824,,,,,1.1171,,,,
2025-12-25,592051187382.53,1.3859,,,,,19.2515,,,,,0.0423,17.1675,,,,,1.2923,,,,,1.1258,,,,
2025-12-24,593881330156.51,1.3902,,,,,19.3110,,,,,0.0422,17.2206,,,,,1.2963,,,,,1.1293,,,,
2025-12-23,600286829865.44,1.4051,,,,,19.5193,,,,,0.0418,17.4063,,,,,1.3103,,,,,1.1415,,,,
2025-12-22,607607400961.36,1.4223,,,,,19.7574,,,,,0.0412,17.6186,,,,,1.3263,,,,,1.1554,,,,
2025-12-19,620418400379.22,1.4523,,,,,20.1739,,,,,0.0404,17.9901,,,,,1.3543,,,,,1.1798,,,,
2025-12-18,610352615122.33,1.4287,,,,,19.8466,,,,,0.0411,17.6982,,,,,1.3323,,,,,1.1607,,,,
2025-12-17,611267686509.32,1.4308,,,,,19.8764,,,,,0.0410,17.7247,,,,,1.3343,,,,,1.1624,,,,
2025-12-16,613097829283.3,1.4351,,,,,19.9359,,,,,0.0409,17.7778,,,,,1.3383,,,,,1.1659,,,,
2025-12-15,605777258187.38,1.4180,,,,,19.6978,,,,,0.0414,17.5655,,,,,1.3223,,,,,1.1520,,,,
2025-12-12,613097829283.3,1.4351,,,,,19.9359,,,,,0.0409,17.7778,,,,,1.3383,,,,,1.1659,,,,
2025-12-11,621333471766.21,1.4544,,,,,20.2037,,,,,0.0403,18.0166,,,,,1.3563,,,,,1.1815,,,,
2025-12-10,622248543153.2,1.4566,,,,,20.2334,,,,,0.0403,18.0431,,,,,1.3583,,,,,1.1833,,,,
2025-12-09,624078685927.18,1.4608,,,,,20.2929,,,,,0.0402,18.0962,,,,,1.3623,,,,,1.1868,,,,
2025-12-08,624078685927.18,1.4608,,,,,20.2929,,,,,0.0402,18.0962,,,,,1.3623,,,,,1.1868,,,,
2025-12-05,628654042862.13,1.4715,,,,,20.4417,,,,,0.0399,18.2289,,,,,1.3722,,,,,1.1955,,,,
2025-12-04,631399257023.1,1.4780,,,,,20.5310,,,,,0.0397,18.3085,,,,,1.3782,,,,,1.2007,,,,
2025-12-03,635059542571.06,1.4865,,,,,20.6500,,,,,0.0395,18.4146,,,,,1.3862,,,,,1.2076,,,,
2025-12-02,636889685345.04,1.4908,,,,,20.7095,,,,,0.0394,18.4677,,,,,1.3902,,,,,1.2111,,,,
2025-12-01,629569114249.12,1.4737,,,,,20.4715,,,,,0.0398,18.2554,,,,,1.3742,,,,,1.1972,,,,
2025-11-28,627738971475.14,1.4694,,,,,20.4120,,,,,0.0399,18.2023,,,,,1.3702,,,,,1.1937,,,,
2025-11-27,619503328992.23,1.4501,,,,,20.1442,,,,,0.0405,17.9635,,,,,1.3523,,,,,1.1781,,,,
2025-11-26,624993757314.17,1.4630,,,,,20.3227,,,,,0.0401,18.1227,,,,,1.3642,,,,,1.1885,,,,
2025-11-25,624993757314.17,1.4630,,,,,20.3227,,,,,0.0401,18.1227,,,,,1.3642,,,,,1.1885,,,,
2025-11-24,626823900088.15,1.4673,,,,,20.3822,,,,,0.0400,18.1758,,,,,1.3682,,,,,1.1920,,,,
2025-11-21,621333471766.21,1.4544,,,,,20.2037,,,,,0.0403,18.0166,,,,,1.3563,,,,,1.1815,,,,
2025-11-20,625908828701.16,1.4651,,,,,20.3525,,,,,0.0400,18.1493,,,,,1.3662,,,,,1.1902,,,,
2025-11-19,622248543153.2,1.4566,,,,,20.2334,,,,,0.0403,18.0431,,,,,1.3583,,,,,1.1833,,,,
2025-11-18,617673186218.25,1.4458,,,,,20.0847,,,,,0.0406,17.9105,,,,,1.3483,,,,,1.1746,,,,
2025-11-17,618588257605.24,1.4480,,,,,20.1144,,,,,0.0405,17.9370,,,,,1.3503,,,,,1.1763,,,,
2025-11-14,624078685927.18,1.4608,,,,,20.2929,,,,,0.0402,18.0962,,,,,1.3623,,,,,1.1868,,,,
2025-11-13,625908828701.16,1.4651,,,,,20.3525,,,,,0.0400,18.1493,,,,,1.3662,,,,,1.1902,,,,
2025-11-12,631399257023.1,1.4780,,,,,20.5310,,,,,0.0397,18.3085,,,,,1.3782,,,,,1.2007,,,,
2025-11-11,629569114249.12,1.4737,,,,,20.4715,,,,,0.0398,18.2554,,,,,1.3742,,,,,1.1972,,,,
2025-11-10,630484185636.11,1.4758,,,,,20.5012,,,,,0.0398,18.2819,,,,,1.3762,,,,,1.1989,,,,
2025-11-07,627738971475.14,1.4694,,,,,20.4120,,,,,0.0399,18.2023,,,,,1.3702,,,,,1.1937,,,,
2025-11-06,618588257605.24,1.4480,,,,,20.1144,,,,,0.0405,17.9370,,,,,1.3503,,,,,1.1763,,,,
2025-11-05,616758114831.26,1.4437,,,,,20.0549,,,,,0.0406,17.8839,,,,,1.3463,,,,,1.1728,,,,
2025-11-04,617673186218.25,1.4458,,,,,20.0847,,,,,0.0406,17.9105,,,,,1.3483,,,,,1.1746,,,,
2025-11-03,616758114831.26,1.4437,,,,,20.0549,,,,,0.0406,17.8839,,,,,1.3463,,,,,1.1728,,,,
2025-10-31,612182757896.31,1.4330,,,,,19.9061,,,,,0.0409,17.7513,,,,,1.3363,,,,,1.1641,,,,
2025-10-30,625908828701.16,1.4651,,,,,20.3525,,,,,0.0400,18.1493,,,,,1.3662,,,,,1.1902,,,,
2025-10-29,626823900088.15,1.4673,,,,,20.3822,,,,,0.0400,18.1758,,,,,1.3682,,,,,1.1920,,,,
2025-10-28,629569114249.12,1.4737,,,,,20.4715,,,,,0.0398,18.2554,,,,,1.3742,,,,,1.1972,,,,
2025-10-27,630484185636.11,1.4758,,,,,20.5012,,,,,0.0398,18.2819,,,,,1.3762,,,,,1.1989,,,,
2025-10-24,628654042862.13,1.4715,,,,,20.4417,,,,,0.0399,18.2289,,,,,1.3722,,,,,1.1955,,,,
2025-10-23,631399257023.1,1.4780,,,,,20.5310,,,,,0.0397,18.3085,,,,,1.3782,,,,,1.2007,,,,
2025-10-22,627738971475.14,1.4694,,,,,20.4120,,,,,0.0399,18.2023,,,,,1.3702,,,,,1.1937,,,,
2025-10-21,624078685927.18,1.4881,,,,,20.2742,,,,,0.0402,18.2387,,,,,1.3859,,,,,1.1842,,,,
2025-10-20,626823900088.15,1.4947,,,,,20.3634,,,,,0.0400,18.3189,,,,,1.3920,,,,,1.1894,,,,
2025-10-17,632314328410.09,1.5078,,,,,20.5418,,,,,0.0396,18.4794,,,,,1.4042,,,,,1.1998,,,,
2025-10-16,624993757314.17,1.4903,,,,,20.3039,,,,,0.0401,18.2654,,,,,1.3880,,,,,1.1859,,,,
2025-10-15,622248543153.2,1.4837,,,,,20.2148,,,,,0.0403,18.1852,,,,,1.3819,,,,,1.1807,,,,
2025-10-14,625908828701.16,1.4925,,,,,20.3337,,,,,0.0400,18.2922,,,,,1.3900,,,,,1.1876,,,,
2025-10-13,624993757314.17,1.4903,,,,,20.3039,,,,,0.0401,18.2654,,,,,1.3880,,,,,1.1859,,,,
2025-10-10,618588257605.24,1.4750,,,,,20.0959,,,,,0.0405,18.0782,,,,,1.3738,,,,,1.1738,,,,
2025-10-09,618588257605.24,1.4750,,,,,20.0959,,,,,0.0405,18.0782,,,,,1.3738,,,,,1.1738,,,,
2025-09-30,609437543735.34,1.4532,,,,,19.7986,,,,,0.0411,17.8108,,,,,1.3534,,,,,1.1564,,,,
2025-09-29,609437543735.34,1.4532,,,,,19.7986,,,,,0.0411,17.8108,,,,,1.3534,,,,,1.1564,,,,
2025-09-26,610352615122.33,1.4554,,,,,19.8283,,,,,0.0411,17.8376,,,,,1.3555,,,,,1.1581,,,,
2025-09-25,612182757896.31,1.4597,,,,,19.8878,,,,,0.0409,17.8910,,,,,1.3595,,,,,1.1616,,,,
2025-09-24,614927972057.28,1.4663,,,,,19.9769,,,,,0.0408,17.9713,,,,,1.3656,,,,,1.1668,,,,
2025-09-23,612182757896.31,1.4597,,,,,19.8878,,,,,0.0409,17.8910,,,,,1.3595,,,,,1.1616,,,,
2025-09-22,615843043444.27,1.4685,,,,,20.0067,,,,,0.0407,17.9980,,,,,1.3677,,,,,1.1685,,,,
2025-09-19,620418400379.22,1.4794,,,,,20.1553,,,,,0.0404,18.1317,,,,,1.3778,,,,,1.1772,,,,
2025-09-18,619503328992.23,1.4772,,,,,20.1256,,,,,0.0405,18.1050,,,,,1.3758,,,,,1.1755,,,,
2025-09-17,635974613958.05,1.5165,,,,,20.6607,,,,,0.0394,18.5864,,,,,1.4124,,,,,1.2067,,,,
2025-09-16,640549970893.0,1.5274,,,,,20.8093,,,,,0.0391,18.7201,,,,,1.4225,,,,,1.2154,,,,
2025-09-15,652445898923.87,1.5558,,,,,21.1958,,,,,0.0384,19.0677,,,,,1.4489,,,,,1.2380,,,,
2025-09-12,661596612793.77,1.5776,,,,,21.4931,,,,,0.0379,19.3352,,,,,1.4693,,,,,1.2554,,,,
2025-09-11,670747326663.67,1.5994,,,,,21.7903,,,,,0.0374,19.6026,,,,,1.4896,,,,,1.2727,,,,
2025-09-10,667087041115.71,1.5907,,,,,21.6714,,,,,0.0376,19.4956,,,,,1.4815,,,,,1.2658,,,,
2025-09-09,658851398632.8,1.5710,,,,,21.4039,,,,,0.0380,19.2549,,,,,1.4632,,,,,1.2502,,,,
2025-09-08,665256898341.73,1.5863,,,,,21.6120,,,,,0.0377,19.4421,,,,,1.4774,,,,,1.2623,,,,
2025-09-05,664341826954.74,1.5841,,,,,21.5822,,,,,0.0377,19.4154,,,,,1.4754,,,,,1.2606,,,,
2025-09-04,677152826372.6,1.6147,,,,,21.9984,,,,,0.0370,19.7898,,,,,1.5038,,,,,1.2849,,,,
2025-09-03,693624111338.42,1.5910,,,,,22.5335,,,,,0.0361,20.2712,,,,,1.4857,,,,,1.3161,,,,
2025-09-02,697284396886.38,1.5994,,,,,22.6524,,,,,0.0359,20.3781,,,,,1.4935,,,,,1.3231,,,,
2025-09-01,693624111338.42,1.5910,,,,,22.5335,,,,,0.0361,20.2712,,,,,1.4857,,,,,1.3161,,,,
2025-08-29,696369325499.39,1.5973,,,,,22.6227,,,,,0.0360,20.3514,,,,,1.4916,,,,,1.3213,,,,
2025-08-28,693624111338.42,1.5910,,,,,22.5335,,,,,0.0361,20.2712,,,,,1.4857,,,,,1.3161,,,,
2025-08-27,684473397468.52,1.5700,,,,,22.2362,,,,,0.0366,20.0037,,,,,1.4661,,,,,1.2988,,,,
2025-08-26,693624111338.42,1.5910,,,,,22.5335,,,,,0.0361,20.2712,,,,,1.4857,,,,,1.3161,,,,
2025-08-25,701859753821.33,1.6099,,,,,22.8011,,,,,0.0357,20.5118,,,,,1.5033,,,,,1.3318,,,,
2025-08-22,695454254112.4,1.5952,,,,,22.5930,,,,,0.0360,20.3246,,,,,1.4896,,,,,1.3196,,,,
2025-08-21,689048754403.47,1.5805,,,,,22.3849,,,,,0.0364,20.1374,,,,,1.4759,,,,,1.3074,,,,
