date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-03-09,383555751934.52,5.2211,,,,,0.0220,1.4337,,,,,1.3899,,,,,13.6673,,,,,13.7831,,,,
2026-03-06,391707052690.47,5.3321,,,,,0.0216,1.4642,,,,,1.4194,,,,,13.9578,,,,,14.0760,,,,
2026-03-05,388446532388.09,5.2877,,,,,0.0217,1.4520,,,,,1.4076,,,,,13.8416,,,,,13.9588,,,,
2026-03-04,387409094110.06,5.2736,,,,,0.0218,1.4481,,,,,1.4038,,,,,13.8046,,,,,13.9215,,,,
2026-03-03,397190655017.2,5.4067,,,,,0.0213,1.4847,,,,,1.4393,,,,,14.1532,,,,,14.2730,,,,
2026-03-02,401192202661.03,5.4612,,,,,0.0211,1.4997,,,,,1.4538,,,,,14.2957,,,,,14.4168,,,,
2026-02-27,405638366709.73,5.5217,,,,,0.0208,1.5163,,,,,1.4699,,,,,14.4542,,,,,14.5766,,,,
2026-02-26,405786572178.02,5.5237,,,,,0.0208,1.5168,,,,,1.4704,,,,,14.4595,,,,,14.5819,,,,
2026-02-25,411121969036.4599,5.5964,,,,,0.0205,1.5368,,,,,1.4898,,,,,14.6496,,,,,14.7736,,,,
2026-02-24,409491708885.27,5.5742,,,,,0.0206,1.5307,,,,,1.4839,,,,,14.5915,,,,,14.7151,,,,
2026-02-13,409343503416.98,5.5722,,,,,0.0206,1.5301,,,,,1.4833,,,,,14.5862,,,,,14.7097,,,,
2026-02-12,413048640124.23,5.6226,,,,,0.0205,1.5440,,,,,1.4967,,,,,14.7182,,,,,14.8429,,,,
2026-02-11,415568133085.1599,5.6569,,,,,0.0203,1.5534,,,,,1.5059,,,,,14.8080,,,,,14.9334,,,,
2026-02-10,416309160426.6099,5.6670,,,,,0.0203,1.5562,,,,,1.5086,,,,,14.8344,,,,,14.9600,,,,
2026-02-09,415864544021.7399,5.6609,,,,,0.0203,1.5545,,,,,1.5069,,,,,14.8186,,,,,14.9441,,,,
2026-02-06,417346598704.64,5.6811,,,,,0.0202,1.5354,,,,,1.4891,,,,,14.8714,,,,,14.9973,,,,
2026-02-05,419273269792.4099,5.7073,,,,,0.0201,1.5425,,,,,1.4960,,,,,14.9400,,,,,15.0666,,,,
2026-02-04,420607119007.02,5.7255,,,,,0.0201,1.5474,,,,,1.5008,,,,,14.9876,,,,,15.1145,,,,
2026-02-03,414530694807.13,5.6428,,,,,0.0204,1.5250,,,,,1.4791,,,,,14.7710,,,,,14.8961,,,,
2026-02-02,412900434655.94,5.6206,,,,,0.0205,1.5190,,,,,1.4733,,,,,14.7129,,,,,14.8376,,,,
2026-01-30,416160954958.32,5.6650,,,,,0.0203,1.5310,,,,,1.4849,,,,,14.8291,,,,,14.9547,,,,
2026-01-29,423274817436.2399,5.7618,,,,,0.0200,1.5572,,,,,1.5103,,,,,15.0826,,,,,15.2104,,,,
2026-01-28,414086078402.26,5.6367,,,,,0.0204,1.5234,,,,,1.4775,,,,,14.7552,,,,,14.8802,,,,
2026-01-27,412900434655.94,5.6206,,,,,0.0205,1.5190,,,,,1.4733,,,,,14.7129,,,,,14.8376,,,,
2026-01-26,416012749490.03,5.6629,,,,,0.0203,1.5305,,,,,1.4844,,,,,14.8238,,,,,14.9494,,,,
2026-01-23,411566585441.33,5.6024,,,,,0.0205,1.5141,,,,,1.4685,,,,,14.6654,,,,,14.7896,,,,
2026-01-22,413789667465.68,5.6327,,,,,0.0204,1.5223,,,,,1.4764,,,,,14.7446,,,,,14.8695,,,,
2026-01-21,414086078402.26,5.6367,,,,,0.0204,1.5234,,,,,1.4775,,,,,14.7552,,,,,14.8802,,,,
2026-01-20,415716338553.45,5.6589,,,,,0.0203,1.5294,,,,,1.4833,,,,,14.8133,,,,,14.9387,,,,
2026-01-19,413641461997.39,5.6307,,,,,0.0204,1.5217,,,,,1.4759,,,,,14.7394,,,,,14.8642,,,,
2026-01-16,416160954958.32,5.6650,,,,,0.0203,1.5310,,,,,1.4849,,,,,14.8291,,,,,14.9547,,,,
2026-01-15,419125064324.12,5.7053,,,,,0.0202,1.5419,,,,,1.4955,,,,,14.9348,,,,,15.0612,,,,
2026-01-14,418384036982.67,5.6952,,,,,0.0202,1.5392,,,,,1.4928,,,,,14.9083,,,,,15.0346,,,,
2026-01-13,423126611967.95,5.7598,,,,,0.0200,1.5566,,,,,1.5097,,,,,15.0773,,,,,15.2050,,,,
2026-01-12,426535337738.62,5.8062,,,,,0.0198,1.5692,,,,,1.5219,,,,,15.1988,,,,,15.3275,,,,
2026-01-09,423423022904.53,5.7638,,,,,0.0200,1.5577,,,,,1.5108,,,,,15.0879,,,,,15.2157,,,,
2026-01-08,422978406499.6599,5.7578,,,,,0.0200,1.5561,,,,,1.5092,,,,,15.0721,,,,,15.1997,,,,
2026-01-07,437206131455.5,5.9514,,,,,0.0193,1.6084,,,,,1.5600,,,,,15.5790,,,,,15.7110,,,,
2026-01-06,447432308767.51,6.0906,,,,,0.0189,1.6461,,,,,1.5965,,,,,15.9434,,,,,16.0785,,,,
2026-01-05,434686638494.57,5.9171,,,,,0.0194,1.5992,,,,,1.5510,,,,,15.4893,,,,,15.6204,,,,
2025-12-31,425497899460.59,5.7921,,,,,0.0199,1.5654,,,,,1.5182,,,,,15.1618,,,,,15.2902,,,,
2025-12-30,427276365080.07,5.8163,,,,,0.0198,1.5719,,,,,1.5246,,,,,15.2252,,,,,15.3542,,,,
2025-12-29,428906625231.26,5.8385,,,,,0.0197,1.5779,,,,,1.5304,,,,,15.2833,,,,,15.4127,,,,
2025-12-26,431277912723.9,5.8707,,,,,0.0196,1.5866,,,,,1.5388,,,,,15.3678,,,,,15.4979,,,,
2025-12-25,429203036167.84,5.8425,,,,,0.0197,1.5790,,,,,1.5314,,,,,15.2939,,,,,15.4234,,,,
2025-12-24,425942515865.4599,5.7981,,,,,0.0198,1.5670,,,,,1.5198,,,,,15.1777,,,,,15.3062,,,,
2025-12-23,424312255714.27,5.7759,,,,,0.0199,1.5610,,,,,1.5140,,,,,15.1196,,,,,15.2476,,,,
2025-12-22,424608666650.8499,5.7800,,,,,0.0199,1.5621,,,,,1.5150,,,,,15.1301,,,,,15.2583,,,,
2025-12-19,425053283055.72,5.7860,,,,,0.0199,1.5637,,,,,1.5166,,,,,15.1460,,,,,15.2743,,,,
2025-12-18,422830201031.37,5.7557,,,,,0.0200,1.5555,,,,,1.5087,,,,,15.0668,,,,,15.1944,,,,
2025-12-17,429351241636.13,5.8445,,,,,0.0197,1.5795,,,,,1.5320,,,,,15.2991,,,,,15.4287,,,,
2025-12-16,422089173689.9199,5.7457,,,,,0.0200,1.5528,,,,,1.5060,,,,,15.0404,,,,,15.1678,,,,
2025-12-15,423126611967.95,5.7598,,,,,0.0200,1.5566,,,,,1.5097,,,,,15.0773,,,,,15.2050,,,,
2025-12-12,421051735411.89,5.7315,,,,,0.0201,1.5490,,,,,1.5023,,,,,15.0034,,,,,15.1305,,,,
2025-12-11,419273269792.4099,5.7073,,,,,0.0201,1.5425,,,,,1.4960,,,,,14.9400,,,,,15.0666,,,,
2025-12-10,422681995563.08,5.7537,,,,,0.0200,1.5550,,,,,1.5082,,,,,15.0615,,,,,15.1891,,,,
2025-12-09,422830201031.37,5.7557,,,,,0.0200,1.5555,,,,,1.5087,,,,,15.0668,,,,,15.1944,,,,
2025-12-08,425349693992.2999,5.7900,,,,,0.0199,1.5648,,,,,1.5177,,,,,15.1566,,,,,15.2849,,,,
2025-12-05,412900434655.94,5.6206,,,,,0.0205,1.5190,,,,,1.4733,,,,,14.7129,,,,,14.8376,,,,
2025-12-04,403118873748.7999,5.4874,,,,,0.0210,1.4830,,,,,1.4384,,,,,14.3644,,,,,14.4861,,,,
2025-12-03,402377846407.3499,5.4773,,,,,0.0210,1.4803,,,,,1.4357,,,,,14.3380,,,,,14.4594,,,,
2025-12-02,405638366709.73,5.5217,,,,,0.0208,1.4923,,,,,1.4473,,,,,14.4542,,,,,14.5766,,,,
2025-12-01,410084530758.43,5.5822,,,,,0.0206,1.5087,,,,,1.4632,,,,,14.6126,,,,,14.7364,,,,
2025-11-28,408898887012.1099,5.5661,,,,,0.0207,1.5043,,,,,1.4590,,,,,14.5704,,,,,14.6938,,,,
2025-11-27,408750681543.82,5.5641,,,,,0.0207,1.5037,,,,,1.4585,,,,,14.5651,,,,,14.6884,,,,
2025-11-26,409047092480.4,5.5681,,,,,0.0207,1.5048,,,,,1.4595,,,,,14.5756,,,,,14.6991,,,,
2025-11-25,407120421392.63,5.5419,,,,,0.0207,1.4977,,,,,1.4526,,,,,14.5070,,,,,14.6299,,,,
2025-11-24,405934777646.31,5.5258,,,,,0.0208,1.4934,,,,,1.4484,,,,,14.4647,,,,,14.5872,,,,
2025-11-21,404600928431.7,5.5076,,,,,0.0209,1.4885,,,,,1.4436,,,,,14.4172,,,,,14.5393,,,,
2025-11-20,419421475260.7,5.7093,,,,,0.0201,1.5430,,,,,1.4965,,,,,14.9453,,,,,15.0719,,,,
2025-11-19,419421475260.7,5.7093,,,,,0.0201,1.5430,,,,,1.4965,,,,,14.9453,,,,,15.0719,,,,
2025-11-18,418235831514.38,5.6932,,,,,0.0202,1.5386,,,,,1.4923,,,,,14.9031,,,,,15.0293,,,,
2025-11-17,419273269792.4099,5.7073,,,,,0.0201,1.5425,,,,,1.4960,,,,,14.9400,,,,,15.0666,,,,
2025-11-14,424460461182.56,5.7779,,,,,0.0199,1.5615,,,,,1.5145,,,,,15.1249,,,,,15.2530,,,,
2025-11-13,430981501787.32,5.8667,,,,,0.0196,1.5855,,,,,1.5378,,,,,15.3572,,,,,15.4873,,,,
2025-11-12,428313803358.0999,5.8304,,,,,0.0197,1.5757,,,,,1.5283,,,,,15.2622,,,,,15.3914,,,,
2025-11-11,430685090850.7399,5.8627,,,,,0.0196,1.5844,,,,,1.5367,,,,,15.3467,,,,,15.4766,,,,
2025-11-10,434242022089.7,5.9111,,,,,0.0195,1.5975,,,,,1.5494,,,,,15.4734,,,,,15.6045,,,,
2025-11-07,429795858041.0,5.8506,,,,,0.0197,1.5812,,,,,1.5335,,,,,15.3150,,,,,15.4447,,,,
2025-11-06,432611761938.51,5.8889,,,,,0.0195,1.5915,,,,,1.5436,,,,,15.4153,,,,,15.5459,,,,
2025-11-05,430685090850.7399,5.8627,,,,,0.0196,1.5844,,,,,1.5367,,,,,15.3467,,,,,15.4766,,,,
2025-11-04,430981501787.32,5.8667,,,,,0.0196,1.5855,,,,,1.5378,,,,,15.3572,,,,,15.4873,,,,
2025-11-03,433056378343.38,5.8949,,,,,0.0195,1.5932,,,,,1.5452,,,,,15.4312,,,,,15.5619,,,,
2025-10-31,435427665836.02,5.9272,,,,,0.0194,1.6019,,,,,1.5536,,,,,15.5157,,,,,15.6471,,,,
2025-10-30,439873829884.7199,5.9878,,,,,0.0192,1.6182,,,,,1.5695,,,,,15.6741,,,,,15.8068,,,,
2025-10-29,449062568918.7,6.1128,,,,,0.0188,1.6521,,,,,1.6023,,,,,16.0015,,,,,16.1370,,,,
2025-10-28,444616404870.0,6.0523,,,,,0.0190,1.6357,,,,,1.5864,,,,,15.8431,,,,,15.9773,,,,
2025-10-27,444468199401.7099,6.0503,,,,,0.0190,1.6351,,,,,1.5859,,,,,15.8378,,,,,15.9719,,,,
2025-10-24,442689733782.23,6.6425,,,,,0.0191,1.6818,,,,,1.6295,,,,,17.8123,,,,,17.9881,,,,
2025-10-23,437502542392.08,6.5647,,,,,0.0193,1.6621,,,,,1.6104,,,,,17.6036,,,,,17.7773,,,,
2025-10-22,432611761938.51,6.4913,,,,,0.0195,1.6435,,,,,1.5924,,,,,17.4068,,,,,17.5786,,,,
2025-10-21,435131254899.44,6.5291,,,,,0.0194,1.6531,,,,,1.6017,,,,,17.5082,,,,,17.6810,,,,
2025-10-20,433204583811.6699,6.5002,,,,,0.0195,1.6458,,,,,1.5946,,,,,17.4307,,,,,17.6027,,,,
2025-10-17,431129707255.6099,6.4690,,,,,0.0196,1.6379,,,,,1.5870,,,,,17.3472,,,,,17.5184,,,,
2025-10-16,439429213479.8499,6.5936,,,,,0.0192,1.6694,,,,,1.6175,,,,,17.6811,,,,,17.8556,,,,
2025-10-15,440022035353.01,6.6025,,,,,0.0192,1.6717,,,,,1.6197,,,,,17.7050,,,,,17.8797,,,,
2025-10-14,430240474445.87,6.4557,,,,,0.0196,1.6345,,,,,1.5837,,,,,17.3114,,,,,17.4822,,,,
2025-10-13,432759967406.7999,6.4935,,,,,0.0195,1.6441,,,,,1.5930,,,,,17.4128,,,,,17.5846,,,,
2025-10-10,439873829884.7199,6.6002,,,,,0.0192,1.6711,,,,,1.6191,,,,,17.6990,,,,,17.8737,,,,
2025-10-09,439429213479.8499,6.5936,,,,,0.0192,1.6694,,,,,1.6175,,,,,17.6811,,,,,17.8556,,,,
2025-09-30,443134350187.0999,6.6492,,,,,0.0191,1.6835,,,,,1.6311,,,,,17.8302,,,,,18.0062,,,,
2025-09-29,450692829069.89,6.7626,,,,,0.0187,1.7122,,,,,1.6590,,,,,18.1343,,,,,18.3133,,,,
2025-09-26,425646104928.88,6.3868,,,,,0.0198,1.6170,,,,,1.5668,,,,,17.1265,,,,,17.2955,,,,
2025-09-25,425497899460.59,6.3845,,,,,0.0199,1.6165,,,,,1.5662,,,,,17.1206,,,,,17.2895,,,,
2025-09-24,425201488524.01,6.3801,,,,,0.0199,1.6153,,,,,1.5651,,,,,17.1087,,,,,17.2775,,,,
2025-09-23,422385584626.5,6.3378,,,,,0.0200,1.6047,,,,,1.5548,,,,,16.9953,,,,,17.1631,,,,
2025-09-22,426535337738.62,6.4001,,,,,0.0198,1.6204,,,,,1.5700,,,,,17.1623,,,,,17.3317,,,,
2025-09-19,419569680728.9899,6.2956,,,,,0.0201,1.5940,,,,,1.5444,,,,,16.8820,,,,,17.0486,,,,
2025-09-18,420162502602.15,6.3045,,,,,0.0201,1.5962,,,,,1.5466,,,,,16.9059,,,,,17.0727,,,,
2025-09-17,429647652572.7099,6.4468,,,,,0.0197,1.6322,,,,,1.5815,,,,,17.2875,,,,,17.4581,,,,
2025-09-16,433945611153.12,6.5113,,,,,0.0195,1.6486,,,,,1.5973,,,,,17.4605,,,,,17.6328,,,,
2025-09-15,438539980670.1099,6.5802,,,,,0.0193,1.6660,,,,,1.6142,,,,,17.6453,,,,,17.8195,,,,
2025-09-12,441355884567.62,6.6225,,,,,0.0191,1.6767,,,,,1.6246,,,,,17.7586,,,,,17.9339,,,,
2025-09-11,449507185323.57,6.7448,,,,,0.0188,1.7077,,,,,1.6546,,,,,18.0866,,,,,18.2651,,,,
2025-09-10,436909720518.9199,6.5558,,,,,0.0193,1.6598,,,,,1.6082,,,,,17.5797,,,,,17.7532,,,,
2025-09-09,437502542392.08,6.5647,,,,,0.0193,1.6621,,,,,1.6104,,,,,17.6036,,,,,17.7773,,,,
2025-09-08,436465104114.0499,6.5491,,,,,0.0194,1.6581,,,,,1.6066,,,,,17.5619,,,,,17.7352,,,,
2025-09-05,442096911909.07,6.6336,,,,,0.0191,1.6795,,,,,1.6273,,,,,17.7885,,,,,17.9640,,,,
2025-09-04,438095364265.2399,6.5736,,,,,0.0193,1.6643,,,,,1.6126,,,,,17.6275,,,,,17.8014,,,,
2025-09-03,441504090035.9099,6.6247,,,,,0.0191,1.6773,,,,,1.6251,,,,,17.7646,,,,,17.9399,,,,
2025-09-02,456176431396.6199,6.8449,,,,,0.0185,1.7330,,,,,1.6791,,,,,18.3550,,,,,18.5361,,,,
2025-09-01,461956444659.93,6.9316,,,,,0.0183,1.7550,,,,,1.7004,,,,,18.5875,,,,,18.7710,,,,
2025-08-29,466550814176.9199,7.0005,,,,,0.0181,1.7724,,,,,1.7173,,,,,18.7724,,,,,18.9577,,,,
2025-08-28,466847225113.4999,6.8861,,,,,0.0165,1.8231,,,,,1.7648,,,,,20.0448,,,,,20.2115,,,,
2025-08-27,457806691547.8099,6.7527,,,,,0.0168,1.7878,,,,,1.7307,,,,,19.6566,,,,,19.8201,,,,
2025-08-26,469514923542.7199,6.9254,,,,,0.0164,1.8335,,,,,1.7749,,,,,20.1593,,,,,20.3269,,,,
2025-08-25,476332375084.0599,7.0260,,,,,0.0162,1.8601,,,,,1.8007,,,,,20.4520,,,,,20.6221,,,,
2025-08-22,477221607893.8,7.0391,,,,,0.0161,1.8338,,,,,1.7762,,,,,20.4902,,,,,20.6606,,,,
