date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-05-19,172239570962.41,2.8905,,,,,0.0507,14.2515,,,,,1.4629,,,,,2.9999,,,,,14.6365,,,,
2026-05-18,172619092602.43,2.8969,,,,,0.0506,14.2829,,,,,1.4661,,,,,3.0065,,,,,14.6687,,,,
2026-05-15,174643208015.87,2.9308,,,,,0.0500,14.4504,,,,,1.4833,,,,,3.0418,,,,,14.8407,,,,
2026-05-14,175718519329.26,2.9489,,,,,0.0497,14.5394,,,,,1.4925,,,,,3.0605,,,,,14.9321,,,,
2026-05-13,176477562609.3,2.9616,,,,,0.0495,14.6022,,,,,1.4989,,,,,3.0737,,,,,14.9966,,,,
2026-05-12,177173352282.67,2.9733,,,,,0.0493,14.6597,,,,,1.5048,,,,,3.0858,,,,,15.0557,,,,
2026-05-11,177489620316.02,2.9786,,,,,0.0492,14.6859,,,,,1.5075,,,,,3.0914,,,,,15.0826,,,,
2026-05-08,174073925555.84,2.9213,,,,,0.0501,14.4033,,,,,1.4785,,,,,3.0319,,,,,14.7923,,,,
2026-05-07,174137179162.51,2.9223,,,,,0.0501,14.4085,,,,,1.4790,,,,,3.0330,,,,,14.7977,,,,
2026-05-06,173631150309.15,2.9139,,,,,0.0503,14.3666,,,,,1.4747,,,,,3.0242,,,,,14.7547,,,,
2026-04-30,173694403915.82,2.9149,,,,,0.0503,14.3719,,,,,1.4753,,,,,3.0253,,,,,14.7601,,,,
2026-04-29,168064832922.19,3.1547,,,,,0.0640,20.9806,,,,,1.4327,,,,,3.2992,,,,,22.0987,,,,
2026-04-28,161233443401.83,3.0265,,,,,0.0667,20.1278,,,,,1.3745,,,,,3.1651,,,,,21.2005,,,,
2026-04-27,159715356841.75,2.9980,,,,,0.0673,19.9383,,,,,1.3616,,,,,3.1353,,,,,21.0008,,,,
2026-04-24,159715356841.75,2.9980,,,,,0.0673,19.9383,,,,,1.3616,,,,,3.1353,,,,,21.0008,,,,
2026-04-23,159841864055.09,3.0003,,,,,0.0673,19.9541,,,,,1.3626,,,,,3.1377,,,,,21.0175,,,,
2026-04-22,159968371268.43,3.0027,,,,,0.0672,19.9699,,,,,1.3637,,,,,3.1402,,,,,21.0341,,,,
2026-04-21,161676218648.52,3.0348,,,,,0.0665,20.1831,,,,,1.3783,,,,,3.1737,,,,,21.2587,,,,
2026-04-20,161359950615.17,3.0288,,,,,0.0666,20.1436,,,,,1.3756,,,,,3.1675,,,,,21.2171,,,,
2026-04-17,160600907335.13,3.0146,,,,,0.0670,20.0488,,,,,1.3691,,,,,3.1526,,,,,21.1173,,,,
2026-04-16,161929233075.2,3.0395,,,,,0.0664,20.2147,,,,,1.3804,,,,,3.1787,,,,,21.2919,,,,
2026-04-15,162498515535.23,3.0502,,,,,0.0662,20.2857,,,,,1.3853,,,,,3.1899,,,,,21.3668,,,,
2026-04-14,164396123735.33,3.0858,,,,,0.0654,20.5226,,,,,1.4015,,,,,3.2271,,,,,21.6163,,,,
2026-04-13,164206362915.32,3.0823,,,,,0.0655,20.4989,,,,,1.3998,,,,,3.2234,,,,,21.5914,,,,
2026-04-10,165344927835.38,3.1036,,,,,0.0650,20.6411,,,,,1.4095,,,,,3.2458,,,,,21.7411,,,,
2026-04-09,165218420622.04,3.1013,,,,,0.0651,20.6253,,,,,1.4085,,,,,3.2433,,,,,21.7244,,,,
2026-04-08,167242536035.48,3.1393,,,,,0.0643,20.8780,,,,,1.4257,,,,,3.2830,,,,,21.9906,,,,
2026-04-07,166546746362.11,3.1262,,,,,0.0646,20.7911,,,,,1.4198,,,,,3.2694,,,,,21.8991,,,,
2026-04-03,166420239148.77,3.1238,,,,,0.0646,20.7753,,,,,1.4187,,,,,3.2669,,,,,21.8825,,,,
2026-04-02,167179282428.81,3.1381,,,,,0.0643,20.8701,,,,,1.4252,,,,,3.2818,,,,,21.9823,,,,
2026-04-01,166546746362.11,3.1262,,,,,0.0646,20.7911,,,,,1.4198,,,,,3.2694,,,,,21.8991,,,,
2026-03-31,166673253575.45,3.1286,,,,,0.0645,20.8069,,,,,1.4209,,,,,3.2718,,,,,21.9157,,,,
2026-03-30,166989521608.8,3.1345,,,,,0.0644,20.8464,,,,,1.4236,,,,,3.2780,,,,,21.9573,,,,
2026-03-27,165471435048.72,3.1060,,,,,0.0650,20.6569,,,,,1.4106,,,,,3.2482,,,,,21.7577,,,,
2026-03-26,164143109308.65,3.0811,,,,,0.0655,20.4910,,,,,1.3993,,,,,3.2222,,,,,21.5830,,,,
2026-03-25,163700334061.96,3.0728,,,,,0.0657,20.4358,,,,,1.3955,,,,,3.2135,,,,,21.5248,,,,
2026-03-24,162561769141.9,3.0514,,,,,0.0661,20.2936,,,,,1.3858,,,,,3.1911,,,,,21.3751,,,,
2026-03-23,161233443401.83,3.0265,,,,,0.0667,20.1278,,,,,1.3745,,,,,3.1651,,,,,21.2005,,,,
2026-03-20,166926268002.13,3.1333,,,,,0.0644,20.8385,,,,,1.4230,,,,,3.2768,,,,,21.9490,,,,
2026-03-19,167242536035.48,3.1393,,,,,0.0643,20.8780,,,,,1.4257,,,,,3.2830,,,,,21.9906,,,,
2026-03-18,168760622595.56,3.1678,,,,,0.0637,21.0675,,,,,1.4387,,,,,3.3128,,,,,22.1902,,,,
2026-03-17,169962441122.29,3.1903,,,,,0.0633,21.2175,,,,,1.4489,,,,,3.3364,,,,,22.3482,,,,
2026-03-16,169772680302.28,3.1868,,,,,0.0633,21.1938,,,,,1.4473,,,,,3.3327,,,,,22.3233,,,,
2026-03-13,168950383415.57,3.1713,,,,,0.0636,21.0912,,,,,1.4403,,,,,3.3165,,,,,22.2152,,,,
2026-03-12,168950383415.57,3.1713,,,,,0.0636,21.0912,,,,,1.4403,,,,,3.3165,,,,,22.2152,,,,
2026-03-11,167242536035.48,3.1393,,,,,0.0643,20.8780,,,,,1.4257,,,,,3.2830,,,,,21.9906,,,,
2026-03-10,166989521608.8,3.1345,,,,,0.0644,20.8464,,,,,1.4236,,,,,3.2780,,,,,21.9573,,,,
2026-03-09,166230478328.76,3.1203,,,,,0.0647,20.7516,,,,,1.4171,,,,,3.2631,,,,,21.8575,,,,
2026-03-06,165787703082.07,3.1120,,,,,0.0649,20.6963,,,,,1.4133,,,,,3.2545,,,,,21.7993,,,,
2026-03-05,162372008321.89,3.0478,,,,,0.0662,20.2699,,,,,1.3842,,,,,3.1874,,,,,21.3502,,,,
2026-03-04,162055740288.54,3.0419,,,,,0.0664,20.2305,,,,,1.3815,,,,,3.1812,,,,,21.3086,,,,
2026-03-03,164016602095.31,3.0787,,,,,0.0656,20.4752,,,,,1.3982,,,,,3.2197,,,,,21.5664,,,,
2026-03-02,164459377342.0,3.0870,,,,,0.0654,20.5305,,,,,1.4020,,,,,3.2284,,,,,21.6246,,,,
2026-02-27,164965406195.36,3.0965,,,,,0.0652,20.5937,,,,,1.4063,,,,,3.2383,,,,,21.6912,,,,
2026-02-26,165218420622.04,3.1013,,,,,0.0651,20.6253,,,,,1.4085,,,,,3.2433,,,,,21.7244,,,,
2026-02-25,166356985542.1,3.1226,,,,,0.0646,20.7674,,,,,1.4182,,,,,3.2656,,,,,21.8741,,,,
2026-02-24,166799760788.79,3.1310,,,,,0.0645,20.8227,,,,,1.4219,,,,,3.2743,,,,,21.9324,,,,
2026-02-13,167495550462.16,3.1440,,,,,0.0642,20.9095,,,,,1.4279,,,,,3.2880,,,,,22.0239,,,,
2026-02-12,168317847348.87,3.1594,,,,,0.0639,21.0122,,,,,1.4349,,,,,3.3041,,,,,22.1320,,,,
2026-02-11,169962441122.29,3.1903,,,,,0.0633,21.2175,,,,,1.4489,,,,,3.3364,,,,,22.3482,,,,
2026-02-10,169203397842.25,3.1761,,,,,0.0636,21.1227,,,,,1.4424,,,,,3.3215,,,,,22.2484,,,,
2026-02-09,171290766862.36,3.2153,,,,,0.0628,21.3833,,,,,1.4602,,,,,3.3625,,,,,22.5229,,,,
2026-02-06,171290766862.36,3.2153,,,,,0.0628,21.3833,,,,,1.4602,,,,,3.3625,,,,,22.5229,,,,
2026-02-05,172113063749.07,3.2307,,,,,0.0625,21.4860,,,,,1.4672,,,,,3.3786,,,,,22.6310,,,,
2026-02-04,170847991615.67,3.2069,,,,,0.0629,21.3281,,,,,1.4565,,,,,3.3538,,,,,22.4647,,,,
2026-02-03,168254593742.2,3.1583,,,,,0.0639,21.0043,,,,,1.4343,,,,,3.3029,,,,,22.1237,,,,
2026-02-02,167305789642.15,3.1405,,,,,0.0643,20.8859,,,,,1.4263,,,,,3.2843,,,,,21.9989,,,,
2026-01-30,166609999968.78,3.1274,,,,,0.0645,20.7990,,,,,1.4203,,,,,3.2706,,,,,21.9074,,,,
2026-01-29,169709426695.61,3.1856,,,,,0.0634,21.1859,,,,,1.4468,,,,,3.3314,,,,,22.3150,,,,
2026-01-28,165344927835.38,3.1036,,,,,0.0650,20.6411,,,,,1.4095,,,,,3.2458,,,,,21.7411,,,,
2026-01-27,166799760788.79,3.1310,,,,,0.0645,20.8227,,,,,1.4219,,,,,3.2743,,,,,21.9324,,,,
2026-01-26,168760622595.56,3.1678,,,,,0.0637,21.0675,,,,,1.4387,,,,,3.3128,,,,,22.1902,,,,
2026-01-23,169646173088.94,3.1844,,,,,0.0634,21.1780,,,,,1.4462,,,,,3.3302,,,,,22.3066,,,,
2026-01-22,169582919482.27,3.1832,,,,,0.0634,21.1701,,,,,1.4457,,,,,3.3290,,,,,22.2983,,,,
2026-01-21,169772680302.28,3.1868,,,,,0.0633,21.1938,,,,,1.4473,,,,,3.3327,,,,,22.3233,,,,
2026-01-20,171923302929.06,3.2271,,,,,0.0625,21.4623,,,,,1.4656,,,,,3.3749,,,,,22.6061,,,,
2026-01-19,171354020469.03,3.2164,,,,,0.0628,21.3912,,,,,1.4608,,,,,3.3637,,,,,22.5312,,,,
2026-01-16,170594977188.99,3.2022,,,,,0.0630,21.2965,,,,,1.4543,,,,,3.3488,,,,,22.4314,,,,
2026-01-15,172176317355.74,3.2319,,,,,0.0625,21.4939,,,,,1.4678,,,,,3.3799,,,,,22.6393,,,,
2026-01-14,173314882275.8,3.2532,,,,,0.0620,21.6360,,,,,1.4775,,,,,3.4022,,,,,22.7890,,,,
2026-01-13,174137179162.51,3.2687,,,,,0.0618,21.7387,,,,,1.4845,,,,,3.4184,,,,,22.8972,,,,
2026-01-12,175465504902.58,3.2936,,,,,0.0613,21.9045,,,,,1.4958,,,,,3.4444,,,,,23.0718,,,,
2026-01-09,175085983262.56,3.2865,,,,,0.0614,21.8571,,,,,1.4926,,,,,3.4370,,,,,23.0219,,,,
2026-01-08,172429331782.42,3.2366,,,,,0.0624,21.5255,,,,,1.4699,,,,,3.3848,,,,,22.6726,,,,
2026-01-07,179766750156.14,3.3744,,,,,0.0598,22.4414,,,,,1.5325,,,,,3.5289,,,,,23.6374,,,,
2026-01-06,181031822289.54,3.3981,,,,,0.0594,22.5994,,,,,1.5433,,,,,3.5537,,,,,23.8037,,,,
2026-01-05,180968568682.87,3.3969,,,,,0.0594,22.5915,,,,,1.5427,,,,,3.5525,,,,,23.7954,,,,
2025-12-31,180905315076.2,3.3957,,,,,0.0594,22.5836,,,,,1.5422,,,,,3.5512,,,,,23.7871,,,,
2025-12-30,181474597536.23,3.4064,,,,,0.0593,22.6546,,,,,1.5470,,,,,3.5624,,,,,23.8620,,,,
2025-12-29,182613162456.29,3.4278,,,,,0.0589,22.7968,,,,,1.5568,,,,,3.5847,,,,,24.0117,,,,
2025-12-26,184067995409.7,3.4551,,,,,0.0584,22.9784,,,,,1.5692,,,,,3.6133,,,,,24.2030,,,,
2025-12-25,184700531476.4,3.4670,,,,,0.0582,23.0574,,,,,1.5745,,,,,3.6257,,,,,24.2861,,,,
2025-12-24,182676416062.96,3.4290,,,,,0.0589,22.8047,,,,,1.5573,,,,,3.5860,,,,,24.0200,,,,
2025-12-23,182992684096.31,3.4349,,,,,0.0588,22.8442,,,,,1.5600,,,,,3.5922,,,,,24.0616,,,,
2025-12-22,184067995409.7,3.4551,,,,,0.0584,22.9784,,,,,1.5692,,,,,3.6133,,,,,24.2030,,,,
2025-12-19,184574024263.06,3.4646,,,,,0.0583,23.0416,,,,,1.5735,,,,,3.6232,,,,,24.2695,,,,
2025-12-18,183245698522.99,3.4397,,,,,0.0587,22.8757,,,,,1.5621,,,,,3.5972,,,,,24.0948,,,,
2025-12-17,182486655242.95,3.4254,,,,,0.0589,22.7810,,,,,1.5557,,,,,3.5823,,,,,23.9950,,,,
2025-12-16,183119191309.65,3.2519,,,,,0.0587,22.8599,,,,,1.5611,,,,,3.3925,,,,,24.0782,,,,
2025-12-15,182360148029.61,3.2385,,,,,0.0590,22.7652,,,,,1.5546,,,,,3.3784,,,,,23.9784,,,,
2025-12-12,181537851142.9,3.2239,,,,,0.0592,22.6625,,,,,1.5476,,,,,3.3632,,,,,23.8703,,,,
2025-12-11,179576989336.13,3.1890,,,,,0.0599,22.4178,,,,,1.5309,,,,,3.3269,,,,,23.6124,,,,
2025-12-10,180652300649.52,3.2081,,,,,0.0595,22.5520,,,,,1.5400,,,,,3.3468,,,,,23.7538,,,,
2025-12-09,181917372782.92,3.2306,,,,,0.0591,22.7099,,,,,1.5508,,,,,3.3702,,,,,23.9202,,,,
2025-12-08,182423401636.28,3.2396,,,,,0.0589,22.7731,,,,,1.5551,,,,,3.3796,,,,,23.9867,,,,
2025-12-05,182929430489.64,3.2486,,,,,0.0588,22.8363,,,,,1.5595,,,,,3.3890,,,,,24.0532,,,,
2025-12-04,183372205736.33,3.2564,,,,,0.0586,22.8915,,,,,1.5632,,,,,3.3972,,,,,24.1115,,,,
2025-12-03,185143306723.09,3.2879,,,,,0.0581,23.1126,,,,,1.5783,,,,,3.4300,,,,,24.3443,,,,
2025-12-02,185649335576.45,3.2969,,,,,0.0579,23.1758,,,,,1.5826,,,,,3.4394,,,,,24.4109,,,,
2025-12-01,186155364429.81,3.3059,,,,,0.0578,23.2390,,,,,1.5870,,,,,3.4487,,,,,24.4774,,,,
2025-11-28,185839096396.46,3.3002,,,,,0.0579,23.1995,,,,,1.5843,,,,,3.4429,,,,,24.4358,,,,
2025-11-27,183751727376.35,3.2632,,,,,0.0585,22.9389,,,,,1.5665,,,,,3.4042,,,,,24.1614,,,,
2025-11-26,184574024263.06,3.2778,,,,,0.0583,23.0416,,,,,1.5735,,,,,3.4194,,,,,24.2695,,,,
2025-11-25,184447517049.72,3.2755,,,,,0.0583,23.0258,,,,,1.5724,,,,,3.4171,,,,,24.2529,,,,
2025-11-24,182866176882.97,3.2475,,,,,0.0588,22.8284,,,,,1.5589,,,,,3.3878,,,,,24.0449,,,,
2025-11-21,184067995409.7,3.2688,,,,,0.0584,22.9784,,,,,1.5692,,,,,3.4101,,,,,24.2030,,,,
2025-11-20,185965603609.8,3.3025,,,,,0.0578,23.2153,,,,,1.5853,,,,,3.4452,,,,,24.4525,,,,
2025-11-19,187104168529.86,3.3227,,,,,0.0575,23.3574,,,,,1.5950,,,,,3.4663,,,,,24.6022,,,,
2025-11-18,186724646889.84,3.3160,,,,,0.0576,23.3100,,,,,1.5918,,,,,3.4593,,,,,24.5523,,,,
2025-11-17,180715554256.19,3.2093,,,,,0.0595,22.5599,,,,,1.5406,,,,,3.3480,,,,,23.7621,,,,
2025-11-14,179323974909.45,3.1845,,,,,0.0600,22.3862,,,,,1.5287,,,,,3.3222,,,,,23.5792,,,,
2025-11-13,180778807862.86,3.2104,,,,,0.0595,22.5678,,,,,1.5411,,,,,3.3491,,,,,23.7705,,,,
2025-11-12,180146271796.16,3.1992,,,,,0.0597,22.4888,,,,,1.5357,,,,,3.3374,,,,,23.6873,,,,
2025-11-11,179323974909.45,3.1845,,,,,0.0600,22.3862,,,,,1.5287,,,,,3.3222,,,,,23.5792,,,,
2025-11-10,178817946056.09,3.1756,,,,,0.0601,22.3230,,,,,1.5244,,,,,3.3128,,,,,23.5126,,,,
2025-11-07,172619092602.43,3.0655,,,,,0.0623,21.5492,,,,,1.4716,,,,,3.1980,,,,,22.6975,,,,
2025-11-06,172176317355.74,3.0576,,,,,0.0625,21.4939,,,,,1.4678,,,,,3.1898,,,,,22.6393,,,,
2025-11-05,172366078175.75,3.0610,,,,,0.0624,21.5176,,,,,1.4694,,,,,3.1933,,,,,22.6643,,,,
2025-11-04,171227513255.69,3.0408,,,,,0.0628,21.3754,,,,,1.4597,,,,,3.1722,,,,,22.5146,,,,
2025-11-03,173631150309.15,3.0835,,,,,0.0619,21.6755,,,,,1.4802,,,,,3.2167,,,,,22.8306,,,,
2025-10-31,173378135882.47,3.0790,,,,,0.0620,21.6439,,,,,1.4780,,,,,3.2120,,,,,22.7974,,,,
2025-10-30,173061867849.12,3.2469,,,,,0.0446,21.3073,,,,,1.4691,,,,,3.3968,,,,,22.4663,,,,
2025-10-29,171923302929.06,3.2256,,,,,0.0449,21.1671,,,,,1.4595,,,,,3.3745,,,,,22.3185,,,,
2025-10-28,172492585389.09,3.2363,,,,,0.0447,21.2372,,,,,1.4643,,,,,3.3856,,,,,22.3924,,,,
2025-10-27,173378135882.47,3.2529,,,,,0.0445,21.3462,,,,,1.4718,,,,,3.4030,,,,,22.5074,,,,
2025-10-24,172555838995.76,3.2374,,,,,0.0447,21.2450,,,,,1.4649,,,,,3.3869,,,,,22.4006,,,,
2025-10-23,173125121455.79,3.2481,,,,,0.0446,21.3150,,,,,1.4697,,,,,3.3980,,,,,22.4745,,,,
2025-10-22,172366078175.75,3.2339,,,,,0.0448,21.2216,,,,,1.4632,,,,,3.3831,,,,,22.3760,,,,
2025-10-21,173378135882.47,3.2529,,,,,0.0445,21.3462,,,,,1.4718,,,,,3.4030,,,,,22.5074,,,,
2025-10-20,173757657522.49,3.2600,,,,,0.0444,21.3929,,,,,1.4751,,,,,3.4105,,,,,22.5567,,,,
2025-10-17,172998614242.45,3.2457,,,,,0.0446,21.2995,,,,,1.4686,,,,,3.3956,,,,,22.4581,,,,
2025-10-16,175908280149.27,3.3003,,,,,0.0439,21.6577,,,,,1.4933,,,,,3.4527,,,,,22.8358,,,,
2025-10-15,174896222442.55,3.2813,,,,,0.0441,21.5331,,,,,1.4847,,,,,3.4328,,,,,22.7045,,,,
2025-10-14,175149236869.23,3.2861,,,,,0.0441,21.5643,,,,,1.4869,,,,,3.4378,,,,,22.7373,,,,
2025-10-13,174263686375.85,3.2695,,,,,0.0443,21.4552,,,,,1.4793,,,,,3.4204,,,,,22.6224,,,,
2025-10-10,175528758509.25,3.2932,,,,,0.0440,21.6110,,,,,1.4901,,,,,3.4452,,,,,22.7866,,,,
2025-10-09,174769715229.21,3.2790,,,,,0.0442,21.5175,,,,,1.4836,,,,,3.4303,,,,,22.6880,,,,
2025-09-30,172555838995.76,3.2374,,,,,0.0447,21.2450,,,,,1.4649,,,,,3.3869,,,,,22.4006,,,,
2025-09-29,171986556535.73,3.2268,,,,,0.0449,21.1749,,,,,1.4600,,,,,3.3757,,,,,22.3267,,,,
2025-09-26,172429331782.42,3.2351,,,,,0.0448,21.2294,,,,,1.4638,,,,,3.3844,,,,,22.3842,,,,
2025-09-25,170594977188.99,3.2006,,,,,0.0452,21.0035,,,,,1.4482,,,,,3.3484,,,,,22.1461,,,,
2025-09-24,173378135882.47,3.2529,,,,,0.0445,21.3462,,,,,1.4718,,,,,3.4030,,,,,22.5074,,,,
2025-09-23,173188375062.46,3.2493,,,,,0.0446,21.3228,,,,,1.4702,,,,,3.3993,,,,,22.4828,,,,
2025-09-22,174263686375.85,3.2695,,,,,0.0443,21.4552,,,,,1.4793,,,,,3.4204,,,,,22.6224,,,,
2025-09-19,175212490475.9,3.2873,,,,,0.0440,21.5720,,,,,1.4874,,,,,3.4390,,,,,22.7455,,,,
2025-09-18,175592012115.92,3.2944,,,,,0.0439,21.6188,,,,,1.4906,,,,,3.4465,,,,,22.7948,,,,
2025-09-17,177616127529.36,3.3324,,,,,0.0434,21.8680,,,,,1.5078,,,,,3.4862,,,,,23.0576,,,,
2025-09-16,177616127529.36,3.3324,,,,,0.0434,21.8680,,,,,1.5078,,,,,3.4862,,,,,23.0576,,,,
2025-09-15,178564931629.41,3.3502,,,,,0.0432,21.9848,,,,,1.5159,,,,,3.5048,,,,,23.1807,,,,
2025-09-12,178691438842.75,3.3526,,,,,0.0432,22.0004,,,,,1.5169,,,,,3.5073,,,,,23.1971,,,,
2025-09-11,181664358356.24,3.4083,,,,,0.0425,22.3664,,,,,1.5422,,,,,3.5656,,,,,23.5831,,,,
2025-09-10,179830003762.81,3.3739,,,,,0.0429,22.1405,,,,,1.5266,,,,,3.5296,,,,,23.3450,,,,
2025-09-09,180652300649.52,3.3893,,,,,0.0427,22.2418,,,,,1.5336,,,,,3.5458,,,,,23.4517,,,,
2025-09-08,178438424416.07,3.3478,,,,,0.0432,21.9692,,,,,1.5148,,,,,3.5023,,,,,23.1643,,,,
2025-09-05,178248663596.06,3.3442,,,,,0.0433,21.9459,,,,,1.5132,,,,,3.4986,,,,,23.1397,,,,
2025-09-04,178122156382.72,3.3419,,,,,0.0433,21.9303,,,,,1.5121,,,,,3.4961,,,,,23.1232,,,,
2025-09-03,176540816215.97,3.3122,,,,,0.0437,21.7356,,,,,1.4987,,,,,3.4651,,,,,22.9180,,,,
2025-09-02,178754692449.42,3.3537,,,,,0.0432,22.0082,,,,,1.5175,,,,,3.5085,,,,,23.2054,,,,
2025-09-01,178817946056.09,3.3549,,,,,0.0432,22.0159,,,,,1.5180,,,,,3.5098,,,,,23.2136,,,,
2025-08-29,180715554256.19,3.3905,,,,,0.0427,22.2496,,,,,1.5341,,,,,3.5470,,,,,23.4599,,,,
2025-08-28,175149236869.23,3.4601,,,,,0.0441,23.6556,,,,,1.5070,,,,,3.6275,,,,,25.3363,,,,
2025-08-27,175908280149.27,3.4751,,,,,0.0439,23.7581,,,,,1.5136,,,,,3.6433,,,,,25.4461,,,,
2025-08-26,179197467696.11,3.5401,,,,,0.0431,24.2023,,,,,1.5419,,,,,3.7114,,,,,25.9219,,,,
2025-08-25,178185409989.39,3.5201,,,,,0.0433,24.0656,,,,,1.5332,,,,,3.6904,,,,,25.7755,,,,
2025-08-22,175149236869.23,3.4601,,,,,0.0441,23.6556,,,,,1.5070,,,,,3.6275,,,,,25.3363,,,,
2025-08-21,174832968835.88,3.4539,,,,,0.0441,23.6128,,,,,1.5043,,,,,3.6210,,,,,25.2906,,,,
