date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-06-03,682418592099.24,2.9943,,,,,7.8135,,,,,18.9125,,,,,0.0359,19.8089,,,,,3.0088,,,,
2026-06-02,684131367339.36,3.0018,,,,,7.8331,,,,,18.9599,,,,,0.0358,19.8586,,,,,3.0163,,,,
2026-06-01,679482405973.32,2.9814,,,,,7.7799,,,,,18.8311,,,,,0.0360,19.7236,,,,,2.9958,,,,
2026-05-29,678993041619.0,2.9793,,,,,7.7743,,,,,18.8175,,,,,0.0360,19.7094,,,,,2.9937,,,,
2026-05-28,666024886229.52,2.9224,,,,,7.6258,,,,,18.4581,,,,,0.0367,19.3330,,,,,2.9365,,,,
2026-05-27,666514250583.84,2.9245,,,,,7.6314,,,,,18.4717,,,,,0.0367,19.3472,,,,,2.9387,,,,
2026-05-26,664067428812.24,2.9138,,,,,7.6034,,,,,18.4039,,,,,0.0368,19.2762,,,,,2.9279,,,,
2026-05-25,652567366485.7201,2.8633,,,,,7.4717,,,,,18.0852,,,,,0.0375,18.9424,,,,,2.8772,,,,
2026-05-22,649875862536.96,2.8515,,,,,7.4409,,,,,18.0106,,,,,0.0377,18.8642,,,,,2.8653,,,,
2026-05-21,652322684308.56,2.8623,,,,,7.4689,,,,,18.0784,,,,,0.0375,18.9353,,,,,2.8761,,,,
2026-05-20,658195056560.4,2.8880,,,,,7.5362,,,,,18.2411,,,,,0.0372,19.1057,,,,,2.9020,,,,
2026-05-19,666758932761.0,2.9256,,,,,7.6342,,,,,18.4785,,,,,0.0367,19.3543,,,,,2.9398,,,,
2026-05-18,657950374383.24,2.8870,,,,,7.5334,,,,,18.2343,,,,,0.0372,19.0986,,,,,2.9009,,,,
2026-05-15,661375924863.48,2.9020,,,,,7.5726,,,,,18.3293,,,,,0.0370,19.1980,,,,,2.9160,,,,
2026-05-14,659173785269.04,2.8923,,,,,7.5474,,,,,18.2682,,,,,0.0371,19.1341,,,,,2.9063,,,,
2026-05-13,660641878332.0,2.8988,,,,,7.5642,,,,,18.3089,,,,,0.0370,19.1767,,,,,2.9128,,,,
2026-05-12,661620607040.64,2.9031,,,,,7.5754,,,,,18.3361,,,,,0.0370,19.2051,,,,,2.9171,,,,
2026-05-11,660886560509.16,2.8999,,,,,7.5670,,,,,18.3157,,,,,0.0370,19.1838,,,,,2.9139,,,,
2026-05-08,660641878332.0,2.8988,,,,,7.5642,,,,,18.3089,,,,,0.0370,19.1767,,,,,2.9128,,,,
2026-05-07,661865289217.8,2.9041,,,,,7.5782,,,,,18.3428,,,,,0.0370,19.2122,,,,,2.9182,,,,
2026-05-06,665535521875.2,2.9202,,,,,7.6202,,,,,18.4446,,,,,0.0368,19.3188,,,,,2.9344,,,,
2026-04-30,668471708001.12,2.9331,,,,,7.6538,,,,,18.5259,,,,,0.0366,19.4040,,,,,2.9473,,,,
2026-04-29,655014188257.32,3.0329,,,,,7.8069,,,,,20.0530,,,,,0.0352,20.0128,,,,,3.0490,,,,
2026-04-28,654035459548.68,3.0284,,,,,7.7952,,,,,20.0231,,,,,0.0353,19.9829,,,,,3.0445,,,,
2026-04-27,652322684308.56,3.0205,,,,,7.7748,,,,,19.9706,,,,,0.0354,19.9305,,,,,3.0365,,,,
2026-04-24,655992916965.96,3.0375,,,,,7.8185,,,,,20.0830,,,,,0.0352,20.0427,,,,,3.0536,,,,
2026-04-23,659418467446.2,3.0533,,,,,7.8593,,,,,20.1879,,,,,0.0350,20.1473,,,,,3.0695,,,,
2026-04-22,657216327851.76,3.0431,,,,,7.8331,,,,,20.1204,,,,,0.0351,20.0800,,,,,3.0593,,,,
2026-04-21,663822746635.08,3.0737,,,,,7.9118,,,,,20.3227,,,,,0.0348,20.2819,,,,,3.0900,,,,
2026-04-20,656726963497.44,3.0409,,,,,7.8273,,,,,20.1055,,,,,0.0351,20.0651,,,,,3.0570,,,,
2026-04-17,645471583348.08,2.9887,,,,,7.6931,,,,,19.7609,,,,,0.0357,19.7212,,,,,3.0046,,,,
2026-04-16,649631180359.8,3.0080,,,,,7.7427,,,,,19.8882,,,,,0.0355,19.8483,,,,,3.0240,,,,
2026-04-15,649631180359.8,3.0080,,,,,7.7427,,,,,19.8882,,,,,0.0355,19.8483,,,,,3.0240,,,,
2026-04-14,646450312056.7201,2.9933,,,,,7.7048,,,,,19.7908,,,,,0.0357,19.7511,,,,,3.0092,,,,
2026-04-13,646450312056.7201,2.9933,,,,,7.7048,,,,,19.7908,,,,,0.0357,19.7511,,,,,3.0092,,,,
2026-04-10,645960947702.4,2.9910,,,,,7.6989,,,,,19.7759,,,,,0.0357,19.7362,,,,,3.0069,,,,
2026-04-09,645716265525.24,2.9899,,,,,7.6960,,,,,19.7684,,,,,0.0357,19.7287,,,,,3.0057,,,,
2026-04-08,650365226891.2799,3.0114,,,,,7.7514,,,,,19.9107,,,,,0.0355,19.8707,,,,,3.0274,,,,
2026-04-07,647918405119.68,3.0001,,,,,7.7223,,,,,19.8358,,,,,0.0356,19.7960,,,,,3.0160,,,,
2026-04-03,653301413017.2,3.0250,,,,,7.7864,,,,,20.0006,,,,,0.0353,19.9604,,,,,3.0411,,,,
2026-04-02,660886560509.16,3.0601,,,,,7.8768,,,,,20.2328,,,,,0.0349,20.1922,,,,,3.0764,,,,
2026-04-01,657705692206.08,3.0454,,,,,7.8389,,,,,20.1354,,,,,0.0351,20.0950,,,,,3.0616,,,,
2026-03-31,661620607040.64,3.0635,,,,,7.8856,,,,,20.2553,,,,,0.0349,20.2146,,,,,3.0798,,,,
2026-03-30,664067428812.24,3.0748,,,,,7.9148,,,,,20.3302,,,,,0.0347,20.2894,,,,,3.0912,,,,
2026-03-27,666758932761.0,3.0873,,,,,7.9468,,,,,20.4126,,,,,0.0346,20.3716,,,,,3.1037,,,,
2026-03-26,668227025823.96,3.0941,,,,,7.9643,,,,,20.4575,,,,,0.0345,20.4165,,,,,3.1105,,,,
2026-03-25,665780204052.36,3.0828,,,,,7.9352,,,,,20.3826,,,,,0.0347,20.3417,,,,,3.0991,,,,
2026-03-24,663088700103.6,3.0703,,,,,7.9031,,,,,20.3002,,,,,0.0348,20.2595,,,,,3.0866,,,,
2026-03-23,654280141725.84,3.0295,,,,,7.7981,,,,,20.0305,,,,,0.0353,19.9903,,,,,3.0456,,,,
2026-03-20,665046157520.88,3.0794,,,,,7.9264,,,,,20.3601,,,,,0.0347,20.3193,,,,,3.0957,,,,
2026-03-19,667003614938.16,3.0884,,,,,7.9497,,,,,20.4201,,,,,0.0346,20.3791,,,,,3.1048,,,,
2026-03-18,667737661469.64,3.0918,,,,,7.9585,,,,,20.4425,,,,,0.0346,20.4015,,,,,3.1083,,,,
2026-03-17,672631305012.84,3.1145,,,,,8.0168,,,,,20.5924,,,,,0.0343,20.5510,,,,,3.1310,,,,
2026-03-16,669450436709.76,3.0998,,,,,7.9789,,,,,20.4950,,,,,0.0345,20.4538,,,,,3.1162,,,,
2026-03-13,670918529772.7201,3.1066,,,,,7.9964,,,,,20.5399,,,,,0.0344,20.4987,,,,,3.1231,,,,
2026-03-12,672875987190.0,3.1156,,,,,8.0197,,,,,20.5998,,,,,0.0343,20.5585,,,,,3.1322,,,,
2026-03-11,667982343646.8,3.0930,,,,,7.9614,,,,,20.4500,,,,,0.0345,20.4090,,,,,3.1094,,,,
2026-03-10,664312110989.4,3.0760,,,,,7.9177,,,,,20.3377,,,,,0.0347,20.2968,,,,,3.0923,,,,
2026-03-09,665535521875.2,3.0816,,,,,7.9323,,,,,20.3751,,,,,0.0347,20.3342,,,,,3.0980,,,,
2026-03-06,664067428812.24,3.0748,,,,,7.9148,,,,,20.3302,,,,,0.0347,20.2894,,,,,3.0912,,,,
2026-03-05,662599335749.2799,3.0681,,,,,7.8973,,,,,20.2852,,,,,0.0348,20.2445,,,,,3.0843,,,,
2026-03-04,662844017926.44,3.0692,,,,,7.9002,,,,,20.2927,,,,,0.0348,20.2520,,,,,3.0855,,,,
2026-03-03,659907831800.52,3.0556,,,,,7.8652,,,,,20.2028,,,,,0.0350,20.1623,,,,,3.0718,,,,
2026-03-02,650120544714.12,3.0103,,,,,7.7485,,,,,19.9032,,,,,0.0355,19.8632,,,,,3.0262,,,,
2026-02-27,637152389324.64,2.9502,,,,,7.5940,,,,,19.5062,,,,,0.0362,19.4670,,,,,2.9659,,,,
2026-02-26,637152389324.64,2.9502,,,,,7.5940,,,,,19.5062,,,,,0.0362,19.4670,,,,,2.9659,,,,
2026-02-25,635439614084.52,2.9423,,,,,7.5736,,,,,19.4537,,,,,0.0363,19.4147,,,,,2.9579,,,,
2026-02-24,637397071501.8,2.9514,,,,,7.5969,,,,,19.5137,,,,,0.0362,19.4745,,,,,2.9670,,,,
2026-02-13,636173660616.0,2.9457,,,,,7.5823,,,,,19.4762,,,,,0.0363,19.4371,,,,,2.9613,,,,
2026-02-12,639109846741.92,2.9593,,,,,7.6173,,,,,19.5661,,,,,0.0361,19.5268,,,,,2.9750,,,,
2026-02-11,647918405119.68,2.9304,,,,,7.7223,,,,,19.8358,,,,,0.0356,19.7960,,,,,2.9455,,,,
2026-02-10,650120544714.12,2.9403,,,,,7.7485,,,,,19.9032,,,,,0.0355,19.8632,,,,,2.9556,,,,
2026-02-09,647429040765.36,2.9281,,,,,7.7164,,,,,19.8208,,,,,0.0356,19.7810,,,,,2.9433,,,,
2026-02-06,648897133828.32,2.9348,,,,,7.7339,,,,,19.8657,,,,,0.0356,19.8259,,,,,2.9500,,,,
2026-02-05,650854591245.6,2.9436,,,,,7.7573,,,,,19.9257,,,,,0.0355,19.8857,,,,,2.9589,,,,
2026-02-04,645471583348.08,2.9193,,,,,7.6931,,,,,19.7609,,,,,0.0357,19.7212,,,,,2.9344,,,,
2026-02-03,636173660616.0,2.8772,,,,,7.5823,,,,,19.4762,,,,,0.0363,19.4371,,,,,2.8921,,,,
2026-02-02,639599211096.24,2.8927,,,,,7.6231,,,,,19.5811,,,,,0.0361,19.5418,,,,,2.9077,,,,
2026-01-30,644982218993.76,2.9171,,,,,7.6873,,,,,19.7459,,,,,0.0358,19.7063,,,,,2.9322,,,,
2026-01-29,636907707147.48,2.8806,,,,,7.5910,,,,,19.4987,,,,,0.0362,19.4596,,,,,2.8955,,,,
2026-01-28,627609784415.4,2.8385,,,,,7.4802,,,,,19.2140,,,,,0.0368,19.1755,,,,,2.8532,,,,
2026-01-27,634460885375.88,2.8695,,,,,7.5619,,,,,19.4238,,,,,0.0364,19.3848,,,,,2.8844,,,,
2026-01-26,635684296261.68,2.8750,,,,,7.5765,,,,,19.4612,,,,,0.0363,19.4222,,,,,2.8899,,,,
2026-01-23,636173660616.0,2.8772,,,,,7.5823,,,,,19.4762,,,,,0.0363,19.4371,,,,,2.8921,,,,
2026-01-22,643758808107.96,2.9115,,,,,7.6727,,,,,19.7084,,,,,0.0358,19.6689,,,,,2.9266,,,,
2026-01-21,650365226891.2799,2.9414,,,,,7.7514,,,,,19.9107,,,,,0.0355,19.8707,,,,,2.9567,,,,
2026-01-20,657705692206.08,2.9746,,,,,7.8389,,,,,20.1354,,,,,0.0351,20.0950,,,,,2.9900,,,,
2026-01-19,655748234788.8,2.9658,,,,,7.8156,,,,,20.0755,,,,,0.0352,20.0352,,,,,2.9811,,,,
2026-01-16,648897133828.32,2.9348,,,,,7.7339,,,,,19.8657,,,,,0.0356,19.8259,,,,,2.9500,,,,
2026-01-15,656237599143.12,2.9680,,,,,7.8214,,,,,20.0905,,,,,0.0352,20.0501,,,,,2.9834,,,,
2026-01-14,655992916965.96,2.9669,,,,,7.8185,,,,,20.0830,,,,,0.0352,20.0427,,,,,2.9822,,,,
2026-01-13,669450436709.76,3.0277,,,,,7.9789,,,,,20.4950,,,,,0.0345,20.4538,,,,,3.0434,,,,
2026-01-12,670429165418.4,3.0322,,,,,7.9906,,,,,20.5249,,,,,0.0344,20.4837,,,,,3.0479,,,,
2026-01-09,667737661469.64,3.0200,,,,,7.9585,,,,,20.4425,,,,,0.0346,20.4015,,,,,3.0356,,,,
2026-01-08,667003614938.16,3.0167,,,,,7.9497,,,,,20.4201,,,,,0.0346,20.3791,,,,,3.0323,,,,
2026-01-07,666269568406.68,3.0134,,,,,7.9410,,,,,20.3976,,,,,0.0346,20.3567,,,,,3.0290,,,,
2026-01-06,671407894127.04,3.0366,,,,,8.0022,,,,,20.5549,,,,,0.0344,20.5136,,,,,3.0523,,,,
2026-01-05,667492979292.48,3.0189,,,,,7.9556,,,,,20.4350,,,,,0.0346,20.3940,,,,,3.0345,,,,
2025-12-31,665290839698.04,3.0089,,,,,7.9293,,,,,20.3676,,,,,0.0347,20.3268,,,,,3.0245,,,,
2025-12-30,668471708001.12,3.0233,,,,,7.9672,,,,,20.4650,,,,,0.0345,20.4239,,,,,3.0390,,,,
2025-12-29,673365351544.32,3.0454,,,,,8.0256,,,,,20.6148,,,,,0.0343,20.5735,,,,,3.0612,,,,
2025-12-26,676301537670.24,3.0587,,,,,8.0606,,,,,20.7047,,,,,0.0341,20.6632,,,,,3.0746,,,,
2025-12-25,676301537670.24,3.0587,,,,,8.0606,,,,,20.7047,,,,,0.0341,20.6632,,,,,3.0746,,,,
2025-12-24,676301537670.24,3.0587,,,,,8.0606,,,,,20.7047,,,,,0.0341,20.6632,,,,,3.0746,,,,
2025-12-23,678258995087.52,3.0676,,,,,8.0839,,,,,20.7646,,,,,0.0340,20.7230,,,,,3.0835,,,,
2025-12-22,673854715898.64,3.0477,,,,,8.0314,,,,,20.6298,,,,,0.0342,20.5884,,,,,3.0635,,,,
2025-12-19,681439863390.6,3.0820,,,,,8.1218,,,,,20.8620,,,,,0.0339,20.8202,,,,,3.0979,,,,
2025-12-18,687067553465.2799,3.1074,,,,,8.1889,,,,,21.0343,,,,,0.0336,20.9921,,,,,3.1235,,,,
2025-12-17,683152638630.7201,3.0897,,,,,8.1422,,,,,20.9145,,,,,0.0338,20.8725,,,,,3.1057,,,,
2025-12-16,684376049516.52,3.0952,,,,,8.1568,,,,,20.9519,,,,,0.0337,20.9099,,,,,3.1113,,,,
2025-12-15,686088824756.64,3.1030,,,,,8.1772,,,,,21.0044,,,,,0.0336,20.9622,,,,,3.1191,,,,
2025-12-12,686088824756.64,3.1030,,,,,8.1772,,,,,21.0044,,,,,0.0336,20.9622,,,,,3.1191,,,,
2025-12-11,681684545567.76,3.0831,,,,,8.1247,,,,,20.8695,,,,,0.0338,20.8276,,,,,3.0990,,,,
2025-12-10,682418592099.24,3.0864,,,,,8.1335,,,,,20.8920,,,,,0.0338,20.8501,,,,,3.1024,,,,
2025-12-09,684376049516.52,3.0952,,,,,8.1568,,,,,20.9519,,,,,0.0337,20.9099,,,,,3.1113,,,,
2025-12-08,681929227744.92,3.0842,,,,,8.1276,,,,,20.8770,,,,,0.0338,20.8351,,,,,3.1002,,,,
2025-12-05,686822871288.12,3.1063,,,,,8.1860,,,,,21.0268,,,,,0.0336,20.9846,,,,,3.1224,,,,
2025-12-04,690982468299.84,3.1251,,,,,8.2355,,,,,21.1542,,,,,0.0334,21.1117,,,,,3.1413,,,,
2025-12-03,691716514831.32,3.1284,,,,,8.2443,,,,,21.1766,,,,,0.0334,21.1341,,,,,3.1447,,,,
2025-12-02,691471832654.16,3.1273,,,,,8.2414,,,,,21.1692,,,,,0.0334,21.1267,,,,,3.1435,,,,
2025-12-01,686822871288.12,3.1063,,,,,8.1860,,,,,21.0268,,,,,0.0336,20.9846,,,,,3.1224,,,,
2025-11-28,684620731693.68,3.0963,,,,,8.1597,,,,,20.9594,,,,,0.0337,20.9173,,,,,3.1124,,,,
2025-11-27,687312235642.44,3.1085,,,,,8.1918,,,,,21.0418,,,,,0.0336,20.9996,,,,,3.1246,,,,
2025-11-26,683642002985.04,3.0919,,,,,8.1481,,,,,20.9294,,,,,0.0338,20.8874,,,,,3.1079,,,,
2025-11-25,685844142579.48,3.1019,,,,,8.1743,,,,,20.9969,,,,,0.0336,20.9547,,,,,3.1180,,,,
2025-11-24,689759057414.04,3.1196,,,,,8.2210,,,,,21.1167,,,,,0.0335,21.0743,,,,,3.1358,,,,
2025-11-21,689025010882.56,3.1163,,,,,8.2122,,,,,21.0942,,,,,0.0335,21.0519,,,,,3.1324,,,,
2025-11-20,688535646528.24,3.1141,,,,,8.2064,,,,,21.0793,,,,,0.0335,21.0370,,,,,3.1302,,,,
2025-11-19,690737786122.68,3.1240,,,,,8.2326,,,,,21.1467,,,,,0.0334,21.1042,,,,,3.1402,,,,
2025-11-18,688780328705.4,3.1152,,,,,8.2093,,,,,21.0868,,,,,0.0335,21.0444,,,,,3.1313,,,,
2025-11-17,689025010882.56,3.1163,,,,,8.2122,,,,,21.0942,,,,,0.0335,21.0519,,,,,3.1324,,,,
2025-11-14,693429290071.44,3.1362,,,,,8.2647,,,,,21.2291,,,,,0.0333,21.1865,,,,,3.1524,,,,
2025-11-13,695876111843.04,3.1473,,,,,8.2939,,,,,21.3040,,,,,0.0332,21.2612,,,,,3.1636,,,,
2025-11-12,700035708854.76,3.1661,,,,,8.3434,,,,,21.4313,,,,,0.0330,21.3883,,,,,3.1825,,,,
2025-11-11,700280391031.92,3.1672,,,,,8.3464,,,,,21.4388,,,,,0.0329,21.3958,,,,,3.1836,,,,
2025-11-10,698078251437.48,3.1572,,,,,8.3201,,,,,21.3714,,,,,0.0331,21.3285,,,,,3.1736,,,,
2025-11-07,697833569260.32,3.1561,,,,,8.3172,,,,,21.3639,,,,,0.0331,21.3210,,,,,3.1725,,,,
2025-11-06,697344204906.0,3.1539,,,,,8.3114,,,,,21.3489,,,,,0.0331,21.3061,,,,,3.1702,,,,
2025-11-05,695386747488.7201,3.1450,,,,,8.2880,,,,,21.2890,,,,,0.0332,21.2463,,,,,3.1613,,,,
2025-11-04,699791026677.6,3.1650,,,,,8.3405,,,,,21.4238,,,,,0.0330,21.3808,,,,,3.1814,,,,
2025-11-03,692695243539.96,3.1329,,,,,8.2560,,,,,21.2066,,,,,0.0333,21.1640,,,,,3.1491,,,,
2025-10-31,687556917819.6,3.1096,,,,,8.1947,,,,,21.0493,,,,,0.0336,21.0071,,,,,3.1257,,,,
2025-10-30,696610158374.52,3.3731,,,,,8.0644,,,,,20.3746,,,,,0.0331,20.2931,,,,,3.3919,,,,
2025-10-29,692205879185.64,3.3518,,,,,8.0134,,,,,20.2457,,,,,0.0333,20.1648,,,,,3.3705,,,,
2025-10-28,696365476197.36,3.3719,,,,,8.0615,,,,,20.3674,,,,,0.0331,20.2860,,,,,3.3907,,,,
2025-10-27,692450561362.8,3.3529,,,,,8.0162,,,,,20.2529,,,,,0.0333,20.1720,,,,,3.3717,,,,
2025-10-24,689759057414.04,3.3399,,,,,7.9851,,,,,20.1742,,,,,0.0335,20.0936,,,,,3.3586,,,,
2025-10-23,690737786122.68,3.3446,,,,,7.9964,,,,,20.2028,,,,,0.0334,20.1221,,,,,3.3633,,,,
2025-10-22,686088824756.64,3.3221,,,,,7.9426,,,,,20.0668,,,,,0.0336,19.9866,,,,,3.3407,,,,
2025-10-21,682907956453.56,3.3067,,,,,7.9057,,,,,19.9738,,,,,0.0338,19.8940,,,,,3.3252,,,,
2025-10-20,686333506933.8,3.3233,,,,,7.9454,,,,,20.0740,,,,,0.0336,19.9938,,,,,3.3419,,,,
2025-10-17,687801599996.76,3.3304,,,,,7.9624,,,,,20.1169,,,,,0.0335,20.0365,,,,,3.3490,,,,
2025-10-16,689025010882.56,3.3364,,,,,7.9766,,,,,20.1527,,,,,0.0335,20.0722,,,,,3.3550,,,,
2025-10-15,683397320807.88,3.3091,,,,,7.9114,,,,,19.9881,,,,,0.0338,19.9082,,,,,3.3276,,,,
2025-10-14,684865413870.84,3.3162,,,,,7.9284,,,,,20.0310,,,,,0.0337,19.9510,,,,,3.3348,,,,
2025-10-13,679971770327.64,3.2925,,,,,7.8718,,,,,19.8879,,,,,0.0339,19.8084,,,,,3.3109,,,,
2025-10-10,678503677264.68,3.2854,,,,,7.8548,,,,,19.8450,,,,,0.0340,19.7657,,,,,3.3038,,,,
2025-10-09,677280266378.88,3.2795,,,,,7.8406,,,,,19.8092,,,,,0.0341,19.7300,,,,,3.2978,,,,
2025-09-30,666758932761.0,3.2285,,,,,7.7188,,,,,19.5015,,,,,0.0346,19.4235,,,,,3.2466,,,,
2025-09-29,667982343646.8,3.2345,,,,,7.7330,,,,,19.5372,,,,,0.0345,19.4592,,,,,3.2525,,,,
2025-09-26,672141940658.52,3.2546,,,,,7.7811,,,,,19.6589,,,,,0.0343,19.5804,,,,,3.2728,,,,
2025-09-25,667737661469.64,3.2333,,,,,7.7301,,,,,19.5301,,,,,0.0346,19.4520,,,,,3.2514,,,,
2025-09-24,666758932761.0,3.2285,,,,,7.7188,,,,,19.5015,,,,,0.0346,19.4235,,,,,3.2466,,,,
2025-09-23,668471708001.12,3.2368,,,,,7.7386,,,,,19.5516,,,,,0.0345,19.4734,,,,,3.2549,,,,
2025-09-22,663578064457.92,3.2131,,,,,7.6820,,,,,19.4084,,,,,0.0348,19.3309,,,,,3.2311,,,,
2025-09-19,665535521875.2,3.2226,,,,,7.7046,,,,,19.4657,,,,,0.0347,19.3879,,,,,3.2406,,,,
2025-09-18,668227025823.96,3.2356,,,,,7.7358,,,,,19.5444,,,,,0.0345,19.4663,,,,,3.2537,,,,
2025-09-17,677769630733.2,3.2819,,,,,7.8463,,,,,19.8235,,,,,0.0340,19.7443,,,,,3.3002,,,,
2025-09-16,678503677264.68,3.2854,,,,,7.8548,,,,,19.8450,,,,,0.0340,19.7657,,,,,3.3038,,,,
2025-09-15,680216452504.8,3.2937,,,,,7.8746,,,,,19.8951,,,,,0.0339,19.8156,,,,,3.3121,,,,
2025-09-12,683397320807.88,3.3091,,,,,7.9114,,,,,19.9881,,,,,0.0338,19.9082,,,,,3.3276,,,,
2025-09-11,685110096048.0,3.3174,,,,,7.9312,,,,,20.0382,,,,,0.0337,19.9581,,,,,3.3359,,,,
2025-09-10,685354778225.16,3.3186,,,,,7.9341,,,,,20.0454,,,,,0.0337,19.9653,,,,,3.3371,,,,
2025-09-09,685354778225.16,3.3186,,,,,7.9341,,,,,20.0454,,,,,0.0337,19.9653,,,,,3.3371,,,,
2025-09-08,688780328705.4,3.3352,,,,,7.9737,,,,,20.1455,,,,,0.0335,20.0650,,,,,3.3538,,,,
2025-09-05,686822871288.12,3.3257,,,,,7.9511,,,,,20.0883,,,,,0.0336,20.0080,,,,,3.3443,,,,
2025-09-04,690737786122.68,3.3446,,,,,7.9964,,,,,20.2028,,,,,0.0334,20.1221,,,,,3.3633,,,,
2025-09-03,684131367339.36,3.3127,,,,,7.9199,,,,,20.0096,,,,,0.0337,19.9296,,,,,3.3312,,,,
2025-09-02,690248421768.36,3.3423,,,,,7.9907,,,,,20.1885,,,,,0.0334,20.1078,,,,,3.3610,,,,
2025-09-01,679971770327.64,3.2925,,,,,7.8718,,,,,19.8879,,,,,0.0339,19.8084,,,,,3.3109,,,,
2025-08-29,687312235642.44,3.4734,,,,,8.0045,,,,,20.3889,,,,,0.0336,20.3583,,,,,3.4937,,,,
2025-08-28,681929227744.92,3.4462,,,,,7.9418,,,,,20.2292,,,,,0.0338,20.1988,,,,,3.4663,,,,
2025-08-27,684131367339.36,3.4573,,,,,7.9674,,,,,20.2945,,,,,0.0337,20.2641,,,,,3.4775,,,,
2025-08-26,692695243539.96,3.5006,,,,,8.0671,,,,,20.5486,,,,,0.0333,20.5177,,,,,3.5211,,,,
2025-08-25,693673972248.6,3.5055,,,,,8.0785,,,,,20.5776,,,,,0.0333,20.5467,,,,,3.5260,,,,
2025-08-22,681929227744.92,3.4462,,,,,7.9418,,,,,20.2292,,,,,0.0338,20.1988,,,,,3.4663,,,,
2025-08-21,681439863390.6,3.4437,,,,,7.9361,,,,,20.2147,,,,,0.0339,20.1843,,,,,3.4639,,,,
