date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-04-13,1045716325211.25,0.0468,7.7588,,,,,0.9954,,,,,7.2734,,,,,1.0867,,,,,1.0453,,,,
2026-04-10,1065091502145.9,0.0459,7.9026,,,,,1.0139,,,,,7.4081,,,,,1.1068,,,,,1.0646,,,,
2026-04-09,1063642890786.3,0.0460,7.8918,,,,,1.0125,,,,,7.3981,,,,,1.1053,,,,,1.0632,,,,
2026-04-08,1076499316602.75,0.0454,7.9872,,,,,1.0247,,,,,7.4875,,,,,1.1187,,,,,1.0760,,,,
2026-04-07,1026522224696.55,0.0476,7.6164,,,,,0.9772,,,,,7.1399,,,,,1.0668,,,,,1.0261,,,,
2026-04-03,1036662504213.75,0.0472,7.6916,,,,,0.9868,,,,,7.2104,,,,,1.0773,,,,,1.0362,,,,
2026-04-02,1036843580633.7,0.0472,7.6930,,,,,0.9870,,,,,7.2117,,,,,1.0775,,,,,1.0364,,,,
2026-04-01,1053502611269.1,0.0464,7.8166,,,,,1.0029,,,,,7.3275,,,,,1.0948,,,,,1.0531,,,,
2026-03-31,1028151912476.1,0.0476,7.6285,,,,,0.9787,,,,,7.1512,,,,,1.0684,,,,,1.0277,,,,
2026-03-30,1020003473578.35,0.0479,7.5680,,,,,0.9710,,,,,7.0945,,,,,1.0600,,,,,1.0196,,,,
2026-03-27,1031230211615.25,0.0474,7.6513,,,,,0.9817,,,,,7.1726,,,,,1.0716,,,,,1.0308,,,,
2026-03-26,1028514065316.0,0.0454,7.3318,,,,,0.9466,,,,,6.9739,,,,,1.1047,,,,,1.0612,,,,
2026-03-25,1064548272886.05,0.0439,7.5887,,,,,0.9798,,,,,7.2182,,,,,1.1434,,,,,1.0984,,,,
2026-03-24,1052416152749.4,0.0444,7.5022,,,,,0.9686,,,,,7.1359,,,,,1.1304,,,,,1.0859,,,,
2026-03-23,1040646185452.65,0.0449,7.4183,,,,,0.9578,,,,,7.0561,,,,,1.1177,,,,,1.0737,,,,
2026-03-20,1081750532781.3,0.0432,7.7113,,,,,0.9956,,,,,7.3348,,,,,1.1619,,,,,1.1161,,,,
2026-03-19,1097685257736.9,0.0425,7.8249,,,,,1.0103,,,,,7.4429,,,,,1.1790,,,,,1.1326,,,,
2026-03-18,1120681963070.55,0.0417,7.9888,,,,,1.0315,,,,,7.5988,,,,,1.2037,,,,,1.1563,,,,
2026-03-17,1119776580970.8,0.0417,7.9824,,,,,1.0306,,,,,7.5927,,,,,1.2027,,,,,1.1554,,,,
2026-03-16,1095150187857.6,0.0426,7.8068,,,,,1.0080,,,,,7.4257,,,,,1.1763,,,,,1.1299,,,,
2026-03-13,1108187690094.0,0.0421,7.8998,,,,,1.0200,,,,,7.5141,,,,,1.1903,,,,,1.1434,,,,
2026-03-12,1115430746892.0,0.0419,7.9514,,,,,1.0266,,,,,7.5632,,,,,1.1981,,,,,1.1509,,,,
2026-03-11,1132633006787.25,0.0412,8.0740,,,,,1.0425,,,,,7.6799,,,,,1.2165,,,,,1.1686,,,,
2026-03-10,1124303491469.55,0.0415,8.0147,,,,,1.0348,,,,,7.6234,,,,,1.2076,,,,,1.1600,,,,
2026-03-09,1111809218493.0,0.0420,7.9256,,,,,1.0233,,,,,7.5387,,,,,1.1942,,,,,1.1471,,,,
2026-03-06,1134805923826.65,0.0412,8.0895,,,,,1.0445,,,,,7.6946,,,,,1.2189,,,,,1.1709,,,,
2026-03-05,1124122415049.6,0.0415,8.0134,,,,,1.0346,,,,,7.6222,,,,,1.2074,,,,,1.1598,,,,
2026-03-04,1118871198871.05,0.0417,7.9759,,,,,1.0298,,,,,7.5865,,,,,1.2018,,,,,1.1544,,,,
2026-03-03,1132995159627.15,0.0412,8.0766,,,,,1.0428,,,,,7.6823,,,,,1.2169,,,,,1.1690,,,,
2026-03-02,1129011478388.25,0.0414,8.0482,,,,,1.0391,,,,,7.6553,,,,,1.2126,,,,,1.1649,,,,
2026-02-27,1142411133464.55,0.0409,8.1437,,,,,1.0515,,,,,7.7462,,,,,1.2270,,,,,1.1787,,,,
2026-02-26,1149835266682.5,0.0406,8.1967,,,,,1.0583,,,,,7.7965,,,,,1.2350,,,,,1.1864,,,,
2026-02-25,1177902111774.75,0.0396,8.3967,,,,,1.0841,,,,,7.9868,,,,,1.2652,,,,,1.2153,,,,
2026-02-24,1167942908677.5,0.0400,8.3257,,,,,1.0750,,,,,7.9193,,,,,1.2545,,,,,1.2051,,,,
2026-02-13,1182247945853.55,0.0395,8.4277,,,,,1.0881,,,,,8.0163,,,,,1.2698,,,,,1.2198,,,,
2026-02-12,1204882498347.3,0.0388,8.5891,,,,,1.1090,,,,,8.1697,,,,,1.2941,,,,,1.2432,,,,
2026-02-11,1222265834662.5,0.0382,8.7130,,,,,1.1250,,,,,8.2876,,,,,1.3128,,,,,1.2611,,,,
2026-02-10,1234760107639.05,0.0378,8.8020,,,,,1.1365,,,,,8.3723,,,,,1.3262,,,,,1.2740,,,,
2026-02-09,1243995005056.5,0.0375,8.8679,,,,,1.1450,,,,,8.4350,,,,,1.3361,,,,,1.2835,,,,
2026-02-06,1211401249465.5,0.0386,8.6355,,,,,1.1150,,,,,8.2139,,,,,1.3011,,,,,1.2499,,,,
2026-02-05,1219549688363.25,0.0383,8.6936,,,,,1.1225,,,,,8.2692,,,,,1.3099,,,,,1.2583,,,,
2026-02-04,1220455070463.0,0.0383,8.7001,,,,,1.1233,,,,,8.2753,,,,,1.3109,,,,,1.2592,,,,
2026-02-03,1205606804027.1,0.0387,8.5942,,,,,1.1096,,,,,8.1747,,,,,1.2949,,,,,1.2439,,,,
2026-02-02,1195466524509.9,0.0391,8.5219,,,,,1.1003,,,,,8.1059,,,,,1.2840,,,,,1.2335,,,,
2026-01-30,1208685103166.25,0.0386,8.6162,,,,,1.1125,,,,,8.1955,,,,,1.2982,,,,,1.2471,,,,
2026-01-29,1231319655660.0,0.0379,8.7775,,,,,1.1333,,,,,8.3490,,,,,1.3225,,,,,1.2704,,,,
2026-01-28,1172469819176.25,0.0398,8.3580,,,,,1.0791,,,,,7.9500,,,,,1.2593,,,,,1.2097,,,,
2026-01-27,1182610098693.45,0.0395,8.4303,,,,,1.0885,,,,,8.0187,,,,,1.2702,,,,,1.2202,,,,
2026-01-26,1161424157559.3,0.0402,8.2793,,,,,1.0690,,,,,7.8751,,,,,1.2475,,,,,1.1983,,,,
2026-01-23,1157078323480.5,0.0404,8.2483,,,,,1.0650,,,,,7.8456,,,,,1.2428,,,,,1.1938,,,,
2026-01-22,1173375201276.0,0.0398,8.3645,,,,,1.0800,,,,,7.9561,,,,,1.2603,,,,,1.2107,,,,
2026-01-21,1192388225370.75,0.0392,8.5000,,,,,1.0975,,,,,8.0850,,,,,1.2807,,,,,1.2303,,,,
2026-01-20,1205968956867.0,0.0387,8.5968,,,,,1.1100,,,,,8.1771,,,,,1.2953,,,,,1.2443,,,,
2026-01-19,1200536664268.5,0.0389,8.5581,,,,,1.1050,,,,,8.1403,,,,,1.2895,,,,,1.2387,,,,
2026-01-16,1201079893528.35,0.0389,8.5620,,,,,1.1055,,,,,8.1440,,,,,1.2900,,,,,1.2392,,,,
2026-01-15,1220636146882.95,0.0383,8.7014,,,,,1.1235,,,,,8.2766,,,,,1.3111,,,,,1.2594,,,,
2026-01-14,1213212013665.0,0.0385,8.6484,,,,,1.1166,,,,,8.2262,,,,,1.3031,,,,,1.2518,,,,
2026-01-13,1234941184059.0,0.0378,8.8033,,,,,1.1366,,,,,8.3736,,,,,1.3264,,,,,1.2742,,,,
2026-01-12,1223171216762.25,0.0382,8.7194,,,,,1.1258,,,,,8.2938,,,,,1.3138,,,,,1.2620,,,,
2026-01-09,1249427297655.0,0.0374,8.9066,,,,,1.1500,,,,,8.4718,,,,,1.3420,,,,,1.2891,,,,
2026-01-08,1274415843608.1,0.0366,9.0847,,,,,1.1730,,,,,8.6412,,,,,1.3688,,,,,1.3149,,,,
2026-01-07,1330006304532.75,0.0351,9.4810,,,,,1.2241,,,,,9.0182,,,,,1.4285,,,,,1.3723,,,,
2026-01-06,1345759953068.4,0.0347,9.5933,,,,,1.2386,,,,,9.1250,,,,,1.4454,,,,,1.3885,,,,
2026-01-05,1310268974758.2,0.0356,9.3403,,,,,1.2060,,,,,8.8843,,,,,1.4073,,,,,1.3519,,,,
2025-12-31,1238562712458.0,0.0377,8.8292,,,,,1.1400,,,,,8.3981,,,,,1.3303,,,,,1.2779,,,,
2025-12-30,1245805769256.0,0.0375,8.8808,,,,,1.1466,,,,,8.4472,,,,,1.3381,,,,,1.2854,,,,
2025-12-29,1265362022610.6,0.0369,9.0202,,,,,1.1646,,,,,8.5798,,,,,1.3591,,,,,1.3056,,,,
2025-12-26,1288539804364.2,0.0362,9.1854,,,,,1.1860,,,,,8.7370,,,,,1.3840,,,,,1.3295,,,,
2025-12-25,1282021053246.0,0.0364,9.1390,,,,,1.1800,,,,,8.6928,,,,,1.3770,,,,,1.3228,,,,
2025-12-24,1249970526914.85,0.0374,8.9105,,,,,1.1505,,,,,8.4755,,,,,1.3426,,,,,1.2897,,,,
2025-12-23,1258300042232.5498,0.0371,8.9699,,,,,1.1581,,,,,8.5319,,,,,1.3515,,,,,1.2983,,,,
2025-12-22,1241097782337.3,0.0376,8.8472,,,,,1.1423,,,,,8.4153,,,,,1.3330,,,,,1.2805,,,,
2025-12-19,1244900387156.25,0.0375,8.8743,,,,,1.1458,,,,,8.4411,,,,,1.3371,,,,,1.2845,,,,
2025-12-18,1240373476657.5,0.0377,8.8421,,,,,1.1416,,,,,8.4104,,,,,1.3323,,,,,1.2798,,,,
2025-12-17,1232225037759.75,0.0379,8.7840,,,,,1.1341,,,,,8.3551,,,,,1.3235,,,,,1.2714,,,,
2025-12-16,1213212013665.0,0.0385,8.6484,,,,,1.1166,,,,,8.2262,,,,,1.3031,,,,,1.2518,,,,
2025-12-15,1214660625024.6,0.0384,8.6588,,,,,1.1180,,,,,8.2360,,,,,1.3046,,,,,1.2533,,,,
2025-12-12,1157259399900.45,0.0404,8.2496,,,,,1.0651,,,,,7.8468,,,,,1.2430,,,,,1.1940,,,,
2025-12-11,1132270853947.35,0.0412,8.0714,,,,,1.0421,,,,,7.6774,,,,,1.2161,,,,,1.1682,,,,
2025-12-10,1132633006787.25,0.0412,8.0740,,,,,1.0425,,,,,7.6799,,,,,1.2165,,,,,1.1686,,,,
2025-12-09,1130822242587.75,0.0413,8.0611,,,,,1.0408,,,,,7.6676,,,,,1.2146,,,,,1.1668,,,,
2025-12-08,1148024502483.0,0.0407,8.1837,,,,,1.0566,,,,,7.7842,,,,,1.2331,,,,,1.1845,,,,
2025-12-05,1122492727270.05,0.0416,8.0017,,,,,1.0331,,,,,7.6111,,,,,1.2056,,,,,1.1582,,,,
2025-12-04,1060202438807.25,0.0441,7.5577,,,,,0.9758,,,,,7.1887,,,,,1.1387,,,,,1.0939,,,,
2025-12-03,1056580910408.25,0.0442,7.5319,,,,,0.9725,,,,,7.1642,,,,,1.1348,,,,,1.0902,,,,
2025-12-02,1064729349306.0,0.0439,7.5900,,,,,0.9800,,,,,7.2194,,,,,1.1436,,,,,1.0986,,,,
2025-12-01,1061651050166.85,0.0440,7.5680,,,,,0.9771,,,,,7.1986,,,,,1.1403,,,,,1.0954,,,,
2025-11-28,1068169801285.05,0.0437,7.6145,,,,,0.9831,,,,,7.2428,,,,,1.1473,,,,,1.1021,,,,
2025-11-27,1074507475983.3,0.0435,7.6597,,,,,0.9890,,,,,7.2857,,,,,1.1541,,,,,1.1086,,,,
2025-11-26,1082474838461.1,0.0431,7.7165,,,,,0.9963,,,,,7.3398,,,,,1.1627,,,,,1.1169,,,,
2025-11-25,1076861469442.65,0.0434,7.6765,,,,,0.9911,,,,,7.3017,,,,,1.1566,,,,,1.1111,,,,
2025-11-24,1057486292508.0,0.0442,7.5383,,,,,0.9733,,,,,7.1703,,,,,1.1358,,,,,1.0911,,,,
2025-11-21,1066721189925.45,0.0438,7.6042,,,,,0.9818,,,,,7.2329,,,,,1.1457,,,,,1.1006,,,,
2025-11-20,1090080048099.0,0.0428,7.7707,,,,,1.0033,,,,,7.3913,,,,,1.1708,,,,,1.1247,,,,
2025-11-19,1093158347238.15,0.0427,7.7926,,,,,1.0061,,,,,7.4122,,,,,1.1741,,,,,1.1279,,,,
2025-11-18,1079577615741.9,0.0433,7.6958,,,,,0.9936,,,,,7.3201,,,,,1.1595,,,,,1.1139,,,,
2025-11-17,1083380220560.85,0.0431,7.7229,,,,,0.9971,,,,,7.3459,,,,,1.1636,,,,,1.1178,,,,
2025-11-14,1098228486996.75,0.0425,7.8288,,,,,1.0108,,,,,7.4466,,,,,1.1796,,,,,1.1331,,,,
2025-11-13,1102393244655.6,0.0424,7.8585,,,,,1.0146,,,,,7.4748,,,,,1.1841,,,,,1.1374,,,,
2025-11-12,1087001748959.85,0.0430,7.7487,,,,,1.0005,,,,,7.3705,,,,,1.1675,,,,,1.1215,,,,
2025-11-11,1071972406104.0,0.0436,7.6416,,,,,0.9866,,,,,7.2685,,,,,1.1514,,,,,1.1060,,,,
2025-11-10,1073783170303.5,0.0435,7.6545,,,,,0.9883,,,,,7.2808,,,,,1.1533,,,,,1.1079,,,,
2025-11-07,1066359037085.55,0.0438,7.6016,,,,,0.9815,,,,,7.2305,,,,,1.1453,,,,,1.1002,,,,
2025-11-06,1066540113505.5,0.0438,7.6029,,,,,0.9816,,,,,7.2317,,,,,1.1455,,,,,1.1004,,,,
2025-11-05,1056037681148.4,0.0442,7.5280,,,,,0.9720,,,,,7.1605,,,,,1.1343,,,,,1.0896,,,,
2025-11-04,1067264419185.3,0.0438,7.6080,,,,,0.9823,,,,,7.2366,,,,,1.1463,,,,,1.1012,,,,
2025-11-03,1055856604728.45,0.0442,7.5267,,,,,0.9718,,,,,7.1593,,,,,1.1341,,,,,1.0894,,,,
2025-10-31,1047164936570.85,0.0446,7.4648,,,,,0.9638,,,,,7.1003,,,,,1.1247,,,,,1.0804,,,,
2025-10-30,1062013203006.75,0.0440,7.5706,,,,,0.9775,,,,,7.2010,,,,,1.1407,,,,,1.0958,,,,
2025-10-29,1067445495605.25,0.0438,7.6093,,,,,0.9825,,,,,7.2379,,,,,1.1465,,,,,1.1014,,,,
2025-10-28,1045897401631.2,0.0447,8.7133,,,,,1.0115,,,,,8.9596,,,,,1.1874,,,,,1.1286,,,,
2025-10-27,1045716325211.25,0.0447,8.7118,,,,,1.0113,,,,,8.9580,,,,,1.1871,,,,,1.1284,,,,
2025-10-24,1048070318670.6,0.0446,8.7314,,,,,1.0136,,,,,8.9782,,,,,1.1898,,,,,1.1309,,,,
2025-10-23,1063823967206.25,0.0439,8.8626,,,,,1.0288,,,,,9.1132,,,,,1.1846,,,,,1.1270,,,,
2025-10-22,1054045840528.95,0.0443,8.7812,,,,,1.0194,,,,,9.0294,,,,,1.1737,,,,,1.1166,,,,
2025-10-21,1051691847069.6,0.0444,8.7615,,,,,1.0171,,,,,9.0092,,,,,1.1711,,,,,1.1141,,,,
2025-10-20,1048432471510.5,0.0445,8.7344,,,,,1.0139,,,,,8.9813,,,,,1.1674,,,,,1.1107,,,,
2025-10-17,1037205733473.6,0.0450,8.6409,,,,,1.0031,,,,,8.8851,,,,,1.1549,,,,,1.0988,,,,
2025-10-16,1050605388549.9,0.0445,8.7525,,,,,1.0160,,,,,8.9999,,,,,1.1699,,,,,1.1130,,,,
2025-10-15,1046802783730.95,0.0446,8.7208,,,,,1.0123,,,,,8.9673,,,,,1.1656,,,,,1.1090,,,,
2025-10-14,1022719619877.6,0.0457,8.5202,,,,,0.9891,,,,,8.7610,,,,,1.1388,,,,,1.0834,,,,
2025-10-13,997731073924.5,0.0468,8.3120,,,,,0.9649,,,,,8.5470,,,,,1.1110,,,,,1.0570,,,,
2025-10-10,1005698436402.3,0.0464,8.3784,,,,,0.9726,,,,,8.6152,,,,,1.1198,,,,,1.0654,,,,
2025-10-09,996644615404.8,0.0469,8.3030,,,,,0.9638,,,,,8.5377,,,,,1.1098,,,,,1.0558,,,,
2025-09-30,997912150344.45,0.0468,8.3135,,,,,0.9651,,,,,8.5485,,,,,1.1112,,,,,1.0572,,,,
2025-09-29,1014209028139.95,0.0461,8.4493,,,,,0.9808,,,,,8.6881,,,,,1.1293,,,,,1.0744,,,,
2025-09-26,999903990963.9,0.0468,8.3301,,,,,0.9670,,,,,8.5656,,,,,1.1134,,,,,1.0593,,,,
2025-09-25,997549997504.55,0.0469,8.3105,,,,,0.9647,,,,,8.5454,,,,,1.1108,,,,,1.0568,,,,
2025-09-24,1001171525903.55,0.0467,8.3407,,,,,0.9682,,,,,8.5764,,,,,1.1148,,,,,1.0606,,,,
2025-09-23,996282462564.9,0.0470,8.2999,,,,,0.9635,,,,,8.5346,,,,,1.1094,,,,,1.0554,,,,
2025-09-22,998636456024.25,0.0469,8.3195,,,,,0.9658,,,,,8.5547,,,,,1.1120,,,,,1.0579,,,,
2025-09-19,997731073924.5,0.0469,8.3120,,,,,0.9649,,,,,8.5470,,,,,1.1110,,,,,1.0570,,,,
2025-09-18,1000990449483.6,0.0468,8.3392,,,,,0.9680,,,,,8.5749,,,,,1.1146,,,,,1.0604,,,,
2025-09-17,1024349307657.15,0.0457,8.5338,,,,,0.9906,,,,,8.7750,,,,,1.1406,,,,,1.0852,,,,
2025-09-16,1025254689756.9,0.0456,8.5413,,,,,0.9915,,,,,8.7828,,,,,1.1416,,,,,1.0861,,,,
2025-09-15,1038111115573.35,0.0451,8.6484,,,,,1.0039,,,,,8.8929,,,,,1.1559,,,,,1.0997,,,,
2025-09-12,1044448790271.6,0.0448,8.7012,,,,,1.0101,,,,,8.9472,,,,,1.1630,,,,,1.1065,,,,
2025-09-11,1062737508686.55,0.0440,8.8536,,,,,1.0278,,,,,9.1038,,,,,1.1834,,,,,1.1258,,,,
2025-09-10,1047889242250.65,0.0447,8.7299,,,,,1.0134,,,,,8.9767,,,,,1.1668,,,,,1.1101,,,,
2025-09-09,1050243235710.0,0.0446,8.7495,,,,,1.0157,,,,,8.9968,,,,,1.1694,,,,,1.1126,,,,
2025-09-08,1044810943111.5,0.0448,8.7042,,,,,1.0104,,,,,8.9503,,,,,1.1634,,,,,1.1068,,,,
2025-09-05,1048432471510.5,0.0446,8.7344,,,,,1.0139,,,,,8.9813,,,,,1.1674,,,,,1.1107,,,,
2025-09-04,1041189414712.5,0.0449,8.6740,,,,,1.0069,,,,,8.9193,,,,,1.1594,,,,,1.1030,,,,
2025-09-03,1046259554471.1,0.0447,8.7163,,,,,1.0118,,,,,8.9627,,,,,1.1650,,,,,1.1084,,,,
2025-09-02,1068212362046.62,0.0438,8.8992,,,,,1.0331,,,,,9.1507,,,,,1.1895,,,,,1.1316,,,,
2025-09-01,1065480826855.57,0.0439,8.8764,,,,,1.0304,,,,,9.1273,,,,,1.1864,,,,,1.1287,,,,
2025-08-29,1090428848267.16,0.0429,9.0843,,,,,1.0545,,,,,9.3411,,,,,1.2142,,,,,1.1552,,,,
2025-08-28,1071490204275.88,0.0437,8.9265,,,,,1.0362,,,,,9.1788,,,,,1.1931,,,,,1.1351,,,,
2025-08-27,1068758669084.83,0.0438,8.9037,,,,,1.0336,,,,,9.1554,,,,,1.1901,,,,,1.1322,,,,
2025-08-26,1102083398415.64,0.0421,9.4264,,,,,1.0846,,,,,9.9323,,,,,1.2749,,,,,1.2108,,,,
