date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-03-06,49.3783,0.1488,77.4896,61.8479,50.5108,6.1973,0.0326,15.4408,9.4290,6.8940,51.5680,0.1570,83.3558,64.7588,52.0098,6.1973,0.0326,15.4408,9.4290,6.8940,0.0035,11.9020,0.3207,16.9929,12.8992,10.9899
2026-03-05,47.7430,0.1488,77.4896,61.8479,50.5108,5.9920,0.0326,15.4408,9.4290,6.8940,49.8602,0.1570,83.3558,64.7588,52.0098,5.9920,0.0326,15.4408,9.4290,6.8940,0.0036,11.5078,0.3207,16.9929,12.8992,10.9899
2026-03-04,47.0853,0.1488,77.4896,61.8479,50.5108,5.9095,0.0326,15.4408,9.4290,6.8940,49.1734,0.1570,83.3558,64.7588,52.0098,5.9095,0.0326,15.4408,9.4290,6.8940,0.0036,11.3493,0.3207,16.9929,12.8992,10.9899
2026-03-03,47.6452,0.1488,77.4896,61.8479,50.5108,5.9797,0.0326,15.4408,9.4290,6.8940,49.7581,0.1570,83.3558,64.7588,52.0098,5.9797,0.0326,15.4408,9.4290,6.8940,0.0036,11.4842,0.3207,16.9929,12.8992,10.9899
2026-03-02,48.4718,0.1488,77.4896,61.8479,50.5108,6.0835,0.0326,15.4408,9.4290,6.8940,50.6213,0.1570,83.3558,64.7588,52.0098,6.0835,0.0326,15.4408,9.4290,6.8940,0.0035,11.6835,0.3207,16.9929,12.8992,10.9899
2026-02-27,50.2670,0.1488,77.4896,61.8479,50.5108,6.3088,0.0326,15.4408,9.4290,6.8940,52.4961,0.1570,83.3558,64.7588,52.0098,6.3088,0.0326,15.4408,9.4290,6.8940,0.0034,12.1162,0.3207,16.9929,12.8992,10.9899
2026-02-26,50.4092,0.1488,77.4896,61.8479,50.5108,6.3266,0.0326,15.4408,9.4290,6.8940,52.6447,0.1570,83.3558,64.7588,52.0098,6.3266,0.0326,15.4408,9.4290,6.8940,0.0034,12.1504,0.3207,16.9929,12.8992,10.9899
2026-02-25,51.4224,0.1488,77.4896,61.8479,50.5108,6.4538,0.0326,15.4408,9.4290,6.8940,53.7027,0.1570,83.3558,64.7588,52.0098,6.4538,0.0326,15.4408,9.4290,6.8940,0.0033,12.3947,0.3207,16.9929,12.8992,10.9899
2026-02-24,51.5557,0.1488,77.4896,61.8479,50.5108,6.4705,0.0326,15.4408,9.4290,6.8940,53.8420,0.1570,83.3558,64.7588,52.0098,6.4705,0.0326,15.4408,9.4290,6.8940,0.0033,12.4268,0.3207,16.9929,12.8992,10.9899
2026-02-13,51.7512,0.1488,77.4896,61.8479,50.5108,6.4951,0.0326,15.4408,9.4290,6.8940,54.0462,0.1570,83.3558,64.7588,52.0098,6.4951,0.0326,15.4408,9.4290,6.8940,0.0033,12.4739,0.3207,16.9929,12.8992,10.9899
2026-02-12,52.2044,0.1488,77.4896,61.8479,50.5108,6.5520,0.0326,15.4408,9.4290,6.8940,54.5195,0.1570,83.3558,64.7588,52.0098,6.5520,0.0326,15.4408,9.4290,6.8940,0.0033,12.5832,0.3207,16.9929,12.8992,10.9899
2026-02-11,52.3466,0.1488,77.4896,61.8479,50.5108,6.5698,0.0326,15.4408,9.4290,6.8940,54.6680,0.1570,83.3558,64.7588,52.0098,6.5698,0.0326,15.4408,9.4290,6.8940,0.0033,12.6174,0.3207,16.9929,12.8992,10.9899
2026-02-10,51.9023,0.1488,77.4896,61.8479,50.5108,6.5140,0.0326,15.4408,9.4290,6.8940,54.2039,0.1570,83.3558,64.7588,52.0098,6.5140,0.0326,15.4408,9.4290,6.8940,0.0033,12.5103,0.3207,16.9929,12.8992,10.9899
2026-02-09,51.0580,0.1488,77.4896,61.8479,50.5108,6.4081,0.0326,15.4408,9.4290,6.8940,53.3222,0.1570,83.3558,64.7588,52.0098,6.4081,0.0326,15.4408,9.4290,6.8940,0.0033,12.3068,0.3207,16.9929,12.8992,10.9899
2026-02-06,50.9336,0.1488,77.4896,61.8479,50.5108,6.3924,0.0326,15.4408,9.4290,6.8940,53.1923,0.1570,83.3558,64.7588,52.0098,6.3924,0.0326,15.4408,9.4290,6.8940,0.0033,12.2768,0.3207,16.9929,12.8992,10.9899
2026-02-05,51.6890,0.1488,77.4896,61.8479,50.5108,6.4873,0.0326,15.4408,9.4290,6.8940,53.9812,0.1570,83.3558,64.7588,52.0098,6.4873,0.0326,15.4408,9.4290,6.8940,0.0033,12.4589,0.3207,16.9929,12.8992,10.9899
2026-02-04,51.1913,0.1488,77.4896,61.8479,50.5108,6.4248,0.0326,15.4408,9.4290,6.8940,53.4614,0.1570,83.3558,64.7588,52.0098,6.4248,0.0326,15.4408,9.4290,6.8940,0.0033,12.3390,0.3207,16.9929,12.8992,10.9899
2026-02-03,51.0758,0.1488,77.4896,61.8479,50.5108,6.4103,0.0326,15.4408,9.4290,6.8940,53.3408,0.1570,83.3558,64.7588,52.0098,6.4103,0.0326,15.4408,9.4290,6.8940,0.0033,12.3111,0.3207,16.9929,12.8992,10.9899
2026-02-02,50.2048,0.1488,77.4896,61.8479,50.5108,6.3010,0.0326,15.4408,9.4290,6.8940,52.4312,0.1570,83.3558,64.7588,52.0098,6.3010,0.0326,15.4408,9.4290,6.8940,0.0034,12.1012,0.3207,16.9929,12.8992,10.9899
2026-01-30,51.6890,0.1488,77.4896,61.8479,50.5108,6.4873,0.0326,15.4408,9.4290,6.8940,53.9812,0.1570,83.3558,64.7588,52.0098,6.4873,0.0326,15.4408,9.4290,6.8940,0.0033,12.4589,0.3207,16.9929,12.8992,10.9899
2026-01-29,51.6445,0.1488,77.4896,61.8479,50.5108,6.4817,0.0326,15.4408,9.4290,6.8940,53.9348,0.1570,83.3558,64.7588,52.0098,6.4817,0.0326,15.4408,9.4290,6.8940,0.0033,12.4482,0.3207,16.9929,12.8992,10.9899
2026-01-28,50.2581,0.1488,77.4896,61.8479,50.5108,6.3077,0.0326,15.4408,9.4290,6.8940,52.4869,0.1570,83.3558,64.7588,52.0098,6.3077,0.0326,15.4408,9.4290,6.8940,0.0034,12.1140,0.3207,16.9929,12.8992,10.9899
2026-01-27,50.8358,0.1488,77.4896,61.8479,50.5108,6.3802,0.0326,15.4408,9.4290,6.8940,53.0902,0.1570,83.3558,64.7588,52.0098,6.3802,0.0326,15.4408,9.4290,6.8940,0.0034,12.2533,0.3207,16.9929,12.8992,10.9899
2026-01-26,51.6890,0.1488,77.4896,61.8479,50.5108,6.4873,0.0326,15.4408,9.4290,6.8940,53.9812,0.1570,83.3558,64.7588,52.0098,6.4873,0.0326,15.4408,9.4290,6.8940,0.0033,12.4589,0.3207,16.9929,12.8992,10.9899
2026-01-23,52.4266,0.1488,77.4896,61.8479,50.5108,6.5798,0.0326,15.4408,9.4290,6.8940,54.7516,0.1570,83.3558,64.7588,52.0098,6.5798,0.0326,15.4408,9.4290,6.8940,0.0033,12.6367,0.3207,16.9929,12.8992,10.9899
2026-01-22,52.8266,0.1488,77.4896,61.8479,50.5108,6.6300,0.0326,15.4408,9.4290,6.8940,55.1692,0.1570,83.3558,64.7588,52.0098,6.6300,0.0326,15.4408,9.4290,6.8940,0.0032,12.7331,0.3207,16.9929,12.8992,10.9899
2026-01-21,53.4131,0.1488,77.4896,61.8479,50.5108,6.7037,0.0326,15.4408,9.4290,6.8940,55.7818,0.1570,83.3558,64.7588,52.0098,6.7037,0.0326,15.4408,9.4290,6.8940,0.0032,12.8745,0.3207,16.9929,12.8992,10.9899
