date,市值(元),股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-05-28,2173394640351.33,0.0402,7.3864,,,,,0.7846,,,,,2.9178,,,,,7.3851,,,,,0.7815,,,,
2026-05-27,2208392943738.63,0.0395,7.5054,,,,,0.7972,,,,,2.9647,,,,,7.5040,,,,,0.7941,,,,
2026-05-26,2246891077464.66,0.0389,7.6362,,,,,0.8111,,,,,3.0164,,,,,7.6348,,,,,0.8079,,,,
2026-05-25,2253890738142.12,0.0387,7.6600,,,,,0.8136,,,,,3.0258,,,,,7.6586,,,,,0.8104,,,,
2026-05-22,2260890398819.58,0.0386,7.6838,,,,,0.8162,,,,,3.0352,,,,,7.6824,,,,,0.8130,,,,
2026-05-21,2278389550513.23,0.0383,7.7433,,,,,0.8225,,,,,3.0587,,,,,7.7419,,,,,0.8192,,,,
2026-05-20,2260890398819.58,0.0386,7.6838,,,,,0.8162,,,,,3.0352,,,,,7.6824,,,,,0.8130,,,,
2026-05-19,2316887684239.2603,0.0377,7.8741,,,,,0.8364,,,,,3.1104,,,,,7.8727,,,,,0.8331,,,,
2026-05-18,2309888023561.8,0.0378,7.8503,,,,,0.8338,,,,,3.1010,,,,,7.8489,,,,,0.8306,,,,
2026-05-15,2334386835932.91,0.0374,7.9336,,,,,0.8427,,,,,3.1339,,,,,7.9321,,,,,0.8394,,,,
2026-05-14,2365885308981.48,0.0369,8.0406,,,,,0.8541,,,,,3.1762,,,,,8.0392,,,,,0.8507,,,,
2026-05-13,2330887005594.18,0.0375,7.9217,,,,,0.8414,,,,,3.1292,,,,,7.9202,,,,,0.8381,,,,
2026-05-12,2372884969658.94,0.0368,8.0644,,,,,0.8427,,,,,3.1856,,,,,8.0629,,,,,0.8395,,,,
2026-05-11,2383384460675.13,0.0366,8.1001,,,,,0.8465,,,,,3.1997,,,,,8.0986,,,,,0.8432,,,,
2026-05-08,2414882933723.7,0.0362,8.2071,,,,,0.8577,,,,,3.2419,,,,,8.2057,,,,,0.8543,,,,
2026-05-07,2404383442707.5103,0.0363,8.1714,,,,,0.8539,,,,,3.2278,,,,,8.1700,,,,,0.8506,,,,
2026-05-06,2400883612368.7803,0.0364,8.1596,,,,,0.8527,,,,,3.2232,,,,,8.1581,,,,,0.8494,,,,
2026-04-30,2421882594401.16,0.0361,8.2309,,,,,0.8601,,,,,3.2513,,,,,8.2294,,,,,0.8568,,,,
2026-04-29,2428882255078.62,0.0360,8.3362,,,,,0.8812,,,,,3.3488,,,,,8.3455,,,,,0.8777,,,,
2026-04-28,2442881576433.54,0.0357,8.3842,,,,,0.8863,,,,,3.3681,,,,,8.3936,,,,,0.8828,,,,
2026-04-27,2421882594401.16,0.0361,8.3122,,,,,0.8787,,,,,3.3391,,,,,8.3214,,,,,0.8752,,,,
2026-04-24,2463880558465.92,0.0354,8.4563,,,,,0.8939,,,,,3.3970,,,,,8.4658,,,,,0.8904,,,,
2026-04-23,2460380728127.19,0.0355,8.4443,,,,,0.8927,,,,,3.3922,,,,,8.4537,,,,,0.8891,,,,
2026-04-22,2474380049482.11,0.0353,8.4923,,,,,0.8977,,,,,3.4115,,,,,8.5018,,,,,0.8942,,,,
2026-04-21,2512878183208.14,0.0347,8.6245,,,,,0.9117,,,,,3.4646,,,,,8.6341,,,,,0.9081,,,,
2026-04-20,2516378013546.87,0.0347,8.6365,,,,,0.9130,,,,,3.4694,,,,,8.6461,,,,,0.9094,,,,
2026-04-17,2470880219143.38,0.0353,8.4803,,,,,0.8965,,,,,3.4067,,,,,8.4898,,,,,0.8929,,,,
2026-04-16,2449881237111.0,0.0356,8.4083,,,,,0.8888,,,,,3.3777,,,,,8.4176,,,,,0.8853,,,,
2026-04-15,2432382085417.35,0.0359,8.3482,,,,,0.8825,,,,,3.3536,,,,,8.3575,,,,,0.8790,,,,
2026-04-14,2365885308981.48,0.0369,8.1200,,,,,0.8584,,,,,3.2619,,,,,8.1290,,,,,0.8550,,,,
2026-04-13,2323887344916.7197,0.0376,7.9758,,,,,0.8431,,,,,3.2040,,,,,7.9847,,,,,0.8398,,,,
2026-04-10,2306388193223.07,0.0379,7.9158,,,,,0.8368,,,,,3.1799,,,,,7.9246,,,,,0.8335,,,,
2026-04-09,2309888023561.8,0.0378,7.9278,,,,,0.8381,,,,,3.1847,,,,,7.9366,,,,,0.8347,,,,
2026-04-08,2320387514577.9897,0.0376,7.9638,,,,,0.8419,,,,,3.1992,,,,,7.9727,,,,,0.8385,,,,
2026-04-07,2341386496610.37,0.0373,8.0359,,,,,0.8495,,,,,3.2281,,,,,8.0449,,,,,0.8461,,,,
2026-04-03,2393883951691.32,0.0365,8.2161,,,,,0.8685,,,,,3.3005,,,,,8.2252,,,,,0.8651,,,,
2026-04-02,2421882594401.16,0.0361,8.3122,,,,,0.8787,,,,,3.3391,,,,,8.3214,,,,,0.8752,,,,
2026-04-01,2341386496610.37,0.0373,8.0359,,,,,0.8495,,,,,3.2281,,,,,8.0449,,,,,0.8461,,,,
2026-03-31,2344886326949.1,0.0372,8.0479,,,,,0.8507,,,,,3.2330,,,,,8.0569,,,,,0.8474,,,,
2026-03-30,2271389889835.77,0.0378,7.8715,,,,,0.8427,,,,,3.1494,,,,,7.8712,,,,,0.8423,,,,
2026-03-27,2267890059497.04,0.0378,7.8594,,,,,0.8414,,,,,3.1445,,,,,7.8591,,,,,0.8410,,,,
2026-03-26,2278389550513.23,0.0376,7.8958,,,,,0.8453,,,,,3.1591,,,,,7.8954,,,,,0.8449,,,,
2026-03-25,2292388871868.15,0.0374,7.9443,,,,,0.8505,,,,,3.1785,,,,,7.9440,,,,,0.8501,,,,
2026-03-24,2274889720174.5,0.0377,7.8836,,,,,0.8440,,,,,3.1542,,,,,7.8833,,,,,0.8436,,,,
2026-03-23,2264390229158.31,0.0379,7.8473,,,,,0.8401,,,,,3.1397,,,,,7.8469,,,,,0.8397,,,,
2026-03-20,2365885308981.48,0.0362,8.1990,,,,,0.8778,,,,,3.2804,,,,,8.1987,,,,,0.8773,,,,
2026-03-19,2390384121352.59,0.0359,8.2839,,,,,0.8869,,,,,3.3144,,,,,8.2836,,,,,0.8864,,,,
2026-03-18,2358885648304.02,0.0364,8.1747,,,,,0.8752,,,,,3.2707,,,,,8.1744,,,,,0.8747,,,,
2026-03-17,2365885308981.48,0.0362,8.1990,,,,,0.8778,,,,,3.2804,,,,,8.1987,,,,,0.8773,,,,
2026-03-16,2327387175255.45,0.0368,8.0656,,,,,0.8635,,,,,3.2270,,,,,8.0652,,,,,0.8631,,,,
2026-03-13,2316887684239.2603,0.0370,8.0292,,,,,0.8596,,,,,3.2125,,,,,8.0289,,,,,0.8592,,,,
2026-03-12,2323887344916.7197,0.0369,8.0534,,,,,0.8622,,,,,3.2222,,,,,8.0531,,,,,0.8618,,,,
2026-03-11,2320387514577.9897,0.0370,8.0413,,,,,0.8609,,,,,3.2173,,,,,8.0410,,,,,0.8605,,,,
2026-03-10,2302888362884.34,0.0372,7.9807,,,,,0.8544,,,,,3.1931,,,,,7.9803,,,,,0.8540,,,,
2026-03-09,2330887005594.18,0.0368,8.0777,,,,,0.8648,,,,,3.2319,,,,,8.0774,,,,,0.8644,,,,
2026-03-06,2344886326949.1,0.0366,8.1262,,,,,0.8700,,,,,3.2513,,,,,8.1259,,,,,0.8695,,,,
2026-03-05,2358885648304.02,0.0364,8.1747,,,,,0.8752,,,,,3.2707,,,,,8.1744,,,,,0.8747,,,,
2026-03-04,2337886666271.64,0.0367,8.1020,,,,,0.8674,,,,,3.2416,,,,,8.1016,,,,,0.8670,,,,
2026-03-03,2355385817965.29,0.0364,8.1626,,,,,0.8739,,,,,3.2658,,,,,8.1623,,,,,0.8734,,,,
2026-03-02,2267890059497.04,0.0378,7.8594,,,,,0.8414,,,,,3.1445,,,,,7.8591,,,,,0.8410,,,,
2026-02-27,2239891416787.2,0.0383,7.7624,,,,,0.8310,,,,,3.1057,,,,,7.7620,,,,,0.8306,,,,
2026-02-26,2246891077464.66,0.0382,7.7866,,,,,0.8336,,,,,3.1154,,,,,7.7863,,,,,0.8332,,,,
2026-02-25,2278389550513.23,0.0376,7.8958,,,,,0.8453,,,,,3.1591,,,,,7.8954,,,,,0.8449,,,,
2026-02-24,2267890059497.04,0.0378,7.8594,,,,,0.8414,,,,,3.1445,,,,,7.8591,,,,,0.8410,,,,
2026-02-13,2278389550513.23,0.0376,7.8958,,,,,0.8453,,,,,3.1591,,,,,7.8954,,,,,0.8449,,,,
2026-02-12,2313387853900.5303,0.0371,8.0171,,,,,0.8583,,,,,3.2076,,,,,8.0167,,,,,0.8579,,,,
2026-02-11,2376384799997.67,0.0361,8.2354,,,,,0.8817,,,,,3.2950,,,,,8.2350,,,,,0.8812,,,,
2026-02-10,2355385817965.29,0.0364,8.1626,,,,,0.8739,,,,,3.2658,,,,,8.1623,,,,,0.8734,,,,
2026-02-09,2348386157287.83,0.0365,8.1384,,,,,0.8713,,,,,3.2561,,,,,8.1380,,,,,0.8708,,,,
2026-02-06,2334386835932.91,0.0367,8.0898,,,,,0.8661,,,,,3.2367,,,,,8.0895,,,,,0.8657,,,,
2026-02-05,2344886326949.1,0.0366,8.1262,,,,,0.8700,,,,,3.2513,,,,,8.1259,,,,,0.8695,,,,
2026-02-04,2334386835932.91,0.0367,8.0898,,,,,0.8661,,,,,3.2367,,,,,8.0895,,,,,0.8657,,,,
2026-02-03,2330887005594.18,0.0368,8.0777,,,,,0.8648,,,,,3.2319,,,,,8.0774,,,,,0.8644,,,,
2026-02-02,2372884969658.94,0.0361,8.2233,,,,,0.8804,,,,,3.2901,,,,,8.2229,,,,,0.8799,,,,
2026-01-30,2351885987626.56,0.0365,8.1505,,,,,0.8726,,,,,3.2610,,,,,8.1501,,,,,0.8721,,,,
2026-01-29,2372884969658.94,0.0361,8.2233,,,,,0.8804,,,,,3.2901,,,,,8.2229,,,,,0.8799,,,,
2026-01-28,2379884630336.4,0.0360,8.2475,,,,,0.8830,,,,,3.2998,,,,,8.2472,,,,,0.8825,,,,
2026-01-27,2411383103384.9697,0.0356,8.3567,,,,,0.8947,,,,,3.3435,,,,,8.3563,,,,,0.8942,,,,
2026-01-26,2393883951691.32,0.0358,8.2960,,,,,0.8882,,,,,3.3192,,,,,8.2957,,,,,0.8877,,,,
2026-01-23,2362385478642.75,0.0363,8.1869,,,,,0.8765,,,,,3.2755,,,,,8.1865,,,,,0.8760,,,,
2026-01-22,2383384460675.13,0.0360,8.2596,,,,,0.8843,,,,,3.3047,,,,,8.2593,,,,,0.8838,,,,
2026-01-21,2435881915756.08,0.0352,8.4416,,,,,0.9038,,,,,3.3775,,,,,8.4412,,,,,0.9033,,,,
2026-01-20,2509378352869.41,0.0342,8.6963,,,,,0.9310,,,,,3.4794,,,,,8.6959,,,,,0.9305,,,,
2026-01-19,2484879540498.3,0.0345,8.6114,,,,,0.9219,,,,,3.4454,,,,,8.6110,,,,,0.9215,,,,
2026-01-16,2523377674224.33,0.0340,8.7448,,,,,0.9362,,,,,3.4988,,,,,8.7444,,,,,0.9357,,,,
2026-01-15,2565375638289.09,0.0334,8.8903,,,,,0.9518,,,,,3.5570,,,,,8.8900,,,,,0.9513,,,,
2026-01-14,2617873093370.04,0.0328,9.0723,,,,,0.9713,,,,,3.6298,,,,,9.0719,,,,,0.9708,,,,
2026-01-13,2663370887773.5303,0.0322,9.2299,,,,,0.9882,,,,,3.6929,,,,,9.2295,,,,,0.9876,,,,
2026-01-12,2631872414724.96,0.0326,9.1208,,,,,0.9765,,,,,3.6492,,,,,9.1204,,,,,0.9760,,,,
2026-01-09,2593374280998.93,0.0331,8.9874,,,,,0.9622,,,,,3.5958,,,,,8.9870,,,,,0.9617,,,,
2026-01-08,2603873772015.12,0.0329,9.0237,,,,,0.9661,,,,,3.6104,,,,,9.0234,,,,,0.9656,,,,
2026-01-07,2621372923708.77,0.0327,9.0844,,,,,0.9726,,,,,3.6346,,,,,9.0840,,,,,0.9721,,,,
2026-01-06,2645871736079.88,0.0324,9.1693,,,,,0.9817,,,,,3.6686,,,,,9.1689,,,,,0.9812,,,,
2026-01-05,2649371566418.61,0.0324,9.1814,,,,,0.9830,,,,,3.6735,,,,,9.1810,,,,,0.9825,,,,
2025-12-31,2687869700144.64,0.0319,9.3148,,,,,0.9972,,,,,3.7268,,,,,9.3144,,,,,0.9967,,,,
2025-12-30,2663370887773.5303,0.0322,9.2299,,,,,0.9882,,,,,3.6929,,,,,9.2295,,,,,0.9876,,,,
2025-12-29,2673870378789.7197,0.0321,9.2663,,,,,0.9920,,,,,3.7074,,,,,9.2659,,,,,0.9915,,,,
2025-12-26,2628372584386.23,0.0326,9.1086,,,,,0.9752,,,,,3.6443,,,,,9.1083,,,,,0.9747,,,,
2025-12-25,2652871396757.34,0.0323,9.1935,,,,,0.9843,,,,,3.6783,,,,,9.1932,,,,,0.9838,,,,
2025-12-24,2673870378789.7197,0.0321,9.2663,,,,,0.9920,,,,,3.7074,,,,,9.2659,,,,,0.9915,,,,
2025-12-23,2680870039467.18,0.0320,9.2906,,,,,0.9946,,,,,3.7171,,,,,9.2902,,,,,0.9941,,,,
2025-12-22,2656371227096.07,0.0323,9.2057,,,,,0.9856,,,,,3.6832,,,,,9.2053,,,,,0.9851,,,,
2025-12-19,2642371905741.15,0.0325,9.1572,,,,,0.9804,,,,,3.6638,,,,,9.1568,,,,,0.9799,,,,
2025-12-18,2659871057434.8,0.0322,9.2178,,,,,0.9869,,,,,3.6880,,,,,9.2174,,,,,0.9864,,,,
2025-12-17,2607373602353.85,0.0329,9.0359,,,,,0.9674,,,,,3.6152,,,,,9.0355,,,,,0.9669,,,,
2025-12-16,2579374959644.0103,0.0332,8.9388,,,,,0.9570,,,,,3.5764,,,,,8.9385,,,,,0.9565,,,,
2025-12-15,2621372923708.77,0.0327,9.0844,,,,,0.9726,,,,,3.6346,,,,,9.0840,,,,,0.9721,,,,
2025-12-12,2701869021499.56,0.0317,9.3633,,,,,0.9871,,,,,3.7463,,,,,9.3630,,,,,0.9866,,,,
2025-12-11,2775365458612.89,0.0309,9.6181,,,,,1.0140,,,,,3.8482,,,,,9.6177,,,,,1.0135,,,,
2025-12-10,2736867324886.86,0.0313,9.4846,,,,,0.9999,,,,,3.7948,,,,,9.4842,,,,,0.9994,,,,
2025-12-09,2813863592338.92,0.0305,9.7515,,,,,1.0280,,,,,3.9015,,,,,9.7511,,,,,1.0275,,,,
2025-12-08,2743866985564.32,0.0313,9.5089,,,,,1.0025,,,,,3.8045,,,,,9.5085,,,,,1.0020,,,,
2025-12-05,2736867324886.86,0.0313,9.4846,,,,,0.9999,,,,,3.7948,,,,,9.4842,,,,,0.9994,,,,
2025-12-04,2764865967596.7,0.0310,9.5817,,,,,1.0101,,,,,3.8336,,,,,9.5813,,,,,1.0096,,,,
2025-12-03,2792864610306.54,0.0307,9.6787,,,,,1.0204,,,,,3.8724,,,,,9.6783,,,,,1.0199,,,,
2025-12-02,2806863931661.46,0.0305,9.7272,,,,,1.0255,,,,,3.8918,,,,,9.7268,,,,,1.0250,,,,
2025-12-01,2796364440645.27,0.0307,9.6908,,,,,1.0216,,,,,3.8773,,,,,9.6904,,,,,1.0211,,,,
2025-11-28,2813863592338.92,0.0305,9.7515,,,,,1.0280,,,,,3.9015,,,,,9.7511,,,,,1.0275,,,,
2025-11-27,2834862574371.3,0.0302,9.8242,,,,,1.0357,,,,,3.9307,,,,,9.8238,,,,,1.0352,,,,
2025-11-26,2778865288951.62,0.0309,9.6302,,,,,1.0153,,,,,3.8530,,,,,9.6298,,,,,1.0147,,,,
2025-11-25,2824363083355.11,0.0304,9.7879,,,,,1.0319,,,,,3.9161,,,,,9.7874,,,,,1.0314,,,,
2025-11-24,2806863931661.46,0.0305,9.7272,,,,,1.0255,,,,,3.8918,,,,,9.7268,,,,,1.0250,,,,
2025-11-21,2817363422677.6504,0.0304,9.7636,,,,,1.0293,,,,,3.9064,,,,,9.7632,,,,,1.0288,,,,
2025-11-20,2855861556403.68,0.0300,9.8970,,,,,1.0434,,,,,3.9598,,,,,9.8966,,,,,1.0429,,,,
2025-11-19,2876860538436.06,0.0298,9.9698,,,,,1.0511,,,,,3.9889,,,,,9.9694,,,,,1.0505,,,,
2025-11-18,2866361047419.8696,0.0299,9.9334,,,,,1.0472,,,,,3.9743,,,,,9.9330,,,,,1.0467,,,,
2025-11-17,2911858841823.36,0.0294,10.0911,,,,,1.0638,,,,,4.0374,,,,,10.0906,,,,,1.0633,,,,
2025-11-14,2974855787920.5,0.0288,10.3094,,,,,1.0869,,,,,4.1248,,,,,10.3090,,,,,1.0863,,,,
2025-11-13,2995854769952.8804,0.0286,10.3822,,,,,1.0945,,,,,4.1539,,,,,10.3817,,,,,1.0940,,,,
2025-11-12,3006354260969.07,0.0285,10.4185,,,,,1.0984,,,,,4.1684,,,,,10.4181,,,,,1.0978,,,,
2025-11-11,2904859181145.9004,0.0295,10.0668,,,,,1.0613,,,,,4.0277,,,,,10.0664,,,,,1.0607,,,,
2025-11-10,2841862235048.76,0.0302,9.8485,,,,,1.0383,,,,,3.9404,,,,,9.8481,,,,,1.0377,,,,
2025-11-07,2827862913693.84,0.0303,9.8000,,,,,1.0332,,,,,3.9209,,,,,9.7996,,,,,1.0326,,,,
2025-11-06,2855861556403.68,0.0300,9.8970,,,,,1.0434,,,,,3.9598,,,,,9.8966,,,,,1.0429,,,,
2025-11-05,2862861217081.14,0.0300,9.9213,,,,,1.0459,,,,,3.9695,,,,,9.9209,,,,,1.0454,,,,
2025-11-04,2852361726064.95,0.0301,9.8849,,,,,1.0421,,,,,3.9549,,,,,9.8845,,,,,1.0416,,,,
2025-11-03,2803364101322.73,0.0306,9.7151,,,,,1.0242,,,,,3.8870,,,,,9.7147,,,,,1.0237,,,,
2025-10-31,2785864949629.08,0.0308,9.6544,,,,,1.0178,,,,,3.8627,,,,,9.6540,,,,,1.0173,,,,
2025-10-30,2820863253016.3804,0.0304,9.8819,,,,,1.0714,,,,,3.9527,,,,,9.8735,,,,,1.0709,,,,
2025-10-29,2852361726064.95,0.0301,9.9922,,,,,1.0834,,,,,3.9968,,,,,9.9837,,,,,1.0828,,,,
2025-10-28,2908359011484.6304,0.0295,10.1884,,,,,1.1047,,,,,4.0753,,,,,10.1797,,,,,1.1041,,,,
2025-10-27,2862861217081.14,0.0300,10.0290,,,,,1.0874,,,,,4.0115,,,,,10.0205,,,,,1.0868,,,,
2025-10-24,2796364440645.27,0.0307,9.7960,,,,,1.0621,,,,,3.9184,,,,,9.7877,,,,,1.0616,,,,
2025-10-23,2796364440645.27,0.0307,9.7960,,,,,1.0621,,,,,3.9184,,,,,9.7877,,,,,1.0616,,,,
2025-10-22,2831362744032.57,0.0303,9.9186,,,,,1.0754,,,,,3.9674,,,,,9.9102,,,,,1.0749,,,,
2025-10-21,2757866306919.2397,0.0311,9.6612,,,,,1.0475,,,,,3.8644,,,,,9.6530,,,,,1.0470,,,,
2025-10-20,2712368512515.75,0.0316,9.5018,,,,,1.0302,,,,,3.8007,,,,,9.4937,,,,,1.0297,,,,
2025-10-17,2666870718112.2603,0.0322,9.3424,,,,,1.0129,,,,,3.7369,,,,,9.3345,,,,,1.0124,,,,
2025-10-16,2621372923708.77,0.0327,9.1830,,,,,0.9957,,,,,3.6732,,,,,9.1752,,,,,0.9951,,,,
2025-10-15,2544376656256.71,0.0337,8.9133,,,,,0.9664,,,,,3.5653,,,,,8.9057,,,,,0.9659,,,,
2025-10-14,2495379031514.4897,0.0344,8.7416,,,,,0.9478,,,,,3.4966,,,,,8.7342,,,,,0.9473,,,,
2025-10-13,2418382764062.43,0.0355,8.4719,,,,,0.9186,,,,,3.3887,,,,,8.4647,,,,,0.9181,,,,
2025-10-10,2390384121352.59,0.0359,8.3738,,,,,0.9079,,,,,3.3495,,,,,8.3667,,,,,0.9075,,,,
2025-10-09,2344886326949.1,0.0366,8.2144,,,,,0.8906,,,,,3.2857,,,,,8.2075,,,,,0.8902,,,,
2025-09-30,2334386835932.91,0.0367,8.1777,,,,,0.8867,,,,,3.2710,,,,,8.1707,,,,,0.8862,,,,
2025-09-29,2316887684239.2603,0.0370,8.1164,,,,,0.8800,,,,,3.2465,,,,,8.1095,,,,,0.8795,,,,
2025-09-26,2316887684239.2603,0.0370,8.1164,,,,,0.8800,,,,,3.2465,,,,,8.1095,,,,,0.8795,,,,
2025-09-25,2313387853900.5303,0.0371,8.1041,,,,,0.8787,,,,,3.2416,,,,,8.0972,,,,,0.8782,,,,
2025-09-24,2299388532545.61,0.0373,8.0551,,,,,0.8734,,,,,3.2220,,,,,8.0482,,,,,0.8729,,,,
2025-09-23,2327387175255.45,0.0368,8.1531,,,,,0.8840,,,,,3.2612,,,,,8.1462,,,,,0.8835,,,,
2025-09-22,2271389889835.77,0.0378,7.9570,,,,,0.8627,,,,,3.1827,,,,,7.9502,,,,,0.8623,,,,
2025-09-19,2327387175255.45,0.0368,8.1531,,,,,0.8840,,,,,3.2612,,,,,8.1462,,,,,0.8835,,,,
2025-09-18,2369385139320.21,0.0362,8.3003,,,,,0.9000,,,,,3.3201,,,,,8.2932,,,,,0.8995,,,,
2025-09-17,2435881915756.08,0.0352,8.5332,,,,,0.9252,,,,,3.4132,,,,,8.5260,,,,,0.9247,,,,
2025-09-16,2463880558465.92,0.0348,8.6313,,,,,0.9358,,,,,3.4525,,,,,8.6240,,,,,0.9354,,,,
2025-09-15,2505878522530.68,0.0342,8.7784,,,,,0.9518,,,,,3.5113,,,,,8.7710,,,,,0.9513,,,,
2025-09-12,2533877165240.52,0.0338,8.8765,,,,,0.9624,,,,,3.5506,,,,,8.8690,,,,,0.9619,,,,
2025-09-11,2547876486595.44,0.0337,8.9255,,,,,0.9677,,,,,3.5702,,,,,8.9180,,,,,0.9672,,,,
2025-09-10,2551376316934.17,0.0336,8.9378,,,,,0.9691,,,,,3.5751,,,,,8.9302,,,,,0.9686,,,,
2025-09-09,2558375977611.63,0.0335,8.9623,,,,,0.9717,,,,,3.5849,,,,,8.9547,,,,,0.9712,,,,
2025-09-08,2540876825917.98,0.0337,8.9010,,,,,0.9651,,,,,3.5604,,,,,8.8935,,,,,0.9646,,,,
2025-09-05,2554876147272.9,0.0336,8.9501,,,,,0.9704,,,,,3.5800,,,,,8.9425,,,,,0.9699,,,,
2025-09-04,2631872414724.96,0.0326,9.2198,,,,,0.9996,,,,,3.6879,,,,,9.2120,,,,,0.9991,,,,
2025-09-03,2502378692191.95,0.0343,8.7662,,,,,0.9505,,,,,3.5064,,,,,8.7587,,,,,0.9500,,,,
2025-09-02,2516378013546.87,0.0341,8.8152,,,,,0.9558,,,,,3.5260,,,,,8.8077,,,,,0.9553,,,,
2025-09-01,2467380388804.65,0.0348,8.6436,,,,,0.9372,,,,,3.4574,,,,,8.6362,,,,,0.9367,,,,
2025-08-29,2456880897788.46,0.0345,8.6753,,,,,0.9479,,,,,3.4545,,,,,8.6623,,,,,0.9474,,,,
2025-08-28,2456880897788.46,0.0345,8.6753,,,,,0.9479,,,,,3.4545,,,,,8.6623,,,,,0.9474,,,,
2025-08-27,2488379370837.0303,0.0340,8.7865,,,,,0.9600,,,,,3.4988,,,,,8.7734,,,,,0.9595,,,,
