date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-15,199781303588.16,28.3550,,,,,0.0398,5.3496,,,,,5.3658,,,,,6.7523,,,,,27.4431,,,,
2026-06-12,207915340260.32,29.5094,,,,,0.0382,4.9477,,,,,4.9611,,,,,7.0273,,,,,28.5605,,,,
2026-06-11,205808683280.48,29.2104,,,,,0.0386,4.8976,,,,,4.9108,,,,,6.9561,,,,,28.2711,,,,
2026-06-10,205399055534.4,29.1523,,,,,0.0387,4.8878,,,,,4.9010,,,,,6.9422,,,,,28.2148,,,,
2026-06-09,204170172296.16,28.9779,,,,,0.0389,4.8586,,,,,4.8717,,,,,6.9007,,,,,28.0460,,,,
2026-06-08,199371675842.08,28.2968,,,,,0.0399,4.7444,,,,,4.7572,,,,,6.7385,,,,,27.3869,,,,
2026-06-05,199137602844.32,28.2636,,,,,0.0399,4.7388,,,,,4.7516,,,,,6.7306,,,,,27.3547,,,,
2026-06-04,197791683107.2,28.0726,,,,,0.0402,4.7068,,,,,4.7195,,,,,6.6851,,,,,27.1698,,,,
2026-06-03,201302778073.6,28.5709,,,,,0.0395,4.7904,,,,,4.8033,,,,,6.8038,,,,,27.6521,,,,
2026-06-02,202941289057.92,28.8035,,,,,0.0392,4.8294,,,,,4.8424,,,,,6.8591,,,,,27.8772,,,,
2026-06-01,208968668750.24,29.6589,,,,,0.0380,4.9728,,,,,4.9862,,,,,7.0629,,,,,28.7052,,,,
2026-05-29,210197551988.48,29.8334,,,,,0.0378,5.0020,,,,,5.0155,,,,,7.1044,,,,,28.8740,,,,
2026-05-28,206510902273.76,29.3101,,,,,0.0385,4.9143,,,,,4.9275,,,,,6.9798,,,,,28.3675,,,,
2026-05-27,209787924242.4,29.7752,,,,,0.0379,4.9923,,,,,5.0057,,,,,7.0906,,,,,28.8177,,,,
2026-05-26,208500522754.72,29.5925,,,,,0.0381,4.9616,,,,,4.9750,,,,,7.0470,,,,,28.6409,,,,
2026-05-25,208617559253.6,29.6091,,,,,0.0381,4.9644,,,,,4.9778,,,,,7.0510,,,,,28.6569,,,,
2026-05-22,206510902273.76,29.3101,,,,,0.0385,4.9143,,,,,4.9275,,,,,6.9798,,,,,28.3675,,,,
2026-05-21,206803493520.96,29.3516,,,,,0.0385,4.9213,,,,,4.9345,,,,,6.9897,,,,,28.4077,,,,
2026-05-20,209963478990.72,29.8001,,,,,0.0379,4.9965,,,,,5.0099,,,,,7.0965,,,,,28.8418,,,,
2026-05-19,211777544723.36,30.0576,,,,,0.0376,5.0396,,,,,5.0532,,,,,7.1578,,,,,29.0910,,,,
2026-05-18,212889391462.72,30.2154,,,,,0.0374,5.0661,,,,,5.0797,,,,,7.1954,,,,,29.2437,,,,
2026-05-15,215405676188.64,30.5725,,,,,0.0369,5.1260,,,,,5.1398,,,,,7.2804,,,,,29.5894,,,,
2026-05-14,218565661658.4,31.0210,,,,,0.0364,5.2012,,,,,5.2152,,,,,7.3872,,,,,30.0235,,,,
2026-05-13,220847873386.56,31.3450,,,,,0.0360,5.2555,,,,,5.2696,,,,,7.4644,,,,,30.3370,,,,
2026-05-12,221433055880.96,31.4280,,,,,0.0359,5.2694,,,,,5.2836,,,,,7.4841,,,,,30.4173,,,,
2026-05-11,223247121613.6,31.6855,,,,,0.0356,5.3126,,,,,5.3269,,,,,7.5455,,,,,30.6665,,,,
2026-05-08,223422676361.92,31.7104,,,,,0.0356,5.3167,,,,,5.3311,,,,,7.5514,,,,,30.6906,,,,
2026-05-07,226641180081.12,32.1672,,,,,0.0351,5.3933,,,,,5.4079,,,,,7.6602,,,,,31.1328,,,,
2026-05-06,226699698330.56,32.1755,,,,,0.0351,5.3947,,,,,5.4093,,,,,7.6622,,,,,31.1408,,,,
2026-04-30,226114515836.16,32.0924,,,,,0.0352,5.3808,,,,,5.3953,,,,,7.6424,,,,,31.0604,,,,
2026-04-29,229801165550.88,32.6157,,,,,0.0346,5.4685,,,,,5.4833,,,,,7.7670,,,,,31.5668,,,,
2026-04-28,229742647301.44,32.6074,,,,,0.0346,5.4671,,,,,5.4819,,,,,7.7650,,,,,31.5588,,,,
2026-04-27,233195224018.4,34.0656,,,,,0.0341,5.8924,,,,,5.9093,,,,,8.0765,,,,,33.1315,,,,
2026-04-24,233604851764.48,34.1255,,,,,0.0340,5.9027,,,,,5.9196,,,,,8.0907,,,,,33.1897,,,,
2026-04-23,231615231283.52,33.8348,,,,,0.0343,5.8525,,,,,5.8692,,,,,8.0218,,,,,32.9071,,,,
2026-04-22,233078187519.52,34.0485,,,,,0.0341,5.8894,,,,,5.9063,,,,,8.0724,,,,,33.1149,,,,
2026-04-21,237876683973.6,34.7495,,,,,0.0334,6.0107,,,,,6.0279,,,,,8.2386,,,,,33.7967,,,,
2026-04-20,235770026993.76,34.4417,,,,,0.0337,5.9575,,,,,5.9745,,,,,8.1657,,,,,33.4974,,,,
2026-04-17,233721888263.36,34.1425,,,,,0.0340,5.9057,,,,,5.9226,,,,,8.0947,,,,,33.2064,,,,
2026-04-16,238403348218.56,34.8264,,,,,0.0334,6.0240,,,,,6.0412,,,,,8.2569,,,,,33.8715,,,,
2026-04-15,239456676708.48,34.9803,,,,,0.0332,6.0506,,,,,6.0679,,,,,8.2933,,,,,34.0211,,,,
2026-04-14,238578902966.88,34.8521,,,,,0.0333,6.0284,,,,,6.0457,,,,,8.2629,,,,,33.8964,,,,
2026-04-13,239866304454.56,35.0401,,,,,0.0332,6.0610,,,,,6.0783,,,,,8.3075,,,,,34.0793,,,,
2026-04-10,241972961434.4,35.3479,,,,,0.0329,6.1142,,,,,6.1317,,,,,8.3805,,,,,34.3787,,,,
2026-04-09,240802596445.6,35.1769,,,,,0.0330,6.0846,,,,,6.1020,,,,,8.3400,,,,,34.2124,,,,
2026-04-08,240802596445.6,35.1769,,,,,0.0330,6.0846,,,,,6.1020,,,,,8.3400,,,,,34.2124,,,,
2026-04-07,243026289924.32,35.5018,,,,,0.0327,6.1408,,,,,6.1584,,,,,8.4170,,,,,34.5283,,,,
2026-04-03,243962581915.36,35.6385,,,,,0.0326,6.1645,,,,,6.1821,,,,,8.4494,,,,,34.6613,,,,
2026-04-02,247064049135.68,36.0916,,,,,0.0322,6.2428,,,,,6.2607,,,,,8.5568,,,,,35.1020,,,,
2026-04-01,244372209661.44,35.6984,,,,,0.0325,6.1748,,,,,6.1925,,,,,8.4636,,,,,34.7195,,,,
2026-03-31,239924822704.0,35.0487,,,,,0.0332,6.0624,,,,,6.0798,,,,,8.3096,,,,,34.0877,,,,
2026-03-30,236062618240.96,34.4845,,,,,0.0337,5.9649,,,,,5.9819,,,,,8.1758,,,,,33.5389,,,,
2026-03-27,232317450276.8,33.9374,,,,,0.0342,5.8702,,,,,5.8870,,,,,8.0461,,,,,33.0068,,,,
2026-03-26,216224931680.8,32.7106,,,,,0.0372,5.7204,,,,,5.7375,,,,,7.6867,,,,,31.5591,,,,
2026-03-25,216517522928.0,32.7549,,,,,0.0372,5.7281,,,,,5.7453,,,,,7.6972,,,,,31.6018,,,,
2026-03-24,214469384197.6,32.4450,,,,,0.0375,5.6739,,,,,5.6909,,,,,7.6243,,,,,31.3029,,,,
2026-03-23,212362727217.76,32.1263,,,,,0.0379,5.6182,,,,,5.6350,,,,,7.5494,,,,,30.9954,,,,
2026-03-20,221491574130.4,33.5073,,,,,0.0363,5.8597,,,,,5.8773,,,,,7.8740,,,,,32.3278,,,,
2026-03-19,223598231110.24,33.8260,,,,,0.0360,5.9154,,,,,5.9332,,,,,7.9489,,,,,32.6353,,,,
2026-03-18,225646369840.64,34.1359,,,,,0.0357,5.9696,,,,,5.9875,,,,,8.0217,,,,,32.9342,,,,
2026-03-17,227928581568.8,34.4811,,,,,0.0353,6.0300,,,,,6.0481,,,,,8.1028,,,,,33.2673,,,,
2026-03-16,225353778593.44,34.0916,,,,,0.0357,5.9619,,,,,5.9797,,,,,8.0113,,,,,32.8915,,,,
2026-03-13,221140464633.76,33.4542,,,,,0.0364,5.8504,,,,,5.8679,,,,,7.8615,,,,,32.2765,,,,
2026-03-12,216634559426.88,32.7726,,,,,0.0371,5.7312,,,,,5.7484,,,,,7.7013,,,,,31.6189,,,,
2026-03-11,218799734656.16,33.1001,,,,,0.0368,5.7885,,,,,5.8058,,,,,7.7783,,,,,31.9349,,,,
2026-03-10,218156033912.32,33.0027,,,,,0.0369,5.7715,,,,,5.7887,,,,,7.7554,,,,,31.8409,,,,
2026-03-09,218331588660.64,33.0293,,,,,0.0369,5.7761,,,,,5.7934,,,,,7.7616,,,,,31.8666,,,,
2026-03-06,216634559426.88,32.7726,,,,,0.0371,5.7312,,,,,5.7484,,,,,7.7013,,,,,31.6189,,,,
2026-03-05,210548661485.12,31.8519,,,,,0.0382,5.5702,,,,,5.5869,,,,,7.4850,,,,,30.7306,,,,
2026-03-04,207739785512.0,31.4270,,,,,0.0387,5.4959,,,,,5.5124,,,,,7.3851,,,,,30.3206,,,,
2026-03-03,211016807480.64,31.9227,,,,,0.0381,5.5826,,,,,5.5993,,,,,7.5016,,,,,30.7989,,,,
2026-03-02,208617559253.6,31.5598,,,,,0.0386,5.5191,,,,,5.5356,,,,,7.4163,,,,,30.4488,,,,
2026-02-27,210431624986.24,31.8342,,,,,0.0382,5.5671,,,,,5.5838,,,,,7.4808,,,,,30.7135,,,,
2026-02-26,209729405992.96,31.7280,,,,,0.0384,5.5485,,,,,5.5651,,,,,7.4558,,,,,30.6110,,,,
2026-02-25,209963478990.72,31.7634,,,,,0.0383,5.5547,,,,,5.5714,,,,,7.4642,,,,,30.6452,,,,
2026-02-24,211660508224.48,32.0201,,,,,0.0380,5.5996,,,,,5.6164,,,,,7.5245,,,,,30.8929,,,,
2026-02-13,208559041004.16,31.5509,,,,,0.0386,5.5176,,,,,5.5341,,,,,7.4142,,,,,30.4402,,,,
2026-02-12,210314588487.36,31.8165,,,,,0.0383,5.5640,,,,,5.5807,,,,,7.4766,,,,,30.6965,,,,
2026-02-11,213123464460.48,32.2414,,,,,0.0378,5.6383,,,,,5.6552,,,,,7.5765,,,,,31.1064,,,,
2026-02-10,214293829449.28,32.4185,,,,,0.0375,5.6693,,,,,5.6863,,,,,7.6181,,,,,31.2772,,,,
2026-02-09,217453814919.04,32.8965,,,,,0.0370,5.7529,,,,,5.7701,,,,,7.7304,,,,,31.7385,,,,
2026-02-06,217044187172.96,32.8345,,,,,0.0371,5.7420,,,,,5.7592,,,,,7.7159,,,,,31.6787,,,,
2026-02-05,222135274874.24,33.6047,,,,,0.0362,5.6161,,,,,5.6322,,,,,7.8969,,,,,32.4217,,,,
2026-02-04,212304208968.32,32.1175,,,,,0.0379,5.3676,,,,,5.3829,,,,,7.5474,,,,,30.9868,,,,
2026-02-03,209904960741.28,31.7545,,,,,0.0383,5.3069,,,,,5.3221,,,,,7.4621,,,,,30.6367,,,,
2026-02-02,208149413258.08,31.4889,,,,,0.0387,5.2625,,,,,5.2776,,,,,7.3997,,,,,30.3804,,,,
2026-01-30,206569420523.2,31.2499,,,,,0.0390,5.2226,,,,,5.2375,,,,,7.3435,,,,,30.1498,,,,
2026-01-29,213006427961.6,32.2237,,,,,0.0378,5.3853,,,,,5.4007,,,,,7.5723,,,,,31.0893,,,,
2026-01-28,204638318291.68,30.9578,,,,,0.0393,5.1738,,,,,5.1886,,,,,7.2748,,,,,29.8680,,,,
2026-01-27,207213121267.04,31.3473,,,,,0.0388,5.2389,,,,,5.2539,,,,,7.3664,,,,,30.2438,,,,
2026-01-26,208793114001.92,31.5863,,,,,0.0385,5.2788,,,,,5.2939,,,,,7.4226,,,,,30.4744,,,,
2026-01-23,209729405992.96,31.7280,,,,,0.0384,5.3025,,,,,5.3177,,,,,7.4558,,,,,30.6110,,,,
2026-01-22,211484953476.16,31.9935,,,,,0.0380,5.3469,,,,,5.3622,,,,,7.5182,,,,,30.8673,,,,
2026-01-21,213591610456.0,32.3122,,,,,0.0377,5.4001,,,,,5.4156,,,,,7.5931,,,,,31.1747,,,,
2026-01-20,215815303934.72,32.6486,,,,,0.0373,5.4563,,,,,5.4720,,,,,7.6722,,,,,31.4993,,,,
2026-01-19,215698267435.84,32.6309,,,,,0.0373,5.4534,,,,,5.4690,,,,,7.6680,,,,,31.4822,,,,
2026-01-16,216459004678.56,32.7460,,,,,0.0372,5.4726,,,,,5.4883,,,,,7.6951,,,,,31.5933,,,,
2026-01-15,219970099644.96,33.2772,,,,,0.0366,5.5614,,,,,5.5773,,,,,7.8199,,,,,32.1057,,,,
2026-01-14,221140464633.76,33.4542,,,,,0.0364,5.5910,,,,,5.6070,,,,,7.8615,,,,,32.2765,,,,
2026-01-13,223422676361.92,33.7995,,,,,0.0360,5.6487,,,,,5.6649,,,,,7.9426,,,,,32.6096,,,,
2026-01-12,224241931854.08,33.9234,,,,,0.0359,5.6694,,,,,5.6856,,,,,7.9718,,,,,32.7292,,,,
2026-01-09,221725647128.16,33.5428,,,,,0.0363,5.6058,,,,,5.6218,,,,,7.8823,,,,,32.3620,,,,
2026-01-08,222486384370.88,33.6578,,,,,0.0362,5.6250,,,,,5.6411,,,,,7.9093,,,,,32.4730,,,,
2026-01-07,223481194611.36,33.8083,,,,,0.0360,5.6502,,,,,5.6663,,,,,7.9447,,,,,32.6182,,,,
2026-01-06,224593041350.72,33.9765,,,,,0.0358,5.6783,,,,,5.6945,,,,,7.9842,,,,,32.7805,,,,
2026-01-05,221959720125.92,33.5782,,,,,0.0363,5.6117,,,,,5.6278,,,,,7.8906,,,,,32.3961,,,,
2025-12-31,216634559426.88,32.7726,,,,,0.0371,5.4771,,,,,5.4927,,,,,7.7013,,,,,31.6189,,,,
2025-12-30,218156033912.32,33.0027,,,,,0.0369,5.5155,,,,,5.5313,,,,,7.7554,,,,,31.8409,,,,
2025-12-29,217804924415.68,32.9496,,,,,0.0369,5.5066,,,,,5.5224,,,,,7.7429,,,,,31.7897,,,,
2025-12-26,218975289404.48,33.1267,,,,,0.0368,5.5362,,,,,5.5521,,,,,7.7845,,,,,31.9605,,,,
2025-12-25,218858252905.6,33.1090,,,,,0.0368,5.5333,,,,,5.5491,,,,,7.7804,,,,,31.9434,,,,
2025-12-24,218565661658.4,33.0647,,,,,0.0368,5.5259,,,,,5.5417,,,,,7.7700,,,,,31.9007,,,,
2025-12-23,221081946384.32,33.4454,,,,,0.0364,5.5895,,,,,5.6055,,,,,7.8594,,,,,32.2680,,,,
2025-12-22,221491574130.4,33.5073,,,,,0.0363,5.5999,,,,,5.6159,,,,,7.8740,,,,,32.3278,,,,
2025-12-19,221081946384.32,33.4454,,,,,0.0364,5.5895,,,,,5.6055,,,,,7.8594,,,,,32.2680,,,,
2025-12-18,216576041177.44,32.7637,,,,,0.0291,5.4756,,,,,5.4913,,,,,7.6992,,,,,31.6103,,,,
2025-12-17,216693077676.32,32.7814,,,,,0.0290,5.4785,,,,,5.4942,,,,,7.7034,,,,,31.6274,,,,
2025-12-16,214996048442.56,32.5247,,,,,0.0293,5.4356,,,,,5.4512,,,,,7.6431,,,,,31.3797,,,,
2025-12-15,213650128705.44,32.3211,,,,,0.0295,5.4016,,,,,5.4171,,,,,7.5952,,,,,31.1833,,,,
2025-12-12,213533092206.56,32.3034,,,,,0.0295,5.3986,,,,,5.4141,,,,,7.5911,,,,,31.1662,,,,
2025-12-11,212655318464.96,32.1706,,,,,0.0296,5.3765,,,,,5.3918,,,,,7.5599,,,,,31.0381,,,,
2025-12-10,213123464460.48,32.2414,,,,,0.0295,5.3883,,,,,5.4037,,,,,7.5765,,,,,31.1064,,,,
2025-12-09,213416055707.68,32.2857,,,,,0.0295,5.3957,,,,,5.4111,,,,,7.5869,,,,,31.1491,,,,
2025-12-08,213650128705.44,32.3211,,,,,0.0295,5.4016,,,,,5.4171,,,,,7.5952,,,,,31.1833,,,,
2025-12-05,213650128705.44,32.3211,,,,,0.0295,5.4016,,,,,5.4171,,,,,7.5952,,,,,31.1833,,,,
2025-12-04,211953099471.68,32.0644,,,,,0.0297,5.3587,,,,,5.3740,,,,,7.5349,,,,,30.9356,,,,
2025-12-03,213064946211.04,32.2326,,,,,0.0295,5.3868,,,,,5.4022,,,,,7.5744,,,,,31.0979,,,,
2025-12-02,215756785685.28,32.6398,,,,,0.0292,5.4549,,,,,5.4705,,,,,7.6701,,,,,31.4908,,,,
2025-12-01,217453814919.04,32.8965,,,,,0.0289,5.4978,,,,,5.5135,,,,,7.7304,,,,,31.7385,,,,
2025-11-28,216283449930.24,32.7195,,,,,0.0291,5.4682,,,,,5.4838,,,,,7.6888,,,,,31.5676,,,,
2025-11-27,216459004678.56,32.7460,,,,,0.0291,5.4726,,,,,5.4883,,,,,7.6951,,,,,31.5933,,,,
2025-11-26,215522712687.52,32.6044,,,,,0.0292,5.4489,,,,,5.4645,,,,,7.6618,,,,,31.4566,,,,
2025-11-25,217102705422.4,32.8434,,,,,0.0290,5.4889,,,,,5.5046,,,,,7.7180,,,,,31.6872,,,,
2025-11-24,215815303934.72,32.6486,,,,,0.0292,5.4563,,,,,5.4720,,,,,7.6722,,,,,31.4993,,,,
2025-11-21,218214552161.76,33.0116,,,,,0.0288,5.5170,,,,,5.5328,,,,,7.7575,,,,,31.8495,,,,
2025-11-20,220906391636.0,33.4188,,,,,0.0285,5.5851,,,,,5.6011,,,,,7.8532,,,,,32.2424,,,,
2025-11-19,221198982883.2,33.4631,,,,,0.0284,5.5925,,,,,5.6085,,,,,7.8636,,,,,32.2851,,,,
2025-11-18,222193793123.68,33.6136,,,,,0.0283,5.6176,,,,,5.6337,,,,,7.8989,,,,,32.4303,,,,
2025-11-17,223481194611.36,33.8083,,,,,0.0282,5.6502,,,,,5.6663,,,,,7.9447,,,,,32.6182,,,,
2025-11-14,224827114348.48,34.0119,,,,,0.0280,5.6842,,,,,5.7005,,,,,7.9926,,,,,32.8146,,,,
2025-11-13,225880442838.4,34.1713,,,,,0.0279,5.7108,,,,,5.7272,,,,,8.0300,,,,,32.9684,,,,
2025-11-12,225061187346.24,34.0474,,,,,0.0280,5.6901,,,,,5.7064,,,,,8.0009,,,,,32.8488,,,,
2025-11-11,225997479337.28,34.1890,,,,,0.0278,5.7138,,,,,5.7301,,,,,8.0342,,,,,32.9854,,,,
2025-11-10,226173034085.6,34.2156,,,,,0.0278,5.7182,,,,,5.7346,,,,,8.0404,,,,,33.0111,,,,
2025-11-07,222193793123.68,33.6136,,,,,0.0283,5.6176,,,,,5.6337,,,,,7.8989,,,,,32.4303,,,,
2025-11-06,220672318638.24,33.3834,,,,,0.0285,5.5791,,,,,5.5951,,,,,7.8449,,,,,32.2082,,,,
2025-11-05,220555282139.36,33.3657,,,,,0.0285,5.5762,,,,,5.5921,,,,,7.8407,,,,,32.1911,,,,
2025-11-04,220906391636.0,33.4188,,,,,0.0285,5.5851,,,,,5.6011,,,,,7.8532,,,,,32.2424,,,,
2025-11-03,223247121613.6,33.7729,,,,,0.0282,5.6442,,,,,5.6604,,,,,7.9364,,,,,32.5840,,,,
2025-10-31,223013048615.84,33.7375,,,,,0.0282,5.6383,,,,,5.6545,,,,,7.9281,,,,,32.5499,,,,
2025-10-30,222252311373.12,33.6224,,,,,0.0283,5.6191,,,,,5.6352,,,,,7.9010,,,,,32.4388,,,,
2025-10-29,224944150847.36,34.0296,,,,,0.0280,5.6871,,,,,5.7034,,,,,7.9967,,,,,32.8317,,,,
2025-10-28,224710077849.6,34.2522,,,,,0.0280,5.9655,,,,,5.9834,,,,,8.0325,,,,,33.0209,,,,
2025-10-27,226524143582.24,34.5287,,,,,0.0278,6.0136,,,,,6.0317,,,,,8.0974,,,,,33.2875,,,,
2025-10-24,225880442838.4,34.4306,,,,,0.0279,5.9965,,,,,6.0146,,,,,8.0744,,,,,33.1929,,,,
2025-10-23,226055997586.72,34.4573,,,,,0.0278,6.0012,,,,,6.0193,,,,,8.0806,,,,,33.2187,,,,
2025-10-22,226173034085.6,34.4752,,,,,0.0278,6.0043,,,,,6.0224,,,,,8.0848,,,,,33.2359,,,,
2025-10-21,227928581568.8,34.7428,,,,,0.0276,6.0509,,,,,6.0691,,,,,8.1476,,,,,33.4939,,,,
2025-10-20,227870063319.36,34.7338,,,,,0.0276,6.0494,,,,,6.0676,,,,,8.1455,,,,,33.4853,,,,
2025-10-17,228689318811.52,34.8587,,,,,0.0275,6.0711,,,,,6.0894,,,,,8.1748,,,,,33.6057,,,,
2025-10-16,232727078022.88,35.4742,,,,,0.0270,6.1783,,,,,6.1969,,,,,8.3191,,,,,34.1990,,,,
2025-10-15,231088567038.56,35.2244,,,,,0.0272,6.1348,,,,,6.1533,,,,,8.2605,,,,,33.9582,,,,
2025-10-14,228806355310.4,34.8766,,,,,0.0275,6.0742,,,,,6.0925,,,,,8.1790,,,,,33.6229,,,,
2025-10-13,227635990321.6,34.6982,,,,,0.0276,6.0432,,,,,6.0613,,,,,8.1371,,,,,33.4509,,,,
2025-10-10,229859683800.32,35.0371,,,,,0.0274,6.1022,,,,,6.1205,,,,,8.2166,,,,,33.7777,,,,
2025-10-09,230210793296.96,35.0906,,,,,0.0273,6.1115,,,,,6.1299,,,,,8.2292,,,,,33.8293,,,,
2025-09-30,227987099818.24,34.7517,,,,,0.0276,6.0525,,,,,6.0707,,,,,8.1497,,,,,33.5025,,,,
2025-09-29,227518953822.72,34.6803,,,,,0.0277,6.0400,,,,,6.0582,,,,,8.1329,,,,,33.4337,,,,
2025-09-26,227050807827.2,34.6090,,,,,0.0277,6.0276,,,,,6.0457,,,,,8.1162,,,,,33.3649,,,,
2025-09-25,225880442838.4,34.4306,,,,,0.0279,5.9965,,,,,6.0146,,,,,8.0744,,,,,33.1929,,,,
2025-09-24,227050807827.2,34.6090,,,,,0.0277,6.0276,,,,,6.0457,,,,,8.1162,,,,,33.3649,,,,
2025-09-23,229976720299.2,35.0550,,,,,0.0274,5.8687,,,,,5.8856,,,,,8.2208,,,,,33.7949,,,,
2025-09-22,231205603537.44,35.2423,,,,,0.0272,5.9000,,,,,5.9171,,,,,8.2647,,,,,33.9754,,,,
2025-09-19,232902632771.2,35.5010,,,,,0.0270,5.9433,,,,,5.9605,,,,,8.3254,,,,,34.2248,,,,
2025-09-18,232844114521.76,35.4920,,,,,0.0270,5.9418,,,,,5.9590,,,,,8.3233,,,,,34.2162,,,,
2025-09-17,235770026993.76,35.9380,,,,,0.0267,6.0165,,,,,6.0339,,,,,8.4279,,,,,34.6462,,,,
2025-09-16,236004099991.52,35.9737,,,,,0.0267,6.0225,,,,,6.0399,,,,,8.4363,,,,,34.6806,,,,
2025-09-15,238988530712.96,36.4286,,,,,0.0263,6.0986,,,,,6.1163,,,,,8.5429,,,,,35.1191,,,,
2025-09-12,237876683973.6,36.2591,,,,,0.0265,6.0703,,,,,6.0878,,,,,8.5032,,,,,34.9557,,,,
2025-09-11,241621851937.76,36.8300,,,,,0.0260,6.1658,,,,,6.1837,,,,,8.6371,,,,,35.5061,,,,
2025-09-10,239632231456.8,36.5267,,,,,0.0263,6.1151,,,,,6.1327,,,,,8.5659,,,,,35.2137,,,,
2025-09-09,241855924935.52,36.8657,,,,,0.0260,6.1718,,,,,6.1896,,,,,8.6454,,,,,35.5405,,,,
2025-09-08,240919632944.48,36.7230,,,,,0.0261,6.1479,,,,,6.1657,,,,,8.6120,,,,,35.4029,,,,
2025-09-05,236647800735.36,36.0718,,,,,0.0266,6.0389,,,,,6.0564,,,,,8.4593,,,,,34.7752,,,,
2025-09-04,236530764236.48,36.0540,,,,,0.0266,6.0359,,,,,6.0534,,,,,8.4551,,,,,34.7580,,,,
2025-09-03,235126326249.92,35.8399,,,,,0.0268,6.0001,,,,,6.0174,,,,,8.4049,,,,,34.5516,,,,
2025-09-02,239573713207.36,36.5178,,,,,0.0263,6.1136,,,,,6.1312,,,,,8.5639,,,,,35.2051,,,,
2025-09-01,241212224191.68,36.7676,,,,,0.0261,6.1554,,,,,6.1732,,,,,8.6224,,,,,35.4459,,,,
2025-08-29,242499625679.36,36.9638,,,,,0.0259,6.1882,,,,,6.2061,,,,,8.6684,,,,,35.6351,,,,
2025-08-28,234541143755.52,36.8990,,,,,0.0204,8.2806,,,,,8.3138,,,,,8.5218,,,,,35.3886,,,,
2025-08-27,236413727737.6,37.1936,,,,,0.0202,8.3468,,,,,8.3802,,,,,8.5898,,,,,35.6711,,,,
2025-08-26,240334450450.08,37.8104,,,,,0.0199,8.4852,,,,,8.5191,,,,,8.7323,,,,,36.2627,,,,
2025-08-25,240510005198.4,37.8381,,,,,0.0198,8.4914,,,,,8.5254,,,,,8.7387,,,,,36.2892,,,,
2025-08-22,233195224018.4,36.6873,,,,,0.0205,8.2331,,,,,8.2661,,,,,8.4729,,,,,35.1855,,,,
2025-08-21,232610041524.0,36.5952,,,,,0.0205,8.2125,,,,,8.2453,,,,,8.4516,,,,,35.0972,,,,
