date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-05-22,145987656116.16,4.6884,,,,,3.2428,,,,,21.0737,,,,,3.2398,,,,,18.4559,,,,,0.0177
2026-05-21,143726785335.6,4.6158,,,,,3.1926,,,,,20.7473,,,,,3.1896,,,,,18.1701,,,,,0.0180
2026-05-20,143161567640.46,4.5976,,,,,3.1800,,,,,20.6657,,,,,3.1770,,,,,18.0986,,,,,0.0180
2026-05-19,141142933014.96,4.5328,,,,,3.1352,,,,,20.3744,,,,,3.1322,,,,,17.8435,,,,,0.0183
2026-05-18,137670881459.1,4.4213,,,,,3.0580,,,,,19.8732,,,,,3.0552,,,,,17.4045,,,,,0.0188
2026-05-15,140819951474.88,4.5224,,,,,3.1280,,,,,20.3277,,,,,3.1251,,,,,17.8026,,,,,0.0183
2026-05-14,145341693036.0,4.6677,,,,,3.2284,,,,,20.9805,,,,,3.2254,,,,,18.3743,,,,,0.0178
2026-05-13,145341693036.0,4.6677,,,,,3.2284,,,,,20.9805,,,,,3.2254,,,,,18.3743,,,,,0.0178
2026-05-12,143646039950.58,4.6132,,,,,3.1908,,,,,20.7357,,,,,3.1878,,,,,18.1599,,,,,0.0180
2026-05-11,148329272281.74,4.7636,,,,,3.2948,,,,,21.4117,,,,,3.2917,,,,,18.7520,,,,,0.0174
2026-05-08,157372755403.98,5.0540,,,,,3.4957,,,,,22.7172,,,,,3.4924,,,,,19.8952,,,,,0.0164
2026-05-07,148813744591.86,4.7792,,,,,3.3055,,,,,21.4817,,,,,3.3025,,,,,18.8132,,,,,0.0174
2026-05-06,150509397677.28,4.8336,,,,,3.3432,,,,,21.7264,,,,,3.3401,,,,,19.0276,,,,,0.0172
2026-04-30,142111877635.2,4.5639,,,,,3.1567,,,,,20.5142,,,,,3.1538,,,,,17.9659,,,,,0.0182
2026-04-29,142192623020.22,4.5665,,,,,3.1585,,,,,20.5259,,,,,3.1555,,,,,17.9762,,,,,0.0182
2026-04-28,135652246833.6,4.3565,,,,,3.0132,,,,,19.5818,,,,,3.0104,,,,,17.1493,,,,,0.0190
2026-04-27,138801316849.38,4.4576,,,,,3.0831,,,,,20.0363,,,,,3.0803,,,,,17.5474,,,,,0.0186
2026-04-24,140739206089.86,4.9948,,,,,3.2758,,,,,28.0133,,,,,3.2726,,,,,23.4093,,,,,0.0184
2026-04-23,141465914555.04,5.0206,,,,,3.2927,,,,,28.1580,,,,,3.2895,,,,,23.5302,,,,,0.0183
2026-04-22,145018711495.92,5.1467,,,,,3.3754,,,,,28.8651,,,,,3.3721,,,,,24.1212,,,,,0.0178
2026-04-21,154142940003.18,5.4705,,,,,3.5878,,,,,30.6812,,,,,3.5843,,,,,25.6388,,,,,0.0168
2026-04-20,154062194618.16,5.4676,,,,,3.5859,,,,,30.6652,,,,,3.5824,,,,,25.6254,,,,,0.0168
2026-04-17,149782689212.1,5.3157,,,,,3.4863,,,,,29.8134,,,,,3.4829,,,,,24.9136,,,,,0.0173
2026-04-16,145987656116.16,5.1811,,,,,3.3980,,,,,29.0580,,,,,3.3946,,,,,24.2823,,,,,0.0177
2026-04-15,148894489976.88,5.2842,,,,,3.4656,,,,,29.6366,,,,,3.4622,,,,,24.7658,,,,,0.0174
2026-04-14,149621198442.06,5.3100,,,,,3.4826,,,,,29.7812,,,,,3.4791,,,,,24.8867,,,,,0.0173
2026-04-13,147118091506.44,5.2212,,,,,3.4243,,,,,29.2830,,,,,3.4209,,,,,24.4703,,,,,0.0176
2026-04-10,154062194618.16,5.4676,,,,,3.5859,,,,,30.6652,,,,,3.5824,,,,,25.6254,,,,,0.0168
2026-04-09,159472135414.5,5.6596,,,,,3.7119,,,,,31.7420,,,,,3.7082,,,,,26.5252,,,,,0.0162
2026-04-08,162782696200.32,5.7771,,,,,3.7889,,,,,32.4009,,,,,3.7851,,,,,27.0759,,,,,0.0159
2026-04-07,163590150050.52,5.8058,,,,,3.8077,,,,,32.5617,,,,,3.8039,,,,,27.2102,,,,,0.0158
2026-04-03,164639840055.78,5.8430,,,,,3.8321,,,,,32.7706,,,,,3.8283,,,,,27.3848,,,,,0.0157
2026-04-02,157211264633.94,5.5794,,,,,3.6592,,,,,31.2920,,,,,3.6556,,,,,26.1492,,,,,0.0164
2026-04-01,145341693036.0,5.1581,,,,,3.3830,,,,,28.9294,,,,,3.3796,,,,,24.1749,,,,,0.0178
2026-03-31,132099449892.72,4.6882,,,,,3.0747,,,,,26.2936,,,,,3.0717,,,,,21.9723,,,,,0.0196
2026-03-30,137509390689.06,4.8802,,,,,3.2006,,,,,27.3704,,,,,3.1975,,,,,22.8721,,,,,0.0188
2026-03-27,138074608384.2,4.9002,,,,,3.2138,,,,,27.4829,,,,,3.2106,,,,,22.9661,,,,,0.0187
2026-03-26,134764047598.38,5.2208,,,,,3.3085,,,,,29.1211,,,,,3.3050,,,,,26.7487,,,,,0.0135
2026-03-25,140577715319.82,5.4460,,,,,3.4512,,,,,30.3773,,,,,3.4475,,,,,27.9026,,,,,0.0130
2026-03-24,146149146886.2,5.6618,,,,,3.5880,,,,,31.5813,,,,,3.5842,,,,,29.0085,,,,,0.0125
2026-03-23,137267154534.0,5.3178,,,,,3.3699,,,,,29.6620,,,,,3.3663,,,,,27.2455,,,,,0.0133
2026-03-20,135490756063.56,5.2489,,,,,3.3263,,,,,29.2781,,,,,3.3228,,,,,26.8929,,,,,0.0135
2026-03-19,142596349945.32,5.5242,,,,,3.5007,,,,,30.8135,,,,,3.4970,,,,,28.3033,,,,,0.0128
2026-03-18,145503183806.04,5.6368,,,,,3.5721,,,,,31.4417,,,,,3.5683,,,,,28.8802,,,,,0.0125
2026-03-17,133149139897.98,5.1582,,,,,3.2688,,,,,28.7721,,,,,3.2654,,,,,26.4281,,,,,0.0137
2026-03-16,135248519908.5,5.2396,,,,,3.3204,,,,,29.2258,,,,,3.3168,,,,,26.8448,,,,,0.0135
2026-03-13,125801309861.16,4.8736,,,,,3.0884,,,,,27.1843,,,,,3.0852,,,,,24.9697,,,,,0.0145
2026-03-12,128950379876.94,4.9956,,,,,3.1657,,,,,27.8648,,,,,3.1624,,,,,25.5948,,,,,0.0142
2026-03-11,131614977582.6,5.0988,,,,,3.2312,,,,,28.4406,,,,,3.2277,,,,,26.1236,,,,,0.0139
2026-03-10,132987649127.94,5.1520,,,,,3.2649,,,,,28.7372,,,,,3.2614,,,,,26.3961,,,,,0.0137
2026-03-09,126931745251.44,4.9174,,,,,3.1162,,,,,27.4286,,,,,3.1129,,,,,25.1941,,,,,0.0144
2026-03-06,138236099154.24,5.3553,,,,,3.3937,,,,,29.8713,,,,,3.3901,,,,,27.4378,,,,,0.0132
2026-03-05,140981442244.92,5.4616,,,,,3.4611,,,,,30.4646,,,,,3.4574,,,,,27.9827,,,,,0.0129
2026-03-04,143000076870.42,5.5398,,,,,3.5107,,,,,30.9008,,,,,3.5069,,,,,28.3834,,,,,0.0128
2026-03-03,158664681564.3,6.1467,,,,,3.8952,,,,,34.2857,,,,,3.8911,,,,,31.4926,,,,,0.0115
2026-03-02,144211257645.72,5.5868,,,,,3.5404,,,,,31.1625,,,,,3.5366,,,,,28.6238,,,,,0.0127
2026-02-27,131130505272.48,5.0800,,,,,3.2193,,,,,28.3359,,,,,3.2159,,,,,26.0275,,,,,0.0139
2026-02-26,125962800631.2,4.8798,,,,,3.0924,,,,,27.2192,,,,,3.0891,,,,,25.0018,,,,,0.0145
2026-02-25,119099442904.5,4.6139,,,,,2.9239,,,,,25.7361,,,,,2.9208,,,,,23.6395,,,,,0.0153
2026-02-24,108279561311.82,4.1948,,,,,2.6583,,,,,23.3981,,,,,2.6555,,,,,21.4919,,,,,0.0169
2026-02-13,98428624339.38,3.8131,,,,,2.4164,,,,,21.2694,,,,,2.4139,,,,,19.5366,,,,,0.0185
2026-02-12,106745398996.44,4.1353,,,,,2.6206,,,,,23.0665,,,,,2.6178,,,,,21.1874,,,,,0.0171
2026-02-11,97055952794.04,3.7600,,,,,2.3827,,,,,20.9728,,,,,2.3802,,,,,19.2642,,,,,0.0188
2026-02-10,99478314344.64,3.8538,,,,,2.4422,,,,,21.4962,,,,,2.4396,,,,,19.7450,,,,,0.0183
2026-02-09,97055952794.04,3.7600,,,,,2.3827,,,,,20.9728,,,,,2.3802,,,,,19.2642,,,,,0.0188
2026-02-06,91726757382.72,3.5535,,,,,2.2519,,,,,19.8212,,,,,2.2495,,,,,18.2064,,,,,0.0199
2026-02-05,94068373548.3,3.6442,,,,,2.3094,,,,,20.3272,,,,,2.3069,,,,,18.6712,,,,,0.0194
2026-02-04,96894462024.0,3.7537,,,,,2.3788,,,,,20.9379,,,,,2.3762,,,,,19.2321,,,,,0.0188
2026-02-03,93018683543.04,3.6036,,,,,2.2836,,,,,20.1003,,,,,2.2812,,,,,18.4628,,,,,0.0196
2026-02-02,87124270436.58,3.3752,,,,,2.1389,,,,,18.8266,,,,,2.1366,,,,,17.2929,,,,,0.0209
2026-01-30,91726757382.72,3.5535,,,,,2.2519,,,,,19.8212,,,,,2.2495,,,,,18.2064,,,,,0.0199
2026-01-29,89062159677.06,3.4503,,,,,2.1865,,,,,19.2454,,,,,2.1842,,,,,17.6775,,,,,0.0205
2026-01-28,90192595067.34,3.4941,,,,,2.2142,,,,,19.4897,,,,,2.2119,,,,,17.9019,,,,,0.0202
2026-01-27,90757812762.48,3.5160,,,,,2.2281,,,,,19.6118,,,,,2.2258,,,,,18.0141,,,,,0.0201
2026-01-26,91888248152.76,3.5598,,,,,2.2559,,,,,19.8561,,,,,2.2535,,,,,18.2385,,,,,0.0199
2026-01-23,87285761206.62,3.3815,,,,,2.1429,,,,,18.8615,,,,,2.1406,,,,,17.3249,,,,,0.0209
2026-01-22,89304395832.12,3.4597,,,,,2.1924,,,,,19.2977,,,,,2.1901,,,,,17.7256,,,,,0.0204
2026-01-21,89223650447.1,3.4565,,,,,2.1904,,,,,19.2803,,,,,2.1881,,,,,17.7096,,,,,0.0205
2026-01-20,90838558147.5,3.5191,,,,,2.2301,,,,,19.6292,,,,,2.2277,,,,,18.0301,,,,,0.0201
2026-01-19,92453465847.9,3.5817,,,,,2.2697,,,,,19.9782,,,,,2.2673,,,,,18.3507,,,,,0.0197
2026-01-16,90596321992.44,3.5097,,,,,2.2241,,,,,19.5769,,,,,2.2218,,,,,17.9820,,,,,0.0201
2026-01-15,91968993537.78,3.5629,,,,,2.2578,,,,,19.8735,,,,,2.2555,,,,,18.2545,,,,,0.0198
2026-01-14,90838558147.5,3.5191,,,,,2.2301,,,,,19.6292,,,,,2.2277,,,,,18.0301,,,,,0.0201
2026-01-13,90515576607.42,3.5066,,,,,2.2222,,,,,19.5594,,,,,2.2198,,,,,17.9660,,,,,0.0202
2026-01-12,86397561971.4,3.3471,,,,,2.1211,,,,,18.6696,,,,,2.1188,,,,,17.1486,,,,,0.0211
2026-01-09,79372713474.66,3.0749,,,,,1.9486,,,,,17.1516,,,,,1.9465,,,,,15.7543,,,,,0.0230
2026-01-08,77515569619.2,3.0030,,,,,1.9030,,,,,16.7503,,,,,1.9010,,,,,15.3857,,,,,0.0235
2026-01-07,72751591903.02,2.8184,,,,,1.7861,,,,,15.7208,,,,,1.7842,,,,,14.4401,,,,,0.0251
2026-01-06,73801281908.28,2.8591,,,,,1.8118,,,,,15.9477,,,,,1.8099,,,,,14.6485,,,,,0.0247
2026-01-05,72428610362.94,2.8059,,,,,1.7781,,,,,15.6510,,,,,1.7762,,,,,14.3760,,,,,0.0252
2025-12-31,72509355747.96,2.8090,,,,,1.7801,,,,,15.6685,,,,,1.7782,,,,,14.3920,,,,,0.0252
2025-12-30,72509355747.96,2.8090,,,,,1.7801,,,,,15.6685,,,,,1.7782,,,,,14.3920,,,,,0.0252
2025-12-29,73639791138.24,2.8528,,,,,1.8079,,,,,15.9128,,,,,1.8059,,,,,14.6164,,,,,0.0248
2025-12-26,71944138052.82,2.7871,,,,,1.7662,,,,,15.5464,,,,,1.7644,,,,,14.2799,,,,,0.0254
2025-12-25,71944138052.82,2.7871,,,,,1.7662,,,,,15.5464,,,,,1.7644,,,,,14.2799,,,,,0.0254
2025-12-24,70571466507.48,2.7340,,,,,1.7325,,,,,15.2497,,,,,1.7307,,,,,14.0074,,,,,0.0259
2025-12-23,72024883437.84,2.7903,,,,,1.7682,,,,,15.5638,,,,,1.7663,,,,,14.2959,,,,,0.0253
2025-12-22,72105628822.86,2.7934,,,,,1.7702,,,,,15.5813,,,,,1.7683,,,,,14.3119,,,,,0.0253
2025-12-19,68714322652.02,2.6620,,,,,1.6869,,,,,14.8484,,,,,1.6852,,,,,13.6388,,,,,0.0266
2025-12-18,71701901897.76,2.7777,,,,,1.7603,,,,,15.4940,,,,,1.7584,,,,,14.2318,,,,,0.0255
2025-12-17,70732957277.52,2.7402,,,,,1.7365,,,,,15.2846,,,,,1.7347,,,,,14.0395,,,,,0.0258
2025-12-16,67503141876.72,2.6151,,,,,1.6572,,,,,14.5867,,,,,1.6555,,,,,13.3984,,,,,0.0270
2025-12-15,69602521887.24,2.6964,,,,,1.7087,,,,,15.0404,,,,,1.7069,,,,,13.8151,,,,,0.0262
2025-12-12,67664632646.76,2.6213,,,,,1.6612,,,,,14.6216,,,,,1.6594,,,,,13.4304,,,,,0.0270
2025-12-11,66211215716.4,2.5650,,,,,1.6255,,,,,14.3075,,,,,1.6238,,,,,13.1420,,,,,0.0276
2025-12-10,66372706486.44,2.5713,,,,,1.6295,,,,,14.3424,,,,,1.6277,,,,,13.1740,,,,,0.0275
2025-12-09,66453451871.46,2.5744,,,,,1.6314,,,,,14.3599,,,,,1.6297,,,,,13.1900,,,,,0.0275
2025-12-08,67341651106.68,2.6088,,,,,1.6532,,,,,14.5518,,,,,1.6515,,,,,13.3663,,,,,0.0271
2025-12-05,67180160336.64,2.6026,,,,,1.6493,,,,,14.5169,,,,,1.6475,,,,,13.3343,,,,,0.0272
2025-12-04,71378920357.68,2.7652,,,,,1.7524,,,,,15.4242,,,,,1.7505,,,,,14.1677,,,,,0.0256
2025-12-03,70732957277.52,2.7402,,,,,1.7365,,,,,15.2846,,,,,1.7347,,,,,14.0395,,,,,0.0258
2025-12-02,70248484967.4,2.7214,,,,,1.7246,,,,,15.1799,,,,,1.7228,,,,,13.9433,,,,,0.0260
2025-12-01,78000041929.32,3.0217,,,,,1.9149,,,,,16.8550,,,,,1.9129,,,,,15.4819,,,,,0.0234
2025-11-28,71136684202.62,2.7558,,,,,1.7464,,,,,15.3719,,,,,1.7446,,,,,14.1196,,,,,0.0257
2025-11-27,69844758042.3,2.7058,,,,,1.7147,,,,,15.0927,,,,,1.7129,,,,,13.8632,,,,,0.0261
2025-11-26,69844758042.3,2.7058,,,,,1.7147,,,,,15.0927,,,,,1.7129,,,,,13.8632,,,,,0.0261
2025-11-25,71459665742.7,2.7684,,,,,1.7543,,,,,15.4417,,,,,1.7525,,,,,14.1837,,,,,0.0255
2025-11-24,72913082673.06,2.8247,,,,,1.7900,,,,,15.7557,,,,,1.7881,,,,,14.4722,,,,,0.0250
2025-11-21,70813702662.54,2.7433,,,,,1.7385,,,,,15.3021,,,,,1.7366,,,,,14.0555,,,,,0.0258
2025-11-20,72428610362.94,2.8059,,,,,1.7781,,,,,15.6510,,,,,1.7762,,,,,14.3760,,,,,0.0252
2025-11-19,74931717298.56,2.9029,,,,,1.8396,,,,,16.1919,,,,,1.8376,,,,,14.8728,,,,,0.0244
2025-11-18,71459665742.7,2.7684,,,,,1.7543,,,,,15.4417,,,,,1.7525,,,,,14.1837,,,,,0.0255
2025-11-17,74285754218.4,2.8778,,,,,1.8237,,,,,16.0524,,,,,1.8218,,,,,14.7446,,,,,0.0246
2025-11-14,73962772678.32,2.8653,,,,,1.8158,,,,,15.9826,,,,,1.8139,,,,,14.6805,,,,,0.0247
2025-11-13,73316809598.16,2.8403,,,,,1.7999,,,,,15.8430,,,,,1.7980,,,,,14.5523,,,,,0.0249
2025-11-12,69118049577.12,2.6776,,,,,1.6969,,,,,14.9357,,,,,1.6951,,,,,13.7189,,,,,0.0264
2025-11-11,68714322652.02,2.6620,,,,,1.6869,,,,,14.8484,,,,,1.6852,,,,,13.6388,,,,,0.0266
2025-11-10,68795068037.04,2.6651,,,,,1.6889,,,,,14.8659,,,,,1.6871,,,,,13.6548,,,,,0.0265
2025-11-07,70006248812.34,2.7121,,,,,1.7187,,,,,15.1276,,,,,1.7168,,,,,13.8952,,,,,0.0261
2025-11-06,68714322652.02,2.6620,,,,,1.6869,,,,,14.8484,,,,,1.6852,,,,,13.6388,,,,,0.0266
2025-11-05,67745378031.78,2.6245,,,,,1.6632,,,,,14.6391,,,,,1.6614,,,,,13.4465,,,,,0.0269
2025-11-04,67341651106.68,2.6088,,,,,1.6532,,,,,14.5518,,,,,1.6515,,,,,13.3663,,,,,0.0271
2025-11-03,74447244988.44,2.8841,,,,,1.8277,,,,,16.0873,,,,,1.8257,,,,,14.7767,,,,,0.0245
2025-10-31,74770226528.52,2.8966,,,,,1.8356,,,,,16.1570,,,,,1.8337,,,,,14.8408,,,,,0.0244
2025-10-30,76223643458.88,2.9529,,,,,1.8713,,,,,16.4711,,,,,1.8693,,,,,15.1293,,,,,0.0239
2025-10-29,69279540347.16,2.7547,,,,,1.7384,,,,,15.4763,,,,,1.7365,,,,,14.6311,,,,,0.0263
2025-10-28,66695688026.52,2.6520,,,,,1.6736,,,,,14.8991,,,,,1.6718,,,,,14.0854,,,,,0.0274
2025-10-27,67018669566.6,2.6648,,,,,1.6817,,,,,14.9713,,,,,1.6798,,,,,14.1536,,,,,0.0272
2025-10-24,66695688026.52,2.6520,,,,,1.6736,,,,,14.8991,,,,,1.6718,,,,,14.0854,,,,,0.0274
2025-10-23,68633577267.0,2.7290,,,,,1.6981,,,,,15.3320,,,,,1.6963,,,,,14.4947,,,,,0.0266
2025-10-22,68714322652.02,2.7322,,,,,1.7001,,,,,15.3501,,,,,1.6983,,,,,14.5117,,,,,0.0266
2025-10-21,70571466507.48,2.8061,,,,,1.7461,,,,,15.7649,,,,,1.7442,,,,,14.9040,,,,,0.0259
2025-10-20,70975193432.58,2.8221,,,,,1.7561,,,,,15.8551,,,,,1.7542,,,,,14.9892,,,,,0.0257
2025-10-17,70167739582.38,2.7900,,,,,1.7361,,,,,15.6747,,,,,1.7342,,,,,14.8187,,,,,0.0260
2025-10-16,71540411127.72,2.8446,,,,,1.7700,,,,,15.9814,,,,,1.7681,,,,,15.1086,,,,,0.0255
2025-10-15,70652211892.5,2.8093,,,,,1.7481,,,,,15.7830,,,,,1.7462,,,,,14.9210,,,,,0.0258
2025-10-14,73155318828.12,2.9088,,,,,1.8100,,,,,16.3421,,,,,1.8080,,,,,15.4496,,,,,0.0249
2025-10-13,73478300368.2,2.9217,,,,,1.8180,,,,,16.4143,,,,,1.8160,,,,,15.5178,,,,,0.0248
2025-10-10,70006248812.34,2.7836,,,,,1.7321,,,,,15.6387,,,,,1.7302,,,,,14.7846,,,,,0.0261
2025-10-09,67260905721.66,2.6745,,,,,1.6642,,,,,15.0254,,,,,1.6624,,,,,14.2048,,,,,0.0271
2025-09-30,71701901897.76,2.8510,,,,,1.7740,,,,,16.0174,,,,,1.7721,,,,,15.1427,,,,,0.0255
2025-09-29,70571466507.48,2.8061,,,,,1.7461,,,,,15.7649,,,,,1.7442,,,,,14.9040,,,,,0.0259
2025-09-26,68875813422.06,2.7387,,,,,1.7041,,,,,15.3861,,,,,1.7023,,,,,14.5458,,,,,0.0265
2025-09-25,69844758042.3,2.7772,,,,,1.7281,,,,,15.6026,,,,,1.7262,,,,,14.7505,,,,,0.0261
2025-09-24,72347864977.92,2.8767,,,,,1.7900,,,,,16.1617,,,,,1.7881,,,,,15.2791,,,,,0.0252
2025-09-23,70329230352.42,2.7965,,,,,1.7401,,,,,15.7108,,,,,1.7382,,,,,14.8528,,,,,0.0259
2025-09-22,70813702662.54,2.8157,,,,,1.7521,,,,,15.8190,,,,,1.7502,,,,,14.9551,,,,,0.0258
2025-09-19,71540411127.72,2.8446,,,,,1.7700,,,,,15.9814,,,,,1.7681,,,,,15.1086,,,,,0.0255
2025-09-18,70006248812.34,2.7836,,,,,1.7321,,,,,15.6387,,,,,1.7302,,,,,14.7846,,,,,0.0261
2025-09-17,72267119592.9,2.8735,,,,,1.7880,,,,,16.1437,,,,,1.7861,,,,,15.2621,,,,,0.0253
2025-09-16,70975193432.58,2.8221,,,,,1.7561,,,,,15.8551,,,,,1.7542,,,,,14.9892,,,,,0.0257
2025-09-15,72428610362.94,2.8799,,,,,1.7920,,,,,16.1798,,,,,1.7901,,,,,15.2962,,,,,0.0252
2025-09-12,67583887261.74,2.6873,,,,,1.6721,,,,,15.0975,,,,,1.6703,,,,,14.2730,,,,,0.0270
2025-09-11,65323016481.18,2.5974,,,,,1.6162,,,,,14.5925,,,,,1.6145,,,,,13.7955,,,,,0.0279
2025-09-10,65403761866.2,2.6006,,,,,1.6182,,,,,14.6105,,,,,1.6165,,,,,13.8126,,,,,0.0279
2025-09-09,65645998021.26,2.6102,,,,,1.6242,,,,,14.6646,,,,,1.6225,,,,,13.8637,,,,,0.0278
2025-09-08,64111835705.88,2.5492,,,,,1.5862,,,,,14.3219,,,,,1.5845,,,,,13.5397,,,,,0.0285
2025-09-05,58298167984.44,2.3181,,,,,1.4424,,,,,13.0232,,,,,1.4409,,,,,12.3120,,,,,0.0313
2025-09-04,55068352583.64,2.1896,,,,,1.3625,,,,,12.3017,,,,,1.3610,,,,,11.6299,,,,,0.0331
2025-09-03,53857171808.34,2.1415,,,,,1.3325,,,,,12.0311,,,,,1.3311,,,,,11.3741,,,,,0.0339
2025-09-02,53776426423.32,2.1383,,,,,1.3305,,,,,12.0131,,,,,1.3291,,,,,11.3570,,,,,0.0339
2025-09-01,53695681038.3,2.1351,,,,,1.3285,,,,,11.9950,,,,,1.3271,,,,,11.3400,,,,,0.0340
2025-08-29,52403754877.98,2.0837,,,,,1.2966,,,,,11.7064,,,,,1.2952,,,,,11.0671,,,,,0.0348
2025-08-28,53937917193.36,2.1447,,,,,1.3345,,,,,12.0492,,,,,1.3331,,,,,11.3911,,,,,0.0338
2025-08-27,52403754877.98,2.0844,,,,,1.3323,,,,,11.6206,,,,,1.3308,,,,,11.3979,,,,,0.0396
2025-08-26,53776426423.32,2.1390,,,,,1.3672,,,,,11.9250,,,,,1.3657,,,,,11.6965,,,,,0.0386
2025-08-25,53291954113.2,2.1198,,,,,1.3549,,,,,11.8176,,,,,1.3534,,,,,11.5911,,,,,0.0389
2025-08-22,53211208728.18,2.1165,,,,,1.3528,,,,,11.7997,,,,,1.3513,,,,,11.5736,,,,,0.0390
2025-08-21,50142884097.42,1.9945,,,,,1.2748,,,,,11.1193,,,,,1.2734,,,,,10.9062,,,,,0.0414
