date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率
2026-04-28,87751245883.44,1.4755,,,,,0.5154,,,,,12.2533,,,,,1.4972,,,,,12.9500,,,,,0.0490
2026-04-27,87216177310.98,1.4665,,,,,0.5123,,,,,12.1786,,,,,1.4881,,,,,12.8710,,,,,0.0493
2026-04-24,87929602074.26,1.4785,,,,,0.5165,,,,,12.2782,,,,,1.5003,,,,,12.9763,,,,,0.0489
2026-04-23,88286314455.9,1.4845,,,,,0.5186,,,,,12.3280,,,,,1.5064,,,,,13.0289,,,,,0.0487
2026-04-22,87394533501.8,1.4695,,,,,0.5133,,,,,12.2035,,,,,1.4912,,,,,12.8973,,,,,0.0492
2026-04-21,88107958265.08,1.4815,,,,,0.5175,,,,,12.3031,,,,,1.5033,,,,,13.0026,,,,,0.0488
2026-04-20,86146040166.06,1.4485,,,,,0.5060,,,,,12.0292,,,,,1.4699,,,,,12.7131,,,,,0.0499
2026-04-17,85967683975.24,1.4455,,,,,0.5050,,,,,12.0043,,,,,1.4668,,,,,12.6868,,,,,0.0500
2026-04-16,86146040166.06,1.4485,,,,,0.5060,,,,,12.0292,,,,,1.4699,,,,,12.7131,,,,,0.0499
2026-04-15,87037821120.16,1.4635,,,,,0.5113,,,,,12.1537,,,,,1.4851,,,,,12.8447,,,,,0.0494
2026-04-14,85967683975.24,1.4464,,,,,0.5041,,,,,11.5906,,,,,1.4681,,,,,13.3609,,,,,0.0436
2026-04-13,85610971593.6,1.4404,,,,,0.5020,,,,,11.5425,,,,,1.4620,,,,,13.3054,,,,,0.0437
2026-04-10,85610971593.6,1.4404,,,,,0.5020,,,,,11.5425,,,,,1.4620,,,,,13.3054,,,,,0.0437
2026-04-09,86859464929.34,1.4614,,,,,0.5094,,,,,11.7109,,,,,1.4833,,,,,13.4995,,,,,0.0431
2026-04-08,86324396356.88,1.4524,,,,,0.5062,,,,,11.6387,,,,,1.4742,,,,,13.4163,,,,,0.0434
2026-04-07,84005765876.22,1.4134,,,,,0.4926,,,,,11.3261,,,,,1.4346,,,,,13.0560,,,,,0.0446
2026-04-03,84897546830.32,1.4284,,,,,0.4979,,,,,11.4464,,,,,1.4498,,,,,13.1946,,,,,0.0441
2026-04-02,85789327784.42,1.4434,,,,,0.5031,,,,,11.5666,,,,,1.4650,,,,,13.3332,,,,,0.0437
2026-04-01,86681108738.52,1.4584,,,,,0.5083,,,,,11.6868,,,,,1.4803,,,,,13.4718,,,,,0.0432
2026-03-31,86324396356.88,1.4524,,,,,0.5062,,,,,11.6387,,,,,1.4742,,,,,13.4163,,,,,0.0434
2026-03-30,87394533501.8,1.4704,,,,,0.5125,,,,,11.7830,,,,,1.4924,,,,,13.5826,,,,,0.0429
2026-03-27,89534807791.64,1.5065,,,,,0.5251,,,,,12.0716,,,,,1.5290,,,,,13.9153,,,,,0.0418
2026-03-26,91140013509.02,1.5335,,,,,0.5345,,,,,12.2880,,,,,1.5564,,,,,14.1647,,,,,0.0411
2026-03-25,90604944936.56,1.5245,,,,,0.5313,,,,,12.2159,,,,,1.5473,,,,,14.0816,,,,,0.0413
2026-03-24,88821383028.36,1.4945,,,,,0.5209,,,,,11.9754,,,,,1.5168,,,,,13.8044,,,,,0.0422
2026-03-23,86502752547.7,1.4554,,,,,0.5073,,,,,11.6628,,,,,1.4772,,,,,13.4440,,,,,0.0433
2026-03-20,88643026837.54,1.4915,,,,,0.5198,,,,,11.9513,,,,,1.5138,,,,,13.7767,,,,,0.0423
2026-03-19,88286314455.9,1.4855,,,,,0.5177,,,,,11.9033,,,,,1.5077,,,,,13.7212,,,,,0.0424
2026-03-18,88821383028.36,1.4945,,,,,0.5209,,,,,11.9754,,,,,1.5168,,,,,13.8044,,,,,0.0422
2026-03-17,88999739219.18,1.4975,,,,,0.5219,,,,,11.9994,,,,,1.5198,,,,,13.8321,,,,,0.0421
2026-03-16,89534807791.64,1.5065,,,,,0.5251,,,,,12.0716,,,,,1.5290,,,,,13.9153,,,,,0.0418
2026-03-13,90783301127.38,1.5275,,,,,0.5324,,,,,12.2399,,,,,1.5503,,,,,14.1093,,,,,0.0413
2026-03-12,93458643989.68,1.5725,,,,,0.5481,,,,,12.6006,,,,,1.5960,,,,,14.5251,,,,,0.0401
2026-03-11,91496725890.66,1.5395,,,,,0.5366,,,,,12.3361,,,,,1.5625,,,,,14.2202,,,,,0.0409
2026-03-10,89891520173.28,1.5125,,,,,0.5271,,,,,12.1197,,,,,1.5351,,,,,13.9707,,,,,0.0417
2026-03-09,90426588745.74,1.5215,,,,,0.5303,,,,,12.1918,,,,,1.5442,,,,,14.0539,,,,,0.0414
2026-03-06,90604944936.56,1.5245,,,,,0.5313,,,,,12.2159,,,,,1.5473,,,,,14.0816,,,,,0.0413
2026-03-05,90426588745.74,1.5215,,,,,0.5303,,,,,12.1918,,,,,1.5442,,,,,14.0539,,,,,0.0414
2026-03-04,88286314455.9,1.4855,,,,,0.5177,,,,,11.9033,,,,,1.5077,,,,,13.7212,,,,,0.0424
2026-03-03,88464670646.72,1.4885,,,,,0.5188,,,,,11.9273,,,,,1.5107,,,,,13.7490,,,,,0.0423
2026-03-02,88643026837.54,1.4915,,,,,0.5198,,,,,11.9513,,,,,1.5138,,,,,13.7767,,,,,0.0423
2026-02-27,87572889692.62,1.4734,,,,,0.5135,,,,,11.8071,,,,,1.4955,,,,,13.6104,,,,,0.0428
2026-02-26,85967683975.24,1.4464,,,,,0.5041,,,,,11.5906,,,,,1.4681,,,,,13.3609,,,,,0.0436
2026-02-25,84897546830.32,1.4284,,,,,0.4979,,,,,11.4464,,,,,1.4498,,,,,13.1946,,,,,0.0441
2026-02-24,84540834448.68,1.4224,,,,,0.4958,,,,,11.3983,,,,,1.4437,,,,,13.1391,,,,,0.0443
2026-02-13,82578916349.66,1.3894,,,,,0.4843,,,,,11.1337,,,,,1.4102,,,,,12.8342,,,,,0.0454
2026-02-12,83113984922.12,1.3984,,,,,0.4874,,,,,11.2059,,,,,1.4193,,,,,12.9174,,,,,0.0451
2026-02-11,83470697303.76,1.4044,,,,,0.4895,,,,,11.2540,,,,,1.4254,,,,,12.9728,,,,,0.0449
2026-02-10,82935628731.3,1.3954,,,,,0.4864,,,,,11.1818,,,,,1.4163,,,,,12.8896,,,,,0.0452
2026-02-09,83470697303.76,1.4044,,,,,0.4895,,,,,11.2540,,,,,1.4254,,,,,12.9728,,,,,0.0449
2026-02-06,82400560158.84,1.3864,,,,,0.4832,,,,,11.1097,,,,,1.4072,,,,,12.8065,,,,,0.0455
2026-02-05,82222203968.02,1.3834,,,,,0.4822,,,,,11.0857,,,,,1.4041,,,,,12.7788,,,,,0.0456
2026-02-04,82578916349.66,1.3894,,,,,0.4843,,,,,11.1337,,,,,1.4102,,,,,12.8342,,,,,0.0454
2026-02-03,81508779204.74,1.3714,,,,,0.4780,,,,,10.9895,,,,,1.3919,,,,,12.6679,,,,,0.0460
2026-02-02,81152066823.1,1.3654,,,,,0.4759,,,,,10.9414,,,,,1.3858,,,,,12.6124,,,,,0.0462
2026-01-30,82578916349.66,1.3894,,,,,0.4843,,,,,11.1337,,,,,1.4102,,,,,12.8342,,,,,0.0454
2026-01-29,82757272540.48,1.3924,,,,,0.4853,,,,,11.1578,,,,,1.4132,,,,,12.8619,,,,,0.0453
2026-01-28,82222203968.02,1.3834,,,,,0.4822,,,,,11.0857,,,,,1.4041,,,,,12.7788,,,,,0.0456
2026-01-27,83292341112.94,1.4014,,,,,0.4884,,,,,11.2299,,,,,1.4224,,,,,12.9451,,,,,0.0450
2026-01-26,84362478257.86,1.4194,,,,,0.4947,,,,,11.3742,,,,,1.4407,,,,,13.1114,,,,,0.0444
2026-01-23,85075903021.14,1.4314,,,,,0.4989,,,,,11.4704,,,,,1.4528,,,,,13.2223,,,,,0.0440
2026-01-22,86324396356.88,1.4524,,,,,0.5062,,,,,11.6387,,,,,1.4742,,,,,13.4163,,,,,0.0434
2026-01-21,87216177310.98,1.4674,,,,,0.5115,,,,,11.7590,,,,,1.4894,,,,,13.5549,,,,,0.0429
2026-01-20,88821383028.36,1.4945,,,,,0.5209,,,,,11.9754,,,,,1.5168,,,,,13.8044,,,,,0.0422
2026-01-19,87751245883.44,1.4764,,,,,0.5146,,,,,11.8311,,,,,1.4985,,,,,13.6381,,,,,0.0427
2026-01-16,85254259211.96,1.4344,,,,,0.5000,,,,,11.4945,,,,,1.4559,,,,,13.2500,,,,,0.0439
2026-01-15,86681108738.52,1.4584,,,,,0.5083,,,,,11.6868,,,,,1.4803,,,,,13.4718,,,,,0.0432
2026-01-14,86859464929.34,1.4614,,,,,0.5094,,,,,11.7109,,,,,1.4833,,,,,13.4995,,,,,0.0431
2026-01-13,88643026837.54,1.4915,,,,,0.5198,,,,,11.9513,,,,,1.5138,,,,,13.7767,,,,,0.0423
2026-01-12,88464670646.72,1.4885,,,,,0.5188,,,,,11.9273,,,,,1.5107,,,,,13.7490,,,,,0.0423
2026-01-09,88107958265.08,1.4825,,,,,0.5167,,,,,11.8792,,,,,1.5046,,,,,13.6935,,,,,0.0425
2026-01-08,88643026837.54,1.4915,,,,,0.5198,,,,,11.9513,,,,,1.5138,,,,,13.7767,,,,,0.0423
2026-01-07,89356451600.82,1.5035,,,,,0.5240,,,,,12.0475,,,,,1.5259,,,,,13.8876,,,,,0.0419
2026-01-06,89178095410.0,1.5005,,,,,0.5230,,,,,12.0235,,,,,1.5229,,,,,13.8598,,,,,0.0420
2026-01-05,89534807791.64,1.5065,,,,,0.5251,,,,,12.0716,,,,,1.5290,,,,,13.9153,,,,,0.0418
2025-12-31,89891520173.28,1.5125,,,,,0.5271,,,,,12.1197,,,,,1.5351,,,,,13.9707,,,,,0.0417
2025-12-30,92031794463.12,1.5485,,,,,0.5397,,,,,12.4082,,,,,1.5716,,,,,14.3033,,,,,0.0407
2025-12-29,94885493516.24,1.5965,,,,,0.5564,,,,,12.7930,,,,,1.6204,,,,,14.7469,,,,,0.0395
2025-12-26,103089878293.96,1.7345,,,,,0.6045,,,,,13.8991,,,,,1.7605,,,,,16.0220,,,,,0.0363
2025-12-25,105586864965.44,1.7765,,,,,0.6192,,,,,14.2358,,,,,1.8031,,,,,16.4100,,,,,0.0355
2025-12-24,105765221156.26,1.7795,,,,,0.6202,,,,,14.2599,,,,,1.8061,,,,,16.4378,,,,,0.0354
2025-12-23,105408508774.62,1.7735,,,,,0.6181,,,,,14.2118,,,,,1.8001,,,,,16.3823,,,,,0.0355
2025-12-22,104695084011.34,1.7615,,,,,0.6140,,,,,14.1156,,,,,1.7879,,,,,16.2714,,,,,0.0358
2025-12-19,104873440202.16,1.7645,,,,,0.6150,,,,,14.1396,,,,,1.7909,,,,,16.2992,,,,,0.0357
2025-12-18,106835358301.18,1.7975,,,,,0.6265,,,,,14.4041,,,,,1.8244,,,,,16.6041,,,,,0.0351
2025-12-17,105765221156.26,1.7795,,,,,0.6202,,,,,14.2599,,,,,1.8061,,,,,16.4378,,,,,0.0354
2025-12-16,104160015438.88,1.7525,,,,,0.6108,,,,,14.0434,,,,,1.7787,,,,,16.1883,,,,,0.0360
2025-12-15,104873440202.16,1.7645,,,,,0.6150,,,,,14.1396,,,,,1.7909,,,,,16.2992,,,,,0.0357
2025-12-12,105230152583.8,1.7705,,,,,0.6171,,,,,14.1877,,,,,1.7970,,,,,16.3546,,,,,0.0356
2025-12-11,103981659248.06,1.7495,,,,,0.6098,,,,,14.0194,,,,,1.7757,,,,,16.1606,,,,,0.0360
2025-12-10,103981659248.06,1.7495,,,,,0.6098,,,,,14.0194,,,,,1.7757,,,,,16.1606,,,,,0.0360
2025-12-09,102554809721.5,1.7255,,,,,0.6014,,,,,13.8270,,,,,1.7513,,,,,15.9388,,,,,0.0365
2025-12-08,102019741149.04,1.7165,,,,,0.5983,,,,,13.7549,,,,,1.7422,,,,,15.8556,,,,,0.0367
2025-12-05,102198097339.86,1.7195,,,,,0.5993,,,,,13.7789,,,,,1.7452,,,,,15.8834,,,,,0.0366
2025-12-04,102376453530.68,1.7225,,,,,0.6004,,,,,13.8030,,,,,1.7483,,,,,15.9111,,,,,0.0366
2025-12-03,102733165912.32,1.7285,,,,,0.6025,,,,,13.8511,,,,,1.7544,,,,,15.9665,,,,,0.0365
2025-12-02,102019741149.04,1.7165,,,,,0.5983,,,,,13.7549,,,,,1.7422,,,,,15.8556,,,,,0.0367
2025-12-01,101484672576.58,1.7075,,,,,0.5951,,,,,13.6827,,,,,1.7331,,,,,15.7725,,,,,0.0369
2025-11-28,100414535431.66,1.6895,,,,,0.5889,,,,,13.5384,,,,,1.7148,,,,,15.6062,,,,,0.0373
2025-11-27,99166042095.92,1.6685,,,,,0.5815,,,,,13.3701,,,,,1.6935,,,,,15.4121,,,,,0.0378
2025-11-26,95777274470.34,1.6115,,,,,0.5617,,,,,12.9132,,,,,1.6356,,,,,14.8855,,,,,0.0391
2025-11-25,94885493516.24,1.5965,,,,,0.5564,,,,,12.7930,,,,,1.6204,,,,,14.7469,,,,,0.0395
2025-11-24,93815356371.32,1.5785,,,,,0.5502,,,,,12.6487,,,,,1.6021,,,,,14.5805,,,,,0.0399
2025-11-21,94350424943.78,1.5875,,,,,0.5533,,,,,12.7208,,,,,1.6112,,,,,14.6637,,,,,0.0397
2025-11-20,95598918279.52,1.6085,,,,,0.5606,,,,,12.8892,,,,,1.6325,,,,,14.8577,,,,,0.0392
2025-11-19,95955630661.16,1.6145,,,,,0.5627,,,,,12.9373,,,,,1.6386,,,,,14.9132,,,,,0.0390
2025-11-18,94350424943.78,1.5875,,,,,0.5533,,,,,12.7208,,,,,1.6112,,,,,14.6637,,,,,0.0397
2025-11-17,95242205897.88,1.6025,,,,,0.5585,,,,,12.8411,,,,,1.6264,,,,,14.8023,,,,,0.0393
2025-11-14,95063849707.06,1.5995,,,,,0.5575,,,,,12.8170,,,,,1.6234,,,,,14.7746,,,,,0.0394
2025-11-13,96312343042.8,1.6205,,,,,0.5648,,,,,12.9854,,,,,1.6447,,,,,14.9686,,,,,0.0389
2025-11-12,96847411615.26,1.6295,,,,,0.5679,,,,,13.0575,,,,,1.6539,,,,,15.0518,,,,,0.0387
2025-11-11,96847411615.26,1.6295,,,,,0.5679,,,,,13.0575,,,,,1.6539,,,,,15.0518,,,,,0.0387
2025-11-10,97025767806.08,1.6325,,,,,0.5690,,,,,13.0816,,,,,1.6569,,,,,15.0795,,,,,0.0386
2025-11-07,97204123996.9,1.6355,,,,,0.5700,,,,,13.1056,,,,,1.6600,,,,,15.1072,,,,,0.0385
2025-11-06,97739192569.36,1.6445,,,,,0.5732,,,,,13.1777,,,,,1.6691,,,,,15.1904,,,,,0.0383
2025-11-05,96133986851.98,1.6175,,,,,0.5638,,,,,12.9613,,,,,1.6417,,,,,14.9409,,,,,0.0390
2025-11-04,96669055424.44,1.6265,,,,,0.5669,,,,,13.0335,,,,,1.6508,,,,,15.0241,,,,,0.0387
2025-11-03,96133986851.98,1.6175,,,,,0.5638,,,,,12.9613,,,,,1.6417,,,,,14.9409,,,,,0.0390
2025-10-31,94350424943.78,1.5875,,,,,0.5533,,,,,12.7208,,,,,1.6112,,,,,14.6637,,,,,0.0397
2025-10-30,97025767806.08,1.6325,,,,,0.5690,,,,,13.0816,,,,,1.6569,,,,,15.0795,,,,,0.0386
2025-10-29,95420562088.7,1.6055,,,,,0.5596,,,,,12.8651,,,,,1.6295,,,,,14.8300,,,,,0.0393
2025-10-28,95955630661.16,1.5675,,,,,0.5627,,,,,12.9373,,,,,1.5902,,,,,14.9132,,,,,0.0390
2025-10-27,94707137325.42,1.6330,,,,,0.5538,,,,,13.9245,,,,,1.6580,,,,,16.0746,,,,,0.0395
2025-10-24,91140013509.02,1.5715,,,,,0.5330,,,,,13.4001,,,,,1.5956,,,,,15.4691,,,,,0.0411
2025-10-23,92745219226.4,1.5991,,,,,0.5423,,,,,13.6361,,,,,1.6237,,,,,15.7416,,,,,0.0404
2025-10-22,90426588745.74,1.5592,,,,,0.5288,,,,,13.2952,,,,,1.5831,,,,,15.3481,,,,,0.0414
2025-10-21,90961657318.2,1.5684,,,,,0.5319,,,,,13.3739,,,,,1.5924,,,,,15.4389,,,,,0.0412
2025-10-20,90961657318.2,1.5684,,,,,0.5319,,,,,13.3739,,,,,1.5924,,,,,15.4389,,,,,0.0412
2025-10-17,91318369699.84,1.5745,,,,,0.5340,,,,,13.4263,,,,,1.5987,,,,,15.4994,,,,,0.0410
2025-10-16,91675082081.48,1.5807,,,,,0.5361,,,,,13.4787,,,,,1.6049,,,,,15.5600,,,,,0.0409
2025-10-15,91318369699.84,1.5745,,,,,0.5340,,,,,13.4263,,,,,1.5987,,,,,15.4994,,,,,0.0410
2025-10-14,92031794463.12,1.5868,,,,,0.5382,,,,,13.5312,,,,,1.6112,,,,,15.6205,,,,,0.0407
2025-10-13,92031794463.12,1.5868,,,,,0.5382,,,,,13.5312,,,,,1.6112,,,,,15.6205,,,,,0.0407
2025-10-10,92210150653.94,1.5899,,,,,0.5392,,,,,13.5574,,,,,1.6143,,,,,15.6508,,,,,0.0406
2025-10-09,92210150653.94,1.5899,,,,,0.5392,,,,,13.5574,,,,,1.6143,,,,,15.6508,,,,,0.0406
2025-09-30,88821383028.36,1.5315,,,,,0.5194,,,,,13.0592,,,,,1.5550,,,,,15.0756,,,,,0.0422
2025-09-29,88999739219.18,1.5346,,,,,0.5204,,,,,13.0854,,,,,1.5581,,,,,15.1059,,,,,0.0421
2025-09-26,89178095410.0,1.5376,,,,,0.5215,,,,,13.1116,,,,,1.5612,,,,,15.1361,,,,,0.0420
2025-09-25,88999739219.18,1.5346,,,,,0.5204,,,,,13.0854,,,,,1.5581,,,,,15.1059,,,,,0.0421
2025-09-24,89713163982.46,1.5469,,,,,0.5246,,,,,13.1903,,,,,1.5706,,,,,15.2270,,,,,0.0417
2025-09-23,90248232554.92,1.5561,,,,,0.5277,,,,,13.2690,,,,,1.5799,,,,,15.3178,,,,,0.0415
2025-09-22,89713163982.46,1.5469,,,,,0.5246,,,,,13.1903,,,,,1.5706,,,,,15.2270,,,,,0.0417
2025-09-19,89713163982.46,1.5469,,,,,0.5246,,,,,13.1903,,,,,1.5706,,,,,15.2270,,,,,0.0417
2025-09-18,90426588745.74,1.5592,,,,,0.5288,,,,,13.2952,,,,,1.5831,,,,,15.3481,,,,,0.0414
2025-09-17,92745219226.4,1.5991,,,,,0.5423,,,,,13.6361,,,,,1.6237,,,,,15.7416,,,,,0.0404
2025-09-16,92210150653.94,1.5899,,,,,0.5392,,,,,13.5574,,,,,1.6143,,,,,15.6508,,,,,0.0406
2025-09-15,92388506844.76,1.5930,,,,,0.5403,,,,,13.5836,,,,,1.6174,,,,,15.6810,,,,,0.0405
2025-09-12,92210150653.94,1.5899,,,,,0.5392,,,,,13.5574,,,,,1.6143,,,,,15.6508,,,,,0.0406
2025-09-11,92566863035.58,1.5961,,,,,0.5413,,,,,13.6099,,,,,1.6205,,,,,15.7113,,,,,0.0405
2025-09-10,92745219226.4,1.5991,,,,,0.5423,,,,,13.6361,,,,,1.6237,,,,,15.7416,,,,,0.0404
2025-09-09,91318369699.84,1.5745,,,,,0.5340,,,,,13.4263,,,,,1.5987,,,,,15.4994,,,,,0.0410
2025-09-08,90783301127.38,1.5653,,,,,0.5309,,,,,13.3476,,,,,1.5893,,,,,15.4086,,,,,0.0413
2025-09-05,88821383028.36,1.5315,,,,,0.5194,,,,,13.0592,,,,,1.5550,,,,,15.0756,,,,,0.0422
2025-09-04,88286314455.9,1.5223,,,,,0.5163,,,,,12.9805,,,,,1.5456,,,,,14.9848,,,,,0.0424
2025-09-03,87572889692.62,1.5100,,,,,0.5121,,,,,12.8756,,,,,1.5331,,,,,14.8637,,,,,0.0428
2025-09-02,87929602074.26,1.5161,,,,,0.5142,,,,,12.9281,,,,,1.5393,,,,,14.9242,,,,,0.0426
2025-09-01,87572889692.62,1.5100,,,,,0.5121,,,,,12.8756,,,,,1.5331,,,,,14.8637,,,,,0.0428
2025-08-29,85432615402.78,1.4731,,,,,0.4996,,,,,12.5609,,,,,1.4956,,,,,14.5004,,,,,0.0438
2025-08-28,85967683975.24,1.4823,,,,,0.5027,,,,,12.6396,,,,,1.5050,,,,,14.5912,,,,,0.0436
2025-08-27,85254259211.96,1.4700,,,,,0.4985,,,,,12.5347,,,,,1.4925,,,,,14.4702,,,,,0.0439
2025-08-26,85789327784.42,1.4792,,,,,0.5017,,,,,12.6134,,,,,1.5019,,,,,14.5610,,,,,0.0437
2025-08-25,85967683975.24,1.4823,,,,,0.5027,,,,,12.6396,,,,,1.5050,,,,,14.5912,,,,,0.0436
2025-08-22,85432615402.78,1.4731,,,,,0.4996,,,,,12.5609,,,,,1.4956,,,,,14.5004,,,,,0.0438
2025-08-21,85610971593.6,1.4761,,,,,0.5006,,,,,12.5872,,,,,1.4988,,,,,14.5307,,,,,0.0437
