日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-04-21,=578.5000,=578.5000,=578.5000,=578.5000,=575034386992.0,=512214967862.0,=491338604809.0,,=28.7213,,,,
2026-04-20,=583.0000,=583.0000,=583.0000,=583.0000,=579507428896.0,=516199353956.0,=495160599142.0,,=28.9447,,,,
2026-04-17,=589.0000,=589.0000,=589.0000,=589.0000,=585471484768.0,=521511868748.0,=500256591586.0,,=29.2426,,,,
2026-04-16,=537.5000,=537.5000,=537.5000,=537.5000,=534280005200.0,=475912783450.0,=456515989775.0,,=26.6857,,,,
2026-04-15,=496.9800,=496.9800,=496.9800,=496.9800,=494002747877.76,=440035600221.0,=422101054136.52,,=24.6740,,,,
2026-04-14,=520.0000,=520.0000,=520.0000,=520.0000,=516884842240.0,=460417948640.0,=441652678480.0,,=25.8169,,,,
2026-04-13,=512.7200,=512.7200,=512.7200,=512.7200,=509648454448.64,=453972097359.0,=435469540981.28,,=25.4555,,,,
2026-04-10,=522.5000,=522.5000,=522.5000,=522.5000,=519369865520.0,=462631496470.0,=443776008665.0,,=25.9410,,,,
2026-04-09,=490.0000,=490.0000,=490.0000,=490.0000,=487064562880.0,=433855374680.0,=416172716260.0,,=24.3275,,,,
2026-04-08,=501.5000,=501.5000,=501.5000,=501.5000,=498495669968.0,=444037694698.0,=425940035111.0,,=24.8984,,,,
2026-04-07,=458.7000,=458.7000,=458.7000,=458.7000,=455952071414.4,=406141755848.0,=389588622343.8,,=22.7735,,,,
2026-04-03,=455.3000,=455.3000,=455.3000,=455.3000,=452572439753.6,=403131330800.0,=386700893292.2,,=22.6047,,,,
2026-04-02,=447.4900,=447.4900,=447.4900,=447.4900,=444809227026.88,=396216207379.0,=380067609794.26,,=22.2169,,,,
2026-04-01,=460.6000,=460.6000,=460.6000,=460.6000,=457840689107.2,=407824052199.0,=391202353284.4,,=22.8678,,,,
2026-03-31,=442.8400,=442.8400,=442.8400,=442.8400,=440187083726.08,=392099008415.0,=376118215650.16,,=21.9861,,,,
2026-03-30,=458.3800,=458.3800,=458.3800,=458.3800,=455633988434.56,=405858421726.0,=389316836080.12,,=22.7576,,,,
2026-03-27,=447.4100,=447.4100,=447.4100,=447.4100,=444729706281.9201,=396145373848.0,=379999663228.34,,=22.2130,,,,
2026-03-26,=457.0000,=457.0000,=457.0000,=457.0000,=454262255584.0,=404636543324.0,=388144757818.0,,=22.6891,,,,
2026-03-25,=476.2000,=476.2000,=476.2000,=476.2000,=473347234374.4,=421636590658.0,=404451933638.8,,=23.6423,,,,
2026-03-24,=468.0000,=468.0000,=468.0000,=468.0000,=465196358016.0,=414376153776.0,=397487410632.0,,=23.2352,,,,
2026-03-23,=460.4400,=460.4400,=460.4400,=460.4400,=457681647617.28,=407682385138.0,=391066460152.56,,=22.8599,,,,
2026-03-20,=477.0500,=477.0500,=477.0500,=477.0500,=474192142289.6,=422389196921.0,=405173865901.7,,=23.6845,,,,
2026-03-19,=440.4000,=440.4000,=440.4000,=440.4000,=437761701004.8,=389938585733.0,=374045845389.6,,=21.8649,,,,
2026-03-18,=430.9000,=430.9000,=430.9000,=430.9000,=428318612540.8,=381527103979.0,=365977190686.6,,=21.3933,,,,
2026-03-17,=389.3300,=389.3300,=389.3300,=389.3300,=386997645440.96,=344720230662.0,=330670456370.42,,=19.3294,,,,
2026-03-16,=413.2300,=413.2300,=413.2300,=413.2300,=410754467997.76,=365881747916.0,=350969492939.02,,=20.5160,,,,
2026-03-13,=394.0300,=394.0300,=394.0300,=394.0300,=391669489207.36,=348881700582.0,=334662317118.22,,=19.5628,,,,
2026-03-12,=378.7700,=378.7700,=378.7700,=378.7700,=376500907106.24,=335370204628.0,=321701509668.98,,=18.8051,,,,
2026-03-11,=393.2300,=393.2300,=393.2300,=393.2300,=390874281757.76,=348173365276.0,=333982851459.02,,=19.5230,,,,
2026-03-10,=397.3300,=397.3300,=397.3300,=397.3300,=394949719936.96,=351803583718.0,=337465112962.42,,=19.7266,,,,
2026-03-09,=384.0000,=384.0000,=384.0000,=384.0000,=381699575808.0,=340000946688.0,=326143516416.0,,=19.0648,,,,
2026-03-06,=402.0000,=402.0000,=402.0000,=402.0000,=399591743424.0,=355938491064.0,=341431493748.0,,=19.9584,,,,
2026-03-05,=401.2400,=401.2400,=401.2400,=401.2400,=398836296346.88,=355265572524.0,=340786001371.76,,=19.9207,,,,
2026-03-04,=369.3700,=369.3700,=369.3700,=369.3700,=367157219573.44,=327047264787.0,=313717788173.38,,=18.3384,,,,
2026-03-03,=382.2000,=382.2000,=382.2000,=382.2000,=379910359046.4,=338407192250.0,=324614718682.8,,=18.9754,,,,
2026-03-02,=381.0000,=381.0000,=381.0000,=381.0000,=378717547872.0,=337344689292.0,=323595520194.0,,=18.9158,,,,
2026-02-27,=359.8600,=359.8600,=359.8600,=359.8600,=357704191016.32,=318626928842.0,=305640640149.64,,=17.8663,,,,
