date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2025-11-07,2869070369566.45,3.4343,,,,,0.7503,,,,,7.8376,,,,,0.7503,,,,,0.0380,7.8230,,,,
2025-11-06,2883326619850.01,3.4514,,,,,0.7541,,,,,7.8766,,,,,0.7541,,,,,0.0378,7.8619,,,,
2025-11-05,2901146932704.46,3.4727,,,,,0.7587,,,,,7.9252,,,,,0.7587,,,,,0.0376,7.9105,,,,
2025-11-04,2897582870133.5703,3.4685,,,,,0.7578,,,,,7.9155,,,,,0.7578,,,,,0.0376,7.9008,,,,
2025-11-03,2815609431003.1,3.3703,,,,,0.7363,,,,,7.6916,,,,,0.7363,,,,,0.0387,7.6773,,,,
2025-10-31,2772840680152.42,3.3191,,,,,0.7252,,,,,7.5747,,,,,0.7252,,,,,0.0393,7.5607,,,,
2025-10-30,2794225055577.76,3.3731,,,,,0.7569,,,,,7.7023,,,,,0.7569,,,,,0.0390,7.6870,,,,
2025-10-29,2790660993006.87,3.3688,,,,,0.7559,,,,,7.6925,,,,,0.7559,,,,,0.0391,7.6772,,,,
2025-10-28,2847685994141.11,3.4376,,,,,0.7714,,,,,7.8497,,,,,0.7714,,,,,0.0383,7.8341,,,,
2025-10-27,2819173493573.99,3.4032,,,,,0.7637,,,,,7.7711,,,,,0.7637,,,,,0.0387,7.7557,,,,
2025-10-24,2794225055577.76,3.3731,,,,,0.7569,,,,,7.7023,,,,,0.7569,,,,,0.0390,7.6870,,,,
2025-10-23,2794225055577.76,3.3731,,,,,0.7569,,,,,7.7023,,,,,0.7569,,,,,0.0390,7.6870,,,,
2025-10-22,2765712555010.64,3.3386,,,,,0.7492,,,,,7.6237,,,,,0.7492,,,,,0.0394,7.6086,,,,
2025-10-21,2722943804159.96,3.2870,,,,,0.7376,,,,,7.5058,,,,,0.7376,,,,,0.0401,7.4909,,,,
2025-10-20,2712251616447.29,3.2741,,,,,0.7347,,,,,7.4763,,,,,0.7347,,,,,0.0402,7.4615,,,,
2025-10-17,2715815679018.18,3.2784,,,,,0.7357,,,,,7.4862,,,,,0.7357,,,,,0.0402,7.4713,,,,
2025-10-16,2719379741589.07,3.2827,,,,,0.7366,,,,,7.4960,,,,,0.7366,,,,,0.0401,7.4811,,,,
2025-10-15,2658790677883.94,3.2096,,,,,0.7202,,,,,7.3290,,,,,0.7202,,,,,0.0410,7.3144,,,,
2025-10-14,2673046928167.5,3.2268,,,,,0.7241,,,,,7.3683,,,,,0.7241,,,,,0.0408,7.3537,,,,
2025-10-13,2591073489037.03,3.1278,,,,,0.7019,,,,,7.1423,,,,,0.7019,,,,,0.0421,7.1281,,,,
2025-10-10,2605329739320.59,3.1450,,,,,0.7057,,,,,7.1816,,,,,0.7057,,,,,0.0419,7.1674,,,,
2025-10-09,2605329739320.59,3.1450,,,,,0.7057,,,,,7.1816,,,,,0.7057,,,,,0.0419,7.1674,,,,
2025-09-30,2601765676749.6997,3.1407,,,,,0.7048,,,,,7.1718,,,,,0.7048,,,,,0.0419,7.1576,,,,
2025-09-29,2612457864462.37,3.1536,,,,,0.7077,,,,,7.2013,,,,,0.7077,,,,,0.0417,7.1870,,,,
2025-09-26,2640970365029.49,3.1881,,,,,0.7154,,,,,7.2799,,,,,0.7154,,,,,0.0413,7.2654,,,,
2025-09-25,2630278177316.82,3.1751,,,,,0.7125,,,,,7.2504,,,,,0.7125,,,,,0.0415,7.2360,,,,
2025-09-24,2662354740454.83,3.2139,,,,,0.7212,,,,,7.3388,,,,,0.7212,,,,,0.0410,7.3242,,,,
2025-09-23,2637406302458.6,3.1838,,,,,0.7144,,,,,7.2700,,,,,0.7144,,,,,0.0414,7.2556,,,,
2025-09-22,2558996925899.02,3.0891,,,,,0.6932,,,,,7.0539,,,,,0.6932,,,,,0.0426,7.0399,,,,
2025-09-19,2566125051040.8003,3.0977,,,,,0.6951,,,,,7.0735,,,,,0.6951,,,,,0.0425,7.0595,,,,
2025-09-18,2598201614178.81,3.1364,,,,,0.7038,,,,,7.1620,,,,,0.7038,,,,,0.0420,7.1478,,,,
2025-09-17,2658790677883.94,3.2096,,,,,0.7202,,,,,7.3290,,,,,0.7202,,,,,0.0410,7.3144,,,,
2025-09-16,2655226615313.0503,3.2053,,,,,0.7192,,,,,7.3192,,,,,0.7192,,,,,0.0411,7.3046,,,,
2025-09-15,2648098490171.27,3.1967,,,,,0.7173,,,,,7.2995,,,,,0.7173,,,,,0.0412,7.2850,,,,
2025-09-12,2665918803025.72,3.2182,,,,,0.7221,,,,,7.3486,,,,,0.7221,,,,,0.0409,7.3340,,,,
2025-09-11,2676610990738.39,3.2311,,,,,0.7250,,,,,7.3781,,,,,0.7250,,,,,0.0407,7.3635,,,,
2025-09-10,2662354740454.83,3.2139,,,,,0.7212,,,,,7.3388,,,,,0.7212,,,,,0.0410,7.3242,,,,
2025-09-09,2648098490171.27,3.1967,,,,,0.7173,,,,,7.2995,,,,,0.7173,,,,,0.0412,7.2850,,,,
2025-09-08,2637406302458.6,3.1838,,,,,0.7144,,,,,7.2700,,,,,0.7144,,,,,0.0414,7.2556,,,,
2025-09-05,2651662552742.16,3.2010,,,,,0.7183,,,,,7.3093,,,,,0.7183,,,,,0.0411,7.2948,,,,
