date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率
2026-06-15,317404638999.0,0.4210,,,,,1.8177,,,,,6.3127,,,,,6.2895,,,,,0.4241,,,,,0.0441
2026-06-12,322067456361.0,0.4272,,,,,1.8444,,,,,6.4055,,,,,6.3819,,,,,0.4303,,,,,0.0434
2026-06-11,318070755765.0,0.4219,,,,,1.8216,,,,,6.3260,,,,,6.3027,,,,,0.4249,,,,,0.0440
2026-06-10,319402989297.0,0.4237,,,,,1.8292,,,,,6.3525,,,,,6.3291,,,,,0.4267,,,,,0.0438
2026-06-09,312075704871.0,0.4140,,,,,1.7872,,,,,6.2068,,,,,6.1839,,,,,0.4169,,,,,0.0448
2026-06-08,312075704871.0,0.4140,,,,,1.7872,,,,,6.2068,,,,,6.1839,,,,,0.4169,,,,,0.0448
2026-06-05,311076529722.0,0.4126,,,,,1.7815,,,,,6.1869,,,,,6.1641,,,,,0.4156,,,,,0.0450
2026-06-04,306080653977.0,0.4060,,,,,1.7529,,,,,6.0875,,,,,6.0651,,,,,0.4089,,,,,0.0457
2026-06-03,308079004275.0,0.4087,,,,,1.7643,,,,,6.1273,,,,,6.1047,,,,,0.4116,,,,,0.0454
2026-06-02,310077354573.0,0.4113,,,,,1.7758,,,,,6.1670,,,,,6.1443,,,,,0.4143,,,,,0.0451
2026-06-01,310410412956.0,0.4118,,,,,1.7777,,,,,6.1736,,,,,6.1509,,,,,0.4147,,,,,0.0451
2026-05-29,312075704871.0,0.4140,,,,,1.7872,,,,,6.2068,,,,,6.1839,,,,,0.4169,,,,,0.0448
2026-05-28,306746770743.0,0.4069,,,,,1.7567,,,,,6.1008,,,,,6.0783,,,,,0.4098,,,,,0.0456
2026-05-27,314074055169.0,0.4166,,,,,1.7987,,,,,6.2465,,,,,6.2235,,,,,0.4196,,,,,0.0445
2026-05-26,308745121041.0,0.4096,,,,,1.7681,,,,,6.1405,,,,,6.1179,,,,,0.4125,,,,,0.0453
2026-05-25,302417011764.0,0.4012,,,,,1.7319,,,,,6.0147,,,,,5.9925,,,,,0.4040,,,,,0.0463
2026-05-22,298420311168.0,0.3959,,,,,1.7090,,,,,5.9352,,,,,5.9133,,,,,0.3987,,,,,0.0469
2026-05-21,295089727338.0,0.3914,,,,,1.6899,,,,,5.8689,,,,,5.8473,,,,,0.3942,,,,,0.0474
2026-05-20,297754194402.0,0.3950,,,,,1.7052,,,,,5.9219,,,,,5.9001,,,,,0.3978,,,,,0.0470
2026-05-19,298087252785.0,0.3954,,,,,1.7071,,,,,5.9285,,,,,5.9067,,,,,0.3982,,,,,0.0469
2026-05-18,302417011764.0,0.4012,,,,,1.7319,,,,,6.0147,,,,,5.9925,,,,,0.4040,,,,,0.0463
2026-05-15,302083953381.0,0.4007,,,,,1.7300,,,,,6.0080,,,,,5.9859,,,,,0.4036,,,,,0.0463
2026-05-14,300418661466.0,0.3985,,,,,1.7205,,,,,5.9749,,,,,5.9529,,,,,0.4014,,,,,0.0466
2026-05-13,300751719849.0,0.3990,,,,,1.7224,,,,,5.9815,,,,,5.9595,,,,,0.4018,,,,,0.0465
2026-05-12,300751719849.0,0.3990,,,,,1.7224,,,,,5.9815,,,,,5.9595,,,,,0.4018,,,,,0.0465
2026-05-11,302750070147.0,0.4016,,,,,1.7338,,,,,6.0213,,,,,5.9991,,,,,0.4045,,,,,0.0462
2026-05-08,302083953381.0,0.4007,,,,,1.7300,,,,,6.0080,,,,,5.9859,,,,,0.4036,,,,,0.0463
2026-05-07,302750070147.0,0.4016,,,,,1.7338,,,,,6.0213,,,,,5.9991,,,,,0.4045,,,,,0.0462
2026-05-06,305747595594.0,0.4056,,,,,1.7510,,,,,6.0809,,,,,6.0585,,,,,0.4085,,,,,0.0458
2026-04-30,308745121041.0,0.4096,,,,,1.7681,,,,,6.1405,,,,,6.1179,,,,,0.4125,,,,,0.0453
2026-04-29,312408763254.0,0.4239,,,,,1.7958,,,,,6.2461,,,,,6.2302,,,,,0.4270,,,,,0.0448
2026-04-28,312075704871.0,0.4234,,,,,1.7939,,,,,6.2394,,,,,6.2236,,,,,0.4265,,,,,0.0448
2026-04-27,311742646488.0,0.4230,,,,,1.7920,,,,,6.2327,,,,,6.2169,,,,,0.4261,,,,,0.0449
2026-04-24,314740171935.0,0.4271,,,,,1.8092,,,,,6.2927,,,,,6.2767,,,,,0.4302,,,,,0.0444
2026-04-23,317737697382.0,0.4311,,,,,1.8265,,,,,6.3526,,,,,6.3365,,,,,0.4343,,,,,0.0440
2026-04-22,320069106063.0,0.4343,,,,,1.8399,,,,,6.3992,,,,,6.3830,,,,,0.4375,,,,,0.0437
2026-04-21,323732748276.0,0.4393,,,,,1.8609,,,,,6.4725,,,,,6.4561,,,,,0.4425,,,,,0.0432
2026-04-20,325731098574.0,0.4420,,,,,1.8724,,,,,6.5124,,,,,6.4959,,,,,0.4452,,,,,0.0429
2026-04-17,328395565638.0,0.4456,,,,,1.8877,,,,,6.5657,,,,,6.5491,,,,,0.4488,,,,,0.0426
2026-04-16,333058383000.0,0.4519,,,,,1.9145,,,,,6.6589,,,,,6.6420,,,,,0.4552,,,,,0.0420
2026-04-15,336722025213.0,0.4569,,,,,1.9356,,,,,6.7322,,,,,6.7151,,,,,0.4602,,,,,0.0415
2026-04-14,334723674915.0,0.4542,,,,,1.9241,,,,,6.6922,,,,,6.6752,,,,,0.4575,,,,,0.0418
2026-04-13,328395565638.0,0.4456,,,,,1.8877,,,,,6.5657,,,,,6.5491,,,,,0.4488,,,,,0.0426
2026-04-10,329394740787.0,0.4469,,,,,1.8935,,,,,6.5857,,,,,6.5690,,,,,0.4502,,,,,0.0425
2026-04-09,330726974319.0,0.4488,,,,,1.9011,,,,,6.6123,,,,,6.5955,,,,,0.4520,,,,,0.0423
2026-04-08,336055908447.0,0.4560,,,,,1.9318,,,,,6.7188,,,,,6.7018,,,,,0.4593,,,,,0.0416
2026-04-07,332392266234.0,0.4510,,,,,1.9107,,,,,6.6456,,,,,6.6288,,,,,0.4543,,,,,0.0421
2026-04-03,337055083596.0,0.4573,,,,,1.9375,,,,,6.7388,,,,,6.7217,,,,,0.4607,,,,,0.0415
2026-04-02,341384842575.0,0.4632,,,,,1.9624,,,,,6.8254,,,,,6.8081,,,,,0.4666,,,,,0.0410
2026-04-01,341051784192.0,0.4628,,,,,1.9605,,,,,6.8187,,,,,6.8014,,,,,0.4661,,,,,0.0410
2026-03-31,339053433894.0,0.4600,,,,,1.9490,,,,,6.7788,,,,,6.7616,,,,,0.4634,,,,,0.0413
2026-03-30,333391441383.0,0.4756,,,,,1.9250,,,,,6.8244,,,,,6.7837,,,,,0.4792,,,,,0.0372
2026-03-27,333724499766.0,0.4761,,,,,1.9269,,,,,6.8312,,,,,6.7905,,,,,0.4797,,,,,0.0372
2026-03-26,335056733298.0,0.4780,,,,,1.9346,,,,,6.8585,,,,,6.8176,,,,,0.4816,,,,,0.0370
2026-03-25,336388966830.0,0.4799,,,,,1.9423,,,,,6.8857,,,,,6.8447,,,,,0.4836,,,,,0.0369
2026-03-24,334390616532.0,0.4770,,,,,1.9308,,,,,6.8448,,,,,6.8040,,,,,0.4807,,,,,0.0371
2026-03-23,328395565638.0,0.4685,,,,,1.8962,,,,,6.7221,,,,,6.6820,,,,,0.4721,,,,,0.0378
2026-03-20,342384017724.0,0.4884,,,,,1.9769,,,,,7.0085,,,,,6.9667,,,,,0.4922,,,,,0.0362
2026-03-19,343716251256.0,0.4903,,,,,1.9846,,,,,7.0357,,,,,6.9938,,,,,0.4941,,,,,0.0361
2026-03-18,345381543171.0,0.4927,,,,,1.9942,,,,,7.0698,,,,,7.0277,,,,,0.4965,,,,,0.0359
2026-03-17,345714601554.0,0.4932,,,,,1.9962,,,,,7.0766,,,,,7.0344,,,,,0.4970,,,,,0.0359
2026-03-16,342717076107.0,0.4889,,,,,1.9789,,,,,7.0153,,,,,6.9734,,,,,0.4927,,,,,0.0362
2026-03-13,341717900958.0,0.4875,,,,,1.9731,,,,,6.9948,,,,,6.9531,,,,,0.4912,,,,,0.0363
2026-03-12,339053433894.0,0.4837,,,,,1.9577,,,,,6.9403,,,,,6.8989,,,,,0.4874,,,,,0.0366
2026-03-11,335389791681.0,0.4784,,,,,1.9366,,,,,6.8653,,,,,6.8244,,,,,0.4821,,,,,0.0370
2026-03-10,331726149468.0,0.4732,,,,,1.9154,,,,,6.7903,,,,,6.7498,,,,,0.4769,,,,,0.0374
2026-03-09,328062507255.0,0.4680,,,,,1.8942,,,,,6.7153,,,,,6.6753,,,,,0.4716,,,,,0.0378
2026-03-06,329394740787.0,0.4699,,,,,1.9019,,,,,6.7426,,,,,6.7024,,,,,0.4735,,,,,0.0377
2026-03-05,325731098574.0,0.4647,,,,,1.8808,,,,,6.6676,,,,,6.6278,,,,,0.4682,,,,,0.0381
2026-03-04,319736047680.0,0.4561,,,,,1.8462,,,,,6.5449,,,,,6.5058,,,,,0.4596,,,,,0.0388
2026-03-03,324065806659.0,0.4623,,,,,1.8712,,,,,6.6335,,,,,6.5939,,,,,0.4658,,,,,0.0383
2026-03-02,322400514744.0,0.4599,,,,,1.8616,,,,,6.5994,,,,,6.5601,,,,,0.4634,,,,,0.0385
2026-02-27,323732748276.0,0.4618,,,,,1.8692,,,,,6.6267,,,,,6.5872,,,,,0.4654,,,,,0.0383
2026-02-26,324065806659.0,0.4623,,,,,1.8712,,,,,6.6335,,,,,6.5939,,,,,0.4658,,,,,0.0383
2026-02-25,326064156957.0,0.4651,,,,,1.8827,,,,,6.6744,,,,,6.6346,,,,,0.4687,,,,,0.0381
2026-02-24,329727799170.0,0.4704,,,,,1.9039,,,,,6.7494,,,,,6.7091,,,,,0.4740,,,,,0.0376
2026-02-13,329394740787.0,0.4699,,,,,1.9019,,,,,6.7426,,,,,6.7024,,,,,0.4735,,,,,0.0377
2026-02-12,332392266234.0,0.4742,,,,,1.9192,,,,,6.8039,,,,,6.7634,,,,,0.4778,,,,,0.0373
2026-02-11,338720375511.0,0.4832,,,,,1.9558,,,,,6.9335,,,,,6.8921,,,,,0.4869,,,,,0.0366
2026-02-10,339053433894.0,0.4837,,,,,1.9577,,,,,6.9403,,,,,6.8989,,,,,0.4874,,,,,0.0366
2026-02-09,339053433894.0,0.4837,,,,,1.9577,,,,,6.9403,,,,,6.8989,,,,,0.4874,,,,,0.0366
2026-02-06,337055083596.0,0.4808,,,,,1.9462,,,,,6.8994,,,,,6.8582,,,,,0.4845,,,,,0.0368
2026-02-05,340718725809.0,0.4860,,,,,1.9673,,,,,6.9744,,,,,6.9328,,,,,0.4898,,,,,0.0364
2026-02-04,337388141979.0,0.4813,,,,,1.9481,,,,,6.9062,,,,,6.8650,,,,,0.4850,,,,,0.0368
2026-02-03,333724499766.0,0.4761,,,,,1.9269,,,,,6.8312,,,,,6.7905,,,,,0.4797,,,,,0.0372
2026-02-02,335056733298.0,0.4780,,,,,1.9346,,,,,6.8585,,,,,6.8176,,,,,0.4816,,,,,0.0370
2026-01-30,334390616532.0,0.4770,,,,,1.9308,,,,,6.8448,,,,,6.8040,,,,,0.4807,,,,,0.0371
2026-01-29,338054258745.0,0.4822,,,,,1.9519,,,,,6.9198,,,,,6.8786,,,,,0.4860,,,,,0.0367
2026-01-28,334723674915.0,0.4775,,,,,1.9327,,,,,6.8517,,,,,6.8108,,,,,0.4812,,,,,0.0371
2026-01-27,339719550660.0,0.4846,,,,,1.9616,,,,,6.9539,,,,,6.9125,,,,,0.4883,,,,,0.0365
2026-01-26,344715426405.0,0.4917,,,,,1.9904,,,,,7.0562,,,,,7.0141,,,,,0.4955,,,,,0.0360
2026-01-23,350044360533.0,0.4993,,,,,2.0212,,,,,7.1653,,,,,7.1225,,,,,0.5032,,,,,0.0355
2026-01-22,354041061129.0,0.5050,,,,,2.0442,,,,,7.2471,,,,,7.2039,,,,,0.5089,,,,,0.0351
2026-01-21,357704703342.0,0.5103,,,,,2.0654,,,,,7.3221,,,,,7.2784,,,,,0.5142,,,,,0.0347
2026-01-20,367363396449.0,0.5241,,,,,2.1212,,,,,7.5198,,,,,7.4749,,,,,0.5281,,,,,0.0338
2026-01-19,370360921896.0,0.5283,,,,,2.1385,,,,,7.5811,,,,,7.5359,,,,,0.5324,,,,,0.0335
2026-01-16,367696454832.0,0.5245,,,,,2.1231,,,,,7.5266,,,,,7.4817,,,,,0.5286,,,,,0.0337
2026-01-15,371693155428.0,0.5302,,,,,2.1462,,,,,7.6084,,,,,7.5630,,,,,0.5343,,,,,0.0334
2026-01-14,374357622492.0,0.5340,,,,,2.1616,,,,,7.6629,,,,,7.6173,,,,,0.5381,,,,,0.0331
2026-01-13,385348549131.0,0.5497,,,,,2.2250,,,,,7.8879,,,,,7.8409,,,,,0.5539,,,,,0.0322
2026-01-12,388346074578.0,0.5540,,,,,2.2423,,,,,7.9493,,,,,7.9019,,,,,0.5582,,,,,0.0320
2026-01-09,384349373982.0,0.5483,,,,,2.2192,,,,,7.8675,,,,,7.8206,,,,,0.5525,,,,,0.0323
2026-01-08,384349373982.0,0.5483,,,,,2.2192,,,,,7.8675,,,,,7.8206,,,,,0.5525,,,,,0.0323
2026-01-07,392675833557.0,0.5602,,,,,2.2673,,,,,8.0379,,,,,7.9900,,,,,0.5645,,,,,0.0316
2026-01-06,399670059600.0,0.5701,,,,,2.3077,,,,,8.1811,,,,,8.1323,,,,,0.5745,,,,,0.0310
2026-01-05,393675008706.0,0.5616,,,,,2.2731,,,,,8.0584,,,,,8.0103,,,,,0.5659,,,,,0.0315
2025-12-31,414324628452.0,0.5910,,,,,2.3923,,,,,8.4810,,,,,8.4305,,,,,0.5956,,,,,0.0300
2025-12-30,412659336537.0,0.5887,,,,,2.3827,,,,,8.4470,,,,,8.3966,,,,,0.5932,,,,,0.0301
2025-12-29,405332052111.0,0.5782,,,,,2.3404,,,,,8.2970,,,,,8.2475,,,,,0.5827,,,,,0.0306
2025-12-26,390344424876.0,0.5568,,,,,2.2539,,,,,7.9902,,,,,7.9425,,,,,0.5611,,,,,0.0318
2025-12-25,392009716791.0,0.5592,,,,,2.2635,,,,,8.0243,,,,,7.9764,,,,,0.5635,,,,,0.0317
2025-12-24,393341950323.0,0.5611,,,,,2.2712,,,,,8.0515,,,,,8.0035,,,,,0.5654,,,,,0.0315
2025-12-23,394008067089.0,0.5621,,,,,2.2750,,,,,8.0652,,,,,8.0171,,,,,0.5664,,,,,0.0315
2025-12-22,387679957812.0,0.5530,,,,,2.2385,,,,,7.9356,,,,,7.8883,,,,,0.5573,,,,,0.0320
2025-12-19,389345249727.0,0.5554,,,,,2.2481,,,,,7.9697,,,,,7.9222,,,,,0.5597,,,,,0.0319
2025-12-18,392342775174.0,0.5597,,,,,2.2654,,,,,8.0311,,,,,7.9832,,,,,0.5640,,,,,0.0316
2025-12-17,384349373982.0,0.5483,,,,,2.2192,,,,,7.8675,,,,,7.8206,,,,,0.5525,,,,,0.0323
2025-12-16,384682432365.0,0.5488,,,,,2.2212,,,,,7.8743,,,,,7.8273,,,,,0.5530,,,,,0.0323
2025-12-15,388346074578.0,0.5540,,,,,2.2423,,,,,7.9493,,,,,7.9019,,,,,0.5582,,,,,0.0320
2025-12-12,386680782663.0,0.5516,,,,,2.2327,,,,,7.9152,,,,,7.8680,,,,,0.5559,,,,,0.0321
2025-12-11,381018790152.0,0.5435,,,,,2.2000,,,,,7.7993,,,,,7.7528,,,,,0.5477,,,,,0.0326
2025-12-10,375689856024.0,0.5359,,,,,2.1692,,,,,7.6902,,,,,7.6444,,,,,0.5401,,,,,0.0330
2025-12-09,377022089556.0,0.5378,,,,,2.1769,,,,,7.7175,,,,,7.6715,,,,,0.5420,,,,,0.0329
2025-12-08,379353498237.0,0.5412,,,,,2.1904,,,,,7.7652,,,,,7.7189,,,,,0.5453,,,,,0.0327
2025-12-05,375023739258.0,0.5350,,,,,2.1654,,,,,7.6766,,,,,7.6308,,,,,0.5391,,,,,0.0331
2025-12-04,374690680875.0,0.5345,,,,,2.1635,,,,,7.6698,,,,,7.6240,,,,,0.5386,,,,,0.0331
2025-12-03,376355972790.0,0.5369,,,,,2.1731,,,,,7.7038,,,,,7.6579,,,,,0.5410,,,,,0.0330
2025-12-02,381351848535.0,0.5440,,,,,2.2019,,,,,7.8061,,,,,7.7596,,,,,0.5482,,,,,0.0325
2025-12-01,384349373982.0,0.5483,,,,,2.2192,,,,,7.8675,,,,,7.8206,,,,,0.5525,,,,,0.0323
2025-11-28,382351023684.0,0.5454,,,,,2.2077,,,,,7.8266,,,,,7.7799,,,,,0.5496,,,,,0.0325
2025-11-27,387013841046.0,0.5521,,,,,2.2346,,,,,7.9220,,,,,7.8748,,,,,0.5563,,,,,0.0321
2025-11-26,382351023684.0,0.5454,,,,,2.2077,,,,,7.8266,,,,,7.7799,,,,,0.5496,,,,,0.0325
2025-11-25,386680782663.0,0.5516,,,,,2.2327,,,,,7.9152,,,,,7.8680,,,,,0.5559,,,,,0.0321
2025-11-24,384016315599.0,0.5478,,,,,2.2173,,,,,7.8606,,,,,7.8138,,,,,0.5520,,,,,0.0323
2025-11-21,383683257216.0,0.5473,,,,,2.2154,,,,,7.8538,,,,,7.8070,,,,,0.5515,,,,,0.0323
2025-11-20,389678308110.0,0.5559,,,,,2.2500,,,,,7.9765,,,,,7.9290,,,,,0.5602,,,,,0.0318
2025-11-19,385015490748.0,0.5492,,,,,2.2231,,,,,7.8811,,,,,7.8341,,,,,0.5535,,,,,0.0322
2025-11-18,381351848535.0,0.5440,,,,,2.2019,,,,,7.8061,,,,,7.7596,,,,,0.5482,,,,,0.0325
2025-11-17,378687381471.0,0.5402,,,,,2.1866,,,,,7.7516,,,,,7.7054,,,,,0.5444,,,,,0.0328
2025-11-14,387013841046.0,0.5521,,,,,2.2346,,,,,7.9220,,,,,7.8748,,,,,0.5563,,,,,0.0321
2025-11-13,388346074578.0,0.5540,,,,,2.2423,,,,,7.9493,,,,,7.9019,,,,,0.5582,,,,,0.0320
2025-11-12,389012191344.0,0.5549,,,,,2.2462,,,,,7.9629,,,,,7.9154,,,,,0.5592,,,,,0.0319
2025-11-11,388679132961.0,0.5545,,,,,2.2442,,,,,7.9561,,,,,7.9087,,,,,0.5587,,,,,0.0319
2025-11-10,389345249727.0,0.5554,,,,,2.2481,,,,,7.9697,,,,,7.9222,,,,,0.5597,,,,,0.0319
2025-11-07,389678308110.0,0.5559,,,,,2.2500,,,,,7.9765,,,,,7.9290,,,,,0.5602,,,,,0.0318
2025-11-06,388346074578.0,0.5540,,,,,2.2423,,,,,7.9493,,,,,7.9019,,,,,0.5582,,,,,0.0320
2025-11-05,395007242238.0,0.5635,,,,,2.2808,,,,,8.0856,,,,,8.0374,,,,,0.5678,,,,,0.0314
2025-11-04,387013841046.0,0.5521,,,,,2.2346,,,,,7.9220,,,,,7.8748,,,,,0.5563,,,,,0.0321
2025-11-03,380019615003.0,0.5421,,,,,2.1942,,,,,7.7788,,,,,7.7325,,,,,0.5463,,,,,0.0327
2025-10-31,382684082067.0,0.5459,,,,,2.2096,,,,,7.8334,,,,,7.7867,,,,,0.5501,,,,,0.0324
2025-10-30,387679957812.0,0.5800,,,,,2.2402,,,,,8.0757,,,,,8.1815,,,,,0.5847,,,,,0.0320
2025-10-29,393341950323.0,0.5885,,,,,2.2729,,,,,8.1936,,,,,8.3010,,,,,0.5932,,,,,0.0315
2025-10-28,412659336537.0,0.6174,,,,,2.3845,,,,,8.5960,,,,,8.7086,,,,,0.6224,,,,,0.0301
2025-10-27,431976722751.0,0.6463,,,,,2.4961,,,,,8.9984,,,,,9.1163,,,,,0.6515,,,,,0.0287
2025-10-24,432308891783.34,0.6468,,,,,2.4980,,,,,9.0053,,,,,9.1233,,,,,0.6520,,,,,0.0287
2025-10-23,430435737232.84,0.6440,,,,,2.4872,,,,,8.9663,,,,,9.0838,,,,,0.6492,,,,,0.0288
2025-10-22,425990062991.53,0.6373,,,,,2.4615,,,,,8.8737,,,,,8.9900,,,,,0.6425,,,,,0.0291
2025-10-21,424682342153.49,0.6354,,,,,2.4540,,,,,8.8464,,,,,8.9624,,,,,0.6405,,,,,0.0292
2025-10-20,424682342153.49,0.6354,,,,,2.4540,,,,,8.8464,,,,,8.9624,,,,,0.6405,,,,,0.0292
2025-10-17,435471039067.32,0.6515,,,,,2.5163,,,,,9.0712,,,,,9.1901,,,,,0.6568,,,,,0.0285
2025-10-16,432943198158.6001,0.6477,,,,,2.5017,,,,,9.0185,,,,,9.1367,,,,,0.6530,,,,,0.0287
2025-10-15,426440366384.97,0.6380,,,,,2.4641,,,,,8.8831,,,,,8.9995,,,,,0.6432,,,,,0.0291
2025-10-14,406454305674.06,0.6081,,,,,2.3486,,,,,8.4667,,,,,8.5777,,,,,0.6130,,,,,0.0305
2025-10-13,398178806889.78,0.5957,,,,,2.3008,,,,,8.2944,,,,,8.4031,,,,,0.6005,,,,,0.0312
2025-10-10,371523502362.24,0.5558,,,,,2.1468,,,,,7.7391,,,,,7.8405,,,,,0.5603,,,,,0.0334
2025-10-09,369985306458.4,0.5535,,,,,2.1379,,,,,7.7071,,,,,7.8081,,,,,0.5580,,,,,0.0335
2025-09-30,373120775157.2,0.5582,,,,,2.1560,,,,,7.7724,,,,,7.8742,,,,,0.5627,,,,,0.0333
2025-09-29,365028215722.74,0.5461,,,,,2.1093,,,,,7.6038,,,,,7.7035,,,,,0.5505,,,,,0.0340
2025-09-26,370779074842.75,0.5547,,,,,2.1425,,,,,7.7236,,,,,7.8248,,,,,0.5592,,,,,0.0335
2025-09-25,376227257166.97,0.5629,,,,,2.1740,,,,,7.8371,,,,,7.9398,,,,,0.5674,,,,,0.0330
2025-09-24,369871044455.38,0.5534,,,,,2.1373,,,,,7.7047,,,,,7.8057,,,,,0.5578,,,,,0.0336
2025-09-23,376832610758.5499,0.5638,,,,,2.1775,,,,,7.8497,,,,,7.9526,,,,,0.5683,,,,,0.0329
2025-09-22,379556701920.6599,0.5679,,,,,2.1932,,,,,7.9064,,,,,8.0101,,,,,0.5724,,,,,0.0327
2025-09-19,387728975406.99,0.5801,,,,,2.2404,,,,,8.0767,,,,,8.1825,,,,,0.5848,,,,,0.0320
2025-09-18,385912914632.25,0.5774,,,,,2.2299,,,,,8.0388,,,,,8.1442,,,,,0.5820,,,,,0.0322
2025-09-17,392269127343.84,0.5869,,,,,2.2667,,,,,8.1713,,,,,8.2783,,,,,0.5916,,,,,0.0316
2025-09-16,398322663259.64,0.5959,,,,,2.3017,,,,,8.2974,,,,,8.4061,,,,,0.6007,,,,,0.0312
2025-09-15,406494936745.9699,0.6082,,,,,2.3489,,,,,8.4676,,,,,8.5786,,,,,0.6131,,,,,0.0305
2025-09-12,411640442274.4,0.6159,,,,,2.3786,,,,,8.5748,,,,,8.6871,,,,,0.6208,,,,,0.0301
2025-09-11,427379635655.4799,0.6394,,,,,2.4696,,,,,8.9026,,,,,9.0193,,,,,0.6446,,,,,0.0290
2025-09-10,422839483718.63,0.6326,,,,,2.4433,,,,,8.8081,,,,,8.9235,,,,,0.6377,,,,,0.0293
2025-09-09,424352867697.58,0.6349,,,,,2.4521,,,,,8.8396,,,,,8.9554,,,,,0.6400,,,,,0.0292
2025-09-08,411035088682.82,0.6150,,,,,2.3751,,,,,8.5622,,,,,8.6744,,,,,0.6199,,,,,0.0302
2025-09-05,414364533436.51,0.6199,,,,,2.3944,,,,,8.6315,,,,,8.7446,,,,,0.6249,,,,,0.0299
2025-09-04,416785947802.83,0.6236,,,,,2.4083,,,,,8.6820,,,,,8.7957,,,,,0.6286,,,,,0.0298
2025-09-03,417088624598.62,0.6240,,,,,2.4101,,,,,8.6883,,,,,8.8021,,,,,0.6290,,,,,0.0298
2025-09-02,415575240619.67,0.6217,,,,,2.4014,,,,,8.6567,,,,,8.7702,,,,,0.6268,,,,,0.0299
2025-09-01,408310997520.71,0.6109,,,,,2.3594,,,,,8.5054,,,,,8.6169,,,,,0.6158,,,,,0.0304
2025-08-29,412548472661.77,0.6172,,,,,2.3839,,,,,8.5937,,,,,8.7063,,,,,0.6222,,,,,0.0301
2025-08-28,419510038964.94,0.6276,,,,,2.4241,,,,,8.7387,,,,,8.8532,,,,,0.6327,,,,,0.0296
2025-08-27,416180594211.25,0.6383,,,,,2.4289,,,,,9.1601,,,,,9.3368,,,,,0.6435,,,,,0.0298
2025-08-26,424655544493.37,0.6513,,,,,2.4784,,,,,9.3466,,,,,9.5270,,,,,0.6566,,,,,0.0292
2025-08-25,424655544493.37,0.6513,,,,,2.4784,,,,,9.3466,,,,,9.5270,,,,,0.6566,,,,,0.0292
2025-08-22,421931453331.26,0.6471,,,,,2.4625,,,,,9.2867,,,,,9.4659,,,,,0.6524,,,,,0.0294
2025-08-21,417088624598.62,0.6397,,,,,2.4342,,,,,9.1801,,,,,9.3572,,,,,0.6449,,,,,0.0298
