date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-03-31,200493721917.0,0.6631,,,,,1.6891,,,,,0.0541,10.7771,,,,,2.1936,,,,,10.2540,,,,
2026-03-30,202463024143.5,0.6696,,,,,1.7057,,,,,0.0535,10.8830,,,,,2.2152,,,,,10.3547,,,,
2026-03-27,208464707119.5,0.6895,,,,,1.7563,,,,,0.0520,11.2056,,,,,2.2808,,,,,10.6616,,,,
2026-03-26,216717021211.5,0.6835,,,,,1.8515,,,,,0.0534,10.8294,,,,,2.4227,,,,,10.3399,,,,
2026-03-25,221218283443.5,0.6977,,,,,1.8899,,,,,0.0523,11.0543,,,,,2.4731,,,,,10.5546,,,,
2026-03-24,218967652327.5,0.6906,,,,,1.8707,,,,,0.0529,10.9419,,,,,2.4479,,,,,10.4472,,,,
2026-03-23,219811638996.0,0.6933,,,,,1.8779,,,,,0.0527,10.9840,,,,,2.4573,,,,,10.4875,,,,
2026-03-20,229845702721.5,0.7249,,,,,1.9636,,,,,0.0504,11.4854,,,,,2.5695,,,,,10.9663,,,,
2026-03-19,230220807907.5,0.7261,,,,,1.9668,,,,,0.0503,11.5042,,,,,2.5737,,,,,10.9841,,,,
2026-03-18,233878083471.0,0.7376,,,,,1.9981,,,,,0.0495,11.6869,,,,,2.6146,,,,,11.1586,,,,
2026-03-17,235190951622.0,0.7418,,,,,2.0093,,,,,0.0492,11.7526,,,,,2.6293,,,,,11.2213,,,,
2026-03-16,233784307174.5,0.7373,,,,,1.9973,,,,,0.0495,11.6823,,,,,2.6135,,,,,11.1542,,,,
2026-03-13,235190951622.0,0.7418,,,,,2.0093,,,,,0.0492,11.7526,,,,,2.6293,,,,,11.2213,,,,
2026-03-12,236691372366.0,0.7465,,,,,2.0221,,,,,0.0489,11.8275,,,,,2.6460,,,,,11.2929,,,,
2026-03-11,236222490883.5,0.7450,,,,,2.0181,,,,,0.0490,11.8041,,,,,2.6408,,,,,11.2705,,,,
2026-03-10,233221649395.5,0.7356,,,,,1.9925,,,,,0.0497,11.6541,,,,,2.6073,,,,,11.1273,,,,
2026-03-09,228814163460.0,0.7217,,,,,1.9548,,,,,0.0506,11.4339,,,,,2.5580,,,,,10.9170,,,,
2026-03-06,233127873099.0,0.7353,,,,,1.9917,,,,,0.0497,11.6495,,,,,2.6062,,,,,11.1228,,,,
2026-03-05,230877241983.0,0.7282,,,,,1.9725,,,,,0.0502,11.5370,,,,,2.5810,,,,,11.0155,,,,
2026-03-04,230127031611.0,0.7258,,,,,1.9660,,,,,0.0503,11.4995,,,,,2.5727,,,,,10.9797,,,,
2026-03-03,235190951622.0,0.7418,,,,,2.0093,,,,,0.0492,11.7526,,,,,2.6293,,,,,11.2213,,,,
2026-03-02,237441582738.0,0.7489,,,,,2.0285,,,,,0.0488,11.8650,,,,,2.6544,,,,,11.3287,,,,
2026-02-27,241005082005.0,0.7601,,,,,2.0590,,,,,0.0480,12.0431,,,,,2.6943,,,,,11.4987,,,,
2026-02-26,243443265714.0,0.7678,,,,,2.0798,,,,,0.0476,12.1649,,,,,2.7215,,,,,11.6150,,,,
2026-02-25,244849910161.5,0.7722,,,,,2.0918,,,,,0.0473,12.2352,,,,,2.7372,,,,,11.6821,,,,
2026-02-24,244005923493.0,0.7696,,,,,2.0846,,,,,0.0475,12.1930,,,,,2.7278,,,,,11.6419,,,,
2026-02-13,241005082005.0,0.7601,,,,,2.0590,,,,,0.0480,12.0431,,,,,2.6943,,,,,11.4987,,,,
2026-02-12,242786831638.5,0.7657,,,,,2.0742,,,,,0.0477,12.1321,,,,,2.7142,,,,,11.5837,,,,
2026-02-11,244099699789.5,0.7699,,,,,2.0854,,,,,0.0474,12.1977,,,,,2.7289,,,,,11.6463,,,,
2026-02-10,245225015347.5,0.7734,,,,,2.0950,,,,,0.0472,12.2540,,,,,2.7414,,,,,11.7000,,,,
2026-02-09,243443265714.0,0.7678,,,,,2.0798,,,,,0.0476,12.1649,,,,,2.7215,,,,,11.6150,,,,
2026-02-06,244474804975.5,0.7711,,,,,2.0886,,,,,0.0474,12.2165,,,,,2.7331,,,,,11.6642,,,,
2026-02-05,246912988684.5,0.7787,,,,,2.1094,,,,,0.0469,12.3383,,,,,2.7603,,,,,11.7806,,,,
2026-02-04,244193476086.0,0.7702,,,,,2.0862,,,,,0.0474,12.2024,,,,,2.7299,,,,,11.6508,,,,
2026-02-03,236316267180.0,0.7453,,,,,2.0189,,,,,0.0490,11.8088,,,,,2.6418,,,,,11.2750,,,,
2026-02-02,234440741250.0,0.7394,,,,,2.0029,,,,,0.0494,11.7151,,,,,2.6209,,,,,11.1855,,,,
2026-01-30,235472280511.5,0.7427,,,,,2.0117,,,,,0.0492,11.7666,,,,,2.6324,,,,,11.2347,,,,
2026-01-29,238754450889.0,0.7530,,,,,2.0397,,,,,0.0485,11.9306,,,,,2.6691,,,,,11.3913,,,,
2026-01-28,235659833104.5,0.7433,,,,,2.0133,,,,,0.0491,11.7760,,,,,2.6345,,,,,11.2437,,,,
2026-01-27,239129556075.0,0.7542,,,,,2.0430,,,,,0.0484,11.9494,,,,,2.6733,,,,,11.4092,,,,
2026-01-26,240067319040.0,0.7572,,,,,2.0510,,,,,0.0482,11.9962,,,,,2.6838,,,,,11.4539,,,,
2026-01-23,240817529412.0,0.7595,,,,,2.0574,,,,,0.0481,12.0337,,,,,2.6922,,,,,11.4897,,,,
2026-01-22,242786831638.5,0.7657,,,,,2.0742,,,,,0.0477,12.1321,,,,,2.7142,,,,,11.5837,,,,
2026-01-21,242786831638.5,0.7657,,,,,2.0742,,,,,0.0477,12.1321,,,,,2.7142,,,,,11.5837,,,,
2026-01-20,247381870167.0,0.7802,,,,,2.1135,,,,,0.0468,12.3617,,,,,2.7656,,,,,11.8029,,,,
2026-01-19,243255713121.0,0.7672,,,,,2.0782,,,,,0.0476,12.1556,,,,,2.7194,,,,,11.6061,,,,
2026-01-16,241005082005.0,0.7601,,,,,2.0590,,,,,0.0480,12.0431,,,,,2.6943,,,,,11.4987,,,,
2026-01-15,242130397563.0,0.7637,,,,,2.0686,,,,,0.0478,12.0993,,,,,2.7068,,,,,11.5524,,,,
2026-01-14,243161936824.5,0.7669,,,,,2.0774,,,,,0.0476,12.1509,,,,,2.7184,,,,,11.6016,,,,
2026-01-13,242880607935.0,0.7660,,,,,2.0750,,,,,0.0477,12.1368,,,,,2.7152,,,,,11.5882,,,,
2026-01-12,245693896830.0,0.7749,,,,,2.0990,,,,,0.0471,12.2774,,,,,2.7467,,,,,11.7224,,,,
2026-01-09,244287252382.5,0.7705,,,,,2.0870,,,,,0.0474,12.2071,,,,,2.7310,,,,,11.6553,,,,
2026-01-08,244943686458.0,0.7725,,,,,2.0926,,,,,0.0473,12.2399,,,,,2.7383,,,,,11.6866,,,,
2026-01-07,246631659795.0,0.7779,,,,,2.1070,,,,,0.0470,12.3242,,,,,2.7572,,,,,11.7671,,,,
2026-01-06,247569422760.0,0.7808,,,,,2.1151,,,,,0.0468,12.3711,,,,,2.7677,,,,,11.8119,,,,
2026-01-05,246819212388.0,0.7785,,,,,2.1086,,,,,0.0469,12.3336,,,,,2.7593,,,,,11.7761,,,,
2025-12-31,244662357568.5,0.7717,,,,,2.0902,,,,,0.0473,12.2258,,,,,2.7352,,,,,11.6732,,,,
2025-12-30,248882290911.0,0.7850,,,,,2.1263,,,,,0.0465,12.4367,,,,,2.7823,,,,,11.8745,,,,
2025-12-29,249257396097.0,0.7861,,,,,2.1295,,,,,0.0465,12.4555,,,,,2.7865,,,,,11.8924,,,,
2025-12-26,250757816841.0,0.7909,,,,,2.1423,,,,,0.0462,12.5304,,,,,2.8033,,,,,11.9640,,,,
2025-12-25,252070684992.0,0.7950,,,,,2.1535,,,,,0.0459,12.5960,,,,,2.8180,,,,,12.0266,,,,
2025-12-24,251695579806.0,0.7938,,,,,2.1503,,,,,0.0460,12.5773,,,,,2.8138,,,,,12.0087,,,,
2025-12-23,255165302776.5,0.8048,,,,,2.1800,,,,,0.0454,12.7507,,,,,2.8526,,,,,12.1743,,,,
2025-12-22,256290618334.5,0.8083,,,,,2.1896,,,,,0.0452,12.8069,,,,,2.8651,,,,,12.2280,,,,
2025-12-19,257978591671.5,0.8136,,,,,2.2040,,,,,0.0449,12.8913,,,,,2.8840,,,,,12.3085,,,,
2025-12-18,257040828706.5,0.8107,,,,,2.1960,,,,,0.0451,12.8444,,,,,2.8735,,,,,12.2638,,,,
2025-12-17,257791039078.5,0.8131,,,,,2.2024,,,,,0.0449,12.8819,,,,,2.8819,,,,,12.2996,,,,
2025-12-16,254977750183.5,0.8042,,,,,2.1783,,,,,0.0454,12.7413,,,,,2.8505,,,,,12.1653,,,,
2025-12-15,256515394277.5,0.8090,,,,,2.1915,,,,,0.0451,12.8181,,,,,2.8677,,,,,12.2387,,,,
2025-12-12,252670008111.0,0.7969,,,,,2.1586,,,,,0.0458,12.6260,,,,,2.8247,,,,,12.0552,,,,
2025-12-11,249012201757.5,0.7854,,,,,2.1274,,,,,0.0465,12.4432,,,,,2.7838,,,,,11.8807,,,,
2025-12-10,250419050355.0,0.7898,,,,,2.1394,,,,,0.0462,12.5135,,,,,2.7995,,,,,11.9478,,,,
2025-12-09,250512840261.5,0.7901,,,,,2.1402,,,,,0.0462,12.5182,,,,,2.8006,,,,,11.9523,,,,
2025-12-08,254827175960.5001,0.8037,,,,,2.1771,,,,,0.0454,12.7338,,,,,2.8488,,,,,12.1582,,,,
2025-12-05,258297402501.0,0.8147,,,,,2.2067,,,,,0.0448,12.9072,,,,,2.8876,,,,,12.3237,,,,
2025-12-04,258900788018.4,0.8166,,,,,2.2119,,,,,0.0447,12.9373,,,,,2.8943,,,,,12.3525,,,,
2025-12-03,261996340918.62,0.8263,,,,,2.2383,,,,,0.0442,13.0920,,,,,2.9289,,,,,12.5002,,,,
2025-12-02,260401662151.8401,0.8213,,,,,2.2247,,,,,0.0445,13.0123,,,,,2.9111,,,,,12.4241,,,,
2025-12-01,257681327784.98,0.8127,,,,,2.2014,,,,,0.0449,12.8764,,,,,2.8807,,,,,12.2943,,,,
2025-11-28,258713178751.72,0.8160,,,,,2.2103,,,,,0.0448,12.9280,,,,,2.8922,,,,,12.3436,,,,
2025-11-27,258806983385.06,0.8163,,,,,2.2111,,,,,0.0447,12.9327,,,,,2.8933,,,,,12.3480,,,,
2025-11-26,257024695351.6,0.8106,,,,,2.1958,,,,,0.0451,12.8436,,,,,2.8734,,,,,12.2630,,,,
2025-11-25,252615877584.62,0.7967,,,,,2.1582,,,,,0.0458,12.6233,,,,,2.8241,,,,,12.0526,,,,
2025-11-24,252522072951.2801,0.7964,,,,,2.1574,,,,,0.0459,12.6186,,,,,2.8230,,,,,12.0482,,,,
2025-11-21,253460119284.68,0.7994,,,,,2.1654,,,,,0.0457,12.6655,,,,,2.8335,,,,,12.0929,,,,
2025-11-20,251302612717.86,0.7926,,,,,2.1469,,,,,0.0461,12.5577,,,,,2.8094,,,,,11.9900,,,,
2025-11-19,248769887617.68,0.7846,,,,,2.1253,,,,,0.0465,12.4311,,,,,2.7811,,,,,11.8691,,,,
2025-11-18,247081404217.56,0.7793,,,,,2.1109,,,,,0.0469,12.3467,,,,,2.7622,,,,,11.7886,,,,
2025-11-17,249238910784.38,0.7861,,,,,2.1293,,,,,0.0465,12.4545,,,,,2.7863,,,,,11.8915,,,,
2025-11-14,252615877584.62,0.7967,,,,,2.1582,,,,,0.0458,12.6233,,,,,2.8241,,,,,12.0526,,,,
2025-11-13,256461867551.56,0.8089,,,,,2.1910,,,,,0.0452,12.8155,,,,,2.8671,,,,,12.2361,,,,
2025-11-12,255148602684.8,0.8047,,,,,2.1798,,,,,0.0454,12.7498,,,,,2.8524,,,,,12.1735,,,,
2025-11-11,252146854417.92,0.7953,,,,,2.1542,,,,,0.0459,12.5998,,,,,2.8188,,,,,12.0303,,,,
2025-11-10,254210556351.4,0.8018,,,,,2.1718,,,,,0.0456,12.7030,,,,,2.8419,,,,,12.1287,,,,
2025-11-07,249520324684.4,0.7870,,,,,2.1317,,,,,0.0464,12.4686,,,,,2.7895,,,,,11.9050,,,,
2025-11-06,252897291484.64,0.7976,,,,,2.1149,,,,,0.0458,12.6373,,,,,2.7496,,,,,12.0661,,,,
2025-11-05,250458371017.8,0.7899,,,,,2.0946,,,,,0.0462,12.5155,,,,,2.7231,,,,,11.9497,,,,
2025-11-04,249989347851.1,0.7885,,,,,2.0906,,,,,0.0463,12.4920,,,,,2.7180,,,,,11.9273,,,,
2025-11-03,250645980284.48,0.7905,,,,,2.0961,,,,,0.0462,12.5248,,,,,2.7251,,,,,11.9587,,,,
2025-10-31,251490221984.54,0.7932,,,,,2.1032,,,,,0.0460,12.5670,,,,,2.7343,,,,,11.9989,,,,
2025-10-30,242109758650.54,0.7890,,,,,2.1072,,,,,0.0478,12.5143,,,,,2.7810,,,,,11.8950,,,,
2025-10-29,240139861350.4,0.7826,,,,,2.0901,,,,,0.0482,12.4125,,,,,2.7583,,,,,11.7982,,,,
2025-10-28,239670838183.7,0.7811,,,,,2.0860,,,,,0.0483,12.3882,,,,,2.7529,,,,,11.7752,,,,
2025-10-27,242954000350.6,0.7918,,,,,2.1146,,,,,0.0477,12.5579,,,,,2.7907,,,,,11.9365,,,,
2025-10-24,240421275250.42,0.7835,,,,,2.0925,,,,,0.0482,12.4270,,,,,2.7616,,,,,11.8121,,,,
2025-10-23,241640735483.8401,0.7875,,,,,2.1032,,,,,0.0479,12.4901,,,,,2.7756,,,,,11.8720,,,,
2025-10-22,240233665983.74,0.7829,,,,,2.0909,,,,,0.0482,12.4173,,,,,2.7594,,,,,11.8028,,,,
2025-10-21,237794745516.9,0.7749,,,,,2.0697,,,,,0.0487,12.2913,,,,,2.7314,,,,,11.6830,,,,
2025-10-20,235355825050.06,0.7670,,,,,2.0485,,,,,0.0492,12.1652,,,,,2.7034,,,,,11.5632,,,,
2025-10-17,234699192616.68,0.7649,,,,,2.0427,,,,,0.0493,12.1313,,,,,2.6958,,,,,11.5309,,,,
2025-10-16,236856699183.5,0.7719,,,,,2.0615,,,,,0.0489,12.2428,,,,,2.7206,,,,,11.6369,,,,
2025-10-15,238357573316.94,0.7768,,,,,2.0746,,,,,0.0486,12.3204,,,,,2.7379,,,,,11.7107,,,,
2025-10-14,238451377950.2801,0.7771,,,,,2.0754,,,,,0.0486,12.3252,,,,,2.7389,,,,,11.7153,,,,
2025-10-13,235637238950.08,0.7679,,,,,2.0509,,,,,0.0491,12.1798,,,,,2.7066,,,,,11.5770,,,,
2025-10-10,240702689150.44,0.7844,,,,,2.0950,,,,,0.0481,12.4416,,,,,2.7648,,,,,11.8259,,,,
2025-10-09,238638987216.96,0.7777,,,,,2.0770,,,,,0.0485,12.3349,,,,,2.7411,,,,,11.7245,,,,
2025-09-30,237669194750.22,0.7745,,,,,2.0686,,,,,0.0487,12.2848,,,,,2.7300,,,,,11.6768,,,,
2025-09-29,239733435683.7,0.7813,,,,,2.0866,,,,,0.0483,12.3915,,,,,2.7537,,,,,11.7783,,,,
2025-09-26,241328530950.48,0.7865,,,,,2.1004,,,,,0.0480,12.4739,,,,,2.7720,,,,,11.8566,,,,
2025-09-25,237856853016.9,0.7751,,,,,2.0702,,,,,0.0487,12.2945,,,,,2.7321,,,,,11.6861,,,,
2025-09-24,242642138817.24,0.7907,,,,,2.1119,,,,,0.0477,12.5418,,,,,2.7871,,,,,11.9212,,,,
2025-09-23,240014923083.72,0.7822,,,,,2.0890,,,,,0.0482,12.4060,,,,,2.7569,,,,,11.7921,,,,
2025-09-22,241140872683.8,0.7859,,,,,2.0988,,,,,0.0480,12.4642,,,,,2.7698,,,,,11.8474,,,,
2025-09-19,246958278950.88,0.8048,,,,,2.1494,,,,,0.0469,12.7649,,,,,2.8367,,,,,12.1332,,,,
2025-09-18,244424892350.7,0.7966,,,,,2.1274,,,,,0.0474,12.6340,,,,,2.8076,,,,,12.0088,,,,
2025-09-17,251274419084.52,0.8189,,,,,2.1870,,,,,0.0461,12.9880,,,,,2.8862,,,,,12.3453,,,,
2025-09-16,243205113617.2801,0.7926,,,,,2.1168,,,,,0.0476,12.5709,,,,,2.7935,,,,,11.9488,,,,
2025-09-15,243955746684.0,0.7950,,,,,2.1233,,,,,0.0475,12.6097,,,,,2.8022,,,,,11.9857,,,,
2025-09-12,245738500217.46,0.8008,,,,,2.1388,,,,,0.0471,12.7019,,,,,2.8226,,,,,12.0733,,,,
2025-09-11,249773152951.08,0.8140,,,,,2.1739,,,,,0.0464,12.9104,,,,,2.8690,,,,,12.2715,,,,
2025-09-10,249397836417.72,0.8128,,,,,2.1707,,,,,0.0464,12.8910,,,,,2.8647,,,,,12.2531,,,,
2025-09-09,252681856084.62,0.8235,,,,,2.1993,,,,,0.0458,13.0608,,,,,2.9024,,,,,12.4144,,,,
2025-09-08,248084228550.96,0.8085,,,,,2.1592,,,,,0.0467,12.8231,,,,,2.8496,,,,,12.1885,,,,
2025-09-05,248271886817.64,0.8091,,,,,2.1609,,,,,0.0466,12.8328,,,,,2.8517,,,,,12.1978,,,,
2025-09-04,241047043550.46,0.7855,,,,,2.0980,,,,,0.0480,12.4594,,,,,2.7688,,,,,11.8428,,,,
2025-09-03,245738500217.46,0.8008,,,,,2.1388,,,,,0.0471,12.7019,,,,,2.8226,,,,,12.0733,,,,
2025-09-02,246770620684.2,0.8042,,,,,2.1478,,,,,0.0469,12.7552,,,,,2.8345,,,,,12.1240,,,,
2025-09-01,243486601017.3,0.7935,,,,,2.1192,,,,,0.0476,12.5855,,,,,2.7968,,,,,11.9627,,,,
2025-08-29,246395304150.8401,0.8030,,,,,2.1445,,,,,0.0470,12.7358,,,,,2.8302,,,,,12.1056,,,,
2025-08-28,243955746684.0,0.8238,,,,,2.2445,,,,,0.0371,13.1662,,,,,3.0052,,,,,12.5396,,,,
2025-08-27,241891505750.52,0.8169,,,,,2.2255,,,,,0.0374,13.0548,,,,,2.9798,,,,,12.4335,,,,
2025-08-26,246395304150.8401,0.8321,,,,,2.2669,,,,,0.0367,13.2979,,,,,3.0353,,,,,12.6650,,,,
2025-08-25,245738500217.46,0.8299,,,,,2.2609,,,,,0.0368,13.2624,,,,,3.0272,,,,,12.6313,,,,
2025-08-22,241891505750.52,0.8169,,,,,2.2255,,,,,0.0374,13.0548,,,,,2.9798,,,,,12.4335,,,,
2025-08-21,240108752217.06,0.8108,,,,,2.2091,,,,,0.0377,12.9586,,,,,2.9578,,,,,12.3419,,,,
