日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2025-11-21,=6.7900,=6.7900,=6.7900,=6.7900,=621333471766.21,=527105857866.0,=97498471460.88,,=20.2037,,,,
2025-11-20,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=20.3525,,,,
2025-11-19,=6.8000,=6.8000,=6.8000,=6.8000,=622248543153.2,=527882155153.0,=97642062729.6,,=20.2334,,,,
2025-11-18,=6.7500,=6.7500,=6.7500,=6.7500,=617673186218.25,=524000668718.0,=96924106386.0,,=20.0847,,,,
2025-11-17,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=20.1144,,,,
2025-11-14,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=20.2929,,,,
2025-11-13,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=20.3525,,,,
2025-11-12,=6.9000,=6.9000,=6.9000,=6.9000,=631399257023.1,=535645128023.0,=99077975416.8,,=20.5310,,,,
2025-11-11,=6.8800,=6.8800,=6.8800,=6.8800,=629569114249.12,=534092533449.0,=98790792879.36,,=20.4715,,,,
2025-11-10,=6.8900,=6.8900,=6.8900,=6.8900,=630484185636.11,=534868830736.0,=98934384148.08,,=20.5012,,,,
2025-11-07,=6.8600,=6.8600,=6.8600,=6.8600,=627738971475.14,=532539938875.0,=98503610341.92,,=20.4120,,,,
2025-11-06,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=20.1144,,,,
2025-11-05,=6.7400,=6.7400,=6.7400,=6.7400,=616758114831.26,=523224371431.0,=96780515117.28,,=20.0549,,,,
2025-11-04,=6.7500,=6.7500,=6.7500,=6.7500,=617673186218.25,=524000668718.0,=96924106386.0,,=20.0847,,,,
2025-11-03,=6.7400,=6.7400,=6.7400,=6.7400,=616758114831.26,=523224371431.0,=96780515117.28,,=20.0549,,,,
2025-10-31,=6.6900,=6.6900,=6.6900,=6.6900,=612182757896.31,=519342884996.0,=96062558773.68,,=19.9061,,,,
2025-10-30,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=20.3525,,,,
2025-10-29,=6.8500,=6.8500,=6.8500,=6.8500,=626823900088.15,=531763641588.0,=98360019073.2,,=20.3822,,,,
2025-10-28,=6.8800,=6.8800,=6.8800,=6.8800,=629569114249.12,=534092533449.0,=98790792879.36,,=20.4715,,,,
2025-10-27,=6.8900,=6.8900,=6.8900,=6.8900,=630484185636.11,=534868830736.0,=98934384148.08,,=20.5012,,,,
2025-10-24,=6.8700,=6.8700,=6.8700,=6.8700,=628654042862.13,=533316236162.0,=98647201610.64,,=20.4417,,,,
2025-10-23,=6.9000,=6.9000,=6.9000,=6.9000,=631399257023.1,=535645128023.0,=99077975416.8,,=20.5310,,,,
2025-10-22,=6.8600,=6.8600,=6.8600,=6.8600,=627738971475.14,=532539938875.0,=98503610341.92,,=20.4120,,,,
2025-10-21,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=20.2742,,,,
2025-10-20,=6.8500,=6.8500,=6.8500,=6.8500,=626823900088.15,=531763641588.0,=98360019073.2,,=20.3634,,,,
2025-10-17,=6.9100,=6.9100,=6.9100,=6.9100,=632314328410.09,=536421425310.0,=99221566685.52,,=20.5418,,,,
