日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-03-10,=5.9500,=5.9500,=5.9500,=5.9500,=544467475259.05,=461896885759.0,=85436804888.4,,=1.2745,,,,
2026-03-09,=6.0100,=6.0100,=6.0100,=6.0100,=549957903580.99,=466554669481.0,=86298352500.72,,=1.2873,,,,
2026-03-06,=5.9700,=5.9700,=5.9700,=5.9700,=546297618033.03,=463449480333.0,=85723987425.84,,=1.2788,,,,
2026-03-05,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=1.2723,,,,
2026-03-04,=5.8700,=5.8700,=5.8700,=5.8700,=537146904163.13,=455686507463.0,=84288074738.64,,=1.2573,,,,
2026-03-03,=5.8800,=5.8800,=5.8800,=5.8800,=538061975550.12,=456462804750.0,=84431666007.36,,=1.2595,,,,
2026-03-02,=5.8700,=5.8700,=5.8700,=5.8700,=537146904163.13,=455686507463.0,=84288074738.64,,=1.2573,,,,
2026-02-27,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2402,,,,
2026-02-26,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=1.2166,,,,
2026-02-25,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=1.2274,,,,
2026-02-24,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=1.2274,,,,
2026-02-13,=5.6700,=5.6700,=5.6700,=5.6700,=518845476423.33,=440160561723.0,=81416249364.24,,=1.2145,,,,
2026-02-12,=5.6900,=5.6900,=5.6900,=5.6900,=520675619197.3101,=441713156297.0,=81703431901.68,,=1.2188,,,,
2026-02-11,=5.7300,=5.7300,=5.7300,=5.7300,=524335904745.27,=444818345445.0,=82277796976.56,,=1.2274,,,,
2026-02-10,=5.7500,=5.7500,=5.7500,=5.7500,=526166047519.25,=446370940019.0,=82564979514.0,,=1.2316,,,,
2026-02-09,=5.7600,=5.7600,=5.7600,=5.7600,=527081118906.24,=447147237306.0,=82708570782.72,,=1.2338,,,,
2026-02-06,=5.7800,=5.7800,=5.7800,=5.7800,=528911261680.22,=448699831880.0,=82995753320.16,,=1.2381,,,,
2026-02-05,=5.8200,=5.8200,=5.8200,=5.8200,=532571547228.18,=451805021028.0,=83570118395.04,,=1.2466,,,,
2026-02-04,=5.7500,=5.7500,=5.7500,=5.7500,=526166047519.25,=446370940019.0,=82564979514.0,,=1.2316,,,,
2026-02-03,=5.6600,=5.6600,=5.6600,=5.6600,=517930405036.34,=439384264436.0,=81272658095.52,,=1.2124,,,,
2026-02-02,=5.7400,=5.7400,=5.7400,=5.7400,=525250976132.26,=445594642732.0,=82421388245.28,,=1.2295,,,,
2026-01-30,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=1.2852,,,,
2026-01-29,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=1.2723,,,,
2026-01-28,=5.9300,=5.9300,=5.9300,=5.9300,=542637332485.07,=460344291185.0,=85149622350.96,,=1.2702,,,,
2026-01-27,=5.7600,=5.7600,=5.7600,=5.7600,=527081118906.24,=447147237306.0,=82708570782.72,,=1.2338,,,,
2026-01-26,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2402,,,,
2026-01-23,=5.8100,=5.8100,=5.8100,=5.8100,=531656475841.1899,=451028723741.0,=83426527126.32,,=1.2445,,,,
2026-01-22,=5.8300,=5.8300,=5.8300,=5.8300,=533486618615.17,=452581318315.0,=83713709663.76,,=1.2488,,,,
2026-01-21,=5.8000,=5.8000,=5.8000,=5.8000,=530741404454.2,=450252426454.0,=83282935857.6,,=1.2424,,,,
2026-01-20,=5.9500,=5.9500,=5.9500,=5.9500,=544467475259.05,=461896885759.0,=85436804888.4,,=1.2745,,,,
2026-01-19,=5.9400,=5.9400,=5.9400,=5.9400,=543552403872.0601,=461120588472.0,=85293213619.68,,=1.2723,,,,
2026-01-16,=5.9700,=5.9700,=5.9700,=5.9700,=546297618033.03,=463449480333.0,=85723987425.84,,=1.2788,,,,
2026-01-15,=6.1000,=6.1000,=6.1000,=6.1000,=558193546063.9,=473541345064.0,=87590673919.2,,=1.3066,,,,
2026-01-14,=6.2600,=6.2600,=6.2600,=6.2600,=572834688255.74,=485962101656.0,=89888134218.72,,=1.3409,,,,
2026-01-13,=6.3200,=6.3200,=6.3200,=6.3200,=578325116577.68,=490619885378.0,=90749681831.04,,=1.3537,,,,
2026-01-12,=6.3700,=6.3700,=6.3700,=6.3700,=582900473512.63,=494501371813.0,=91467638174.64,,=1.3644,,,,
2026-01-09,=6.3200,=6.3200,=6.3200,=6.3200,=578325116577.68,=490619885378.0,=90749681831.04,,=1.3537,,,,
2026-01-08,=6.2800,=6.2800,=6.2800,=6.2800,=574664831029.72,=487514696230.0,=90175316756.16,,=1.3452,,,,
2026-01-07,=6.2600,=6.2600,=6.2600,=6.2600,=572834688255.74,=485962101656.0,=89888134218.72,,=1.3409,,,,
2026-01-06,=6.3500,=6.3500,=6.3500,=6.3500,=581070330738.65,=492948777239.0,=91180455637.2,,=1.3602,,,,
2026-01-05,=6.3400,=6.3400,=6.3400,=6.3400,=580155259351.66,=492172479952.0,=91036864368.48,,=1.3580,,,,
2025-12-31,=6.3000,=6.3000,=6.3000,=6.3000,=576494973803.7,=489067290804.0,=90462499293.6,,=1.3495,,,,
2025-12-30,=6.2400,=6.2400,=6.2400,=6.2400,=571004545481.76,=484409507082.0,=89600951681.28,,=1.3366,,,,
2025-12-29,=6.2800,=6.2800,=6.2800,=6.2800,=574664831029.72,=487514696230.0,=90175316756.16,,=1.3452,,,,
2025-12-26,=6.4200,=6.4200,=6.4200,=6.4200,=587475830447.58,=498382858248.0,=92185594518.24,,=1.3752,,,,
2025-12-25,=6.4700,=6.4700,=6.4700,=6.4700,=592051187382.53,=502264344683.0,=92903550861.84,,=1.3859,,,,
2025-12-24,=6.4900,=6.4900,=6.4900,=6.4900,=593881330156.51,=503816939257.0,=93190733399.28,,=1.3902,,,,
2025-12-23,=6.5600,=6.5600,=6.5600,=6.5600,=600286829865.44,=509251020265.0,=94195872280.32,,=1.4051,,,,
2025-12-22,=6.6400,=6.6400,=6.6400,=6.6400,=607607400961.36,=515461398561.0,=95344602430.08,,=1.4223,,,,
2025-12-19,=6.7800,=6.7800,=6.7800,=6.7800,=620418400379.22,=526329560579.0,=97354880192.16,,=1.4523,,,,
2025-12-18,=6.6700,=6.6700,=6.6700,=6.6700,=610352615122.33,=517790290422.0,=95775376236.24,,=1.4287,,,,
2025-12-17,=6.6800,=6.6800,=6.6800,=6.6800,=611267686509.32,=518566587709.0,=95918967504.96,,=1.4308,,,,
2025-12-16,=6.7000,=6.7000,=6.7000,=6.7000,=613097829283.3,=520119182283.0,=96206150042.4,,=1.4351,,,,
2025-12-15,=6.6200,=6.6200,=6.6200,=6.6200,=605777258187.38,=513908803987.0,=95057419892.64,,=1.4180,,,,
2025-12-12,=6.7000,=6.7000,=6.7000,=6.7000,=613097829283.3,=520119182283.0,=96206150042.4,,=1.4351,,,,
2025-12-11,=6.7900,=6.7900,=6.7900,=6.7900,=621333471766.21,=527105857866.0,=97498471460.88,,=1.4544,,,,
2025-12-10,=6.8000,=6.8000,=6.8000,=6.8000,=622248543153.2,=527882155153.0,=97642062729.6,,=1.4566,,,,
2025-12-09,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=1.4608,,,,
2025-12-08,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=1.4608,,,,
2025-12-05,=6.8700,=6.8700,=6.8700,=6.8700,=628654042862.13,=533316236162.0,=98647201610.64,,=1.4715,,,,
2025-12-04,=6.9000,=6.9000,=6.9000,=6.9000,=631399257023.1,=535645128023.0,=99077975416.8,,=1.4780,,,,
2025-12-03,=6.9400,=6.9400,=6.9400,=6.9400,=635059542571.06,=538750317171.0,=99652340491.68,,=1.4865,,,,
2025-12-02,=6.9600,=6.9600,=6.9600,=6.9600,=636889685345.04,=540302911745.0,=99939523029.12,,=1.4908,,,,
2025-12-01,=6.8800,=6.8800,=6.8800,=6.8800,=629569114249.12,=534092533449.0,=98790792879.36,,=1.4737,,,,
2025-11-28,=6.8600,=6.8600,=6.8600,=6.8600,=627738971475.14,=532539938875.0,=98503610341.92,,=1.4694,,,,
2025-11-27,=6.7700,=6.7700,=6.7700,=6.7700,=619503328992.23,=525553263292.0,=97211288923.44,,=1.4501,,,,
2025-11-26,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=1.4630,,,,
2025-11-25,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=1.4630,,,,
2025-11-24,=6.8500,=6.8500,=6.8500,=6.8500,=626823900088.15,=531763641588.0,=98360019073.2,,=1.4673,,,,
2025-11-21,=6.7900,=6.7900,=6.7900,=6.7900,=621333471766.21,=527105857866.0,=97498471460.88,,=1.4544,,,,
2025-11-20,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=1.4651,,,,
2025-11-19,=6.8000,=6.8000,=6.8000,=6.8000,=622248543153.2,=527882155153.0,=97642062729.6,,=1.4566,,,,
2025-11-18,=6.7500,=6.7500,=6.7500,=6.7500,=617673186218.25,=524000668718.0,=96924106386.0,,=1.4458,,,,
2025-11-17,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=1.4480,,,,
2025-11-14,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=1.4608,,,,
2025-11-13,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=1.4651,,,,
2025-11-12,=6.9000,=6.9000,=6.9000,=6.9000,=631399257023.1,=535645128023.0,=99077975416.8,,=1.4780,,,,
2025-11-11,=6.8800,=6.8800,=6.8800,=6.8800,=629569114249.12,=534092533449.0,=98790792879.36,,=1.4737,,,,
2025-11-10,=6.8900,=6.8900,=6.8900,=6.8900,=630484185636.11,=534868830736.0,=98934384148.08,,=1.4758,,,,
2025-11-07,=6.8600,=6.8600,=6.8600,=6.8600,=627738971475.14,=532539938875.0,=98503610341.92,,=1.4694,,,,
2025-11-06,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=1.4480,,,,
2025-11-05,=6.7400,=6.7400,=6.7400,=6.7400,=616758114831.26,=523224371431.0,=96780515117.28,,=1.4437,,,,
2025-11-04,=6.7500,=6.7500,=6.7500,=6.7500,=617673186218.25,=524000668718.0,=96924106386.0,,=1.4458,,,,
2025-11-03,=6.7400,=6.7400,=6.7400,=6.7400,=616758114831.26,=523224371431.0,=96780515117.28,,=1.4437,,,,
2025-10-31,=6.6900,=6.6900,=6.6900,=6.6900,=612182757896.31,=519342884996.0,=96062558773.68,,=1.4330,,,,
2025-10-30,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=1.4651,,,,
2025-10-29,=6.8500,=6.8500,=6.8500,=6.8500,=626823900088.15,=531763641588.0,=98360019073.2,,=1.4673,,,,
2025-10-28,=6.8800,=6.8800,=6.8800,=6.8800,=629569114249.12,=534092533449.0,=98790792879.36,,=1.4737,,,,
2025-10-27,=6.8900,=6.8900,=6.8900,=6.8900,=630484185636.11,=534868830736.0,=98934384148.08,,=1.4758,,,,
2025-10-24,=6.8700,=6.8700,=6.8700,=6.8700,=628654042862.13,=533316236162.0,=98647201610.64,,=1.4715,,,,
2025-10-23,=6.9000,=6.9000,=6.9000,=6.9000,=631399257023.1,=535645128023.0,=99077975416.8,,=1.4780,,,,
2025-10-22,=6.8600,=6.8600,=6.8600,=6.8600,=627738971475.14,=532539938875.0,=98503610341.92,,=1.4694,,,,
2025-10-21,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=1.4881,,,,
2025-10-20,=6.8500,=6.8500,=6.8500,=6.8500,=626823900088.15,=531763641588.0,=98360019073.2,,=1.4947,,,,
2025-10-17,=6.9100,=6.9100,=6.9100,=6.9100,=632314328410.09,=536421425310.0,=99221566685.52,,=1.5078,,,,
2025-10-16,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=1.4903,,,,
2025-10-15,=6.8000,=6.8000,=6.8000,=6.8000,=622248543153.2,=527882155153.0,=97642062729.6,,=1.4837,,,,
2025-10-14,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=1.4925,,,,
2025-10-13,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=1.4903,,,,
2025-10-10,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=1.4750,,,,
2025-10-09,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=1.4750,,,,
2025-09-30,=6.6600,=6.6600,=6.6600,=6.6600,=609437543735.34,=517013993135.0,=95631784967.52,,=1.4532,,,,
2025-09-29,=6.6600,=6.6600,=6.6600,=6.6600,=609437543735.34,=517013993135.0,=95631784967.52,,=1.4532,,,,
2025-09-26,=6.6700,=6.6700,=6.6700,=6.6700,=610352615122.33,=517790290422.0,=95775376236.24,,=1.4554,,,,
2025-09-25,=6.6900,=6.6900,=6.6900,=6.6900,=612182757896.31,=519342884996.0,=96062558773.68,,=1.4597,,,,
2025-09-24,=6.7200,=6.7200,=6.7200,=6.7200,=614927972057.28,=521671776857.0,=96493332579.84,,=1.4663,,,,
2025-09-23,=6.6900,=6.6900,=6.6900,=6.6900,=612182757896.31,=519342884996.0,=96062558773.68,,=1.4597,,,,
2025-09-22,=6.7300,=6.7300,=6.7300,=6.7300,=615843043444.27,=522448074144.0,=96636923848.56,,=1.4685,,,,
2025-09-19,=6.7800,=6.7800,=6.7800,=6.7800,=620418400379.22,=526329560579.0,=97354880192.16,,=1.4794,,,,
2025-09-18,=6.7700,=6.7700,=6.7700,=6.7700,=619503328992.23,=525553263292.0,=97211288923.44,,=1.4772,,,,
2025-09-17,=6.9500,=6.9500,=6.9500,=6.9500,=635974613958.05,=539526614458.0,=99795931760.4,,=1.5165,,,,
2025-09-16,=7.0000,=7.0000,=7.0000,=7.0000,=640549970893.0,=543408100893.0,=100513888104.0,,=1.5274,,,,
2025-09-15,=7.1300,=7.1300,=7.1300,=7.1300,=652445898923.87,=553499965624.0,=102380574597.36,,=1.5558,,,,
