日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2025-08-27,=6.0000,=6.0000,=6.0000,=6.0000,=720570320951.9999,=402734371200.0,=62117707950.0,,=2.0664,,,,
2025-08-26,=6.2700,=6.2700,=6.2700,=6.2700,=752995985394.8398,=420857417904.0,=64913004807.75,,=2.1594,,,,
2025-08-25,=6.2700,=6.2700,=6.2700,=6.2700,=752995985394.8398,=420857417904.0,=64913004807.75,,=2.1594,,,,
2025-08-22,=6.2200,=6.2200,=6.2200,=6.2200,=746991232720.2399,=417501298144.0,=64395357241.5,,=2.1422,,,,
2025-08-21,=6.2300,=6.2300,=6.2300,=6.2300,=748192183255.1599,=418172522096.0,=64498886754.75,,=2.1456,,,,
2025-08-20,=6.1500,=6.1500,=6.1500,=6.1500,=738584578975.7999,=412802730480.0,=63670650648.75,,=2.1181,,,,
2025-08-19,=6.1500,=6.1500,=6.1500,=6.1500,=738584578975.7999,=412802730480.0,=63670650648.75,,=2.1181,,,,
2025-08-18,=6.0500,=6.0500,=6.0500,=6.0500,=726575073626.5999,=406090490960.0,=62635355516.25,,=2.0836,,,,
2025-08-15,=6.0100,=6.0100,=6.0100,=6.0100,=721771271486.9199,=403405595152.0,=62221237463.25,,=2.0698,,,,
2025-08-14,=6.1200,=6.1200,=6.1200,=6.1200,=734981727371.0399,=410789058624.0,=63360062109.0,,=2.1077,,,,
2025-08-13,=6.0300,=6.0300,=6.0300,=6.0300,=724173172556.7599,=404748043056.0,=62428296489.75,,=2.0767,,,,
2025-08-12,=6.0000,=6.0000,=6.0000,=6.0000,=720570320951.9999,=402734371200.0,=62117707950.0,,=2.0664,,,,
2025-08-11,=5.9600,=5.9600,=5.9600,=5.9600,=715766518812.32,=400049475392.0,=61703589897.0,,=2.0526,,,,
2025-08-08,=6.0200,=6.0200,=6.0200,=6.0200,=722972222021.8398,=404076819104.0,=62324766976.5,,=2.0733,,,,
2025-08-07,=6.0000,=6.0000,=6.0000,=6.0000,=720570320951.9999,=402734371200.0,=62117707950.0,,=2.0664,,,,
2025-08-06,=5.9000,=5.9000,=5.9000,=5.9000,=708560815602.7999,=396022131680.0,=61082412817.5,,=2.0320,,,,
2025-08-05,=5.8500,=5.8500,=5.8500,=5.8500,=702556062928.1998,=392666011920.0,=60564765251.25,,=2.0147,,,,
2025-08-04,=5.7600,=5.7600,=5.7600,=5.7600,=691747508113.9199,=386624996352.0,=59632999632.0,,=1.9837,,,,
2025-08-01,=5.6600,=5.6600,=5.6600,=5.6600,=679738002764.72,=379912756832.0,=58597704499.5,,=1.9493,,,,
2025-07-31,=5.7400,=5.7400,=5.7400,=5.7400,=689345607044.08,=385282548448.0,=59425940605.5,,=1.9769,,,,
2025-07-30,=5.6900,=5.6900,=5.6900,=5.6900,=683340854369.48,=381926428688.0,=58908293039.25,,=1.9596,,,,
2025-07-29,=5.6100,=5.6100,=5.6100,=5.6100,=673733250090.12,=376556637072.0,=58080056933.25,,=1.9321,,,,
2025-07-28,=5.6300,=5.6300,=5.6300,=5.6300,=676135151159.96,=377899084976.0,=58287115959.75,,=1.9390,,,,
2025-07-25,=5.6000,=5.6000,=5.6000,=5.6000,=672532299555.1998,=375885413120.0,=57976527420.0,,=1.9286,,,,
2025-07-24,=5.6000,=5.6000,=5.6000,=5.6000,=672532299555.1998,=375885413120.0,=57976527420.0,,=1.9286,,,,
2025-07-23,=5.6500,=5.6500,=5.6500,=5.6500,=678537052229.7999,=379241532880.0,=58494174986.25,,=1.9459,,,,
2025-07-22,=5.6000,=5.6000,=5.6000,=5.6000,=672532299555.1998,=375885413120.0,=57976527420.0,,=1.9286,,,,
2025-07-21,=5.6600,=5.6600,=5.6600,=5.6600,=679738002764.72,=379912756832.0,=58597704499.5,,=1.9493,,,,
2025-07-18,=5.6900,=5.6900,=5.6900,=5.6900,=683340854369.48,=381926428688.0,=58908293039.25,,=1.9596,,,,
2025-07-17,=5.6500,=5.6500,=5.6500,=5.6500,=678537052229.7999,=379241532880.0,=58494174986.25,,=1.9459,,,,
2025-07-16,=5.6500,=5.6500,=5.6500,=5.6500,=678537052229.7999,=379241532880.0,=58494174986.25,,=1.9459,,,,
2025-07-15,=5.6600,=5.6600,=5.6600,=5.6600,=679738002764.72,=379912756832.0,=58597704499.5,,=1.9493,,,,
2025-07-14,=5.7100,=5.7100,=5.7100,=5.7100,=685742755439.32,=383268876592.0,=59115352065.75,,=1.9665,,,,
2025-07-11,=5.6700,=5.6700,=5.6700,=5.6700,=680938953299.6399,=380583980784.0,=58701234012.75,,=1.9527,,,,
2025-07-10,=5.7900,=5.7900,=5.7900,=5.7900,=695350359718.6799,=388638668208.0,=59943588171.75,,=1.9941,,,,
2025-07-09,=5.7600,=5.7600,=5.7600,=5.7600,=691747508113.9199,=386624996352.0,=59632999632.0,,=1.9837,,,,
2025-07-08,=5.7500,=5.7500,=5.7500,=5.7500,=690546557578.9999,=385953772400.0,=59529470118.75,,=1.9803,,,,
2025-07-07,=5.7000,=5.7000,=5.7000,=5.7000,=684541804904.3999,=382597652640.0,=59011822552.5,,=1.9631,,,,
2025-07-04,=5.6100,=5.6100,=5.6100,=5.6100,=673733250090.12,=376556637072.0,=58080056933.25,,=1.9321,,,,
