date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-03-18,1006776236391.92,6.7706,,,,,0.9549,,,,,6.7578,,,,,0.0755,2.9946,,,,,0.9460,,,,
2026-03-17,1011820205512.12,6.8045,,,,,0.9597,,,,,6.7917,,,,,0.0751,3.0096,,,,,0.9507,,,,
2026-03-16,1006524037935.91,6.7689,,,,,0.9547,,,,,6.7561,,,,,0.0755,2.9938,,,,,0.9457,,,,
2026-03-13,1002741061095.76,6.7435,,,,,0.9511,,,,,6.7308,,,,,0.0758,2.9826,,,,,0.9422,,,,
2026-03-12,996183901239.5,6.6994,,,,,0.9449,,,,,6.6867,,,,,0.0763,2.9631,,,,,0.9360,,,,
2026-03-11,996183901239.5,6.6994,,,,,0.9449,,,,,6.6867,,,,,0.0763,2.9631,,,,,0.9360,,,,
2026-03-10,989122344471.22,6.6519,,,,,0.9382,,,,,6.6393,,,,,0.0768,2.9421,,,,,0.9294,,,,
2026-03-09,978277810862.79,6.5790,,,,,0.9279,,,,,6.5665,,,,,0.0777,2.9098,,,,,0.9192,,,,
2026-03-06,988617947559.2,6.6485,,,,,0.9377,,,,,6.6360,,,,,0.0769,2.9406,,,,,0.9289,,,,
2026-03-05,987356955279.15,6.6400,,,,,0.9365,,,,,6.6275,,,,,0.0770,2.9368,,,,,0.9277,,,,
2026-03-04,973486040198.6,6.5467,,,,,0.9233,,,,,6.5344,,,,,0.0781,2.8956,,,,,0.9147,,,,
2026-03-03,988113550647.18,6.6451,,,,,0.9372,,,,,6.6326,,,,,0.0769,2.9391,,,,,0.9284,,,,
2026-03-02,975251429390.67,6.5586,,,,,0.9250,,,,,6.5462,,,,,0.0779,2.9008,,,,,0.9163,,,,
2026-02-27,977269017038.75,6.5722,,,,,0.9269,,,,,6.5598,,,,,0.0778,2.9068,,,,,0.9182,,,,
2026-02-26,976008024758.7,6.5637,,,,,0.9257,,,,,6.5513,,,,,0.0779,2.9031,,,,,0.9171,,,,
2026-02-25,978025612406.78,6.5773,,,,,0.9276,,,,,6.5649,,,,,0.0777,2.9091,,,,,0.9190,,,,
2026-02-24,982060787702.94,6.6044,,,,,0.9315,,,,,6.5919,,,,,0.0774,2.9211,,,,,0.9227,,,,
2026-02-13,976260223214.71,6.5654,,,,,0.9260,,,,,6.5530,,,,,0.0778,2.9038,,,,,0.9173,,,,
2026-02-12,983321779982.99,6.6129,,,,,0.9327,,,,,6.6004,,,,,0.0773,2.9248,,,,,0.9239,,,,
2026-02-11,993661916679.4,6.6824,,,,,0.9425,,,,,6.6698,,,,,0.0765,2.9556,,,,,0.9336,,,,
2026-02-10,992148725943.34,6.6722,,,,,0.9410,,,,,6.6597,,,,,0.0766,2.9511,,,,,0.9322,,,,
2026-02-09,995679504327.48,6.6960,,,,,0.9444,,,,,6.6834,,,,,0.0763,2.9616,,,,,0.9355,,,,
2026-02-06,998705885799.6,6.7163,,,,,0.9472,,,,,6.7037,,,,,0.0761,2.9706,,,,,0.9384,,,,
2026-02-05,1001480068815.71,6.7350,,,,,0.9499,,,,,6.7223,,,,,0.0759,2.9788,,,,,0.9410,,,,
2026-02-04,983826176895.01,6.6163,,,,,0.9331,,,,,6.6038,,,,,0.0772,2.9263,,,,,0.9244,,,,
2026-02-03,965920086518.3,6.4959,,,,,0.9161,,,,,6.4836,,,,,0.0787,2.8731,,,,,0.9076,,,,
2026-02-02,969703063358.45,6.5213,,,,,0.9197,,,,,6.5090,,,,,0.0784,2.8843,,,,,0.9111,,,,
2026-01-30,975251429390.67,6.5586,,,,,0.9250,,,,,6.5462,,,,,0.0779,2.9008,,,,,0.9163,,,,
2026-01-29,971720651006.53,6.5349,,,,,0.9217,,,,,6.5225,,,,,0.0782,2.8903,,,,,0.9130,,,,
2026-01-28,953310163717.8,6.4110,,,,,0.9042,,,,,6.3990,,,,,0.0797,2.8356,,,,,0.8957,,,,
2026-01-27,960876117398.1,6.4619,,,,,0.9114,,,,,6.4497,,,,,0.0791,2.8581,,,,,0.9028,,,,
2026-01-26,958858529750.02,6.4484,,,,,0.9095,,,,,6.4362,,,,,0.0792,2.8521,,,,,0.9009,,,,
2026-01-23,945744210037.5,6.3602,,,,,0.8970,,,,,6.3482,,,,,0.0803,2.8130,,,,,0.8886,,,,
2026-01-22,954571155997.85,6.4195,,,,,0.9054,,,,,6.4074,,,,,0.0796,2.8393,,,,,0.8969,,,,
2026-01-21,964406895782.24,6.4857,,,,,0.9147,,,,,6.4734,,,,,0.0788,2.8686,,,,,0.9062,,,,
2026-01-20,976764620126.73,6.5688,,,,,0.9264,,,,,6.5564,,,,,0.0778,2.9053,,,,,0.9178,,,,
2026-01-19,972225047918.55,6.5383,,,,,0.9221,,,,,6.5259,,,,,0.0782,2.8918,,,,,0.9135,,,,
2026-01-16,976512421670.72,6.5671,,,,,0.9262,,,,,6.5547,,,,,0.0778,2.9046,,,,,0.9175,,,,
2026-01-15,1011568007056.11,6.8028,,,,,0.9367,,,,,6.7900,,,,,0.0751,3.0088,,,,,0.9282,,,,
2026-01-14,1010559213232.07,6.7961,,,,,0.9358,,,,,6.7832,,,,,0.0752,3.0058,,,,,0.9273,,,,
2026-01-13,1037292249569.13,6.9758,,,,,0.9606,,,,,6.9627,,,,,0.0733,3.0854,,,,,0.9518,,,,
2026-01-12,1037040051113.12,6.9741,,,,,0.9603,,,,,6.9610,,,,,0.0733,3.0846,,,,,0.9516,,,,
2026-01-09,1041579623321.3,7.0047,,,,,0.9645,,,,,6.9915,,,,,0.0730,3.0981,,,,,0.9557,,,,
2026-01-08,1048641180089.58,7.0522,,,,,0.9711,,,,,7.0389,,,,,0.0725,3.1191,,,,,0.9622,,,,
2026-01-07,1063016492082.15,7.1488,,,,,0.9844,,,,,7.1353,,,,,0.0715,3.1619,,,,,0.9754,,,,
2026-01-06,1077644002530.73,7.2472,,,,,0.9979,,,,,7.2335,,,,,0.0705,3.2054,,,,,0.9888,,,,
2026-01-05,1068060461202.35,7.1827,,,,,0.9891,,,,,7.1692,,,,,0.0711,3.1769,,,,,0.9800,,,,
2025-12-31,1061755499802.1,7.1403,,,,,0.9832,,,,,7.1269,,,,,0.0716,3.1581,,,,,0.9742,,,,
2025-12-30,1066295072010.28,7.1709,,,,,0.9874,,,,,7.1574,,,,,0.0713,3.1716,,,,,0.9784,,,,
2025-12-29,1055954935313.87,7.1013,,,,,0.9779,,,,,7.0879,,,,,0.0478,3.1409,,,,,0.9689,,,,
2025-12-26,1051667561561.7,7.0725,,,,,0.9739,,,,,7.0592,,,,,0.0480,3.1281,,,,,0.9650,,,,
2025-12-25,1053685149209.78,7.0861,,,,,0.9757,,,,,7.0727,,,,,0.0479,3.1341,,,,,0.9668,,,,
2025-12-24,1054946141489.83,7.0946,,,,,0.9769,,,,,7.0812,,,,,0.0478,3.1379,,,,,0.9680,,,,
2025-12-23,1056963729137.91,7.1081,,,,,0.9788,,,,,7.0947,,,,,0.0477,3.1439,,,,,0.9698,,,,
2025-12-22,1053432950753.77,7.0844,,,,,0.9755,,,,,7.0710,,,,,0.0479,3.1334,,,,,0.9666,,,,
2025-12-19,1058981316785.99,7.1217,,,,,0.9807,,,,,7.1083,,,,,0.0476,3.1499,,,,,0.9717,,,,
2025-12-18,1068564858114.37,7.1861,,,,,0.9895,,,,,7.1726,,,,,0.0472,3.1784,,,,,0.9805,,,,
2025-12-17,1047127989353.52,7.0420,,,,,0.9697,,,,,7.0287,,,,,0.0482,3.1146,,,,,0.9608,,,,
2025-12-16,1051667561561.7,7.0725,,,,,0.9739,,,,,7.0592,,,,,0.0480,3.1281,,,,,0.9650,,,,
2025-12-15,1054189546121.8,7.0895,,,,,0.9762,,,,,7.0761,,,,,0.0478,3.1356,,,,,0.9673,,,,
2025-12-12,1052676355385.74,7.0793,,,,,0.9748,,,,,7.0659,,,,,0.0479,3.1311,,,,,0.9659,,,,
2025-12-11,1051163164649.68,7.0691,,,,,0.9734,,,,,7.0558,,,,,0.0480,3.1266,,,,,0.9645,,,,
2025-12-10,1051667561561.7,7.0725,,,,,0.9739,,,,,7.0592,,,,,0.0480,3.1281,,,,,0.9650,,,,
2025-12-09,1085462154667.04,7.2998,,,,,1.0052,,,,,7.2860,,,,,0.0465,3.2286,,,,,0.9960,,,,
2025-12-08,1088992933051.18,7.3235,,,,,1.0084,,,,,7.3097,,,,,0.0463,3.2391,,,,,0.9992,,,,
2025-12-05,1095802291363.45,7.3693,,,,,1.0148,,,,,7.3554,,,,,0.0460,3.2594,,,,,1.0055,,,,
2025-12-04,1090001726875.22,7.3303,,,,,1.0094,,,,,7.3165,,,,,0.0463,3.2421,,,,,1.0002,,,,
2025-12-03,1084705559299.01,7.2947,,,,,1.0045,,,,,7.2809,,,,,0.0465,3.2264,,,,,0.9953,,,,
2025-12-02,1094036902171.38,7.3574,,,,,1.0131,,,,,7.3436,,,,,0.0461,3.2541,,,,,1.0039,,,,
2025-12-01,1095550092907.44,7.3676,,,,,1.0145,,,,,7.3537,,,,,0.0460,3.2586,,,,,1.0053,,,,
2025-11-28,1083192368562.95,7.2845,,,,,1.0031,,,,,7.2708,,,,,0.0466,3.2219,,,,,0.9939,,,,
2025-11-27,1089245131507.19,7.3252,,,,,1.0087,,,,,7.3114,,,,,0.0463,3.2399,,,,,0.9995,,,,
2025-11-26,1090758322243.25,7.3354,,,,,1.0101,,,,,7.3216,,,,,0.0462,3.2444,,,,,1.0009,,,,
2025-11-25,1090758322243.25,7.3354,,,,,1.0101,,,,,7.3216,,,,,0.0462,3.2444,,,,,1.0009,,,,
2025-11-24,1075122017970.63,7.2302,,,,,0.9956,,,,,7.2166,,,,,0.0469,3.1979,,,,,0.9865,,,,
2025-11-21,1084453360843.0,7.2930,,,,,1.0042,,,,,7.2792,,,,,0.0465,3.2256,,,,,0.9951,,,,
2025-11-20,1090253925331.23,7.3320,,,,,1.0096,,,,,7.3182,,,,,0.0463,3.2429,,,,,1.0004,,,,
2025-11-19,1090001726875.22,7.3303,,,,,1.0094,,,,,7.3165,,,,,0.0463,3.2421,,,,,1.0002,,,,
2025-11-18,1081426979370.88,7.2726,,,,,1.0014,,,,,7.2589,,,,,0.0466,3.2166,,,,,0.9923,,,,
2025-11-17,1075626414882.65,7.2336,,,,,0.9961,,,,,7.2200,,,,,0.0469,3.1994,,,,,0.9870,,,,
2025-11-14,1090758322243.25,7.3354,,,,,1.0101,,,,,7.3216,,,,,0.0462,3.2444,,,,,1.0009,,,,
2025-11-13,1089749528419.21,7.3286,,,,,1.0091,,,,,7.3148,,,,,0.0463,3.2414,,,,,0.9999,,,,
2025-11-12,1082687971650.93,7.2811,,,,,1.0026,,,,,7.2674,,,,,0.0466,3.2204,,,,,0.9934,,,,
2025-11-11,1083444567018.96,7.2862,,,,,1.0033,,,,,7.2725,,,,,0.0466,3.2226,,,,,0.9941,,,,
2025-11-10,1077391804074.72,7.2455,,,,,0.9977,,,,,7.2318,,,,,0.0468,3.2046,,,,,0.9886,,,,
2025-11-07,1072095636498.51,7.2099,,,,,0.9928,,,,,7.1963,,,,,0.0470,3.1889,,,,,0.9837,,,,
2025-11-06,1067808262746.34,7.1811,,,,,0.9888,,,,,7.1675,,,,,0.0472,3.1761,,,,,0.9798,,,,
2025-11-05,1079409391722.8,7.2591,,,,,0.9996,,,,,7.2454,,,,,0.0467,3.2106,,,,,0.9904,,,,
2025-11-04,1084705559299.01,7.2947,,,,,1.0045,,,,,7.2809,,,,,0.0465,3.2264,,,,,0.9953,,,,
2025-11-03,1053937347665.79,7.0878,,,,,0.9760,,,,,7.0744,,,,,0.0479,3.1349,,,,,0.9671,,,,
2025-10-31,1031239486624.89,6.9351,,,,,0.9550,,,,,6.9220,,,,,0.0489,3.0673,,,,,0.9462,,,,
2025-10-30,1039057638761.2,6.9877,,,,,0.9622,,,,,6.9745,,,,,0.0485,3.0906,,,,,0.9534,,,,
2025-10-29,1028213105152.77,6.9377,,,,,1.0268,,,,,6.9204,,,,,0.0491,3.0738,,,,,1.0167,,,,
2025-10-28,1049145577001.6,7.0790,,,,,1.0477,,,,,7.0612,,,,,0.0481,3.1363,,,,,1.0374,,,,
2025-10-27,1048893378545.59,7.0773,,,,,1.0474,,,,,7.0595,,,,,0.0481,3.1356,,,,,1.0371,,,,
2025-10-24,1057972522961.95,7.1385,,,,,1.0565,,,,,7.1207,,,,,0.0477,3.1627,,,,,1.0461,,,,
2025-10-23,1065286278186.24,7.1879,,,,,1.0638,,,,,7.1699,,,,,0.0473,3.1846,,,,,1.0533,,,,
2025-10-22,1057972522961.95,7.1385,,,,,1.0565,,,,,7.1207,,,,,0.0477,3.1627,,,,,1.0461,,,,
2025-10-21,1058729118329.98,7.1436,,,,,1.0573,,,,,7.1257,,,,,0.0476,3.1650,,,,,1.0469,,,,
2025-10-20,1044606004793.42,7.0483,,,,,1.0432,,,,,7.0307,,,,,0.0483,3.1228,,,,,1.0329,,,,
2025-10-17,1048893378545.59,7.0773,,,,,1.0474,,,,,7.0595,,,,,0.0481,3.1356,,,,,1.0371,,,,
2025-10-16,1057468126049.93,7.1351,,,,,1.0560,,,,,7.1173,,,,,0.0477,3.1612,,,,,1.0456,,,,
2025-10-15,1046623592441.5,7.0620,,,,,1.0452,,,,,7.0443,,,,,0.0482,3.1288,,,,,1.0349,,,,
2025-10-14,1040570829497.26,7.0211,,,,,1.0391,,,,,7.0035,,,,,0.0485,3.1107,,,,,1.0289,,,,
2025-10-13,1011568007056.11,6.8254,,,,,1.0102,,,,,6.8083,,,,,0.0499,3.0240,,,,,1.0002,,,,
2025-10-10,1013333396248.18,6.8373,,,,,1.0119,,,,,6.8202,,,,,0.0498,3.0293,,,,,1.0020,,,,
2025-10-09,1017116373088.33,6.8629,,,,,1.0157,,,,,6.8457,,,,,0.0496,3.0406,,,,,1.0057,,,,
2025-09-30,1019133960736.41,6.8765,,,,,1.0177,,,,,6.8593,,,,,0.0495,3.0466,,,,,1.0077,,,,
2025-09-29,1025943319048.68,6.9224,,,,,1.0245,,,,,6.9051,,,,,0.0492,3.0670,,,,,1.0144,,,,
2025-09-26,1028969700520.8,6.9428,,,,,1.0275,,,,,6.9255,,,,,0.0490,3.0760,,,,,1.0174,,,,
2025-09-25,1029474097432.82,6.9462,,,,,1.0280,,,,,6.9288,,,,,0.0490,3.0775,,,,,1.0179,,,,
2025-09-24,1042084020233.32,7.0313,,,,,1.0406,,,,,7.0137,,,,,0.0484,3.1152,,,,,1.0304,,,,
2025-09-23,1047884584721.55,7.0705,,,,,1.0464,,,,,7.0528,,,,,0.0481,3.1326,,,,,1.0361,,,,
2025-09-22,1031996081992.92,6.9633,,,,,1.0306,,,,,6.9458,,,,,0.0489,3.0851,,,,,1.0204,,,,
2025-09-19,1034013669641.0,6.9769,,,,,1.0326,,,,,6.9594,,,,,0.0488,3.0911,,,,,1.0224,,,,
2025-09-18,1029726295888.83,6.9479,,,,,1.0283,,,,,6.9305,,,,,0.0490,3.0783,,,,,1.0182,,,,
2025-09-17,1053180752297.76,7.1062,,,,,1.0517,,,,,7.0884,,,,,0.0479,3.1484,,,,,1.0414,,,,
2025-09-16,1052928553841.75,7.1045,,,,,1.0515,,,,,7.0867,,,,,0.0479,3.1477,,,,,1.0411,,,,
2025-09-15,1064781881274.22,7.1845,,,,,1.0633,,,,,7.1665,,,,,0.0474,3.1831,,,,,1.0528,,,,
2025-09-12,1072852231866.54,7.2389,,,,,1.0714,,,,,7.2208,,,,,0.0470,3.2072,,,,,1.0608,,,,
2025-09-11,1092019314523.3,7.3683,,,,,1.0905,,,,,7.3498,,,,,0.0462,3.2645,,,,,1.0798,,,,
2025-09-10,1084453360843.0,7.3172,,,,,1.0829,,,,,7.2989,,,,,0.0465,3.2419,,,,,1.0723,,,,
2025-09-09,1080165987090.83,7.2883,,,,,1.0787,,,,,7.2700,,,,,0.0467,3.2291,,,,,1.0680,,,,
2025-09-08,1070078048850.43,7.2202,,,,,1.0686,,,,,7.2021,,,,,0.0471,3.1989,,,,,1.0581,,,,
2025-09-05,1078400597898.76,7.2764,,,,,1.0769,,,,,7.2581,,,,,0.0468,3.2238,,,,,1.0663,,,,
2025-09-04,1085714353123.05,7.3257,,,,,1.0842,,,,,7.3074,,,,,0.0465,3.2457,,,,,1.0735,,,,
2025-09-03,1081931376282.9,7.3002,,,,,1.0804,,,,,7.2819,,,,,0.0466,3.2344,,,,,1.0698,,,,
2025-09-02,1095550092907.44,7.3921,,,,,1.0940,,,,,7.3736,,,,,0.0460,3.2751,,,,,1.0833,,,,
2025-09-01,1058729118329.98,7.1436,,,,,1.0573,,,,,7.1257,,,,,0.0476,3.1650,,,,,1.0469,,,,
2025-08-29,1081679177826.89,7.3490,,,,,1.0759,,,,,7.3284,,,,,0.0466,3.2306,,,,,1.0654,,,,
2025-08-28,1083948963930.98,7.3644,,,,,1.0782,,,,,7.3438,,,,,0.0465,3.2374,,,,,1.0676,,,,
2025-08-27,1084453360843.0,7.3678,,,,,1.0787,,,,,7.3472,,,,,0.0465,3.2389,,,,,1.0681,,,,
2025-08-26,1097567680555.52,7.4569,,,,,1.0917,,,,,7.4361,,,,,0.0460,3.2781,,,,,1.0810,,,,
2025-08-25,1106394626515.87,7.5169,,,,,1.1005,,,,,7.4959,,,,,0.0456,3.3044,,,,,1.0897,,,,
