date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-04-14,132995059423.2,2.3367,,,,,-24.1090,,,,,0.0000,1.7755,,,,,2.3367,,,,,-19.8117,,,,
2026-04-13,133980208011.52,2.3540,,,,,-24.2876,,,,,0.0000,1.7887,,,,,2.3540,,,,,-19.9584,,,,
2026-04-10,129736491015.68,2.2794,,,,,-23.5183,,,,,0.0000,1.7320,,,,,2.2794,,,,,-19.3263,,,,
2026-04-09,128220877802.8801,2.2528,,,,,-23.2436,,,,,0.0000,1.7118,,,,,2.2528,,,,,-19.1005,,,,
2026-04-08,131252104228.48,2.3061,,,,,-23.7931,,,,,0.0000,1.7523,,,,,2.3061,,,,,-19.5520,,,,
2026-04-07,126553703268.8,2.2235,,,,,-22.9414,,,,,0.0000,1.6895,,,,,2.2235,,,,,-18.8521,,,,
2026-04-03,126250580626.24,2.2182,,,,,-22.8864,,,,,0.0000,1.6855,,,,,2.2182,,,,,-18.8070,,,,
2026-04-02,131555226871.04,2.3114,,,,,-23.8480,,,,,0.0000,1.7563,,,,,2.3114,,,,,-19.5972,,,,
2026-04-01,135571601884.96,2.3820,,,,,-24.5761,,,,,0.0000,1.8099,,,,,2.3820,,,,,-20.1955,,,,
2026-03-31,132919278762.56,2.3354,,,,,-24.0953,,,,,0.0000,1.7745,,,,,2.3354,,,,,-19.8004,,,,
2026-03-30,136102033732.44,2.3913,,,,,-24.6723,,,,,0.0000,1.8170,,,,,2.3913,,,,,-20.2745,,,,
2026-03-27,140345749706.28,2.4658,,,,,-25.4416,,,,,0.0000,1.8737,,,,,2.4658,,,,,-20.9067,,,,
2026-03-26,139209040070.43,2.4459,,,,,-25.2355,,,,,0.0000,1.8585,,,,,2.4459,,,,,-20.7373,,,,
2026-03-25,143149633474.71,2.5151,,,,,-25.9498,,,,,0.0000,1.9111,,,,,2.5151,,,,,-21.3243,,,,
2026-03-24,144286343110.56,2.5351,,,,,-26.1559,,,,,0.0000,1.9263,,,,,2.5351,,,,,-21.4937,,,,
2026-03-23,142543388335.59,2.5045,,,,,-25.8399,,,,,0.0000,1.9030,,,,,2.5045,,,,,-21.2340,,,,
2026-03-20,143907439898.61,2.5284,,,,,-26.0872,,,,,0.0000,1.9212,,,,,2.5284,,,,,-21.4372,,,,
2026-03-19,140345749706.28,2.4658,,,,,-25.4416,,,,,0.0000,1.8737,,,,,2.4658,,,,,-20.9067,,,,
2026-03-18,140497310991.06,2.4685,,,,,-25.4690,,,,,0.0000,1.8757,,,,,2.4685,,,,,-20.9292,,,,
2026-03-17,142391827050.81,2.5018,,,,,-25.8125,,,,,0.0000,1.9010,,,,,2.5018,,,,,-21.2115,,,,
2026-03-16,141558239984.52,2.4871,,,,,-25.6614,,,,,0.0000,1.8899,,,,,2.4871,,,,,-21.0873,,,,
2026-03-13,142998072189.93,2.5124,,,,,-25.9224,,,,,0.0000,1.9091,,,,,2.5124,,,,,-21.3018,,,,
2026-03-12,143528536686.66,2.5218,,,,,-26.0185,,,,,0.0000,1.9162,,,,,2.5218,,,,,-21.3808,,,,
2026-03-11,142391827050.81,2.5018,,,,,-25.8125,,,,,0.0000,1.9010,,,,,2.5018,,,,,-21.2115,,,,
2026-03-10,140648872275.84,2.4712,,,,,-25.4965,,,,,0.0000,1.8777,,,,,2.4712,,,,,-20.9518,,,,
2026-03-09,139360601355.21,2.4485,,,,,-25.2630,,,,,0.0000,1.8605,,,,,2.4485,,,,,-20.7599,,,,
2026-03-06,136405156302.0,2.3966,,,,,-24.7272,,,,,0.0000,1.8211,,,,,2.3966,,,,,-20.3197,,,,
2026-03-05,134586420884.64,2.3647,,,,,-24.3975,,,,,0.0000,1.7968,,,,,2.3647,,,,,-20.0487,,,,
2026-03-04,133828614460.74,2.3513,,,,,-24.2602,,,,,0.0000,1.7867,,,,,2.3513,,,,,-19.9358,,,,
2026-03-03,136329375659.61,2.3953,,,,,-24.7135,,,,,0.0000,1.8201,,,,,2.3953,,,,,-20.3084,,,,
2026-03-02,137314524010.68,2.4126,,,,,-24.8921,,,,,0.0000,1.8332,,,,,2.4126,,,,,-20.4551,,,,
2026-02-27,138830136858.48,2.4392,,,,,-25.1668,,,,,0.0000,1.8534,,,,,2.4392,,,,,-20.6809,,,,
2026-02-26,138451233646.53,2.4326,,,,,-25.0981,,,,,0.0000,1.8484,,,,,2.4326,,,,,-20.6244,,,,
2026-02-25,140724652918.23,2.4725,,,,,-25.5103,,,,,0.0000,1.8787,,,,,2.4725,,,,,-20.9631,,,,
2026-02-24,138527014288.92,2.4339,,,,,-25.1119,,,,,0.0000,1.8494,,,,,2.4339,,,,,-20.6357,,,,
2026-02-13,137390304653.07,2.4139,,,,,-24.9058,,,,,0.0000,1.8342,,,,,2.4139,,,,,-20.4664,,,,
2026-02-12,140118407779.11,2.4618,,,,,-25.4004,,,,,0.0000,1.8706,,,,,2.4618,,,,,-20.8728,,,,
2026-02-11,140876214203.01,2.4752,,,,,-25.5377,,,,,0.0000,1.8808,,,,,2.4752,,,,,-20.9857,,,,
2026-02-10,142543388335.59,2.5045,,,,,-25.8399,,,,,0.0000,1.9030,,,,,2.5045,,,,,-21.2340,,,,
2026-02-09,145347272104.02,2.5537,,,,,-26.3482,,,,,0.0000,1.9404,,,,,2.5537,,,,,-21.6517,,,,
2026-02-06,139133259428.04,2.4445,,,,,-25.2218,,,,,0.0000,1.8575,,,,,2.4445,,,,,-20.7260,,,,
2026-02-05,138148111076.97,2.4272,,,,,-25.0432,,,,,0.0000,1.8443,,,,,2.4272,,,,,-20.5793,,,,
2026-02-04,146332420455.09,2.5710,,,,,-26.5268,,,,,0.0000,1.9536,,,,,2.5710,,,,,-21.7985,,,,
2026-02-03,140724652918.23,2.4725,,,,,-25.5103,,,,,0.0000,1.8787,,,,,2.4725,,,,,-20.9631,,,,
2026-02-02,133677053175.96,2.3487,,,,,-24.2327,,,,,0.0000,1.7846,,,,,2.3487,,,,,-19.9133,,,,
2026-01-30,135495788593.32,2.3806,,,,,-24.5624,,,,,0.0000,1.8089,,,,,2.3806,,,,,-20.1842,,,,
2026-01-29,142240265766.03,2.4991,,,,,-25.7850,,,,,0.0000,1.8990,,,,,2.4991,,,,,-21.1889,,,,
2026-01-28,142619168977.98,2.5058,,,,,-25.8537,,,,,0.0000,1.9040,,,,,2.5058,,,,,-21.2453,,,,
2026-01-27,145498833388.8,2.5564,,,,,-26.3757,,,,,0.0000,1.9425,,,,,2.5564,,,,,-21.6743,,,,
2026-01-26,144665246322.51,2.5417,,,,,-26.2246,,,,,0.0000,1.9313,,,,,2.5417,,,,,-21.5501,,,,
2026-01-23,146635543024.65,2.5764,,,,,-26.5818,,,,,0.0000,1.9576,,,,,2.5764,,,,,-21.8436,,,,
2026-01-22,133298149964.01,2.3420,,,,,-24.1640,,,,,0.0000,1.7796,,,,,2.3420,,,,,-19.8568,,,,
2026-01-21,130494266195.58,2.2928,,,,,-23.6557,,,,,0.0000,1.7422,,,,,2.2928,,,,,-19.4391,,,,
2026-01-20,131706756473.82,2.3141,,,,,-23.8755,,,,,0.0000,1.7583,,,,,2.3141,,,,,-19.6198,,,,
2026-01-19,138830136858.48,2.4392,,,,,-25.1668,,,,,0.0000,1.8534,,,,,2.4392,,,,,-20.6809,,,,
2026-01-16,141937143196.47,2.4938,,,,,-25.7300,,,,,0.0000,1.8949,,,,,2.4938,,,,,-21.1437,,,,
2026-01-15,140194188421.5,2.4632,,,,,-25.4141,,,,,0.0000,1.8716,,,,,2.4632,,,,,-20.8841,,,,
2026-01-14,140876214203.01,2.4752,,,,,-25.5377,,,,,0.0000,1.8808,,,,,2.4752,,,,,-20.9857,,,,
2026-01-13,140194188421.5,2.4632,,,,,-25.4141,,,,,0.0000,1.8716,,,,,2.4632,,,,,-20.8841,,,,
2026-01-12,145726175315.97,2.5604,,,,,-26.4169,,,,,0.0000,1.9455,,,,,2.5604,,,,,-21.7082,,,,
2026-01-09,139360601355.21,2.4485,,,,,-25.2630,,,,,0.0000,1.8605,,,,,2.4485,,,,,-20.7599,,,,
2026-01-08,142240265766.03,2.4991,,,,,-25.7850,,,,,0.0000,1.8990,,,,,2.4991,,,,,-21.1889,,,,
2026-01-07,141330898057.35,2.4831,,,,,-25.6201,,,,,0.0000,1.8868,,,,,2.4831,,,,,-21.0534,,,,
2026-01-06,142694949620.37,2.5071,,,,,-25.8674,,,,,0.0000,1.9050,,,,,2.5071,,,,,-21.2566,,,,
2026-01-05,140118407779.11,2.4618,,,,,-25.4004,,,,,0.0000,1.8706,,,,,2.4618,,,,,-20.8728,,,,
2025-12-31,137920769149.8,2.4232,,,,,-25.0020,,,,,0.0000,1.8413,,,,,2.4232,,,,,-20.5454,,,,
2025-12-30,139739428797.2,2.4552,,,,,-25.3317,,,,,0.0000,1.8656,,,,,2.4552,,,,,-20.8163,,,,
2025-12-29,141709724431.0,2.4898,,,,,-25.6888,,,,,0.0000,1.8919,,,,,2.4898,,,,,-21.1099,,,,
2025-12-26,144134703672.6,2.5324,,,,,-26.1284,,,,,0.0000,1.9243,,,,,2.5324,,,,,-21.4711,,,,
2025-12-25,138451158575.1,2.4326,,,,,-25.0981,,,,,0.0000,1.8484,,,,,2.4326,,,,,-20.6244,,,,
2025-12-24,137390230156.9,2.4139,,,,,-24.9058,,,,,0.0000,1.8342,,,,,2.4139,,,,,-20.4664,,,,
2025-12-23,136556643542.6,2.3993,,,,,-24.7547,,,,,0.0000,1.8231,,,,,2.3993,,,,,-20.3422,,,,
2025-12-22,137238668954.3,2.4113,,,,,-24.8783,,,,,0.0000,1.8322,,,,,2.4113,,,,,-20.4438,,,,
2025-12-19,137011327150.4,2.4073,,,,,-24.8371,,,,,0.0000,1.8292,,,,,2.4073,,,,,-20.4100,,,,
2025-12-18,134131664301.0,2.3567,,,,,-24.3151,,,,,0.0000,1.7907,,,,,2.3567,,,,,-19.9810,,,,
2025-12-17,134737909111.4,2.3673,,,,,-24.4250,,,,,0.0000,1.7988,,,,,2.3673,,,,,-20.0713,,,,
2025-12-16,132312929869.8,2.3247,,,,,-23.9854,,,,,0.0000,1.7664,,,,,2.3247,,,,,-19.7101,,,,
2025-12-15,136405082340.0,2.3966,,,,,-24.7272,,,,,0.0000,1.8211,,,,,2.3966,,,,,-20.3196,,,,
2025-12-12,137844913764.7,2.4219,,,,,-24.9882,,,,,0.0000,1.8403,,,,,2.4219,,,,,-20.5341,,,,
2025-12-11,135495715124.4,2.3806,,,,,-24.5624,,,,,0.0000,1.8089,,,,,2.3806,,,,,-20.1842,,,,
2025-12-10,137920694366.0,2.4232,,,,,-25.0020,,,,,0.0000,1.8413,,,,,2.4232,,,,,-20.5454,,,,
2025-12-09,137920694366.0,2.4232,,,,,-25.0020,,,,,0.0000,1.8413,,,,,2.4232,,,,,-20.5454,,,,
2025-12-08,137011327150.4,2.4073,,,,,-24.8371,,,,,0.0000,1.8292,,,,,2.4073,,,,,-20.4100,,,,
2025-12-05,136556643542.6,2.3993,,,,,-24.7547,,,,,0.0000,1.8231,,,,,2.3993,,,,,-20.3422,,,,
2025-12-04,135723056928.3,2.3846,,,,,-24.6036,,,,,0.0000,1.8120,,,,,2.3846,,,,,-20.2180,,,,
2025-12-03,136556643542.6,2.3993,,,,,-24.7547,,,,,0.0000,1.8231,,,,,2.3993,,,,,-20.3422,,,,
2025-12-02,138754280980.3,2.4379,,,,,-25.1531,,,,,0.0000,1.8524,,,,,2.4379,,,,,-20.6696,,,,
2025-12-01,142088627437.5,2.4965,,,,,-25.7575,,,,,0.0000,1.8969,,,,,2.4965,,,,,-21.1663,,,,
2025-11-28,140724576614.1,2.4725,,,,,-25.5102,,,,,0.0000,1.8787,,,,,2.4725,,,,,-20.9631,,,,
2025-11-27,140800357215.4,2.4738,,,,,-25.5240,,,,,0.0000,1.8797,,,,,2.4738,,,,,-20.9744,,,,
2025-11-26,142543311045.3,2.5045,,,,,-25.8399,,,,,0.0000,1.9030,,,,,2.5045,,,,,-21.2340,,,,
2025-11-25,143831581267.4,2.5271,,,,,-26.0735,,,,,0.0000,1.9202,,,,,2.5271,,,,,-21.4259,,,,
2025-11-24,142164408038.8,2.4978,,,,,-25.7712,,,,,0.0000,1.8980,,,,,2.4978,,,,,-21.1776,,,,
2025-11-21,142770652849.2,2.5084,,,,,-25.8811,,,,,0.0000,1.9060,,,,,2.5084,,,,,-21.2679,,,,
2025-11-20,152319008613.0,2.6762,,,,,-27.6121,,,,,0.0000,2.0335,,,,,2.6762,,,,,-22.6903,,,,
2025-11-19,160654874756.0,2.8227,,,,,-29.1232,,,,,0.0000,2.1448,,,,,2.8227,,,,,-23.9320,,,,
2025-11-18,160275971749.5,2.8160,,,,,-29.0545,,,,,0.0000,2.1397,,,,,2.8160,,,,,-23.8756,,,,
2025-11-17,164368124219.7,2.8879,,,,,-29.7963,,,,,0.0000,2.1944,,,,,2.8879,,,,,-24.4852,,,,
2025-11-14,165807955644.4,2.9132,,,,,-30.0573,,,,,0.0000,2.2136,,,,,2.9132,,,,,-24.6997,,,,
2025-11-13,161412680769.0,2.8360,,,,,-29.2605,,,,,0.0000,2.1549,,,,,2.8360,,,,,-24.0449,,,,
2025-11-12,157547870102.7,2.7681,,,,,-28.5599,,,,,0.0000,2.1033,,,,,2.7681,,,,,-23.4692,,,,
2025-11-11,170051669317.2,2.9878,,,,,-30.8266,,,,,0.0000,2.2703,,,,,2.9878,,,,,-25.3318,,,,
2025-11-10,172779770964.0,3.0357,,,,,-31.3211,,,,,0.0000,2.3067,,,,,3.0357,,,,,-25.7382,,,,
2025-11-07,169975888715.9,2.9864,,,,,-30.8128,,,,,0.0000,2.2692,,,,,2.9864,,,,,-25.3205,,,,
2025-11-06,164974369030.1,2.8986,,,,,-29.9062,,,,,0.0000,2.2025,,,,,2.8986,,,,,-24.5755,,,,
2025-11-05,165580613840.5,2.9092,,,,,-30.0161,,,,,0.0000,2.2106,,,,,2.9092,,,,,-24.6658,,,,
2025-11-04,161791583775.5,2.8426,,,,,-29.3292,,,,,0.0000,2.1600,,,,,2.8426,,,,,-24.1014,,,,
2025-11-03,164898588428.8,2.8972,,,,,-29.8924,,,,,0.0000,2.2015,,,,,2.8972,,,,,-24.5642,,,,
2025-10-31,159972849344.3,2.8107,,,,,-28.9995,,,,,0.0000,2.1357,,,,,2.8107,,,,,-23.8304,,,,
2025-10-30,163004073396.3,2.8197,,,,,-27.4254,,,,,0.0000,2.1206,,,,,2.8197,,,,,-24.0605,,,,
2025-10-29,157547870102.7,2.7253,,,,,-26.5074,,,,,0.0000,2.0496,,,,,2.7253,,,,,-23.2551,,,,
2025-10-28,143225336457.0,2.4775,,,,,-24.0976,,,,,0.0000,1.8633,,,,,2.4775,,,,,-21.1410,,,,
2025-10-27,144437826077.8,2.4985,,,,,-24.3016,,,,,0.0000,1.8791,,,,,2.4985,,,,,-21.3200,,,,
2025-10-24,142770652849.2,2.4697,,,,,-24.0211,,,,,0.0000,1.8574,,,,,2.4697,,,,,-21.0739,,,,
2025-10-23,144286264875.2,2.4959,,,,,-24.2761,,,,,0.0000,1.8771,,,,,2.4959,,,,,-21.2976,,,,
2025-10-22,142240188640.1,2.4605,,,,,-23.9319,,,,,0.0000,1.8505,,,,,2.4605,,,,,-20.9956,,,,
2025-10-21,144058923071.3,2.4920,,,,,-24.2379,,,,,0.0000,1.8741,,,,,2.4920,,,,,-21.2641,,,,
2025-10-20,144437826077.8,2.4985,,,,,-24.3016,,,,,0.0000,1.8791,,,,,2.4985,,,,,-21.3200,,,,
2025-10-17,149287784561.0,2.5824,,,,,-25.1176,,,,,0.0000,1.9422,,,,,2.5824,,,,,-22.0359,,,,
2025-10-16,153455717632.5,2.6545,,,,,-25.8189,,,,,0.0000,1.9964,,,,,2.6545,,,,,-22.6511,,,,
2025-10-15,149439345763.6,2.5850,,,,,-25.1431,,,,,0.0000,1.9441,,,,,2.5850,,,,,-22.0582,,,,
2025-10-14,146104999306.4,2.5274,,,,,-24.5821,,,,,0.0000,1.9008,,,,,2.5274,,,,,-21.5661,,,,
2025-10-13,137390230156.9,2.3766,,,,,-23.1159,,,,,0.0000,1.7874,,,,,2.3766,,,,,-20.2797,,,,
2025-10-10,139436306392.0,2.4120,,,,,-23.4601,,,,,0.0000,1.8140,,,,,2.4120,,,,,-20.5817,,,,
2025-10-09,143073775254.4,2.4749,,,,,-24.0721,,,,,0.0000,1.8613,,,,,2.4749,,,,,-21.1186,,,,
2025-09-30,136405082340.0,2.3596,,,,,-22.9501,,,,,0.0000,1.7746,,,,,2.3596,,,,,-20.1343,,,,
2025-09-29,133222290070.98,2.3045,,,,,-22.4146,,,,,0.0000,1.7332,,,,,2.3045,,,,,-19.6645,,,,
2025-09-26,132616045292.5,2.2940,,,,,-22.3126,,,,,0.0000,1.7253,,,,,2.2940,,,,,-19.5750,,,,
2025-09-25,134586340822.56,2.3281,,,,,-22.6441,,,,,0.0000,1.7509,,,,,2.3281,,,,,-19.8658,,,,
2025-09-24,131858239319.4,2.2809,,,,,-22.1851,,,,,0.0000,1.7154,,,,,2.2809,,,,,-19.4632,,,,
2025-09-23,123446593017.99,2.1354,,,,,-20.7699,,,,,0.0000,1.6060,,,,,2.1354,,,,,-18.2215,,,,
2025-09-22,125795791534.6,2.1760,,,,,-21.1651,,,,,0.0000,1.6365,,,,,2.1760,,,,,-18.5683,,,,
2025-09-19,128069209453.9,2.2154,,,,,-21.5476,,,,,0.0000,1.6661,,,,,2.2154,,,,,-18.9039,,,,
2025-09-18,127462964675.42,2.2049,,,,,-21.4456,,,,,0.0000,1.6582,,,,,2.2049,,,,,-18.8144,,,,
2025-09-17,131100433346.3,2.2678,,,,,-22.0576,,,,,0.0000,1.7056,,,,,2.2678,,,,,-19.3513,,,,
2025-09-16,129205918413.55,2.2350,,,,,-21.7389,,,,,0.0000,1.6809,,,,,2.2350,,,,,-19.0717,,,,
2025-09-15,130039504983.96,2.2495,,,,,-21.8791,,,,,0.0000,1.6918,,,,,2.2495,,,,,-19.1947,,,,
2025-09-12,129736382594.72,2.2442,,,,,-21.8281,,,,,0.0000,1.6878,,,,,2.2442,,,,,-19.1500,,,,
2025-09-11,130948872151.68,2.2652,,,,,-22.0321,,,,,0.0000,1.7036,,,,,2.2652,,,,,-19.3289,,,,
2025-09-10,130342627373.2,2.2547,,,,,-21.9301,,,,,0.0000,1.6957,,,,,2.2547,,,,,-19.2394,,,,
2025-09-09,133449631862.91,2.3084,,,,,-22.4529,,,,,0.0000,1.7361,,,,,2.3084,,,,,-19.6981,,,,
2025-09-08,136329294560.69,2.3583,,,,,-22.9374,,,,,0.0000,1.7736,,,,,2.3583,,,,,-20.1231,,,,
2025-09-05,137162881131.1,2.3727,,,,,-23.0776,,,,,0.0000,1.7844,,,,,2.3727,,,,,-20.2462,,,,
2025-09-04,131858239319.4,2.2809,,,,,-22.1851,,,,,0.0000,1.7154,,,,,2.2809,,,,,-19.4632,,,,
2025-09-03,130191066178.58,2.2521,,,,,-21.9046,,,,,0.0000,1.6937,,,,,2.2521,,,,,-19.2171,,,,
2025-09-02,126856719896.94,2.1944,,,,,-21.3436,,,,,0.0000,1.6503,,,,,2.1944,,,,,-18.7249,,,,
2025-09-01,129433260205.48,2.2390,,,,,-21.7771,,,,,0.0000,1.6839,,,,,2.2390,,,,,-19.1052,,,,
2025-08-29,130115285581.27,2.2508,,,,,-21.8919,,,,,0.0000,1.6927,,,,,2.2508,,,,,-19.2059,,,,
