date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-12,72132605627.6,4.7416,,,,,0.0248,41.9155,,,,,8.3864,,,,,37.9180,,,,,4.7416,,,,
2026-06-11,71402591803.5,4.6937,,,,,0.0251,41.4913,,,,,8.3015,,,,,37.5342,,,,,4.6937,,,,
2026-06-10,70889772175.0,4.6599,,,,,0.0253,41.1933,,,,,8.2419,,,,,37.2646,,,,,4.6599,,,,
2026-06-09,70563980881.6,4.6385,,,,,0.0254,41.0040,,,,,8.2040,,,,,37.0934,,,,,4.6385,,,,
2026-06-08,71867146055.2,4.7242,,,,,0.0249,41.7612,,,,,8.3555,,,,,37.7784,,,,,4.7242,,,,
2026-06-05,73297007842.9,4.8182,,,,,0.0244,42.5921,,,,,8.5218,,,,,38.5301,,,,,4.8182,,,,
2026-06-04,73200477089.3,4.8118,,,,,0.0245,42.5360,,,,,8.5105,,,,,38.4793,,,,,4.8118,,,,
2026-06-03,74986296030.9,4.9292,,,,,0.0239,43.5737,,,,,8.7182,,,,,39.4181,,,,,4.9292,,,,
2026-06-02,75112992645.0,4.9376,,,,,0.0239,43.6474,,,,,8.7329,,,,,39.4847,,,,,4.9376,,,,
2026-06-01,77773621541.1,5.1125,,,,,0.0230,45.1934,,,,,9.0422,,,,,40.8833,,,,,5.1125,,,,
2026-05-29,77471962936.1,5.0926,,,,,0.0231,45.0181,,,,,9.0071,,,,,40.7247,,,,,5.0926,,,,
2026-05-28,73019481926.3,4.7999,,,,,0.0245,42.4308,,,,,8.4895,,,,,38.3842,,,,,4.7999,,,,
2026-05-27,74859599416.8,4.9209,,,,,0.0239,43.5001,,,,,8.7034,,,,,39.3515,,,,,4.9209,,,,
2026-05-26,74208016830.0,4.8781,,,,,0.0241,43.1215,,,,,8.6277,,,,,39.0089,,,,,4.8781,,,,
2026-05-25,74787201351.6,4.9161,,,,,0.0240,43.4580,,,,,8.6950,,,,,39.3134,,,,,4.9161,,,,
2026-05-22,74859599416.8,4.9209,,,,,0.0239,43.5001,,,,,8.7034,,,,,39.3515,,,,,4.9209,,,,
2026-05-21,76084333353.1,5.0014,,,,,0.0236,44.2118,,,,,8.8458,,,,,39.9953,,,,,5.0014,,,,
2026-05-20,76922944275.0,5.0565,,,,,0.0233,44.6991,,,,,8.9433,,,,,40.4361,,,,,5.0565,,,,
2026-05-19,77520228312.9,5.0958,,,,,0.0231,45.0462,,,,,9.0128,,,,,40.7501,,,,,5.0958,,,,
2026-05-18,78672564184.0,5.1716,,,,,0.0228,45.7158,,,,,9.1467,,,,,41.3558,,,,,5.1716,,,,
2026-05-15,81634851685.1,5.3663,,,,,0.0219,47.4371,,,,,9.4911,,,,,42.9130,,,,,5.3663,,,,
2026-05-14,83263808152.1,5.4734,,,,,0.0215,48.3837,,,,,9.6805,,,,,43.7693,,,,,5.4734,,,,
2026-05-13,83167277398.5,5.4670,,,,,0.0215,48.3276,,,,,9.6693,,,,,43.7186,,,,,5.4670,,,,
2026-05-12,84174817139.2,5.5332,,,,,0.0213,48.9131,,,,,9.7864,,,,,44.2482,,,,,5.5332,,,,
2026-05-11,85007394889.0,5.5880,,,,,0.0211,49.3969,,,,,9.8832,,,,,44.6859,,,,,5.5880,,,,
2026-05-08,85176323707.8,5.5991,,,,,0.0210,49.4951,,,,,9.9029,,,,,44.7747,,,,,5.5991,,,,
2026-05-07,85182356879.9,5.5995,,,,,0.0210,49.4986,,,,,9.9036,,,,,44.7778,,,,,5.5995,,,,
2026-05-06,85248721773.0,5.6038,,,,,0.0210,49.5371,,,,,9.9113,,,,,44.8127,,,,,5.6038,,,,
2026-04-30,86606185495.5,5.6931,,,,,0.0207,50.3259,,,,,10.0691,,,,,45.5263,,,,,5.6931,,,,
2026-04-29,84054153697.2,5.8080,,,,,0.0231,37.9198,,,,,8.5946,,,,,34.7379,,,,,5.8080,,,,
2026-04-28,84011921492.5,5.8050,,,,,0.0231,37.9007,,,,,8.5903,,,,,34.7205,,,,,5.8050,,,,
2026-04-27,84651437735.1,5.8492,,,,,0.0229,38.1892,,,,,8.6556,,,,,34.9848,,,,,5.8492,,,,
2026-04-24,85586579410.6,5.9138,,,,,0.0227,38.6111,,,,,8.7513,,,,,35.3712,,,,,5.9138,,,,
2026-04-23,85930470220.3,5.9376,,,,,0.0226,38.7663,,,,,8.7864,,,,,35.5134,,,,,5.9376,,,,
2026-04-22,85622778443.2,5.9163,,,,,0.0227,38.6274,,,,,8.7550,,,,,35.3862,,,,,5.9163,,,,
2026-04-21,86944043133.1,6.0076,,,,,0.0223,39.2235,,,,,8.8901,,,,,35.9323,,,,,6.0076,,,,
2026-04-20,87529260826.8,6.0481,,,,,0.0222,39.4875,,,,,8.9499,,,,,36.1741,,,,,6.0481,,,,
2026-04-17,88271340995.1,6.0994,,,,,0.0220,39.8223,,,,,9.0258,,,,,36.4808,,,,,6.0994,,,,
2026-04-16,89333179284.7,6.1727,,,,,0.0217,40.3013,,,,,9.1344,,,,,36.9196,,,,,6.1727,,,,
2026-04-15,89882197945.8,6.2107,,,,,0.0216,40.5490,,,,,9.1905,,,,,37.1465,,,,,6.2107,,,,
2026-04-14,89628804717.6,6.1931,,,,,0.0217,40.4347,,,,,9.1646,,,,,37.0418,,,,,6.1931,,,,
2026-04-13,89755501331.7,6.2019,,,,,0.0216,40.4919,,,,,9.1775,,,,,37.0942,,,,,6.2019,,,,
2026-04-10,90919903547.0,6.2824,,,,,0.0214,41.0172,,,,,9.2966,,,,,37.5754,,,,,6.2824,,,,
2026-04-09,91034533816.9,6.2903,,,,,0.0213,41.0689,,,,,9.3083,,,,,37.6228,,,,,6.2903,,,,
2026-04-08,92192902860.1,6.3703,,,,,0.0211,41.5915,,,,,9.4268,,,,,38.1015,,,,,6.3703,,,,
2026-04-07,90859571826.0,6.2782,,,,,0.0214,40.9899,,,,,9.2904,,,,,37.5505,,,,,6.2782,,,,
2026-04-03,91118998226.3,6.2961,,,,,0.0213,41.1070,,,,,9.3170,,,,,37.6577,,,,,6.2961,,,,
2026-04-02,91710249092.1,6.3370,,,,,0.0212,41.3737,,,,,9.3774,,,,,37.9020,,,,,6.3370,,,,
2026-04-01,92307533130.0,6.3782,,,,,0.0210,41.6432,,,,,9.4385,,,,,38.1489,,,,,6.3782,,,,
2026-03-31,91161230431.0,6.2990,,,,,0.0213,41.1260,,,,,9.3213,,,,,37.6751,,,,,6.2990,,,,
2026-03-30,92005874525.0,6.3574,,,,,0.0211,41.5071,,,,,9.4076,,,,,38.0242,,,,,6.3574,,,,
2026-03-27,92265300925.3,6.3753,,,,,0.0211,41.6241,,,,,9.4342,,,,,38.1314,,,,,6.3753,,,,
2026-03-26,91794713501.5,6.3428,,,,,0.0212,41.4118,,,,,9.3861,,,,,37.9369,,,,,6.3428,,,,
2026-03-25,92953082544.7,6.4228,,,,,0.0209,41.9344,,,,,9.5045,,,,,38.4157,,,,,6.4228,,,,
2026-03-24,92120504794.9,6.3653,,,,,0.0211,41.5588,,,,,9.4194,,,,,38.0716,,,,,6.3653,,,,
2026-03-23,91740414952.6,6.3391,,,,,0.0212,41.3873,,,,,9.3805,,,,,37.9145,,,,,6.3391,,,,
2026-03-20,94286413578.8,6.5150,,,,,0.0206,42.5359,,,,,9.6408,,,,,38.9667,,,,,6.5150,,,,
2026-03-19,94720801970.0,6.5450,,,,,0.0205,42.7319,,,,,9.6852,,,,,39.1462,,,,,6.5450,,,,
2026-03-18,95505114343.0,6.5992,,,,,0.0203,43.0857,,,,,9.7654,,,,,39.4704,,,,,6.5992,,,,
2026-03-17,96458355534.8,6.6651,,,,,0.0201,43.5158,,,,,9.8629,,,,,39.8643,,,,,6.6651,,,,
2026-03-16,97206468875.2,6.7167,,,,,0.0200,43.8533,,,,,9.9394,,,,,40.1735,,,,,6.7167,,,,
2026-03-13,94370877988.2,6.5208,,,,,0.0206,42.5740,,,,,9.6495,,,,,39.0016,,,,,6.5208,,,,
2026-03-12,94358811644.0,6.5200,,,,,0.0206,42.5686,,,,,9.6482,,,,,38.9966,,,,,6.5200,,,,
2026-03-11,95112958156.5,6.5721,,,,,0.0204,42.9088,,,,,9.7253,,,,,39.3083,,,,,6.5721,,,,
2026-03-10,95450815794.1,6.5954,,,,,0.0204,43.0612,,,,,9.7599,,,,,39.4479,,,,,6.5954,,,,
2026-03-09,94793200035.2,6.5500,,,,,0.0205,42.7645,,,,,9.6926,,,,,39.1762,,,,,6.5500,,,,
2026-03-06,95523213859.3,6.6004,,,,,0.0203,43.0939,,,,,9.7673,,,,,39.4779,,,,,6.6004,,,,
2026-03-05,94720801970.0,6.5450,,,,,0.0205,42.7319,,,,,9.6852,,,,,39.1462,,,,,6.5450,,,,
2026-03-04,94382944332.4,6.5216,,,,,0.0206,42.5795,,,,,9.6507,,,,,39.0066,,,,,6.5216,,,,
2026-03-03,95806772948.0,6.6200,,,,,0.0203,43.2218,,,,,9.7963,,,,,39.5950,,,,,6.6200,,,,
2026-03-02,96229094995.0,6.6492,,,,,0.0202,43.4123,,,,,9.8395,,,,,39.7696,,,,,6.6492,,,,
2026-02-27,98485501360.4,6.8051,,,,,0.0197,44.4303,,,,,10.0702,,,,,40.7021,,,,,6.8051,,,,
2026-02-26,98340705230.0,6.7951,,,,,0.0198,44.3650,,,,,10.0554,,,,,40.6423,,,,,6.7951,,,,
2026-02-25,100072225622.7,6.9148,,,,,0.0194,45.1461,,,,,10.2324,,,,,41.3579,,,,,6.9148,,,,
2026-02-24,100349751539.3,6.9339,,,,,0.0194,45.2713,,,,,10.2608,,,,,41.4726,,,,,6.9339,,,,
2026-02-13,101079765363.4,6.9844,,,,,0.0192,45.6006,,,,,10.3355,,,,,41.7743,,,,,6.9844,,,,
2026-02-12,100120490999.5,6.9181,,,,,0.0194,45.1679,,,,,10.2374,,,,,41.3778,,,,,6.9181,,,,
2026-02-11,101109931223.9,6.9865,,,,,0.0192,45.6142,,,,,10.3385,,,,,41.7867,,,,,6.9865,,,,
2026-02-10,99975694869.1,6.9081,,,,,0.0194,45.1026,,,,,10.2226,,,,,41.3180,,,,,6.9081,,,,
2026-02-09,102014907038.9,7.0490,,,,,0.0190,46.0225,,,,,10.4311,,,,,42.1607,,,,,7.0490,,,,
2026-02-06,102563925700.0,7.0869,,,,,0.0189,46.2702,,,,,10.4872,,,,,42.3876,,,,,7.0869,,,,
2026-02-05,102829385272.4,7.1053,,,,,0.0189,46.3900,,,,,10.5144,,,,,42.4974,,,,,7.1053,,,,
2026-02-04,98877657546.9,6.8322,,,,,0.0196,44.6072,,,,,10.1103,,,,,40.8642,,,,,6.8322,,,,
2026-02-03,96953075647.0,6.6992,,,,,0.0200,43.7389,,,,,9.9135,,,,,40.0688,,,,,6.6992,,,,
2026-02-02,96772080484.0,6.6867,,,,,0.0201,43.6573,,,,,9.8950,,,,,39.9940,,,,,6.6867,,,,
2026-01-30,96772080484.0,6.6867,,,,,0.0201,43.6573,,,,,9.8950,,,,,39.9940,,,,,6.6867,,,,
2026-01-29,100633310628.0,6.9535,,,,,0.0193,45.3992,,,,,10.2898,,,,,41.5898,,,,,6.9535,,,,
2026-01-28,94177816481.0,6.5075,,,,,0.0206,42.4869,,,,,9.6297,,,,,38.9218,,,,,6.5075,,,,
2026-01-27,95022460575.0,6.5658,,,,,0.0204,42.8680,,,,,9.7161,,,,,39.2709,,,,,6.5658,,,,
2026-01-26,96711748763.0,6.6826,,,,,0.0201,43.6301,,,,,9.8888,,,,,39.9691,,,,,6.6826,,,,
2026-01-23,97888217322.5,6.7639,,,,,0.0198,44.1608,,,,,10.0091,,,,,40.4553,,,,,6.7639,,,,
2026-01-22,99197415668.2,6.8543,,,,,0.0196,44.7514,,,,,10.1430,,,,,40.9963,,,,,6.8543,,,,
2026-01-21,100198922236.8,6.9235,,,,,0.0194,45.2033,,,,,10.2454,,,,,41.4102,,,,,6.9235,,,,
2026-01-20,100886703856.2,6.9710,,,,,0.0193,45.5135,,,,,10.3157,,,,,41.6945,,,,,6.9710,,,,
2026-01-19,101248694182.2,6.9961,,,,,0.0192,45.6768,,,,,10.3527,,,,,41.8441,,,,,6.9961,,,,
2026-01-16,101779613327.0,7.0327,,,,,0.0191,45.9164,,,,,10.4070,,,,,42.0635,,,,,7.0327,,,,
2026-01-15,102250200750.8,7.0653,,,,,0.0190,46.1287,,,,,10.4551,,,,,42.2580,,,,,7.0653,,,,
2026-01-14,102244167578.7,7.0648,,,,,0.0190,46.1259,,,,,10.4545,,,,,42.2555,,,,,7.0648,,,,
2026-01-13,103595598129.1,7.1582,,,,,0.0188,46.7356,,,,,10.5927,,,,,42.8140,,,,,7.1582,,,,
2026-01-12,104542806148.8,7.2237,,,,,0.0186,47.1629,,,,,10.6896,,,,,43.2055,,,,,7.2237,,,,
2026-01-09,103776593292.1,7.1707,,,,,0.0187,46.8173,,,,,10.6112,,,,,42.8888,,,,,7.1707,,,,
2026-01-08,103601631301.2,7.1586,,,,,0.0188,46.7383,,,,,10.5933,,,,,42.8165,,,,,7.1586,,,,
2026-01-07,102672522797.8,7.0944,,,,,0.0189,46.3192,,,,,10.4983,,,,,42.4325,,,,,7.0944,,,,
2026-01-06,103499067375.5,7.1516,,,,,0.0188,46.6921,,,,,10.5828,,,,,42.7741,,,,,7.1516,,,,
2026-01-05,102738887690.9,7.0990,,,,,0.0189,46.3491,,,,,10.5051,,,,,42.4600,,,,,7.0990,,,,
2025-12-31,101827878703.8,7.0361,,,,,0.0191,45.9381,,,,,10.4119,,,,,42.0835,,,,,7.0361,,,,
2025-12-30,102020940211.0,7.0494,,,,,0.0190,46.0252,,,,,10.4317,,,,,42.1632,,,,,7.0494,,,,
2025-12-29,102750954035.1,7.0999,,,,,0.0189,46.3546,,,,,10.5063,,,,,42.4649,,,,,7.0999,,,,
2025-12-26,102684589142.0,7.0953,,,,,0.0189,46.3246,,,,,10.4995,,,,,42.4375,,,,,7.0953,,,,
2025-12-25,102708721830.4,7.0969,,,,,0.0189,46.3355,,,,,10.5020,,,,,42.4475,,,,,7.0969,,,,
2025-12-24,102449295430.1,7.0790,,,,,0.0190,46.2185,,,,,10.4755,,,,,42.3403,,,,,7.0790,,,,
2025-12-23,102563925700.0,7.0869,,,,,0.0189,46.2702,,,,,10.4872,,,,,42.3876,,,,,7.0869,,,,
2025-12-22,103758493775.8,7.1695,,,,,0.0187,46.8091,,,,,10.6094,,,,,42.8813,,,,,7.1695,,,,
2025-12-19,104705701795.5,7.2349,,,,,0.0186,47.2364,,,,,10.7062,,,,,43.2728,,,,,7.2349,,,,
2025-12-18,104162716306.5,7.1974,,,,,0.0187,46.9915,,,,,10.6507,,,,,43.0484,,,,,7.1974,,,,
2025-12-17,103336171728.8,7.1403,,,,,0.0188,46.6186,,,,,10.5662,,,,,42.7068,,,,,7.1403,,,,
2025-12-16,103082778500.6,7.1228,,,,,0.0188,46.5043,,,,,10.5403,,,,,42.6021,,,,,7.1228,,,,
2025-12-15,103897256734.1,7.1791,,,,,0.0187,46.8717,,,,,10.6235,,,,,42.9387,,,,,7.1791,,,,
2025-12-12,103094844844.8,7.1236,,,,,0.0188,46.5097,,,,,10.5415,,,,,42.6071,,,,,7.1236,,,,
2025-12-11,103468901515.0,7.1495,,,,,0.0188,46.6785,,,,,10.5797,,,,,42.7617,,,,,7.1495,,,,
2025-12-10,104476441255.7,7.2191,,,,,0.0186,47.1330,,,,,10.6828,,,,,43.1781,,,,,7.2191,,,,
2025-12-09,101073732191.3,6.9840,,,,,0.0192,45.5979,,,,,10.3348,,,,,41.7718,,,,,6.9840,,,,
2025-12-08,102165736341.4,7.0594,,,,,0.0190,46.0906,,,,,10.4465,,,,,42.2231,,,,,7.0594,,,,
2025-12-05,101930442629.5,7.0432,,,,,0.0191,45.9844,,,,,10.4224,,,,,42.1258,,,,,7.0432,,,,
2025-12-04,101809779187.5,7.0348,,,,,0.0191,45.9300,,,,,10.4101,,,,,42.0760,,,,,7.0348,,,,
2025-12-03,103456835170.8,7.1486,,,,,0.0188,46.6730,,,,,10.5785,,,,,42.7567,,,,,7.1486,,,,
2025-12-02,102099371448.3,7.0548,,,,,0.0190,46.0606,,,,,10.4397,,,,,42.1957,,,,,7.0548,,,,
2025-12-01,103758493775.8,7.1695,,,,,0.0187,46.8091,,,,,10.6094,,,,,42.8813,,,,,7.1695,,,,
2025-11-28,103692128882.7,7.1649,,,,,0.0187,46.7792,,,,,10.6026,,,,,42.8539,,,,,7.1649,,,,
2025-11-27,105375383898.6,7.2812,,,,,0.0184,47.5385,,,,,10.7747,,,,,43.5496,,,,,7.2812,,,,
2025-11-26,106008866969.1,7.3250,,,,,0.0183,47.8243,,,,,10.8395,,,,,43.8114,,,,,7.3250,,,,
2025-11-25,106630283695.4,7.3679,,,,,0.0182,48.1047,,,,,10.9030,,,,,44.0682,,,,,7.3679,,,,
2025-11-24,106702681760.6,7.3729,,,,,0.0182,48.1373,,,,,10.9104,,,,,44.0981,,,,,7.3729,,,,
2025-11-21,106304492402.0,7.3454,,,,,0.0183,47.9577,,,,,10.8697,,,,,43.9336,,,,,7.3454,,,,
2025-11-20,106159696271.6,7.3354,,,,,0.0183,47.8924,,,,,10.8549,,,,,43.8737,,,,,7.3354,,,,
2025-11-19,106310525574.1,7.3458,,,,,0.0183,47.9604,,,,,10.8703,,,,,43.9360,,,,,7.3458,,,,
2025-11-18,106726814449.0,7.3746,,,,,0.0182,48.1482,,,,,10.9129,,,,,44.1081,,,,,7.3746,,,,
2025-11-17,107981714245.8,7.4613,,,,,0.0180,48.7144,,,,,11.0412,,,,,44.6267,,,,,7.4613,,,,
2025-11-14,109073718395.9,7.5367,,,,,0.0178,49.2070,,,,,11.1528,,,,,45.0780,,,,,7.5367,,,,
2025-11-13,109695135122.2,7.5797,,,,,0.0177,49.4873,,,,,11.2164,,,,,45.3348,,,,,7.5797,,,,
2025-11-12,109942495178.3,7.5968,,,,,0.0177,49.5989,,,,,11.2417,,,,,45.4371,,,,,7.5968,,,,
2025-11-11,108518666562.7,7.4984,,,,,0.0179,48.9566,,,,,11.0961,,,,,44.8486,,,,,7.4984,,,,
2025-11-10,109055618879.6,7.5355,,,,,0.0178,49.1988,,,,,11.1510,,,,,45.0705,,,,,7.5355,,,,
2025-11-07,105984734280.7,7.3233,,,,,0.0183,47.8134,,,,,10.8370,,,,,43.8014,,,,,7.3233,,,,
2025-11-06,106075231862.2,7.3296,,,,,0.0183,47.8543,,,,,10.8462,,,,,43.8388,,,,,7.3296,,,,
2025-11-05,105912336215.5,7.3183,,,,,0.0183,47.7808,,,,,10.8296,,,,,43.7715,,,,,7.3183,,,,
2025-11-04,106877643751.5,7.3850,,,,,0.0182,48.2163,,,,,10.9283,,,,,44.1704,,,,,7.3850,,,,
2025-11-03,107806752254.9,7.4492,,,,,0.0180,48.6354,,,,,11.0233,,,,,44.5544,,,,,7.4492,,,,
2025-10-31,107468894617.3,7.4259,,,,,0.0181,48.4830,,,,,10.9887,,,,,44.4148,,,,,7.4259,,,,
2025-10-30,106787146170.0,7.3788,,,,,0.0182,48.1754,,,,,10.9190,,,,,44.1330,,,,,7.3788,,,,
2025-10-29,107885183492.2,7.4546,,,,,0.0180,48.6708,,,,,11.0313,,,,,44.5868,,,,,7.4546,,,,
2025-10-28,107511126822.0,7.4288,,,,,0.0181,48.5021,,,,,10.9931,,,,,44.4322,,,,,7.4288,,,,
2025-10-27,107082771602.9,7.3992,,,,,0.0181,48.3088,,,,,10.9493,,,,,44.2552,,,,,7.3992,,,,
2025-10-24,109031486191.2,7.5338,,,,,0.0178,49.1879,,,,,11.1485,,,,,45.0606,,,,,7.5338,,,,
2025-10-23,109496040442.9,7.5659,,,,,0.0177,49.3975,,,,,11.1960,,,,,45.2526,,,,,7.5659,,,,
2025-10-22,109441741894.0,7.5622,,,,,0.0178,49.3730,,,,,11.1905,,,,,45.2301,,,,,7.5622,,,,
2025-10-21,111842944389.8,7.7281,,,,,0.0174,50.4563,,,,,11.4360,,,,,46.2225,,,,,7.7281,,,,
2025-10-20,112874616818.9,7.7994,,,,,0.0172,50.9217,,,,,11.5415,,,,,46.6489,,,,,7.7994,,,,
2025-10-17,118455301011.4,8.5962,,,,,0.0164,43.1830,,,,,11.2645,,,,,43.9086,,,,,8.5962,,,,
2025-10-16,119022419188.8,8.6374,,,,,0.0163,43.3897,,,,,11.3184,,,,,44.1188,,,,,8.6374,,,,
2025-10-15,117864050145.6,8.5533,,,,,0.0165,42.9674,,,,,11.2083,,,,,43.6894,,,,,8.5533,,,,
2025-10-14,117646855950.0,8.5376,,,,,0.0165,42.8883,,,,,11.1876,,,,,43.6089,,,,,8.5376,,,,
2025-10-13,117031472395.8,8.4929,,,,,0.0166,42.6639,,,,,11.1291,,,,,43.3808,,,,,8.4929,,,,
2025-10-10,118250173160.0,8.5813,,,,,0.0164,43.1082,,,,,11.2450,,,,,43.8325,,,,,8.5813,,,,
2025-10-09,118376869774.1,8.5905,,,,,0.0164,43.1544,,,,,11.2570,,,,,43.8795,,,,,8.5905,,,,
2025-09-30,118726793755.9,8.6159,,,,,0.0164,43.2820,,,,,11.2903,,,,,44.0092,,,,,8.6159,,,,
2025-09-29,119408542203.2,8.1649,,,,,0.0163,43.5305,,,,,11.3551,,,,,44.2619,,,,,8.1649,,,,
2025-09-26,119010352844.6,8.1377,,,,,0.0163,43.3853,,,,,11.3173,,,,,44.1143,,,,,8.1377,,,,
2025-09-25,119426641719.5,8.1662,,,,,0.0163,43.5371,,,,,11.3569,,,,,44.2686,,,,,8.1662,,,,
2025-09-24,119131016286.6,8.1460,,,,,0.0163,43.4293,,,,,11.3288,,,,,44.1590,,,,,8.1460,,,,
2025-09-23,118250173160.0,8.0857,,,,,0.0164,43.1082,,,,,11.2450,,,,,43.8325,,,,,8.0857,,,,
2025-09-22,119336144138.0,8.1600,,,,,0.0163,43.5041,,,,,11.3483,,,,,44.2351,,,,,8.1600,,,,
2025-09-19,120198887748.3,8.2190,,,,,0.0162,43.8186,,,,,11.4303,,,,,44.5549,,,,,8.2190,,,,
2025-09-18,120663442000.0,8.2507,,,,,0.0161,43.9880,,,,,11.4745,,,,,44.7271,,,,,8.2507,,,,
2025-09-17,121538251954.5,8.3106,,,,,0.0160,44.3069,,,,,11.5577,,,,,45.0513,,,,,8.3106,,,,
2025-09-16,121550318298.7,8.3114,,,,,0.0160,44.3113,,,,,11.5588,,,,,45.0558,,,,,8.3114,,,,
2025-09-15,121882142764.2,8.3341,,,,,0.0159,44.4322,,,,,11.5904,,,,,45.1788,,,,,8.3341,,,,
2025-09-12,122618189760.4,8.3844,,,,,0.0158,44.7006,,,,,11.6604,,,,,45.4516,,,,,8.3844,,,,
2025-09-11,123305971379.8,8.4314,,,,,0.0158,44.9513,,,,,11.7258,,,,,45.7066,,,,,8.4314,,,,
2025-09-10,122594057072.0,8.3828,,,,,0.0158,44.6918,,,,,11.6581,,,,,45.4427,,,,,8.3828,,,,
2025-09-09,123257706003.0,8.4281,,,,,0.0158,44.9337,,,,,11.7212,,,,,45.6887,,,,,8.4281,,,,
2025-09-08,124162681818.0,8.4900,,,,,0.0156,45.2636,,,,,11.8072,,,,,46.0242,,,,,8.4900,,,,
2025-09-05,122998279602.7,8.4104,,,,,0.0158,44.8391,,,,,11.6965,,,,,45.5925,,,,,8.4104,,,,
2025-09-04,122431161425.3,8.3716,,,,,0.0159,44.6324,,,,,11.6426,,,,,45.3823,,,,,8.3716,,,,
2025-09-03,123318037724.0,8.4323,,,,,0.0158,44.9557,,,,,11.7269,,,,,45.7111,,,,,8.4323,,,,
2025-09-02,124355743325.2,8.5032,,,,,0.0156,45.3340,,,,,11.8256,,,,,46.0957,,,,,8.5032,,,,
2025-09-01,125085757149.3,8.5531,,,,,0.0155,45.6001,,,,,11.8950,,,,,46.3663,,,,,8.5531,,,,
2025-08-29,126226026676.2,8.9112,,,,,0.0142,41.2751,,,,,11.7325,,,,,42.0434,,,,,8.9112,,,,
2025-08-28,124102350097.0,8.7613,,,,,0.0144,40.5807,,,,,11.5351,,,,,41.3360,,,,,8.7613,,,,
2025-08-27,125496012852.1,8.8597,,,,,0.0143,41.0364,,,,,11.6646,,,,,41.8002,,,,,8.8597,,,,
2025-08-26,126968106844.5,8.9636,,,,,0.0141,41.5178,,,,,11.8014,,,,,42.2906,,,,,8.9636,,,,
2025-08-25,129103849767.9,9.1144,,,,,0.0139,42.2162,,,,,11.9999,,,,,43.0019,,,,,9.1144,,,,
2025-08-22,129260712242.5,9.1254,,,,,0.0139,42.2675,,,,,12.0145,,,,,43.0542,,,,,9.1254,,,,
2025-08-21,128072177338.8,9.0415,,,,,0.0140,41.8788,,,,,11.9041,,,,,42.6583,,,,,9.0415,,,,
