date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-06-09,1062348492209.92,2.1209,,,,,20.6013,,,,,2.1209,,,,,22.3201,,,,,3.5923,,,,,0.0389
2026-06-08,1100955685271.04,2.1979,,,,,21.3500,,,,,2.1979,,,,,23.1313,,,,,3.7229,,,,,0.0375
2026-06-05,1052371352430.08,2.1010,,,,,20.4078,,,,,2.1010,,,,,22.1105,,,,,3.5586,,,,,0.0393
2026-06-04,1063216069582.08,2.1226,,,,,20.6181,,,,,2.1226,,,,,22.3383,,,,,3.5952,,,,,0.0389
2026-06-03,1059528865750.4,2.1152,,,,,20.5466,,,,,2.1152,,,,,22.2609,,,,,3.5828,,,,,0.0390
2026-06-02,1046298310824.96,2.0888,,,,,20.2901,,,,,2.0888,,,,,21.9829,,,,,3.5380,,,,,0.0395
2026-06-01,1062782280896.0,2.1217,,,,,20.6097,,,,,2.1217,,,,,22.3292,,,,,3.5938,,,,,0.0389
2026-05-29,1017668257543.68,2.0317,,,,,19.7349,,,,,2.0317,,,,,21.3814,,,,,3.4412,,,,,0.0406
2026-05-28,1000967393129.6,1.9983,,,,,19.4110,,,,,1.9983,,,,,21.0305,,,,,3.3848,,,,,0.0413
2026-05-27,999882921414.4,1.9962,,,,,19.3900,,,,,1.9962,,,,,21.0077,,,,,3.3811,,,,,0.0413
2026-05-26,971686656819.2,1.9399,,,,,18.8432,,,,,1.9399,,,,,20.4153,,,,,3.2857,,,,,0.0425
2026-05-25,971252868133.12,1.9390,,,,,18.8348,,,,,1.9390,,,,,20.4062,,,,,3.2843,,,,,0.0426
2026-05-22,975590754993.92,1.9477,,,,,18.9189,,,,,1.9477,,,,,20.4973,,,,,3.2989,,,,,0.0424
2026-05-21,981663796599.04,1.9598,,,,,19.0367,,,,,1.9598,,,,,20.6249,,,,,3.3195,,,,,0.0421
2026-05-20,997713977984.0,1.9918,,,,,19.3479,,,,,1.9918,,,,,20.9621,,,,,3.3738,,,,,0.0414
2026-05-19,999232238385.28,1.9949,,,,,19.3774,,,,,1.9949,,,,,20.9940,,,,,3.3789,,,,,0.0414
2026-05-18,994460562838.4,1.9853,,,,,19.2848,,,,,1.9853,,,,,20.8938,,,,,3.3628,,,,,0.0416
2026-05-15,991207147692.8,1.9788,,,,,19.2217,,,,,1.9788,,,,,20.8254,,,,,3.3518,,,,,0.0417
2026-05-14,979711747511.68,1.9559,,,,,18.9988,,,,,1.9559,,,,,20.5839,,,,,3.3129,,,,,0.0422
2026-05-13,971686656819.2,1.9399,,,,,18.8432,,,,,1.9399,,,,,20.4153,,,,,3.2857,,,,,0.0425
2026-05-12,980362430540.8,1.9572,,,,,19.0114,,,,,1.9572,,,,,20.5976,,,,,3.3151,,,,,0.0422
2026-05-11,979711747511.68,1.9559,,,,,18.9988,,,,,1.9559,,,,,20.5839,,,,,3.3129,,,,,0.0422
2026-05-08,979928641854.72,1.9563,,,,,19.0030,,,,,1.9563,,,,,20.5885,,,,,3.3136,,,,,0.0422
2026-05-07,988821309919.36,1.9741,,,,,19.1755,,,,,1.9741,,,,,20.7753,,,,,3.3437,,,,,0.0418
2026-05-06,1035236699329.92,2.0667,,,,,20.0756,,,,,2.0667,,,,,21.7505,,,,,3.5006,,,,,0.0399
2026-04-30,1041092846592.0,2.0784,,,,,20.1891,,,,,2.0784,,,,,21.8735,,,,,3.5204,,,,,0.0397
2026-04-29,1040659057905.92,2.0776,,,,,20.1807,,,,,2.0776,,,,,21.8644,,,,,3.5190,,,,,0.0397
2026-04-28,1044346261737.6,2.0849,,,,,20.2522,,,,,2.0849,,,,,21.9419,,,,,3.5314,,,,,0.0396
2026-04-27,1014631736741.12,2.0256,,,,,19.6760,,,,,2.0256,,,,,21.3176,,,,,3.4310,,,,,0.0407
2026-04-24,1023524404805.76,2.1815,,,,,19.3670,,,,,2.1815,,,,,21.0649,,,,,3.4706,,,,,0.0404
2026-04-23,1018969623601.92,2.1718,,,,,19.2808,,,,,2.1718,,,,,20.9712,,,,,3.4551,,,,,0.0406
2026-04-22,994894351524.48,2.1205,,,,,18.8252,,,,,2.1205,,,,,20.4757,,,,,3.3735,,,,,0.0416
2026-04-21,997280189297.92,2.1256,,,,,18.8704,,,,,2.1256,,,,,20.5248,,,,,3.3816,,,,,0.0415
2026-04-20,981013113569.92,2.0909,,,,,18.5626,,,,,2.0909,,,,,20.1900,,,,,3.3264,,,,,0.0421
2026-04-17,987953732547.2,2.1057,,,,,18.6939,,,,,2.1057,,,,,20.3329,,,,,3.3499,,,,,0.0418
2026-04-16,987519943861.12,2.1047,,,,,18.6857,,,,,2.1047,,,,,20.3239,,,,,3.3485,,,,,0.0419
2026-04-15,994026774152.32,2.1186,,,,,18.8088,,,,,2.1186,,,,,20.4579,,,,,3.3705,,,,,0.0416
2026-04-14,990339570320.64,2.1108,,,,,18.7390,,,,,2.1108,,,,,20.3820,,,,,3.3580,,,,,0.0417
2026-04-13,1004654596961.28,2.1413,,,,,19.0099,,,,,2.1413,,,,,20.6766,,,,,3.4066,,,,,0.0411
2026-04-10,1005955963019.52,2.1440,,,,,19.0345,,,,,2.1440,,,,,20.7034,,,,,3.4110,,,,,0.0411
2026-04-09,1014848631084.16,2.1630,,,,,19.2028,,,,,2.1630,,,,,20.8864,,,,,3.4411,,,,,0.0407
2026-04-08,1014197948055.04,2.1616,,,,,19.1905,,,,,2.1616,,,,,20.8730,,,,,3.4389,,,,,0.0408
2026-04-07,1050202408999.68,2.2383,,,,,19.8718,,,,,2.2383,,,,,21.6140,,,,,3.5610,,,,,0.0394
2026-04-03,1010207540519.58,2.2490,,,,,19.1150,,,,,2.2490,,,,,20.7909,,,,,3.4254,,,,,0.0409
2026-04-02,1012543035043.69,2.2542,,,,,19.1592,,,,,2.2542,,,,,20.8389,,,,,3.4333,,,,,0.0408
2026-04-01,989825042854.62,2.2036,,,,,18.7293,,,,,2.2036,,,,,20.3714,,,,,3.3563,,,,,0.0418
2026-03-31,992585172746.75,2.2097,,,,,18.7815,,,,,2.2097,,,,,20.4282,,,,,3.3657,,,,,0.0416
2026-03-30,1015303164935.82,2.3250,,,,,19.6578,,,,,2.3250,,,,,19.2310,,,,,3.4113,,,,,0.0634
2026-03-27,1008508999047.5,2.3094,,,,,19.5262,,,,,2.3094,,,,,19.1024,,,,,3.3885,,,,,0.0638
2026-03-26,1012543035043.69,2.3187,,,,,19.6043,,,,,2.3187,,,,,19.1788,,,,,3.4021,,,,,0.0636
2026-03-25,1003201056947.25,2.2973,,,,,19.4234,,,,,2.2973,,,,,19.0018,,,,,3.3707,,,,,0.0642
2026-03-24,1029316132080.48,2.3571,,,,,19.9291,,,,,2.3571,,,,,19.4965,,,,,3.4584,,,,,0.0625
2026-03-23,1050972535849.5,2.4067,,,,,20.3484,,,,,2.4067,,,,,19.9067,,,,,3.5312,,,,,0.0613
2026-03-20,1052034124269.55,2.4091,,,,,20.3689,,,,,2.4091,,,,,19.9268,,,,,3.5347,,,,,0.0612
2026-03-19,1050335582797.47,2.4052,,,,,20.3360,,,,,2.4052,,,,,19.8946,,,,,3.5290,,,,,0.0613
2026-03-18,1008084363679.48,2.3084,,,,,19.5180,,,,,2.3084,,,,,19.0943,,,,,3.3871,,,,,0.0639
2026-03-17,1013604623463.74,2.3211,,,,,19.6249,,,,,2.3211,,,,,19.1989,,,,,3.4056,,,,,0.0635
2026-03-16,1029528449764.49,2.3576,,,,,19.9332,,,,,2.3576,,,,,19.5005,,,,,3.4591,,,,,0.0625
2026-03-13,971967996198.6,2.4507,,,,,18.8187,,,,,2.4507,,,,,18.4102,,,,,3.2657,,,,,0.0662
2026-03-12,978723292983.3,2.4677,,,,,18.9495,,,,,2.4677,,,,,18.5382,,,,,3.2884,,,,,0.0658
2026-03-11,950311309447.65,2.3961,,,,,18.3994,,,,,2.3961,,,,,18.0000,,,,,3.1930,,,,,0.0677
2026-03-10,917528251521.9,2.3134,,,,,17.7647,,,,,2.3134,,,,,17.3791,,,,,3.0828,,,,,0.0702
2026-03-09,952695531842.25,2.4021,,,,,18.4456,,,,,2.4021,,,,,18.0452,,,,,3.2010,,,,,0.0676
2026-03-06,910574269537.65,2.2959,,,,,17.6300,,,,,2.2959,,,,,17.2474,,,,,3.0594,,,,,0.0707
2026-03-05,911567695535.4,2.2984,,,,,17.6493,,,,,2.2984,,,,,17.2662,,,,,3.0628,,,,,0.0706
2026-03-04,916137455125.05,2.3099,,,,,17.7378,,,,,2.3099,,,,,17.3527,,,,,3.0781,,,,,0.0703
2026-03-03,910176899138.55,2.2949,,,,,17.6224,,,,,2.2949,,,,,17.2398,,,,,3.0581,,,,,0.0707
2026-03-02,888718897587.1499,2.2408,,,,,17.2069,,,,,2.2408,,,,,16.8334,,,,,2.9860,,,,,0.0724
2026-02-27,839643653298.2999,2.1170,,,,,16.2567,,,,,2.1170,,,,,15.9038,,,,,2.8211,,,,,0.0767
2026-02-26,831100189717.65,2.0955,,,,,16.0913,,,,,2.0955,,,,,15.7420,,,,,2.7924,,,,,0.0775
2026-02-25,838054171701.9,2.1130,,,,,16.2260,,,,,2.1130,,,,,15.8737,,,,,2.8158,,,,,0.0768
2026-02-24,844809468486.6001,2.1301,,,,,16.3567,,,,,2.1301,,,,,16.0017,,,,,2.8385,,,,,0.0762
2026-02-13,823550152134.75,2.0765,,,,,15.9451,,,,,2.0765,,,,,15.5990,,,,,2.7671,,,,,0.0782
2026-02-12,845604209284.8,2.1321,,,,,16.3721,,,,,2.1321,,,,,16.0167,,,,,2.8412,,,,,0.0761
2026-02-11,851564765271.3,2.1471,,,,,16.4875,,,,,2.1471,,,,,16.1296,,,,,2.8612,,,,,0.0756
2026-02-10,844014727688.3999,2.1281,,,,,16.3414,,,,,2.1281,,,,,15.9866,,,,,2.8358,,,,,0.0763
2026-02-09,838650227300.55,2.1145,,,,,16.2375,,,,,2.1145,,,,,15.8850,,,,,2.8178,,,,,0.0768
2026-02-06,827921226524.85,2.0875,,,,,16.0298,,,,,2.0875,,,,,15.6818,,,,,2.7817,,,,,0.0778
2026-02-05,831696245316.3,2.0970,,,,,16.1029,,,,,2.0970,,,,,15.7533,,,,,2.7944,,,,,0.0774
2026-02-04,842822616491.1,2.1250,,,,,16.3183,,,,,2.1250,,,,,15.9641,,,,,2.8318,,,,,0.0764
2026-02-03,786793390218.0,1.9838,,,,,15.2335,,,,,1.9838,,,,,14.9028,,,,,2.6436,,,,,0.0818
2026-02-02,798913187390.55,2.0143,,,,,15.4681,,,,,2.0143,,,,,15.1324,,,,,2.6843,,,,,0.0806
2026-01-30,833087041713.15,2.1005,,,,,16.1298,,,,,2.1005,,,,,15.7797,,,,,2.7991,,,,,0.0773
2026-01-29,822159355737.9,2.0729,,,,,15.9182,,,,,2.0729,,,,,15.5727,,,,,2.7624,,,,,0.0783
2026-01-28,818185651746.9,2.0629,,,,,15.8413,,,,,2.0629,,,,,15.4974,,,,,2.7490,,,,,0.0787
2026-01-27,807655336170.75,2.0364,,,,,15.6374,,,,,2.0364,,,,,15.2980,,,,,2.7136,,,,,0.0797
2026-01-26,827523856125.75,2.0865,,,,,16.0221,,,,,2.0865,,,,,15.6743,,,,,2.7804,,,,,0.0778
2026-01-23,794740798200.0,2.0038,,,,,15.3873,,,,,2.0038,,,,,15.0533,,,,,2.6703,,,,,0.0810
2026-01-22,807655336170.75,2.0364,,,,,15.6374,,,,,2.0364,,,,,15.2980,,,,,2.7136,,,,,0.0797
2026-01-21,796330279796.4,2.0078,,,,,15.4181,,,,,2.0078,,,,,15.0834,,,,,2.6756,,,,,0.0808
2026-01-20,811629040161.75,2.0464,,,,,15.7143,,,,,2.0464,,,,,15.3732,,,,,2.7270,,,,,0.0793
2026-01-19,808648762168.5,2.0389,,,,,15.6566,,,,,2.0389,,,,,15.3168,,,,,2.7170,,,,,0.0796
2026-01-16,814609318155.0,2.0539,,,,,15.7720,,,,,2.0539,,,,,15.4297,,,,,2.7370,,,,,0.0790
2026-01-15,825735689329.8,2.0820,,,,,15.9874,,,,,2.0820,,,,,15.6404,,,,,2.7744,,,,,0.0780
2026-01-14,829312022921.7001,2.0910,,,,,16.0567,,,,,2.0910,,,,,15.7082,,,,,2.7864,,,,,0.0776
2026-01-13,832490986114.5,2.0990,,,,,16.1182,,,,,2.0990,,,,,15.7684,,,,,2.7971,,,,,0.0773
2026-01-12,831696245316.3,2.0970,,,,,16.1029,,,,,2.0970,,,,,15.7533,,,,,2.7944,,,,,0.0774
2026-01-09,843418672089.75,2.1265,,,,,16.3298,,,,,2.1265,,,,,15.9754,,,,,2.8338,,,,,0.0763
2026-01-08,823550152134.75,2.0765,,,,,15.9451,,,,,2.0765,,,,,15.5990,,,,,2.7671,,,,,0.0782
2026-01-07,819775133343.2999,2.0669,,,,,15.8720,,,,,2.0669,,,,,15.5275,,,,,2.7544,,,,,0.0785
2026-01-06,810238243764.9,2.0429,,,,,15.6874,,,,,2.0429,,,,,15.3469,,,,,2.7223,,,,,0.0795
2026-01-05,799906613388.2999,2.0168,,,,,15.4874,,,,,2.0168,,,,,15.1512,,,,,2.6876,,,,,0.0805
2025-12-31,804675058177.5,2.0289,,,,,15.5797,,,,,2.0289,,,,,15.2415,,,,,2.7036,,,,,0.0800
2025-12-30,803681632179.75,2.0264,,,,,15.5604,,,,,2.0264,,,,,15.2227,,,,,2.7003,,,,,0.0801
2025-12-29,798714502191.0,2.0138,,,,,15.4643,,,,,2.0138,,,,,15.1286,,,,,2.6836,,,,,0.0806
2025-12-26,796131594596.85,2.0073,,,,,15.4143,,,,,2.0073,,,,,15.0797,,,,,2.6749,,,,,0.0809
2025-12-25,797323705794.15,2.0103,,,,,15.4374,,,,,2.0103,,,,,15.1023,,,,,2.6789,,,,,0.0807
2025-12-24,799707928188.75,2.0163,,,,,15.4835,,,,,2.0163,,,,,15.1474,,,,,2.6869,,,,,0.0805
2025-12-23,817589596148.25,2.0614,,,,,15.8297,,,,,2.0614,,,,,15.4861,,,,,2.7470,,,,,0.0787
2025-12-22,812225095760.4,2.0479,,,,,15.7259,,,,,2.0479,,,,,15.3845,,,,,2.7290,,,,,0.0793
2025-12-19,806463224973.4501,2.0334,,,,,15.6143,,,,,2.0334,,,,,15.2754,,,,,2.7096,,,,,0.0798
2025-12-18,811231669762.65,2.0454,,,,,15.7066,,,,,2.0454,,,,,15.3657,,,,,2.7257,,,,,0.0794
2025-12-17,794740798200.0,2.0038,,,,,15.3873,,,,,2.0038,,,,,15.0533,,,,,2.6703,,,,,0.0810
2025-12-16,798118446592.35,2.0123,,,,,15.4527,,,,,2.0123,,,,,15.1173,,,,,2.6816,,,,,0.0807
2025-12-15,792952631404.0499,1.9993,,,,,15.3527,,,,,1.9993,,,,,15.0195,,,,,2.6642,,,,,0.0812
2025-12-12,794740798200.0,2.0038,,,,,15.3873,,,,,2.0038,,,,,15.0533,,,,,2.6703,,,,,0.0810
2025-12-11,800900039386.05,2.0193,,,,,15.5066,,,,,2.0193,,,,,15.1700,,,,,2.6910,,,,,0.0804
2025-12-10,798317131791.9,2.0128,,,,,15.4566,,,,,2.0128,,,,,15.1211,,,,,2.6823,,,,,0.0806
2025-12-09,804277687778.3999,2.0279,,,,,15.5720,,,,,2.0279,,,,,15.2340,,,,,2.7023,,,,,0.0800
2025-12-08,812622466159.5,2.0489,,,,,15.7336,,,,,2.0489,,,,,15.3920,,,,,2.7303,,,,,0.0792
2025-12-05,825139633731.15,2.0805,,,,,15.9759,,,,,2.0805,,,,,15.6291,,,,,2.7724,,,,,0.0780
2025-12-04,829510708121.25,2.0915,,,,,16.0605,,,,,2.0915,,,,,15.7119,,,,,2.7871,,,,,0.0776
2025-12-03,827325170926.2,2.0860,,,,,16.0182,,,,,2.0860,,,,,15.6705,,,,,2.7797,,,,,0.0778
2025-12-02,826530430128.0,2.0840,,,,,16.0028,,,,,2.0840,,,,,15.6555,,,,,2.7771,,,,,0.0779
2025-12-01,821364614939.7001,2.0709,,,,,15.9028,,,,,2.0709,,,,,15.5576,,,,,2.7597,,,,,0.0784
2025-11-28,817390910948.7,2.0609,,,,,15.8259,,,,,2.0609,,,,,15.4824,,,,,2.7464,,,,,0.0788
2025-11-27,823550152134.75,2.0765,,,,,15.9451,,,,,2.0765,,,,,15.5990,,,,,2.7671,,,,,0.0782
2025-11-26,814609318155.0,2.0539,,,,,15.7720,,,,,2.0539,,,,,15.4297,,,,,2.7370,,,,,0.0790
2025-11-25,818583022146.0,2.0639,,,,,15.8490,,,,,2.0639,,,,,15.5049,,,,,2.7504,,,,,0.0786
2025-11-24,818583022146.0,2.0639,,,,,15.8490,,,,,2.0639,,,,,15.5049,,,,,2.7504,,,,,0.0786
2025-11-21,835868634506.85,2.1075,,,,,16.1836,,,,,2.1075,,,,,15.8323,,,,,2.8084,,,,,0.0770
2025-11-20,834477838110.0,2.1040,,,,,16.1567,,,,,2.1040,,,,,15.8060,,,,,2.8038,,,,,0.0771
2025-11-19,844809468486.6001,2.1301,,,,,16.3567,,,,,2.1301,,,,,16.0017,,,,,2.8385,,,,,0.0762
2025-11-18,832689671314.0499,2.0995,,,,,16.1221,,,,,2.0995,,,,,15.7721,,,,,2.7978,,,,,0.0773
2025-11-17,842425246092.0,2.1240,,,,,16.3106,,,,,2.1240,,,,,15.9565,,,,,2.8305,,,,,0.0764
2025-11-14,836266004905.9501,2.1085,,,,,16.1913,,,,,2.1085,,,,,15.8399,,,,,2.8098,,,,,0.0770
2025-11-13,846796320482.1,2.1351,,,,,16.3952,,,,,2.1351,,,,,16.0393,,,,,2.8452,,,,,0.0760
2025-11-12,846398950083.0,2.1341,,,,,16.3875,,,,,2.1341,,,,,16.0318,,,,,2.8438,,,,,0.0761
2025-11-11,850372654074.0,2.1441,,,,,16.4645,,,,,2.1441,,,,,16.1071,,,,,2.8572,,,,,0.0757
2025-11-10,857326636058.25,2.1616,,,,,16.5991,,,,,2.1616,,,,,16.2388,,,,,2.8805,,,,,0.0751
2025-11-07,868850377632.1499,2.0882,,,,,16.8222,,,,,2.0882,,,,,16.4571,,,,,2.9193,,,,,0.0741
2025-11-06,874016192820.4501,2.1006,,,,,16.9222,,,,,2.1006,,,,,16.5549,,,,,2.9366,,,,,0.0737
2025-11-05,865870099638.9,2.0810,,,,,16.7645,,,,,2.0810,,,,,16.4006,,,,,2.9092,,,,,0.0743
2025-11-04,864677988441.6001,2.0781,,,,,16.7414,,,,,2.0781,,,,,16.3780,,,,,2.9052,,,,,0.0744
2025-11-03,862691136446.1,2.0734,,,,,16.7030,,,,,2.0734,,,,,16.3404,,,,,2.8986,,,,,0.0746
2025-10-31,844610783287.0499,2.0299,,,,,16.3529,,,,,2.0299,,,,,15.9979,,,,,2.8378,,,,,0.0762
2025-10-30,855141098863.2,2.0552,,,,,16.5568,,,,,2.0552,,,,,16.1974,,,,,2.8732,,,,,0.0753
2025-10-29,837259430903.7,2.0122,,,,,16.2106,,,,,2.0122,,,,,15.8587,,,,,2.8131,,,,,0.0769
2025-10-28,846200264883.4501,2.0337,,,,,16.3837,,,,,2.0337,,,,,16.0280,,,,,2.8432,,,,,0.0761
2025-10-27,848187116878.95,2.0385,,,,,16.4221,,,,,2.0385,,,,,16.0657,,,,,2.8498,,,,,0.0759
2025-10-24,844412098087.5,2.1030,,,,,15.6931,,,,,2.1030,,,,,15.3652,,,,,2.7380,,,,,0.0762
2025-10-23,838848912500.1,2.0892,,,,,15.5897,,,,,2.0892,,,,,15.2640,,,,,2.7200,,,,,0.0767
2025-10-22,837259430903.7,2.0852,,,,,15.5601,,,,,2.0852,,,,,15.2351,,,,,2.7148,,,,,0.0769
2025-10-21,830504134119.0,2.0684,,,,,15.4346,,,,,2.0684,,,,,15.1122,,,,,2.6929,,,,,0.0775
2025-10-20,839047597699.6499,2.0897,,,,,15.5934,,,,,2.0897,,,,,15.2676,,,,,2.7206,,,,,0.0767
2025-10-17,832490986114.5,2.0733,,,,,15.4715,,,,,2.0733,,,,,15.1483,,,,,2.6993,,,,,0.0773
2025-10-16,834676523309.5499,2.0788,,,,,15.5121,,,,,2.0788,,,,,15.1881,,,,,2.7064,,,,,0.0771
2025-10-15,811827725361.3,2.0219,,,,,15.0875,,,,,2.0219,,,,,14.7723,,,,,2.6323,,,,,0.0793
2025-10-14,807655336170.75,2.0115,,,,,15.0099,,,,,2.0115,,,,,14.6964,,,,,2.6188,,,,,0.0797
2025-10-13,793747372202.25,1.9768,,,,,14.7515,,,,,1.9768,,,,,14.4433,,,,,2.5737,,,,,0.0811
2025-10-10,790171038610.3501,1.9679,,,,,14.6850,,,,,1.9679,,,,,14.3782,,,,,2.5621,,,,,0.0815
2025-10-09,783614427025.2,1.9516,,,,,14.5632,,,,,1.9516,,,,,14.2589,,,,,2.5409,,,,,0.0822
2025-09-30,764938018267.5,1.9051,,,,,14.2161,,,,,1.9051,,,,,13.9191,,,,,2.4803,,,,,0.0842
2025-09-29,761957740274.25,1.8977,,,,,14.1607,,,,,1.8977,,,,,13.8649,,,,,2.4706,,,,,0.0845
2025-09-26,770103833455.7999,1.9180,,,,,14.3121,,,,,1.9180,,,,,14.0131,,,,,2.4970,,,,,0.0836
2025-09-25,769309092657.6,1.9160,,,,,14.2973,,,,,1.9160,,,,,13.9986,,,,,2.4945,,,,,0.0837
2025-09-24,773878852247.25,1.9274,,,,,14.3822,,,,,1.9274,,,,,14.0818,,,,,2.5093,,,,,0.0832
2025-09-23,772090685451.3,1.9229,,,,,14.3490,,,,,1.9229,,,,,14.0493,,,,,2.5035,,,,,0.0834
2025-09-22,765136703467.0499,1.9056,,,,,14.2198,,,,,1.9056,,,,,13.9227,,,,,2.4809,,,,,0.0841
2025-09-19,766924870263.0,1.9100,,,,,14.2530,,,,,1.9100,,,,,13.9553,,,,,2.4867,,,,,0.0839
2025-09-18,760566943877.4,1.8942,,,,,14.1348,,,,,1.8942,,,,,13.8396,,,,,2.4661,,,,,0.0846
2025-09-17,774474907845.8999,1.9288,,,,,14.3933,,,,,1.9288,,,,,14.0926,,,,,2.5112,,,,,0.0831
2025-09-16,763149851471.5499,1.9006,,,,,14.1828,,,,,1.9006,,,,,13.8866,,,,,2.4745,,,,,0.0844
2025-09-15,758778777081.45,1.8898,,,,,14.1016,,,,,1.8898,,,,,13.8070,,,,,2.4603,,,,,0.0848
2025-09-12,750235313500.7999,1.8685,,,,,13.9428,,,,,1.8685,,,,,13.6516,,,,,2.4326,,,,,0.0858
2025-09-11,760566943877.4,1.8942,,,,,14.1348,,,,,1.8942,,,,,13.8396,,,,,2.4661,,,,,0.0846
2025-09-10,758381406682.35,1.8888,,,,,14.0942,,,,,1.8888,,,,,13.7998,,,,,2.4590,,,,,0.0849
2025-09-09,757785351083.7,1.8873,,,,,14.0831,,,,,1.8873,,,,,13.7889,,,,,2.4571,,,,,0.0850
2025-09-08,755997184287.75,1.8828,,,,,14.0499,,,,,1.8828,,,,,13.7564,,,,,2.4513,,,,,0.0852
2025-09-05,758182721482.7999,1.8883,,,,,14.0905,,,,,1.8883,,,,,13.7962,,,,,2.4584,,,,,0.0849
2025-09-04,758381406682.35,1.8888,,,,,14.0942,,,,,1.8888,,,,,13.7998,,,,,2.4590,,,,,0.0849
2025-09-03,750632683899.9,1.8695,,,,,13.9502,,,,,1.8695,,,,,13.6588,,,,,2.4339,,,,,0.0858
2025-09-02,758182721482.7999,1.8883,,,,,14.0905,,,,,1.8883,,,,,13.7962,,,,,2.4584,,,,,0.0849
2025-09-01,753016906294.5,1.8754,,,,,13.9945,,,,,1.8754,,,,,13.7022,,,,,2.4416,,,,,0.0855
2025-08-29,744473442713.85,1.9177,,,,,13.6012,,,,,1.9177,,,,,13.4454,,,,,2.3242,,,,,0.0603
2025-08-28,753016906294.5,1.9397,,,,,13.7573,,,,,1.9397,,,,,13.5997,,,,,2.3509,,,,,0.0596
2025-08-27,759573517879.6499,1.9566,,,,,13.8770,,,,,1.9566,,,,,13.7181,,,,,2.3713,,,,,0.0591
2025-08-26,771494629852.65,1.9873,,,,,14.0948,,,,,1.9873,,,,,13.9334,,,,,2.4086,,,,,0.0582
2025-08-25,776859130240.5,2.0011,,,,,14.1928,,,,,2.0011,,,,,14.0303,,,,,2.4253,,,,,0.0578
2025-08-22,764938018267.5,1.9704,,,,,13.9750,,,,,1.9704,,,,,13.8150,,,,,2.3881,,,,,0.0587
