date,stockCode,PS-TTM
2025-07-07T00:00:00+08:00,000333,1.2904
2025-07-08T00:00:00+08:00,000333,1.2845
2025-07-09T00:00:00+08:00,000333,1.277
2025-07-10T00:00:00+08:00,000333,1.2749
2025-07-11T00:00:00+08:00,000333,1.2891
2025-07-14T00:00:00+08:00,000333,1.3001
2025-07-15T00:00:00+08:00,000333,1.3021
2025-07-16T00:00:00+08:00,000333,1.2964
2025-07-17T00:00:00+08:00,000333,1.2918
2025-07-18T00:00:00+08:00,000333,1.2953
2025-07-21T00:00:00+08:00,000333,1.2912
2025-07-22T00:00:00+08:00,000333,1.3026
2025-07-23T00:00:00+08:00,000333,1.3081
2025-07-24T00:00:00+08:00,000333,1.3083
2025-07-25T00:00:00+08:00,000333,1.2949
2025-07-28T00:00:00+08:00,000333,1.2806
2025-07-29T00:00:00+08:00,000333,1.2681
2025-07-30T00:00:00+08:00,000333,1.2836
2025-07-31T00:00:00+08:00,000333,1.2494
2025-08-01T00:00:00+08:00,000333,1.2601
2025-08-04T00:00:00+08:00,000333,1.2628
2025-08-05T00:00:00+08:00,000333,1.2706
2025-08-06T00:00:00+08:00,000333,1.2763
2025-08-07T00:00:00+08:00,000333,1.2724
2025-08-08T00:00:00+08:00,000333,1.2742
2025-08-11T00:00:00+08:00,000333,1.2774
2025-08-12T00:00:00+08:00,000333,1.2804
2025-08-13T00:00:00+08:00,000333,1.2784
2025-08-14T00:00:00+08:00,000333,1.2875
2025-08-15T00:00:00+08:00,000333,1.287
2025-08-18T00:00:00+08:00,000333,1.2788
2025-08-19T00:00:00+08:00,000333,1.2937
2025-08-20T00:00:00+08:00,000333,1.2855
2025-08-21T00:00:00+08:00,000333,1.2802
2025-08-22T00:00:00+08:00,000333,1.2832
2025-08-25T00:00:00+08:00,000333,1.3087
2025-08-26T00:00:00+08:00,000333,1.3137
2025-08-27T00:00:00+08:00,000333,1.2943
2025-08-28T00:00:00+08:00,000333,1.3083
2025-08-29T00:00:00+08:00,000333,1.3121
2025-09-01T00:00:00+08:00,000333,1.2813
2025-09-02T00:00:00+08:00,000333,1.3182
2025-09-03T00:00:00+08:00,000333,1.3088
2025-09-04T00:00:00+08:00,000333,1.3083
2025-09-05T00:00:00+08:00,000333,1.3192
2025-09-08T00:00:00+08:00,000333,1.3332
2025-09-09T00:00:00+08:00,000333,1.3358
2025-09-10T00:00:00+08:00,000333,1.3331
2025-09-11T00:00:00+08:00,000333,1.3331
2025-09-12T00:00:00+08:00,000333,1.308
2025-09-15T00:00:00+08:00,000333,1.301
2025-09-16T00:00:00+08:00,000333,1.2887
2025-09-17T00:00:00+08:00,000333,1.2868
2025-09-18T00:00:00+08:00,000333,1.2763
2025-09-19T00:00:00+08:00,000333,1.2868
2025-09-22T00:00:00+08:00,000333,1.268
2025-09-23T00:00:00+08:00,000333,1.2727
2025-09-24T00:00:00+08:00,000333,1.2825
2025-09-25T00:00:00+08:00,000333,1.2607
2025-09-26T00:00:00+08:00,000333,1.2842
2025-09-29T00:00:00+08:00,000333,1.2761
2025-09-30T00:00:00+08:00,000333,1.2576
2025-10-09T00:00:00+08:00,000333,1.2571
2025-10-10T00:00:00+08:00,000333,1.2605
2025-10-13T00:00:00+08:00,000333,1.2429
2025-10-14T00:00:00+08:00,000333,1.2566
2025-10-15T00:00:00+08:00,000333,1.2621
2025-10-16T00:00:00+08:00,000333,1.2666
2025-10-17T00:00:00+08:00,000333,1.26
2025-10-20T00:00:00+08:00,000333,1.2612
2025-10-21T00:00:00+08:00,000333,1.2619
2025-10-22T00:00:00+08:00,000333,1.2787
2025-10-23T00:00:00+08:00,000333,1.2962
2025-10-24T00:00:00+08:00,000333,1.2913
2025-10-27T00:00:00+08:00,000333,1.296
2025-10-28T00:00:00+08:00,000333,1.2879
2025-10-29T00:00:00+08:00,000333,1.2877
2025-10-30T00:00:00+08:00,000333,1.2741
2025-10-31T00:00:00+08:00,000333,1.2927
2025-11-03T00:00:00+08:00,000333,1.2756
2025-11-04T00:00:00+08:00,000333,1.2717
2025-11-05T00:00:00+08:00,000333,1.2849
2025-11-06T00:00:00+08:00,000333,1.3034
2025-11-07T00:00:00+08:00,000333,1.2893
2025-11-10T00:00:00+08:00,000333,1.3084
2025-11-11T00:00:00+08:00,000333,1.3068
2025-11-12T00:00:00+08:00,000333,1.3472
2025-11-13T00:00:00+08:00,000333,1.3491
2025-11-14T00:00:00+08:00,000333,1.3428
2025-11-17T00:00:00+08:00,000333,1.3291
2025-11-18T00:00:00+08:00,000333,1.3118
2025-11-19T00:00:00+08:00,000333,1.3118
2025-11-20T00:00:00+08:00,000333,1.3209
2025-11-21T00:00:00+08:00,000333,1.3347
2025-11-24T00:00:00+08:00,000333,1.3314
2025-11-25T00:00:00+08:00,000333,1.3338
2025-11-26T00:00:00+08:00,000333,1.3524
2025-11-27T00:00:00+08:00,000333,1.3524
2025-11-28T00:00:00+08:00,000333,1.3535
2025-12-01T00:00:00+08:00,000333,1.3558
2025-12-02T00:00:00+08:00,000333,1.3823
2025-12-03T00:00:00+08:00,000333,1.3926
2025-12-04T00:00:00+08:00,000333,1.3879
2025-12-05T00:00:00+08:00,000333,1.3936
2025-12-08T00:00:00+08:00,000333,1.3865
2025-12-09T00:00:00+08:00,000333,1.3603
2025-12-10T00:00:00+08:00,000333,1.3581
2025-12-11T00:00:00+08:00,000333,1.345
2025-12-12T00:00:00+08:00,000333,1.3453
2025-12-15T00:00:00+08:00,000333,1.3638
2025-12-16T00:00:00+08:00,000333,1.3562
2025-12-17T00:00:00+08:00,000333,1.3648
2025-12-18T00:00:00+08:00,000333,1.354
2025-12-19T00:00:00+08:00,000333,1.3312
2025-12-22T00:00:00+08:00,000333,1.3264
2025-12-23T00:00:00+08:00,000333,1.3346
2025-12-24T00:00:00+08:00,000333,1.3203
2025-12-25T00:00:00+08:00,000333,1.3168
2025-12-26T00:00:00+08:00,000333,1.3215
2025-12-29T00:00:00+08:00,000333,1.3138
2025-12-30T00:00:00+08:00,000333,1.3212
2025-12-31T00:00:00+08:00,000333,1.3093
2026-01-05T00:00:00+08:00,000333,1.3182
2026-01-06T00:00:00+08:00,000333,1.3209
2026-01-07T00:00:00+08:00,000333,1.3298
2026-01-08T00:00:00+08:00,000333,1.3241
2026-01-09T00:00:00+08:00,000333,1.3365
2026-01-12T00:00:00+08:00,000333,1.3172
2026-01-13T00:00:00+08:00,000333,1.2767
2026-01-14T00:00:00+08:00,000333,1.2926
2026-01-15T00:00:00+08:00,000333,1.2937
2026-01-16T00:00:00+08:00,000333,1.2953
2026-01-19T00:00:00+08:00,000333,1.3005
2026-01-20T00:00:00+08:00,000333,1.3236
2026-01-21T00:00:00+08:00,000333,1.3031
2026-01-22T00:00:00+08:00,000333,1.2983
2026-01-23T00:00:00+08:00,000333,1.2864
2026-01-26T00:00:00+08:00,000333,1.2792
2026-01-27T00:00:00+08:00,000333,1.275
2026-01-28T00:00:00+08:00,000333,1.2623
2026-01-29T00:00:00+08:00,000333,1.3048
2026-01-30T00:00:00+08:00,000333,1.2999
2026-02-02T00:00:00+08:00,000333,1.3043
2026-02-03T00:00:00+08:00,000333,1.3053
2026-02-04T00:00:00+08:00,000333,1.3371
2026-02-05T00:00:00+08:00,000333,1.3479
2026-02-06T00:00:00+08:00,000333,1.3326
2026-02-09T00:00:00+08:00,000333,1.3263
2026-02-10T00:00:00+08:00,000333,1.3435
2026-02-11T00:00:00+08:00,000333,1.3351
2026-02-12T00:00:00+08:00,000333,1.337
2026-02-13T00:00:00+08:00,000333,1.3244
2026-02-24T00:00:00+08:00,000333,1.3323
2026-02-25T00:00:00+08:00,000333,1.3353
2026-02-26T00:00:00+08:00,000333,1.3278
2026-02-27T00:00:00+08:00,000333,1.3175
2026-03-02T00:00:00+08:00,000333,1.2976
2026-03-03T00:00:00+08:00,000333,1.2827
2026-03-04T00:00:00+08:00,000333,1.276
2026-03-05T00:00:00+08:00,000333,1.2778
2026-03-06T00:00:00+08:00,000333,1.282
2026-03-09T00:00:00+08:00,000333,1.2634
2026-03-10T00:00:00+08:00,000333,1.2834
2026-03-11T00:00:00+08:00,000333,1.2966
2026-03-12T00:00:00+08:00,000333,1.2968
2026-03-13T00:00:00+08:00,000333,1.2877
2026-03-16T00:00:00+08:00,000333,1.284
2026-03-17T00:00:00+08:00,000333,1.2834
2026-03-18T00:00:00+08:00,000333,1.2911
2026-03-19T00:00:00+08:00,000333,1.2733
2026-03-20T00:00:00+08:00,000333,1.2586
2026-03-23T00:00:00+08:00,000333,1.2292
2026-03-24T00:00:00+08:00,000333,1.2437
2026-03-25T00:00:00+08:00,000333,1.2532
2026-03-26T00:00:00+08:00,000333,1.2452
2026-03-27T00:00:00+08:00,000333,1.2529
2026-03-30T00:00:00+08:00,000333,1.208
2026-03-31T00:00:00+08:00,000333,1.2661
2026-04-01T00:00:00+08:00,000333,1.2742
2026-04-02T00:00:00+08:00,000333,1.283
2026-04-03T00:00:00+08:00,000333,1.2661
2026-04-07T00:00:00+08:00,000333,1.2623
2026-04-08T00:00:00+08:00,000333,1.2724
2026-04-09T00:00:00+08:00,000333,1.2689
2026-04-10T00:00:00+08:00,000333,1.2671
2026-04-13T00:00:00+08:00,000333,1.2566
2026-04-14T00:00:00+08:00,000333,1.2694
2026-04-15T00:00:00+08:00,000333,1.285
2026-04-16T00:00:00+08:00,000333,1.2918
