date,理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PEG,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-03-02,333,333,333,333,126413060400,0,22.4041,0,39.8578,29.5223,26.9522,4.0488,0,7.1219,5.3351,4.8658,0.7001,5.4302,0,11.8237,7.2419,6.5391
2026-02-27,357,357,357,357,135523911600,0,24.0188,0.0123,39.8578,29.5761,26.9522,4.3406,0.0123,7.1219,5.3448,4.8707,0.7506,5.8216,0,11.8237,7.2435,6.5423
2026-02-26,371,371,371,371,140838574800,0,24.9607,0.0165,39.8578,29.6367,26.9522,4.5108,0.0165,7.1219,5.3558,4.8707,0.7800,6.0499,0.0041,11.8237,7.2435,6.5456
2026-02-25,365.4000,365.4000,365.4000,365.4000,138712709520,0,24.5840,0.0124,39.9061,29.6972,26.9522,4.4427,0.0124,7.1306,5.3667,4.8707,0.7682,5.9585,0,11.8380,7.2435,6.5456
2026-02-24,372.6000,372.6000,372.6000,372.6000,141445964880,0,25.0684,0.0124,39.9061,29.7847,26.9791,4.5302,0.0124,7.1306,5.3825,4.8707,0.7834,6.0760,0,11.8380,7.2598,6.5554
2026-02-23,386.2000,386.2000,386.2000,386.2000,146608780560,0,25.9834,0.0333,39.9061,29.8721,26.9926,4.6956,0.0333,7.1306,5.3983,4.8755,0.8120,6.2977,0.0208,11.8380,7.2761,6.5554
2026-02-20,392.6000,392.6000,392.6000,392.6000,149038340880,0,26.4140,0.0753,39.9061,29.8789,27.0060,4.7734,0.0753,7.1306,5.3996,4.8780,0.8254,6.4021,0.0628,11.8380,7.2794,6.5586
2026-02-16,390,390,390,390,148051332000,0,26.2390,0.0588,39.9061,29.8856,27.0464,4.7418,0.0588,7.1306,5.4008,4.8804,0.8200,6.3597,0.0462,11.8380,7.2827,6.5684
2026-02-13,386.8000,386.8000,386.8000,386.8000,146836551840,0,26.0238,0.0338,40.0671,29.8856,27.0464,4.7029,0.0338,7.1593,5.4008,4.8804,0.8132,6.3075,0.0211,11.8858,7.7933,6.5684
2026-02-12,388,388,388,388,147292094400,0,26.1045,0.0381,40.0671,29.8856,27.0464,4.7175,0.0381,7.1593,5.4008,4.8877,0.8157,6.3271,0.0254,11.8858,8.3039,6.6043
2026-02-11,400.2000,400.2000,400.2000,400.2000,151923443760,0,26.9253,0.1574,40.0671,29.9529,27.0599,4.8658,0.1617,7.1593,5.4129,4.8877,0.8414,6.5260,0.1447,11.8858,8.3470,6.6076
2026-02-10,402,402,402,402,152606757600,0,27.0464,0.1880,40.0671,30.0202,27.1002,4.8877,0.1923,7.1593,5.4251,4.8901,0.8452,6.5554,0.1752,11.8858,8.3902,6.6141
2026-02-09,394.4000,394.4000,394.4000,394.4000,149721654720,0,26.5351,0.0815,40.0671,30.0336,27.1585,4.7953,0.0815,7.1593,5.4275,4.8974,0.8292,6.4314,0.0687,11.8858,8.5124,6.6206
2026-02-06,400,400,400,400,151847520000,0,26.9118,0.1422,40.3649,30.0471,27.1585,4.8634,0.1466,7.2125,5.4300,4.8974,0.8410,6.5228,0.1293,11.9741,8.6346,6.6206
2026-02-05,397,397,397,397,150708663600,0,26.7100,0.0952,40.3649,30.2922,27.2482,4.8269,0.0952,7.2125,5.4432,4.9242,0.8347,6.4738,0.0823,11.9741,8.8467,6.6271
2026-02-04,385.8000,385.8000,385.8000,385.8000,146456933040,0,25.9565,0.0304,40.3649,30.5373,27.2617,4.6907,0.0304,7.2125,5.4565,4.9266,0.8111,6.2912,0.0174,11.9741,9.0588,6.6336
2026-02-03,389,389,389,389,147671713200,0,26.1718,0.0437,40.3649,30.7014,27.2886,4.7296,0.0437,7.2125,5.4877,4.9315,0.8179,6.3434,0.0306,11.9741,9.2480,6.6369
2026-02-02,388,388,388,388,147292094400,0,26.1045,0.0351,40.3649,30.8656,27.3155,4.7175,0.0351,7.2125,5.5189,4.9363,0.8157,6.3271,0.0219,11.9741,9.4373,6.6402
2026-01-30,397.6000,397.6000,397.6000,397.6000,150936434880,0,26.7504,0.0881,40.4454,30.9849,27.3155,4.8342,0.0881,7.2269,5.5402,4.9363,0.8359,6.4836,0.0749,11.9980,9.4738,6.6402
2026-01-29,399.8000,399.8000,399.8000,399.8000,151771596240,0,26.8984,0.1195,40.4454,31.1042,27.3424,4.8609,0.1239,7.2269,5.5616,4.9412,0.8406,6.5195,0.1062,11.9980,9.5103,6.6500
2026-01-28,397.6000,397.6000,397.6000,397.6000,150936434880,0,26.7504,0.0889,40.4454,31.1042,27.3693,4.8342,0.0889,7.2269,5.5616,4.9460,0.8359,6.4836,0.0756,11.9980,9.5103,6.6630
2026-01-27,446.2000,446.2000,446.2000,446.2000,169385908560,0,30.0202,0.4777,40.4454,31.1042,27.3828,5.4251,0.4777,7.2269,5.5616,4.9485,0.9381,7.2761,0.4643,11.9980,9.5103,6.6630
2026-01-26,446.6000,446.6000,446.6000,446.6000,169537756080,0,30.0471,0.4798,40.4454,31.1997,27.3828,5.4300,0.4798,7.2269,5.5786,4.9485,0.9390,7.2827,0.4664,11.9980,9.5395,6.6630
2026-01-23,430.4000,430.4000,430.4000,430.4000,163387931520,0,28.9571,0.4189,40.5259,31.2952,27.3693,5.2330,0.4189,7.2413,5.5957,4.9460,0.9049,7.0185,0.3919,12.0219,9.5686,6.6630
2026-01-22,431.6000,431.6000,431.6000,431.6000,163843474080,0,29.0379,0.4253,40.5259,31.4304,27.3693,5.2476,0.4253,7.2413,5.6199,4.9460,0.9074,7.0381,0.3982,12.0219,9.6098,6.6630
2026-01-21,441.4000,441.4000,441.4000,441.4000,167563738320,0,29.6972,0.4591,40.5259,31.5656,27.3693,5.3667,0.4591,7.2413,5.6441,4.9460,0.9280,7.1979,0.4409,12.0219,9.6509,6.6630
2026-01-20,444.2000,444.2000,444.2000,444.2000,168626670960,0,29.8856,0.4658,40.5259,31.6929,27.3693,5.4008,0.4658,7.2413,5.6668,4.9460,0.9339,7.2435,0.4521,12.0219,9.6511,6.6630
2026-01-19,428.6000,428.6000,428.6000,428.6000,162704617680,0,28.8360,0.4083,40.5259,31.8202,27.3693,5.2111,0.4083,7.2413,5.6896,4.9460,0.9011,6.9891,0.3807,12.0219,9.6513,6.6630
2026-01-16,419.8000,419.8000,419.8000,419.8000,159363972240,0,28.2440,0.3594,40.6868,32.0589,27.3424,5.1041,0.3641,7.2701,5.7322,4.9412,0.8826,6.8456,0.3364,12.0696,9.6535,6.6500
2026-01-15,425,425,425,425,161337990000,0,28.5938,0.3889,40.6868,32.2975,27.3424,5.1673,0.3889,7.2701,5.7749,4.9412,0.8936,6.9304,0.3611,12.0696,9.6557,6.6500
2026-01-14,419.6000,419.6000,419.6000,419.6000,159288048480,0,28.2305,0.3535,40.6868,32.4154,27.3424,5.1017,0.3628,7.2701,5.7940,4.9412,0.8822,6.8424,0.3349,12.0696,9.6924,6.6500
2026-01-13,425.4000,425.4000,425.4000,425.4000,161489837520,0,28.6207,0.3925,40.6868,32.5334,27.3424,5.1722,0.3925,7.2701,5.8132,4.9412,0.8944,6.9370,0.3645,12.0696,9.7292,6.6500
2026-01-12,428.6000,428.6000,428.6000,428.6000,162704617680,0,28.8360,0.3991,40.6868,32.5414,27.3424,5.2111,0.3991,7.2701,5.8146,4.9412,0.9011,6.9891,0.3709,12.0696,9.7429,6.6500
2026-01-09,422.2000,422.2000,422.2000,422.2000,160275057360,0,28.4054,0.3821,40.7271,32.5495,27.3155,5.1333,0.3821,7.2772,5.8160,4.9363,0.8877,6.8848,0.3538,12.0815,9.7566,6.6402
2026-01-08,439.6000,439.6000,439.6000,439.6000,166880424480,0,29.5761,0.4408,40.7271,32.5985,27.3155,5.3448,0.4408,7.2772,5.8268,4.9363,0.9242,7.1685,0.4218,12.0815,9.7993,6.6402
2026-01-07,433.4000,433.4000,433.4000,433.4000,164526787920,0,29.1590,0.4238,40.7271,32.6475,27.3155,5.2695,0.4238,7.2772,5.8375,4.9363,0.9112,7.0674,0.4048,12.0815,9.8419,6.6402
2026-01-06,430,430,430,430,163236084000,0,28.9302,0.4067,40.7271,32.7686,27.3155,5.2281,0.4067,7.2772,5.8572,4.9363,0.9041,7.0120,0.3780,12.0815,9.8585,6.6402
2026-01-05,401.4000,401.4000,401.4000,401.4000,152378986320,0,27.0060,0.1635,40.7271,32.8897,27.3155,4.8804,0.1683,7.2772,5.8768,4.9363,0.8439,6.5456,0.1490,12.0815,9.8751,6.6402
2026-01-02,406.8000,406.8000,406.8000,406.8000,154428927840,0,27.3693,0.2077,40.8478,32.9516,27.3155,4.9460,0.2077,7.2988,5.8899,4.9363,0.8553,6.6336,0.1884,12.1174,9.9178,6.6402
2025-12-31,409.8000,409.8000,409.8000,409.8000,155567784240,0,27.5712,0.2476,40.8478,33.0135,27.3155,4.9825,0.2476,7.2988,5.9029,4.9363,0.8616,6.6826,0.2282,12.1174,9.9606,6.6500
2025-12-30,428.4000,428.4000,428.4000,428.4000,162628693920,0,28.8226,0.3902,40.8478,33.0954,27.3155,5.2087,0.3902,7.2988,5.9156,4.9363,0.9007,6.9859,0.3610,12.1174,9.9714,6.6500
2025-12-29,438,438,438,438,166273034400,0,29.4685,0.4216,40.8478,33.1773,27.3155,5.3254,0.4216,7.2988,5.9282,4.9363,0.9209,7.1424,0.4020,12.1174,9.9821,6.6500
2025-12-24,421.8000,421.8000,421.8000,421.8000,160123209840,0,28.3785,0.3793,40.8478,33.3181,27.3155,5.1284,0.3793,7.2988,5.9554,4.9363,0.8868,6.8783,0.3498,12.1174,9.9856,6.6500
2025-12-23,424.6000,424.6000,424.6000,424.6000,161186142480,0,28.5669,0.3812,40.8881,33.4589,27.2886,5.1625,0.3812,7.3060,5.9826,4.9315,0.8927,6.9239,0.3515,12.1293,9.9890,6.6402
2025-12-22,435,435,435,435,165134178000,0,29.2666,0.4080,40.8881,33.5181,27.2886,5.2889,0.4080,7.3060,5.9911,4.9315,0.9146,7.0935,0.3881,12.1293,9.9967,6.6402
2025-12-19,395,395,395,395,149949426000,0,26.5754,0.0800,40.8881,33.5772,27.2886,4.8026,0.0800,7.3060,5.9997,4.9315,0.8305,6.4412,0.0650,12.1293,10.0043,6.6402
2025-12-18,400.6000,400.6000,400.6000,400.6000,152075291280,0,26.9522,0.1407,40.8881,33.6252,27.3155,4.8707,0.1457,7.3060,6.0083,4.9363,0.8422,6.5325,0.1256,12.1293,10.0492,6.6500
2025-12-17,409.6000,409.6000,409.6000,409.6000,155491860480,0,27.5577,0.2424,40.8881,33.6731,27.3424,4.9801,0.2424,7.3060,6.0168,4.9412,0.8612,6.6793,0.2222,12.1293,10.0940,6.6630
2025-12-16,408.6000,408.6000,408.6000,408.6000,155112241680,0,27.4904,0.2234,40.9685,33.6989,27.3155,4.9679,0.2234,7.3204,6.0214,4.9363,0.8591,6.6630,0.2030,12.1532,10.1577,6.6500
2025-12-15,410.6000,410.6000,410.6000,410.6000,155871479280,0,27.6250,0.2551,40.9685,33.7246,27.3155,4.9922,0.2551,7.3204,6.0260,4.9363,0.8633,6.6956,0.2347,12.1532,10.2214,6.6500
2025-12-12,412,412,412,412,156402945600,0,27.7192,0.2769,40.9685,34.0906,27.3155,5.0093,0.2769,7.3204,6.0914,4.9363,0.8662,6.7184,0.2564,12.1532,10.2258,6.6500
2025-12-11,402.8000,402.8000,402.8000,402.8000,152910452640,0,27.1002,0.1753,40.9685,34.4566,27.3155,4.8974,0.1804,7.3204,6.1568,4.9363,0.8469,6.5684,0.1598,12.1532,10.2302,6.6500
2025-12-10,401,401,401,401,152227138800,0,26.9791,0.1554,40.9685,34.4966,27.3424,4.8755,0.1606,7.3204,6.1640,4.9412,0.8431,6.5391,0.1399,12.1532,10.2377,6.6630
2025-12-09,396.6000,396.6000,396.6000,396.6000,150556816080,0,26.6831,0.0885,41.0490,34.5366,27.3424,4.8220,0.0885,7.3348,6.1711,4.9412,0.8338,6.4673,0.0729,12.1771,10.2452,6.6630
2025-12-08,398.4000,398.4000,398.4000,398.4000,151240129920,0,26.8042,0.0995,41.0490,34.7745,27.3828,4.8439,0.0995,7.3348,6.2136,4.9485,0.8376,6.4967,0.0838,12.1771,10.3157,6.6695
2025-12-05,410.8000,410.8000,410.8000,410.8000,155947403040,0,27.6385,0.2421,41.0490,35.0124,27.3963,4.9947,0.2421,7.3348,6.2561,4.9509,0.8637,6.6989,0.2211,12.1771,10.3863,6.6760
2025-12-04,416.6000,416.6000,416.6000,416.6000,158149192080,0,28.0287,0.2963,41.0490,35.0710,27.3963,5.0652,0.3069,7.3348,6.2687,4.9509,0.8759,6.7935,0.2751,12.1771,10.4412,6.6760
2025-12-03,408.6000,408.6000,408.6000,408.6000,155112241680,0,27.4904,0.2128,41.0490,35.1295,27.3963,4.9679,0.2128,7.3348,6.2813,4.9509,0.8591,6.6630,0.1915,12.1771,10.4961,6.6760
2025-12-02,412,412,412,412,156402945600,0,27.7192,0.2567,41.0893,35.1534,27.3828,5.0093,0.2567,7.3420,6.2856,4.9485,0.8662,6.7184,0.2353,12.1890,10.5487,6.6760
2025-12-01,416.2000,416.2000,416.2000,416.2000,157997344560,0,28.0018,0.2849,41.0893,35.1772,27.3828,5.0603,0.2957,7.3420,6.2898,4.9485,0.8751,6.7869,0.2634,12.1890,10.6012,6.6760
2025-11-28,425,425,425,425,161337990000,0,28.5938,0.3351,41.0893,35.2799,27.3828,5.1673,0.3351,7.3420,6.3061,4.9485,0.8936,6.9304,0.3027,12.1890,10.6370,6.6760
2025-11-27,413,413,413,413,156782564400,0,27.7865,0.2717,41.0893,35.3827,27.3828,5.0214,0.2717,7.3420,6.3223,4.9485,0.8683,6.7347,0.2500,12.1890,10.6728,6.6760
2025-11-26,411.2000,411.2000,411.2000,411.2000,156099250560,0,27.6654,0.2568,41.0893,35.5597,27.3828,4.9995,0.2568,7.3420,6.3539,4.9485,0.8645,6.7054,0.2350,12.1890,10.6728,6.6760
2025-11-25,406,406,406,406,154125232800,0,27.3155,0.1923,41.2100,35.7368,27.3424,4.9363,0.1923,7.3635,6.3856,4.9412,0.8536,6.6206,0.1703,12.2248,10.6728,6.6695
2025-11-24,406.4000,406.4000,406.4000,406.4000,154277080320,0,27.3424,0.1934,41.2100,35.8575,27.3828,4.9412,0.1934,7.3635,6.4071,4.9485,0.8544,6.6271,0.1713,12.2248,10.6800,6.6760
2025-11-21,397.8000,397.8000,397.8000,397.8000,151012358640,0,26.7638,0.1000,41.2100,35.9783,27.3963,4.8366,0.1000,7.3635,6.4287,4.9509,0.8364,6.4869,0.0833,12.2248,10.6872,6.6826
2025-11-20,407.2000,407.2000,407.2000,407.2000,154580775360,0,27.3963,0.1955,41.2100,35.9783,27.4366,4.9509,0.1955,7.3635,6.4287,4.9582,0.8561,6.6402,0.1732,12.2248,10.6967,6.6858
2025-11-19,412.4000,412.4000,412.4000,412.4000,156554793120,0,27.7461,0.2472,41.2100,35.9783,27.5174,5.0141,0.2472,7.3635,6.4287,4.9728,0.8671,6.7250,0.2247,12.2248,10.7063,6.6924
2025-11-18,410.4000,410.4000,410.4000,410.4000,155795555520,0,27.6115,0.2260,41.2100,36.0024,27.4366,4.9898,0.2260,7.3635,6.4330,4.9582,0.8629,6.6924,0.2034,12.2248,10.7086,6.6858
2025-11-17,412,412,412,412,156402945600,0,27.7192,0.2386,41.2100,36.0266,27.4366,5.0093,0.2386,7.3635,6.4373,4.9582,0.8662,6.7184,0.2159,12.2248,10.7110,6.6858
2025-11-14,414.8000,414.8000,414.8000,414.8000,157465878240,0,27.9076,0.2457,41.2100,36.0588,27.4366,5.0433,0.2457,7.3635,6.4431,4.9582,0.8721,6.7641,0.2229,12.2248,10.7260,6.6858
2025-11-13,417.8000,417.8000,417.8000,417.8000,158604734640,0,28.1094,0.2586,41.2100,36.0910,27.4366,5.0798,0.2701,7.3635,6.4488,4.9582,0.8784,6.8130,0.2356,12.2248,10.7410,6.6858
2025-11-12,430.4000,430.4000,430.4000,430.4000,163387931520,0,28.9571,0.3006,41.2100,36.0990,27.4366,5.2330,0.3006,7.3635,6.4503,4.9582,0.9049,7.0185,0.2659,12.2248,10.7427,6.6858
2025-11-11,417,417,417,417,158301039600,0,28.0556,0.2558,41.3710,36.1070,27.3828,5.0701,0.2674,7.3923,6.4517,4.9485,0.8767,6.8000,0.2326,12.2726,10.7445,6.6826
2025-11-10,420,420,420,420,159439896000,0,28.2574,0.2749,41.3710,36.1634,27.3828,5.1065,0.2807,7.3923,6.4618,4.9485,0.8830,6.8489,0.2456,12.2726,10.7492,6.6826
2025-11-07,385.4000,385.4000,385.4000,385.4000,146305085520,0,25.9296,0.0353,41.3710,36.2197,27.3828,4.6859,0.0353,7.3923,6.4719,4.9485,0.8103,6.2847,0.0176,12.2726,10.7540,6.6826
2025-11-06,400.6000,400.6000,400.6000,400.6000,152075291280,0,26.9522,0.1420,41.3710,36.2358,27.4366,4.8707,0.1479,7.3923,6.4747,4.9582,0.8422,6.5325,0.1243,12.2726,10.7548,6.6858
2025-11-05,400.6000,400.6000,400.6000,400.6000,152075291280,0,26.9522,0.1429,41.3710,36.2519,27.5174,4.8707,0.1488,7.3923,6.4776,4.9728,0.8422,6.5325,0.1250,12.2726,10.7556,6.6989
2025-11-04,394,394,394,394,149569807200,0,26.5082,0.0778,41.3710,36.4371,27.5174,4.7904,0.0778,7.3923,6.5107,4.9728,0.8284,6.4249,0.0599,12.2726,10.8097,6.6989
2025-11-03,402,402,402,402,152606757600,0,27.0464,0.1446,41.3710,36.6222,27.5443,4.8877,0.1506,7.3923,6.5438,4.9777,0.8452,6.5554,0.1265,12.2726,10.8638,6.7021
2025-10-31,413.4000,413.4000,413.4000,413.4000,156934411920,0,27.8134,0.2242,41.3710,36.6222,27.5712,5.0263,0.2242,7.3923,6.5438,4.9825,0.8692,6.7413,0.2000,12.2726,10.8638,6.7413
2025-10-30,411,411,411,411,156023326800,0,27.6519,0.2195,41.3710,36.6222,27.5712,4.9971,0.2195,7.3923,6.5438,4.9825,0.8641,6.7021,0.1951,12.2726,10.8638,6.7935
2025-10-28,393.6000,393.6000,393.6000,393.6000,149417959680,0,26.4813,0.0675,41.3710,36.7349,27.5712,4.7856,0.0675,7.3923,6.5639,4.9825,0.8275,6.4184,0.0491,12.2726,10.8973,6.8293
2025-10-27,399.4000,399.4000,399.4000,399.4000,151619748720,0,26.8715,0.1111,41.3710,36.8475,27.5712,4.8561,0.1173,7.3923,6.5840,4.9825,0.8397,6.5130,0.0926,12.2726,10.9307,6.8293
2025-10-24,394.2000,394.2000,394.2000,394.2000,149645730960,0,26.5216,0.0745,41.3710,36.9193,27.5846,4.7928,0.0745,7.3923,6.5984,4.9850,0.8288,6.4282,0.0559,12.2726,10.9546,6.8326
2025-10-23,400,400,400,400,151847520000,0,26.9118,0.1063,41.3710,36.9910,27.6385,4.8634,0.1125,7.3923,6.6128,4.9947,0.8410,6.5228,0.0875,12.2726,10.9785,6.8652
2025-10-22,418.8000,418.8000,418.8000,418.8000,158984353440,0,28.1767,0.2075,41.3710,36.9998,28.0287,5.0919,0.2201,7.3923,6.6135,5.0495,0.8805,6.8293,0.1824,12.2726,10.9856,6.9924
2025-10-21,409.4000,409.4000,409.4000,409.4000,155415936720,0,27.5443,0.1772,41.3710,37.0085,28.0287,4.9777,0.1772,7.3923,6.6141,5.0495,0.8607,6.6760,0.1519,12.2726,10.9928,7.0413
2025-10-20,421,421,421,421,159819514800,0,28.3247,0.2229,41.4112,37.0327,28.0287,5.1187,0.2229,7.3995,6.6178,5.0495,0.8852,6.8652,0.1847,12.2845,11.0143,7.0413
2025-10-17,428.8000,428.8000,428.8000,428.8000,162780541440,0,28.8495,0.2244,41.4112,37.0568,28.0287,5.2135,0.2244,7.3995,6.6214,5.0495,0.9015,6.9924,0.1859,12.2845,11.0358,7.0439
2025-10-16,444.2000,444.2000,444.2000,444.2000,168626670960,0,29.8856,0.2516,41.4112,37.1292,28.0287,5.4008,0.2516,7.3995,6.6344,5.0495,0.9339,7.2435,0.2323,12.2845,11.0453,7.0446
2025-10-15,444,444,444,444,168550747200,0,29.8721,0.2468,41.4112,37.2017,28.0287,5.3983,0.2468,7.3995,6.6473,5.0495,0.9335,7.2403,0.2273,12.2845,11.0549,7.0446
2025-10-14,416.6000,416.6000,416.6000,416.6000,158149192080,0,28.0287,0.2026,41.4112,37.2339,28.0287,5.0652,0.2157,7.3995,6.6531,5.0495,0.8759,6.7935,0.1765,12.2845,11.0787,7.0446
2025-10-13,432,432,432,432,163995321600,0,29.0648,0.2303,41.4515,37.2661,27.6385,5.2524,0.2303,7.4067,6.6588,4.9947,0.9083,7.0446,0.1974,12.2964,11.1026,7.0446
2025-10-10,419,419,419,419,159060277200,0,28.1902,0.2053,41.4515,37.3466,27.6385,5.0944,0.2185,7.4067,6.6732,4.9947,0.8809,6.8326,0.1788,12.2964,11.1145,7.0537
2025-10-09,401.2000,401.2000,401.2000,401.2000,152303062560,0,26.9926,0.1267,41.4515,37.4271,27.6385,4.8780,0.1333,7.4067,6.6876,4.9947,0.8435,6.5423,0.1067,12.2964,11.1265,7.0935
2025-10-08,375,375,375,375,142357050000,0,25.2299,0.0201,41.4515,37.4673,28.2404,4.5594,0.0201,7.4067,6.6948,5.0495,0.7884,6.1151,0,12.2964,11.1336,7.2239
2025-10-06,376,376,376,376,142736668800,0,25.2971,0.0203,41.4515,37.5075,28.2836,4.5716,0.0203,7.4067,6.7020,5.0538,0.7905,6.1314,0,12.2964,11.1408,8.3039
2025-10-03,381.4000,381.4000,381.4000,381.4000,144786610320,0,25.6604,0.0204,41.4917,37.5317,28.2836,4.6372,0.0204,7.4139,6.7063,5.0538,0.8019,6.2195,0,12.3084,11.1504,8.3039
2025-10-02,392,392,392,392,148810569600,0,26.3736,0.0479,41.4917,37.5558,29.0513,4.7661,0.0479,7.4139,6.7106,5.2500,0.8242,6.3923,0.0274,12.3084,11.1599,8.3902
2025-09-30,388.4000,388.4000,388.4000,388.4000,147443941920,0,26.1314,0.0276,41.4917,37.5880,29.2666,4.7223,0.0276,7.4139,6.7164,5.2889,0.8166,6.3336,0.0069,12.3084,11.1766,8.6346
2025-09-29,387,387,387,387,146912475600,0,26.0372,0.0208,41.4917,37.6202,30.5373,4.7053,0.0208,7.4139,6.7221,5.4565,0.8137,6.3108,0,12.3084,11.1933,9.0588
2025-09-26,390.6000,390.6000,390.6000,390.6000,148279103280,0,26.2794,0.0210,41.4917,37.6766,30.8656,4.7491,0.0210,7.4139,6.7322,5.5189,0.8212,6.3695,0,12.3084,11.1933,9.4373
2025-09-25,393.6000,393.6000,393.6000,393.6000,149417959680,0,26.4813,0.0282,42.1356,37.7329,30.8656,4.7856,0.0282,7.5289,6.7422,5.5189,0.8275,6.4184,0.0070,12.4994,11.1933,9.4373
2025-09-24,397.4000,397.4000,397.4000,397.4000,150860511120,0,26.7369,0.0355,42.1356,37.7329,31.1042,4.8318,0.0355,7.5289,6.7422,5.5616,0.8355,6.4804,0.0142,12.4994,11.2077,9.5103
2025-09-23,410,410,410,410,155643708000,0,27.5846,0.1357,42.1356,37.7329,31.1042,4.9850,0.1357,7.5289,6.7422,5.5616,0.8620,6.6858,0.1071,12.4994,11.2220,9.5103
2025-09-22,391.6000,391.6000,391.6000,391.6000,148658722080,0,26.3467,0.0216,42.1356,37.7812,31.2952,4.7612,0.0216,7.5289,6.7509,5.5957,0.8233,6.3858,0,12.4994,11.2292,9.5686
2025-09-19,395,395,395,395,149949426000,0,26.5754,0.0217,42.1356,37.8295,31.5656,4.8026,0.0217,7.5289,6.7595,5.6441,0.8305,6.4412,0,12.4994,11.2363,9.6509
2025-09-18,399.2000,399.2000,399.2000,399.2000,151543824960,0,26.8580,0.0292,42.2564,37.8536,31.5656,4.8536,0.0292,7.5505,6.7638,5.6441,0.8393,6.5097,0.0073,12.5352,11.2578,9.6509
2025-09-17,399.2000,399.2000,399.2000,399.2000,151543824960,0,26.8580,0.0294,42.2564,37.8778,31.8202,4.8536,0.0294,7.5505,6.7681,5.6896,0.8393,6.5097,0.0074,12.5352,11.2793,9.6513
2025-09-16,399,399,399,399,151467901200,0,26.8446,0.0222,42.2564,37.9502,32.2975,4.8512,0.0222,7.5505,6.7811,5.7749,0.8389,6.5065,0,12.5352,11.2947,9.6557
2025-09-15,405,405,405,405,153745614000,0,27.2482,0.0522,42.2564,38.0227,32.5334,4.9242,0.0522,7.5505,6.7940,5.8132,0.8515,6.6043,0.0224,12.5352,11.3102,9.7292
2025-09-12,405.2000,405.2000,405.2000,405.2000,153821537760,0,27.2617,0.0526,42.2564,38.0871,32.5495,4.9266,0.0526,7.5505,6.8055,5.8160,0.8519,6.6076,0.0226,12.5352,11.3138,9.7566
2025-09-11,402.2000,402.2000,402.2000,402.2000,152682681360,0,27.0599,0.0379,42.3368,38.1515,32.5495,4.8901,0.0455,7.5649,6.8170,5.8160,0.8456,6.5586,0.0152,12.5591,11.3175,9.7566
