date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率
2026-03-31,211845165124.62,1.1751,0.2981,1.8703,1.3329,1.0852,6.6860,0.0100,13.8442,9.2170,7.6812,1.5258,0.0057,3.6343,2.5841,1.9094,0.0791
2026-03-30,210892926148.65,1.1698,0.2947,1.8723,1.3329,1.0851,6.6559,0.0087,13.8529,9.2186,7.6812,1.5190,0.0044,3.6500,2.5874,1.9094,0.0794
2026-03-27,212181249469.08,1.1770,0.2997,1.8723,1.3329,1.0851,6.6966,0.0100,13.8529,9.2202,7.6817,1.5283,0.0052,3.6500,2.5906,1.9094,0.0790
2026-03-26,212517333813.54,1.1788,0.3011,1.8723,1.3336,1.0851,6.7072,0.0105,13.8529,9.2225,7.6828,1.5307,0.0057,3.6500,2.5909,1.9098,0.0788
2026-03-25,213581600904.33,1.1848,0.3047,1.8723,1.3343,1.0851,6.7408,0.0109,13.8529,9.2248,7.6842,1.5383,0.0061,3.6500,2.5913,1.9100,0.0784
2026-03-24,210612855861.6,1.1683,0.2935,1.8723,1.3346,1.0851,6.6471,0.0083,13.8529,9.2278,7.6886,1.5170,0.0039,3.6500,2.5955,1.9104,0.0796
2026-03-23,206915928072.54,1.1478,0.2675,1.8735,1.3349,1.0836,6.5304,0.0022,13.8579,9.2308,7.6886,1.4903,0.0004,3.6509,2.5996,1.9104,0.0810
2026-03-20,214085727421.02,1.1875,0.3090,1.8735,1.3349,1.0836,6.7567,0.0109,13.8579,9.2324,7.6900,1.5420,0.0065,3.6509,2.6014,1.9104,0.0783
2026-03-19,215990205372.96,1.1981,0.3236,1.8735,1.3350,1.0836,6.8168,0.0166,13.8579,9.2339,7.6924,1.5557,0.0122,3.6509,2.6031,1.9104,0.0776
2026-03-18,218566852013.82,1.2124,0.3478,1.8735,1.3353,1.0836,6.8981,0.0297,13.8579,9.2500,7.6924,1.5742,0.0262,3.6509,2.6045,1.9108,0.0767
2026-03-17,218118739554.54,1.2099,0.3444,1.8735,1.3356,1.0836,6.8840,0.0275,13.8579,9.2661,7.6929,1.5710,0.0245,3.6509,2.6060,1.9109,0.0768
2026-03-16,217222514635.98,1.2049,0.3341,1.8739,1.3357,1.0836,6.8557,0.0223,13.8634,9.2673,7.6929,1.5646,0.0184,3.6516,2.6076,1.9109,0.0771
2026-03-13,216214261602.6,1.1994,0.3268,1.8739,1.3357,1.0836,6.8239,0.0171,13.8634,9.2685,7.6946,1.5573,0.0131,3.6516,2.6093,1.9112,0.0775
2026-03-12,212181249469.08,1.1770,0.3002,1.8739,1.3359,1.0836,6.6966,0.0092,13.8634,9.2722,7.6952,1.5283,0.0044,3.6516,2.6099,1.9114,0.0790
2026-03-11,211733137009.8,1.1745,0.2982,1.8739,1.3360,1.0836,6.6824,0.0083,13.8634,9.2759,7.6962,1.5250,0.0039,3.6516,2.6106,1.9117,0.0791
2026-03-10,211397052665.34,1.1726,0.2970,1.8739,1.3361,1.0836,6.6718,0.0079,13.8634,9.2777,7.7003,1.5226,0.0035,3.6516,2.6109,1.9119,0.0793
2026-03-09,209100476311.53,1.1599,0.2822,1.8743,1.3362,1.0817,6.5994,0.0048,13.8728,9.2796,7.7003,1.5061,0.0018,3.6536,2.6113,1.9119,0.0801
2026-03-06,209492574713.4,1.1621,0.2836,1.8743,1.3364,1.0817,6.6117,0.0053,13.8728,9.2796,7.7010,1.5089,0.0018,3.6536,2.6125,1.9119,0.0800
2026-03-05,207476068646.64,1.1509,0.2728,1.8743,1.3366,1.0817,6.5481,0.0022,13.8728,9.2796,7.7038,1.4944,0.0004,3.6536,2.6137,1.9122,0.0808
2026-03-04,206635857785.49,1.1462,0.2663,1.8743,1.3367,1.0817,6.5216,0.0018,13.8728,9.2808,7.7057,1.4883,0.0000,3.6536,2.6143,1.9124,0.0811
2026-03-03,207756138933.69,1.1524,0.2735,1.8743,1.3369,1.0817,6.5569,0.0018,13.8728,9.2820,7.7083,1.4964,0.0000,3.6536,2.6149,1.9133,0.0806
2026-03-02,208372293565.2,1.1559,0.2776,1.8746,1.3372,1.0815,6.5764,0.0018,13.8818,9.2887,7.7083,1.5008,0.0000,3.6579,2.6166,1.9133,0.0804
2026-02-27,209772645000.45,1.1636,0.2847,1.8746,1.3374,1.0815,6.6206,0.0035,13.8818,9.2955,7.7083,1.5109,0.0000,3.6579,2.6184,1.9133,0.0799
2026-02-26,210556841804.19,1.1680,0.2919,1.8746,1.3377,1.0815,6.6453,0.0044,13.8818,9.2959,7.7131,1.5166,0.0000,3.6579,2.6194,1.9134,0.0796
2026-02-25,215598106971.09,1.1959,0.3184,1.8746,1.3380,1.0815,6.8044,0.0092,13.8818,9.2963,7.7133,1.5529,0.0053,3.6579,2.6204,1.9134,0.0777
2026-02-24,215262022626.63,1.1941,0.3141,1.8746,1.3380,1.0815,6.7938,0.0079,13.8818,9.2963,7.7149,1.5504,0.0035,3.6579,2.6206,1.9140,0.0778
2026-02-13,214925938282.17,1.1922,0.3127,1.8746,1.3372,1.0800,6.7832,0.0075,13.8818,9.2887,7.7180,1.5480,0.0031,3.6579,2.6166,1.9152,0.0780
2026-02-12,215262022626.63,1.1941,0.3155,1.8746,1.3374,1.0800,6.7938,0.0075,13.8818,9.2955,7.7200,1.5504,0.0031,3.6579,2.6184,1.9152,0.0778
2026-02-11,216886430291.52,1.2031,0.3292,1.8746,1.3377,1.0800,6.8451,0.0141,13.8818,9.2959,7.7214,1.5621,0.0097,3.6579,2.6194,1.9152,0.0773
2026-02-10,217334542750.8,1.2056,0.3325,1.8746,1.3380,1.0800,6.8592,0.0150,13.8818,9.2963,7.7228,1.5654,0.0128,3.6579,2.6204,1.9153,0.0771
2026-02-09,216326289717.42,1.2000,0.3256,1.8746,1.3380,1.0800,6.8274,0.0106,13.8818,9.2963,7.7271,1.5581,0.0070,3.6579,2.6206,1.9157,0.0775
2026-02-06,215990205372.96,1.1981,0.3217,1.8747,1.3380,1.0797,6.8168,0.0101,13.8864,9.2963,7.7271,1.5557,0.0057,3.6600,2.6208,1.9157,0.0776
2026-02-05,218006711439.72,1.2093,0.3386,1.8747,1.3385,1.0797,6.8804,0.0181,13.8864,9.3022,7.7281,1.5702,0.0150,3.6600,2.6208,1.9158,0.0769
2026-02-04,217782655210.08,1.2081,0.3364,1.8747,1.3385,1.0795,6.8734,0.0163,13.8864,9.3022,7.7287,1.5686,0.0132,3.6600,2.6208,1.9159,0.0769
2026-02-03,214869924224.76,1.1919,0.3140,1.8747,1.3385,1.0794,6.7814,0.0070,13.8864,9.3022,7.7312,1.5476,0.0026,3.6600,2.6208,1.9163,0.0780
2026-02-02,215878177258.14,1.1975,0.3206,1.8747,1.3385,1.0792,6.8133,0.0088,13.8864,9.3022,7.7314,1.5549,0.0040,3.6600,2.6208,1.9165,0.0776
2026-01-30,216774402176.7,1.2025,0.3283,1.8747,1.3380,1.0762,6.8415,0.0110,13.8864,9.2963,7.7314,1.5613,0.0075,3.6600,2.6208,1.9169,0.0773
2026-01-29,217782655210.08,1.2081,0.3369,1.8747,1.3385,1.0762,6.8734,0.0150,13.8864,9.3022,7.7323,1.5686,0.0119,3.6600,2.6208,1.9171,0.0769
2026-01-28,214701882052.53,1.1910,0.3135,1.8747,1.3385,1.0752,6.7761,0.0062,13.8864,9.3022,7.7332,1.5464,0.0022,3.6600,2.6208,1.9177,0.0780
2026-01-27,217950697382.31,1.2090,0.3377,1.8747,1.3385,1.0752,6.8787,0.0150,13.8864,9.3022,7.7332,1.5698,0.0114,3.6600,2.6208,1.9179,0.0769
2026-01-26,218846922300.87,1.2140,0.3439,1.8747,1.3385,1.0734,6.9070,0.0172,13.8864,9.3022,7.7360,1.5763,0.0137,3.6600,2.6208,1.9184,0.0766
2026-01-23,220863428367.63,1.2251,0.3605,1.8747,1.3380,1.0721,6.9706,0.0229,13.8864,9.2963,7.7380,1.5908,0.0246,3.6600,2.6208,1.9184,0.0759
2026-01-22,228817424519.85,1.2693,0.4223,1.8747,1.3385,1.0721,7.2216,0.0845,13.8864,9.3022,7.7396,1.5843,0.0185,3.6600,2.6208,1.9191,0.0732
2026-01-21,228369312060.57,1.2668,0.4192,1.8747,1.3385,1.0716,7.2075,0.0793,13.8864,9.3022,7.7400,1.5812,0.0172,3.6600,2.6208,1.9194,0.0734
2026-01-20,231226028988.48,1.2826,0.4452,1.8747,1.3385,1.0712,7.2976,0.1061,13.8864,9.3022,7.7415,1.6010,0.0260,3.6600,2.6208,1.9196,0.0725
2026-01-19,227024974682.73,1.2593,0.4086,1.8747,1.3385,1.0711,7.1651,0.0665,13.8864,9.3022,7.7437,1.5719,0.0119,3.6600,2.6208,1.9196,0.0738
2026-01-16,226016721649.35,1.2537,0.4010,1.8747,1.3380,1.0700,7.1332,0.0590,13.8864,9.2963,7.7448,1.5649,0.0084,3.6600,2.6209,1.9196,0.0741
2026-01-15,224728398328.92,1.2466,0.3884,1.8747,1.3385,1.0700,7.0926,0.0493,13.8864,9.3022,7.7448,1.5560,0.0044,3.6600,2.6211,1.9198,0.0746
2026-01-14,225176510788.2,1.2491,0.3937,1.8747,1.3385,1.0697,7.1067,0.0528,13.8864,9.3022,7.7457,1.5591,0.0053,3.6600,2.6211,1.9201,0.0744
2026-01-13,225904693534.53,1.2531,0.3989,1.8747,1.3385,1.0687,7.1297,0.0564,13.8864,9.3022,7.7472,1.5642,0.0062,3.6600,2.6211,1.9206,0.0742
2026-01-12,227024974682.73,1.2593,0.4091,1.8747,1.3385,1.0676,7.1651,0.0647,13.8864,9.3022,7.7476,1.5719,0.0101,3.6600,2.6211,1.9221,0.0738
2026-01-09,226744904395.68,1.2578,0.4080,1.8747,1.3380,1.0673,7.1562,0.0634,13.8864,9.2963,7.7494,1.5700,0.0097,3.6600,2.6209,1.9226,0.0739
2026-01-08,226520848166.04,1.2565,0.4064,1.8747,1.3385,1.0673,7.1491,0.0625,13.8864,9.3022,7.7495,1.5684,0.0088,3.6600,2.6211,1.9226,0.0740
2026-01-07,226520848166.04,1.2565,0.4069,1.8747,1.3385,1.0665,7.1491,0.0625,13.8864,9.3022,7.7525,1.5684,0.0088,3.6600,2.6223,1.9228,0.0740
2026-01-06,228649382347.62,1.2683,0.4218,1.8747,1.3385,1.0663,7.2163,0.0793,13.8864,9.3022,7.7552,1.5832,0.0137,3.6600,2.6223,1.9230,0.0733
2026-01-05,228313298003.16,1.2665,0.4179,1.8747,1.3385,1.0659,7.2057,0.0731,13.8864,9.3022,7.7566,1.5809,0.0119,3.6600,2.6247,1.9231,0.0734
2025-12-31,225288538903.02,1.2497,0.3979,1.8747,1.3380,1.0655,7.1103,0.0537,13.8864,9.2963,7.7568,1.5599,0.0053,3.6600,2.6267,1.9234,0.0744
2025-12-30,227024974682.73,1.2593,0.4107,1.8747,1.3380,1.0655,7.1651,0.0629,13.8864,9.3082,7.7581,1.5719,0.0084,3.6600,2.6315,1.9234,0.0738
2025-12-29,228089241773.52,1.2652,0.4173,1.8747,1.3380,1.0655,7.1986,0.0700,13.8864,9.3125,7.7609,1.5793,0.0101,3.6600,2.6321,1.9235,0.0735
2025-12-26,228313298003.16,1.2665,0.4188,1.8746,1.3380,1.0659,7.2057,0.0717,13.8818,9.3420,7.7680,1.5809,0.0106,3.6579,2.6340,1.9243,0.0734
2025-12-25,229153508864.31,1.2711,0.4287,1.8747,1.3380,1.0655,7.2322,0.0836,13.8864,9.3558,7.7680,1.5867,0.0150,3.6600,2.6343,1.9243,0.0731
2025-12-24,228313298003.16,1.2665,0.4195,1.8747,1.3380,1.0655,7.2057,0.0717,13.8864,9.3686,7.7683,1.5809,0.0106,3.6600,2.6350,1.9258,0.0734
2025-12-23,229097494806.9,1.2708,0.4283,1.8747,1.3380,1.0655,7.2305,0.0819,13.8864,9.3715,7.7688,1.5863,0.0136,3.6600,2.6364,1.9258,0.0731
2025-12-22,228985466692.08,1.2702,0.4274,1.8747,1.3380,1.0655,7.2269,0.0810,13.8864,9.3724,7.7693,1.5855,0.0132,3.6600,2.6369,1.9262,0.0732
2025-12-19,230441832184.74,1.2783,0.4395,1.8746,1.3380,1.0659,7.2729,0.0919,13.8818,9.3776,7.7733,1.5956,0.0167,3.6579,2.6405,1.9267,0.0727
2025-12-18,229433579151.36,1.2727,0.4318,1.8747,1.3380,1.0655,7.2411,0.0845,13.8864,9.3788,7.7733,1.5886,0.0145,3.6600,2.6413,1.9267,0.0730
2025-12-17,230217775955.1,1.2770,0.4371,1.8747,1.3380,1.0649,7.2658,0.0902,13.8864,9.3788,7.7747,1.5940,0.0158,3.6600,2.6422,1.9267,0.0728
2025-12-16,228817424519.85,1.2693,0.4261,1.8747,1.3380,1.0644,7.2216,0.0770,13.8864,9.3788,7.7762,1.5843,0.0110,3.6600,2.6539,1.9272,0.0732
2025-12-15,228929452634.67,1.2699,0.4278,1.8747,1.3380,1.0644,7.2252,0.0788,13.8864,9.3788,7.7766,1.5851,0.0119,3.6600,2.6576,1.9280,0.0732
2025-12-12,228257283945.75,1.2662,0.4228,1.8746,1.3380,1.0643,7.2040,0.0704,13.8818,9.3776,7.7801,1.5805,0.0101,3.6579,2.6608,1.9285,0.0734
2025-12-11,227697143371.65,1.2631,0.4208,1.8747,1.3380,1.0638,7.1863,0.0673,13.8864,9.3788,7.7801,1.5766,0.0088,3.6600,2.6608,1.9285,0.0736
2025-12-10,226128749764.17,1.2544,0.4124,1.8747,1.3380,1.0631,7.1368,0.0590,13.8864,9.3788,7.7816,1.5657,0.0079,3.6600,2.6630,1.9286,0.0741
2025-12-09,226016721649.35,1.2537,0.4107,1.8747,1.3380,1.0630,7.1332,0.0572,13.8864,9.3788,7.7817,1.5649,0.0066,3.6600,2.6693,1.9287,0.0741
2025-12-08,227865185543.88,1.2640,0.4212,1.8747,1.3380,1.0627,7.1916,0.0673,13.8864,9.3788,7.7825,1.5777,0.0079,3.6600,2.6736,1.9291,0.0735
2025-12-05,228929452634.67,1.2699,0.4285,1.8746,1.3380,1.0627,7.2252,0.0766,13.8818,9.3776,7.7849,1.5851,0.0097,3.6579,2.6760,1.9305,0.0732
2025-12-04,229321551036.54,1.2721,0.4313,1.8747,1.3380,1.0626,7.2375,0.0805,13.8864,9.3788,7.7849,1.5878,0.0106,3.6600,2.6780,1.9305,0.0731
2025-12-03,228593368290.21,1.2680,0.4265,1.8747,1.3380,1.0617,7.2146,0.0739,13.8864,9.3788,7.7850,1.5828,0.0084,3.6600,2.6815,1.9306,0.0733
2025-12-02,229097494806.9,1.2708,0.4305,1.8747,1.3380,1.0617,7.2305,0.0775,13.8864,9.3788,7.7856,1.5863,0.0092,3.6600,2.6829,1.9310,0.0731
2025-12-01,228817424519.85,1.2693,0.4283,1.8747,1.3380,1.0614,7.2216,0.0744,13.8864,9.3788,7.7856,1.5843,0.0084,3.6600,2.6843,1.9312,0.0732
2025-11-28,226072735706.76,1.2540,0.4153,1.8746,1.3380,1.0614,7.1350,0.0581,13.8818,9.3776,7.7861,1.5653,0.0070,3.6579,2.6836,1.9324,0.0741
2025-11-27,225904693534.53,1.2531,0.4124,1.8747,1.3380,1.0611,7.1297,0.0559,13.8864,9.3788,7.7861,1.5642,0.0057,3.6600,2.6843,1.9324,0.0742
2025-11-26,225904693534.53,1.2531,0.4129,1.8747,1.3380,1.0602,7.1297,0.0559,13.8864,9.3788,7.7868,1.5642,0.0057,3.6600,2.6843,1.9327,0.0742
2025-11-25,224448328041.87,1.2450,0.4014,1.8747,1.3380,1.0602,7.0837,0.0475,13.8864,9.3788,7.7911,1.5541,0.0031,3.6600,2.6843,1.9328,0.0747
2025-11-24,224672384271.51,1.2463,0.4027,1.8747,1.3380,1.0599,7.0908,0.0480,13.8864,9.3788,7.7911,1.5556,0.0031,3.6600,2.6843,1.9329,0.0746
2025-11-21,225456581075.25,1.2506,0.4109,1.8746,1.3380,1.0599,7.1156,0.0532,13.8818,9.3776,7.7913,1.5611,0.0044,3.6579,2.6836,1.9332,0.0743
2025-11-20,226016721649.35,1.2537,0.4142,1.8747,1.3380,1.0593,7.1332,0.0550,13.8864,9.3788,7.7913,1.5649,0.0044,3.6600,2.6843,1.9332,0.0741
2025-11-19,224952454558.56,1.2478,0.4071,1.8747,1.3380,1.0588,7.0996,0.0497,13.8864,9.3788,7.7924,1.5576,0.0035,3.6600,2.6843,1.9334,0.0745
2025-11-18,224672384271.51,1.2463,0.4045,1.8747,1.3380,1.0585,7.0908,0.0480,13.8864,9.3788,7.7935,1.5556,0.0031,3.6600,2.6843,1.9345,0.0746
2025-11-17,225120496730.79,1.2488,0.4089,1.8747,1.3380,1.0582,7.1050,0.0506,13.8864,9.3788,7.7947,1.5587,0.0031,3.6600,2.6843,1.9347,0.0744
2025-11-14,227529101199.42,1.2621,0.4232,1.8746,1.3380,1.0578,7.1810,0.0607,13.8818,9.3776,7.7970,1.5754,0.0031,3.6579,2.6836,1.9352,0.0736
2025-11-13,229657635381.0,1.2739,0.4331,1.8747,1.3380,1.0576,7.2481,0.0757,13.8864,9.3788,7.7970,1.5902,0.0044,3.6600,2.6843,1.9352,0.0730
2025-11-12,230497846242.15,1.2786,0.4397,1.8747,1.3380,1.0573,7.2747,0.0805,13.8864,9.3788,7.7983,1.5960,0.0053,3.6600,2.6843,1.9355,0.0727
2025-11-11,229209522921.72,1.2714,0.4322,1.8747,1.3380,1.0565,7.2340,0.0726,13.8864,9.3788,7.7983,1.5871,0.0040,3.6600,2.6843,1.9356,0.0731
2025-11-10,228873438577.26,1.2696,0.4300,1.8747,1.3380,1.0564,7.2234,0.0700,13.8864,9.3788,7.7985,1.5847,0.0035,3.6600,2.6843,1.9356,0.0732
2025-11-07,224168257754.82,1.2435,0.4043,1.8746,1.3380,1.0559,7.0749,0.0458,13.8818,9.3776,7.7999,1.5522,0.0026,3.6579,2.6836,1.9361,0.0747
2025-11-06,224000215582.59,1.2425,0.4032,1.8747,1.3380,1.0559,7.0696,0.0440,13.8864,9.3788,7.7999,1.5510,0.0022,3.6600,2.6843,1.9361,0.0748
2025-11-05,222487836032.52,1.2342,0.3930,1.8747,1.3380,1.0539,7.0219,0.0317,13.8864,9.3788,7.8002,1.5405,0.0009,3.6600,2.6843,1.9362,0.0753
2025-11-04,222431821975.11,1.2338,0.3926,1.8747,1.3380,1.0538,7.0201,0.0299,13.8864,9.3788,7.8035,1.5401,0.0004,3.6600,2.6843,1.9369,0.0753
2025-11-03,221367554884.32,1.2279,0.3873,1.8747,1.3380,1.0531,6.9865,0.0255,13.8864,9.3788,7.8035,1.5328,0.0000,3.6600,2.6843,1.9370,0.0757
2025-10-31,222655878204.75,1.2351,0.3942,1.8746,1.3380,1.0530,7.0272,0.0321,13.8818,9.3776,7.8035,1.5417,0.0000,3.6579,2.6836,1.9377,0.0753
2025-10-30,226688890338.27,1.2098,0.3662,1.8747,1.3380,1.0528,6.9835,0.0246,13.8864,9.3788,7.8035,1.6743,0.0242,3.6600,2.6843,1.9377,0.0739
2025-10-29,227921199601.29,1.2164,0.3737,1.8747,1.3380,1.0525,7.0214,0.0295,13.8864,9.3788,7.8035,1.6834,0.0277,3.6600,2.6857,1.9380,0.0735
2025-10-28,228089241773.52,1.2173,0.3759,1.8747,1.3380,1.0524,7.0266,0.0308,13.8864,9.3788,7.8035,1.6846,0.0286,3.6600,2.6912,1.9381,0.0735
2025-10-27,229489593208.77,1.2248,0.3851,1.8747,1.3380,1.0523,7.0697,0.0409,13.8864,9.3788,7.8035,1.6950,0.0357,3.6600,2.6926,1.9381,0.0730
