日期,="A股全指.收盘点位",="格雷厄姆指数"
2022-01-28,=5405.9100,=0.0276
2022-01-21,=5695.0200,=0.0250
2022-01-14,=5746.2300,=0.0237
2022-01-07,=5811.6100,=0.0229
2021-12-31,=5969.8000,=0.0222
2021-12-24,=5896.6400,=0.0223
2021-12-17,=5951.2900,=0.0216
2021-12-10,=6008.6200,=0.0219
2021-12-03,=5935.4000,=0.0223
2021-11-26,=5876.0200,=0.0233
2021-11-19,=5853.5700,=0.0224
2021-11-12,=5821.3400,=0.0226
2021-11-05,=5702.4800,=0.0241
2021-10-29,=5740.2900,=0.0228
2021-10-22,=5775.4400,=0.0224
2021-10-15,=5740.9900,=0.0228
2021-10-09,,=0.0230
2021-10-08,=5769.2900,=0.0234
2021-09-30,=5723.4600,=0.0238
2021-09-26,,=0.0230
2021-09-24,=5807.9600,=0.0231
2021-09-18,,=0.0230
2021-09-17,=5827.8100,=0.0230
2021-09-10,=5980.3600,=0.0218
2021-09-03,=5767.8800,=0.0239
2021-08-27,=5757.1500,=0.0219
2021-08-20,=5626.2400,=0.0224
2021-08-13,=5804.7300,=0.0202
2021-08-06,=5738.2000,=0.0211
2021-07-30,=5607.7500,=0.0218
2021-07-23,=5833.6500,=0.0190
2021-07-16,=5795.5300,=0.0189
2021-07-09,=5752.1100,=0.0183
2021-07-02,=5687.2900,=0.0181
2021-06-25,=5812.0800,=0.0170
2021-06-18,=5669.4500,=0.0179
2021-06-11,=5755.7300,=0.0176
2021-06-04,=5768.9700,=0.0179
2021-05-28,=5765,=0.0181
2021-05-21,=5582.6100,=0.0196
2021-05-14,=5562.1600,=0.0193
2021-05-08,,=0.0202
2021-05-07,=5445.0900,=0.0202
2021-04-30,=5544.2600,=0.0194
2021-04-25,,=0.0150
2021-04-23,=5560.1700,=0.0152
2021-04-16,=5420.6800,=0.0154
2021-04-09,=5457.5900,=0.0137
2021-04-02,=5524.6900,=0.0132
2021-03-26,=5425.7500,=0.0125
2021-03-19,=5389.6300,=0.0120
2021-03-12,=5469.1600,=0.0109
2021-03-05,=5607.5500,=0.0100
2021-02-26,=5617.6700,=0.0096
2021-02-20,,=0.0074
2021-02-19,=5977.4200,=0.0075
2021-02-10,=5918.5900,=0.0079
2021-02-07,,=0.0101
2021-02-05,=5628.4300,=0.0105
2021-01-29,=5615.5700,=0.0103
2021-01-22,=5885.3500,=0.0093
2021-01-15,=5740.2800,=0.0099
2021-01-08,=5804.6000,=0.0096
2020-12-31,=5621.7300,=0.0109
2020-12-25,=5485.7200,=0.0115
2020-12-18,=5465.5800,=0.0105
2020-12-11,=5371.6900,=0.0140
2020-12-04,=5564.9300,=0.0128
2020-11-27,=5470.4800,=0.0131
2020-11-20,=5488.7700,=0.0131
2020-11-13,=5402.7700,=0.0143
2020-11-06,=5423.9600,=0.0148
2020-10-30,=5241.1700,=0.0166
2020-10-23,=5295.6200,=0.0141
2020-10-16,=5424.6100,=0.0126
2020-10-10,,=0.0138
2020-10-09,=5319.4500,=0.0142
2020-09-30,=5189.3600,=0.0152
2020-09-27,,=0.0154
2020-09-25,=5187.2900,=0.0156
2020-09-18,=5387.1100,=0.0139
2020-09-11,=5256.6200,=0.0149
2020-09-04,=5485.2700,=0.0133
2020-08-28,=5541.3500,=0.0152
2020-08-21,=5447.7200,=0.0170
2020-08-14,=5431.5400,=0.0174
2020-08-07,=5469.8100,=0.0165
2020-07-31,=5409.4600,=0.0173
2020-07-24,=5169.0700,=0.0203
2020-07-17,=5202.8200,=0.0189
2020-07-10,=5452.8500,=0.0158
2020-07-03,=5008.3500,=0.0210
2020-06-28,,=0.0228
2020-06-24,=4748.3300,=0.0225
2020-06-19,=4717.9000,=0.0229
2020-06-12,=4596.9600,=0.0258
2020-06-05,=4591.9600,=0.0248
2020-05-29,=4439.0900,=0.0284
2020-05-22,=4370.1500,=0.0300
2020-05-15,=4491.4300,=0.0281
2020-05-09,,=0.0283
2020-05-08,=4517.6800,=0.0293
2020-04-30,=4426.3400,=0.0303
2020-04-26,,=0.0350
2020-04-24,=4351.5500,=0.0346
2020-04-17,=4391.6000,=0.0344
2020-04-10,=4319.3600,=0.0354
2020-04-03,=4244.7400,=0.0355
2020-03-27,=4257.8000,=0.0346
2020-03-20,=4257,=0.0336
2020-03-13,=4494.5500,=0.0307
2020-03-06,=4764.2400,=0.0281
2020-02-28,=4493,=0.0300
2020-02-21,=4751.4600,=0.0257
2020-02-14,=4487.7800,=0.0285
2020-02-07,=4397.2100,=0.0301
2020-01-23,=4488.9700,=0.0268
2020-01-19,,=0.0243
2020-01-17,=4637.2700,=0.0242
2020-01-10,=4633.4200,=0.0242
2020-01-03,=4576.5400,=0.0241
2019-12-27,=4428.6800,=0.0264
2019-12-20,=4426.5800,=0.0259
2019-12-13,=4350.4700,=0.0269
2019-12-06,=4280.5100,=0.0280
2019-11-29,=4186.1800,=0.0292
2019-11-22,=4212.9300,=0.0288
2019-11-15,=4216.2900,=0.0281
2019-11-08,=4329.0100,=0.0262
2019-11-01,=4311.0500,=0.0264
2019-10-25,=4289.7400,=0.0265
2019-10-18,=4261.8300,=0.0269
2019-10-12,,=0.0264
2019-10-11,=4322.1600,=0.0267
2019-09-30,=4214.4000,=0.0281
2019-09-29,,=0.0275
2019-09-27,=4259.7800,=0.0280
2019-09-20,=4398.2400,=0.0263
2019-09-12,=4433.9300,=0.0261
2019-09-06,=4376.6600,=0.0275
2019-08-30,=4184.7800,=0.0298
2019-08-23,=4201.7200,=0.0292
2019-08-16,=4068.2500,=0.0311
2019-08-09,=3971.5300,=0.0318
2019-08-02,=4124.2900,=0.0290
2019-07-26,=4231.3900,=0.0267
2019-07-19,=4199.3200,=0.0272
2019-07-12,=4198.0800,=0.0273
2019-07-05,=4319.9500,=0.0256
2019-06-28,=4244.0800,=0.0259
2019-06-21,=4282.0700,=0.0254
2019-06-14,=4086.1300,=0.0280
2019-06-06,=3980.9400,=0.0294
2019-05-31,=4123.5100,=0.0271
2019-05-24,=4056.5400,=0.0278
2019-05-17,=4134.6300,=0.0274
2019-05-10,=4226.0200,=0.0258
2019-05-05,,=0.0228
2019-04-30,=4422.4900,=0.0226
2019-04-28,,=0.0242
2019-04-26,=4460.6800,=0.0245
2019-04-19,=4756.5400,=0.0224
2019-04-12,=4632.0100,=0.0246
2019-04-04,=4727.6700,=0.0241
2019-03-29,=4487.7200,=0.0291
2019-03-22,=4499.5400,=0.0288
2019-03-15,=4351.4300,=0.0303
2019-03-08,=4249.7300,=0.0313
2019-03-01,=4215.7000,=0.0308
2019-02-22,=3968.8800,=0.0353
2019-02-15,=3752.4700,=0.0394
2019-02-03,,=0.0416
2019-02-01,=3596.0200,=0.0411
2019-01-25,=3598.6000,=0.0414
2019-01-18,=3598.4300,=0.0421
2019-01-11,=3551.3300,=0.0431
2019-01-04,=3470.2800,=0.0440
2018-12-30,,=0.0441
2018-12-28,=3432.3800,=0.0432
2018-12-21,=3472.6900,=0.0424
2018-12-14,=3592.5200,=0.0398
2018-12-07,=3634.5700,=0.0398
2018-11-30,=3606.1000,=0.0397
2018-11-23,=3589.6700,=0.0396
2018-11-16,=3763.2700,=0.0370
2018-11-09,=3584.8800,=0.0385
2018-11-02,=3666.5900,=0.0360
2018-10-26,=3523.3500,=0.0378
2018-10-19,=3454.3400,=0.0389
2018-10-12,=3536.7600,=0.0371
2018-09-30,,=0.0309
2018-09-28,=3890.8300,=0.0302
2018-09-21,=3880.9200,=0.0306
2018-09-14,=3737.7000,=0.0337
2018-09-07,=3798.5800,=0.0330
2018-08-31,=3842.1400,=0.0328
2018-08-24,=3854.9900,=0.0309
2018-08-17,=3785.0100,=0.0313
2018-08-10,=3979.6100,=0.0290
2018-08-03,=3892.8800,=0.0311
2018-07-27,=4144.3600,=0.0268
2018-07-20,=4096.5200,=0.0276
2018-07-13,=4105.0600,=0.0276
2018-07-06,=3956.6200,=0.0295
2018-06-29,=4127.9500,=0.0285
2018-06-22,=4157.4600,=0.0269
2018-06-15,=4380.6600,=0.0236
2018-06-08,=4486.6300,=0.0222
2018-06-01,=4488.9200,=0.0224
2018-05-25,=4614.4700,=0.0210
2018-05-18,=4685.9000,=0.0190
2018-05-11,=4666.5000,=0.0196
2018-05-04,=4571.4000,=0.0214
2018-04-28,,=0.0213
2018-04-27,=4548.4200,=0.0223
2018-04-20,=4556.7100,=0.0217
2018-04-13,=4688.6200,=0.0178
2018-04-08,,=0.0181
2018-04-04,=4676.6100,=0.0177
2018-03-30,=4731.0300,=0.0167
2018-03-23,=4604.9000,=0.0171
2018-03-16,=4828.5000,=0.0134
2018-03-09,=4876.4600,=0.0125
2018-03-02,=4751.9400,=0.0136
2018-02-24,,=0.0135
2018-02-23,=4709.7300,=0.0135
2018-02-14,=4600.6100,=0.0148
2018-02-11,,=0.0161
2018-02-09,=4457.4600,=0.0158
2018-02-02,=4874.8100,=0.0108
2018-01-26,=5126.6100,=0.0086
2018-01-19,=5036.9900,=0.0092
2018-01-12,=5057.9100,=0.0102
2018-01-05,=5020.4900,=0.0108
2017-12-31,,=0.0130
2017-12-29,=4898.9000,=0.0130
2017-12-22,=4915.8000,=0.0132
2017-12-15,=4889.4400,=0.0135
2017-12-08,=4889.2300,=0.0132
2017-12-01,=4929.9200,=0.0130
2017-11-24,=4973.5100,=0.0119
2017-11-17,=5026.9900,=0.0118
2017-11-10,=5145.6900,=0.0109
2017-11-03,=5003.1700,=0.0122
2017-10-27,=5109.6800,=0.0107
2017-10-20,=5036.9300,=0.0112
2017-10-13,=5100.5500,=0.0112
2017-09-30,,=0.0126
2017-09-29,=5002.5500,=0.0125
2017-09-22,=5001.3200,=0.0125
2017-09-15,=5010.1500,=0.0128
2017-09-08,=4993.1900,=0.0127
2017-09-01,=4972.2500,=0.0126
2017-08-25,=4887.1100,=0.0120
2017-08-18,=4845.8600,=0.0128
2017-08-11,=4720.9200,=0.0136
2017-08-04,=4782.9500,=0.0127
2017-07-28,=4790.2300,=0.0129
2017-07-21,=4754.6100,=0.0136
2017-07-14,=4781.4700,=0.0136
2017-07-07,=4808.6300,=0.0132
2017-06-30,=4772.1400,=0.0146
2017-06-23,=4708.6200,=0.0153
2017-06-16,=4661.4300,=0.0156
2017-06-09,=4674.9400,=0.0147
2017-06-02,=4536.5500,=0.0159
2017-05-27,,=0.0155
2017-05-26,=4569.9700,=0.0158
2017-05-19,=4599.6100,=0.0157
2017-05-12,=4540.4700,=0.0158
2017-05-05,=4637.6800,=0.0161
2017-04-28,=4718.1300,=0.0154
2017-04-21,=4768.2500,=0.0129
2017-04-14,=4901.2300,=0.0124
2017-04-07,=4970.4000,=0.0122
2017-04-01,,=0.0134
2017-03-31,=4863.5100,=0.0136
2017-03-24,=4962.3700,=0.0122
2017-03-17,=4923.5300,=0.0118
2017-03-10,=4894.7700,=0.0109
2017-03-03,=4888.7800,=0.0114
2017-02-24,=4930.0600,=0.0117
2017-02-17,=4831.8400,=0.0122
2017-02-10,=4842.3000,=0.0111
2017-02-04,,=0.0123
2017-02-03,=4748.2100,=0.0129
2017-01-26,=4770.4300,=0.0127
2017-01-22,,=0.0144
2017-01-20,=4711.3100,=0.0149
2017-01-13,=4741.0800,=0.0149
2017-01-06,=4850.9400,=0.0141
2016-12-31,,=0.0171
2016-12-30,=4786.9800,=0.0154
2016-12-23,=4786.6100,=0.0155
2016-12-16,=4827.3500,=0.0143
2016-12-09,=5006.6100,=0.0145
2016-12-02,=5030.2700,=0.0153
2016-11-25,=5096.9300,=0.0161
2016-11-18,=5022.1600,=0.0166
2016-11-11,=5012.4700,=0.0175
2016-11-04,=4919.6200,=0.0192
2016-10-28,=4890.5500,=0.0191
2016-10-21,=4887.9100,=0.0187
2016-10-14,=4865.1700,=0.0183
2016-10-09,,=0.0196
2016-09-30,=4757.4000,=0.0191
2016-09-23,=4790.9000,=0.0188
2016-09-18,,=0.0191
2016-09-14,=4726.5000,=0.0191
2016-09-09,=4852.0700,=0.0179
2016-09-02,=4799.6200,=0.0185
2016-08-26,=4817.5700,=0.0197
2016-08-19,=4882.4300,=0.0196
2016-08-12,=4745.2100,=0.0209
2016-08-05,=4653.3400,=0.0211
2016-07-29,=4652.7100,=0.0209
2016-07-22,=4775.5000,=0.0197
2016-07-15,=4824.8500,=0.0188
2016-07-08,=4741.7500,=0.0201
2016-07-01,=4644.6100,=0.0209
2016-06-24,=4505.9600,=0.0221
2016-06-17,=4538.5000,=0.0212
2016-06-12,,=0.0199
2016-06-08,=4587.3900,=0.0198
2016-06-03,=4597.3400,=0.0198
2016-05-27,=4378.0900,=0.0228
2016-05-20,=4374.1900,=0.0229
2016-05-13,=4363.0500,=0.0235
2016-05-06,=4537.6400,=0.0218
2016-04-29,=4564.6700,=0.0218
2016-04-22,=4573.1800,=0.0222

数据来源于：理杏仁网站(lixinger.com)
