date,stockCode,融资买入金额
2025-11-13T00:00:00+08:00,002475,609767515
2025-11-14T00:00:00+08:00,002475,600462962
2025-11-17T00:00:00+08:00,002475,387821600
2025-11-18T00:00:00+08:00,002475,499757031
2025-11-19T00:00:00+08:00,002475,670770410
2025-11-20T00:00:00+08:00,002475,615306880
2025-11-21T00:00:00+08:00,002475,429320119
2025-11-24T00:00:00+08:00,002475,392137274
2025-11-25T00:00:00+08:00,002475,1037461706
2025-11-26T00:00:00+08:00,002475,1279151258
2025-11-27T00:00:00+08:00,002475,814241441
2025-11-28T00:00:00+08:00,002475,452683055
2025-12-01T00:00:00+08:00,002475,771835787
2025-12-02T00:00:00+08:00,002475,800638859
2025-12-03T00:00:00+08:00,002475,575944430
2025-12-04T00:00:00+08:00,002475,541407156
2025-12-05T00:00:00+08:00,002475,409016010
2025-12-08T00:00:00+08:00,002475,647186187
2025-12-09T00:00:00+08:00,002475,672552193
2025-12-10T00:00:00+08:00,002475,648301375
2025-12-11T00:00:00+08:00,002475,394626230
2025-12-12T00:00:00+08:00,002475,594837595
2025-12-15T00:00:00+08:00,002475,662030306
2025-12-16T00:00:00+08:00,002475,285081064
2025-12-17T00:00:00+08:00,002475,324355526
2025-12-18T00:00:00+08:00,002475,319591130
2025-12-19T00:00:00+08:00,002475,281830066
2025-12-22T00:00:00+08:00,002475,441071491
2025-12-23T00:00:00+08:00,002475,400171023
2025-12-24T00:00:00+08:00,002475,501908797
2025-12-25T00:00:00+08:00,002475,441394224
2025-12-26T00:00:00+08:00,002475,456589245
2025-12-29T00:00:00+08:00,002475,527487686
2025-12-30T00:00:00+08:00,002475,592652492
2025-12-31T00:00:00+08:00,002475,633842900
2026-01-05T00:00:00+08:00,002475,897215943
2026-01-06T00:00:00+08:00,002475,875584770
2026-01-07T00:00:00+08:00,002475,1156016400
2026-01-08T00:00:00+08:00,002475,1295420199
2026-01-09T00:00:00+08:00,002475,671742334
2026-01-12T00:00:00+08:00,002475,1146613414
2026-01-13T00:00:00+08:00,002475,628693246
2026-01-14T00:00:00+08:00,002475,839513127
2026-01-15T00:00:00+08:00,002475,2717275826
2026-01-16T00:00:00+08:00,002475,1773224096
2026-01-19T00:00:00+08:00,002475,741523275
2026-01-20T00:00:00+08:00,002475,775285759
2026-01-21T00:00:00+08:00,002475,583384111
2026-01-22T00:00:00+08:00,002475,621923503
2026-01-23T00:00:00+08:00,002475,695688903
2026-01-26T00:00:00+08:00,002475,581754640
2026-01-27T00:00:00+08:00,002475,577732048
2026-01-28T00:00:00+08:00,002475,516095130
2026-01-29T00:00:00+08:00,002475,556632890
2026-01-30T00:00:00+08:00,002475,394080118
2026-02-02T00:00:00+08:00,002475,410566941
2026-02-03T00:00:00+08:00,002475,534239747
2026-02-04T00:00:00+08:00,002475,367775867
2026-02-05T00:00:00+08:00,002475,206591719
2026-02-06T00:00:00+08:00,002475,257137281
2026-02-09T00:00:00+08:00,002475,300086641
2026-02-10T00:00:00+08:00,002475,249400600
2026-02-11T00:00:00+08:00,002475,376227174
2026-02-12T00:00:00+08:00,002475,436683088
2026-02-13T00:00:00+08:00,002475,340620039
2026-02-24T00:00:00+08:00,002475,440109223
2026-02-25T00:00:00+08:00,002475,494816628
2026-02-26T00:00:00+08:00,002475,468261171
2026-02-27T00:00:00+08:00,002475,505382759
2026-03-02T00:00:00+08:00,002475,516746524
2026-03-03T00:00:00+08:00,002475,518508745
2026-03-04T00:00:00+08:00,002475,693202941
2026-03-05T00:00:00+08:00,002475,322018183
2026-03-06T00:00:00+08:00,002475,232527785
2026-03-09T00:00:00+08:00,002475,255230509
2026-03-10T00:00:00+08:00,002475,689581630
2026-03-11T00:00:00+08:00,002475,672452635
2026-03-12T00:00:00+08:00,002475,236727132
2026-03-13T00:00:00+08:00,002475,293736095
2026-03-16T00:00:00+08:00,002475,461016194
2026-03-17T00:00:00+08:00,002475,631704169
2026-03-18T00:00:00+08:00,002475,350368727
2026-03-19T00:00:00+08:00,002475,303983110
2026-03-20T00:00:00+08:00,002475,275765786
2026-03-23T00:00:00+08:00,002475,316544705
2026-03-24T00:00:00+08:00,002475,381963095
2026-03-25T00:00:00+08:00,002475,2998286431
2026-03-26T00:00:00+08:00,002475,1182481854
2026-03-27T00:00:00+08:00,002475,788293900
2026-03-30T00:00:00+08:00,002475,700399403
2026-03-31T00:00:00+08:00,002475,602545855
2026-04-01T00:00:00+08:00,002475,566490114
2026-04-02T00:00:00+08:00,002475,387006131
2026-04-03T00:00:00+08:00,002475,320767331
2026-04-07T00:00:00+08:00,002475,418165570
2026-04-08T00:00:00+08:00,002475,918923836
2026-04-09T00:00:00+08:00,002475,1719015729
2026-04-10T00:00:00+08:00,002475,2986850461
2026-04-13T00:00:00+08:00,002475,1166661410
2026-04-14T00:00:00+08:00,002475,1147508968
2026-04-15T00:00:00+08:00,002475,754526788
