date,stockCode,融资净买入金额
2025-06-27T00:00:00+08:00,002475,-218624746
2025-06-30T00:00:00+08:00,002475,-91156842
2025-07-01T00:00:00+08:00,002475,18171266
2025-07-02T00:00:00+08:00,002475,37457670
2025-07-03T00:00:00+08:00,002475,139824929
2025-07-04T00:00:00+08:00,002475,-193740884
2025-07-07T00:00:00+08:00,002475,11483193
2025-07-08T00:00:00+08:00,002475,17681881
2025-07-09T00:00:00+08:00,002475,-63302573
2025-07-10T00:00:00+08:00,002475,152074815
2025-07-11T00:00:00+08:00,002475,-8804006
2025-07-14T00:00:00+08:00,002475,-21474293
2025-07-15T00:00:00+08:00,002475,-167507647
2025-07-16T00:00:00+08:00,002475,-108425353
2025-07-17T00:00:00+08:00,002475,-56511012
2025-07-18T00:00:00+08:00,002475,-78598693
2025-07-21T00:00:00+08:00,002475,171567336
2025-07-22T00:00:00+08:00,002475,85646197
2025-07-23T00:00:00+08:00,002475,-157317002
2025-07-24T00:00:00+08:00,002475,123636768
2025-07-25T00:00:00+08:00,002475,-7619361
2025-07-28T00:00:00+08:00,002475,-2864282
2025-07-29T00:00:00+08:00,002475,-43345622
2025-07-30T00:00:00+08:00,002475,80654018
2025-07-31T00:00:00+08:00,002475,-848239
2025-08-01T00:00:00+08:00,002475,-44096127
2025-08-04T00:00:00+08:00,002475,19328847
2025-08-05T00:00:00+08:00,002475,-10103171
2025-08-06T00:00:00+08:00,002475,56956288
2025-08-07T00:00:00+08:00,002475,-208914485
2025-08-08T00:00:00+08:00,002475,16530502
2025-08-11T00:00:00+08:00,002475,-149057568
2025-08-12T00:00:00+08:00,002475,-8442791
2025-08-13T00:00:00+08:00,002475,-39845851
2025-08-14T00:00:00+08:00,002475,92560386
2025-08-15T00:00:00+08:00,002475,-78080435
2025-08-18T00:00:00+08:00,002475,129795531
2025-08-19T00:00:00+08:00,002475,59108580
2025-08-20T00:00:00+08:00,002475,-17838918
2025-08-21T00:00:00+08:00,002475,167480528
2025-08-22T00:00:00+08:00,002475,260335723
2025-08-25T00:00:00+08:00,002475,-28254614
2025-08-26T00:00:00+08:00,002475,-27500497
2025-08-27T00:00:00+08:00,002475,-74458008
2025-08-28T00:00:00+08:00,002475,72372190
2025-08-29T00:00:00+08:00,002475,319101086
2025-09-01T00:00:00+08:00,002475,144277661
2025-09-02T00:00:00+08:00,002475,-210279831
2025-09-03T00:00:00+08:00,002475,728476
2025-09-04T00:00:00+08:00,002475,260887142
2025-09-05T00:00:00+08:00,002475,237920660
2025-09-08T00:00:00+08:00,002475,335926215
2025-09-09T00:00:00+08:00,002475,-280552536
2025-09-10T00:00:00+08:00,002475,-85956604
2025-09-11T00:00:00+08:00,002475,971343121
2025-09-12T00:00:00+08:00,002475,798397450
