date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2025-12-01,135280496170.92,0.1212,,,,,0.0476,0.4286,,,,,0.4308,,,,,6.5941,,,,,5.4533,,,,
2025-11-28,134046185074.47,0.1201,,,,,0.0480,0.4247,,,,,0.4268,,,,,6.5339,,,,,5.4035,,,,
2025-11-27,133799322855.18,0.1199,,,,,0.0481,0.4240,,,,,0.4261,,,,,6.5219,,,,,5.3936,,,,
2025-11-26,134293047293.76,0.1203,,,,,0.0479,0.4255,,,,,0.4276,,,,,6.5459,,,,,5.4135,,,,
2025-11-25,134539909513.05,0.1205,,,,,0.0478,0.4263,,,,,0.4284,,,,,6.5580,,,,,5.4234,,,,
2025-11-24,134293047293.76,0.1203,,,,,0.0479,0.4255,,,,,0.4276,,,,,6.5459,,,,,5.4135,,,,
2025-11-21,134343678430.17,0.1204,,,,,0.0479,0.4257,,,,,0.4278,,,,,6.5484,,,,,5.4155,,,,
2025-11-20,137312599500.45,0.1230,,,,,0.0468,0.4351,,,,,0.4372,,,,,6.6931,,,,,5.5352,,,,
2025-11-19,137312599500.45,0.1230,,,,,0.0468,0.4351,,,,,0.4372,,,,,6.6931,,,,,5.5352,,,,
2025-11-18,137312599500.45,0.1230,,,,,0.0468,0.4351,,,,,0.4372,,,,,6.6931,,,,,5.5352,,,,
2025-11-17,139044470124.78,0.1246,,,,,0.0463,0.4406,,,,,0.4428,,,,,6.7775,,,,,5.6050,,,,
2025-11-14,140281520570.73,0.1257,,,,,0.0459,0.4445,,,,,0.4467,,,,,6.8378,,,,,5.6549,,,,
2025-11-13,141518571016.68,0.1268,,,,,0.0455,0.4484,,,,,0.4506,,,,,6.8981,,,,,5.7047,,,,
2025-11-12,140776340749.11,0.1261,,,,,0.0457,0.4461,,,,,0.4483,,,,,6.8620,,,,,5.6748,,,,
2025-11-11,141271160927.49,0.1266,,,,,0.0455,0.4476,,,,,0.4498,,,,,6.8861,,,,,5.6948,,,,
2025-11-10,141023750838.3,0.1264,,,,,0.0456,0.4468,,,,,0.4491,,,,,6.8740,,,,,5.6848,,,,
2025-11-07,140034110481.54,0.1255,,,,,0.0459,0.4437,,,,,0.4459,,,,,6.8258,,,,,5.6449,,,,
2025-11-06,140281520570.73,0.1257,,,,,0.0459,0.4445,,,,,0.4467,,,,,6.8378,,,,,5.6549,,,,
2025-11-05,139044470124.78,0.1246,,,,,0.0463,0.4406,,,,,0.4428,,,,,6.7775,,,,,5.6050,,,,
2025-11-04,139044470124.78,0.1246,,,,,0.0463,0.4406,,,,,0.4428,,,,,6.7775,,,,,5.6050,,,,
2025-11-03,139044470124.78,0.1246,,,,,0.0463,0.4406,,,,,0.4428,,,,,6.7775,,,,,5.6050,,,,
2025-10-31,139044470124.78,0.1246,,,,,0.0463,0.4406,,,,,0.4428,,,,,6.7775,,,,,5.6050,,,,
2025-10-30,142013391195.06,0.1259,,,,,0.0310,0.4640,,,,,0.4664,,,,,6.6059,,,,,5.5833,,,,
2025-10-29,141765981105.87,0.1256,,,,,0.0311,0.4632,,,,,0.4656,,,,,6.5944,,,,,5.5736,,,,
2025-10-28,141023750838.3,0.1250,,,,,0.0312,0.4608,,,,,0.4631,,,,,6.5599,,,,,5.5444,,,,
2025-10-27,143497851730.2,0.1272,,,,,0.0307,0.4689,,,,,0.4713,,,,,6.6750,,,,,5.6417,,,,
2025-10-24,141271160927.49,0.1252,,,,,0.0312,0.4616,,,,,0.4639,,,,,6.5714,,,,,5.5542,,,,
2025-10-23,142260801284.25,0.1261,,,,,0.0310,0.4648,,,,,0.4672,,,,,6.6175,,,,,5.5931,,,,
2025-10-22,141518571016.68,0.1254,,,,,0.0311,0.4624,,,,,0.4648,,,,,6.5829,,,,,5.5639,,,,
2025-10-21,141271160927.49,0.1252,,,,,0.0312,0.4616,,,,,0.4639,,,,,6.5714,,,,,5.5542,,,,
2025-10-20,139044470124.78,0.1232,,,,,0.0317,0.4543,,,,,0.4566,,,,,6.4678,,,,,5.4666,,,,
2025-10-17,140281520570.73,0.1243,,,,,0.0314,0.4583,,,,,0.4607,,,,,6.5254,,,,,5.5152,,,,
2025-10-16,142013391195.06,0.1259,,,,,0.0310,0.4640,,,,,0.4664,,,,,6.6059,,,,,5.5833,,,,
2025-10-15,143003031551.82,0.1267,,,,,0.0308,0.4672,,,,,0.4696,,,,,6.6520,,,,,5.6222,,,,
2025-10-14,143250441641.01,0.1270,,,,,0.0307,0.4680,,,,,0.4704,,,,,6.6635,,,,,5.6320,,,,
2025-10-13,143745261819.39,0.1274,,,,,0.0306,0.4697,,,,,0.4721,,,,,6.6865,,,,,5.6514,,,,
2025-10-10,146219362711.29,0.1296,,,,,0.0301,0.4777,,,,,0.4802,,,,,6.8016,,,,,5.7487,,,,
2025-10-09,143745261819.39,0.1274,,,,,0.0306,0.4697,,,,,0.4721,,,,,6.6865,,,,,5.6514,,,,
2025-09-30,136322959143.69,0.1208,,,,,0.0323,0.4454,,,,,0.4477,,,,,6.3412,,,,,5.3596,,,,
2025-09-29,135333318786.93,0.1199,,,,,0.0325,0.4422,,,,,0.4444,,,,,6.2952,,,,,5.3207,,,,
2025-09-26,136075549054.5,0.1206,,,,,0.0324,0.4446,,,,,0.4469,,,,,6.3297,,,,,5.3499,,,,
2025-09-25,135333318786.93,0.1199,,,,,0.0325,0.4422,,,,,0.4444,,,,,6.2952,,,,,5.3207,,,,
2025-09-24,136075549054.5,0.1206,,,,,0.0324,0.4446,,,,,0.4469,,,,,6.3297,,,,,5.3499,,,,
2025-09-23,136570369232.88,0.1210,,,,,0.0322,0.4462,,,,,0.4485,,,,,6.3528,,,,,5.3693,,,,
2025-09-22,136075549054.5,0.1206,,,,,0.0324,0.4446,,,,,0.4469,,,,,6.3297,,,,,5.3499,,,,
2025-09-19,137312599500.45,0.1217,,,,,0.0321,0.4486,,,,,0.4509,,,,,6.3873,,,,,5.3985,,,,
2025-09-18,137065189411.26,0.1215,,,,,0.0321,0.4478,,,,,0.4501,,,,,6.3758,,,,,5.3888,,,,
2025-09-17,139539290303.16,0.1237,,,,,0.0316,0.4559,,,,,0.4583,,,,,6.4909,,,,,5.4861,,,,
2025-09-16,138549649946.4,0.1228,,,,,0.0318,0.4527,,,,,0.4550,,,,,6.4448,,,,,5.4472,,,,
2025-09-15,138797060035.59,0.1230,,,,,0.0317,0.4535,,,,,0.4558,,,,,6.4563,,,,,5.4569,,,,
2025-09-12,138549649946.4,0.1228,,,,,0.0318,0.4527,,,,,0.4550,,,,,6.4448,,,,,5.4472,,,,
2025-09-11,138302239857.21,0.1226,,,,,0.0318,0.4519,,,,,0.4542,,,,,6.4333,,,,,5.4374,,,,
2025-09-10,137312599500.45,0.1217,,,,,0.0321,0.4486,,,,,0.4509,,,,,6.3873,,,,,5.3985,,,,
2025-09-09,138054829768.02,0.1224,,,,,0.0319,0.4511,,,,,0.4534,,,,,6.4218,,,,,5.4277,,,,
2025-09-08,138549649946.4,0.1228,,,,,0.0318,0.4527,,,,,0.4550,,,,,6.4448,,,,,5.4472,,,,
2025-09-05,137312599500.45,0.1217,,,,,0.0321,0.4486,,,,,0.4509,,,,,6.3873,,,,,5.3985,,,,
2025-09-04,136817779322.07,0.1213,,,,,0.0322,0.4470,,,,,0.4493,,,,,6.3643,,,,,5.3791,,,,
2025-09-03,138054829768.02,0.1224,,,,,0.0319,0.4511,,,,,0.4534,,,,,6.4218,,,,,5.4277,,,,
2025-09-02,139044470124.78,0.1232,,,,,0.0317,0.4543,,,,,0.4566,,,,,6.4678,,,,,5.4666,,,,
2025-09-01,139291880213.97,0.1235,,,,,0.0316,0.4551,,,,,0.4574,,,,,6.4793,,,,,5.4763,,,,
2025-08-29,140528930659.92,0.1228,,,,,0.0313,0.4590,,,,,0.4613,,,,,6.1881,,,,,5.3169,,,,
2025-08-28,141023750838.3,0.1233,,,,,0.0312,0.4606,,,,,0.4629,,,,,6.2099,,,,,5.3356,,,,
2025-08-27,140776340749.11,0.1231,,,,,0.0313,0.4598,,,,,0.4621,,,,,6.1990,,,,,5.3263,,,,
2025-08-26,143497851730.2,0.1254,,,,,0.0307,0.4687,,,,,0.4711,,,,,6.3188,,,,,5.4292,,,,
2025-08-25,144487492086.96,0.1263,,,,,0.0305,0.4719,,,,,0.4743,,,,,6.3624,,,,,5.4667,,,,
2025-08-22,143003031551.82,0.1250,,,,,0.0308,0.4670,,,,,0.4694,,,,,6.2970,,,,,5.4105,,,,
2025-08-21,141765981105.87,0.1239,,,,,0.0311,0.4630,,,,,0.4654,,,,,6.2425,,,,,5.3637,,,,
