date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-16,36627278075.97,-0.4298,,,,,-0.4150,,,,,0.3314,,,,,0.3494,,,,,0.0000,0.1632,,,,
2026-06-15,37343120644.23,-0.4382,,,,,-0.4231,,,,,0.3378,,,,,0.3562,,,,,0.0000,0.1664,,,,
2026-06-12,37701041928.36,-0.4424,,,,,-0.4271,,,,,0.3411,,,,,0.3596,,,,,0.0000,0.1680,,,,
2026-06-11,37223813549.52,-0.4368,,,,,-0.4217,,,,,0.3368,,,,,0.3551,,,,,0.0000,0.1659,,,,
2026-06-10,37581734833.65,-0.4410,,,,,-0.4258,,,,,0.3400,,,,,0.3585,,,,,0.0000,0.1675,,,,
2026-06-09,37223813549.52,-0.4368,,,,,-0.4217,,,,,0.3368,,,,,0.3551,,,,,0.0000,0.1659,,,,
2026-06-08,37462427738.94,-0.4396,,,,,-0.4244,,,,,0.3389,,,,,0.3574,,,,,0.0000,0.1670,,,,
2026-06-05,38774805780.75,-0.4550,,,,,-0.4393,,,,,0.3508,,,,,0.3699,,,,,0.0000,0.1728,,,,
2026-06-04,38297577401.91,-0.4494,,,,,-0.4339,,,,,0.3465,,,,,0.3653,,,,,0.0000,0.1707,,,,
2026-06-03,39132727064.88,-0.4592,,,,,-0.4434,,,,,0.3540,,,,,0.3733,,,,,0.0000,0.1744,,,,
2026-06-02,40445105106.69,-0.4746,,,,,-0.4582,,,,,0.3659,,,,,0.3858,,,,,0.0000,0.1803,,,,
2026-06-01,41399561864.37,-0.4858,,,,,-0.4691,,,,,0.3745,,,,,0.3949,,,,,0.0000,0.1845,,,,
2026-05-29,42354018622.05,-0.4970,,,,,-0.4799,,,,,0.3832,,,,,0.4040,,,,,0.0000,0.1888,,,,
2026-05-28,39490648349.01,-0.4634,,,,,-0.4474,,,,,0.3573,,,,,0.3767,,,,,0.0000,0.1760,,,,
2026-05-27,39729262538.43,-0.4662,,,,,-0.4501,,,,,0.3594,,,,,0.3790,,,,,0.0000,0.1771,,,,
2026-05-26,40445105106.69,-0.4746,,,,,-0.4582,,,,,0.3659,,,,,0.3858,,,,,0.0000,0.1803,,,,
2026-05-25,41638176053.79,-0.4886,,,,,-0.4718,,,,,0.3767,,,,,0.3972,,,,,0.0000,0.1856,,,,
2026-05-22,41280254769.66,-0.4844,,,,,-0.4677,,,,,0.3735,,,,,0.3938,,,,,0.0000,0.1840,,,,
2026-05-21,41399561864.37,-0.4858,,,,,-0.4691,,,,,0.3745,,,,,0.3949,,,,,0.0000,0.1845,,,,
2026-05-20,42950554095.6,-0.5040,,,,,-0.4866,,,,,0.3886,,,,,0.4097,,,,,0.0000,0.1914,,,,
2026-05-19,44262932137.41,-0.5194,,,,,-0.5015,,,,,0.4004,,,,,0.4222,,,,,0.0000,0.1973,,,,
2026-05-18,43905010853.28,-0.5152,,,,,-0.4974,,,,,0.3972,,,,,0.4188,,,,,0.0000,0.1957,,,,
2026-05-15,45098081800.38,-0.5292,,,,,-0.5110,,,,,0.4080,,,,,0.4302,,,,,0.0000,0.2010,,,,
2026-05-14,46171845652.77,-0.5418,,,,,-0.5231,,,,,0.4177,,,,,0.4404,,,,,0.0000,0.2058,,,,
2026-05-13,47603530789.29,-0.5586,,,,,-0.5393,,,,,0.4307,,,,,0.4541,,,,,0.0000,0.2122,,,,
2026-05-12,48915908831.1,-0.5740,,,,,-0.5542,,,,,0.4425,,,,,0.4666,,,,,0.0000,0.2180,,,,
2026-05-11,48796601736.39,-0.5726,,,,,-0.5529,,,,,0.4415,,,,,0.4655,,,,,0.0000,0.2175,,,,
2026-05-08,47722837884.0,-0.5600,,,,,-0.5407,,,,,0.4317,,,,,0.4552,,,,,0.0000,0.2127,,,,
2026-05-07,47484223694.58,-0.5572,,,,,-0.5380,,,,,0.4296,,,,,0.4529,,,,,0.0000,0.2116,,,,
2026-05-06,47842144978.71,-0.5614,,,,,-0.5420,,,,,0.4328,,,,,0.4564,,,,,0.0000,0.2132,,,,
2026-04-30,46649074031.61,-0.5474,,,,,-0.5285,,,,,0.4220,,,,,0.4450,,,,,0.0000,0.2079,,,,
2026-04-29,46171845652.77,-0.5374,,,,,-0.5214,,,,,0.3950,,,,,0.4152,,,,,0.0000,0.1978,,,,
2026-04-28,44740160516.25,-0.5207,,,,,-0.5052,,,,,0.3827,,,,,0.4023,,,,,0.0000,0.1917,,,,
2026-04-27,44501546326.83,-0.5180,,,,,-0.5025,,,,,0.3807,,,,,0.4002,,,,,0.0000,0.1906,,,,
2026-04-24,44740160516.25,-0.5207,,,,,-0.5052,,,,,0.3827,,,,,0.4023,,,,,0.0000,0.1917,,,,
2026-04-23,45456003084.51,-0.5291,,,,,-0.5133,,,,,0.3888,,,,,0.4088,,,,,0.0000,0.1947,,,,
2026-04-22,46291152747.48,-0.5388,,,,,-0.5227,,,,,0.3960,,,,,0.4163,,,,,0.0000,0.1983,,,,
2026-04-21,46529766936.9,-0.5416,,,,,-0.5254,,,,,0.3980,,,,,0.4184,,,,,0.0000,0.1993,,,,
2026-04-20,46887688221.03,-0.5457,,,,,-0.5295,,,,,0.4011,,,,,0.4216,,,,,0.0000,0.2009,,,,
2026-04-17,47245609505.16,-0.5499,,,,,-0.5335,,,,,0.4041,,,,,0.4249,,,,,0.0000,0.2024,,,,
2026-04-16,47245609505.16,-0.5499,,,,,-0.5335,,,,,0.4041,,,,,0.4249,,,,,0.0000,0.2024,,,,
2026-04-15,47364916599.87,-0.5513,,,,,-0.5349,,,,,0.4052,,,,,0.4259,,,,,0.0000,0.2029,,,,
2026-04-14,47961452073.42,-0.5582,,,,,-0.5416,,,,,0.4103,,,,,0.4313,,,,,0.0000,0.2055,,,,
2026-04-13,46649074031.61,-0.5430,,,,,-0.5268,,,,,0.3990,,,,,0.4195,,,,,0.0000,0.1998,,,,
2026-04-10,46410459842.19,-0.5402,,,,,-0.5241,,,,,0.3970,,,,,0.4174,,,,,0.0000,0.1988,,,,
2026-04-09,46171845652.77,-0.5374,,,,,-0.5214,,,,,0.3950,,,,,0.4152,,,,,0.0000,0.1978,,,,
2026-04-08,47126302410.45,-0.5485,,,,,-0.5322,,,,,0.4031,,,,,0.4238,,,,,0.0000,0.2019,,,,
2026-04-07,45456003084.51,-0.5291,,,,,-0.5133,,,,,0.3888,,,,,0.4088,,,,,0.0000,0.1947,,,,
2026-04-03,45575310179.22,-0.5305,,,,,-0.5146,,,,,0.3898,,,,,0.4098,,,,,0.0000,0.1952,,,,
2026-04-02,46768381126.32,-0.5443,,,,,-0.5281,,,,,0.4001,,,,,0.4206,,,,,0.0000,0.2004,,,,
2026-04-01,48200066262.84,-0.5610,,,,,-0.5443,,,,,0.4123,,,,,0.4334,,,,,0.0000,0.2065,,,,
2026-03-31,47603530789.29,-0.8292,,,,,-0.7994,,,,,0.2709,,,,,0.2799,,,,,0.0000,0.1672,,,,
2026-03-30,47842144978.71,-0.8333,,,,,-0.8034,,,,,0.2722,,,,,0.2813,,,,,0.0000,0.1681,,,,
2026-03-27,48438680452.26,-0.8437,,,,,-0.8134,,,,,0.2756,,,,,0.2849,,,,,0.0000,0.1702,,,,
2026-03-26,48200066262.84,-0.8395,,,,,-0.8094,,,,,0.2742,,,,,0.2835,,,,,0.0000,0.1693,,,,
2026-03-25,49154523020.52,-0.8562,,,,,-0.8254,,,,,0.2797,,,,,0.2891,,,,,0.0000,0.1727,,,,
2026-03-24,48796601736.39,-0.8499,,,,,-0.8194,,,,,0.2776,,,,,0.2870,,,,,0.0000,0.1714,,,,
2026-03-23,47961452073.42,-0.8354,,,,,-0.8054,,,,,0.2729,,,,,0.2820,,,,,0.0000,0.1685,,,,
2026-03-20,51779279104.14,-0.9019,,,,,-0.8695,,,,,0.2946,,,,,0.3045,,,,,0.0000,0.1819,,,,
2026-03-19,53688192619.5,-0.9351,,,,,-0.9016,,,,,0.3055,,,,,0.3157,,,,,0.0000,0.1886,,,,
2026-03-18,55239184850.73,-0.9621,,,,,-0.9276,,,,,0.3143,,,,,0.3248,,,,,0.0000,0.1940,,,,
2026-03-17,56074334513.7,-0.9767,,,,,-0.9416,,,,,0.3190,,,,,0.3298,,,,,0.0000,0.1970,,,,
2026-03-16,55597106134.86,-0.9684,,,,,-0.9336,,,,,0.3163,,,,,0.3270,,,,,0.0000,0.1953,,,,
2026-03-13,55597106134.86,-0.9684,,,,,-0.9336,,,,,0.3163,,,,,0.3270,,,,,0.0000,0.1953,,,,
2026-03-12,55477799040.15,-0.9663,,,,,-0.9316,,,,,0.3157,,,,,0.3262,,,,,0.0000,0.1949,,,,
2026-03-11,55716413229.57,-0.9705,,,,,-0.9356,,,,,0.3170,,,,,0.3277,,,,,0.0000,0.1957,,,,
2026-03-10,55716413229.57,-0.9705,,,,,-0.9356,,,,,0.3170,,,,,0.3277,,,,,0.0000,0.1957,,,,
2026-03-09,55477799040.15,-0.9663,,,,,-0.9316,,,,,0.3157,,,,,0.3262,,,,,0.0000,0.1949,,,,
2026-03-06,56312948703.12,-0.9809,,,,,-0.9456,,,,,0.3204,,,,,0.3312,,,,,0.0000,0.1978,,,,
2026-03-05,55955027418.99,-0.9746,,,,,-0.9396,,,,,0.3184,,,,,0.3291,,,,,0.0000,0.1966,,,,
2026-03-04,55119877756.02,-0.9601,,,,,-0.9256,,,,,0.3136,,,,,0.3241,,,,,0.0000,0.1936,,,,
2026-03-03,55716413229.57,-0.9705,,,,,-0.9356,,,,,0.3170,,,,,0.3277,,,,,0.0000,0.1957,,,,
2026-03-02,56670869987.25,-0.9871,,,,,-0.9516,,,,,0.3224,,,,,0.3333,,,,,0.0000,0.1991,,,,
2026-02-27,57744633839.64,-1.0058,,,,,-0.9697,,,,,0.3286,,,,,0.3396,,,,,0.0000,0.2028,,,,
2026-02-26,57506019650.22,-1.0016,,,,,-0.9657,,,,,0.3272,,,,,0.3382,,,,,0.0000,0.2020,,,,
2026-02-25,59653547355.0,-1.0390,,,,,-1.0017,,,,,0.3394,,,,,0.3508,,,,,0.0000,0.2096,,,,
2026-02-24,58699090597.32,-1.0224,,,,,-0.9857,,,,,0.3340,,,,,0.3452,,,,,0.0000,0.2062,,,,
2026-02-13,59295626070.87,-1.0328,,,,,-0.9957,,,,,0.3374,,,,,0.3487,,,,,0.0000,0.2083,,,,
2026-02-12,58699090597.32,-1.0224,,,,,-0.9857,,,,,0.3340,,,,,0.3452,,,,,0.0000,0.2062,,,,
2026-02-11,58341169313.19,-1.0162,,,,,-0.9797,,,,,0.3319,,,,,0.3431,,,,,0.0000,0.2049,,,,
2026-02-10,58221862218.48,-1.0141,,,,,-0.9777,,,,,0.3313,,,,,0.3424,,,,,0.0000,0.2045,,,,
2026-02-09,59176318976.16,-1.0307,,,,,-0.9937,,,,,0.3367,,,,,0.3480,,,,,0.0000,0.2079,,,,
2026-02-06,57386712555.51,-0.9996,,,,,-0.9637,,,,,0.3265,,,,,0.3375,,,,,0.0000,0.2016,,,,
2026-02-05,58221862218.48,-1.0141,,,,,-0.9777,,,,,0.3313,,,,,0.3424,,,,,0.0000,0.2045,,,,
2026-02-04,58460476407.9,-1.0183,,,,,-0.9817,,,,,0.3326,,,,,0.3438,,,,,0.0000,0.2054,,,,
2026-02-03,56074334513.7,-0.9767,,,,,-0.9416,,,,,0.3190,,,,,0.3298,,,,,0.0000,0.1970,,,,
2026-02-02,55835720324.28,-0.9725,,,,,-0.9376,,,,,0.3177,,,,,0.3284,,,,,0.0000,0.1961,,,,
2026-01-30,58221862218.48,-1.0141,,,,,-0.9777,,,,,0.3313,,,,,0.3424,,,,,0.0000,0.2045,,,,
2026-01-29,61204539586.23,-1.0661,,,,,-1.0278,,,,,0.3482,,,,,0.3599,,,,,0.0000,0.2150,,,,
2026-01-28,57983248029.06,-1.0099,,,,,-0.9737,,,,,0.3299,,,,,0.3410,,,,,0.0000,0.2037,,,,
2026-01-27,56670869987.25,-0.9871,,,,,-0.9516,,,,,0.3224,,,,,0.3333,,,,,0.0000,0.1991,,,,
2026-01-26,57506019650.22,-1.0016,,,,,-0.9657,,,,,0.3272,,,,,0.3382,,,,,0.0000,0.2020,,,,
2026-01-23,59057011881.45,-1.0286,,,,,-0.9917,,,,,0.3360,,,,,0.3473,,,,,0.0000,0.2075,,,,
2026-01-22,59057011881.45,-1.0286,,,,,-0.9917,,,,,0.3360,,,,,0.3473,,,,,0.0000,0.2075,,,,
2026-01-21,59772854449.71,-1.0411,,,,,-1.0037,,,,,0.3401,,,,,0.3515,,,,,0.0000,0.2100,,,,
2026-01-20,57148098366.09,-0.9954,,,,,-0.9597,,,,,0.3252,,,,,0.3361,,,,,0.0000,0.2008,,,,
2026-01-19,56432255797.83,-0.9829,,,,,-0.9476,,,,,0.3211,,,,,0.3319,,,,,0.0000,0.1982,,,,
2026-01-16,56432255797.83,-0.9829,,,,,-0.9476,,,,,0.3211,,,,,0.3319,,,,,0.0000,0.1982,,,,
2026-01-15,57863940934.35,-1.0079,,,,,-0.9717,,,,,0.3292,,,,,0.3403,,,,,0.0000,0.2033,,,,
2026-01-14,55955027418.99,-0.9746,,,,,-0.9396,,,,,0.3184,,,,,0.3291,,,,,0.0000,0.1966,,,,
2026-01-13,57625326744.93,-1.0037,,,,,-0.9677,,,,,0.3279,,,,,0.3389,,,,,0.0000,0.2024,,,,
2026-01-12,58221862218.48,-1.0141,,,,,-0.9777,,,,,0.3313,,,,,0.3424,,,,,0.0000,0.2045,,,,
2026-01-09,59176318976.16,-1.0307,,,,,-0.9937,,,,,0.3367,,,,,0.3480,,,,,0.0000,0.2079,,,,
2026-01-08,58460476407.9,-1.0183,,,,,-0.9817,,,,,0.3326,,,,,0.3438,,,,,0.0000,0.2054,,,,
2026-01-07,56432255797.83,-0.9829,,,,,-0.9476,,,,,0.3211,,,,,0.3319,,,,,0.0000,0.1982,,,,
2026-01-06,57625326744.93,-1.0037,,,,,-0.9677,,,,,0.3279,,,,,0.3389,,,,,0.0000,0.2024,,,,
2026-01-05,56670869987.25,-0.9871,,,,,-0.9516,,,,,0.3224,,,,,0.3333,,,,,0.0000,0.1991,,,,
2025-12-31,55477799040.15,-0.9663,,,,,-0.9316,,,,,0.3157,,,,,0.3262,,,,,0.0000,0.1949,,,,
2025-12-30,55119877756.02,-0.9601,,,,,-0.9256,,,,,0.3136,,,,,0.3241,,,,,0.0000,0.1936,,,,
2025-12-29,56551562892.54,-0.9850,,,,,-0.9496,,,,,0.3218,,,,,0.3326,,,,,0.0000,0.1987,,,,
2025-12-26,56909484176.67,-0.9912,,,,,-0.9556,,,,,0.3238,,,,,0.3347,,,,,0.0000,0.1999,,,,
2025-12-25,57148098366.09,-0.9954,,,,,-0.9597,,,,,0.3252,,,,,0.3361,,,,,0.0000,0.2008,,,,
2025-12-24,56790177081.96,-0.9892,,,,,-0.9536,,,,,0.3231,,,,,0.3340,,,,,0.0000,0.1995,,,,
2025-12-23,57148098366.09,-0.9954,,,,,-0.9597,,,,,0.3252,,,,,0.3361,,,,,0.0000,0.2008,,,,
2025-12-22,58818397692.03,-1.0245,,,,,-0.9877,,,,,0.3347,,,,,0.3459,,,,,0.0000,0.2066,,,,
2025-12-19,58460476407.9,-1.0183,,,,,-0.9817,,,,,0.3326,,,,,0.3438,,,,,0.0000,0.2054,,,,
2025-12-18,58102555123.77,-1.0120,,,,,-0.9757,,,,,0.3306,,,,,0.3417,,,,,0.0000,0.2041,,,,
2025-12-17,59176318976.16,-1.0307,,,,,-0.9937,,,,,0.3367,,,,,0.3480,,,,,0.0000,0.2079,,,,
2025-12-16,59295626070.87,-1.0328,,,,,-0.9957,,,,,0.3374,,,,,0.3487,,,,,0.0000,0.2083,,,,
2025-12-15,58102555123.77,-1.0120,,,,,-0.9757,,,,,0.3306,,,,,0.3417,,,,,0.0000,0.2041,,,,
2025-12-12,59892161544.42,-1.0432,,,,,-1.0057,,,,,0.3408,,,,,0.3522,,,,,0.0000,0.2104,,,,
2025-12-11,60488697017.97,-1.0536,,,,,-1.0157,,,,,0.3442,,,,,0.3557,,,,,0.0000,0.2125,,,,
2025-12-10,62636224722.75,-1.0910,,,,,-1.0518,,,,,0.3564,,,,,0.3683,,,,,0.0000,0.2200,,,,
2025-12-09,56909484176.67,-0.9912,,,,,-0.9556,,,,,0.3238,,,,,0.3347,,,,,0.0000,0.1999,,,,
2025-12-08,58579783502.61,-1.0203,,,,,-0.9837,,,,,0.3333,,,,,0.3445,,,,,0.0000,0.2058,,,,
2025-12-05,59057011881.45,-1.0286,,,,,-0.9917,,,,,0.3360,,,,,0.3473,,,,,0.0000,0.2075,,,,
2025-12-04,59295626070.87,-1.0328,,,,,-0.9957,,,,,0.3374,,,,,0.3487,,,,,0.0000,0.2083,,,,
2025-12-03,59772854449.71,-1.0411,,,,,-1.0037,,,,,0.3401,,,,,0.3515,,,,,0.0000,0.2100,,,,
2025-12-02,62039689249.2,-1.0806,,,,,-1.0418,,,,,0.3530,,,,,0.3648,,,,,0.0000,0.2179,,,,
2025-12-01,62039689249.2,-1.0806,,,,,-1.0418,,,,,0.3530,,,,,0.3648,,,,,0.0000,0.2179,,,,
2025-11-28,64187216953.98,-1.1180,,,,,-1.0779,,,,,0.3652,,,,,0.3775,,,,,0.0000,0.2255,,,,
2025-11-27,65260980806.37,-1.1367,,,,,-1.0959,,,,,0.3713,,,,,0.3838,,,,,0.0000,0.2293,,,,
2025-11-26,70271878784.19,-1.2240,,,,,-1.1800,,,,,0.3998,,,,,0.4132,,,,,0.0000,0.2469,,,,
2025-11-25,72061485204.84,-1.2552,,,,,-1.2101,,,,,0.4100,,,,,0.4238,,,,,0.0000,0.2531,,,,
2025-11-24,72061485204.84,-1.2552,,,,,-1.2101,,,,,0.4100,,,,,0.4238,,,,,0.0000,0.2531,,,,
2025-11-21,72300099394.26,-1.2593,,,,,-1.2141,,,,,0.4114,,,,,0.4252,,,,,0.0000,0.2540,,,,
2025-11-20,73970398720.2,-1.2884,,,,,-1.2421,,,,,0.4209,,,,,0.4350,,,,,0.0000,0.2598,,,,
2025-11-19,72300099394.26,-1.2593,,,,,-1.2141,,,,,0.4114,,,,,0.4252,,,,,0.0000,0.2540,,,,
2025-11-18,73135249057.23,-1.2739,,,,,-1.2281,,,,,0.4161,,,,,0.4301,,,,,0.0000,0.2569,,,,
2025-11-17,74686241288.46,-1.3009,,,,,-1.2542,,,,,0.4249,,,,,0.4392,,,,,0.0000,0.2624,,,,
2025-11-14,74805548383.17,-1.3030,,,,,-1.2562,,,,,0.4256,,,,,0.4399,,,,,0.0000,0.2628,,,,
2025-11-13,74924855477.88,-1.3050,,,,,-1.2582,,,,,0.4263,,,,,0.4406,,,,,0.0000,0.2632,,,,
2025-11-12,74686241288.46,-1.3009,,,,,-1.2542,,,,,0.4249,,,,,0.4392,,,,,0.0000,0.2624,,,,
2025-11-11,74924855477.88,-1.3050,,,,,-1.2582,,,,,0.4263,,,,,0.4406,,,,,0.0000,0.2632,,,,
2025-11-10,74686241288.46,-1.3009,,,,,-1.2542,,,,,0.4249,,,,,0.4392,,,,,0.0000,0.2624,,,,
2025-11-07,73731784530.78,-1.2843,,,,,-1.2381,,,,,0.4195,,,,,0.4336,,,,,0.0000,0.2590,,,,
2025-11-06,73731784530.78,-1.2843,,,,,-1.2381,,,,,0.4195,,,,,0.4336,,,,,0.0000,0.2590,,,,
2025-11-05,74209012909.62,-1.2926,,,,,-1.2461,,,,,0.4222,,,,,0.4364,,,,,0.0000,0.2607,,,,
2025-11-04,74328320004.33,-1.2946,,,,,-1.2481,,,,,0.4229,,,,,0.4371,,,,,0.0000,0.2611,,,,
2025-11-03,75163469667.3,-1.3092,,,,,-1.2622,,,,,0.4277,,,,,0.4420,,,,,0.0000,0.2640,,,,
2025-10-31,74805548383.17,-1.3030,,,,,-1.2562,,,,,0.4256,,,,,0.4399,,,,,0.0000,0.2628,,,,
2025-10-30,74805548383.17,-1.5152,,,,,-1.4505,,,,,0.3908,,,,,0.4028,,,,,0.0000,0.2447,,,,
2025-10-29,75282776762.01,-1.5248,,,,,-1.4597,,,,,0.3932,,,,,0.4053,,,,,0.0000,0.2462,,,,
2025-10-28,74805548383.17,-1.5152,,,,,-1.4505,,,,,0.3908,,,,,0.4028,,,,,0.0000,0.2447,,,,
2025-10-27,75402083856.72,-1.5272,,,,,-1.4621,,,,,0.3939,,,,,0.4060,,,,,0.0000,0.2466,,,,
2025-10-24,75879312235.56,-1.5369,,,,,-1.4713,,,,,0.3964,,,,,0.4085,,,,,0.0000,0.2482,,,,
2025-10-23,76117926424.98,-1.5417,,,,,-1.4759,,,,,0.3976,,,,,0.4098,,,,,0.0000,0.2490,,,,
2025-10-22,76117926424.98,-1.5417,,,,,-1.4759,,,,,0.3976,,,,,0.4098,,,,,0.0000,0.2490,,,,
2025-10-21,76356540614.4,-1.5466,,,,,-1.4806,,,,,0.3989,,,,,0.4111,,,,,0.0000,0.2498,,,,
2025-10-20,75640698046.14,-1.5321,,,,,-1.4667,,,,,0.3951,,,,,0.4073,,,,,0.0000,0.2474,,,,
2025-10-17,75402083856.72,-1.5272,,,,,-1.4621,,,,,0.3939,,,,,0.4060,,,,,0.0000,0.2466,,,,
2025-10-16,76356540614.4,-1.5466,,,,,-1.4806,,,,,0.3989,,,,,0.4111,,,,,0.0000,0.2498,,,,
2025-10-15,77430304466.79,-1.5683,,,,,-1.5014,,,,,0.4045,,,,,0.4169,,,,,0.0000,0.2533,,,,
2025-10-14,77907532845.63,-1.5780,,,,,-1.5106,,,,,0.4070,,,,,0.4195,,,,,0.0000,0.2548,,,,
2025-10-13,78384761224.47,-1.5876,,,,,-1.5199,,,,,0.4094,,,,,0.4220,,,,,0.0000,0.2564,,,,
2025-10-10,80532288929.25,-1.6311,,,,,-1.5615,,,,,0.4207,,,,,0.4336,,,,,0.0000,0.2634,,,,
2025-10-09,81009517308.09,-1.6408,,,,,-1.5708,,,,,0.4232,,,,,0.4362,,,,,0.0000,0.2650,,,,
2025-09-30,82202588255.19,-1.6650,,,,,-1.5939,,,,,0.4294,,,,,0.4426,,,,,0.0000,0.2689,,,,
2025-09-29,81248131497.51,-1.6456,,,,,-1.5754,,,,,0.4244,,,,,0.4375,,,,,0.0000,0.2658,,,,
2025-09-26,81128824402.8,-1.6432,,,,,-1.5731,,,,,0.4238,,,,,0.4368,,,,,0.0000,0.2654,,,,
2025-09-25,81128824402.8,-1.6432,,,,,-1.5731,,,,,0.4238,,,,,0.4368,,,,,0.0000,0.2654,,,,
2025-09-24,81606052781.64,-1.6529,,,,,-1.5824,,,,,0.4263,,,,,0.4394,,,,,0.0000,0.2669,,,,
2025-09-23,80651596023.96,-1.6336,,,,,-1.5638,,,,,0.4213,,,,,0.4342,,,,,0.0000,0.2638,,,,
2025-09-22,83514966297.0,-1.6916,,,,,-1.6194,,,,,0.4362,,,,,0.4497,,,,,0.0000,0.2732,,,,
2025-09-19,83276352107.58,-1.6867,,,,,-1.6147,,,,,0.4350,,,,,0.4484,,,,,0.0000,0.2724,,,,
2025-09-18,80770903118.67,-1.6360,,,,,-1.5662,,,,,0.4219,,,,,0.4349,,,,,0.0000,0.2642,,,,
2025-09-17,84111501770.55,-1.7036,,,,,-1.6309,,,,,0.4394,,,,,0.4529,,,,,0.0000,0.2751,,,,
2025-09-16,83992194675.84,-1.7012,,,,,-1.6286,,,,,0.4387,,,,,0.4522,,,,,0.0000,0.2747,,,,
2025-09-15,83157045012.87,-1.6843,,,,,-1.6124,,,,,0.4344,,,,,0.4477,,,,,0.0000,0.2720,,,,
2025-09-12,82799123728.74,-1.6771,,,,,-1.6055,,,,,0.4325,,,,,0.4458,,,,,0.0000,0.2708,,,,
2025-09-11,81486745686.93,-1.6505,,,,,-1.5800,,,,,0.4256,,,,,0.4387,,,,,0.0000,0.2665,,,,
2025-09-10,81844666971.06,-1.6577,,,,,-1.5870,,,,,0.4275,,,,,0.4407,,,,,0.0000,0.2677,,,,
2025-09-09,81844666971.06,-1.6577,,,,,-1.5870,,,,,0.4275,,,,,0.4407,,,,,0.0000,0.2677,,,,
2025-09-08,80651596023.96,-1.6336,,,,,-1.5638,,,,,0.4213,,,,,0.4342,,,,,0.0000,0.2638,,,,
2025-09-05,78623375413.89,-1.5925,,,,,-1.5245,,,,,0.4107,,,,,0.4233,,,,,0.0000,0.2572,,,,
2025-09-04,77907532845.63,-1.5780,,,,,-1.5106,,,,,0.4070,,,,,0.4195,,,,,0.0000,0.2548,,,,
2025-09-03,78504068319.18,-1.5901,,,,,-1.5222,,,,,0.4101,,,,,0.4227,,,,,0.0000,0.2568,,,,
2025-09-02,80174367645.12,-1.6239,,,,,-1.5546,,,,,0.4188,,,,,0.4317,,,,,0.0000,0.2622,,,,
2025-09-01,81248131497.51,-1.6456,,,,,-1.5754,,,,,0.4244,,,,,0.4375,,,,,0.0000,0.2658,,,,
2025-08-29,81009517308.09,-1.6408,,,,,-1.5708,,,,,0.4232,,,,,0.4362,,,,,0.0000,0.2650,,,,
