date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率
2026-05-18,63626164432.8,1.4754,,,,,30.3563,,,,,4.7582,,,,,29.2455,,,,,1.4754,,,,,0.0184
2026-05-15,64870320952.8,1.5042,,,,,30.9498,,,,,4.8512,,,,,29.8174,,,,,1.5042,,,,,0.0180
2026-05-14,65990061820.8,1.5302,,,,,31.4841,,,,,4.9349,,,,,30.3321,,,,,1.5302,,,,,0.0177
2026-05-13,66761438863.2,1.5481,,,,,31.8521,,,,,4.9926,,,,,30.6866,,,,,1.5481,,,,,0.0175
2026-05-12,67209335210.4,1.5584,,,,,32.0658,,,,,5.0261,,,,,30.8925,,,,,1.5584,,,,,0.0174
2026-05-11,67756764079.2,1.5711,,,,,32.3270,,,,,5.0671,,,,,31.1441,,,,,1.5711,,,,,0.0173
2026-05-08,67657231557.6,1.5688,,,,,32.2795,,,,,5.0596,,,,,31.0984,,,,,1.5688,,,,,0.0173
2026-05-07,67831413470.4,1.5729,,,,,32.3626,,,,,5.0726,,,,,31.1784,,,,,1.5729,,,,,0.0172
2026-05-06,68130011035.2,1.5798,,,,,32.5051,,,,,5.0950,,,,,31.3157,,,,,1.5798,,,,,0.0172
2026-04-30,67781647209.6,1.5717,,,,,32.3388,,,,,5.0689,,,,,31.1556,,,,,1.5717,,,,,0.0173
2026-04-29,68154894165.6,1.6209,,,,,37.0841,,,,,5.2867,,,,,28.8018,,,,,1.6209,,,,,0.0186
2026-04-28,67557699036.0,1.6067,,,,,36.7591,,,,,5.2403,,,,,28.5495,,,,,1.6067,,,,,0.0188
2026-04-27,67532815905.6,1.6061,,,,,36.7456,,,,,5.2384,,,,,28.5389,,,,,1.6061,,,,,0.0188
2026-04-24,67283984601.6,1.6002,,,,,36.6102,,,,,5.2191,,,,,28.4338,,,,,1.6002,,,,,0.0189
2026-04-23,67731880948.8,1.6108,,,,,36.8539,,,,,5.2538,,,,,28.6231,,,,,1.6108,,,,,0.0187
2026-04-22,68130011035.2,1.6203,,,,,37.0705,,,,,5.2847,,,,,28.7913,,,,,1.6203,,,,,0.0186
2026-04-21,68204660426.4,1.6221,,,,,37.1112,,,,,5.2905,,,,,28.8229,,,,,1.6221,,,,,0.0186
2026-04-20,68403725469.6,1.6268,,,,,37.2195,,,,,5.3060,,,,,28.9070,,,,,1.6268,,,,,0.0186
2026-04-17,67806530340.0,1.6126,,,,,36.8945,,,,,5.2596,,,,,28.6546,,,,,1.6126,,,,,0.0187
2026-04-16,68254426687.2,1.6232,,,,,37.1382,,,,,5.2944,,,,,28.8439,,,,,1.6232,,,,,0.0186
2026-04-15,68179777296.0,1.6215,,,,,37.0976,,,,,5.2886,,,,,28.8123,,,,,1.6215,,,,,0.0186
2026-04-14,68403725469.6,1.6268,,,,,37.2195,,,,,5.3060,,,,,28.9070,,,,,1.6268,,,,,0.0186
2026-04-13,67930945992.0,1.6156,,,,,36.9622,,,,,5.2693,,,,,28.7072,,,,,1.6156,,,,,0.0187
2026-04-10,68727206164.8,1.6345,,,,,37.3955,,,,,5.3311,,,,,29.0437,,,,,1.6345,,,,,0.0185
2026-04-09,69075569990.4,1.6428,,,,,37.5850,,,,,5.3581,,,,,29.1909,,,,,1.6428,,,,,0.0184
2026-04-08,69896713293.6,1.6623,,,,,38.0318,,,,,5.4218,,,,,29.5379,,,,,1.6623,,,,,0.0182
2026-04-07,68428608600.0,1.6274,,,,,37.2330,,,,,5.3079,,,,,28.9175,,,,,1.6274,,,,,0.0185
2026-04-03,68901388077.6,1.6386,,,,,37.4903,,,,,5.3446,,,,,29.1173,,,,,1.6386,,,,,0.0184
2026-04-02,69374167555.2,1.6499,,,,,37.7475,,,,,5.3812,,,,,29.3171,,,,,1.6499,,,,,0.0183
2026-04-01,69971362684.8,1.6641,,,,,38.0725,,,,,5.4276,,,,,29.5695,,,,,1.6641,,,,,0.0181
2026-03-31,68727206164.8,1.6345,,,,,37.3955,,,,,5.3311,,,,,29.0437,,,,,1.6345,,,,,0.0185
2026-03-30,69000920599.2,1.6410,,,,,37.5444,,,,,5.3523,,,,,29.1594,,,,,1.6410,,,,,0.0184
2026-03-27,68926271208.0,1.6392,,,,,37.5038,,,,,5.3465,,,,,29.1278,,,,,1.6392,,,,,0.0184
2026-03-26,68652556773.6,1.6327,,,,,37.3549,,,,,5.3253,,,,,29.0121,,,,,1.6327,,,,,0.0185
2026-03-25,69622998859.2,1.6558,,,,,37.8829,,,,,5.4005,,,,,29.4222,,,,,1.6558,,,,,0.0182
2026-03-24,68677439904.0,1.6333,,,,,37.3684,,,,,5.3272,,,,,29.0227,,,,,1.6333,,,,,0.0185
2026-03-23,68105127904.8,1.6197,,,,,37.0570,,,,,5.2828,,,,,28.7808,,,,,1.6197,,,,,0.0186
2026-03-20,71265285465.6,1.6948,,,,,38.7765,,,,,5.5279,,,,,30.1163,,,,,1.6948,,,,,0.0178
2026-03-19,72360143203.2,1.7209,,,,,39.3722,,,,,5.6129,,,,,30.5789,,,,,1.7209,,,,,0.0175
2026-03-18,72982221463.2,1.7357,,,,,39.7107,,,,,5.6611,,,,,30.8418,,,,,1.7357,,,,,0.0174
2026-03-17,73380351549.6,1.7451,,,,,39.9273,,,,,5.6920,,,,,31.0101,,,,,1.7451,,,,,0.0173
2026-03-16,73131520245.6,1.7392,,,,,39.7919,,,,,5.6727,,,,,30.9049,,,,,1.7392,,,,,0.0174
2026-03-13,72832922680.8,1.7321,,,,,39.6295,,,,,5.6495,,,,,30.7787,,,,,1.7321,,,,,0.0174
2026-03-12,73081753984.8,1.7380,,,,,39.7649,,,,,5.6688,,,,,30.8839,,,,,1.7380,,,,,0.0174
2026-03-11,72982221463.2,1.7357,,,,,39.7107,,,,,5.6611,,,,,30.8418,,,,,1.7357,,,,,0.0174
2026-03-10,73156403376.0,1.7398,,,,,39.8055,,,,,5.6746,,,,,30.9154,,,,,1.7398,,,,,0.0173
2026-03-09,72484558855.2,1.7238,,,,,39.4399,,,,,5.6225,,,,,30.6315,,,,,1.7238,,,,,0.0175
2026-03-06,73878014157.6,1.7570,,,,,40.1981,,,,,5.7306,,,,,31.2204,,,,,1.7570,,,,,0.0172
2026-03-05,73106637115.2,1.7386,,,,,39.7784,,,,,5.6708,,,,,30.8944,,,,,1.7386,,,,,0.0174
2026-03-04,72982221463.2,1.7357,,,,,39.7107,,,,,5.6611,,,,,30.8418,,,,,1.7357,,,,,0.0174
2026-03-03,74450326156.8,1.7706,,,,,40.5095,,,,,5.7750,,,,,31.4622,,,,,1.7706,,,,,0.0170
2026-03-02,74549858678.4,1.7730,,,,,40.5637,,,,,5.7827,,,,,31.5043,,,,,1.7730,,,,,0.0170
2026-02-27,75918430850.4,1.8055,,,,,41.3083,,,,,5.8889,,,,,32.0827,,,,,1.8055,,,,,0.0167
2026-02-26,75868664589.6,1.8043,,,,,41.2813,,,,,5.8850,,,,,32.0616,,,,,1.8043,,,,,0.0167
2026-02-25,76192145284.8,1.8120,,,,,41.4573,,,,,5.9101,,,,,32.1983,,,,,1.8120,,,,,0.0167
2026-02-24,76465859719.2,1.8185,,,,,41.6062,,,,,5.9313,,,,,32.3140,,,,,1.8185,,,,,0.0166
2026-02-13,76515625980.0,1.8197,,,,,41.6333,,,,,5.9352,,,,,32.3350,,,,,1.8197,,,,,0.0166
2026-02-12,77187470500.8,1.8357,,,,,41.9988,,,,,5.9873,,,,,32.6189,,,,,1.8357,,,,,0.0164
2026-02-11,77759782500.0,1.8493,,,,,42.3102,,,,,6.0317,,,,,32.8608,,,,,1.8493,,,,,0.0163
2026-02-10,77884198152.0,1.8523,,,,,42.3779,,,,,6.0413,,,,,32.9134,,,,,1.8523,,,,,0.0163
2026-02-09,77784665630.4,1.8499,,,,,42.3238,,,,,6.0336,,,,,32.8713,,,,,1.8499,,,,,0.0163
2026-02-06,76988405457.6,1.8310,,,,,41.8905,,,,,5.9719,,,,,32.5348,,,,,1.8310,,,,,0.0165
2026-02-05,77734899369.6,1.8487,,,,,42.2967,,,,,6.0298,,,,,32.8503,,,,,1.8487,,,,,0.0163
2026-02-04,77610483717.6,1.8458,,,,,42.2290,,,,,6.0201,,,,,32.7977,,,,,1.8458,,,,,0.0164
2026-02-03,75993080241.6,1.8073,,,,,41.3490,,,,,5.8947,,,,,32.1142,,,,,1.8073,,,,,0.0167
2026-02-02,75918430850.4,1.8055,,,,,41.3083,,,,,5.8889,,,,,32.0827,,,,,1.8055,,,,,0.0167
2026-01-30,76640041632.0,1.8227,,,,,41.7010,,,,,5.9448,,,,,32.3876,,,,,1.8227,,,,,0.0166
2026-01-29,77013288588.0,1.8315,,,,,41.9041,,,,,5.9738,,,,,32.5453,,,,,1.8315,,,,,0.0165
2026-01-28,76142379024.0,1.8108,,,,,41.4302,,,,,5.9062,,,,,32.1773,,,,,1.8108,,,,,0.0167
2026-01-27,76988405457.6,1.8310,,,,,41.8905,,,,,5.9719,,,,,32.5348,,,,,1.8310,,,,,0.0165
2026-01-26,77262119892.0,1.8375,,,,,42.0395,,,,,5.9931,,,,,32.6505,,,,,1.8375,,,,,0.0164
2026-01-23,78008613804.0,1.8552,,,,,42.4456,,,,,6.0510,,,,,32.9659,,,,,1.8552,,,,,0.0163
2026-01-22,78755107716.0,1.8730,,,,,42.8518,,,,,6.1089,,,,,33.2814,,,,,1.8730,,,,,0.0161
2026-01-21,79526484758.4,1.8913,,,,,43.2715,,,,,6.1687,,,,,33.6074,,,,,1.8913,,,,,0.0160
2026-01-20,80546693104.8,1.9156,,,,,43.8266,,,,,6.2479,,,,,34.0385,,,,,1.9156,,,,,0.0158
2026-01-19,78929289628.8,1.8771,,,,,42.9466,,,,,6.1224,,,,,33.3550,,,,,1.8771,,,,,0.0161
2026-01-16,78108146325.6,1.8576,,,,,42.4998,,,,,6.0587,,,,,33.0080,,,,,1.8576,,,,,0.0162
2026-01-15,79153237802.4,1.8824,,,,,43.0684,,,,,6.1398,,,,,33.4497,,,,,1.8824,,,,,0.0160
2026-01-14,79252770324.0,1.8848,,,,,43.1226,,,,,6.1475,,,,,33.4917,,,,,1.8848,,,,,0.0160
2026-01-13,80944823191.2,1.9250,,,,,44.0433,,,,,6.2787,,,,,34.2068,,,,,1.9250,,,,,0.0157
2026-01-12,80969706321.6,1.9256,,,,,44.0568,,,,,6.2807,,,,,34.2173,,,,,1.9256,,,,,0.0157
2026-01-09,81342953277.6,1.9345,,,,,44.2599,,,,,6.3096,,,,,34.3750,,,,,1.9345,,,,,0.0156
2026-01-08,81691317103.2,1.9428,,,,,44.4495,,,,,6.3367,,,,,34.5222,,,,,1.9428,,,,,0.0155
2026-01-07,81641550842.4,1.9416,,,,,44.4224,,,,,6.3328,,,,,34.5012,,,,,1.9416,,,,,0.0155
2026-01-06,82039680928.8,1.9511,,,,,44.6390,,,,,6.3637,,,,,34.6695,,,,,1.9511,,,,,0.0155
2026-01-05,81367836408.0,1.9351,,,,,44.2734,,,,,6.3116,,,,,34.3855,,,,,1.9351,,,,,0.0156
2025-12-31,81517135190.4,1.9387,,,,,44.3547,,,,,6.3231,,,,,34.4486,,,,,1.9387,,,,,0.0156
2025-12-30,81591784581.6,1.9404,,,,,44.3953,,,,,6.3289,,,,,34.4802,,,,,1.9404,,,,,0.0156
2025-12-29,83084772405.6,1.9759,,,,,45.2077,,,,,6.4447,,,,,35.1111,,,,,1.9759,,,,,0.0153
2025-12-26,83059889275.2,1.9754,,,,,45.1941,,,,,6.4428,,,,,35.1006,,,,,1.9754,,,,,0.0153
2025-12-25,84055214491.2,1.9990,,,,,45.7357,,,,,6.5200,,,,,35.5212,,,,,1.9990,,,,,0.0151
2025-12-24,83731733796.0,1.9913,,,,,45.5597,,,,,6.4949,,,,,35.3845,,,,,1.9913,,,,,0.0152
2025-12-23,82611992928.0,1.9647,,,,,44.9504,,,,,6.4081,,,,,34.9113,,,,,1.9647,,,,,0.0154
2025-12-22,83209188057.6,1.9789,,,,,45.2753,,,,,6.4544,,,,,35.1637,,,,,1.9789,,,,,0.0153
2025-12-19,83532668752.8,1.9866,,,,,45.4514,,,,,6.4795,,,,,35.3004,,,,,1.9866,,,,,0.0152
2025-12-18,82388044754.4,1.9594,,,,,44.8286,,,,,6.3907,,,,,34.8167,,,,,1.9594,,,,,0.0154
2025-12-17,76913756066.4,1.8292,,,,,41.8499,,,,,5.9661,,,,,32.5033,,,,,1.8292,,,,,0.0165
2025-12-16,76465859719.2,1.8185,,,,,41.6062,,,,,5.9313,,,,,32.3140,,,,,1.8185,,,,,0.0166
2025-12-15,76515625980.0,1.8197,,,,,41.6333,,,,,5.9352,,,,,32.3350,,,,,1.8197,,,,,0.0166
2025-12-12,77187470500.8,1.8357,,,,,41.9988,,,,,5.9873,,,,,32.6189,,,,,1.8357,,,,,0.0164
2025-12-11,79650900410.4,1.8943,,,,,43.3392,,,,,6.1784,,,,,33.6600,,,,,1.8943,,,,,0.0159
2025-12-10,80596459365.6,1.9168,,,,,43.8537,,,,,6.2517,,,,,34.0596,,,,,1.9168,,,,,0.0157
2025-12-09,79227887193.6,1.8842,,,,,43.1091,,,,,6.1456,,,,,33.4812,,,,,1.8842,,,,,0.0160
2025-12-08,79999264236.0,1.9026,,,,,43.5288,,,,,6.2054,,,,,33.8072,,,,,1.9026,,,,,0.0159
2025-12-05,79153237802.4,1.8824,,,,,43.0684,,,,,6.1398,,,,,33.4497,,,,,1.8824,,,,,0.0160
2025-12-04,79352302845.6,1.8872,,,,,43.1768,,,,,6.1552,,,,,33.5338,,,,,1.8872,,,,,0.0160
2025-12-03,79675783540.8,1.8949,,,,,43.3528,,,,,6.1803,,,,,33.6705,,,,,1.8949,,,,,0.0159
2025-12-02,79203004063.2,1.8836,,,,,43.0955,,,,,6.1436,,,,,33.4707,,,,,1.8836,,,,,0.0160
2025-12-01,79352302845.6,1.8872,,,,,43.1768,,,,,6.1552,,,,,33.5338,,,,,1.8872,,,,,0.0160
2025-11-28,78779990846.4,1.8736,,,,,42.8654,,,,,6.1108,,,,,33.2919,,,,,1.8736,,,,,0.0161
2025-11-27,78730224585.6,1.8724,,,,,42.8383,,,,,6.1070,,,,,33.2709,,,,,1.8724,,,,,0.0161
2025-11-26,78979055889.6,1.8783,,,,,42.9737,,,,,6.1263,,,,,33.3761,,,,,1.8783,,,,,0.0161
2025-11-25,78506276412.0,1.8671,,,,,42.7164,,,,,6.0896,,,,,33.1763,,,,,1.8671,,,,,0.0162
2025-11-24,78481393281.6,1.8665,,,,,42.7029,,,,,6.0877,,,,,33.1657,,,,,1.8665,,,,,0.0162
2025-11-21,79650900410.4,1.8943,,,,,43.3392,,,,,6.1784,,,,,33.6600,,,,,1.8943,,,,,0.0159
2025-11-20,81069238843.2,1.9280,,,,,44.1110,,,,,6.2884,,,,,34.2594,,,,,1.9280,,,,,0.0157
2025-11-19,81218537625.6,1.9316,,,,,44.1922,,,,,6.3000,,,,,34.3224,,,,,1.9316,,,,,0.0156
2025-11-18,82462694145.6,1.9611,,,,,44.8692,,,,,6.3965,,,,,34.8482,,,,,1.9611,,,,,0.0154
2025-11-17,83582435013.6,1.9878,,,,,45.4784,,,,,6.4833,,,,,35.3214,,,,,1.9878,,,,,0.0152
2025-11-14,85174955359.2,2.0257,,,,,46.3450,,,,,6.6069,,,,,35.9944,,,,,2.0257,,,,,0.0149
2025-11-13,85971215532.0,2.0446,,,,,46.7782,,,,,6.6686,,,,,36.3309,,,,,2.0446,,,,,0.0148
2025-11-12,84503110838.4,2.0097,,,,,45.9794,,,,,6.5548,,,,,35.7105,,,,,2.0097,,,,,0.0150
2025-11-11,83433136231.2,1.9842,,,,,45.3972,,,,,6.4718,,,,,35.2583,,,,,1.9842,,,,,0.0152
2025-11-10,82761291710.4,1.9682,,,,,45.0316,,,,,6.4196,,,,,34.9744,,,,,1.9682,,,,,0.0153
2025-11-07,80198329279.2,1.9073,,,,,43.6371,,,,,6.2208,,,,,33.8913,,,,,1.9073,,,,,0.0158
2025-11-06,79700666671.2,1.8955,,,,,43.3663,,,,,6.1822,,,,,33.6810,,,,,1.8955,,,,,0.0159
2025-11-05,80248095540.0,1.9085,,,,,43.6642,,,,,6.2247,,,,,33.9123,,,,,1.9085,,,,,0.0158
2025-11-04,79825082323.2,1.8984,,,,,43.4340,,,,,6.1919,,,,,33.7336,,,,,1.8984,,,,,0.0159
2025-11-03,80228638401.6,1.9080,,,,,43.6536,,,,,6.2232,,,,,33.9041,,,,,1.9080,,,,,0.0158
2025-10-31,80353062468.6,1.9110,,,,,43.7213,,,,,6.2328,,,,,33.9567,,,,,1.9110,,,,,0.0158
2025-10-30,78810204037.8,1.9014,,,,,48.3212,,,,,6.2259,,,,,36.4317,,,,,1.9014,,,,,0.0161
2025-10-29,78636010344.0,1.8972,,,,,48.2144,,,,,6.2121,,,,,36.3512,,,,,1.8972,,,,,0.0161
2025-10-28,78387162210.0,1.8912,,,,,48.0618,,,,,6.1924,,,,,36.2362,,,,,1.8912,,,,,0.0162
2025-10-27,78063659635.8,1.8834,,,,,47.8635,,,,,6.1669,,,,,36.0866,,,,,1.8834,,,,,0.0163
2025-10-24,78063659635.8,1.8834,,,,,47.8635,,,,,6.1669,,,,,36.0866,,,,,1.8834,,,,,0.0163
2025-10-23,78088544449.2,1.8840,,,,,47.8787,,,,,6.1689,,,,,36.0981,,,,,1.8840,,,,,0.0163
2025-10-22,77814811501.8,1.8774,,,,,47.7109,,,,,6.1472,,,,,35.9716,,,,,1.8774,,,,,0.0163
2025-10-21,78138314076.0,1.8852,,,,,47.9093,,,,,6.1728,,,,,36.1211,,,,,1.8852,,,,,0.0162
2025-10-20,78212968516.2,1.8870,,,,,47.9550,,,,,6.1787,,,,,36.1556,,,,,1.8870,,,,,0.0162
2025-10-17,77939235568.8,1.8804,,,,,47.7872,,,,,6.1571,,,,,36.0291,,,,,1.8804,,,,,0.0163
2025-10-16,78636010344.0,1.8972,,,,,48.2144,,,,,6.2121,,,,,36.3512,,,,,1.8972,,,,,0.0161
2025-10-15,79332785119.2,1.8902,,,,,48.6416,,,,,6.2671,,,,,36.6733,,,,,1.8902,,,,,0.0160
2025-10-14,78611125530.6,1.8730,,,,,48.1991,,,,,6.2101,,,,,36.3397,,,,,1.8730,,,,,0.0161
2025-10-13,78436931836.8,1.8688,,,,,48.0923,,,,,6.1964,,,,,36.2592,,,,,1.8688,,,,,0.0162
2025-10-10,79332785119.2,1.8902,,,,,48.6416,,,,,6.2671,,,,,36.6733,,,,,1.8902,,,,,0.0160
2025-10-09,79506978813.0,1.8943,,,,,48.7484,,,,,6.2809,,,,,36.7538,,,,,1.8943,,,,,0.0160
2025-09-30,79357669932.6,1.8908,,,,,48.6569,,,,,6.2691,,,,,36.6848,,,,,1.8908,,,,,0.0160
2025-09-29,79357669932.6,1.8908,,,,,48.6569,,,,,6.2691,,,,,36.6848,,,,,1.8908,,,,,0.0160
2025-09-26,78785319224.4,1.8771,,,,,48.3060,,,,,6.2239,,,,,36.4202,,,,,1.8771,,,,,0.0161
2025-09-25,78959512918.2,1.8813,,,,,48.4128,,,,,6.2377,,,,,36.5007,,,,,1.8813,,,,,0.0161
2025-09-24,79457209186.2,1.8931,,,,,48.7179,,,,,6.2770,,,,,36.7308,,,,,1.8931,,,,,0.0160
2025-09-23,79332785119.2,1.8902,,,,,48.6416,,,,,6.2671,,,,,36.6733,,,,,1.8902,,,,,0.0160
2025-09-22,79755826947.0,1.9003,,,,,48.9010,,,,,6.3006,,,,,36.8689,,,,,1.9003,,,,,0.0159
2025-09-19,80377947282.0,1.9151,,,,,49.2824,,,,,6.3497,,,,,37.1565,,,,,1.9151,,,,,0.0158
2025-09-18,79482093999.6,1.8937,,,,,48.7332,,,,,6.2789,,,,,36.7423,,,,,1.8937,,,,,0.0160
2025-09-17,80601910602.6,1.9204,,,,,49.4198,,,,,6.3674,,,,,37.2600,,,,,1.9204,,,,,0.0157
2025-09-16,79780711760.4,1.9009,,,,,48.9163,,,,,6.3025,,,,,36.8804,,,,,1.9009,,,,,0.0159
2025-09-15,79830481387.2,1.9020,,,,,48.9468,,,,,6.3065,,,,,36.9034,,,,,1.9020,,,,,0.0159
2025-09-12,79830481387.2,1.9020,,,,,48.9468,,,,,6.3065,,,,,36.9034,,,,,1.9020,,,,,0.0159
2025-09-11,80228638401.6,1.9115,,,,,49.1909,,,,,6.3379,,,,,37.0874,,,,,1.9115,,,,,0.0158
2025-09-10,80029559894.4,1.9068,,,,,49.0688,,,,,6.3222,,,,,36.9954,,,,,1.9068,,,,,0.0159
2025-09-09,80577025789.2,1.9198,,,,,49.4045,,,,,6.3654,,,,,37.2485,,,,,1.9198,,,,,0.0157
2025-09-08,81024952430.4,1.9305,,,,,49.6791,,,,,6.4008,,,,,37.4555,,,,,1.9305,,,,,0.0157
2025-09-05,79432324372.8,1.8926,,,,,48.7027,,,,,6.2750,,,,,36.7193,,,,,1.8926,,,,,0.0160
2025-09-04,78959512918.2,1.8813,,,,,48.4128,,,,,6.2377,,,,,36.5007,,,,,1.8813,,,,,0.0161
2025-09-03,79506978813.0,1.8943,,,,,48.7484,,,,,6.2809,,,,,36.7538,,,,,1.8943,,,,,0.0160
2025-09-02,80054444707.8,1.9074,,,,,49.0841,,,,,6.3242,,,,,37.0069,,,,,1.9074,,,,,0.0159
2025-09-01,80527256162.4,1.9186,,,,,49.3740,,,,,6.3615,,,,,37.2255,,,,,1.9186,,,,,0.0158
2025-08-29,80427716908.8,1.9410,,,,,52.2372,,,,,6.4282,,,,,38.9072,,,,,1.9410,,,,,0.0124
2025-08-28,81248915751.0,1.9608,,,,,52.7705,,,,,6.4938,,,,,39.3045,,,,,1.9608,,,,,0.0123
2025-08-27,80925413176.8,1.9530,,,,,52.5604,,,,,6.4680,,,,,39.1480,,,,,1.9530,,,,,0.0123
2025-08-26,82493156421.0,1.9909,,,,,53.5787,,,,,6.5933,,,,,39.9064,,,,,1.9909,,,,,0.0121
2025-08-25,81597303138.6,1.9692,,,,,52.9968,,,,,6.5217,,,,,39.4730,,,,,1.9692,,,,,0.0122
2025-08-22,80875643550.0,1.9518,,,,,52.5281,,,,,6.4640,,,,,39.1239,,,,,1.9518,,,,,0.0123
2025-08-21,80800989109.8,1.9500,,,,,52.4796,,,,,6.4580,,,,,39.0878,,,,,1.9500,,,,,0.0123
