日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-12-05,=7.1100,=7.1100,=7.1100,=7.1100,=204048923665.68,=172970644121.0,=69252962763.78,,=1.2040,,,,
2025-12-04,=7.0300,=7.0300,=7.0300,=7.0300,=201753014538.64,=171024420277.0,=68473745179.94,,=1.1905,,,,
2025-12-03,=7.1000,=7.1000,=7.1000,=7.1000,=203761935024.8,=172727366141.0,=69155560565.8,,=1.2023,,,,
2025-12-02,=7.1100,=7.1100,=7.1100,=7.1100,=204048923665.68,=172970644121.0,=69252962763.78,,=1.2040,,,,
2025-12-01,=7.1300,=7.1300,=7.1300,=7.1300,=204622900947.44,=173457200082.0,=69447767159.74,,=1.2074,,,,
2025-11-28,=7.2700,=7.2700,=7.2700,=7.2700,=208640741919.76,=176863091809.0,=70811397931.46,,=1.2311,,,,
2025-11-27,=7.2300,=7.2300,=7.2300,=7.2300,=207492787356.24,=175889979887.0,=70421789139.54,,=1.2243,,,,
2025-11-26,=7.2700,=7.2700,=7.2700,=7.2700,=208640741919.76,=176863091809.0,=70811397931.46,,=1.2311,,,,
2025-11-25,=7.2300,=7.2300,=7.2300,=7.2300,=207492787356.24,=175889979887.0,=70421789139.54,,=1.2243,,,,
2025-11-24,=7.2500,=7.2500,=7.2500,=7.2500,=208066764638.0,=176376535848.0,=70616593535.5,,=1.2277,,,,
2025-11-21,=7.3400,=7.3400,=7.3400,=7.3400,=210649662405.92,=178566037672.0,=71493213317.32,,=1.2430,,,,
2025-11-20,=7.4500,=7.4500,=7.4500,=7.4500,=213806537455.6,=181242095458.0,=72564637495.1,,=1.2616,,,,
2025-11-19,=7.5700,=7.5700,=7.5700,=7.5700,=217250401146.16,=184161431223.0,=73733463870.86,,=1.2819,,,,
2025-11-18,=7.5500,=7.5500,=7.5500,=7.5500,=216676423864.4,=183674875262.0,=73538659474.9,,=1.2785,,,,
2025-11-17,=7.6200,=7.6200,=7.6200,=7.6200,=218685344350.56,=185377821126.0,=74220474860.76,,=1.2904,,,,
2025-11-14,=7.7400,=7.7400,=7.7400,=7.7400,=222129208041.12,=188297156892.0,=75389301236.52,,=1.3107,,,,
2025-11-13,=7.8500,=7.8500,=7.8500,=7.8500,=225286083090.8,=190973214677.0,=76460725414.3,,=1.3293,,,,
2025-11-12,=7.9200,=7.9200,=7.9200,=7.9200,=227295003576.96,=192676160540.0,=77142540800.16,,=1.3412,,,,
2025-11-11,=7.9300,=7.9300,=7.9300,=7.9300,=227581992217.84,=192919438521.0,=77239942998.14,,=1.3429,,,,
2025-11-10,=7.9300,=7.9300,=7.9300,=7.9300,=227581992217.84,=192919438521.0,=77239942998.14,,=1.3429,,,,
2025-11-07,=7.9500,=7.9500,=7.9500,=7.9500,=228155969499.6,=193405994482.0,=77434747394.1,,=1.3463,,,,
2025-11-06,=7.9100,=7.9100,=7.9100,=7.9100,=227008014936.08,=192432882560.0,=77045138602.18,,=1.3395,,,,
2025-11-05,=7.7200,=7.7200,=7.7200,=7.7200,=221555230759.36,=187810600931.0,=75194496840.56,,=1.3073,,,,
