date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-01-08,2377947467462.31,0.7025,,,,,0.7030,,,,,0.0421,3.1503,,,,,7.0670,,,,,7.0529,,,,
2026-01-07,2364867448389.36,0.6987,,,,,0.6992,,,,,0.0423,3.1330,,,,,7.0281,,,,,7.0141,,,,
2026-01-06,2396259494164.44,0.7079,,,,,0.7085,,,,,0.0418,3.1746,,,,,7.1214,,,,,7.1072,,,,
2026-01-05,2419803528495.75,0.7149,,,,,0.7154,,,,,0.0414,3.2058,,,,,7.1914,,,,,7.1770,,,,
2025-12-31,2427651539939.52,0.7172,,,,,0.7177,,,,,0.0412,3.2162,,,,,7.2147,,,,,7.2003,,,,
2025-12-30,2411955517051.98,0.7126,,,,,0.7131,,,,,0.0415,3.1954,,,,,7.1681,,,,,7.1537,,,,
2025-12-29,2425035536124.9297,0.7164,,,,,0.7170,,,,,0.0413,3.2127,,,,,7.2069,,,,,7.1925,,,,
2025-12-26,2377947467462.31,0.7025,,,,,0.7030,,,,,0.0421,3.1503,,,,,7.0670,,,,,7.0529,,,,
2025-12-25,2406723509422.8,0.7110,,,,,0.7116,,,,,0.0416,3.1884,,,,,7.1525,,,,,7.1382,,,,
2025-12-24,2398875497979.03,0.7087,,,,,0.7092,,,,,0.0417,3.1780,,,,,7.1292,,,,,7.1149,,,,
2025-12-23,2411955517051.98,0.7126,,,,,0.7131,,,,,0.0415,3.1954,,,,,7.1681,,,,,7.1537,,,,
2025-12-22,2404107505608.21,0.7103,,,,,0.7108,,,,,0.0416,3.1850,,,,,7.1447,,,,,7.1304,,,,
2025-12-19,2398875497979.03,0.7087,,,,,0.7092,,,,,0.0417,3.1780,,,,,7.1292,,,,,7.1149,,,,
2025-12-18,2396259494164.44,0.7079,,,,,0.7085,,,,,0.0418,3.1746,,,,,7.1214,,,,,7.1072,,,,
2025-12-17,2336091406428.87,0.6902,,,,,0.6907,,,,,0.0429,3.0949,,,,,6.9426,,,,,6.9287,,,,
2025-12-16,2312547372097.56,0.6832,,,,,0.6837,,,,,0.0433,3.0637,,,,,6.8726,,,,,6.8589,,,,
2025-12-15,2323011387355.9204,0.6863,,,,,0.6868,,,,,0.0431,3.0775,,,,,6.9037,,,,,6.8899,,,,
2025-12-12,2323011387355.9204,0.6863,,,,,0.6868,,,,,0.0431,3.0775,,,,,6.9037,,,,,6.8899,,,,
2025-12-11,2338707410243.46,0.6909,,,,,0.6914,,,,,0.0428,3.0983,,,,,6.9504,,,,,6.9365,,,,
2025-12-10,2404107505608.21,0.7002,,,,,0.7007,,,,,0.0416,3.1850,,,,,7.1447,,,,,7.1304,,,,
2025-12-09,2443347562827.06,0.7116,,,,,0.7121,,,,,0.0410,3.2369,,,,,7.2614,,,,,7.2468,,,,
2025-12-08,2435499551383.29,0.7094,,,,,0.7099,,,,,0.0411,3.2265,,,,,7.2380,,,,,7.2236,,,,
2025-12-05,2435499551383.29,0.7094,,,,,0.7099,,,,,0.0411,3.2265,,,,,7.2380,,,,,7.2236,,,,
2025-12-04,2456427581900.0103,0.7154,,,,,0.7160,,,,,0.0408,3.2543,,,,,7.3002,,,,,7.2856,,,,
2025-12-03,2469507600972.96,0.7193,,,,,0.7198,,,,,0.0405,3.2716,,,,,7.3391,,,,,7.3244,,,,
2025-12-02,2511363662006.4,0.7314,,,,,0.7320,,,,,0.0399,3.3271,,,,,7.4635,,,,,7.4486,,,,
2025-12-01,2524443681079.35,0.7353,,,,,0.7358,,,,,0.0397,3.3444,,,,,7.5024,,,,,7.4874,,,,
2025-11-28,2527059684893.94,0.7360,,,,,0.7365,,,,,0.0396,3.3478,,,,,7.5101,,,,,7.4951,,,,
2025-11-27,2540139703966.89,0.7398,,,,,0.7404,,,,,0.0394,3.3652,,,,,7.5490,,,,,7.5339,,,,
2025-11-26,2542755707781.48,0.7406,,,,,0.7411,,,,,0.0394,3.3686,,,,,7.5568,,,,,7.5417,,,,
2025-11-25,2576763757371.15,0.7505,,,,,0.7510,,,,,0.0388,3.4137,,,,,7.6579,,,,,7.6425,,,,
2025-11-24,2550603719225.25,0.7429,,,,,0.7434,,,,,0.0392,3.3790,,,,,7.5801,,,,,7.5649,,,,
2025-11-21,2561067734483.61,0.7459,,,,,0.7465,,,,,0.0391,3.3929,,,,,7.6112,,,,,7.5960,,,,
2025-11-20,2568915745927.38,0.7482,,,,,0.7487,,,,,0.0390,3.4033,,,,,7.6345,,,,,7.6193,,,,
2025-11-19,2490435631489.6797,0.7254,,,,,0.7259,,,,,0.0402,3.2993,,,,,7.4013,,,,,7.3865,,,,
2025-11-18,2461659589529.19,0.7170,,,,,0.7175,,,,,0.0407,3.2612,,,,,7.3158,,,,,7.3011,,,,
2025-11-17,2469507600972.96,0.7193,,,,,0.7198,,,,,0.0405,3.2716,,,,,7.3391,,,,,7.3244,,,,
2025-11-14,2500899646748.04,0.7284,,,,,0.7289,,,,,0.0400,3.3132,,,,,7.4324,,,,,7.4175,,,,
2025-11-13,2495667639118.86,0.7269,,,,,0.7274,,,,,0.0401,3.3063,,,,,7.4169,,,,,7.4020,,,,
2025-11-12,2508747658191.81,0.7307,,,,,0.7312,,,,,0.0399,3.3236,,,,,7.4557,,,,,7.4408,,,,
2025-11-11,2495667639118.86,0.7269,,,,,0.7274,,,,,0.0401,3.3063,,,,,7.4169,,,,,7.4020,,,,
2025-11-10,2485203623860.5,0.7238,,,,,0.7243,,,,,0.0403,3.2924,,,,,7.3858,,,,,7.3710,,,,
2025-11-07,2456427581900.0103,0.7154,,,,,0.7160,,,,,0.0408,3.2543,,,,,7.3002,,,,,7.2856,,,,
2025-11-06,2469507600972.96,0.7193,,,,,0.7198,,,,,0.0405,3.2716,,,,,7.3391,,,,,7.3244,,,,
2025-11-05,2479971616231.3203,0.7223,,,,,0.7228,,,,,0.0404,3.2855,,,,,7.3702,,,,,7.3555,,,,
2025-11-04,2498283642933.45,0.7276,,,,,0.7282,,,,,0.0401,3.3097,,,,,7.4246,,,,,7.4098,,,,
2025-11-03,2443347562827.06,0.7116,,,,,0.7121,,,,,0.0410,3.2369,,,,,7.2614,,,,,7.2468,,,,
2025-10-31,2388411482720.6704,0.6956,,,,,0.6961,,,,,0.0419,3.1642,,,,,7.0981,,,,,7.0839,,,,
2025-10-30,2417187524681.16,0.7187,,,,,0.7192,,,,,0.0414,3.1870,,,,,7.2678,,,,,7.2517,,,,
2025-10-29,2414571520866.5703,0.7179,,,,,0.7184,,,,,0.0415,3.1835,,,,,7.2600,,,,,7.2439,,,,
2025-10-28,2456427581900.0103,0.7304,,,,,0.7309,,,,,0.0408,3.2387,,,,,7.3858,,,,,7.3694,,,,
2025-10-27,2466891597158.37,0.7335,,,,,0.7340,,,,,0.0406,3.2525,,,,,7.4173,,,,,7.4008,,,,
2025-10-24,2448579570456.2397,0.7280,,,,,0.7286,,,,,0.0409,3.2284,,,,,7.3622,,,,,7.3459,,,,
2025-10-23,2448579570456.2397,0.7280,,,,,0.7286,,,,,0.0409,3.2284,,,,,7.3622,,,,,7.3459,,,,
2025-10-22,2453811578085.4204,0.7296,,,,,0.7301,,,,,0.0408,3.2353,,,,,7.3780,,,,,7.3616,,,,
2025-10-21,2430267543754.11,0.7226,,,,,0.7231,,,,,0.0412,3.2042,,,,,7.3072,,,,,7.2909,,,,
2025-10-20,2419803528495.75,0.7195,,,,,0.7200,,,,,0.0414,3.1904,,,,,7.2757,,,,,7.2595,,,,
2025-10-17,2411955517051.98,0.7171,,,,,0.7177,,,,,0.0415,3.1801,,,,,7.2521,,,,,7.2360,,,,
2025-10-16,2404107505608.21,0.7148,,,,,0.7153,,,,,0.0416,3.1697,,,,,7.2285,,,,,7.2125,,,,
2025-10-15,2341323414058.05,0.6961,,,,,0.6966,,,,,0.0428,3.0869,,,,,7.0397,,,,,7.0241,,,,
2025-10-14,2325627391170.5103,0.6915,,,,,0.6920,,,,,0.0430,3.0663,,,,,6.9925,,,,,6.9770,,,,
2025-10-13,2275923318693.3,0.6767,,,,,0.6772,,,,,0.0440,3.0007,,,,,6.8431,,,,,6.8279,,,,
2025-10-10,2275923318693.3,0.6767,,,,,0.6772,,,,,0.0440,3.0007,,,,,6.8431,,,,,6.8279,,,,
2025-10-09,2268075307249.53,0.6744,,,,,0.6748,,,,,0.0441,2.9904,,,,,6.8195,,,,,6.8044,,,,
2025-09-30,2252379284361.9897,0.6697,,,,,0.6702,,,,,0.0444,2.9697,,,,,6.7723,,,,,6.7573,,,,
2025-09-29,2249763280547.4,0.6689,,,,,0.6694,,,,,0.0445,2.9662,,,,,6.7644,,,,,6.7494,,,,
2025-09-26,2265459303434.94,0.6736,,,,,0.6741,,,,,0.0442,2.9869,,,,,6.8116,,,,,6.7965,,,,
2025-09-25,2283771330137.0703,0.6790,,,,,0.6795,,,,,0.0438,3.0111,,,,,6.8667,,,,,6.8514,,,,
2025-09-24,2289003337766.25,0.6806,,,,,0.6811,,,,,0.0437,3.0180,,,,,6.8824,,,,,6.8671,,,,
2025-09-23,2315163375912.15,0.6884,,,,,0.6889,,,,,0.0432,3.0525,,,,,6.9611,,,,,6.9456,,,,
2025-09-22,2247147276732.81,0.6681,,,,,0.6686,,,,,0.0445,2.9628,,,,,6.7566,,,,,6.7416,,,,
2025-09-19,2323011387355.9204,0.6907,,,,,0.6912,,,,,0.0431,3.0628,,,,,6.9847,,,,,6.9692,,,,
2025-09-18,2294235345395.4297,0.6821,,,,,0.6826,,,,,0.0436,3.0249,,,,,6.8982,,,,,6.8828,,,,
2025-09-17,2354403433131.0,0.7000,,,,,0.7005,,,,,0.0425,3.1042,,,,,7.0791,,,,,7.0633,,,,
2025-09-16,2357019436945.59,0.7008,,,,,0.7013,,,,,0.0425,3.1076,,,,,7.0869,,,,,7.0712,,,,
2025-09-15,2364867448389.36,0.7031,,,,,0.7036,,,,,0.0423,3.1180,,,,,7.1105,,,,,7.0947,,,,
2025-09-12,2385795478906.0796,0.7094,,,,,0.7099,,,,,0.0420,3.1456,,,,,7.1734,,,,,7.1575,,,,
2025-09-11,2396259494164.44,0.7125,,,,,0.7130,,,,,0.0418,3.1594,,,,,7.2049,,,,,7.1889,,,,
2025-09-10,2393643490349.85,0.7117,,,,,0.7122,,,,,0.0418,3.1559,,,,,7.1970,,,,,7.1811,,,,
2025-09-09,2357019436945.59,0.7008,,,,,0.7013,,,,,0.0425,3.1076,,,,,7.0869,,,,,7.0712,,,,
2025-09-08,2354403433131.0,0.7000,,,,,0.7005,,,,,0.0425,3.1042,,,,,7.0791,,,,,7.0633,,,,
2025-09-05,2367483452203.95,0.7039,,,,,0.7044,,,,,0.0423,3.1214,,,,,7.1184,,,,,7.1026,,,,
2025-09-04,2406723509422.8,0.7156,,,,,0.7161,,,,,0.0416,3.1732,,,,,7.2364,,,,,7.2203,,,,
2025-09-03,2388411482720.6704,0.7101,,,,,0.7107,,,,,0.0419,3.1490,,,,,7.1813,,,,,7.1654,,,,
2025-09-02,2411955517051.98,0.7171,,,,,0.7177,,,,,0.0415,3.1801,,,,,7.2521,,,,,7.2360,,,,
2025-09-01,2364867448389.36,0.7031,,,,,0.7036,,,,,0.0423,3.1180,,,,,7.1105,,,,,7.0947,,,,
2025-08-29,2354403433131.0,0.7410,,,,,0.7416,,,,,0.0428,3.1847,,,,,7.0978,,,,,7.0892,,,,
2025-08-28,2362251444574.77,0.7434,,,,,0.7440,,,,,0.0427,3.1953,,,,,7.1215,,,,,7.1128,,,,
2025-08-27,2362251444574.77,0.7434,,,,,0.7440,,,,,0.0427,3.1953,,,,,7.1215,,,,,7.1128,,,,
