date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-05-12,189842659143.02,1.5823,,,,,1.6572,,,,,23.5795,,,,,0.0195,23.0626,,,,,2.3516,,,,
2026-05-11,189019939060.06,1.5755,,,,,1.6500,,,,,23.4773,,,,,0.0196,22.9626,,,,,2.3415,,,,
2026-05-08,186551778811.18,1.5549,,,,,1.6285,,,,,23.1707,,,,,0.0198,22.6628,,,,,2.3109,,,,
2026-05-07,186346098790.44,1.5532,,,,,1.6267,,,,,23.1452,,,,,0.0199,22.6378,,,,,2.3083,,,,
2026-05-06,183466578500.08,1.5292,,,,,1.6015,,,,,22.7875,,,,,0.0202,22.2880,,,,,2.2727,,,,
2026-04-30,184906338645.26,1.5412,,,,,1.6141,,,,,22.9664,,,,,0.0200,22.4629,,,,,2.2905,,,,
2026-04-29,184906338645.26,1.5999,,,,,1.6840,,,,,24.1355,,,,,0.0200,23.5662,,,,,2.2571,,,,
2026-04-28,186963138852.66,1.6177,,,,,1.7027,,,,,24.4039,,,,,0.0198,23.8284,,,,,2.2822,,,,
2026-04-27,185523378707.48,1.6052,,,,,1.6896,,,,,24.2160,,,,,0.0199,23.6449,,,,,2.2647,,,,
2026-04-24,186551778811.18,1.6141,,,,,1.6989,,,,,24.3503,,,,,0.0198,23.7759,,,,,2.2772,,,,
2026-04-23,186963138852.66,1.6177,,,,,1.7027,,,,,24.4039,,,,,0.0198,23.8284,,,,,2.2822,,,,
2026-04-22,184289298583.04,1.5945,,,,,1.6783,,,,,24.0549,,,,,0.0201,23.4876,,,,,2.2496,,,,
2026-04-21,183260898479.34,1.5856,,,,,1.6690,,,,,23.9207,,,,,0.0202,23.3565,,,,,2.2370,,,,
2026-04-20,180381378188.98,1.5607,,,,,1.6428,,,,,23.5448,,,,,0.0205,22.9895,,,,,2.2019,,,,
2026-04-17,178735938023.06,1.5465,,,,,1.6278,,,,,23.3301,,,,,0.0207,22.7798,,,,,2.1818,,,,
2026-04-16,180175698168.24,1.5590,,,,,1.6409,,,,,23.5180,,,,,0.0205,22.9633,,,,,2.1994,,,,
2026-04-15,180381378188.98,1.5607,,,,,1.6428,,,,,23.5448,,,,,0.0205,22.9895,,,,,2.2019,,,,
2026-04-14,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2026-04-13,178735938023.06,1.5465,,,,,1.6278,,,,,23.3301,,,,,0.0207,22.7798,,,,,2.1818,,,,
2026-04-10,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0207,22.8322,,,,,2.1868,,,,
2026-04-09,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2026-04-08,180587058209.72,1.5625,,,,,1.6446,,,,,23.5717,,,,,0.0205,23.0157,,,,,2.2044,,,,
2026-04-07,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2026-04-03,181204098271.94,1.5678,,,,,1.6502,,,,,23.6522,,,,,0.0204,23.0944,,,,,2.2119,,,,
2026-04-02,185317698686.74,1.6034,,,,,1.6877,,,,,24.1892,,,,,0.0200,23.6187,,,,,2.2622,,,,
2026-04-01,184083618562.3,1.5928,,,,,1.6765,,,,,24.0281,,,,,0.0201,23.4614,,,,,2.2471,,,,
2026-03-31,186140418769.7,1.6106,,,,,1.6952,,,,,24.2966,,,,,0.0199,23.7235,,,,,2.2722,,,,
2026-03-30,188197218977.1,1.6284,,,,,1.7139,,,,,24.5650,,,,,0.0197,23.9857,,,,,2.2973,,,,
2026-03-27,188402898997.84,1.6301,,,,,1.7158,,,,,24.5919,,,,,0.0196,24.0119,,,,,2.2998,,,,
2026-03-26,190254019184.5,1.6462,,,,,1.7327,,,,,24.8335,,,,,0.0194,24.2478,,,,,2.3224,,,,
2026-03-25,191899459350.42,1.6604,,,,,1.7476,,,,,25.0483,,,,,0.0193,24.4575,,,,,2.3425,,,,
2026-03-24,187991538956.36,1.6266,,,,,1.7121,,,,,24.5382,,,,,0.0197,23.9594,,,,,2.2948,,,,
2026-03-23,185934738748.96,1.6088,,,,,1.6933,,,,,24.2697,,,,,0.0199,23.6973,,,,,2.2697,,,,
2026-03-20,182232498375.64,1.5767,,,,,1.6596,,,,,23.7865,,,,,0.0203,23.2255,,,,,2.2245,,,,
2026-03-19,182026818354.9,1.5750,,,,,1.6577,,,,,23.7596,,,,,0.0203,23.1992,,,,,2.2220,,,,
2026-03-18,182438178396.38,1.5785,,,,,1.6615,,,,,23.8133,,,,,0.0203,23.2517,,,,,2.2270,,,,
2026-03-17,183877938541.56,1.5910,,,,,1.6746,,,,,24.0012,,,,,0.0201,23.4352,,,,,2.2446,,,,
2026-03-16,186346098790.44,1.6123,,,,,1.6971,,,,,24.3234,,,,,0.0199,23.7497,,,,,2.2747,,,,
2026-03-13,190048339163.76,1.6444,,,,,1.7308,,,,,24.8067,,,,,0.0195,24.2216,,,,,2.3199,,,,
2026-03-12,188402898997.84,1.6301,,,,,1.7158,,,,,24.5919,,,,,0.0196,24.0119,,,,,2.2998,,,,
2026-03-11,186346098790.44,1.6123,,,,,1.6971,,,,,24.3234,,,,,0.0199,23.7497,,,,,2.2747,,,,
2026-03-10,182849538437.86,1.5821,,,,,1.6652,,,,,23.8670,,,,,0.0202,23.3041,,,,,2.2320,,,,
2026-03-09,183260898479.34,1.5856,,,,,1.6690,,,,,23.9207,,,,,0.0202,23.3565,,,,,2.2370,,,,
2026-03-06,181615458313.42,1.5714,,,,,1.6540,,,,,23.7059,,,,,0.0204,23.1468,,,,,2.2170,,,,
2026-03-05,180587058209.72,1.5625,,,,,1.6446,,,,,23.5717,,,,,0.0205,23.0157,,,,,2.2044,,,,
2026-03-04,178530258002.32,1.5447,,,,,1.6259,,,,,23.3032,,,,,0.0207,22.7536,,,,,2.1793,,,,
2026-03-03,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2026-03-02,178118897960.84,1.5412,,,,,1.6221,,,,,23.2495,,,,,0.0208,22.7012,,,,,2.1743,,,,
2026-02-27,175239377670.48,1.5162,,,,,1.5959,,,,,22.8737,,,,,0.0211,22.3342,,,,,2.1391,,,,
2026-02-26,175445057691.22,1.5180,,,,,1.5978,,,,,22.9005,,,,,0.0211,22.3604,,,,,2.1416,,,,
2026-02-25,174622337608.26,1.5109,,,,,1.5903,,,,,22.7931,,,,,0.0212,22.2555,,,,,2.1316,,,,
2026-02-24,176062097753.44,1.5234,,,,,1.6034,,,,,22.9811,,,,,0.0210,22.4390,,,,,2.1492,,,,
2026-02-13,175239377670.48,1.5162,,,,,1.5959,,,,,22.8737,,,,,0.0211,22.3342,,,,,2.1391,,,,
2026-02-12,176267777774.18,1.5251,,,,,1.6053,,,,,23.0079,,,,,0.0210,22.4653,,,,,2.1517,,,,
2026-02-11,176473457794.92,1.5269,,,,,1.6072,,,,,23.0348,,,,,0.0210,22.4915,,,,,2.1542,,,,
2026-02-10,177090497857.14,1.5323,,,,,1.6128,,,,,23.1153,,,,,0.0209,22.5701,,,,,2.1617,,,,
2026-02-09,177501857898.62,1.5358,,,,,1.6165,,,,,23.1690,,,,,0.0208,22.6225,,,,,2.1667,,,,
2026-02-06,176884817836.4,1.5305,,,,,1.6109,,,,,23.0884,,,,,0.0209,22.5439,,,,,2.1592,,,,
2026-02-05,177913217940.1,1.5394,,,,,1.6203,,,,,23.2227,,,,,0.0208,22.6750,,,,,2.1718,,,,
2026-02-04,178118897960.84,1.5412,,,,,1.6221,,,,,23.2495,,,,,0.0208,22.7012,,,,,2.1743,,,,
2026-02-03,176062097753.44,1.5234,,,,,1.6034,,,,,22.9811,,,,,0.0210,22.4390,,,,,2.1492,,,,
2026-02-02,175856417732.7,1.5216,,,,,1.6015,,,,,22.9542,,,,,0.0210,22.4128,,,,,2.1467,,,,
2026-01-30,177090497857.14,1.5323,,,,,1.6128,,,,,23.1153,,,,,0.0209,22.5701,,,,,2.1617,,,,
2026-01-29,177090497857.14,1.5323,,,,,1.6128,,,,,23.1153,,,,,0.0209,22.5701,,,,,2.1617,,,,
2026-01-28,177296177877.88,1.5340,,,,,1.6147,,,,,23.1421,,,,,0.0209,22.5963,,,,,2.1642,,,,
2026-01-27,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0207,22.8322,,,,,2.1868,,,,
2026-01-26,181204098271.94,1.5678,,,,,1.6502,,,,,23.6522,,,,,0.0204,23.0944,,,,,2.2119,,,,
2026-01-23,182849538437.86,1.5821,,,,,1.6652,,,,,23.8670,,,,,0.0202,23.3041,,,,,2.2320,,,,
2026-01-22,183877938541.56,1.5910,,,,,1.6746,,,,,24.0012,,,,,0.0201,23.4352,,,,,2.2446,,,,
2026-01-21,182438178396.38,1.5785,,,,,1.6615,,,,,23.8133,,,,,0.0203,23.2517,,,,,2.2270,,,,
2026-01-20,185523378707.48,1.6052,,,,,1.6896,,,,,24.2160,,,,,0.0199,23.6449,,,,,2.2647,,,,
2026-01-19,185317698686.74,1.6034,,,,,1.6877,,,,,24.1892,,,,,0.0200,23.6187,,,,,2.2622,,,,
2026-01-16,183055218458.6,1.5839,,,,,1.6671,,,,,23.8939,,,,,0.0202,23.3303,,,,,2.2345,,,,
2026-01-15,182438178396.38,1.5785,,,,,1.6615,,,,,23.8133,,,,,0.0203,23.2517,,,,,2.2270,,,,
2026-01-14,184083618562.3,1.5928,,,,,1.6765,,,,,24.0281,,,,,0.0201,23.4614,,,,,2.2471,,,,
2026-01-13,185523378707.48,1.6052,,,,,1.6896,,,,,24.2160,,,,,0.0199,23.6449,,,,,2.2647,,,,
2026-01-12,190048339163.76,1.6444,,,,,1.7308,,,,,24.8067,,,,,0.0195,24.2216,,,,,2.3199,,,,
2026-01-09,185934738748.96,1.6088,,,,,1.6933,,,,,24.2697,,,,,0.0199,23.6973,,,,,2.2697,,,,
2026-01-08,186963138852.66,1.6177,,,,,1.7027,,,,,24.4039,,,,,0.0198,23.8284,,,,,2.2822,,,,
2026-01-07,183260898479.34,1.5856,,,,,1.6690,,,,,23.9207,,,,,0.0202,23.3565,,,,,2.2370,,,,
2026-01-06,180381378188.98,1.5607,,,,,1.6428,,,,,23.5448,,,,,0.0205,22.9895,,,,,2.2019,,,,
2026-01-05,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0207,22.8322,,,,,2.1868,,,,
2025-12-31,177913217940.1,1.5394,,,,,1.6203,,,,,23.2227,,,,,0.0208,22.6750,,,,,2.1718,,,,
2025-12-30,178324577981.58,1.5429,,,,,1.6240,,,,,23.2764,,,,,0.0229,22.7274,,,,,2.1768,,,,
2025-12-29,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0228,22.8322,,,,,2.1868,,,,
2025-12-26,180381378188.98,1.5607,,,,,1.6428,,,,,23.5448,,,,,0.0226,22.9895,,,,,2.2019,,,,
2025-12-25,180587058209.72,1.5625,,,,,1.6446,,,,,23.5717,,,,,0.0205,23.0157,,,,,2.2044,,,,
2025-12-24,179764338126.76,1.5554,,,,,1.6371,,,,,23.4643,,,,,0.0206,22.9109,,,,,2.1944,,,,
2025-12-23,178530258002.32,1.5447,,,,,1.6259,,,,,23.3032,,,,,0.0207,22.7536,,,,,2.1793,,,,
2025-12-22,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0207,22.8322,,,,,2.1868,,,,
2025-12-19,179970018147.5,1.5572,,,,,1.6390,,,,,23.4912,,,,,0.0206,22.9371,,,,,2.1969,,,,
2025-12-18,178530258002.32,1.5447,,,,,1.6259,,,,,23.3032,,,,,0.0207,22.7536,,,,,2.1793,,,,
2025-12-17,178530258002.32,1.5447,,,,,1.6259,,,,,23.3032,,,,,0.0207,22.7536,,,,,2.1793,,,,
2025-12-16,177501857898.62,1.5358,,,,,1.6165,,,,,23.1690,,,,,0.0209,22.6225,,,,,2.1667,,,,
2025-12-15,179352978085.28,1.5518,,,,,1.6334,,,,,23.4106,,,,,0.0206,22.8585,,,,,2.1893,,,,
2025-12-12,180587058209.72,1.5625,,,,,1.6446,,,,,23.5717,,,,,0.0205,23.0157,,,,,2.2044,,,,
2025-12-11,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2025-12-10,178324577981.58,1.5429,,,,,1.6240,,,,,23.2764,,,,,0.0208,22.7274,,,,,2.1768,,,,
2025-12-09,177913217940.1,1.5394,,,,,1.6203,,,,,23.2227,,,,,0.0208,22.6750,,,,,2.1718,,,,
2025-12-08,179764338126.76,1.5554,,,,,1.6371,,,,,23.4643,,,,,0.0206,22.9109,,,,,2.1944,,,,
2025-12-05,180381378188.98,1.5607,,,,,1.6428,,,,,23.5448,,,,,0.0205,22.9895,,,,,2.2019,,,,
2025-12-04,178324577981.58,1.5429,,,,,1.6240,,,,,23.2764,,,,,0.0208,22.7274,,,,,2.1768,,,,
2025-12-03,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2025-12-02,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0207,22.8060,,,,,2.1843,,,,
2025-12-01,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0207,22.8322,,,,,2.1868,,,,
2025-11-28,177501857898.62,1.5358,,,,,1.6165,,,,,23.1690,,,,,0.0230,22.6225,,,,,2.1667,,,,
2025-11-27,176884817836.4,1.5305,,,,,1.6109,,,,,23.0884,,,,,0.0231,22.5439,,,,,2.1592,,,,
2025-11-26,177707537919.36,1.5376,,,,,1.6184,,,,,23.1958,,,,,0.0230,22.6488,,,,,2.1693,,,,
2025-11-25,178941618043.8,1.5483,,,,,1.6296,,,,,23.3569,,,,,0.0228,22.8060,,,,,2.1843,,,,
2025-11-24,179147298064.54,1.5501,,,,,1.6315,,,,,23.3838,,,,,0.0228,22.8322,,,,,2.1868,,,,
2025-11-21,178118897960.84,1.5412,,,,,1.6221,,,,,23.2495,,,,,0.0229,22.7012,,,,,2.1743,,,,
2025-11-20,179970018147.5,1.5572,,,,,1.6390,,,,,23.4912,,,,,0.0227,22.9371,,,,,2.1969,,,,
2025-11-19,179558658106.02,1.5536,,,,,1.6353,,,,,23.4375,,,,,0.0227,22.8847,,,,,2.1919,,,,
2025-11-18,180998418251.2,1.5661,,,,,1.6484,,,,,23.6254,,,,,0.0225,23.0682,,,,,2.2094,,,,
2025-11-17,181409778292.68,1.5696,,,,,1.6521,,,,,23.6791,,,,,0.0225,23.1206,,,,,2.2144,,,,
2025-11-14,183260898479.34,1.5856,,,,,1.6690,,,,,23.9207,,,,,0.0223,23.3565,,,,,2.2370,,,,
2025-11-13,185112018666.0,1.6017,,,,,1.6858,,,,,24.1623,,,,,0.0220,23.5925,,,,,2.2596,,,,
2025-11-12,184700658624.52,1.5981,,,,,1.6821,,,,,24.1086,,,,,0.0221,23.5400,,,,,2.2546,,,,
2025-11-11,186346098790.44,1.6123,,,,,1.6971,,,,,24.3234,,,,,0.0219,23.7497,,,,,2.2747,,,,
2025-11-10,187168818873.4,1.6195,,,,,1.7046,,,,,24.4308,,,,,0.0218,23.8546,,,,,2.2847,,,,
2025-11-07,186963138852.66,1.6177,,,,,1.7027,,,,,24.4039,,,,,0.0218,23.8284,,,,,2.2822,,,,
2025-11-06,188608579018.58,1.6319,,,,,1.7177,,,,,24.6187,,,,,0.0216,24.0381,,,,,2.3023,,,,
2025-11-05,187168818873.4,1.6195,,,,,1.7046,,,,,24.4308,,,,,0.0218,23.8546,,,,,2.2847,,,,
2025-11-04,186346098790.44,1.6123,,,,,1.6971,,,,,24.3234,,,,,0.0219,23.7497,,,,,2.2747,,,,
2025-11-03,187168818873.4,1.6195,,,,,1.7046,,,,,24.4308,,,,,0.0218,23.8546,,,,,2.2847,,,,
2025-10-31,184700658624.52,1.5981,,,,,1.6821,,,,,24.1086,,,,,0.0221,23.5400,,,,,2.2546,,,,
2025-10-30,192927859454.12,1.6693,,,,,1.7570,,,,,25.1825,,,,,0.0211,24.5886,,,,,2.3550,,,,
2025-10-29,195601699723.74,1.7785,,,,,1.8770,,,,,23.3445,,,,,0.0209,22.8458,,,,,2.4207,,,,
2025-10-28,193133539474.86,1.7561,,,,,1.8533,,,,,23.0499,,,,,0.0211,22.5575,,,,,2.3902,,,,
2025-10-27,194778979640.78,1.7710,,,,,1.8691,,,,,23.2463,,,,,0.0209,22.7497,,,,,2.4105,,,,
2025-10-24,186963138852.66,1.7000,,,,,1.7941,,,,,22.3135,,,,,0.0218,21.8368,,,,,2.3138,,,,
2025-10-23,187785858935.62,1.7075,,,,,1.8020,,,,,22.4117,,,,,0.0217,21.9329,,,,,2.3240,,,,
2025-10-22,186140418769.7,1.6925,,,,,1.7862,,,,,22.2153,,,,,0.0219,21.7407,,,,,2.3036,,,,
2025-10-21,186140418769.7,1.6925,,,,,1.7862,,,,,22.2153,,,,,0.0219,21.7407,,,,,2.3036,,,,
2025-10-20,186346098790.44,1.6944,,,,,1.7882,,,,,22.2399,,,,,0.0219,21.7648,,,,,2.3062,,,,
2025-10-17,185934738748.96,1.6906,,,,,1.7842,,,,,22.1908,,,,,0.0219,21.7167,,,,,2.3011,,,,
2025-10-16,188608579018.58,1.7149,,,,,1.8099,,,,,22.5099,,,,,0.0216,22.0290,,,,,2.3342,,,,
2025-10-15,187580178914.88,1.7056,,,,,1.8000,,,,,22.3871,,,,,0.0217,21.9089,,,,,2.3214,,,,
2025-10-14,189019939060.06,1.7187,,,,,1.8139,,,,,22.5590,,,,,0.0216,22.0771,,,,,2.3392,,,,
2025-10-13,186551778811.18,1.6962,,,,,1.7902,,,,,22.2644,,,,,0.0219,21.7888,,,,,2.3087,,,,
2025-10-10,184906338645.26,1.6813,,,,,1.7744,,,,,22.0680,,,,,0.0221,21.5966,,,,,2.2883,,,,
2025-10-09,187374498894.14,1.7037,,,,,1.7981,,,,,22.3626,,,,,0.0218,21.8849,,,,,2.3189,,,,
2025-09-30,179147298064.54,1.6289,,,,,1.7191,,,,,21.3807,,,,,0.0228,20.9240,,,,,2.2171,,,,
2025-09-29,179352978085.28,1.6308,,,,,1.7211,,,,,21.4053,,,,,0.0227,20.9480,,,,,2.2196,,,,
2025-09-26,177501857898.62,1.6140,,,,,1.7033,,,,,21.1843,,,,,0.0230,20.7318,,,,,2.1967,,,,
2025-09-25,175239377670.48,1.5934,,,,,1.6816,,,,,20.9143,,,,,0.0233,20.4675,,,,,2.1687,,,,
2025-09-24,174622337608.26,1.5878,,,,,1.6757,,,,,20.8407,,,,,0.0234,20.3955,,,,,2.1611,,,,
2025-09-23,175445057691.22,1.5952,,,,,1.6836,,,,,20.9389,,,,,0.0232,20.4916,,,,,2.1712,,,,
2025-09-22,174005297546.04,1.5822,,,,,1.6698,,,,,20.7670,,,,,0.0234,20.3234,,,,,2.1534,,,,
2025-09-19,174828017629.0,1.5896,,,,,1.6777,,,,,20.8652,,,,,0.0233,20.4195,,,,,2.1636,,,,
2025-09-18,179147298064.54,1.6289,,,,,1.7191,,,,,21.3807,,,,,0.0228,20.9240,,,,,2.2171,,,,
2025-09-17,182232498375.64,1.6570,,,,,1.7487,,,,,21.7489,,,,,0.0224,21.2843,,,,,2.2552,,,,
2025-09-16,181615458313.42,1.6514,,,,,1.7428,,,,,21.6753,,,,,0.0225,21.2122,,,,,2.2476,,,,
2025-09-15,181615458313.42,1.6514,,,,,1.7428,,,,,21.6753,,,,,0.0225,21.2122,,,,,2.2476,,,,
2025-09-12,180998418251.2,1.6457,,,,,1.7369,,,,,21.6016,,,,,0.0225,21.1402,,,,,2.2400,,,,
2025-09-11,181204098271.94,1.6476,,,,,1.7389,,,,,21.6262,,,,,0.0225,21.1642,,,,,2.2425,,,,
2025-09-10,180381378188.98,1.6401,,,,,1.7310,,,,,21.5280,,,,,0.0226,21.0681,,,,,2.2323,,,,
2025-09-09,180587058209.72,1.6420,,,,,1.7329,,,,,21.5525,,,,,0.0226,21.0921,,,,,2.2349,,,,
2025-09-08,180998418251.2,1.6457,,,,,1.7369,,,,,21.6016,,,,,0.0225,21.1402,,,,,2.2400,,,,
2025-09-05,179764338126.76,1.6345,,,,,1.7250,,,,,21.4543,,,,,0.0227,20.9960,,,,,2.2247,,,,
2025-09-04,180587058209.72,1.6420,,,,,1.7329,,,,,21.5525,,,,,0.0226,21.0921,,,,,2.2349,,,,
2025-09-03,180175698168.24,1.6383,,,,,1.7290,,,,,21.5034,,,,,0.0226,21.0441,,,,,2.2298,,,,
2025-09-02,182643858417.12,1.6607,,,,,1.7527,,,,,21.7980,,,,,0.0223,21.3324,,,,,2.2603,,,,
2025-09-01,181204098271.94,1.6476,,,,,1.7389,,,,,21.6262,,,,,0.0225,21.1642,,,,,2.2425,,,,
2025-08-29,183260898479.34,1.6663,,,,,1.7586,,,,,21.8717,,,,,0.0223,21.4044,,,,,2.2680,,,,
2025-08-28,185729058728.22,1.6888,,,,,1.7823,,,,,22.1662,,,,,0.0220,21.6927,,,,,2.2985,,,,
2025-08-27,186551778811.18,1.7059,,,,,1.8009,,,,,21.5440,,,,,0.0197,21.0664,,,,,2.3449,,,,
2025-08-26,190254019184.5,1.7397,,,,,1.8367,,,,,21.9715,,,,,0.0193,21.4845,,,,,2.3914,,,,
2025-08-25,190665379225.98,1.7435,,,,,1.8406,,,,,22.0190,,,,,0.0192,21.5309,,,,,2.3966,,,,
2025-08-22,188197218977.1,1.7209,,,,,1.8168,,,,,21.7340,,,,,0.0195,21.2522,,,,,2.3656,,,,
2025-08-21,188402898997.84,1.7228,,,,,1.8188,,,,,21.7578,,,,,0.0195,21.2754,,,,,2.3682,,,,
