date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元),理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),PEG
2025-12-19,26.5754,0.08,40.8881,33.5772,27.2886,0,4.8026,0.08,7.306,5.9997,4.9315,6.4412,0.065,12.1293,10.0043,6.6402,,395.0,395.0,395.0,395.0,149949426000.0,0.8305
2025-12-18,26.9522,0.1407,40.8881,33.6252,27.3155,0,4.8707,0.1457,7.306,6.0083,4.9363,6.5325,0.1256,12.1293,10.0492,6.65,,400.6,400.6,400.6,400.6,152075291280.0,0.8422
2025-12-17,27.5577,0.2424,40.8881,33.6731,27.3424,0,4.9801,0.2424,7.306,6.0168,4.9412,6.6793,0.2222,12.1293,10.094,6.663,,409.6,409.6,409.6,409.6,155491860480.0,0.8612
2025-12-16,27.4904,0.2234,40.9685,33.6989,27.3155,0,4.9679,0.2234,7.3204,6.0214,4.9363,6.663,0.203,12.1532,10.1577,6.65,,408.6,408.6,408.6,408.6,155112241680.0,0.8591
2025-12-15,27.625,0.2551,40.9685,33.7246,27.3155,0,4.9922,0.2551,7.3204,6.026,4.9363,6.6956,0.2347,12.1532,10.2214,6.65,,410.6,410.6,410.6,410.6,155871479280.0,0.8633
2025-12-12,27.7192,0.2769,40.9685,34.0906,27.3155,0,5.0093,0.2769,7.3204,6.0914,4.9363,6.7184,0.2564,12.1532,10.2258,6.65,,412.0,412.0,412.0,412.0,156402945600.0,0.8662
2025-12-11,27.1002,0.1753,40.9685,34.4566,27.3155,0,4.8974,0.1804,7.3204,6.1568,4.9363,6.5684,0.1598,12.1532,10.2302,6.65,,402.8,402.8,402.8,402.8,152910452640.0,0.8469
2025-12-10,26.9791,0.1554,40.9685,34.4966,27.3424,0,4.8755,0.1606,7.3204,6.164,4.9412,6.5391,0.1399,12.1532,10.2377,6.663,,401.0,401.0,401.0,401.0,152227138800.0,0.8431
2025-12-09,26.6831,0.0885,41.049,34.5366,27.3424,0,4.822,0.0885,7.3348,6.1711,4.9412,6.4673,0.0729,12.1771,10.2452,6.663,,396.6,396.6,396.6,396.6,150556816080.0,0.8338
2025-12-08,26.8042,0.0995,41.049,34.7745,27.3828,0,4.8439,0.0995,7.3348,6.2136,4.9485,6.4967,0.0838,12.1771,10.3157,6.6695,,398.4,398.4,398.4,398.4,151240129920.0,0.8376
2025-12-05,27.6385,0.2421,41.049,35.0124,27.3963,0,4.9947,0.2421,7.3348,6.2561,4.9509,6.6989,0.2211,12.1771,10.3863,6.676,,410.8,410.8,410.8,410.8,155947403040.0,0.8637
2025-12-04,28.0287,0.2963,41.049,35.071,27.3963,0,5.0652,0.3069,7.3348,6.2687,4.9509,6.7935,0.2751,12.1771,10.4412,6.676,,416.6,416.6,416.6,416.6,158149192080.0,0.8759
2025-12-03,27.4904,0.2128,41.049,35.1295,27.3963,0,4.9679,0.2128,7.3348,6.2813,4.9509,6.663,0.1915,12.1771,10.4961,6.676,,408.6,408.6,408.6,408.6,155112241680.0,0.8591
2025-12-02,27.7192,0.2567,41.0893,35.1534,27.3828,0,5.0093,0.2567,7.342,6.2856,4.9485,6.7184,0.2353,12.189,10.5487,6.676,,412.0,412.0,412.0,412.0,156402945600.0,0.8662
2025-12-01,28.0018,0.2849,41.0893,35.1772,27.3828,0,5.0603,0.2957,7.342,6.2898,4.9485,6.7869,0.2634,12.189,10.6012,6.676,,416.2,416.2,416.2,416.2,157997344560.0,0.8751
2025-11-28,28.5938,0.3351,41.0893,35.2799,27.3828,0,5.1673,0.3351,7.342,6.3061,4.9485,6.9304,0.3027,12.189,10.637,6.676,,425.0,425.0,425.0,425.0,161337990000.0,0.8936
2025-11-27,27.7865,0.2717,41.0893,35.3827,27.3828,0,5.0214,0.2717,7.342,6.3223,4.9485,6.7347,0.25,12.189,10.6728,6.676,,413.0,413.0,413.0,413.0,156782564400.0,0.8683
2025-11-26,27.6654,0.2568,41.0893,35.5597,27.3828,0,4.9995,0.2568,7.342,6.3539,4.9485,6.7054,0.235,12.189,10.6728,6.676,,411.2,411.2,411.2,411.2,156099250560.0,0.8645
