date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-06-08,230001017381.94,1.0781,,,,,0.9759,,,,,0.0669,9.1815,,,,,1.0024,,,,,9.2201,,,,
2026-06-05,229694757705.0,1.0767,,,,,0.9746,,,,,0.0670,9.1693,,,,,1.0011,,,,,9.2078,,,,
2026-06-04,221578876266.09,1.0386,,,,,0.9401,,,,,0.0695,8.8453,,,,,0.9657,,,,,8.8825,,,,
2026-06-03,224182083520.08,1.0508,,,,,0.9512,,,,,0.0687,8.9492,,,,,0.9771,,,,,8.9868,,,,
2026-06-02,228316589158.77,1.0702,,,,,0.9687,,,,,0.0675,9.1142,,,,,0.9951,,,,,9.1526,,,,
2026-06-01,227550939966.42,1.0666,,,,,0.9655,,,,,0.0677,9.0837,,,,,0.9917,,,,,9.1219,,,,
2026-05-29,216521854946.04,1.0149,,,,,0.9187,,,,,0.0712,8.6434,,,,,0.9437,,,,,8.6797,,,,
2026-05-28,216981236533.62,1.0171,,,,,0.9206,,,,,0.0710,8.6617,,,,,0.9457,,,,,8.6982,,,,
2026-05-27,219584398863.24,1.0293,,,,,0.9317,,,,,0.0702,8.7657,,,,,0.9570,,,,,8.8025,,,,
2026-05-26,222953197172.16,1.0451,,,,,0.9460,,,,,0.0691,8.9001,,,,,0.9717,,,,,8.9376,,,,
2026-05-25,224331341934.9,1.0515,,,,,0.9518,,,,,0.0687,8.9551,,,,,0.9777,,,,,8.9928,,,,
2026-05-22,223718833151.46,1.0486,,,,,0.9492,,,,,0.0689,8.9307,,,,,0.9750,,,,,8.9682,,,,
2026-05-21,224637596326.62,1.0530,,,,,0.9531,,,,,0.0686,8.9674,,,,,0.9790,,,,,9.0051,,,,
2026-05-20,221881306801.14,1.0400,,,,,0.9414,,,,,0.0695,8.8573,,,,,0.9670,,,,,8.8946,,,,
2026-05-19,214684328595.72,1.0063,,,,,0.9109,,,,,0.0718,8.5700,,,,,0.9357,,,,,8.6061,,,,
2026-05-18,214378074204.0,1.0049,,,,,0.9096,,,,,0.0719,8.5578,,,,,0.9343,,,,,8.5938,,,,
2026-05-15,216981236533.62,1.0171,,,,,0.9206,,,,,0.0710,8.6617,,,,,0.9457,,,,,8.6982,,,,
2026-05-14,218971890079.8,1.0264,,,,,0.9291,,,,,0.0704,8.7412,,,,,0.9544,,,,,8.7780,,,,
2026-05-13,215756218966.74,1.0113,,,,,0.9154,,,,,0.0714,8.6128,,,,,0.9403,,,,,8.6490,,,,
2026-05-12,215756218966.74,1.0113,,,,,0.9154,,,,,0.0714,8.6128,,,,,0.9403,,,,,8.6490,,,,
2026-05-11,215143710183.3,1.0085,,,,,0.9128,,,,,0.0716,8.5884,,,,,0.9377,,,,,8.6245,,,,
2026-05-08,214837455791.58,1.0070,,,,,0.9115,,,,,0.0717,8.5762,,,,,0.9363,,,,,8.6122,,,,
2026-05-07,215449964575.02,1.0099,,,,,0.9141,,,,,0.0715,8.6006,,,,,0.9390,,,,,8.6368,,,,
2026-05-06,216521854946.04,1.0149,,,,,0.9187,,,,,0.0712,8.6434,,,,,0.9437,,,,,8.6797,,,,
2026-04-30,216215600554.32,1.0135,,,,,0.9174,,,,,0.0713,8.6312,,,,,0.9423,,,,,8.6675,,,,
2026-04-29,219890193734.96,1.0018,,,,,0.9467,,,,,0.0701,7.1235,,,,,0.9734,,,,,7.1562,,,,
2026-04-28,217899544348.78,0.9927,,,,,0.9381,,,,,0.0707,7.0590,,,,,0.9646,,,,,7.0914,,,,
2026-04-27,217440163721.2,0.9906,,,,,0.9362,,,,,0.0709,7.0442,,,,,0.9625,,,,,7.0765,,,,
2026-04-24,220502701238.4,1.0046,,,,,0.9494,,,,,0.0699,7.1434,,,,,0.9761,,,,,7.1761,,,,
2026-04-23,221268335617.7,1.0080,,,,,0.9526,,,,,0.0697,7.1682,,,,,0.9795,,,,,7.2010,,,,
2026-04-22,221421462493.56,1.0087,,,,,0.9533,,,,,0.0696,7.1731,,,,,0.9801,,,,,7.2060,,,,
2026-04-21,223871492507.32,1.0199,,,,,0.9639,,,,,0.0688,7.2525,,,,,0.9910,,,,,7.2858,,,,
2026-04-20,223258985003.88,1.0171,,,,,0.9612,,,,,0.0690,7.2327,,,,,0.9883,,,,,7.2658,,,,
2026-04-17,225402761265.92,1.0269,,,,,0.9704,,,,,0.0684,7.3021,,,,,0.9978,,,,,7.3356,,,,
2026-04-16,228465298783.12,1.0408,,,,,0.9836,,,,,0.0675,7.4013,,,,,1.0113,,,,,7.4353,,,,
2026-04-15,230915328796.88,1.0520,,,,,0.9942,,,,,0.0667,7.4807,,,,,1.0222,,,,,7.5150,,,,
2026-04-14,231987216927.9,1.0569,,,,,0.9988,,,,,0.0664,7.5154,,,,,1.0269,,,,,7.5499,,,,
2026-04-13,231068455672.74,1.0527,,,,,0.9948,,,,,0.0667,7.4857,,,,,1.0228,,,,,7.5200,,,,
2026-04-10,232752851307.2,1.0604,,,,,1.0021,,,,,0.0662,7.5402,,,,,1.0303,,,,,7.5748,,,,
2026-04-09,232752851307.2,1.0604,,,,,1.0021,,,,,0.0662,7.5402,,,,,1.0303,,,,,7.5748,,,,
2026-04-08,232752851307.2,1.0604,,,,,1.0021,,,,,0.0662,7.5402,,,,,1.0303,,,,,7.5748,,,,
2026-04-07,231221582548.6,1.0534,,,,,0.9955,,,,,0.0667,7.4906,,,,,1.0235,,,,,7.5250,,,,
2026-04-03,230302821293.44,1.0492,,,,,0.9915,,,,,0.0669,7.4609,,,,,1.0195,,,,,7.4951,,,,
2026-04-02,232752851307.2,1.0604,,,,,1.0021,,,,,0.0662,7.5402,,,,,1.0303,,,,,7.5748,,,,
2026-04-01,232446597555.48,1.0590,,,,,1.0008,,,,,0.0663,7.5303,,,,,1.0289,,,,,7.5648,,,,
2026-03-31,229843440665.86,1.0471,,,,,0.9896,,,,,0.0671,7.4460,,,,,1.0174,,,,,7.4801,,,,
2026-03-30,235356008196.82,1.0722,,,,,1.0133,,,,,0.0655,7.6246,,,,,1.0418,,,,,7.6595,,,,
2026-03-27,232293470679.62,1.0583,,,,,1.0001,,,,,0.0663,7.5253,,,,,1.0283,,,,,7.5598,,,,
2026-03-26,233671612562.36,1.0645,,,,,1.0061,,,,,0.0660,7.5700,,,,,1.0344,,,,,7.6047,,,,
2026-03-25,232293470679.62,1.0583,,,,,1.0001,,,,,0.0663,7.5253,,,,,1.0283,,,,,7.5598,,,,
2026-03-24,237346657583.0,1.0813,,,,,1.0219,,,,,0.0653,7.6890,,,,,1.0506,,,,,7.7243,,,,
2026-03-23,235509135072.68,1.0729,,,,,1.0140,,,,,0.0658,7.6295,,,,,1.0425,,,,,7.6645,,,,
2026-03-20,242399844486.38,1.1043,,,,,1.0436,,,,,0.0639,7.8527,,,,,1.0730,,,,,7.8887,,,,
2026-03-19,244696747624.28,1.0793,,,,,1.0536,,,,,0.1006,6.4316,,,,,1.0836,,,,,6.4523,,,,
2026-03-18,248065538893.2,1.0941,,,,,1.0681,,,,,0.0993,6.5201,,,,,1.0985,,,,,6.5412,,,,
2026-03-17,247146777638.04,1.0901,,,,,1.0642,,,,,0.0997,6.4960,,,,,1.0945,,,,,6.5169,,,,
2026-03-16,246228016382.88,1.0860,,,,,1.0602,,,,,0.1000,6.4718,,,,,1.0904,,,,,6.4927,,,,
2026-03-13,241634210107.08,1.0658,,,,,1.0405,,,,,0.1019,6.3511,,,,,1.0701,,,,,6.3716,,,,
2026-03-12,244084240120.84,1.0766,,,,,1.0510,,,,,0.1009,6.4155,,,,,1.0809,,,,,6.4362,,,,
2026-03-11,241174829479.5,1.0638,,,,,1.0385,,,,,0.1021,6.3390,,,,,1.0680,,,,,6.3595,,,,
2026-03-10,235815388824.4,1.0401,,,,,1.0154,,,,,0.1044,6.1982,,,,,1.0443,,,,,6.2181,,,,
2026-03-09,237652911334.72,1.0482,,,,,1.0233,,,,,0.1036,6.2465,,,,,1.0524,,,,,6.2666,,,,
2026-03-06,241787336982.94,1.0665,,,,,1.0411,,,,,0.1019,6.3551,,,,,1.0707,,,,,6.3756,,,,
2026-03-05,241634210107.08,1.0658,,,,,1.0405,,,,,0.1019,6.3511,,,,,1.0701,,,,,6.3716,,,,
2026-03-04,242706098238.1,1.0705,,,,,1.0451,,,,,0.1015,6.3793,,,,,1.0748,,,,,6.3998,,,,
2026-03-03,259856308334.42,1.1462,,,,,1.1189,,,,,0.0948,6.8301,,,,,1.1508,,,,,6.8521,,,,
2026-03-02,236427896327.84,1.0428,,,,,1.0180,,,,,0.1042,6.2143,,,,,1.0470,,,,,6.2343,,,,
2026-02-27,229842500769.68,1.0138,,,,,0.9897,,,,,0.1072,6.0412,,,,,1.0178,,,,,6.0606,,,,
2026-02-26,230761258267.76,1.0178,,,,,0.9936,,,,,0.1067,6.0653,,,,,1.0219,,,,,6.0849,,,,
2026-02-25,226626849526.4,0.9996,,,,,0.9758,,,,,0.1087,5.9566,,,,,1.0036,,,,,5.9759,,,,
2026-02-24,227086228275.44,1.0016,,,,,0.9778,,,,,0.1085,5.9687,,,,,1.0056,,,,,5.9880,,,,
2026-02-13,219123663292.08,0.9665,,,,,0.9435,,,,,0.1124,5.7594,,,,,0.9704,,,,,5.7780,,,,
2026-02-12,222492440785.04,0.9814,,,,,0.9580,,,,,0.1107,5.8480,,,,,0.9853,,,,,5.8668,,,,
2026-02-11,222951819534.08,0.9834,,,,,0.9600,,,,,0.1105,5.8601,,,,,0.9873,,,,,5.8789,,,,
2026-02-10,221420557037.28,0.9766,,,,,0.9534,,,,,0.1112,5.8198,,,,,0.9806,,,,,5.8386,,,,
2026-02-09,222186188285.68,0.9800,,,,,0.9567,,,,,0.1108,5.8399,,,,,0.9839,,,,,5.8588,,,,
2026-02-06,221879935786.32,0.9786,,,,,0.9554,,,,,0.1110,5.8319,,,,,0.9826,,,,,5.8507,,,,
2026-02-05,223411198283.12,0.9854,,,,,0.9620,,,,,0.1102,5.8721,,,,,0.9894,,,,,5.8911,,,,
2026-02-04,223104945783.76,0.9841,,,,,0.9607,,,,,0.1104,5.8641,,,,,0.9880,,,,,5.8830,,,,
2026-02-03,217745527044.96,0.9604,,,,,0.9376,,,,,0.1131,5.7232,,,,,0.9643,,,,,5.7417,,,,
2026-02-02,216673643297.2,0.9557,,,,,0.9330,,,,,0.1137,5.6950,,,,,0.9595,,,,,5.7134,,,,
2026-01-30,222123463939.52,0.9797,,,,,0.9564,,,,,0.1109,5.8383,,,,,0.9837,,,,,5.8571,,,,
2026-01-29,223512700336.64,0.9859,,,,,0.9624,,,,,0.1102,5.8748,,,,,0.9898,,,,,5.8937,,,,
2026-01-28,221814744740.16,0.9784,,,,,0.9551,,,,,0.1110,5.8302,,,,,0.9823,,,,,5.8490,,,,
2026-01-27,221814744740.16,0.9784,,,,,0.9551,,,,,0.1110,5.8302,,,,,0.9823,,,,,5.8490,,,,
2026-01-26,223358340736.96,0.9852,,,,,0.9618,,,,,0.1103,5.8707,,,,,0.9891,,,,,5.8897,,,,
2026-01-23,222586542738.56,0.9818,,,,,0.9584,,,,,0.1106,5.8505,,,,,0.9857,,,,,5.8693,,,,
2026-01-22,224593217534.4,0.9906,,,,,0.9671,,,,,0.1097,5.9032,,,,,0.9946,,,,,5.9222,,,,
2026-01-21,223667059936.32,0.9865,,,,,0.9631,,,,,0.1101,5.8789,,,,,0.9905,,,,,5.8978,,,,
2026-01-20,225519375132.48,0.9947,,,,,0.9711,,,,,0.1092,5.9275,,,,,0.9987,,,,,5.9467,,,,
2026-01-19,223203981137.28,0.9845,,,,,0.9611,,,,,0.1103,5.8667,,,,,0.9885,,,,,5.8856,,,,
2026-01-16,222895261937.92,0.9831,,,,,0.9598,,,,,0.1105,5.8586,,,,,0.9871,,,,,5.8775,,,,
2026-01-15,225673734732.16,0.9954,,,,,0.9717,,,,,0.1091,5.9316,,,,,0.9994,,,,,5.9507,,,,
2026-01-14,227236578812.91,1.0023,,,,,0.9785,,,,,0.1084,5.9727,,,,,1.0063,,,,,5.9919,,,,
2026-01-13,230024757694.05,1.0146,,,,,0.9905,,,,,0.1071,6.0460,,,,,1.0187,,,,,6.0655,,,,
2026-01-12,229714960040.59,1.0132,,,,,0.9891,,,,,0.1072,6.0378,,,,,1.0173,,,,,6.0573,,,,
2026-01-09,230799251827.7,1.0180,,,,,0.9938,,,,,0.1067,6.0663,,,,,1.0221,,,,,6.0859,,,,
2026-01-08,229869858867.32,1.0139,,,,,0.9898,,,,,0.1071,6.0419,,,,,1.0180,,,,,6.0614,,,,
2026-01-07,230644353000.97,1.0173,,,,,0.9931,,,,,0.1068,6.0622,,,,,1.0214,,,,,6.0818,,,,
2026-01-06,231883543614.81,1.0228,,,,,0.9985,,,,,0.1062,6.0948,,,,,1.0269,,,,,6.1145,,,,
2026-01-05,230799251827.7,1.0180,,,,,0.9938,,,,,0.1067,6.0663,,,,,1.0221,,,,,6.0859,,,,
2025-12-31,235136418976.14,1.0371,,,,,1.0125,,,,,0.1047,6.1803,,,,,1.0413,,,,,6.2002,,,,
2025-12-30,236528600674.53,1.0433,,,,,1.0185,,,,,0.1041,6.2169,,,,,1.0475,,,,,6.2370,,,,
2025-12-29,235599215210.19,1.0392,,,,,1.0145,,,,,0.1045,6.1925,,,,,1.0433,,,,,6.2124,,,,
2025-12-26,236063907942.36,1.0412,,,,,1.0165,,,,,0.1043,6.2047,,,,,1.0454,,,,,6.2247,,,,
2025-12-25,234979624900.63,1.0364,,,,,1.0118,,,,,0.1048,6.1762,,,,,1.0406,,,,,6.1961,,,,
2025-12-24,237612883716.26,1.0480,,,,,1.0231,,,,,0.1037,6.2454,,,,,1.0523,,,,,6.2655,,,,
2025-12-23,238542269180.6,1.0521,,,,,1.0271,,,,,0.1032,6.2698,,,,,1.0564,,,,,6.2900,,,,
2025-12-22,237612883716.26,1.0480,,,,,1.0231,,,,,0.1037,6.2454,,,,,1.0523,,,,,6.2655,,,,
2025-12-19,236838395829.31,1.0446,,,,,1.0198,,,,,0.1040,6.2250,,,,,1.0488,,,,,6.2451,,,,
2025-12-18,238077576448.43,1.0501,,,,,1.0251,,,,,0.1034,6.2576,,,,,1.0543,,,,,6.2778,,,,
2025-12-17,234824727323.24,1.0357,,,,,1.0111,,,,,0.1049,6.1721,,,,,1.0399,,,,,6.1920,,,,
2025-12-16,231881673352.83,1.0228,,,,,0.9985,,,,,0.1062,6.0948,,,,,1.0269,,,,,6.1144,,,,
2025-12-15,232965956394.56,1.0275,,,,,1.0031,,,,,0.1057,6.1233,,,,,1.0317,,,,,6.1430,,,,
2025-12-12,232036570930.22,1.0234,,,,,0.9991,,,,,0.1061,6.0988,,,,,1.0276,,,,,6.1185,,,,
2025-12-11,232811058817.17,1.0269,,,,,1.0025,,,,,0.1058,6.1192,,,,,1.0310,,,,,6.1389,,,,
2025-12-10,231262083043.27,1.0200,,,,,0.9958,,,,,0.1065,6.0785,,,,,1.0241,,,,,6.0981,,,,
2025-12-09,231571878198.05,1.0214,,,,,0.9971,,,,,0.1064,6.0866,,,,,1.0255,,,,,6.1062,,,,
2025-12-08,230022902424.15,1.0146,,,,,0.9905,,,,,0.1071,6.0459,,,,,1.0186,,,,,6.0654,,,,
2025-12-05,232036570930.22,1.0234,,,,,0.9991,,,,,0.1061,6.0988,,,,,1.0276,,,,,6.1185,,,,
2025-12-04,232811058817.17,1.0269,,,,,1.0025,,,,,0.1058,6.1192,,,,,1.0310,,,,,6.1389,,,,
2025-12-03,231881673352.83,1.0228,,,,,0.9985,,,,,0.1062,6.0948,,,,,1.0269,,,,,6.1144,,,,
2025-12-02,231726775775.44,1.0221,,,,,0.9978,,,,,0.1063,6.0907,,,,,1.0262,,,,,6.1103,,,,
2025-12-01,234205137013.68,1.0330,,,,,1.0085,,,,,0.1052,6.1558,,,,,1.0372,,,,,6.1757,,,,
2025-11-28,226305316736.79,0.9982,,,,,0.9744,,,,,0.1088,5.9482,,,,,1.0022,,,,,5.9674,,,,
2025-11-27,227234702021.1301,1.0023,,,,,0.9784,,,,,0.1084,5.9726,,,,,1.0063,,,,,5.9919,,,,
2025-11-26,227699394663.3,1.0043,,,,,0.9805,,,,,0.1082,5.9848,,,,,1.0084,,,,,6.0041,,,,
2025-11-25,228783677495.0301,1.0091,,,,,0.9851,,,,,0.1077,6.0133,,,,,1.0132,,,,,6.0327,,,,
2025-11-24,229713062779.3701,1.0132,,,,,0.9891,,,,,0.1072,6.0378,,,,,1.0173,,,,,6.0572,,,,
2025-11-21,231881628442.8301,1.0228,,,,,0.9985,,,,,0.1062,6.0948,,,,,1.0269,,,,,6.1144,,,,
2025-11-20,233585501464.1201,1.0303,,,,,1.0058,,,,,0.1054,6.1396,,,,,1.0344,,,,,6.1593,,,,
2025-11-19,236218759769.7501,1.0419,,,,,1.0171,,,,,0.1043,6.2088,,,,,1.0461,,,,,6.2288,,,,
2025-11-18,231881628442.8301,1.0228,,,,,0.9985,,,,,0.1062,6.0948,,,,,1.0269,,,,,6.1144,,,,
2025-11-17,233585501464.1201,1.0303,,,,,1.0058,,,,,0.1054,6.1396,,,,,1.0344,,,,,6.1593,,,,
2025-11-14,237457940148.8701,1.0474,,,,,1.0225,,,,,0.1037,6.2413,,,,,1.0516,,,,,6.2615,,,,
2025-11-13,240710788644.0601,1.0617,,,,,1.0365,,,,,0.1023,6.3268,,,,,1.0660,,,,,6.3472,,,,
2025-11-12,239471608264.9401,1.0562,,,,,1.0311,,,,,0.1028,6.2943,,,,,1.0605,,,,,6.3146,,,,
2025-11-11,238387325433.2101,1.0515,,,,,1.0265,,,,,0.1033,6.2658,,,,,1.0557,,,,,6.2860,,,,
2025-11-10,238697120527.99,1.0528,,,,,1.0278,,,,,0.1032,6.2739,,,,,1.0571,,,,,6.2941,,,,
2025-11-07,239161813170.1601,1.0549,,,,,1.0298,,,,,0.1030,6.2861,,,,,1.0591,,,,,6.3064,,,,
2025-11-06,234669784295.8501,1.0351,,,,,1.0105,,,,,0.1050,6.1681,,,,,1.0392,,,,,6.1879,,,,
2025-11-05,232656116179.7801,1.0262,,,,,1.0018,,,,,0.1059,6.1151,,,,,1.0303,,,,,6.1348,,,,
2025-11-04,232811013727.17,1.0269,,,,,1.0025,,,,,0.1058,6.1192,,,,,1.0310,,,,,6.1389,,,,
2025-11-03,235289374485.4101,1.0378,,,,,1.0131,,,,,0.1047,6.1843,,,,,1.0420,,,,,6.2043,,,,
2025-10-31,232501218632.39,1.0255,,,,,1.0011,,,,,0.1059,6.1111,,,,,1.0296,,,,,6.1308,,,,
2025-10-30,230487550516.3201,0.9534,,,,,1.0318,,,,,0.1069,4.6314,,,,,1.0626,,,,,4.6411,,,,
2025-10-29,229867960326.7601,0.9508,,,,,1.0290,,,,,0.1071,4.6189,,,,,1.0597,,,,,4.6286,,,,
2025-10-28,228628779947.64,0.9457,,,,,1.0235,,,,,0.1077,4.5940,,,,,1.0540,,,,,4.6037,,,,
2025-10-27,230332652968.93,0.9527,,,,,1.0311,,,,,0.1069,4.6283,,,,,1.0619,,,,,4.6380,,,,
2025-10-24,224756341262.89,0.9297,,,,,1.0061,,,,,0.1096,4.5162,,,,,1.0362,,,,,4.5257,,,,
2025-10-23,233120808821.9501,0.9643,,,,,1.0046,,,,,0.1056,4.6843,,,,,1.0334,,,,,4.6941,,,,
2025-10-22,232811013727.17,0.9630,,,,,1.0032,,,,,0.1058,4.6781,,,,,1.0320,,,,,4.6879,,,,
2025-10-21,231262038253.27,0.9566,,,,,0.9966,,,,,0.1065,4.6469,,,,,1.0252,,,,,4.6567,,,,
2025-10-20,230177755421.54,0.9521,,,,,0.9919,,,,,0.1070,4.6252,,,,,1.0203,,,,,4.6349,,,,
2025-10-17,231726730895.4401,0.9585,,,,,0.9986,,,,,0.1063,4.6563,,,,,1.0272,,,,,4.6661,,,,
2025-10-16,232191423537.6101,0.9604,,,,,1.0006,,,,,0.1061,4.6656,,,,,1.0293,,,,,4.6754,,,,
2025-10-15,228318984852.8601,0.9444,,,,,0.9839,,,,,0.1079,4.5878,,,,,1.0121,,,,,4.5974,,,,
2025-10-14,230332652968.93,0.9527,,,,,0.9925,,,,,0.1069,4.6283,,,,,1.0210,,,,,4.6380,,,,
2025-10-13,223672058431.16,0.9252,,,,,0.9638,,,,,0.1101,4.4944,,,,,0.9915,,,,,4.5039,,,,
2025-10-10,224911238810.28,0.9303,,,,,0.9692,,,,,0.1095,4.5193,,,,,0.9970,,,,,4.5288,,,,
2025-10-09,222742673146.8201,0.9213,,,,,0.9598,,,,,0.1106,4.4758,,,,,0.9874,,,,,4.4852,,,,
2025-09-30,222123082957.2601,0.9188,,,,,0.9572,,,,,0.1109,4.4633,,,,,0.9846,,,,,4.4727,,,,
2025-09-29,220729005030.75,0.9130,,,,,0.9512,,,,,0.1116,4.4353,,,,,0.9785,,,,,4.4446,,,,
2025-09-26,222432878052.04,0.9201,,,,,0.9585,,,,,0.1107,4.4695,,,,,0.9860,,,,,4.4789,,,,
2025-09-25,222587775599.43,0.9207,,,,,0.9592,,,,,0.1106,4.4726,,,,,0.9867,,,,,4.4820,,,,
2025-09-24,223517160883.77,0.9246,,,,,0.9632,,,,,0.1102,4.4913,,,,,0.9908,,,,,4.5007,,,,
2025-09-23,225066136357.67,0.9310,,,,,0.9699,,,,,0.1094,4.5224,,,,,0.9977,,,,,4.5319,,,,
2025-09-22,223517160883.77,0.9246,,,,,0.9632,,,,,0.1102,4.4913,,,,,0.9908,,,,,4.5007,,,,
2025-09-19,230487550516.3201,0.9534,,,,,0.9932,,,,,0.1069,4.6314,,,,,1.0217,,,,,4.6411,,,,
2025-09-18,227544497115.9101,0.9412,,,,,0.9805,,,,,0.1082,4.5722,,,,,1.0087,,,,,4.5818,,,,
2025-09-17,231416935800.6601,0.9572,,,,,0.9972,,,,,0.1064,4.6501,,,,,1.0258,,,,,4.6598,,,,
2025-09-16,230797345611.1001,0.9547,,,,,0.9945,,,,,0.1067,4.6376,,,,,1.0231,,,,,4.6473,,,,
2025-09-15,231571833348.05,0.9579,,,,,0.9979,,,,,0.1064,4.6532,,,,,1.0265,,,,,4.6629,,,,
2025-09-12,232501218632.39,0.9617,,,,,1.0019,,,,,0.1059,4.6718,,,,,1.0306,,,,,4.6817,,,,
2025-09-11,233585501464.1201,0.9662,,,,,1.0066,,,,,0.1054,4.6936,,,,,1.0355,,,,,4.7035,,,,
2025-09-10,233120808821.9501,0.9643,,,,,1.0046,,,,,0.1056,4.6843,,,,,1.0334,,,,,4.6941,,,,
2025-09-09,234050194106.29,0.9681,,,,,1.0086,,,,,0.1052,4.7030,,,,,1.0375,,,,,4.7128,,,,
2025-09-08,235908964674.9701,0.9758,,,,,1.0166,,,,,0.1044,4.7403,,,,,1.0458,,,,,4.7503,,,,
2025-09-05,234205091653.68,0.9688,,,,,1.0092,,,,,0.1052,4.7061,,,,,1.0382,,,,,4.7160,,,,
2025-09-04,234824681843.24,0.9713,,,,,1.0119,,,,,0.1049,4.7185,,,,,1.0409,,,,,4.7284,,,,
2025-09-03,234824681843.24,0.9713,,,,,1.0119,,,,,0.1049,4.7185,,,,,1.0409,,,,,4.7284,,,,
2025-09-02,237457940148.8701,0.9822,,,,,1.0232,,,,,0.1037,4.7714,,,,,1.0526,,,,,4.7815,,,,
2025-09-01,235289374485.4101,0.9732,,,,,1.0139,,,,,0.1047,4.7279,,,,,1.0430,,,,,4.7378,,,,
2025-08-29,236683452411.92,0.9790,,,,,1.0199,,,,,0.1041,4.7559,,,,,1.0492,,,,,4.7659,,,,
2025-08-28,246906690539.6601,1.0138,,,,,1.0821,,,,,0.0982,4.5690,,,,,1.1134,,,,,4.5779,,,,
2025-08-27,242414661665.3501,0.9953,,,,,1.0624,,,,,0.1001,4.4858,,,,,1.0932,,,,,4.4946,,,,
2025-08-26,247216485634.4401,1.0151,,,,,1.0834,,,,,0.0981,4.5747,,,,,1.1148,,,,,4.5836,,,,
2025-08-25,246906690539.6601,1.0138,,,,,1.0821,,,,,0.0982,4.5690,,,,,1.1134,,,,,4.5779,,,,
2025-08-22,242724456760.1301,0.9966,,,,,1.0637,,,,,0.0999,4.4916,,,,,1.0945,,,,,4.5003,,,,
