date,三美股份 - 速动比率,巨化股份 - 速动比率,昊华科技 - 速动比率,氟化工及制冷剂(申万) - 速动比率,流动比率,"""短期借款""","""交易性金融负债""","""应付票据及应付账款""","""预收账款""","""合同负债""","""应付职工薪酬""","""应交税费""","""其他应付款""","""一年内到期的非流动负债""","""其他流动负债""","""其它未展示流动负债""","""长期借款""","""租赁负债""","""递延所得税负债""","""长期递延收益""","""其它未展示非流动负债""",资产负债率,三美股份 - 流动比率,巨化股份 - 流动比率,昊华科技 - 流动比率,氟化工及制冷剂(申万) - 流动比率,三美股份 - 有息负债率,巨化股份 - 有息负债率,昊华科技 - 有息负债率,氟化工及制冷剂(申万) - 有息负债率,三美股份 - 资产负债率,巨化股份 - 资产负债率,昊华科技 - 资产负债率,氟化工及制冷剂(申万) - 资产负债率,三美股份 - 清算价值比率,巨化股份 - 清算价值比率,昊华科技 - 清算价值比率,氟化工及制冷剂(申万) - 清算价值比率,有息负债率,速动比率,三美股份 - 货币资金占流动负债比率,巨化股份 - 货币资金占流动负债比率,昊华科技 - 货币资金占流动负债比率,氟化工及制冷剂(申万) - 货币资金占流动负债比率
2023-03-31,7.6457,1.1265,1.5414,1.0882,8.5232,0,0,193539587,1901520,50527841,19810356,10734177,248999888,276476,5105563,0,0,211615,0,17739889,0,0.0873,8.5232,1.5610,1.9815,1.4451,0.0001,0.0773,0.1408,0.1869,0.0873,0.3015,0.4312,0.4443,10.6888,3.1827,2.1502,2.1195,0.0001,7.6457,6.8316,0.4651,0.5853,0.5979
2022-12-31,5.9467,1.2280,1.3828,1.0185,6.7494,0,0,330869190,176030,47475544,31900231,28433771,257345362,439910,4660604,0,0,245566,0,18560540,0,0.112,6.7494,1.5966,1.6944,1.3542,0.0001,0.0771,0.1422,0.1581,0.1120,0.3024,0.4669,0.4374,8.3787,3.1761,1.9909,2.1515,0.0001,5.9467,4.9926,0.5194,0.5329,0.5432
2022-09-30,6.2720,1.1801,1.3914,1.0363,6.9791,0,0,338287807,925509,42048924,25218660,50489580,255373673,575298,3102476,0,0,0,715128,19391905,0,0.1148,6.9791,1.6246,1.8799,1.4177,0.0001,0.0648,0.1095,0.1518,0.1148,0.3174,0.3920,0.4266,8.2203,3.0209,2.3606,2.2093,0.0001,6.272,4.7486,0.5130,0.5288,0.5356
2022-06-30,6.6734,1.2135,1.4413,1.0037,7.414,0,0,242715634,1322230,48796966,21609489,75067841,262033320,734357,3738465,0,0,0,753129,20228626,0,0.1087,7.4140,1.6769,1.8567,1.3966,0.0001,0.0645,0.1076,0.1360,0.1087,0.2994,0.4032,0.4109,8.6497,3.1906,2.2967,2.2794,0.0001,6.6734,5.1180,0.4783,0.6754,0.4861
2022-03-31,5.7059,1.1432,1.5317,0.9524,6.5079,0,0,312801331,1973739,69436768,16073130,101616207,258919030,587812,4941859,0,0,0,3447054,20679948,0,0.1258,6.5079,1.6940,2.0304,1.3761,0.0001,0.0375,0.1034,0.1186,0.1258,0.2654,0.3833,0.3907,7.5031,3.5872,2.4058,2.3882,0.0001,5.7059,2.7116,0.3830,0.7299,0.3741
2021-12-31,5.8253,1.2062,1.5790,0.9888,6.52,0,0,331958852,0,57242019,27774947,139472809,176413516,745033,4920476,0,0,0,2742632,21507251,0,0.1261,6.5200,1.7330,2.0248,1.3833,0.0001,0.0376,0.0936,0.1150,0.1261,0.2382,0.3789,0.3737,7.5571,3.9846,2.4272,2.4858,0.0001,5.8253,2.1836,0.4331,0.8261,0.3621
2021-09-30,6.2733,1.2975,1.6426,1.0915,6.9784,0,0,362212755,514137,58585110,22122533,57668955,162674076,0,4927431,0,0,0,2405595,22334629,0,0.1184,6.9784,1.9396,2.1827,1.5061,0,0.0325,0.0659,0.1266,0.1184,0.2337,0.3762,0.3658,8.0946,4.0610,2.4480,2.5306,0,6.2733,2.2148,0.5403,0.6709,0.3975
2021-06-30,7.7872,1.3151,1.7318,1.1593,8.5918,0,0,264340830,1641569,29920048,19060412,37811019,161438300,0,1558791,0,0,0,2664181,23162007,0,0.0967,8.5918,2.0182,2.2528,1.5540,0,0.0329,0.0624,0.1557,0.0967,0.2122,0.3750,0.3532,9.9311,4.4606,2.4459,2.6029,0,7.7872,2.9476,0.4707,0.6670,0.4616
2021-03-31,9.8629,1.6214,2.0638,1.1136,10.6684,0,0,147351249,2232008,42940316,15620708,21201399,168460049,0,3622864,0,0,0,4187851,24016844,0,0.0784,10.6684,2.2481,2.6827,1.4751,0,0.0246,0.0579,0.1704,0.0784,0.1897,0.3444,0.3595,12.2314,4.9791,2.6575,2.5461,0,9.8629,4.8071,0.6148,0.8645,0.4682
2020-12-31,10.9830,1.8042,2.1173,1.1939,11.8062,0,0,89000731,0,46931471,26240612,32471663,156385113,0,4058562,0,0,0,3446380,24773509,0,0.0714,11.8062,2.2935,2.5810,1.4937,0,0.0396,0.0497,0.1825,0.0714,0.1798,0.3479,0.3544,13.4146,5.2530,2.6233,2.5788,0,10.983,6.9995,0.6782,0.9474,0.5596
2020-09-30,11.2098,1.7243,2.3318,1.2344,11.8935,0,0,92140192,340823,35452653,20572253,32639013,170663519,0,0,0,0,0,1770335,25638173,0,0.0708,11.8935,2.2372,2.8200,1.5550,0,0.0391,0.0456,0.1820,0.0708,0.1981,0.3430,0.3595,13.5330,4.7736,2.6683,2.5333,0,11.2098,7.1738,0.7131,0.9460,0.6084
2020-06-30,10.1988,1.7690,2.1861,1.2475,10.8131,0,0,105295854,590380,32396635,18316964,55749541,174227956,0,0,0,0,0,1210253,23475840,0,0.0769,10.8131,2.3299,2.5658,1.5725,0,0.0329,0.0572,0.1838,0.0769,0.2014,0.3547,0.3589,12.4636,4.6942,2.5799,2.5324,0,10.1988,4.5932,0.7624,1.0143,0.5553
2020-03-31,10.0118,1.9915,2.3611,1.3533,10.7528,0,0,134329445,45674633,0,15673117,37681267,170815201,0,0,0,0,0,2965418,24273357,0,0.0786,10.7528,2.6059,2.9233,1.7102,0,0.0323,0.0429,0.1792,0.0786,0.1942,0.3074,0.3484,12.2705,4.8707,2.9450,2.6111,0,10.0118,5.4920,0.8155,1.0156,0.6112
2019-12-31,10.5193,2.8866,2.3653,1.4388,11.2413,0,0,104409994,45062939,0,28432159,29203256,165336890,0,0,0,0,0,4388710,25130873,0,0.075,11.2413,3.5168,2.8546,1.7754,0,0.0041,0.0335,0.1573,0.0750,0.1409,0.3047,0.3235,12.8216,6.6848,2.9648,2.8046,0,10.5193,4.7017,1.0149,1.1258,0.5752
2019-09-30,9.4707,2.8284,2.1562,1.5050,10.197,0,0,130099512,20476126,0,24535268,76526717,160196175,0,0,0,0,0,2530803,21008108,0,0.0812,10.1970,3.5004,2.6038,1.9041,0,0.0041,0.0527,0.1322,0.0812,0.1560,0.3456,0.3103,11.8921,6.0455,2.6343,2.9422,0,9.4707,4.9011,0.9379,1.0150,0.5528
2019-06-30,9.0434,2.7349,1.6480,1.6648,9.7693,0,0,125655437,27585254,0,20637931,75692953,164682299,0,0,0,0,0,4723045,21847518,0,0.0851,9.7693,3.3789,2.0236,2.0715,0,0.0030,0.0716,0.1216,0.0851,0.1621,0.3852,0.2920,11.3738,5.8059,2.3427,3.0555,0,9.0434,4.7522,0.8611,0.6750,0.6508
2019-03-31,4.5617,3.1039,1.6301,1.4408,4.9106,350000000,0,144183716,36040430,0,15598884,141904593,189139435,0,0,0,0,0,3285353,22686927,0,0.1662,4.9106,3.6586,2.0091,1.8043,0.0644,0.0086,0.0696,0.1484,0.1662,0.1584,0.3901,0.3203,5.8356,5.9689,2.3042,2.7589,0.0644,4.5617,3.0176,0.8634,0.6721,0.5127
2018-12-31,2.0029,2.9772,1.5227,1.3984,2.3753,400000000,0,140798540,51210007,0,36868374,250049929,131522652,0,0,0,0,0,0,23526337,0,0.293,2.3753,3.5587,1.8432,1.7781,0.1134,0.0110,0.0723,0.1406,0.2930,0.1560,0.3979,0.3088,3.2553,6.0482,2.2586,2.8431,0.1134,2.0029,0.8398,1.1824,0.6863,0.5719
2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1.7379,2.7491,2.6924,1.2645,2.0386,470000000,344815,82551285,39076825,0,25779714,194354969,131422248,0,0,0,0,0,0,26373549,0,0.3565,2.0386,3.2601,2.9817,1.5387,0.1729,0.0202,0,0.1802,0.3565,0.1596,0.2477,0.3936,2.6435,5.9534,3.9887,2.2644,0.1729,1.7379,0.7368,0.9620,1.2984,0.3823
2016-12-31,0.8925,3.8016,2.5123,1.5961,1.0495,604655520,0,90894862,23431739,0,21184736,219833850,85744956,172500000,0,0,0,0,0,17324973,0,0.5941,1.0495,4.3933,2.8724,2.0240,0.3737,0.0004,0,0.1287,0.5941,0.1199,0.2458,0.2803,1.5704,7.9403,4.0096,3.3638,0.3737,0.8925,0.3824,1.4775,1.4421,0.6412
