date,毛利率(GM),三美股份 - 归属于母公司普通股股东的加权ROE,巨化股份 - 归属于母公司普通股股东的加权ROE,昊华科技 - 归属于母公司普通股股东的加权ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的加权ROE,净资产收益率(ROE),三美股份 - 净利润率,巨化股份 - 净利润率,昊华科技 - 净利润率,氟化工及制冷剂(申万) - 净利润率,三美股份 - 净资产收益率(ROE),巨化股份 - 净资产收益率(ROE),昊华科技 - 净资产收益率(ROE),氟化工及制冷剂(申万) - 净资产收益率(ROE),三美股份 - 资本回报率(ROIC),巨化股份 - 资本回报率(ROIC),昊华科技 - 资本回报率(ROIC),氟化工及制冷剂(申万) - 资本回报率(ROIC),三美股份 - 资本收益率(ROC),巨化股份 - 资本收益率(ROC),昊华科技 - 资本收益率(ROC),氟化工及制冷剂(申万) - 资本收益率(ROC),三美股份 - 毛利率(GM),巨化股份 - 毛利率(GM),昊华科技 - 毛利率(GM),氟化工及制冷剂(申万) - 毛利率(GM),总资产收益率(ROA),三美股份 - 总资产收益率(ROA),巨化股份 - 总资产收益率(ROA),昊华科技 - 总资产收益率(ROA),氟化工及制冷剂(申万) - 总资产收益率(ROA),三美股份 - 杠杆倍数,巨化股份 - 杠杆倍数,昊华科技 - 杠杆倍数,氟化工及制冷剂(申万) - 杠杆倍数,净利润率,三美股份 - 总资产周转率,巨化股份 - 总资产周转率,昊华科技 - 总资产周转率,氟化工及制冷剂(申万) - 总资产周转率,三美股份 - 归属于母公司普通股股东的扣非加权ROE,巨化股份 - 归属于母公司普通股股东的扣非加权ROE,昊华科技 - 归属于母公司普通股股东的扣非加权ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的扣非加权ROE,三美股份 - 扣非净利润占比,巨化股份 - 扣非净利润占比,昊华科技 - 扣非净利润占比,氟化工及制冷剂(申万) - 扣非净利润占比,三美股份 - 归属于母公司普通股股东的ROE,巨化股份 - 归属于母公司普通股股东的ROE,昊华科技 - 归属于母公司普通股股东的ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的ROE,三美股份 - 归属于母公司普通股股东的扣非ROE,巨化股份 - 归属于母公司普通股股东的扣非ROE,昊华科技 - 归属于母公司普通股股东的扣非ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的扣非ROE
2023-03-31,0.1265,0.0035,0.0098,0.0274,,0.0557,0.0257,0.0313,0.1106,0.0371,0.0035,0.0090,0.0273,0.0096,0.0035,0.0084,0.0227,0.0092,0.0070,0.0242,0.0463,0.0266,0.1014,0.1359,0.2328,0.1557,0.0497,0.0031,0.0063,0.0150,0.0054,1.0957,1.4317,1.7581,1.7996,0.0716,0.1223,0.2014,0.1357,0.1448,,,,,1.0874,0.8646,0.9870,0.8189,0.0035,0.0098,0.0274,0.0101,0.0038,0.0085,0.0270,0.0082
2022-12-31,0.1607,0.0884,0.1657,0.1516,,0.0883,0.1018,0.1115,0.1290,0.1202,0.0883,0.1629,0.1513,0.1734,0.0883,0.1520,0.1284,0.1470,0.4634,0.3524,0.3000,0.4108,0.1607,0.1906,0.2429,0.2300,0.0778,0.0778,0.1183,0.0864,0.1024,1.1261,1.4335,1.8758,1.7775,0.1018,0.7645,1.0606,0.6696,0.8517,0.0822,0.1617,0.1255,,0.9290,0.9760,0.8273,0.9607,0.0883,0.1653,0.1512,0.1774,0.0820,0.1613,0.1251,0.1704
2022-09-30,0.2184,0.0841,0.1209,0.1005,,0.1393,0.1225,0.1046,0.1189,0.1299,0.0842,0.1196,0.1011,0.1429,0.0842,0.1128,0.0888,0.1211,0.4610,0.2632,0.2048,0.3581,0.1742,0.1876,0.2599,0.2327,0.123,0.0741,0.0859,0.0621,0.0853,1.1296,1.4650,1.6447,1.7438,0.1487,0.6046,0.8204,0.5224,0.6568,,,,,0.9425,0.9634,0.9929,0.9438,0.0842,0.1211,0.1009,0.1457,0.0794,0.1167,0.1002,0.1376
2022-06-30,0.2397,0.0635,0.0692,0.0660,,0.1392,0.1339,0.0919,0.1228,0.1420,0.0635,0.0692,0.0669,0.1053,0.0635,0.0657,0.0587,0.0903,0.3364,0.1429,0.1428,0.2553,0.2096,0.1856,0.2708,0.2535,0.1249,0.0560,0.0504,0.0407,0.0639,1.1219,1.4274,1.6757,1.6974,0.1523,0.4184,0.5490,0.3317,0.4497,0.0587,0.0653,0.0652,,0.9250,0.9426,0.9874,0.9656,0.0635,0.0698,0.0669,0.1065,0.0587,0.0658,0.0660,0.1028
2022-03-31,0.2484,0.0358,0.0174,0.0304,,0.1263,0.1635,0.0514,0.1200,0.1525,0.0358,0.0172,0.0302,0.0521,0.0358,0.0166,0.0268,0.0454,0.1954,0.0343,0.0611,0.1267,0.2479,0.2040,0.2699,0.2923,0.1132,0.0313,0.0129,0.0187,0.0322,1.1440,1.3613,1.6214,1.6413,0.1517,0.1914,0.2505,0.1558,0.2111,,,,,0.9121,0.9469,0.9922,0.9792,0.0358,0.0174,0.0304,0.0525,0.0327,0.0165,0.0301,0.0514
2021-12-31,0.2318,0.1030,0.0859,0.1314,,0.1044,0.1324,0.0599,0.1216,0.0945,0.1044,0.0814,0.1312,0.1235,0.1044,0.0788,0.1206,0.1083,0.5775,0.1350,0.2705,0.2768,0.2318,0.1413,0.2718,0.2215,0.0939,0.0939,0.0642,0.0834,0.0781,1.1442,1.3127,1.6100,1.5966,0.1324,0.7092,1.0710,0.6854,0.8264,0.0929,0.0800,0.1303,,0.9027,0.9310,0.9918,0.9987,0.1044,0.0859,0.1308,0.1277,0.0942,0.0800,0.1297,0.1275
2021-09-30,0.1314,0.0476,0.0207,0.0963,,0.0496,0.0887,0.0217,0.1255,0.0738,0.0479,0.0213,0.0961,0.0694,0.0479,0.0213,0.0900,0.0615,0.2885,0.0381,0.1934,0.1565,0.1773,0.1263,0.2808,0.1990,0.0449,0.0433,0.0169,0.0612,0.0442,1.1343,1.3050,1.6032,1.5768,0.0756,0.4881,0.7781,0.4877,0.5989,,,,,0.9575,0.8036,0.9928,0.9715,0.0479,0.0207,0.0960,0.0695,0.0459,0.0166,0.0953,0.0676
2021-06-30,0.1292,0.0284,0.0083,0.0623,,0.0381,0.0800,0.0142,0.1277,0.0490,0.0282,0.0091,0.0625,0.0280,0.0282,0.0097,0.0586,0.0259,0.1557,0.0176,0.1242,0.0675,0.1779,0.1172,0.2951,0.1807,0.0348,0.0258,0.0073,0.0399,0.0180,1.1070,1.2693,1.6001,1.5461,0.062,0.3224,0.5149,0.3121,0.3684,0.0289,0.0046,0.0610,,1.0257,0.5543,0.9798,1.0250,0.0282,0.0084,0.0628,0.0278,0.0289,0.0046,0.0615,0.0285
2021-03-31,0.1339,0.0127,0.0009,0.0241,,0.0366,0.0755,0.0034,0.1077,0.0433,0.0127,0.0009,0.0240,0.0112,0.0127,0.0012,0.0227,0.0106,0.0655,0.0025,0.0467,0.0278,0.1674,0.1110,0.2857,0.1709,0.0338,0.0117,0.0008,0.0157,0.0072,1.0851,1.2342,1.5252,1.5612,0.0648,0.1551,0.2277,0.1459,0.1656,,,,,1.2482,-0.5944,0.9797,0.9950,0.0127,0.0009,0.0241,0.0109,0.0158,-0.0006,0.0236,0.0109
2020-12-31,0.1511,0.0448,0.0075,0.1027,,0.0446,0.0814,0.0064,0.1206,0.0205,0.0446,0.0078,0.1025,0.0217,0.0446,0.0081,0.0984,0.0244,0.2294,0.0173,0.2044,0.0638,0.1511,0.0926,0.2833,0.1327,0.0413,0.0413,0.0065,0.0690,0.0143,1.0769,1.2193,1.5335,1.5489,0.0814,0.5074,1.0254,0.5725,0.6972,0.0307,-0.0089,0.1002,,0.6853,-1.1826,0.9511,-0.0041,0.0447,0.0075,0.1034,0.0242,0.0306,-0.0089,0.0984,-0.0001
2020-09-30,0.2093,0.0428,0.0030,0.0729,,0.0495,0.0999,0.0037,0.1264,0.0302,0.0429,0.0031,0.0716,0.0223,0.0429,0.0032,0.0691,0.0225,0.2354,0.0101,0.1389,0.0700,0.2155,0.0920,0.2981,0.1470,0.0457,0.0398,0.0026,0.0484,0.0146,1.0762,1.2470,1.5222,1.5612,0.0833,0.3982,0.6908,0.3833,0.4848,,,,,0.7969,-2.9435,0.9317,0.3322,0.0429,0.0030,0.0719,0.0227,0.0342,-0.0089,0.0670,0.0075
2020-06-30,0.2442,0.0345,0.0012,0.0513,,0.0802,0.1216,0.0022,0.1336,0.0376,0.0349,0.0012,0.0508,0.0177,0.0349,0.0012,0.0484,0.0175,0.2001,0.0076,0.1008,0.0555,0.2319,0.0836,0.2939,0.1466,0.0737,0.0323,0.0010,0.0340,0.0116,1.0833,1.2521,1.5498,1.5597,0.1226,0.2653,0.4393,0.2547,0.3084,0.0293,-0.0052,0.0459,,0.8490,-4.2061,0.8957,0.4331,0.0349,0.0012,0.0510,0.0183,0.0297,-0.0052,0.0457,0.0079
2020-03-31,0.274,0.0200,0.0009,0.0160,,0.1102,0.1421,0.0010,0.0961,0.0307,0.0200,0.0003,0.0158,0.0065,0.0200,0.0003,0.0154,0.0068,0.1078,0.0013,0.0300,0.0225,0.2404,0.0621,0.2838,0.1203,0.0967,0.0184,0.0002,0.0110,0.0043,1.0853,1.2410,1.4439,1.5346,0.1488,0.1297,0.2089,0.1146,0.1413,,,,,0.9057,-3.6725,1.0105,0.0902,0.0200,0.0009,0.0158,0.0072,0.0181,-0.0034,0.0160,0.0006
2019-12-31,0.2978,0.1547,0.0705,0.0994,,0.1732,0.1640,0.0589,0.1142,0.0489,0.1732,0.0703,0.0965,0.0549,0.1655,0.0699,0.0929,0.0514,0.6760,0.1514,0.1773,0.1449,0.2978,0.1459,0.2860,0.1938,0.1452,0.1452,0.0599,0.0621,0.0370,1.0811,1.1641,1.4382,1.4782,0.164,0.8855,1.0176,0.5435,0.7568,0.1406,0.0452,0.0938,,0.9094,0.6411,0.9435,0.4750,0.1736,0.0703,0.0965,0.0571,0.1579,0.0451,0.0911,0.0271
2019-09-30,0.3312,0.1530,0.0696,0.0656,,,0.1962,0.0805,0.1028,0.0978,0.1653,0.0696,0.0620,0.0811,0.1579,0.0691,0.0586,0.0720,0.5972,0.1490,0.1047,0.1801,0.3249,0.1722,0.2858,0.2178,,0.1380,0.0587,0.0386,0.0553,1.0884,1.1848,1.5281,1.4499,0.2034,0.7032,0.7291,0.3758,0.5649,,,,,0.9380,0.7594,0.9590,0.8223,0.1656,0.0697,0.0611,0.0825,0.1553,0.0529,0.0586,0.0679
2019-06-30,0.3479,0.1189,0.0551,0.0514,,,0.1965,0.0953,0.1168,0.0990,0.1188,0.0555,0.0518,0.0547,0.1137,0.0551,0.0480,0.0487,0.4114,0.1200,0.0821,0.1287,0.3326,0.1943,0.2961,0.2300,,0.0987,0.0466,0.0312,0.0378,1.0930,1.1935,1.6265,1.4124,0.2145,0.5022,0.4895,0.2674,0.3816,0.1115,0.0415,0.0495,,0.9373,0.7540,0.9637,0.8437,0.1190,0.0555,0.0513,0.0553,0.1116,0.0418,0.0495,0.0466
2019-03-31,0.373,0.0837,0.0290,0.0190,,,0.1995,0.0995,0.0951,0.0950,0.0618,0.0287,0.0196,0.0233,0.0567,0.0284,0.0183,0.0206,0.2224,0.0629,0.0307,0.0531,0.3383,0.1869,0.2843,0.2087,,0.0484,0.0242,0.0117,0.0157,1.1993,1.1883,1.6396,1.4711,0.2359,0.2428,0.2430,0.1234,0.1654,,,,,0.9245,0.5909,0.8146,0.5472,0.0620,0.0290,0.0189,0.0234,0.0573,0.0171,0.0154,0.0128
2018-12-31,0.3959,0.5476,0.1808,0.1113,,0.5222,0.2488,0.1394,0.1279,0.1331,0.5222,0.1828,0.1122,0.1500,0.4393,0.1804,0.1041,0.1271,1.1994,0.3556,0.1796,0.3602,0.3959,0.2462,0.3106,0.2486,0.3547,0.3547,0.1538,0.0657,0.0974,1.4145,1.1848,1.6608,1.4468,0.2488,1.4256,1.1028,0.5137,0.7318,0.5353,0.1682,0.0944,,0.9776,0.9213,0.1462,0.7036,0.5233,0.1830,0.1128,0.1542,0.5115,0.1686,0.0165,0.1085
2018-09-30,,,,,,,0.2567,0.1393,0.1060,0.1545,,,,,,,,,,,,,0.4107,0.2498,0.2966,0.2486,,,,,,,,,,,,,,,,,,,0.9714,0.9042,0.9146,0.6791,,,,,,,,
2018-06-30,,,,,,,0.2639,0.1319,0.1163,0.1519,,,,,,,,,,,,,0.4264,0.2559,0.2886,0.2517,,,,,,,,,,,,,,,,,,,0.9654,0.9038,0.8787,0.6556,,,,,,,,
2018-03-31,,,,,,,0.2550,0.1078,0.0536,0.1147,,,,,,,,,,,,,0.4408,0.2596,0.2427,0.2569,,,,,,,,,,,,,,,,,,,0.9945,0.9914,0.9369,0.4742,,,,,,,,
2017-12-31,0.4181,0.7399,0.0882,0.0764,,0.7364,0.2450,0.0686,0.1118,0.0630,0.7364,0.0886,0.0764,0.0831,0.4973,,,0.0669,1.2275,0.1920,0.1905,0.2065,0.4181,0.2004,0.2926,0.2066,0.3981,0.3981,0.0761,0.0575,0.0544,1.5541,1.1899,1.3293,1.6490,0.245,1.6248,1.1099,0.5149,0.8629,0.7338,0.0838,0.0672,,0.9918,0.9495,0.8794,0.8688,0.7375,0.0881,0.0764,0.0791,0.7315,0.0836,0.0672,0.0687
2016-12-31,0.3529,0.5091,0.0189,0.0366,,,0.1351,0.0153,0.0660,0.0347,NaN,0.0174,0.0345,0.0404,NaN,,,0.0347,NaN,0.0372,0.0906,0.0861,0.3529,0.1141,0.2772,0.1729,,NaN,0.0146,0.0261,0.0289,2.4638,1.1362,1.3258,1.3894,0.1351,NaN,0.9595,0.3951,0.8321,0.6533,0.0068,0.0330,,1.2338,0.3593,0.9002,0.9657,NaN,0.0171,0.0366,0.0379,NaN,0.0061,0.0330,0.0366
