date,立讯精密 - 核心利润率,电子零部件制造(申万) - 核心利润率,立讯精密 - 资本回报率(ROIC),电子零部件制造(申万) - 资本回报率(ROIC),毛利率(GM),立讯精密 - 研发费用率,电子零部件制造(申万) - 研发费用率,净资产收益率(ROE),立讯精密 - 扣非净利润占比,电子零部件制造(申万) - 扣非净利润占比,立讯精密 - 总资产收益率(ROA),电子零部件制造(申万) - 总资产收益率(ROA),立讯精密 - 毛利率(GM),电子零部件制造(申万) - 毛利率(GM),立讯精密 - 净利润率,电子零部件制造(申万) - 净利润率,立讯精密 - 营业利润率,电子零部件制造(申万) - 营业利润率,总资产收益率(ROA),净利润率,立讯精密 - 财务费用率,电子零部件制造(申万) - 财务费用率,净利润,累积同比,立讯精密 - 销售费用率,电子零部件制造(申万) - 销售费用率,营业利润,归属于母公司普通股股东的净利润,立讯精密 - 管理费用率,电子零部件制造(申万) - 管理费用率,立讯精密 - 净资产收益率(ROE),电子零部件制造(申万) - 净资产收益率(ROE),立讯精密 - 四项费用率,电子零部件制造(申万) - 四项费用率
2023-06-30,0.0348,0.0285,0.0550,0.0281,0.1143,0.0380,0.0499,0.1952,0.9538,0.8669,0.0320,0.0164,0.1064,0.1447,0.0482,0.0405,0.0505,0.0431,0.0795,0.0482,0.0007,-0.0010,4726124791,0.1417,0.0038,0.0123,4948516670,4355725932,0.0200,0.0400,0.0774,0.0326,0.0625,0.1012
2023-03-31,0.0318,0.0226,0.0252,0.0108,0.1178,0.0390,0.0506,0.1923,0.8779,0.6970,0.0142,0.0058,0.1003,0.1385,0.0420,0.0293,0.0436,0.0310,0.0773,0.0472,0.0073,0.0136,2100027947,0.0068,0.0039,0.0121,2176970389,2017931636,0.0167,0.0389,0.0351,0.0117,0.0669,0.1153
2022-12-31,0.0478,0.0459,0.1494,0.0730,0.1219,0.0395,0.0461,0.2007,0.9213,0.8364,0.0780,0.0424,0.1219,0.1525,0.0490,0.0449,0.0521,0.0496,0.078,0.049,0.0041,0.0025,10490676779,0.3414,0.0039,0.0109,11154488059,9163104850,0.0237,0.0378,0.2007,0.0886,0.0712,0.0973
2022-09-30,0.0506,0.0431,0.1000,0.0571,0.1116,0.0427,0.0478,0.2042,0.9341,0.8533,0.0512,0.0331,0.1274,0.1499,0.0495,0.0498,0.0560,0.0562,0.0741,0.0452,0.0028,-0.0008,7186828597,0.3991,0.0041,0.0109,8127805448,6400275270,0.0228,0.0367,0.1442,0.0723,0.0723,0.0945
2022-06-30,0.0454,0.0364,0.0592,0.0308,0.1136,0.0444,0.0506,0.1896,0.8963,0.8790,0.0329,0.0176,0.1247,0.1490,0.0505,0.0396,0.0544,0.0452,0.0766,0.0458,0.0031,0.0025,4139589513,0.2301,0.0045,0.0118,4458822144,3784030806,0.0228,0.0378,0.0863,0.0375,0.0748,0.1027
2022-03-31,0.0458,0.0356,0.0301,0.0140,0.1162,0.0406,0.0480,0.1971,0.8450,0.8651,0.0170,0.0079,0.1181,0.1438,0.0501,0.0353,0.0550,0.0404,0.0793,0.049,0.0035,0.0082,2085915176,0.5327,0.0051,0.0116,2288516055,1803320580,0.0201,0.0368,0.0443,0.0167,0.0693,0.1046
2021-12-31,0.0446,0.0412,0.1553,0.0688,0.1228,0.0431,0.0474,0.204,0.8508,0.5039,0.0821,0.0384,0.1228,0.1526,0.0508,0.0387,0.0531,0.0420,0.0821,0.0508,0.0036,0.0082,7820610306,0.0440,0.0051,0.0119,8167424847,7070520387,0.0243,0.0408,0.2040,0.0818,0.0762,0.1083
2021-09-30,0.0544,0.0524,0.1017,0.0607,0.1579,0.0593,0.0512,0.2248,0.8517,0.8237,0.0583,0.0358,0.1611,0.1728,0.0634,0.0530,0.0680,0.0593,0.0907,0.0684,0.0036,0.0077,5136846260,0.0641,0.0076,0.0137,5505495562,4689661384,0.0317,0.0432,0.1394,0.0760,0.1021,0.1159
2021-06-30,0.0597,0.0510,0.0664,0.0383,0.1718,0.0546,0.0510,0.2536,0.8165,0.7620,0.0413,0.0227,0.1619,0.1709,0.0699,0.0523,0.0747,0.0593,0.1123,0.079,0.0061,0.0096,3365287557,0.2836,0.0074,0.0136,3595864827,3089230029,0.0311,0.0421,0.0942,0.0475,0.0992,0.1163
2021-03-31,0.0596,0.0530,0.0283,0.0199,0.1818,0.0648,0.0512,0.2541,0.8648,0.9565,0.0170,0.0119,0.1683,0.1718,0.0648,0.0567,0.0760,0.0654,0.1092,0.0807,0.0025,0.0054,1360982101,0.3267,0.0083,0.0144,1597538143,1349512048,0.0247,0.0400,0.0393,0.0251,0.1003,0.1110
2020-12-31,0.0800,0.0680,0.2226,0.0997,0.1809,0.0621,0.0506,0.2845,0.8427,0.7370,0.1255,0.0576,0.1809,0.1818,0.0810,0.0589,0.0883,0.0618,0.1255,0.081,0.0098,0.0146,7491014735,0.5203,0.0052,0.0125,8167804169,7225462753,0.0266,0.0376,0.2845,0.1255,0.1037,0.1153
2020-09-30,0.0854,0.0749,0.1579,0.0896,0.1958,0.0750,0.0511,0.2908,0.8999,0.7972,0.0838,0.0519,0.1980,0.1912,0.0811,0.0729,0.0965,0.0769,0.1208,0.0799,0.0031,0.0118,4827391544,0.5958,0.0075,0.0152,5741913826,4679614065,0.0224,0.0365,0.1996,0.1152,0.1080,0.1145
2020-06-30,0.0757,0.0637,0.0924,0.0530,0.1929,0.0705,0.0514,0.2827,0.9214,0.7356,0.0509,0.0306,0.1818,0.1833,0.0719,0.0689,0.0852,0.0726,0.1298,0.0773,0.0031,0.0096,2621840998,0.6880,0.0067,0.0152,3106943730,2537774758,0.0210,0.0379,0.1136,0.0681,0.1012,0.1141
2020-03-31,0.0606,0.0505,0.0365,0.0185,0.191,0.0623,0.0503,0.2627,0.9134,0.9063,0.0200,0.0101,0.1592,0.1747,0.0621,0.0513,0.0733,0.0627,0.1181,0.076,0.0013,0.0083,1025846315,0.6165,0.0073,0.0163,1210446452,981870191,0.0203,0.0406,0.0457,0.0224,0.0912,0.1155
2019-12-31,0.0861,0.0603,0.2027,0.0760,0.1991,0.0700,0.0498,0.2565,0.9411,0.5202,0.1148,0.0402,0.1991,0.1782,0.0788,0.0423,0.0919,0.0482,0.1148,0.0788,0.0053,0.0104,4927424927,0.7514,0.0080,0.0156,5744687387,4713820645,0.0244,0.0364,0.2565,0.0922,0.1076,0.1123
2019-09-30,0.0860,0.0564,0.1296,0.0722,0.2076,0.0762,0.0501,0.2387,0.9483,0.8079,0.0737,0.0392,0.2047,0.1763,0.0799,0.0593,0.0962,0.0671,0.1043,0.0813,0.0044,0.0099,3024981001,0.8363,0.0085,0.0151,3638606561,2887521927,0.0211,0.0371,0.1665,0.0922,0.1103,0.1122
2019-06-30,0.0771,0.0479,0.0700,0.0408,0.2055,0.0736,0.0513,0.2182,0.9487,0.7431,0.0413,0.0219,0.1924,0.1760,0.0724,0.0516,0.0881,0.0560,0.106,0.0791,0.0076,0.0148,1553266926,0.9737,0.0090,0.0171,1888486564,1501538959,0.0195,0.0400,0.0896,0.0499,0.1098,0.1232
2019-03-31,0.0698,0.0378,0.0287,0.0184,0.2074,0.0763,0.0514,0.1969,0.8461,0.5749,0.0173,0.0098,0.1889,0.1711,0.0704,0.0502,0.0817,0.0573,0.0988,0.0792,0.0144,0.0214,634626733,0.9780,0.0080,0.0178,736636030,615974847,0.0207,0.0436,0.0374,0.0221,0.1194,0.1342
2018-12-31,0.0940,0.0557,0.1390,0.0461,0.2105,0.0701,0.0489,0.1839,0.9381,0.5607,0.0889,0.0220,0.2105,0.1797,0.0785,0.0221,0.0919,0.0294,0.0889,0.0785,0.0084,0.0111,2813340363,0.6097,0.0108,0.0181,3293777501,2722631125,0.0251,0.0400,0.1839,0.0481,0.1145,0.1181
2018-09-30,0.0824,0.0578,0.0789,0.0480,0.1968,0.0783,0.0486,0.1626,0.9495,0.8108,0.0535,0.0321,0.2073,0.1780,0.0744,0.0471,0.0893,0.0551,0.0785,0.0744,0.0065,0.0109,1647361478,0.5204,0.0117,0.0175,1976408561,1657040101,0.0233,0.0386,0.1122,0.0690,0.1198,0.1156
2018-06-30,0.0660,0.0538,,,0.1933,,,0.134,0.9224,0.6542,0.0283,0.0190,0.1970,0.1900,0.0654,0.0511,0.0768,0.0569,0.0733,0.0697,0.0089,0.0155,786968163,0.1529,0.0113,0.0197,923742964,825827923,0.1052,0.0959,0.0548,0.0389,0.1255,0.1311
2018-03-31,0.0501,0.0400,,,0.198,,,0.1314,0.7526,0.8047,0.0120,0.0080,0.1970,0.1964,0.0594,0.0469,0.0695,0.0554,0.0755,0.0728,0.0277,0.0273,320849933,0.0673,0.0124,0.0205,375792770,332884236,0.1020,0.1035,0.0226,0.0159,0.1421,0.1514
2017-12-31,0.0793,0.0705,,,0.2,,,0.1342,0.8503,0.8442,0.0731,0.0605,0.2000,0.1952,0.0766,0.0623,0.0899,0.0727,0.0731,0.0766,0.0089,0.0125,1747773502,0.4786,0.0138,0.0193,2052378419,1690568104,0.0928,0.0879,0.1342,0.1210,0.1155,0.1197
2017-09-30,0.0825,0.0748,,,0.2139,,,0.1287,0.8951,0.8730,0.0480,0.0443,0.2187,0.2053,0.0780,0.0695,0.0897,0.0756,0.0714,0.0821,0.0071,0.0125,1083514054,0.5808,0.0166,0.0204,1246458445,1082163727,0.1067,0.0931,0.0863,0.0874,0.1305,0.1260
2017-06-30,0.0819,0.0679,,,0.211,,,0.1537,0.8621,0.8486,0.0320,0.0268,0.2171,0.2019,0.0824,0.0648,0.0942,0.0693,0.085,0.0846,0.0100,0.0122,682585417,0.7021,0.0175,0.0209,780503818,681898443,0.1024,0.0962,0.0547,0.0523,0.1299,0.1293
2017-03-31,0.0796,0.0693,,,0.2109,,,0.1385,0.8578,0.8396,0.0146,0.0131,0.2084,0.1984,0.0764,0.0647,0.0857,0.0677,0.0808,0.0824,0.0108,0.0109,300611867,0.5244,0.0181,0.0208,336851707,301217842,0.0948,0.0929,0.0245,0.0256,0.1238,0.1246
2016-12-31,0.0940,0.0706,,,0.215,,,0.1313,0.9271,0.8276,0.0726,0.0558,0.2150,0.1996,0.0859,0.0657,0.0947,0.0669,0.0726,0.0859,0.0026,0.0040,1182066031,0.0446,0.0167,0.0223,1303178447,1156533485,0.0961,0.0979,0.1313,0.1077,0.1155,0.1242
2016-09-30,0.0884,0.0730,,,0.2287,,,0.1312,0.9203,0.8577,0.0433,0.0405,0.2236,0.2035,0.0814,0.0677,0.0896,0.0715,0.0719,0.0968,0.0075,0.0060,685409927,-0.0159,0.0184,0.0214,754104976,680683882,0.1049,0.0999,0.0785,0.0776,0.1308,0.1273
2016-06-30,0.0918,0.0623,,,0.2396,,,0.1965,0.9229,0.7932,0.0330,0.0248,0.2331,0.2038,0.0844,0.0640,0.0919,0.0650,0.0984,0.1079,0.0074,0.0053,401023631,-0.0042,0.0191,0.0227,436841680,400952690,0.1096,0.1098,0.0663,0.0457,0.1361,0.1378
2016-03-31,0.0954,0.0494,NaN,0.0157,,NaN,0,,0.8719,0.6916,0.0171,0.0113,0.2332,0.1965,0.0941,0.0604,0.0974,0.0562,,,0.0077,0.0076,197202672,0.2279,0.0202,0.0234,204150022,199261575,0.1036,0.1117,0.0329,0.0208,0.1314,0.1427
