ticker,name,industry_em,self_market_cap,rank,peer_ticker,peer_name,peer_market_cap,peer_pe,peer_pb,peer_roe,peer_gross_margin,peer_revenue_yoy,peer_ni_yoy,peer_peg,peer_fscore_lite,peer_latest_year,is_above_self,refreshed_at
300274,阳光电源,光伏设备,,2,300750,宁德时代,,26.9471,6.538,0.2478,,0.4403,,,,2026Q1,,2026-07-04 20:52:23.692817
300274,阳光电源,光伏设备,,3,002460,赣锋锂业,,37.9997,3.1131,0.0734,,1.4381,,,,2026Q1,,2026-07-04 20:52:23.693409
300308,中际旭创,通信设备,954912457905.0,1,300502,新易盛,522640156156.0,47.0,25.65,72.75,47.805628,187.294321,235.889666,0.3939106144170336,4,2025,False,2026-07-03 14:58:10.173966
300308,中际旭创,通信设备,954912457905.0,2,601869,长飞光纤,292995617721.0,147.94,20.59,6.92,30.734538,16.845323,20.396921,,4,2025,False,2026-07-03 14:58:10.174583
300750,宁德时代,电池,2017150869956.0,1,300014,亿纬锂能,156238121779.0,27.01,3.45,10.5,16.17244,26.442849,1.440735,4.8070904539972545,3,2025,False,2026-07-03 14:58:10.177472
300750,宁德时代,电池,2017150869956.0,2,002709,天赐材料,123353371129.0,18.64,6.46,9.79,22.241321,33.00445,181.428898,,4,2025,False,2026-07-03 14:58:10.178129
600036,招商银行,银行Ⅱ,965163491150.27,1,601939,建设银行,2602923795517.0,7.54,0.73,10.04,50.145391,1.884814,0.992022,5.255109019515257,3,2025,True,2026-07-03 14:58:10.171033
600036,招商银行,银行Ⅱ,965163491150.27,2,601398,工商银行,2655226615313.0,7.64,0.67,9.45,50.593603,2.003764,0.737707,11.216223072411903,3,2025,True,2026-07-03 14:58:10.171845
600276,恒瑞医药,化学制药,357612329211.12,1,688235,百济神州,361925206558.0,247.77,11.81,5.33,87.613728,40.46102,129.341618,,4,2025,True,2026-07-03 14:58:10.175519
600276,恒瑞医药,化学制药,357612329211.12,2,600196,复星医药,66466985899.0,19.08,1.35,7.03,50.073696,1.447425,21.685903,,4,2025,False,2026-07-03 14:58:10.176602
600519,贵州茅台,白酒Ⅱ,1734131271029.85,1,000858,五 粮 液,376826505125.0,11.68,2.94,6.89,77.541841,-54.551804,-71.888962,,2,2025,False,2026-07-03 14:58:10.155423
600519,贵州茅台,白酒Ⅱ,1734131271029.85,2,600809,山西汾酒,174881871224.0,8.12,3.88,33.48,74.852504,7.517885,0.028138,0.5489210941499282,3,2025,False,2026-07-03 14:58:10.156909
600887,伊利股份,饮料乳品,173694403915.82,1,605499,东鹏饮料,115122451808.0,22.89,5.62,51.61,44.905033,31.797893,32.721658,0.5057458222334669,4,2025,False,2026-07-03 14:58:10.172515
600887,伊利股份,饮料乳品,173694403915.82,2,603156,养元饮品,47323422603.0,14.65,4.77,13.29,42.825647,-11.911824,-26.837523,,2,2025,False,2026-07-03 14:58:10.173241
601336,新华保险,保险Ⅱ,200898801040.00003,1,601628,中国人寿,1036466732350.0,13.28,1.73,27.81,29.560581,16.480597,44.085659,0.1932554290652488,4,2025,True,2026-07-03 14:58:10.149125
601336,新华保险,保险Ⅱ,200898801040.00003,2,601318,中国平安,1075050705243.0,10.74,1.06,14.0,17.867199,2.097431,6.453829,1.6074749199307596,4,2025,True,2026-07-03 14:58:10.150847
601766,中国中车,轨交设备Ⅱ,171332218605.36,1,688187,时代电气,65751862109.0,25.55,1.52,9.81,33.432041,15.230527,10.639982,1.5003348160424588,4,2025,False,2026-07-03 14:58:10.153728
601766,中国中车,轨交设备Ⅱ,171332218605.36,2,688009,中国通号,54325771470.0,26.05,1.13,7.53,28.881893,6.229983,5.484972,54.07192618224457,3,2025,False,2026-07-03 14:58:10.154634
603259,药明康德,医疗服务,,1,300015,爱尔眼科,,25.118,3.6743,0.1519,,0.1215,,,,2026Q1,,2026-07-04 20:52:23.689291
603259,药明康德,医疗服务,,2,600276,恒瑞医药,,43.8405,5.5944,0.1454,,0.1333,,,,2026Q1,,2026-07-04 20:52:23.691051
603259,药明康德,医疗服务,,3,300760,迈瑞医疗,,22.7409,4.6177,0.1852,,-0.1137,,,,2026Q1,,2026-07-04 20:52:23.691614
603379,三美股份,化学制品,39845966744.99,1,002001,新 和 成,106955074464.0,14.63,3.04,21.87,44.673912,2.969836,15.261927,0.6315247326938402,4,2025,True,2026-07-03 14:58:10.152160
603379,三美股份,化学制品,39845966744.99,2,600309,万华化学,280302429392.0,18.85,2.52,12.44,13.612343,11.624955,-3.8814,,3,2025,True,2026-07-03 14:58:10.152851
