日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-07-21,=15.1900,=15.1900,=15.1900,=15.1900,=121588267839.78,=113228991116.0,=39257594141.36,,=1.8598,,,,
2025-07-18,=14.8300,=14.8300,=14.8300,=14.8300,=118706649905.46,=110545486390.0,=38327196913.52,,=1.8158,,,,
2025-07-17,=14.7300,=14.7300,=14.7300,=14.7300,=117906200479.26,=109800068410.0,=38068753239.12,,=1.8035,,,,
2025-07-16,=14.7200,=14.7200,=14.7200,=14.7200,=117826155536.64,=109725526612.0,=38042908871.68,,=1.8023,,,,
2025-07-15,=14.7300,=14.7300,=14.7300,=14.7300,=117906200479.26,=109800068410.0,=38068753239.12,,=1.8035,,,,
2025-07-14,=14.8400,=14.8400,=14.8400,=14.8400,=118786694848.08,=110620028187.0,=38353041280.96,,=1.8170,,,,
2025-07-11,=14.7100,=14.7100,=14.7100,=14.7100,=117746110594.02,=109650984814.0,=38017064504.24,,=1.8011,,,,
2025-07-10,=14.8100,=14.8100,=14.8100,=14.8100,=118546560020.22,=110396402794.0,=38275508178.64,,=1.8133,,,,
2025-07-09,=14.8800,=14.8800,=14.8800,=14.8800,=119106874618.56,=110918195379.0,=38456418750.72,,=1.8219,,,,
2025-07-08,=14.9600,=14.9600,=14.9600,=14.9600,=119747234159.52,=111514529763.0,=38663173690.24,,=1.8317,,,,
2025-07-07,=15.0900,=15.0900,=15.0900,=15.0900,=120787818413.58,=112483573137.0,=38999150466.96,,=1.8476,,,,
2025-07-04,=15.0000,=15.0000,=15.0000,=15.0000,=120067413930.0,=111812696955.0,=38766551160.0,,=1.8366,,,,
