date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-03-16,48.6163,0.7726,49.2726,34.0888,25.8700,0.0073,6.2517,0.8706,5.7755,4.1376,3.0130,49.6787,0.7663,54.9052,37.8619,27.8383,6.3086,0.5854,7.9121,5.6722,3.9006,6.3086,0.5817,7.9162,5.6809,3.9224
2026-03-13,49.2726,0.7726,49.2726,34.0888,25.8700,0.0072,6.3361,0.8706,5.7755,4.1376,3.0130,50.3493,0.7663,54.9052,37.8619,27.8383,6.3938,0.5854,7.9121,5.6722,3.9006,6.3938,0.5817,7.9162,5.6809,3.9224
2026-03-12,50.8143,0.7726,49.2726,34.0888,25.8700,0.0070,6.5343,0.8706,5.7755,4.1376,3.0130,51.9247,0.7663,54.9052,37.8619,27.8383,6.5938,0.5854,7.9121,5.6722,3.9006,6.5938,0.5817,7.9162,5.6809,3.9224
2026-03-11,50.2205,0.7726,49.2726,34.0888,25.8700,0.0071,6.4580,0.8706,5.7755,4.1376,3.0130,51.3180,0.7663,54.9052,37.8619,27.8383,6.5168,0.5854,7.9121,5.6722,3.9006,6.5168,0.5817,7.9162,5.6809,3.9224
2026-03-10,50.4601,0.7726,49.2726,34.0888,25.8700,0.0071,6.4888,0.8706,5.7755,4.1376,3.0130,51.5628,0.7663,54.9052,37.8619,27.8383,6.5479,0.5854,7.9121,5.6722,3.9006,6.5479,0.5817,7.9162,5.6809,3.9224
2026-03-09,48.9496,0.7726,49.2726,34.0888,25.8700,0.0073,6.2946,0.8706,5.7755,4.1376,3.0130,50.0193,0.7663,54.9052,37.8619,27.8383,6.3519,0.5854,7.9121,5.6722,3.9006,6.3519,0.5817,7.9162,5.6809,3.9224
2026-03-06,49.6997,0.7726,49.2726,34.0888,25.8700,0.0072,6.3910,0.8706,5.7755,4.1376,3.0130,50.7858,0.7663,54.9052,37.8619,27.8383,6.4492,0.5854,7.9121,5.6722,3.9006,6.4492,0.5817,7.9162,5.6809,3.9224
2026-03-05,49.5747,0.7726,49.2726,34.0888,25.8700,0.0072,6.3749,0.8706,5.7755,4.1376,3.0130,50.6580,0.7663,54.9052,37.8619,27.8383,6.4330,0.5854,7.9121,5.6722,3.9006,6.4330,0.5817,7.9162,5.6809,3.9224
2026-03-04,49.4809,0.7726,49.2726,34.0888,25.8700,0.0072,6.3629,0.8706,5.7755,4.1376,3.0130,50.5622,0.7663,54.9052,37.8619,27.8383,6.4208,0.5854,7.9121,5.6722,3.9006,6.4208,0.5817,7.9162,5.6809,3.9224
2026-03-03,48.5225,0.7726,49.2726,34.0888,25.8700,0.0073,6.2396,0.8706,5.7755,4.1376,3.0130,49.5829,0.7663,54.9052,37.8619,27.8383,6.2965,0.5854,7.9121,5.6722,3.9006,6.2965,0.5817,7.9162,5.6809,3.9224
2026-03-02,51.4601,0.7726,49.2726,34.0888,25.8700,0.0069,6.6174,0.8706,5.7755,4.1376,3.0130,52.5847,0.7663,54.9052,37.8619,27.8383,6.6777,0.5854,7.9121,5.6722,3.9006,6.6777,0.5817,7.9162,5.6809,3.9224
2026-02-27,53.3456,0.7726,49.2726,34.0888,25.8700,0.0067,6.8598,0.8706,5.7755,4.1376,3.0130,54.5114,0.7663,54.9052,37.8619,27.8383,6.9223,0.5854,7.9121,5.6722,3.9006,6.9223,0.5817,7.9162,5.6809,3.9224
2026-02-26,54.1061,0.7726,49.2726,34.0888,25.8700,0.0066,6.9576,0.8706,5.7755,4.1376,3.0130,55.2885,0.7663,54.9052,37.8619,27.8383,7.0210,0.5854,7.9121,5.6722,3.9006,7.0210,0.5817,7.9162,5.6809,3.9224
2026-02-25,54.3248,0.7726,49.2726,34.0888,25.8700,0.0065,6.9858,0.8706,5.7755,4.1376,3.0130,55.5120,0.7663,54.9052,37.8619,27.8383,7.0494,0.5854,7.9121,5.6722,3.9006,7.0494,0.5817,7.9162,5.6809,3.9224
2026-02-24,54.9290,0.7726,49.2726,34.0888,25.8700,0.0065,7.0635,0.8706,5.7755,4.1376,3.0130,56.1294,0.7663,54.9052,37.8619,27.8383,7.1278,0.5854,7.9121,5.6722,3.9006,7.1278,0.5817,7.9162,5.6809,3.9224
2026-02-13,55.7103,0.7726,49.2726,34.0888,25.8700,0.0064,7.1639,0.8706,5.7755,4.1376,3.0130,56.9277,0.7663,54.9052,37.8619,27.8383,7.2292,0.5854,7.9121,5.6722,3.9006,7.2292,0.5817,7.9162,5.6809,3.9224
2026-02-12,54.8665,0.7726,49.2726,34.0888,25.8700,0.0065,7.0554,0.8706,5.7755,4.1376,3.0130,56.0655,0.7663,54.9052,37.8619,27.8383,7.1197,0.5854,7.9121,5.6722,3.9006,7.1197,0.5817,7.9162,5.6809,3.9224
2026-02-11,54.3352,0.7726,49.2726,34.0888,25.8700,0.0065,6.9871,0.8706,5.7755,4.1376,3.0130,55.5226,0.7663,54.9052,37.8619,27.8383,7.0507,0.5854,7.9121,5.6722,3.9006,7.0507,0.5817,7.9162,5.6809,3.9224
2026-02-10,55.5228,0.7726,49.2726,34.0888,25.8700,0.0064,7.1398,0.8706,5.7755,4.1376,3.0130,56.7361,0.7663,54.9052,37.8619,27.8383,7.2048,0.5854,7.9121,5.6722,3.9006,7.2048,0.5817,7.9162,5.6809,3.9224
2026-02-09,53.7311,0.7726,49.2726,34.0888,25.8700,0.0066,6.9094,0.8706,5.7755,4.1376,3.0130,54.9052,0.7663,54.9052,37.8619,27.8383,6.9723,0.5854,7.9121,5.6722,3.9006,6.9723,0.5817,7.9162,5.6809,3.9224
2026-02-06,53.2519,0.7726,49.2726,34.0888,25.8700,0.0067,6.8478,0.8706,5.7755,4.1376,3.0130,54.4156,0.7663,54.9052,37.8619,27.8383,6.9102,0.5854,7.9121,5.6722,3.9006,6.9102,0.5817,7.9162,5.6809,3.9224
2026-02-05,52.1789,0.7726,49.2726,34.0888,25.8700,0.0068,6.7098,0.8706,5.7755,4.1376,3.0130,53.3192,0.7663,54.9052,37.8619,27.8383,6.7709,0.5854,7.9121,5.6722,3.9006,6.7709,0.5817,7.9162,5.6809,3.9224
2026-02-04,53.8144,0.7726,49.2726,34.0888,25.8700,0.0066,6.9201,0.8706,5.7755,4.1376,3.0130,54.9904,0.7663,54.9052,37.8619,27.8383,6.9832,0.5854,7.9121,5.6722,3.9006,6.9832,0.5817,7.9162,5.6809,3.9224
2026-02-03,54.5123,0.7726,49.2726,34.0888,25.8700,0.0065,7.0099,0.8706,5.7755,4.1376,3.0130,55.7036,0.7663,54.9052,37.8619,27.8383,7.0737,0.5854,7.9121,5.6722,3.9006,7.0737,0.5817,7.9162,5.6809,3.9224
2026-02-02,52.8560,0.7726,49.2726,34.0888,25.8700,0.0067,6.7969,0.8706,5.7755,4.1376,3.0130,54.0111,0.7663,54.9052,37.8619,27.8383,6.8588,0.5854,7.9121,5.6722,3.9006,6.8588,0.5817,7.9162,5.6809,3.9224
2026-01-30,53.0644,0.7726,49.2726,34.0888,25.8700,0.0067,6.8237,0.8706,5.7755,4.1376,3.0130,54.2240,0.7663,54.9052,37.8619,27.8383,6.8858,0.5854,7.9121,5.6722,3.9006,6.8858,0.5817,7.9162,5.6809,3.9224
2026-01-29,52.1581,0.7726,49.2726,34.0888,25.8700,0.0068,6.7071,0.8706,5.7755,4.1376,3.0130,53.2979,0.7663,54.9052,37.8619,27.8383,6.7682,0.5854,7.9121,5.6722,3.9006,6.7682,0.5817,7.9162,5.6809,3.9224
2026-01-28,53.5540,0.7726,49.2726,34.0888,25.8700,0.0066,6.8866,0.8706,5.7755,4.1376,3.0130,54.7243,0.7663,54.9052,37.8619,27.8383,6.9494,0.5854,7.9121,5.6722,3.9006,6.9494,0.5817,7.9162,5.6809,3.9224
2026-01-27,54.4498,0.7726,49.2726,34.0888,25.8700,0.0065,7.0018,0.8706,5.7755,4.1376,3.0130,55.6397,0.7663,54.9052,37.8619,27.8383,7.0656,0.5854,7.9121,5.6722,3.9006,7.0656,0.5817,7.9162,5.6809,3.9224
2026-01-26,54.1061,0.7726,49.2726,34.0888,25.8700,0.0066,6.9576,0.8706,5.7755,4.1376,3.0130,55.2885,0.7663,54.9052,37.8619,27.8383,7.0210,0.5854,7.9121,5.6722,3.9006,7.0210,0.5817,7.9162,5.6809,3.9224
2026-01-23,56.2937,0.7726,49.2726,34.0888,25.8700,0.0063,7.2389,0.8706,5.7755,4.1376,3.0130,57.5238,0.7663,54.9052,37.8619,27.8383,7.3049,0.5854,7.9121,5.6722,3.9006,7.3049,0.5817,7.9162,5.6809,3.9224
2026-01-22,58.3666,0.7726,49.2726,34.0888,25.8700,0.0061,7.5055,0.8706,5.7755,4.1376,3.0130,59.6421,0.7663,54.9052,37.8619,27.8383,7.5739,0.5854,7.9121,5.6722,3.9006,7.5739,0.5817,7.9162,5.6809,3.9224
2026-01-21,60.3667,0.7726,49.2726,34.0888,25.8700,0.0059,7.7627,0.8706,5.7755,4.1376,3.0130,61.6859,0.7663,54.9052,37.8619,27.8383,7.8334,0.5854,7.9121,5.6722,3.9006,7.8334,0.5817,7.9162,5.6809,3.9224
