date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-04-24,97117413481.29,2.3580,,,,,2.4436,,,,,2.4253,,,,,19.9642,,,,,0.0478,18.8450,,,,
2026-04-23,96849774090.84,2.3515,,,,,2.4369,,,,,2.4186,,,,,19.9092,,,,,0.0479,18.7931,,,,
2026-04-22,97206626611.44,2.3601,,,,,2.4459,,,,,2.4275,,,,,19.9826,,,,,0.0478,18.8623,,,,
2026-04-21,98241498921.18,2.3853,,,,,2.4719,,,,,2.4533,,,,,20.1953,,,,,0.0473,19.0631,,,,
2026-04-20,98134443165.0,2.3827,,,,,2.4692,,,,,2.4507,,,,,20.1733,,,,,0.0473,19.0423,,,,
2026-04-17,98651879319.87,2.3952,,,,,2.4822,,,,,2.4636,,,,,20.2797,,,,,0.0471,19.1427,,,,
2026-04-16,99062259718.56,2.4052,,,,,2.4926,,,,,2.4738,,,,,20.3640,,,,,0.0469,19.2224,,,,
2026-04-15,99419112239.16,2.4138,,,,,2.5015,,,,,2.4827,,,,,20.4374,,,,,0.0467,19.2916,,,,
2026-04-14,98223656295.15,2.3848,,,,,2.4715,,,,,2.4529,,,,,20.1916,,,,,0.0473,19.0597,,,,
2026-04-13,97652692262.19,2.3710,,,,,2.4571,,,,,2.4386,,,,,20.0743,,,,,0.0475,18.9489,,,,
2026-04-10,97991702156.76,2.3792,,,,,2.4656,,,,,2.4471,,,,,20.1440,,,,,0.0474,19.0146,,,,
2026-04-09,98312869425.3,2.3870,,,,,2.4737,,,,,2.4551,,,,,20.2100,,,,,0.0472,19.0770,,,,
2026-04-08,99811650011.82,2.4234,,,,,2.5114,,,,,2.4925,,,,,20.5181,,,,,0.0465,19.3678,,,,
2026-04-07,99758122133.73,2.4221,,,,,2.5101,,,,,2.4912,,,,,20.5071,,,,,0.0465,19.3574,,,,
2026-04-03,100739466565.38,2.4459,,,,,2.5348,,,,,2.5157,,,,,20.7088,,,,,0.0461,19.5478,,,,
2026-04-02,101310430598.34,2.4598,,,,,2.5491,,,,,2.5300,,,,,20.8262,,,,,0.0458,19.6586,,,,
2026-04-01,99151472848.71,2.4073,,,,,2.4948,,,,,2.4761,,,,,20.3824,,,,,0.0468,19.2397,,,,
2026-03-31,97884646400.58,2.4008,,,,,2.4696,,,,,2.4635,,,,,20.3582,,,,,0.0402,18.8247,,,,
2026-03-30,97688377514.25,2.3959,,,,,2.4646,,,,,2.4586,,,,,20.3174,,,,,0.0403,18.7869,,,,
2026-03-27,97063885603.2,2.3806,,,,,2.4489,,,,,2.4429,,,,,20.1875,,,,,0.0405,18.6668,,,,
2026-03-26,96814088838.78,2.3745,,,,,2.4426,,,,,2.4366,,,,,20.1355,,,,,0.0406,18.6188,,,,
2026-03-25,98830305580.17,2.4240,,,,,2.4934,,,,,2.4873,,,,,20.5549,,,,,0.0398,19.0065,,,,
2026-03-24,99008731840.47,2.4283,,,,,2.4979,,,,,2.4918,,,,,20.5920,,,,,0.0397,19.0408,,,,
2026-03-23,98027387408.82,2.4043,,,,,2.4732,,,,,2.4671,,,,,20.3879,,,,,0.0401,18.8521,,,,
2026-03-20,101239060094.22,2.4830,,,,,2.5542,,,,,2.5480,,,,,21.0558,,,,,0.0388,19.4698,,,,
2026-03-19,101221217468.19,2.4826,,,,,2.5537,,,,,2.5475,,,,,21.0521,,,,,0.0389,19.4663,,,,
2026-03-18,101453171606.58,2.4883,,,,,2.5596,,,,,2.5533,,,,,21.1004,,,,,0.0388,19.5109,,,,
2026-03-17,101863552005.27,2.4983,,,,,2.5699,,,,,2.5637,,,,,21.1857,,,,,0.0386,19.5899,,,,
2026-03-16,101328273224.37,2.4852,,,,,2.5564,,,,,2.5502,,,,,21.0744,,,,,0.0388,19.4869,,,,
2026-03-13,100453984548.9,2.4638,,,,,2.5344,,,,,2.5282,,,,,20.8926,,,,,0.0391,19.3188,,,,
2026-03-12,100453984548.9,2.4638,,,,,2.5344,,,,,2.5282,,,,,20.8926,,,,,0.0391,19.3188,,,,
2026-03-11,101167689590.1,2.4813,,,,,2.5524,,,,,2.5462,,,,,21.0410,,,,,0.0389,19.4560,,,,
2026-03-10,100810837069.5,2.4725,,,,,2.5434,,,,,2.5372,,,,,20.9668,,,,,0.0390,19.3874,,,,
2026-03-09,100311243540.66,2.4603,,,,,2.5308,,,,,2.5246,,,,,20.8629,,,,,0.0392,19.2913,,,,
2026-03-06,100186345158.45,2.4572,,,,,2.5276,,,,,2.5215,,,,,20.8369,,,,,0.0393,19.2673,,,,
2026-03-05,99722436881.67,2.4458,,,,,2.5159,,,,,2.5098,,,,,20.7404,,,,,0.0394,19.1781,,,,
2026-03-04,98901676084.29,2.4257,,,,,2.4952,,,,,2.4891,,,,,20.5697,,,,,0.0398,19.0203,,,,
2026-03-03,99829492637.85,2.4485,,,,,2.5186,,,,,2.5125,,,,,20.7627,,,,,0.0394,19.1987,,,,
2026-03-02,99936548394.03,2.4511,,,,,2.5213,,,,,2.5152,,,,,20.7849,,,,,0.0394,19.2193,,,,
2026-02-27,100007918898.15,2.4528,,,,,2.5231,,,,,2.5170,,,,,20.7998,,,,,0.0393,19.2330,,,,
2026-02-26,100364771418.75,2.4616,,,,,2.5321,,,,,2.5260,,,,,20.8740,,,,,0.0392,19.3016,,,,
2026-02-25,100882207573.62,2.4743,,,,,2.5452,,,,,2.5390,,,,,20.9816,,,,,0.0390,19.4011,,,,
2026-02-24,101007105955.83,2.4773,,,,,2.5483,,,,,2.5421,,,,,21.0076,,,,,0.0389,19.4252,,,,
2026-02-13,100810837069.5,2.4725,,,,,2.5434,,,,,2.5372,,,,,20.9668,,,,,0.0390,19.3874,,,,
2026-02-12,101239060094.22,2.4830,,,,,2.5542,,,,,2.5480,,,,,21.0558,,,,,0.0388,19.4698,,,,
2026-02-11,102077663517.63,2.5036,,,,,2.5753,,,,,2.5691,,,,,21.2303,,,,,0.0385,19.6310,,,,
2026-02-10,102149034021.75,2.5054,,,,,2.5771,,,,,2.5709,,,,,21.2451,,,,,0.0385,19.6448,,,,
2026-02-09,102291775029.99,2.5089,,,,,2.5808,,,,,2.5745,,,,,21.2748,,,,,0.0384,19.6722,,,,
2026-02-06,101702968371.0,2.4944,,,,,2.5659,,,,,2.5596,,,,,21.1523,,,,,0.0387,19.5590,,,,
2026-02-05,101934922509.39,2.5001,,,,,2.5717,,,,,2.5655,,,,,21.2006,,,,,0.0386,19.6036,,,,
2026-02-04,100543197679.05,2.4660,,,,,2.5366,,,,,2.5304,,,,,20.9111,,,,,0.0391,19.3359,,,,
2026-02-03,99918705768.0,2.4506,,,,,2.5209,,,,,2.5147,,,,,20.7812,,,,,0.0394,19.2158,,,,
2026-02-02,99044417092.53,2.4292,,,,,2.4988,,,,,2.4927,,,,,20.5994,,,,,0.0397,19.0477,,,,
2026-01-30,99222843352.83,2.4336,,,,,2.5033,,,,,2.4972,,,,,20.6365,,,,,0.0396,19.0820,,,,
2026-01-29,100097132028.3,2.4550,,,,,2.5254,,,,,2.5192,,,,,20.8183,,,,,0.0393,19.2502,,,,
2026-01-28,99240685978.86,2.4340,,,,,2.5038,,,,,2.4977,,,,,20.6402,,,,,0.0396,19.0855,,,,
2026-01-27,101132004338.04,2.4804,,,,,2.5515,,,,,2.5453,,,,,21.0336,,,,,0.0389,19.4492,,,,
2026-01-26,100222030410.51,2.4581,,,,,2.5285,,,,,2.5224,,,,,20.8443,,,,,0.0392,19.2742,,,,
2026-01-23,100186345158.45,2.4572,,,,,2.5276,,,,,2.5215,,,,,20.8369,,,,,0.0393,19.2673,,,,
2026-01-22,101078476459.95,2.4791,,,,,2.5501,,,,,2.5439,,,,,21.0224,,,,,0.0389,19.4389,,,,
2026-01-21,101167689590.1,2.4813,,,,,2.5524,,,,,2.5462,,,,,21.0410,,,,,0.0389,19.4560,,,,
2026-01-20,102041978265.57,2.5027,,,,,2.5744,,,,,2.5682,,,,,21.2228,,,,,0.0385,19.6242,,,,
2026-01-19,100311243540.66,2.4603,,,,,2.5308,,,,,2.5246,,,,,20.8629,,,,,0.0392,19.2913,,,,
2026-01-16,100275558288.6,2.4594,,,,,2.5299,,,,,2.5237,,,,,20.8555,,,,,0.0392,19.2845,,,,
2026-01-15,100668096061.26,2.4690,,,,,2.5398,,,,,2.5336,,,,,20.9371,,,,,0.0391,19.3600,,,,
2026-01-14,101060633833.92,2.4787,,,,,2.5497,,,,,2.5435,,,,,21.0187,,,,,0.0389,19.4355,,,,
2026-01-13,101934922509.39,2.5001,,,,,2.5717,,,,,2.5655,,,,,21.2006,,,,,0.0386,19.6036,,,,
2026-01-12,101524542110.7,2.4900,,,,,2.5614,,,,,2.5551,,,,,21.1152,,,,,0.0387,19.5247,,,,
2026-01-09,102273932403.96,2.5084,,,,,2.5803,,,,,2.5740,,,,,21.2711,,,,,0.0385,19.6688,,,,
2026-01-08,102077663517.63,2.5036,,,,,2.5753,,,,,2.5691,,,,,21.2303,,,,,0.0385,19.6310,,,,
2026-01-07,102291775029.99,2.5089,,,,,2.5808,,,,,2.5745,,,,,21.2748,,,,,0.0384,19.6722,,,,
2026-01-06,102398830786.17,2.5115,,,,,2.5835,,,,,2.5771,,,,,21.2971,,,,,0.0384,19.6928,,,,
2026-01-05,102273932403.96,2.5084,,,,,2.5803,,,,,2.5740,,,,,21.2711,,,,,0.0385,19.6688,,,,
2025-12-31,101274745346.28,2.4839,,,,,2.5551,,,,,2.5489,,,,,21.0633,,,,,0.0388,19.4766,,,,
2025-12-30,101595912614.82,2.4918,,,,,2.5632,,,,,2.5569,,,,,21.1301,,,,,0.0600,19.5384,,,,
2025-12-29,101149846964.07,2.4808,,,,,2.5519,,,,,2.5457,,,,,21.0373,,,,,0.0603,19.4526,,,,
2025-12-26,101167689590.1,2.4813,,,,,2.5524,,,,,2.5462,,,,,21.0410,,,,,0.0603,19.4560,,,,
2025-12-25,101274745346.28,2.4839,,,,,2.5551,,,,,2.5489,,,,,21.0633,,,,,0.0602,19.4766,,,,
2025-12-24,100810837069.5,2.4725,,,,,2.5434,,,,,2.5372,,,,,20.9668,,,,,0.0605,19.3874,,,,
2025-12-23,100257715662.57,2.4590,,,,,2.5294,,,,,2.5233,,,,,20.8517,,,,,0.0608,19.2810,,,,
2025-12-22,100900050199.65,2.4747,,,,,2.5456,,,,,2.5394,,,,,20.9853,,,,,0.0604,19.4046,,,,
2025-12-19,100864364947.59,2.4738,,,,,2.5447,,,,,2.5385,,,,,20.9779,,,,,0.0604,19.3977,,,,
2025-12-18,101078476459.95,2.4791,,,,,2.5501,,,,,2.5439,,,,,21.0224,,,,,0.0603,19.4389,,,,
2025-12-17,100275558288.6,2.4594,,,,,2.5299,,,,,2.5237,,,,,20.8555,,,,,0.0608,19.2845,,,,
2025-12-16,99722436881.67,2.4458,,,,,2.5159,,,,,2.5098,,,,,20.7404,,,,,0.0611,19.1781,,,,
2025-12-15,99668909003.58,2.4445,,,,,2.5146,,,,,2.5084,,,,,20.7293,,,,,0.0612,19.1678,,,,
2025-12-12,99615381125.49,2.4432,,,,,2.5132,,,,,2.5071,,,,,20.7181,,,,,0.0612,19.1575,,,,
2025-12-11,99561853247.4,2.4419,,,,,2.5119,,,,,2.5057,,,,,20.7070,,,,,0.0612,19.1472,,,,
2025-12-10,99436954865.19,2.4388,,,,,2.5087,,,,,2.5026,,,,,20.6810,,,,,0.0613,19.1232,,,,
2025-12-09,99222843352.83,2.4336,,,,,2.5033,,,,,2.4972,,,,,20.6365,,,,,0.0614,19.0820,,,,
2025-12-08,100097132028.3,2.4550,,,,,2.5254,,,,,2.5192,,,,,20.8183,,,,,0.0609,19.2502,,,,
2025-12-05,99793807385.79,2.4476,,,,,2.5177,,,,,2.5116,,,,,20.7553,,,,,0.0611,19.1918,,,,
2025-12-04,99436954865.19,2.4388,,,,,2.5087,,,,,2.5026,,,,,20.6810,,,,,0.0613,19.1232,,,,
2025-12-03,99401269613.13,2.4380,,,,,2.5078,,,,,2.5017,,,,,20.6736,,,,,0.0613,19.1163,,,,
2025-12-02,98812462954.14,2.4235,,,,,2.4930,,,,,2.4869,,,,,20.5512,,,,,0.0617,19.0031,,,,
2025-12-01,99169315474.74,2.4323,,,,,2.5020,,,,,2.4959,,,,,20.6254,,,,,0.0615,19.0717,,,,
2025-11-28,100025761524.18,2.4533,,,,,2.5236,,,,,2.5174,,,,,20.8035,,,,,0.0610,19.2364,,,,
2025-11-27,100043604150.21,2.4537,,,,,2.5240,,,,,2.5179,,,,,20.8072,,,,,0.0609,19.2399,,,,
2025-11-26,99883020515.94,2.4498,,,,,2.5200,,,,,2.5138,,,,,20.7738,,,,,0.0610,19.2090,,,,
2025-11-25,99633223751.52,2.4436,,,,,2.5137,,,,,2.5075,,,,,20.7219,,,,,0.0612,19.1609,,,,
2025-11-24,99294213856.95,2.4353,,,,,2.5051,,,,,2.4990,,,,,20.6513,,,,,0.0614,19.0957,,,,
2025-11-21,99312056482.98,2.4358,,,,,2.5056,,,,,2.4995,,,,,20.6551,,,,,0.0614,19.0992,,,,
2025-11-20,99990076272.12,2.4524,,,,,2.5227,,,,,2.5165,,,,,20.7961,,,,,0.0610,19.2296,,,,
2025-11-19,100632410809.2,2.4682,,,,,2.5389,,,,,2.5327,,,,,20.9297,,,,,0.0606,19.3531,,,,
2025-11-18,100614568183.17,2.4677,,,,,2.5384,,,,,2.5322,,,,,20.9260,,,,,0.0606,19.3497,,,,
2025-11-17,100525355053.02,2.4655,,,,,2.5362,,,,,2.5300,,,,,20.9074,,,,,0.0606,19.3325,,,,
2025-11-14,101096319085.98,2.4795,,,,,2.5506,,,,,2.5444,,,,,21.0262,,,,,0.0603,19.4423,,,,
2025-11-13,101810024127.18,2.4970,,,,,2.5686,,,,,2.5623,,,,,21.1746,,,,,0.0599,19.5796,,,,
2025-11-12,101917079883.36,2.4997,,,,,2.5713,,,,,2.5650,,,,,21.1969,,,,,0.0598,19.6002,,,,
2025-11-11,102095506143.66,2.5040,,,,,2.5758,,,,,2.5695,,,,,21.2340,,,,,0.0597,19.6345,,,,
2025-11-10,102202561899.84,2.5067,,,,,2.5785,,,,,2.5722,,,,,21.2562,,,,,0.0597,19.6551,,,,
2025-11-07,99972233646.09,2.4520,,,,,2.5222,,,,,2.5161,,,,,20.7924,,,,,0.0610,19.2261,,,,
2025-11-06,99704594255.64,2.4454,,,,,2.5155,,,,,2.5093,,,,,20.7367,,,,,0.0611,19.1747,,,,
2025-11-05,99686751629.61,2.4450,,,,,2.5150,,,,,2.5089,,,,,20.7330,,,,,0.0612,19.1712,,,,
2025-11-04,99793807385.79,2.4476,,,,,2.5177,,,,,2.5116,,,,,20.7553,,,,,0.0611,19.1918,,,,
2025-11-03,100561040305.08,2.4664,,,,,2.5371,,,,,2.5309,,,,,20.9148,,,,,0.0606,19.3394,,,,
2025-10-31,101096319085.98,2.4795,,,,,2.5506,,,,,2.5444,,,,,21.0262,,,,,0.0603,19.4423,,,,
2025-10-30,100775151817.44,2.4679,,,,,2.6181,,,,,2.6115,,,,,20.7828,,,,,0.0605,19.4041,,,,
2025-10-29,100543197679.05,2.4622,,,,,2.6121,,,,,2.6055,,,,,20.7350,,,,,0.0606,19.3594,,,,
2025-10-28,100097132028.3,2.4513,,,,,2.6005,,,,,2.5940,,,,,20.6430,,,,,0.0609,19.2736,,,,
2025-10-27,100757309191.41,2.4674,,,,,2.6177,,,,,2.6111,,,,,20.7792,,,,,0.0605,19.4007,,,,
2025-10-24,100561040305.08,2.4626,,,,,2.6126,,,,,2.6060,,,,,20.7387,,,,,0.0606,19.3629,,,,
2025-10-23,100935735451.71,2.4718,,,,,2.6223,,,,,2.6157,,,,,20.8160,,,,,0.0604,19.4350,,,,
2025-10-22,100721623939.35,2.4665,,,,,2.6167,,,,,2.6102,,,,,20.7718,,,,,0.0605,19.3938,,,,
2025-10-21,101024948581.86,2.4740,,,,,2.6246,,,,,2.6180,,,,,20.8344,,,,,0.0603,19.4522,,,,
2025-10-20,101042791207.89,2.4744,,,,,2.6251,,,,,2.6185,,,,,20.8380,,,,,0.0603,19.4556,,,,
2025-10-17,101810024127.18,2.4932,,,,,2.6450,,,,,2.6384,,,,,20.9963,,,,,0.0599,19.6034,,,,
2025-10-16,102969794819.13,2.5216,,,,,2.6751,,,,,2.6684,,,,,21.2354,,,,,0.0592,19.8267,,,,
2025-10-15,102041978265.57,2.4989,,,,,2.6510,,,,,2.6444,,,,,21.0441,,,,,0.0597,19.6480,,,,
2025-10-14,101917079883.36,2.4958,,,,,2.6478,,,,,2.6411,,,,,21.0183,,,,,0.0598,19.6240,,,,
2025-10-13,101256902720.25,2.4797,,,,,2.6306,,,,,2.6240,,,,,20.8822,,,,,0.0602,19.4969,,,,
2025-10-10,102291775029.99,2.5050,,,,,2.6575,,,,,2.6508,,,,,21.0956,,,,,0.0596,19.6961,,,,
2025-10-09,102309617656.02,2.5054,,,,,2.6580,,,,,2.6513,,,,,21.0993,,,,,0.0596,19.6996,,,,
2025-09-30,101256902720.25,2.4797,,,,,2.6306,,,,,2.6240,,,,,20.8822,,,,,0.0602,19.4969,,,,
2025-09-29,102345302908.08,2.5063,,,,,2.6589,,,,,2.6522,,,,,21.1067,,,,,0.0596,19.7064,,,,
2025-09-26,101899237257.33,2.4954,,,,,2.6473,,,,,2.6407,,,,,21.0147,,,,,0.0598,19.6205,,,,
2025-09-25,102202561899.84,2.5028,,,,,2.6552,,,,,2.6485,,,,,21.0772,,,,,0.0597,19.6789,,,,
2025-09-24,102934109567.07,2.5207,,,,,2.6742,,,,,2.6675,,,,,21.2281,,,,,0.0592,19.8198,,,,
2025-09-23,103362332591.79,2.5312,,,,,2.5642,,,,,2.5581,,,,,21.3164,,,,,0.0590,19.9023,,,,
2025-09-22,103737027738.42,2.5404,,,,,2.5735,,,,,2.5673,,,,,21.3937,,,,,0.0588,19.9744,,,,
2025-09-19,104343677023.44,2.5552,,,,,2.5886,,,,,2.5823,,,,,21.5188,,,,,0.0584,20.0912,,,,
2025-09-18,104361519649.47,2.5557,,,,,2.5890,,,,,2.5828,,,,,21.5225,,,,,0.0584,20.0947,,,,
2025-09-17,105217965698.91,2.5767,,,,,2.6102,,,,,2.6040,,,,,21.6991,,,,,0.0579,20.2596,,,,
2025-09-16,104718372170.07,2.5644,,,,,2.5978,,,,,2.5916,,,,,21.5961,,,,,0.0582,20.1634,,,,
2025-09-15,105289336203.03,2.5784,,,,,2.6120,,,,,2.6057,,,,,21.7138,,,,,0.0579,20.2733,,,,
2025-09-12,105253650950.97,2.5775,,,,,2.6111,,,,,2.6049,,,,,21.7064,,,,,0.0579,20.2664,,,,
2025-09-11,106734588911.46,2.6138,,,,,2.6479,,,,,2.6415,,,,,22.0119,,,,,0.0571,20.5516,,,,
2025-09-10,106038726496.29,2.5968,,,,,2.6306,,,,,2.6243,,,,,21.8684,,,,,0.0575,20.4176,,,,
2025-09-09,106681061033.37,2.6125,,,,,2.6465,,,,,2.6402,,,,,22.0008,,,,,0.0572,20.5413,,,,
2025-09-08,107483979204.72,2.6321,,,,,2.6665,,,,,2.6601,,,,,22.1664,,,,,0.0567,20.6959,,,,
2025-09-05,105806772357.9,2.5911,,,,,2.6249,,,,,2.6186,,,,,21.8205,,,,,0.0576,20.3729,,,,
2025-09-04,104700529544.04,2.5640,,,,,2.5974,,,,,2.5912,,,,,21.5924,,,,,0.0582,20.1599,,,,
2025-09-03,106038726496.29,2.5968,,,,,2.6306,,,,,2.6243,,,,,21.8684,,,,,0.0575,20.4176,,,,
2025-09-02,106502634773.07,2.6081,,,,,2.6421,,,,,2.6358,,,,,21.9640,,,,,0.0572,20.5069,,,,
2025-09-01,105788929731.87,2.5906,,,,,2.6244,,,,,2.6181,,,,,21.8168,,,,,0.0576,20.3695,,,,
2025-08-29,102737840680.74,2.5620,,,,,2.6646,,,,,2.6579,,,,,21.7662,,,,,0.0416,20.6213,,,,
2025-08-28,102006293013.51,2.5438,,,,,2.6456,,,,,2.6390,,,,,21.6113,,,,,0.0419,20.4745,,,,
2025-08-27,101524542110.7,2.5318,,,,,2.6331,,,,,2.6265,,,,,21.5092,,,,,0.0421,20.3778,,,,
2025-08-26,103183906331.49,2.5731,,,,,2.6762,,,,,2.6694,,,,,21.8608,,,,,0.0415,20.7108,,,,
2025-08-25,103469388347.97,2.5803,,,,,2.6836,,,,,2.6768,,,,,21.9212,,,,,0.0414,20.7681,,,,
2025-08-22,102844896436.92,2.5647,,,,,2.6674,,,,,2.6607,,,,,21.7889,,,,,0.0416,20.6428,,,,
2025-08-21,102595099672.5,2.5585,,,,,2.6609,,,,,2.6542,,,,,21.7360,,,,,0.0417,20.5926,,,,
