日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2025-09-01,=25.9400,=25.9400,=25.9400,=25.9400,=1232927006344.96,=77560600000.0,=77560600000.0,,=0.0490
2025-08-29,=25.6800,=25.6800,=25.6800,=25.6800,=1220569218309.12,=76783200000.0,=76783200000.0,,=0.0495
2025-08-28,=25.7700,=25.7700,=25.7700,=25.7700,=1224846914167.68,=77052300000.0,=77052300000.0,,=0.0493
2025-08-27,=25.4700,=25.4700,=25.4700,=25.4700,=1210587927972.48,=76155300000.0,=72381966695.91,,=0.0503
2025-08-26,=26.0000,=26.0000,=26.0000,=26.0000,=1235778803584.0,=77740000000.0,=73888148178.0,,=0.0493
2025-08-25,=25.9900,=25.9900,=25.9900,=25.9900,=1235303504044.16,=77710100000.0,=73859729659.47,,=0.0493
2025-08-22,=25.6600,=25.6600,=25.6600,=25.6600,=1219618619229.44,=76723400000.0,=72921918547.98,,=0.0499
2025-08-21,=25.7700,=25.7700,=25.7700,=25.7700,=1224846914167.68,=77052300000.0,=73234522251.81,,=0.0497
2025-08-20,=25.5800,=25.5800,=25.5800,=25.5800,=1215816222910.72,=76484200000.0,=72694570399.74,,=0.0501
2025-08-19,=25.5000,=25.5000,=25.5000,=25.5000,=1212013826592.0,=76245000000.0,=72467222251.5,,=0.0503
2025-08-18,=25.5700,=25.5700,=25.5700,=25.5700,=1215340923370.88,=76454300000.0,=72666151881.21,,=0.0501
2025-08-15,=25.7200,=25.7200,=25.7200,=25.7200,=1222470416468.48,=76902800000.0,=73092429659.16,,=0.0498
2025-08-14,=25.8000,=25.8000,=25.8000,=25.8000,=1226272812787.2,=77142000000.0,=73319777807.4,,=0.0497
2025-08-13,=25.9000,=25.9000,=25.9000,=25.9000,=1231025808185.6,=77441000000.0,=73603962992.7,,=0.0495
2025-08-12,=26.0300,=26.0300,=26.0300,=26.0300,=1237204702203.52,=77829700000.0,=73973403733.59,,=0.0492
2025-08-11,=25.8500,=25.8500,=25.8500,=25.8500,=1228649310486.4,=77291500000.0,=73461870400.05,,=0.0496
2025-08-08,=26.2100,=26.2100,=26.2100,=26.2100,=1245760093920.64,=78367900000.0,=74484937067.13,,=0.0489
2025-08-07,=26.1600,=26.1600,=26.1600,=26.1600,=1243383596221.44,=78218400000.0,=74342844474.48,,=0.0490
2025-08-06,=26.0100,=26.0100,=26.0100,=26.0100,=1236254103123.84,=77769900000.0,=73916566696.53,,=0.0493
2025-08-05,=26.0300,=26.0300,=26.0300,=26.0300,=1237204702203.52,=77829700000.0,=73973403733.59,,=0.0492
2025-08-04,=25.7900,=25.7900,=25.7900,=25.7900,=1225797513247.36,=77112100000.0,=73291359288.87,,=0.0497
2025-08-01,=25.9400,=25.9400,=25.9400,=25.9400,=1232927006344.96,=77560600000.0,=73717637066.82,,=0.0494
2025-07-31,=26.1600,=26.1600,=26.1600,=26.1600,=1243383596221.44,=78218400000.0,=74342844474.48,,=0.0490
2025-07-30,=26.4900,=26.4900,=26.4900,=26.4900,=1259068481036.16,=79205100000.0,=75280655585.97,,=0.0484
2025-07-29,=26.1200,=26.1200,=26.1200,=26.1200,=1241482398062.08,=78098800000.0,=74229170400.36,,=0.0491
2025-07-28,=25.8600,=25.8600,=25.8600,=25.8600,=1229124610026.24,=77321400000.0,=73490288918.58,,=0.0496
2025-07-25,=26.0600,=26.0600,=26.0600,=26.0600,=1238630600823.04,=77919400000.0,=74058659289.18,,=0.0492
2025-07-24,=26.0500,=26.0500,=26.0500,=26.0500,=1238155301283.2,=77889500000.0,=74030240770.65,,=0.0492
2025-07-23,=26.0600,=26.0600,=26.0600,=26.0600,=1238630600823.04,=77919400000.0,=74058659289.18,,=0.0492
2025-07-22,=26.1300,=26.1300,=26.1300,=26.1300,=1241957697601.92,=78128700000.0,=74257588918.89,,=0.0490
2025-07-21,=26.0000,=26.0000,=26.0000,=26.0000,=1235778803584.0,=77740000000.0,=73888148178.0,,=0.0493
2025-07-18,=25.8500,=25.8500,=25.8500,=25.8500,=1228649310486.4,=77291500000.0,=73461870400.05,,=0.0496
2025-07-17,=25.7000,=25.7000,=25.7000,=25.7000,=1221519817388.8,=76843000000.0,=73035592622.1,,=0.0499
2025-07-16,=25.8000,=25.8000,=25.8000,=25.8000,=1226272812787.2,=77142000000.0,=73319777807.4,,=0.0497
2025-07-15,=25.8100,=25.8100,=25.8100,=25.8100,=1226748112327.04,=77171900000.0,=73348196325.93,,=0.0497
2025-07-14,=26.0500,=26.0500,=26.0500,=26.0500,=1238155301283.2,=77889500000.0,=74030240770.65,,=0.0492
2025-07-11,=25.9000,=25.9000,=25.9000,=25.9000,=1231025808185.6,=77441000000.0,=73603962992.7,,=0.0495
2025-07-10,=27.1000,=27.1000,=27.1000,=27.1000,=1288061752966.4,=81029000000.0,=77014185216.3,,=0.0473
2025-07-09,=26.1600,=26.1600,=26.1600,=26.1600,=1243383596221.44,=78218400000.0,=74342844474.48,,=0.0490
2025-07-08,=26.0600,=26.0600,=26.0600,=26.0600,=1238630600823.04,=77919400000.0,=74058659289.18,,=0.0492
2025-07-07,=25.9900,=25.9900,=25.9900,=25.9900,=1235303504044.16,=77710100000.0,=73859729659.47,,=0.0493
2025-07-04,=26.2900,=26.2900,=26.2900,=26.2900,=1249562490239.36,=78607100000.0,=74712285215.37,,=0.0487
