date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-05,263122300000.0,0.0349,1.6763,,,,,17.5353,,,,,16.2723,,,,,2.5782,,,,,2.5771,,,,
2026-06-04,265739950000.0,0.0346,1.6929,,,,,17.7097,,,,,16.4342,,,,,2.6038,,,,,2.6028,,,,
2026-06-03,262928400000.0,0.0350,1.6750,,,,,17.5223,,,,,16.2603,,,,,2.5763,,,,,2.5752,,,,
2026-06-02,255657150000.0,0.0359,1.6287,,,,,17.0378,,,,,15.8106,,,,,2.5050,,,,,2.5040,,,,
2026-06-01,259535150000.0,0.0354,1.6534,,,,,17.2962,,,,,16.0504,,,,,2.5430,,,,,2.5420,,,,
2026-05-29,249549300000.0,0.0368,1.5898,,,,,16.6307,,,,,15.4329,,,,,2.4452,,,,,2.4442,,,,
2026-05-28,239078700000.0,0.0384,1.5231,,,,,15.9329,,,,,14.7853,,,,,2.3426,,,,,2.3416,,,,
2026-05-27,239078700000.0,0.0384,1.5231,,,,,15.9329,,,,,14.7853,,,,,2.3426,,,,,2.3416,,,,
2026-05-26,232195250000.0,0.0396,1.4792,,,,,15.4742,,,,,14.3596,,,,,2.2751,,,,,2.2742,,,,
2026-05-25,231613550000.0,0.0397,1.4755,,,,,15.4354,,,,,14.3237,,,,,2.2694,,,,,2.2685,,,,
2026-05-22,226087400000.0,0.0407,1.4403,,,,,15.0672,,,,,13.9819,,,,,2.2153,,,,,2.2144,,,,
2026-05-21,227056900000.0001,0.0405,1.4465,,,,,15.1318,,,,,14.0419,,,,,2.2248,,,,,2.2239,,,,
2026-05-20,234328150000.0001,0.0392,1.4928,,,,,15.6163,,,,,14.4916,,,,,2.2960,,,,,2.2951,,,,
2026-05-19,236461050000.0,0.0389,1.5064,,,,,15.7585,,,,,14.6235,,,,,2.3169,,,,,2.3160,,,,
2026-05-18,236461050000.0,0.0389,1.5064,,,,,15.7585,,,,,14.6235,,,,,2.3169,,,,,2.3160,,,,
2026-05-15,231322700000.0,0.0397,1.4737,,,,,15.4160,,,,,14.3057,,,,,2.2666,,,,,2.2657,,,,
2026-05-14,226281300000.0,0.0406,1.4416,,,,,15.0801,,,,,13.9939,,,,,2.2172,,,,,2.2163,,,,
2026-05-13,227347750000.0,0.0404,1.4484,,,,,15.1511,,,,,14.0599,,,,,2.2276,,,,,2.2267,,,,
2026-05-12,230644050000.0,0.0398,1.4694,,,,,15.3708,,,,,14.2637,,,,,2.2599,,,,,2.2590,,,,
2026-05-11,231031850000.0,0.0398,1.4718,,,,,15.3967,,,,,14.2877,,,,,2.2637,,,,,2.2628,,,,
2026-05-08,231031850000.0,0.0398,1.4718,,,,,15.3967,,,,,14.2877,,,,,2.2637,,,,,2.2628,,,,
2026-05-07,233455600000.0,0.0394,1.4873,,,,,15.5582,,,,,14.4376,,,,,2.2875,,,,,2.2866,,,,
2026-05-06,251100500000.0,0.0366,1.5997,,,,,16.7341,,,,,15.5288,,,,,2.4604,,,,,2.4594,,,,
2026-04-30,253330350000.0,0.0363,1.6139,,,,,16.8827,,,,,15.6667,,,,,2.4822,,,,,2.4812,,,,
2026-04-29,253330350000.0,0.0363,1.6139,,,,,16.8827,,,,,15.6667,,,,,2.4822,,,,,2.4812,,,,
2026-04-28,252166950000.0,0.0364,1.6065,,,,,16.8052,,,,,15.5948,,,,,2.4708,,,,,2.4698,,,,
2026-04-27,246059100000.0,0.0374,1.5676,,,,,16.3981,,,,,15.2170,,,,,2.4110,,,,,2.4100,,,,
2026-04-24,254978500000.0,0.0447,1.4422,,,,,15.6358,,,,,13.3290,,,,,2.7014,,,,,2.7002,,,,
2026-04-23,253233400000.0,0.0450,1.4323,,,,,15.5287,,,,,13.2378,,,,,2.6829,,,,,2.6817,,,,
2026-04-22,247028600000.0,0.0461,1.3972,,,,,15.1483,,,,,12.9134,,,,,2.6171,,,,,2.6160,,,,
2026-04-21,247222500000.0,0.0461,1.3983,,,,,15.1601,,,,,12.9235,,,,,2.6192,,,,,2.6181,,,,
2026-04-20,237721400000.0,0.0479,1.3446,,,,,14.5775,,,,,12.4269,,,,,2.5185,,,,,2.5174,,,,
2026-04-17,240436000000.0,0.0474,1.3599,,,,,14.7440,,,,,12.5688,,,,,2.5473,,,,,2.5462,,,,
2026-04-16,242278050000.0,0.0470,1.3703,,,,,14.8569,,,,,12.6651,,,,,2.5668,,,,,2.5657,,,,
2026-04-15,243926200000.0,0.0467,1.3797,,,,,14.9580,,,,,12.7512,,,,,2.5843,,,,,2.5831,,,,
2026-04-14,242471950000.0,0.0470,1.3714,,,,,14.8688,,,,,12.6752,,,,,2.5689,,,,,2.5677,,,,
2026-04-13,245477400000.0,0.0464,1.3884,,,,,15.0531,,,,,12.8323,,,,,2.6007,,,,,2.5996,,,,
2026-04-10,244604850000.0,0.0466,1.3835,,,,,14.9996,,,,,12.7867,,,,,2.5915,,,,,2.5903,,,,
2026-04-09,244992650000.0,0.0465,1.3857,,,,,15.0234,,,,,12.8070,,,,,2.5956,,,,,2.5944,,,,
2026-04-08,245089600000.0,0.0465,1.3862,,,,,15.0293,,,,,12.8120,,,,,2.5966,,,,,2.5955,,,,
2026-04-07,250615750000.0,0.0455,1.4175,,,,,15.3682,,,,,13.1009,,,,,2.6551,,,,,2.6540,,,,
2026-04-03,245865200000.0,0.0463,1.3906,,,,,15.0769,,,,,12.8526,,,,,2.6048,,,,,2.6037,,,,
2026-04-02,249646250000.0,0.0456,1.4120,,,,,15.3088,,,,,13.0502,,,,,2.6449,,,,,2.6437,,,,
2026-04-01,246059100000.0,0.0463,1.3917,,,,,15.0888,,,,,12.8627,,,,,2.6069,,,,,2.6057,,,,
2026-03-31,248095050000.0,0.0459,1.4032,,,,,15.2136,,,,,12.9691,,,,,2.6284,,,,,2.6273,,,,
2026-03-30,254687650000.0,0.0447,1.4405,,,,,15.6179,,,,,13.3138,,,,,2.6983,,,,,2.6971,,,,
2026-03-27,253233400000.0,0.0450,1.4323,,,,,15.5287,,,,,13.2378,,,,,2.6829,,,,,2.6817,,,,
2026-03-26,254396800000.0,0.0448,1.4389,,,,,15.6001,,,,,13.2986,,,,,2.6952,,,,,2.6940,,,,
2026-03-25,249646250000.0,0.0456,1.4120,,,,,15.3088,,,,,13.0502,,,,,2.6449,,,,,2.6437,,,,
2026-03-24,257499200000.0,0.0442,1.4564,,,,,15.7903,,,,,13.4607,,,,,2.7281,,,,,2.7269,,,,
2026-03-23,263994850000.0,0.0432,1.4932,,,,,16.1887,,,,,13.8003,,,,,2.7969,,,,,2.7957,,,,
2026-03-20,263316200000.0,0.0433,1.4893,,,,,16.1470,,,,,13.7648,,,,,2.7897,,,,,2.7885,,,,
2026-03-19,258080900000.0,0.0441,1.4597,,,,,15.8260,,,,,13.4912,,,,,2.7342,,,,,2.7330,,,,
2026-03-18,248385900000.0,0.0459,1.4049,,,,,15.2315,,,,,12.9844,,,,,2.6315,,,,,2.6304,,,,
2026-03-17,247610300000.0,0.0460,1.4005,,,,,15.1839,,,,,12.9438,,,,,2.6233,,,,,2.6222,,,,
2026-03-16,251100500000.0,0.0454,1.4202,,,,,15.3979,,,,,13.1263,,,,,2.6603,,,,,2.6591,,,,
2026-03-13,254396800000.0,0.0448,1.4389,,,,,15.6001,,,,,13.2986,,,,,2.6952,,,,,2.6940,,,,
2026-03-12,258856500000.0,0.0440,1.4641,,,,,15.8736,,,,,13.5317,,,,,2.7424,,,,,2.7413,,,,
2026-03-11,246446900000.0001,0.0462,1.3939,,,,,15.1126,,,,,12.8830,,,,,2.6110,,,,,2.6098,,,,
2026-03-10,243150600000.0,0.0469,1.3753,,,,,14.9104,,,,,12.7107,,,,,2.5760,,,,,2.5749,,,,
2026-03-09,246446900000.0001,0.0462,1.3939,,,,,15.1126,,,,,12.8830,,,,,2.6110,,,,,2.6098,,,,
2026-03-06,241890250000.0,0.0471,1.3682,,,,,14.8332,,,,,12.6448,,,,,2.5627,,,,,2.5616,,,,
2026-03-05,244217050000.0,0.0466,1.3813,,,,,14.9758,,,,,12.7664,,,,,2.5873,,,,,2.5862,,,,
2026-03-04,244895700000.0,0.0465,1.3852,,,,,15.0175,,,,,12.8019,,,,,2.5945,,,,,2.5934,,,,
2026-03-03,245186550000.0,0.0465,1.3868,,,,,15.0353,,,,,12.8171,,,,,2.5976,,,,,2.5965,,,,
2026-03-02,240532950000.0,0.0474,1.3605,,,,,14.7499,,,,,12.5738,,,,,2.5483,,,,,2.5472,,,,
2026-02-27,229771500000.0,0.0496,1.2996,,,,,14.0900,,,,,12.0113,,,,,2.4343,,,,,2.4332,,,,
2026-02-26,225117900000.0,0.0506,1.2733,,,,,13.8046,,,,,11.7680,,,,,2.3850,,,,,2.3840,,,,
2026-02-25,225602650000.0,0.0505,1.2760,,,,,13.8344,,,,,11.7934,,,,,2.3901,,,,,2.3891,,,,
2026-02-24,227638600000.0,0.0500,1.2875,,,,,13.9592,,,,,11.8998,,,,,2.4117,,,,,2.4107,,,,
2026-02-13,220755150000.0,0.0516,1.2486,,,,,13.5371,,,,,11.5400,,,,,2.3388,,,,,2.3378,,,,
2026-02-12,226669100000.0,0.0503,1.2821,,,,,13.8998,,,,,11.8491,,,,,2.4014,,,,,2.4004,,,,
2026-02-11,225602650000.0,0.0505,1.2760,,,,,13.8344,,,,,11.7934,,,,,2.3901,,,,,2.3891,,,,
2026-02-10,223566700000.0,0.0510,1.2645,,,,,13.7095,,,,,11.6869,,,,,2.3686,,,,,2.3675,,,,
2026-02-09,219688700000.0,0.0519,1.2426,,,,,13.4717,,,,,11.4842,,,,,2.3275,,,,,2.3265,,,,
2026-02-06,214065600000.0,0.0532,1.2108,,,,,13.1269,,,,,11.1903,,,,,2.2679,,,,,2.2669,,,,
2026-02-05,213580850000.0,0.0533,1.2080,,,,,13.0972,,,,,11.1649,,,,,2.2628,,,,,2.2618,,,,
2026-02-04,219882600000.0,0.0518,1.2437,,,,,13.4836,,,,,11.4943,,,,,2.3295,,,,,2.3285,,,,
2026-02-03,202140750000.0,0.0564,1.1433,,,,,12.3956,,,,,10.5669,,,,,2.1416,,,,,2.1406,,,,
2026-02-02,202916350000.0,0.0561,1.1477,,,,,12.4432,,,,,10.6074,,,,,2.1498,,,,,2.1489,,,,
2026-01-30,216004600000.0,0.0527,1.2217,,,,,13.2458,,,,,11.2916,,,,,2.2885,,,,,2.2875,,,,
2026-01-29,215229000000.0,0.0529,1.2174,,,,,13.1982,,,,,11.2511,,,,,2.2802,,,,,2.2792,,,,
2026-01-28,212126600000.0,0.0537,1.1998,,,,,13.0080,,,,,11.0889,,,,,2.2474,,,,,2.2464,,,,
2026-01-27,206891300000.0,0.0551,1.1702,,,,,12.6870,,,,,10.8152,,,,,2.1919,,,,,2.1909,,,,
2026-01-26,212514400000.0,0.0536,1.2020,,,,,13.0318,,,,,11.1092,,,,,2.2515,,,,,2.2505,,,,
2026-01-23,207569950000.0,0.0549,1.1740,,,,,12.7286,,,,,10.8507,,,,,2.1991,,,,,2.1981,,,,
2026-01-22,212223550000.0,0.0537,1.2004,,,,,13.0139,,,,,11.0940,,,,,2.2484,,,,,2.2474,,,,
2026-01-21,208248600000.0,0.0547,1.1779,,,,,12.7702,,,,,10.8862,,,,,2.2063,,,,,2.2053,,,,
2026-01-20,215035100000.0,0.0530,1.2163,,,,,13.1864,,,,,11.2409,,,,,2.2782,,,,,2.2772,,,,
2026-01-19,212417450000.0,0.0536,1.2015,,,,,13.0258,,,,,11.1041,,,,,2.2504,,,,,2.2495,,,,
2026-01-16,212805250000.0,0.0535,1.2036,,,,,13.0496,,,,,11.1244,,,,,2.2546,,,,,2.2536,,,,
2026-01-15,215422900000.0,0.0529,1.2185,,,,,13.2101,,,,,11.2612,,,,,2.2823,,,,,2.2813,,,,
2026-01-14,216974100000.0,0.0525,1.2272,,,,,13.3053,,,,,11.3423,,,,,2.2987,,,,,2.2977,,,,
2026-01-13,218137500000.0,0.0522,1.2338,,,,,13.3766,,,,,11.4031,,,,,2.3110,,,,,2.3100,,,,
2026-01-12,219010050000.0,0.0520,1.2387,,,,,13.4301,,,,,11.4487,,,,,2.3203,,,,,2.3193,,,,
2026-01-09,219010050000.0,0.0520,1.2387,,,,,13.4301,,,,,11.4487,,,,,2.3203,,,,,2.3193,,,,
2026-01-08,217943600000.0,0.0523,1.2327,,,,,13.3647,,,,,11.3930,,,,,2.3090,,,,,2.3080,,,,
2026-01-07,217458850000.0,0.0524,1.2300,,,,,13.3350,,,,,11.3676,,,,,2.3039,,,,,2.3029,,,,
2026-01-06,214744250000.0,0.0530,1.2146,,,,,13.1685,,,,,11.2257,,,,,2.2751,,,,,2.2741,,,,
2026-01-05,209605900000.0,0.0543,1.1855,,,,,12.8534,,,,,10.9571,,,,,2.2207,,,,,2.2197,,,,
2025-12-31,206697400000.0,0.0551,1.1691,,,,,12.6751,,,,,10.8051,,,,,2.1898,,,,,2.1889,,,,
2025-12-30,209024200000.0,0.0593,1.1823,,,,,12.8178,,,,,10.9267,,,,,2.2145,,,,,2.2135,,,,
2025-12-29,210187600000.0,0.0590,1.1888,,,,,12.8891,,,,,10.9875,,,,,2.2268,,,,,2.2259,,,,
2025-12-26,209218100000.0,0.0592,1.1834,,,,,12.8296,,,,,10.9369,,,,,2.2166,,,,,2.2156,,,,
2025-12-25,209702850000.0,0.0591,1.1861,,,,,12.8594,,,,,10.9622,,,,,2.2217,,,,,2.2207,,,,
2025-12-24,210672350000.0,0.0588,1.1916,,,,,12.9188,,,,,11.0129,,,,,2.2320,,,,,2.2310,,,,
2025-12-23,211351000000.0,0.0586,1.1954,,,,,12.9604,,,,,11.0484,,,,,2.2391,,,,,2.2382,,,,
2025-12-22,213193050000.0,0.0581,1.2058,,,,,13.0734,,,,,11.1446,,,,,2.2587,,,,,2.2577,,,,
2025-12-19,211351000000.0,0.0586,1.1954,,,,,12.9604,,,,,11.0484,,,,,2.2391,,,,,2.2382,,,,
2025-12-18,214938150000.0,0.0577,1.2157,,,,,13.1804,,,,,11.2359,,,,,2.2772,,,,,2.2762,,,,
2025-12-17,207182150000.0,0.0598,1.1718,,,,,12.7048,,,,,10.8304,,,,,2.1950,,,,,2.1940,,,,
2025-12-16,209605900000.0,0.0591,1.1855,,,,,12.8534,,,,,10.9571,,,,,2.2207,,,,,2.2197,,,,
2025-12-15,209024200000.0,0.0593,1.1823,,,,,12.8178,,,,,10.9267,,,,,2.2145,,,,,2.2135,,,,
2025-12-12,211932700000.0,0.0585,1.1987,,,,,12.9961,,,,,11.0788,,,,,2.2453,,,,,2.2443,,,,
2025-12-11,211060150000.0,0.0587,1.1938,,,,,12.9426,,,,,11.0332,,,,,2.2361,,,,,2.2351,,,,
2025-12-10,212223550000.0,0.0584,1.2004,,,,,13.0139,,,,,11.0940,,,,,2.2484,,,,,2.2474,,,,
2025-12-09,213290000000.0,0.0581,1.2064,,,,,13.0793,,,,,11.1497,,,,,2.2597,,,,,2.2587,,,,
2025-12-08,216101550000.0,0.0573,1.2223,,,,,13.2517,,,,,11.2967,,,,,2.2895,,,,,2.2885,,,,
2025-12-05,219300900000.0,0.0565,1.2404,,,,,13.4479,,,,,11.4639,,,,,2.3234,,,,,2.3224,,,,
2025-12-04,219688700000.0,0.0564,1.2426,,,,,13.4717,,,,,11.4842,,,,,2.3275,,,,,2.3265,,,,
2025-12-03,219300900000.0,0.0565,1.2404,,,,,13.4479,,,,,11.4639,,,,,2.3234,,,,,2.3224,,,,
2025-12-02,221239900000.0,0.0560,1.2514,,,,,13.5668,,,,,11.5653,,,,,2.3439,,,,,2.3429,,,,
2025-12-01,221918550000.0,0.0558,1.2552,,,,,13.6085,,,,,11.6008,,,,,2.3511,,,,,2.3501,,,,
2025-11-28,219882600000.0,0.0564,1.2437,,,,,13.4836,,,,,11.4943,,,,,2.3295,,,,,2.3285,,,,
2025-11-27,223372800000.0,0.0555,1.2634,,,,,13.6976,,,,,11.6768,,,,,2.3665,,,,,2.3655,,,,
2025-11-26,217943600000.0,0.0569,1.2327,,,,,13.3647,,,,,11.3930,,,,,2.3090,,,,,2.3080,,,,
2025-11-25,220076500000.0,0.0563,1.2448,,,,,13.4955,,,,,11.5045,,,,,2.3316,,,,,2.3306,,,,
2025-11-24,219300900000.0,0.0565,1.2404,,,,,13.4479,,,,,11.4639,,,,,2.3234,,,,,2.3224,,,,
2025-11-21,222015500000.0,0.0558,1.2557,,,,,13.6144,,,,,11.6058,,,,,2.3521,,,,,2.3511,,,,
2025-11-20,224633150000.0,0.0552,1.2705,,,,,13.7749,,,,,11.7427,,,,,2.3799,,,,,2.3788,,,,
2025-11-19,230353200000.0,0.0538,1.3029,,,,,14.1257,,,,,12.0417,,,,,2.4405,,,,,2.4394,,,,
2025-11-18,228123350000.0,0.0543,1.2903,,,,,13.9889,,,,,11.9251,,,,,2.4168,,,,,2.4158,,,,
2025-11-17,232970850000.0,0.0532,1.3177,,,,,14.2862,,,,,12.1785,,,,,2.4682,,,,,2.4671,,,,
2025-11-14,228995900000.0,0.0541,1.2952,,,,,14.0425,,,,,11.9707,,,,,2.4261,,,,,2.4250,,,,
2025-11-13,233455600000.0,0.0531,1.3204,,,,,14.3159,,,,,12.2039,,,,,2.4733,,,,,2.4723,,,,
2025-11-12,231807450000.0,0.0535,1.3111,,,,,14.2149,,,,,12.1177,,,,,2.4559,,,,,2.4548,,,,
2025-11-11,233843400000.0,0.0530,1.3226,,,,,14.3397,,,,,12.2241,,,,,2.4774,,,,,2.4764,,,,
2025-11-10,239272600000.0,0.0518,1.3533,,,,,14.6726,,,,,12.5080,,,,,2.5350,,,,,2.5339,,,,
2025-11-07,233940350000.0,0.0530,1.3232,,,,,14.3457,,,,,12.2292,,,,,2.4785,,,,,2.4774,,,,
2025-11-06,233455600000.0,0.0531,1.3204,,,,,14.3159,,,,,12.2039,,,,,2.4733,,,,,2.4723,,,,
2025-11-05,232680000000.0,0.0533,1.3161,,,,,14.2684,,,,,12.1633,,,,,2.4651,,,,,2.4640,,,,
2025-11-04,228317250000.0,0.0543,1.2914,,,,,14.0008,,,,,11.9353,,,,,2.4189,,,,,2.4178,,,,
2025-11-03,229383700000.0,0.0540,1.2974,,,,,14.0662,,,,,11.9910,,,,,2.4302,,,,,2.4291,,,,
2025-10-31,220076500000.0,0.0563,1.2448,,,,,13.4955,,,,,11.5045,,,,,2.3316,,,,,2.3306,,,,
2025-10-30,222112450000.0,0.0558,1.2563,,,,,13.6203,,,,,11.6109,,,,,2.3532,,,,,2.3521,,,,
2025-10-29,218331400000.0,0.0568,1.2308,,,,,12.6914,,,,,11.2297,,,,,2.4658,,,,,2.4647,,,,
2025-10-28,219397850000.0,0.0565,1.2368,,,,,12.7534,,,,,11.2845,,,,,2.4778,,,,,2.4767,,,,
2025-10-27,221530750000.0,0.0559,1.2488,,,,,12.8774,,,,,11.3942,,,,,2.5019,,,,,2.5008,,,,
2025-10-24,220658200000.0,0.0562,1.2439,,,,,12.8266,,,,,11.3494,,,,,2.4921,,,,,2.4909,,,,
2025-10-23,220561250000.0,0.0562,1.2434,,,,,12.8210,,,,,11.3444,,,,,2.4910,,,,,2.4898,,,,
2025-10-22,217168000000.0,0.0571,1.2242,,,,,12.6237,,,,,11.1698,,,,,2.4527,,,,,2.4515,,,,
2025-10-21,218331400000.0,0.0568,1.2308,,,,,12.6914,,,,,11.2297,,,,,2.4658,,,,,2.4647,,,,
2025-10-20,222015500000.0,0.0558,1.2516,,,,,12.9055,,,,,11.4192,,,,,2.5074,,,,,2.5062,,,,
2025-10-17,217652750000.0,0.0569,1.2270,,,,,12.6519,,,,,11.1948,,,,,2.4581,,,,,2.4570,,,,
2025-10-16,218525300000.0,0.0567,1.2319,,,,,12.7026,,,,,11.2397,,,,,2.4680,,,,,2.4668,,,,
2025-10-15,211641850000.0,0.0585,1.1931,,,,,12.3025,,,,,10.8856,,,,,2.3902,,,,,2.3891,,,,
2025-10-14,206794350000.0,0.0599,1.1658,,,,,12.0207,,,,,10.6363,,,,,2.3355,,,,,2.3344,,,,
2025-10-13,199329200000.0,0.0622,1.1237,,,,,11.5868,,,,,10.2523,,,,,2.2512,,,,,2.2502,,,,
2025-10-10,200395650000.0,0.0618,1.1297,,,,,11.6488,,,,,10.3072,,,,,2.2632,,,,,2.2622,,,,
2025-10-09,197971900000.0,0.0626,1.1160,,,,,11.5079,,,,,10.1825,,,,,2.2359,,,,,2.2348,,,,
2025-09-30,193900000000.0,0.0639,1.0931,,,,,11.2712,,,,,9.9731,,,,,2.1899,,,,,2.1889,,,,
2025-09-29,194481700000.0,0.0637,1.0963,,,,,11.3050,,,,,10.0030,,,,,2.1964,,,,,2.1954,,,,
2025-09-26,197002400000.0,0.0629,1.1106,,,,,11.4515,,,,,10.1326,,,,,2.2249,,,,,2.2239,,,,
2025-09-25,198359700000.0,0.0625,1.1182,,,,,11.5304,,,,,10.2025,,,,,2.2307,,,,,2.2297,,,,
2025-09-24,199232250000.0,0.0622,1.1231,,,,,11.5812,,,,,10.2473,,,,,2.2405,,,,,2.2395,,,,
2025-09-23,200298700000.0,0.0619,1.1291,,,,,11.6432,,,,,10.3022,,,,,2.2525,,,,,2.2515,,,,
2025-09-22,198456650000.0,0.0624,1.1188,,,,,11.5361,,,,,10.2074,,,,,2.2318,,,,,2.2308,,,,
2025-09-19,200880400000.0,0.0617,1.1324,,,,,11.6770,,,,,10.3321,,,,,2.2591,,,,,2.2580,,,,
2025-09-18,195742050000.0,0.0633,1.1035,,,,,11.3783,,,,,10.0678,,,,,2.2013,,,,,2.2003,,,,
2025-09-17,201752950000.0,0.0614,1.1373,,,,,11.7277,,,,,10.3770,,,,,2.2689,,,,,2.2678,,,,
2025-09-16,196517650000.0,0.0631,1.1078,,,,,11.4234,,,,,10.1077,,,,,2.2100,,,,,2.2090,,,,
2025-09-15,197681050000.0,0.0627,1.1144,,,,,11.4910,,,,,10.1676,,,,,2.2231,,,,,2.2221,,,,
2025-09-12,196129850000.0,0.0632,1.1056,,,,,11.4008,,,,,10.0878,,,,,2.2056,,,,,2.2046,,,,
2025-09-11,195742050000.0,0.0633,1.1035,,,,,11.3783,,,,,10.0678,,,,,2.2013,,,,,2.2003,,,,
2025-09-10,194190850000.0,0.0638,1.0947,,,,,11.2881,,,,,9.9880,,,,,2.1838,,,,,2.1828,,,,
2025-09-09,196614600000.0,0.0630,1.1084,,,,,11.4290,,,,,10.1127,,,,,2.2111,,,,,2.2101,,,,
2025-09-08,196323750000.0,0.0631,1.1067,,,,,11.4121,,,,,10.0977,,,,,2.2078,,,,,2.2068,,,,
2025-09-05,196808500000.0,0.0630,1.1095,,,,,11.4403,,,,,10.1227,,,,,2.2133,,,,,2.2123,,,,
2025-09-04,195451200000.0,0.0634,1.1018,,,,,11.3614,,,,,10.0529,,,,,2.1980,,,,,2.1970,,,,
2025-09-03,193124400000.0,0.0642,1.0887,,,,,11.2261,,,,,9.9332,,,,,2.1718,,,,,2.1708,,,,
2025-09-02,195257300000.0,0.0635,1.1007,,,,,11.3501,,,,,10.0429,,,,,2.1958,,,,,2.1948,,,,
2025-09-01,197099350000.0,0.0629,1.1111,,,,,11.4572,,,,,10.1376,,,,,2.2165,,,,,2.2155,,,,
2025-08-29,197584100000.0,0.0627,1.1138,,,,,11.4854,,,,,10.1626,,,,,2.2220,,,,,2.2210,,,,
2025-08-28,197099350000.0,0.0629,1.1111,,,,,11.4572,,,,,10.1376,,,,,2.2165,,,,,2.2155,,,,
2025-08-27,207376050000.0,0.0630,1.1279,,,,,10.1851,,,,,9.2115,,,,,2.4287,,,,,2.4264,,,,
2025-08-26,212029650000.0,0.0616,1.1532,,,,,10.4137,,,,,9.4182,,,,,2.4832,,,,,2.4809,,,,
2025-08-25,214162550000.0,0.0610,1.1648,,,,,10.5184,,,,,9.5130,,,,,2.5081,,,,,2.5059,,,,
2025-08-22,213193050000.0,0.0613,1.1596,,,,,10.4708,,,,,9.4699,,,,,2.4968,,,,,2.4945,,,,
2025-08-21,212902200000.0,0.0614,1.1580,,,,,10.4565,,,,,9.4570,,,,,2.4934,,,,,2.4911,,,,
